year,quintil_oecd_hh,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,2nd Quintile,West,A Bit Too Large,0.06369,52,958,0.04821,0.07916
1988,3rd Quintile,West,A Bit Too Small,0.11816,138,950,0.09762,0.13870
1988,3rd Quintile,West,Just Right,0.78110,760,950,0.75479,0.80741
1988,3rd Quintile,West,A Bit Too Large,0.06781,52,950,0.05181,0.08380
1988,4th Quintile,West,A Bit Too Small,0.08690,97,944,0.06892,0.10488
1988,4th Quintile,West,Just Right,0.77508,763,944,0.74843,0.80173
1988,4th Quintile,West,A Bit Too Large,0.10452,84,944,0.08499,0.12405
1988,5th Quintile,West,A Bit Too Small,0.10341,97,874,0.08321,0.12361
1988,5th Quintile,West,Just Right,0.76645,688,874,0.73838,0.79452
1988,5th Quintile,West,A Bit Too Large,0.11238,89,874,0.09143,0.13333
1989,1st Quintile,West,Much Too Small,0.02543,35,901,0.01515,0.03572
1989,1st Quintile,West,A Bit Too Small,0.11387,150,901,0.09312,0.13462
1989,1st Quintile,West,Just Right,0.79616,682,901,0.76984,0.82248
1989,1st Quintile,West,A Bit Too Large,0.04867,34,901,0.03461,0.06273
1989,2nd Quintile,West,A Bit Too Small,0.11877,141,948,0.09817,0.13938
1989,2nd Quintile,West,Just Right,0.79767,755,948,0.77208,0.82326
1989,2nd Quintile,West,A Bit Too Large,0.06113,52,948,0.04587,0.07639
1989,3rd Quintile,West,A Bit Too Small,0.09668,115,916,0.07753,0.11583
1989,3rd Quintile,West,Just Right,0.79030,741,916,0.76393,0.81668
1989,3rd Quintile,West,A Bit Too Large,0.07524,60,916,0.05815,0.09233
1989,4th Quintile,West,A Bit Too Small,0.09919,96,916,0.07982,0.11856
1989,4th Quintile,West,Just Right,0.76603,740,916,0.73860,0.79346
1989,4th Quintile,West,A Bit Too Large,0.10777,80,916,0.08768,0.12786
1989,5th Quintile,West,A Bit Too Small,0.09989,90,833,0.07952,0.12027
1989,5th Quintile,West,Just Right,0.76742,654,833,0.73871,0.79613
1989,5th Quintile,West,A Bit Too Large,0.11281,89,833,0.09132,0.13431
1990,1st Quintile,East,Much Too Small,0.06099,152,2134,0.05083,0.07114
1990,1st Quintile,East,A Bit Too Small,0.21156,521,2134,0.19423,0.22889
1990,1st Quintile,East,Just Right,0.66664,1375,2134,0.64663,0.68665
1990,1st Quintile,East,A Bit Too Large,0.04746,86,2134,0.03844,0.05648
1990,2nd Quintile,West,Much Too Small,0.01890,38,1146,0.01101,0.02678
1990,2nd Quintile,West,A Bit Too Small,0.12745,181,1146,0.10814,0.14677
1990,2nd Quintile,West,Just Right,0.78161,875,1146,0.75768,0.80554
1990,2nd Quintile,West,A Bit Too Large,0.05680,52,1146,0.04339,0.07020
1990,3rd Quintile,West,Much Too Small,0.02014,32,1156,0.01204,0.02825
1990,3rd Quintile,West,A Bit Too Small,0.09749,145,1156,0.08038,0.11459
1990,3rd Quintile,West,Just Right,0.80540,917,1156,0.78256,0.82823
1990,3rd Quintile,West,A Bit Too Large,0.06517,62,1156,0.05094,0.07941
1990,4th Quintile,West,A Bit Too Small,0.11355,142,1109,0.09487,0.13223
1990,4th Quintile,West,Just Right,0.77192,885,1109,0.74721,0.79663
1990,4th Quintile,West,A Bit Too Large,0.08400,82,1109,0.06767,0.10034
1990,5th Quintile,West,A Bit Too Small,0.08836,95,1039,0.07109,0.10562
1990,5th Quintile,West,Just Right,0.78654,847,1039,0.76161,0.81147
1990,5th Quintile,West,A Bit Too Large,0.09892,97,1039,0.08076,0.11708
1991,1st Quintile,West,Just Right,0.51466,33,33,0.34149,0.68782
1991,1st Quintile,East,Much Too Small,0.03990,93,1958,0.03123,0.04857
1991,1st Quintile,East,A Bit Too Small,0.18231,413,1958,0.16520,0.19941
1991,1st Quintile,East,Just Right,0.70517,1353,1958,0.68497,0.72538
1991,1st Quintile,East,A Bit Too Large,0.05639,99,1958,0.04617,0.06661
1991,2nd Quintile,West,Much Too Small,0.02898,65,1116,0.01913,0.03883
1991,2nd Quintile,West,A Bit Too Small,0.15171,209,1116,0.13065,0.17277
1991,2nd Quintile,West,Just Right,0.73505,792,1116,0.70915,0.76095
1991,2nd Quintile,West,A Bit Too Large,0.05932,50,1116,0.04546,0.07319
1991,3rd Quintile,West,Much Too Small,0.01998,48,1146,0.01187,0.02808
1991,3rd Quintile,West,A Bit Too Small,0.15281,223,1146,0.13197,0.17365
1991,3rd Quintile,West,Just Right,0.72735,816,1146,0.70155,0.75314
1991,3rd Quintile,West,A Bit Too Large,0.06810,59,1146,0.05351,0.08270
1991,4th Quintile,West,A Bit Too Small,0.14197,189,1121,0.12153,0.16241
1991,4th Quintile,West,Just Right,0.72341,852,1121,0.69721,0.74961
1991,4th Quintile,West,A Bit Too Large,0.08647,80,1121,0.07001,0.10293
1991,5th Quintile,West,A Bit Too Small,0.14625,163,1009,0.12444,0.16807
1991,5th Quintile,West,Just Right,0.67628,733,1009,0.64739,0.70516
1991,5th Quintile,West,A Bit Too Large,0.11807,113,1009,0.09815,0.13799
1992,1st Quintile,West,Much Too Small,0.03108,32,546,0.01651,0.04566
1992,1st Quintile,West,A Bit Too Small,0.15186,111,546,0.12173,0.18199
1992,1st Quintile,West,Just Right,0.74131,403,546,0.70455,0.77808
1992,1st Quintile,East,A Bit Too Small,0.14144,137,782,0.11700,0.16587
1992,1st Quintile,East,Just Right,0.75851,592,782,0.72849,0.78852
1992,1st Quintile,East,A Bit Too Large,0.06715,53,782,0.04960,0.08471
1992,2nd Quintile,West,Much Too Small,0.02996,61,849,0.01849,0.04144
1992,2nd Quintile,West,A Bit Too Small,0.15415,165,849,0.12984,0.17845
1992,2nd Quintile,West,Just Right,0.71714,579,849,0.68683,0.74746
1992,2nd Quintile,West,A Bit Too Large,0.07626,44,849,0.05839,0.09412
1992,2nd Quintile,East,A Bit Too Small,0.22850,147,588,0.19453,0.26246
1992,2nd Quintile,East,Just Right,0.65230,400,588,0.61378,0.69083
1992,2nd Quintile,East,A Bit Too Large,0.07705,41,588,0.05547,0.09862
1992,3rd Quintile,West,Much Too Small,0.03100,47,988,0.02019,0.04182
1992,3rd Quintile,West,A Bit Too Small,0.16518,200,988,0.14202,0.18835
1992,3rd Quintile,West,Just Right,0.70780,688,988,0.67942,0.73617
1992,3rd Quintile,West,A Bit Too Large,0.06929,53,988,0.05345,0.08514
1992,3rd Quintile,East,A Bit Too Small,0.21885,81,283,0.17059,0.26711
1992,3rd Quintile,East,Just Right,0.64323,202,283,0.58732,0.69914
1992,4th Quintile,West,A Bit Too Small,0.16195,199,1091,0.14008,0.18382
1992,4th Quintile,West,Just Right,0.71514,812,1091,0.68835,0.74194
1992,4th Quintile,West,A Bit Too Large,0.08641,80,1091,0.06973,0.10309
1992,4th Quintile,East,Just Right,0.66469,84,84,0.56312,0.76626
1992,5th Quintile,West,A Bit Too Small,0.12170,145,989,0.10131,0.14209
1992,5th Quintile,West,Just Right,0.71312,743,989,0.68491,0.74132
1992,5th Quintile,West,A Bit Too Large,0.11472,101,989,0.09485,0.13459
1992,5th Quintile,East,Just Right,0.62416,35,35,0.46135,0.78696
1993,1st Quintile,West,Much Too Small,0.03880,47,695,0.02443,0.05317
1993,1st Quintile,West,A Bit Too Small,0.15842,141,695,0.13126,0.18559
1993,1st Quintile,West,Just Right,0.73537,476,695,0.70255,0.76819
1993,1st Quintile,West,A Bit Too Large,0.04543,31,695,0.02994,0.06092
1993,1st Quintile,East,A Bit Too Small,0.14653,110,578,0.11768,0.17539
1993,1st Quintile,East,Just Right,0.72659,423,578,0.69022,0.76296
1993,1st Quintile,East,A Bit Too Large,0.08598,45,578,0.06311,0.10886
1993,2nd Quintile,West,Much Too Small,0.03531,59,838,0.02280,0.04781
1993,2nd Quintile,West,A Bit Too Small,0.15264,156,838,0.12828,0.17701
1993,2nd Quintile,West,Just Right,0.70331,575,838,0.67236,0.73426
1993,2nd Quintile,West,A Bit Too Large,0.07419,48,838,0.05644,0.09195
1993,2nd Quintile,East,A Bit Too Small,0.19862,136,591,0.16643,0.23081
1993,2nd Quintile,East,Just Right,0.67506,413,591,0.63727,0.71285
1993,2nd Quintile,East,A Bit Too Large,0.06821,42,591,0.04787,0.08856
1993,3rd Quintile,West,Much Too Small,0.01899,36,983,0.01045,0.02753
1993,3rd Quintile,West,A Bit Too Small,0.14928,171,983,0.12699,0.17157
1993,3rd Quintile,West,Just Right,0.73984,713,983,0.71239,0.76728
1993,3rd Quintile,West,A Bit Too Large,0.07720,63,983,0.06051,0.09389
1993,3rd Quintile,East,A Bit Too Small,0.20965,80,367,0.16795,0.25136
1993,3rd Quintile,East,Just Right,0.66316,254,367,0.61474,0.71158
1993,3rd Quintile,East,A Bit Too Large,0.08244,33,367,0.05427,0.11062
1993,4th Quintile,West,A Bit Too Small,0.15721,188,1027,0.13494,0.17948
1993,4th Quintile,West,Just Right,0.70404,754,1027,0.67611,0.73197
1993,4th Quintile,West,A Bit Too Large,0.08975,85,1027,0.07226,0.10724
1993,4th Quintile,East,A Bit Too Small,0.15590,36,183,0.10320,0.20861
1993,4th Quintile,East,Just Right,0.73387,147,183,0.66966,0.79807
1993,5th Quintile,West,A Bit Too Small,0.14012,158,975,0.11832,0.16192
1993,5th Quintile,West,Just Right,0.68200,710,975,0.65276,0.71125
1993,5th Quintile,West,A Bit Too Large,0.12409,107,975,0.10338,0.14479
1993,5th Quintile,East,Just Right,0.58414,42,42,0.43328,0.73501
1994,1st Quintile,West,Much Too Small,0.03675,61,789,0.02361,0.04989
1994,1st Quintile,West,A Bit Too Small,0.13878,147,789,0.11464,0.16292
1994,1st Quintile,West,Just Right,0.72706,538,789,0.69595,0.75816
1994,1st Quintile,West,A Bit Too Large,0.07251,43,789,0.05441,0.09062
1994,1st Quintile,East,A Bit Too Small,0.15614,91,491,0.12400,0.18828
1994,1st Quintile,East,Just Right,0.70855,355,491,0.66831,0.74878
1994,1st Quintile,East,A Bit Too Large,0.09188,45,491,0.06630,0.11746
1994,2nd Quintile,West,Much Too Small,0.02777,38,803,0.01640,0.03915
1994,2nd Quintile,West,A Bit Too Small,0.15222,148,803,0.12736,0.17709
1994,2nd Quintile,West,Just Right,0.72314,577,803,0.69218,0.75411
1994,2nd Quintile,West,A Bit Too Large,0.05883,40,803,0.04255,0.07512
1994,2nd Quintile,East,A Bit Too Small,0.17835,115,551,0.14636,0.21034
1994,2nd Quintile,East,Just Right,0.71411,401,551,0.67635,0.75187
1994,2nd Quintile,East,A Bit Too Large,0.06206,35,551,0.04190,0.08222
1994,3rd Quintile,West,Much Too Small,0.01870,34,924,0.00996,0.02744
1994,3rd Quintile,West,A Bit Too Small,0.16488,170,924,0.14094,0.18881
1994,3rd Quintile,West,Just Right,0.71852,667,924,0.68951,0.74753
1994,3rd Quintile,West,A Bit Too Large,0.06258,53,924,0.04695,0.07820
1994,3rd Quintile,East,A Bit Too Small,0.18051,79,387,0.14214,0.21888
1994,3rd Quintile,East,Just Right,0.67343,276,387,0.62665,0.72022
1994,3rd Quintile,East,A Bit Too Large,0.10010,32,387,0.07016,0.13004
1994,4th Quintile,West,A Bit Too Small,0.13522,155,960,0.11357,0.15686
1994,4th Quintile,West,Just Right,0.71759,729,960,0.68910,0.74608
1994,4th Quintile,West,A Bit Too Large,0.09060,76,960,0.07243,0.10877
1994,4th Quintile,East,A Bit Too Small,0.23804,54,201,0.17902,0.29707
1994,4th Quintile,East,Just Right,0.62230,147,201,0.55511,0.68949
1994,5th Quintile,West,A Bit Too Small,0.12704,140,973,0.10610,0.14797
1994,5th Quintile,West,Just Right,0.68248,707,973,0.65322,0.71175
1994,5th Quintile,West,A Bit Too Large,0.14864,126,973,0.12628,0.17101
1994,5th Quintile,East,Just Right,0.62101,76,76,0.51121,0.73081
1995,1st Quintile,West,Much Too Small,0.04545,63,927,0.03204,0.05887
1995,1st Quintile,West,A Bit Too Small,0.19565,220,927,0.17010,0.22121
1995,1st Quintile,West,Just Right,0.67235,596,927,0.64212,0.70259
1995,1st Quintile,West,A Bit Too Large,0.07179,48,927,0.05517,0.08842
1995,1st Quintile,East,A Bit Too Small,0.16570,88,404,0.12939,0.20200
1995,1st Quintile,East,Just Right,0.71760,316,404,0.67365,0.76155
1995,2nd Quintile,West,Much Too Small,0.02029,39,904,0.01109,0.02949
1995,2nd Quintile,West,A Bit Too Small,0.16213,183,904,0.13809,0.18617
1995,2nd Quintile,West,Just Right,0.71830,635,904,0.68896,0.74764
1995,2nd Quintile,West,A Bit Too Large,0.07074,47,904,0.05402,0.08747
1995,2nd Quintile,East,A Bit Too Small,0.18022,105,519,0.14712,0.21332
1995,2nd Quintile,East,Just Right,0.69123,371,519,0.65145,0.73102
1995,2nd Quintile,East,A Bit Too Large,0.09567,43,519,0.07034,0.12100
1995,3rd Quintile,West,Much Too Small,0.02206,33,969,0.01281,0.03131
1995,3rd Quintile,West,A Bit Too Small,0.15628,179,969,0.13341,0.17916
1995,3rd Quintile,West,Just Right,0.71197,688,969,0.68345,0.74050
1995,3rd Quintile,West,A Bit Too Large,0.08730,69,969,0.06952,0.10508
1995,3rd Quintile,East,A Bit Too Small,0.17822,78,402,0.14076,0.21568
1995,3rd Quintile,East,Just Right,0.69793,286,402,0.65299,0.74287
1995,3rd Quintile,East,A Bit Too Large,0.09777,38,402,0.06870,0.12683
1995,4th Quintile,West,A Bit Too Small,0.11371,123,954,0.09355,0.13387
1995,4th Quintile,West,Just Right,0.73933,742,954,0.71145,0.76720
1995,4th Quintile,West,A Bit Too Large,0.10985,89,954,0.09000,0.12971
1995,4th Quintile,East,A Bit Too Small,0.20145,53,244,0.15102,0.25188
1995,4th Quintile,East,Just Right,0.68157,191,244,0.62299,0.74014
1995,5th Quintile,West,A Bit Too Small,0.11689,125,966,0.09662,0.13716
1995,5th Quintile,West,Just Right,0.70297,720,966,0.67414,0.73180
1995,5th Quintile,West,A Bit Too Large,0.13758,121,966,0.11585,0.15932
1995,5th Quintile,East,Just Right,0.66441,93,93,0.56792,0.76090
1996,1st Quintile,West,Much Too Small,0.03245,62,948,0.02117,0.04374
1996,1st Quintile,West,A Bit Too Small,0.14957,182,948,0.12686,0.17229
1996,1st Quintile,West,Just Right,0.70740,650,948,0.67843,0.73638
1996,1st Quintile,West,A Bit Too Large,0.08361,54,948,0.06598,0.10124
1996,1st Quintile,East,A Bit Too Small,0.14792,77,389,0.11259,0.18325
1996,1st Quintile,East,Just Right,0.71301,312,389,0.66800,0.75802
1996,2nd Quintile,West,Much Too Small,0.01775,32,883,0.00903,0.02646
1996,2nd Quintile,West,A Bit Too Small,0.16705,185,883,0.14243,0.19166
1996,2nd Quintile,West,Just Right,0.71060,611,883,0.68067,0.74053
1996,2nd Quintile,West,A Bit Too Large,0.07407,55,883,0.05678,0.09135
1996,2nd Quintile,East,A Bit Too Small,0.17819,100,473,0.14366,0.21271
1996,2nd Quintile,East,Just Right,0.69507,337,473,0.65353,0.73660
1996,2nd Quintile,East,A Bit Too Large,0.08935,36,473,0.06362,0.11509
1996,3rd Quintile,West,A Bit Too Small,0.16805,168,911,0.14375,0.19234
1996,3rd Quintile,West,Just Right,0.68717,659,911,0.65705,0.71729
1996,3rd Quintile,West,A Bit Too Large,0.10668,84,911,0.08662,0.12673
1996,3rd Quintile,East,A Bit Too Small,0.15969,71,436,0.12527,0.19411
1996,3rd Quintile,East,Just Right,0.74802,331,436,0.70722,0.78882
1996,3rd Quintile,East,A Bit Too Large,0.07902,34,436,0.05367,0.10438
1996,4th Quintile,West,A Bit Too Small,0.13940,145,985,0.11776,0.16104
1996,4th Quintile,West,Just Right,0.72669,752,985,0.69885,0.75454
1996,4th Quintile,West,A Bit Too Large,0.11647,88,985,0.09643,0.13652
1996,4th Quintile,East,A Bit Too Small,0.19762,53,254,0.14856,0.24669
1996,4th Quintile,East,Just Right,0.67398,201,254,0.61622,0.73174
1996,5th Quintile,West,A Bit Too Small,0.11163,116,923,0.09130,0.13196
1996,5th Quintile,West,Just Right,0.69330,679,923,0.66354,0.72307
1996,5th Quintile,West,A Bit Too Large,0.15974,128,923,0.13609,0.18339
1996,5th Quintile,East,A Bit Too Small,0.26675,40,143,0.19401,0.33949
1996,5th Quintile,East,Just Right,0.62867,103,143,0.54920,0.70814
1997,1st Quintile,West,Much Too Small,0.01660,36,906,0.00827,0.02492
1997,1st Quintile,West,A Bit Too Small,0.18995,208,906,0.16440,0.21551
1997,1st Quintile,West,Just Right,0.67175,611,906,0.64116,0.70235
1997,1st Quintile,West,A Bit Too Large,0.09674,51,906,0.07748,0.11599
1997,1st Quintile,East,A Bit Too Small,0.18187,77,378,0.14294,0.22081
1997,1st Quintile,East,Just Right,0.72089,301,378,0.67561,0.76617
1997,2nd Quintile,West,A Bit Too Small,0.15609,160,873,0.13200,0.18018
1997,2nd Quintile,West,Just Right,0.72823,654,873,0.69870,0.75775
1997,2nd Quintile,West,A Bit Too Large,0.08119,59,873,0.06307,0.09932
1997,2nd Quintile,East,A Bit Too Small,0.15568,84,487,0.12345,0.18791
1997,2nd Quintile,East,Just Right,0.71945,368,487,0.67951,0.75939
1997,2nd Quintile,East,A Bit Too Large,0.07679,35,487,0.05312,0.10047
1997,3rd Quintile,West,A Bit Too Small,0.13970,153,921,0.11730,0.16211
1997,3rd Quintile,West,Just Right,0.73705,700,921,0.70860,0.76550
1997,3rd Quintile,West,A Bit Too Large,0.09971,68,921,0.08035,0.11907
1997,3rd Quintile,East,A Bit Too Small,0.13933,63,427,0.10645,0.17222
1997,3rd Quintile,East,Just Right,0.72388,323,427,0.68142,0.76633
1997,3rd Quintile,East,A Bit Too Large,0.11601,41,427,0.08560,0.14643
1997,4th Quintile,West,A Bit Too Small,0.15458,157,953,0.13162,0.17755
1997,4th Quintile,West,Just Right,0.71688,713,953,0.68827,0.74550
1997,4th Quintile,West,A Bit Too Large,0.09434,83,953,0.07577,0.11291
1997,4th Quintile,East,A Bit Too Small,0.21531,60,299,0.16864,0.26198
1997,4th Quintile,East,Just Right,0.64631,207,299,0.59202,0.70059
1997,4th Quintile,East,A Bit Too Large,0.11285,32,299,0.07692,0.14877
1997,5th Quintile,West,A Bit Too Small,0.12495,125,925,0.10363,0.14628
1997,5th Quintile,West,Just Right,0.68550,680,925,0.65556,0.71544
1997,5th Quintile,West,A Bit Too Large,0.15743,120,925,0.13395,0.18092
1997,5th Quintile,East,A Bit Too Small,0.20295,31,137,0.13535,0.27055
1997,5th Quintile,East,Just Right,0.68470,106,137,0.60661,0.76279
1998,1st Quintile,West,Much Too Small,0.04560,67,1031,0.03286,0.05834
1998,1st Quintile,West,A Bit Too Small,0.18485,208,1031,0.16114,0.20855
1998,1st Quintile,West,Just Right,0.67271,713,1031,0.64405,0.70137
1998,1st Quintile,West,A Bit Too Large,0.05265,43,1031,0.03901,0.06629
1998,1st Quintile,East,A Bit Too Small,0.19436,79,379,0.15447,0.23425
1998,1st Quintile,East,Just Right,0.70124,300,379,0.65510,0.74739
1998,2nd Quintile,West,Much Too Small,0.03120,34,1027,0.02057,0.04184
1998,2nd Quintile,West,A Bit Too Small,0.15093,201,1027,0.12902,0.17283
1998,2nd Quintile,West,Just Right,0.68770,717,1027,0.65934,0.71605
1998,2nd Quintile,West,A Bit Too Large,0.08386,75,1027,0.06690,0.10082
1998,2nd Quintile,East,A Bit Too Small,0.15059,72,489,0.11886,0.18232
1998,2nd Quintile,East,Just Right,0.71187,366,489,0.67168,0.75205
1998,2nd Quintile,East,A Bit Too Large,0.11139,51,489,0.08347,0.13930
1998,3rd Quintile,West,A Bit Too Small,0.13157,150,990,0.11050,0.15263
1998,3rd Quintile,West,Just Right,0.71560,747,990,0.68748,0.74372
1998,3rd Quintile,West,A Bit Too Large,0.10690,93,990,0.08764,0.12616
1998,3rd Quintile,East,A Bit Too Small,0.14985,81,478,0.11782,0.18188
1998,3rd Quintile,East,Just Right,0.71576,348,478,0.67528,0.75624
1998,3rd Quintile,East,A Bit Too Large,0.10917,49,478,0.08119,0.13716
1998,4th Quintile,West,A Bit Too Small,0.12217,147,1088,0.10270,0.14164
1998,4th Quintile,West,Just Right,0.73043,828,1088,0.70405,0.75681
1998,4th Quintile,West,A Bit Too Large,0.11047,113,1088,0.09183,0.12910
1998,4th Quintile,East,A Bit Too Small,0.15893,59,353,0.12074,0.19713
1998,4th Quintile,East,Just Right,0.65562,251,353,0.60598,0.70526
1998,4th Quintile,East,A Bit Too Large,0.15385,43,353,0.11615,0.19154
1998,5th Quintile,West,A Bit Too Small,0.11049,130,1080,0.09179,0.12920
1998,5th Quintile,West,Just Right,0.68652,794,1080,0.65884,0.71420
1998,5th Quintile,West,A Bit Too Large,0.16070,156,1080,0.13879,0.18261
1998,5th Quintile,East,Just Right,0.68435,127,127,0.60320,0.76551
1999,1st Quintile,West,Much Too Small,0.03400,47,1013,0.02284,0.04517
1999,1st Quintile,West,A Bit Too Small,0.16863,187,1013,0.14556,0.19170
1999,1st Quintile,West,Just Right,0.72684,730,1013,0.69938,0.75429
1999,1st Quintile,West,A Bit Too Large,0.05992,49,1013,0.04530,0.07454
1999,1st Quintile,East,A Bit Too Small,0.14324,69,444,0.11062,0.17587
1999,1st Quintile,East,Just Right,0.79028,375,444,0.75237,0.82819
1999,2nd Quintile,West,Much Too Small,0.02473,31,979,0.01499,0.03446
1999,2nd Quintile,West,A Bit Too Small,0.17884,190,979,0.15482,0.20286
1999,2nd Quintile,West,Just Right,0.70643,694,979,0.67789,0.73497
1999,2nd Quintile,West,A Bit Too Large,0.07772,64,979,0.06094,0.09450
1999,2nd Quintile,East,A Bit Too Small,0.15602,91,525,0.12495,0.18709
