year,bula_h,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Bavaria,West,Just Right,0.75231,648,853,0.72332,0.78129
1985,Bavaria,West,A Bit Too Large,0.08624,68,853,0.06739,0.10509
1985,Berlin,West,A Bit Too Small,0.16995,39,181,0.11508,0.22482
1985,Berlin,West,Just Right,0.75048,142,181,0.68726,0.81370
1986,Schleswig-Holstein,West,Just Right,0.75061,123,123,0.67384,0.82739
1986,Hamburg,West,A Bit Too Small,0.18973,32,134,0.12309,0.25636
1986,Hamburg,West,Just Right,0.72835,102,134,0.65275,0.80395
1986,Lower Saxony,West,A Bit Too Small,0.06356,38,499,0.04213,0.08498
1986,Lower Saxony,West,Just Right,0.80067,412,499,0.76558,0.83575
1986,Lower Saxony,West,A Bit Too Large,0.11017,49,499,0.08267,0.13767
1986,Bremen,West,Just Right,0.79190,44,44,0.67056,0.91324
1986,North Rhine-Westphalia,West,Much Too Small,0.02048,39,1342,0.01290,0.02806
1986,North Rhine-Westphalia,West,A Bit Too Small,0.12333,198,1342,0.10573,0.14093
1986,North Rhine-Westphalia,West,Just Right,0.77303,1032,1342,0.75061,0.79545
1986,North Rhine-Westphalia,West,A Bit Too Large,0.06622,73,1342,0.05291,0.07953
1986,Hesse,West,A Bit Too Small,0.14611,95,442,0.11315,0.17908
1986,Hesse,West,Just Right,0.72712,347,442,0.68554,0.76869
1986,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.09046,37,311,0.05853,0.12240
1986,"Rhineland-Palatinate, Saarland",West,Just Right,0.77379,274,311,0.72721,0.82036
1986,Baden-Wuerttemberg,West,A Bit Too Small,0.08909,113,857,0.07001,0.10818
1986,Baden-Wuerttemberg,West,Just Right,0.79292,696,857,0.76578,0.82007
1986,Baden-Wuerttemberg,West,A Bit Too Large,0.07423,48,857,0.05667,0.09180
1986,Bavaria,West,A Bit Too Small,0.12139,120,798,0.09871,0.14406
1986,Bavaria,West,Just Right,0.74624,612,798,0.71603,0.77645
1986,Bavaria,West,A Bit Too Large,0.09000,66,798,0.07013,0.10986
1986,Berlin,West,A Bit Too Small,0.18821,40,181,0.13110,0.24531
1986,Berlin,West,Just Right,0.74993,141,181,0.68667,0.81320
1987,Schleswig-Holstein,West,Just Right,0.76542,126,126,0.69113,0.83970
1987,Hamburg,West,Just Right,0.75400,95,95,0.66693,0.84106
1987,Lower Saxony,West,A Bit Too Small,0.07626,43,495,0.05286,0.09967
1987,Lower Saxony,West,Just Right,0.78571,400,495,0.74952,0.82189
1987,Lower Saxony,West,A Bit Too Large,0.11416,52,495,0.08612,0.14221
1987,Bremen,West,Just Right,0.85485,47,47,0.75306,0.95665
1987,North Rhine-Westphalia,West,Much Too Small,0.01915,32,1332,0.01179,0.02652
1987,North Rhine-Westphalia,West,A Bit Too Small,0.10873,182,1332,0.09201,0.12546
1987,North Rhine-Westphalia,West,Just Right,0.78624,1039,1332,0.76421,0.80826
1987,North Rhine-Westphalia,West,A Bit Too Large,0.07201,79,1332,0.05812,0.08589
1987,Hesse,West,A Bit Too Small,0.13296,89,434,0.10098,0.16494
1987,Hesse,West,Just Right,0.73355,345,434,0.69190,0.77519
1987,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.08052,37,310,0.05018,0.11086
1987,"Rhineland-Palatinate, Saarland",West,Just Right,0.78341,273,310,0.73748,0.82934
1987,Baden-Wuerttemberg,West,A Bit Too Small,0.09151,112,856,0.07218,0.11084
1987,Baden-Wuerttemberg,West,Just Right,0.81106,700,856,0.78482,0.83730
1987,Baden-Wuerttemberg,West,A Bit Too Large,0.06917,44,856,0.05216,0.08618
1987,Bavaria,West,A Bit Too Small,0.12501,119,799,0.10206,0.14796
1987,Bavaria,West,Just Right,0.76345,620,799,0.73397,0.79294
1987,Bavaria,West,A Bit Too Large,0.07884,60,799,0.06014,0.09753
1987,Berlin,West,A Bit Too Small,0.17472,37,178,0.11878,0.23067
1987,Berlin,West,Just Right,0.74242,141,178,0.67799,0.80684
1988,Schleswig-Holstein,West,Just Right,0.74088,122,122,0.66280,0.81895
1988,Hamburg,West,Just Right,0.79426,93,93,0.71165,0.87686
1988,Lower Saxony,West,A Bit Too Small,0.06917,38,472,0.04626,0.09209
1988,Lower Saxony,West,Just Right,0.79826,387,472,0.76202,0.83451
1988,Lower Saxony,West,A Bit Too Large,0.10543,47,472,0.07769,0.13316
1988,Bremen,West,Just Right,0.81841,45,45,0.70450,0.93232
1988,North Rhine-Westphalia,West,A Bit Too Small,0.11109,171,1243,0.09361,0.12856
1988,North Rhine-Westphalia,West,Just Right,0.79170,999,1243,0.76911,0.81428
1988,North Rhine-Westphalia,West,A Bit Too Large,0.06656,73,1243,0.05269,0.08042
1988,Hesse,West,A Bit Too Small,0.12104,81,443,0.09063,0.15145
1988,Hesse,West,Just Right,0.74344,330,443,0.70273,0.78416
1988,Hesse,West,A Bit Too Large,0.09820,32,443,0.07046,0.12595
1988,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.07982,32,296,0.04890,0.11075
1988,"Rhineland-Palatinate, Saarland",West,Just Right,0.78428,264,296,0.73734,0.83122
1988,Baden-Wuerttemberg,West,A Bit Too Small,0.09769,106,838,0.07757,0.11780
1988,Baden-Wuerttemberg,West,Just Right,0.81546,694,838,0.78918,0.84174
1988,Baden-Wuerttemberg,West,A Bit Too Large,0.06187,38,838,0.04555,0.07819
1988,Bavaria,West,A Bit Too Small,0.11743,110,771,0.09469,0.14017
1988,Bavaria,West,Just Right,0.76766,600,771,0.73783,0.79749
1988,Bavaria,West,A Bit Too Large,0.08750,61,771,0.06754,0.10746
1988,Berlin,West,A Bit Too Small,0.18661,36,170,0.12787,0.24535
1988,Berlin,West,Just Right,0.74448,134,170,0.67872,0.81024
1989,Schleswig-Holstein,West,Just Right,0.72482,115,115,0.64284,0.80681
1989,Hamburg,West,Just Right,0.76306,88,88,0.67371,0.85241
1989,Lower Saxony,West,A Bit Too Small,0.07647,41,470,0.05242,0.10052
1989,Lower Saxony,West,Just Right,0.77687,373,470,0.73919,0.81455
1989,Lower Saxony,West,A Bit Too Large,0.12563,56,470,0.09564,0.15563
1989,Bremen,West,Just Right,0.83200,48,48,0.72511,0.93889
1989,North Rhine-Westphalia,West,A Bit Too Small,0.11143,161,1206,0.09366,0.12920
1989,North Rhine-Westphalia,West,Just Right,0.79923,980,1206,0.77661,0.82185
1989,North Rhine-Westphalia,West,A Bit Too Large,0.06263,65,1206,0.04895,0.07631
1989,Hesse,West,A Bit Too Small,0.12787,86,420,0.09589,0.15985
1989,Hesse,West,Just Right,0.74510,334,420,0.70337,0.78682
1989,"Rhineland-Palatinate, Saarland",West,Just Right,0.78801,253,253,0.73755,0.83848
1989,Baden-Wuerttemberg,West,A Bit Too Small,0.07486,90,800,0.05661,0.09311
1989,Baden-Wuerttemberg,West,Just Right,0.84106,670,800,0.81571,0.86642
1989,Baden-Wuerttemberg,West,A Bit Too Large,0.06228,40,800,0.04553,0.07904
1989,Bavaria,West,A Bit Too Small,0.12084,112,752,0.09752,0.14415
1989,Bavaria,West,Just Right,0.75753,581,752,0.72688,0.78818
1989,Bavaria,West,A Bit Too Large,0.08650,59,752,0.06640,0.10661
1989,Berlin,West,A Bit Too Small,0.18725,34,165,0.12754,0.24695
1989,Berlin,West,Just Right,0.73290,131,165,0.66518,0.80061
1990,Schleswig-Holstein,West,Just Right,0.73872,113,113,0.65735,0.82009
1990,Hamburg,West,Just Right,0.75877,82,82,0.66560,0.85194
1990,Lower Saxony,West,A Bit Too Small,0.08805,46,468,0.06235,0.11375
1990,Lower Saxony,West,Just Right,0.76843,370,468,0.73017,0.80669
1990,Lower Saxony,West,A Bit Too Large,0.11922,52,468,0.08983,0.14861
1990,Bremen,West,Just Right,0.84265,46,46,0.73626,0.94904
1990,North Rhine-Westphalia,West,A Bit Too Small,0.10836,146,1181,0.09063,0.12610
1990,North Rhine-Westphalia,West,Just Right,0.80623,975,1181,0.78367,0.82878
1990,North Rhine-Westphalia,West,A Bit Too Large,0.05728,60,1181,0.04402,0.07054
1990,Hesse,West,A Bit Too Small,0.12894,80,411,0.09650,0.16138
1990,Hesse,West,Just Right,0.74394,331,411,0.70170,0.78619
1990,"Rhineland-Palatinate, Saarland",West,Just Right,0.78320,249,249,0.73192,0.83449
1990,Baden-Wuerttemberg,West,A Bit Too Small,0.08025,91,792,0.06132,0.09919
1990,Baden-Wuerttemberg,West,Just Right,0.83529,666,792,0.80944,0.86114
1990,Baden-Wuerttemberg,West,A Bit Too Large,0.05630,35,792,0.04024,0.07236
1990,Bavaria,West,A Bit Too Small,0.11679,107,758,0.09391,0.13967
1990,Bavaria,West,Just Right,0.76436,593,758,0.73413,0.79459
1990,Bavaria,West,A Bit Too Large,0.08479,58,758,0.06495,0.10464
1990,Berlin,West,A Bit Too Small,0.18661,34,162,0.12643,0.24680
1990,Berlin,West,Just Right,0.74010,128,162,0.67235,0.80784
1990,Berlin,East,A Bit Too Small,0.21871,37,151,0.15256,0.28487
1990,Berlin,East,Just Right,0.68856,114,151,0.61445,0.76267
1990,Brandenburg,East,A Bit Too Small,0.18739,81,303,0.14338,0.23140
1990,Brandenburg,East,Just Right,0.66173,222,303,0.60837,0.71509
1990,Mecklenburg-Western Pomerania,East,A Bit Too Small,0.20420,51,193,0.14718,0.26122
1990,Mecklenburg-Western Pomerania,East,Just Right,0.63627,142,193,0.56822,0.70432
1990,Saxony,East,Much Too Small,0.06120,49,626,0.04241,0.07999
1990,Saxony,East,A Bit Too Small,0.22969,175,626,0.19671,0.26266
1990,Saxony,East,Just Right,0.64887,402,626,0.61145,0.68629
1990,Saxony-Anhalt,East,A Bit Too Small,0.19518,92,351,0.15365,0.23670
1990,Saxony-Anhalt,East,Just Right,0.70872,259,351,0.66112,0.75632
1990,Thuringa,East,A Bit Too Small,0.22141,85,321,0.17592,0.26690
1990,Thuringa,East,Just Right,0.66547,236,321,0.61378,0.71717
1991,Schleswig-Holstein,West,Just Right,0.69843,106,106,0.61065,0.78622
1991,Hamburg,West,Just Right,0.75712,78,78,0.66133,0.85290
1991,Lower Saxony,West,A Bit Too Small,0.16281,85,453,0.12878,0.19685
1991,Lower Saxony,West,Just Right,0.67658,321,453,0.63345,0.71970
1991,Lower Saxony,West,A Bit Too Large,0.11877,47,453,0.08895,0.14860
1991,Bremen,West,Just Right,0.79946,44,44,0.67978,0.91914
1991,North Rhine-Westphalia,West,Much Too Small,0.03076,50,1223,0.02108,0.04044
1991,North Rhine-Westphalia,West,A Bit Too Small,0.16620,235,1223,0.14533,0.18707
1991,North Rhine-Westphalia,West,Just Right,0.71707,868,1223,0.69182,0.74233
1991,North Rhine-Westphalia,West,A Bit Too Large,0.06832,70,1223,0.05417,0.08246
1991,Hesse,West,A Bit Too Small,0.14219,96,421,0.10879,0.17559
1991,Hesse,West,Just Right,0.67688,291,421,0.63215,0.72160
1991,Hesse,West,A Bit Too Large,0.10652,34,421,0.07702,0.13603
1991,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.11897,39,285,0.08131,0.15662
1991,"Rhineland-Palatinate, Saarland",West,Just Right,0.73126,246,285,0.67970,0.78282
1991,Baden-Wuerttemberg,West,Much Too Small,0.01501,31,802,0.00659,0.02343
1991,Baden-Wuerttemberg,West,A Bit Too Small,0.14094,132,802,0.11684,0.16504
1991,Baden-Wuerttemberg,West,Just Right,0.74048,604,802,0.71012,0.77084
1991,Baden-Wuerttemberg,West,A Bit Too Large,0.06146,35,802,0.04483,0.07810
1991,Bavaria,West,A Bit Too Small,0.13227,125,748,0.10798,0.15657
1991,Bavaria,West,Just Right,0.71501,559,748,0.68263,0.74738
1991,Bavaria,West,A Bit Too Large,0.08866,64,748,0.06828,0.10905
1991,Berlin,West,A Bit Too Small,0.20852,43,152,0.14372,0.27331
1991,Berlin,West,Just Right,0.66895,109,152,0.59389,0.74401
1991,Berlin,East,Just Right,0.75221,108,108,0.67041,0.83402
1991,Brandenburg,East,A Bit Too Small,0.17846,73,280,0.13353,0.22339
1991,Brandenburg,East,Just Right,0.68323,207,280,0.62864,0.73782
1991,Mecklenburg-Western Pomerania,East,A Bit Too Small,0.17772,42,187,0.12278,0.23265
1991,Mecklenburg-Western Pomerania,East,Just Right,0.66476,145,187,0.59692,0.73261
1991,Saxony,East,Much Too Small,0.04018,32,590,0.02432,0.05604
1991,Saxony,East,A Bit Too Small,0.20090,135,590,0.16854,0.23326
1991,Saxony,East,Just Right,0.68182,389,590,0.64420,0.71944
1991,Saxony,East,A Bit Too Large,0.06192,34,590,0.04245,0.08138
1991,Saxony-Anhalt,East,A Bit Too Small,0.17846,84,338,0.13758,0.21934
1991,Saxony-Anhalt,East,Just Right,0.72788,254,338,0.68036,0.77539
1991,Thuringa,East,A Bit Too Small,0.16988,57,307,0.12780,0.21195
1991,Thuringa,East,Just Right,0.75199,250,307,0.70360,0.80038
1992,Schleswig-Holstein,West,Just Right,0.68091,100,100,0.58908,0.77273
1992,Hamburg,West,Just Right,0.72541,64,64,0.61520,0.83562
1992,Lower Saxony,West,A Bit Too Small,0.14242,80,466,0.11065,0.17418
1992,Lower Saxony,West,Just Right,0.69967,338,466,0.65800,0.74133
1992,Lower Saxony,West,A Bit Too Large,0.11578,48,466,0.08670,0.14486
1992,Bremen,West,Just Right,0.65010,36,36,0.49209,0.80811
1992,North Rhine-Westphalia,West,Much Too Small,0.02780,51,1220,0.01858,0.03703
1992,North Rhine-Westphalia,West,A Bit Too Small,0.15615,230,1220,0.13578,0.17653
1992,North Rhine-Westphalia,West,Just Right,0.71101,868,1220,0.68556,0.73646
1992,North Rhine-Westphalia,West,A Bit Too Large,0.07498,71,1220,0.06020,0.08977
1992,Hesse,West,A Bit Too Small,0.13387,91,396,0.10029,0.16745
1992,Hesse,West,Just Right,0.71819,305,396,0.67382,0.76256
1992,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.15945,57,295,0.11760,0.20129
1992,"Rhineland-Palatinate, Saarland",West,Just Right,0.73071,238,295,0.68001,0.78142
1992,Baden-Wuerttemberg,West,Much Too Small,0.02733,45,801,0.01603,0.03863
1992,Baden-Wuerttemberg,West,A Bit Too Small,0.13483,130,801,0.11116,0.15850
1992,Baden-Wuerttemberg,West,Just Right,0.73056,583,801,0.69982,0.76131
1992,Baden-Wuerttemberg,West,A Bit Too Large,0.07510,43,801,0.05684,0.09337
1992,Bavaria,West,A Bit Too Small,0.13499,135,782,0.11102,0.15896
1992,Bavaria,West,Just Right,0.74484,589,782,0.71427,0.77542
1992,Bavaria,West,A Bit Too Large,0.08497,58,782,0.06541,0.10452
1992,Berlin,West,A Bit Too Small,0.22305,41,146,0.15529,0.29081
1992,Berlin,West,Just Right,0.65772,105,146,0.58050,0.73495
1992,Berlin,East,Just Right,0.69817,108,108,0.61118,0.78515
1992,Brandenburg,East,A Bit Too Small,0.19269,77,275,0.14599,0.23939
1992,Brandenburg,East,Just Right,0.66243,198,275,0.60644,0.71843
1992,Mecklenburg-Western Pomerania,East,A Bit Too Small,0.20316,45,178,0.14389,0.26244
1992,Mecklenburg-Western Pomerania,East,Just Right,0.69716,133,178,0.62947,0.76485
1992,Saxony,East,A Bit Too Small,0.18636,126,549,0.15376,0.21896
1992,Saxony,East,Just Right,0.69911,379,549,0.66071,0.73751
1992,Saxony,East,A Bit Too Large,0.06986,44,549,0.04852,0.09120
1992,Saxony-Anhalt,East,A Bit Too Small,0.16219,78,355,0.12379,0.20059
1992,Saxony-Anhalt,East,Just Right,0.69962,243,355,0.65186,0.74737
1992,Saxony-Anhalt,East,A Bit Too Large,0.11219,34,355,0.07931,0.14507
1992,Thuringa,East,A Bit Too Small,0.14732,48,300,0.10714,0.18749
1992,Thuringa,East,Just Right,0.76798,252,300,0.72013,0.81583
1993,Schleswig-Holstein,West,A Bit Too Small,0.17668,32,135,0.11211,0.24126
1993,Schleswig-Holstein,West,Just Right,0.66293,103,135,0.58289,0.74297
1993,Hamburg,West,Just Right,0.77446,66,66,0.67286,0.87606
1993,Lower Saxony,West,A Bit Too Small,0.11863,71,477,0.08958,0.14767
1993,Lower Saxony,West,Just Right,0.70503,354,477,0.66406,0.74600
1993,Lower Saxony,West,A Bit Too Large,0.12774,52,477,0.09775,0.15772
1993,Bremen,West,Just Right,0.71762,40,40,0.57633,0.85890
1993,North Rhine-Westphalia,West,Much Too Small,0.02869,58,1231,0.01936,0.03801
1993,North Rhine-Westphalia,West,A Bit Too Small,0.17163,254,1231,0.15056,0.19270
1993,North Rhine-Westphalia,West,Just Right,0.68966,837,1231,0.66380,0.71551
1993,North Rhine-Westphalia,West,A Bit Too Large,0.08336,82,1231,0.06791,0.09881
1993,Hesse,West,A Bit Too Small,0.14683,88,428,0.11326,0.18040
1993,Hesse,West,Just Right,0.70370,302,428,0.66039,0.74701
1993,Hesse,West,A Bit Too Large,0.09748,38,428,0.06935,0.12562
1993,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.13697,45,281,0.09670,0.17724
1993,"Rhineland-Palatinate, Saarland",West,Just Right,0.74280,236,281,0.69160,0.79400
1993,Baden-Wuerttemberg,West,Much Too Small,0.03080,45,805,0.01886,0.04275
1993,Baden-Wuerttemberg,West,A Bit Too Small,0.12185,126,805,0.09924,0.14446
1993,Baden-Wuerttemberg,West,Just Right,0.73582,592,805,0.70535,0.76630
1993,Baden-Wuerttemberg,West,A Bit Too Large,0.06422,42,805,0.04727,0.08116
1993,Bavaria,West,A Bit Too Small,0.15160,138,788,0.12654,0.17666
1993,Bavaria,West,Just Right,0.72592,588,788,0.69475,0.75708
1993,Bavaria,West,A Bit Too Large,0.08242,62,788,0.06320,0.10163
1993,Berlin,West,A Bit Too Small,0.22219,35,146,0.15452,0.28985
1993,Berlin,West,Just Right,0.67235,111,146,0.59596,0.74875
1993,Berlin,East,A Bit Too Small,0.26436,31,132,0.18884,0.33987
1993,Berlin,East,Just Right,0.63508,101,132,0.55264,0.71752
1993,Brandenburg,East,A Bit Too Small,0.17185,70,273,0.12702,0.21668
1993,Brandenburg,East,Just Right,0.68787,203,273,0.63280,0.74294
1993,Mecklenburg-Western Pomerania,East,A Bit Too Small,0.16926,41,179,0.11417,0.22435
1993,Mecklenburg-Western Pomerania,East,Just Right,0.71348,138,179,0.64705,0.77990
1993,Saxony,East,A Bit Too Small,0.19796,121,534,0.16413,0.23179
1993,Saxony,East,Just Right,0.69402,369,534,0.65490,0.73315
1993,Saxony,East,A Bit Too Large,0.07404,44,534,0.05181,0.09627
1993,Saxony-Anhalt,East,A Bit Too Small,0.15360,69,304,0.11300,0.19420
1993,Saxony-Anhalt,East,Just Right,0.67241,235,304,0.61956,0.72526
1993,Thuringa,East,A Bit Too Small,0.15378,53,286,0.11190,0.19566
1993,Thuringa,East,Just Right,0.75113,233,286,0.70093,0.80133
1994,Schleswig-Holstein,West,A Bit Too Small,0.18176,32,126,0.11415,0.24936
1994,Schleswig-Holstein,West,Just Right,0.64618,94,126,0.56236,0.73001
1994,Hamburg,West,Just Right,0.67440,60,60,0.55482,0.79397
1994,Lower Saxony,West,A Bit Too Small,0.10203,56,471,0.07467,0.12940
1994,Lower Saxony,West,Just Right,0.73207,365,471,0.69203,0.77211
1994,Lower Saxony,West,A Bit Too Large,0.11160,50,471,0.08314,0.14007
1994,Bremen,West,Just Right,0.76239,37,37,0.62336,0.90143
1994,North Rhine-Westphalia,West,Much Too Small,0.01954,47,1201,0.01171,0.02737
1994,North Rhine-Westphalia,West,A Bit Too Small,0.16660,232,1201,0.14552,0.18768
1994,North Rhine-Westphalia,West,Just Right,0.71067,852,1201,0.68501,0.73633
1994,North Rhine-Westphalia,West,A Bit Too Large,0.07391,70,1201,0.05911,0.08872
1994,Hesse,West,A Bit Too Small,0.13201,83,420,0.09960,0.16442
1994,Hesse,West,Just Right,0.69073,301,420,0.64647,0.73499
1994,Hesse,West,A Bit Too Large,0.10901,36,420,0.07917,0.13885
1994,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.13626,41,280,0.09601,0.17652
1994,"Rhineland-Palatinate, Saarland",West,Just Right,0.74551,239,280,0.69440,0.79662
1994,Baden-Wuerttemberg,West,A Bit Too Small,0.12608,131,761,0.10248,0.14968
1994,Baden-Wuerttemberg,West,Just Right,0.73224,588,761,0.70076,0.76372
1994,Baden-Wuerttemberg,West,A Bit Too Large,0.07791,42,761,0.05885,0.09696
1994,Bavaria,West,A Bit Too Small,0.11943,117,778,0.09663,0.14223
1994,Bavaria,West,Just Right,0.71125,584,778,0.67939,0.74312
1994,Bavaria,West,A Bit Too Large,0.11237,77,778,0.09016,0.13458
1994,Berlin,West,A Bit Too Small,0.23352,41,140,0.16318,0.30385
1994,Berlin,West,Just Right,0.65191,99,140,0.57272,0.73111
1994,Berlin,East,Just Right,0.62569,89,89,0.52458,0.72681
1994,Brandenburg,East,A Bit Too Small,0.15855,57,263,0.11432,0.20278
1994,Brandenburg,East,Just Right,0.70697,206,263,0.65186,0.76209
1994,Mecklenburg-Western Pomerania,East,A Bit Too Small,0.18821,41,174,0.12996,0.24646
1994,Mecklenburg-Western Pomerania,East,Just Right,0.70140,133,174,0.63320,0.76960
1994,Saxony,East,A Bit Too Small,0.16778,102,525,0.13578,0.19977
1994,Saxony,East,Just Right,0.67922,368,525,0.63925,0.71918
1994,Saxony,East,A Bit Too Large,0.10332,55,525,0.07726,0.12938
1994,Saxony-Anhalt,East,A Bit Too Small,0.21142,77,300,0.16514,0.25770
1994,Saxony-Anhalt,East,Just Right,0.67509,223,300,0.62200,0.72817
1994,Thuringa,East,A Bit Too Small,0.17451,57,293,0.13098,0.21805
1994,Thuringa,East,Just Right,0.72366,236,293,0.67236,0.77495
1995,Schleswig-Holstein,West,Just Right,0.64471,97,97,0.54897,0.74045
1995,Hamburg,West,Just Right,0.70429,58,58,0.58581,0.82276
1995,Lower Saxony,West,A Bit Too Small,0.12127,76,506,0.09280,0.14974
1995,Lower Saxony,West,Just Right,0.71114,371,506,0.67161,0.75067
1995,Lower Saxony,West,A Bit Too Large,0.12318,59,506,0.09452,0.15185
1995,Bremen,West,Just Right,0.73374,36,36,0.58730,0.88017
1995,North Rhine-Westphalia,West,Much Too Small,0.02251,57,1281,0.01439,0.03064
1995,North Rhine-Westphalia,West,A Bit Too Small,0.15283,232,1281,0.13312,0.17254
1995,North Rhine-Westphalia,West,Just Right,0.71445,905,1281,0.68971,0.73920
1995,North Rhine-Westphalia,West,A Bit Too Large,0.09032,87,1281,0.07461,0.10602
1995,Hesse,West,A Bit Too Small,0.15569,93,450,0.12216,0.18923
1995,Hesse,West,Just Right,0.69597,320,450,0.65342,0.73852
1995,Hesse,West,A Bit Too Large,0.09120,37,450,0.06457,0.11783
1995,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.15139,57,310,0.11143,0.19136
1995,"Rhineland-Palatinate, Saarland",West,Just Right,0.71658,253,310,0.66633,0.76683
1995,Baden-Wuerttemberg,West,A Bit Too Small,0.12704,145,801,0.10396,0.15012
1995,Baden-Wuerttemberg,West,Just Right,0.74571,613,801,0.71553,0.77588
1995,Baden-Wuerttemberg,West,A Bit Too Large,0.07634,43,801,0.05794,0.09474
1995,Bavaria,West,Much Too Small,0.03243,32,858,0.02057,0.04430
1995,Bavaria,West,A Bit Too Small,0.13483,130,858,0.11197,0.15770
1995,Bavaria,West,Just Right,0.71075,621,858,0.68039,0.74111
1995,Bavaria,West,A Bit Too Large,0.10799,75,858,0.08721,0.12877
1995,Berlin,West,A Bit Too Small,0.22823,41,151,0.16106,0.29539
1995,Berlin,West,Just Right,0.61209,110,151,0.53411,0.69007
1995,Berlin,East,A Bit Too Small,0.29859,34,122,0.21705,0.38013
1995,Berlin,East,Just Right,0.58968,88,122,0.50203,0.67732
1995,Brandenburg,East,A Bit Too Small,0.16681,58,248,0.12031,0.21330
1995,Brandenburg,East,Just Right,0.69702,190,248,0.63971,0.75433
1995,Mecklenburg-Western Pomerania,East,A Bit Too Small,0.17961,38,180,0.12338,0.23585
