year,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,West,A Bit Too Small,0.14541,823,5182,0.13581,0.15501
1999,West,Just Right,0.72253,3758,5182,0.71034,0.73472
1999,West,A Bit Too Large,0.10296,453,5182,0.09469,0.11124
1999,West,Much Too Large,0.00729,31,5182,0.00497,0.00960
1999,East,A Bit Too Small,0.14830,294,1886,0.13225,0.16434
1999,East,Just Right,0.74848,1438,1886,0.72889,0.76806
1999,East,A Bit Too Large,0.08474,154,1886,0.07217,0.09732
2000,West,Much Too Small,0.01770,192,9811,0.01509,0.02031
2000,West,A Bit Too Small,0.13744,1383,9811,0.13062,0.14425
2000,West,Just Right,0.73153,7247,9811,0.72276,0.74030
2000,West,A Bit Too Large,0.09548,900,9811,0.08966,0.10129
2000,West,Much Too Large,0.01094,89,9811,0.00888,0.01300
2000,East,Much Too Small,0.01847,47,3050,0.01369,0.02324
2000,East,A Bit Too Small,0.13077,422,3050,0.11880,0.14273
2000,East,Just Right,0.75277,2314,3050,0.73746,0.76809
2000,East,A Bit Too Large,0.08970,267,3050,0.07956,0.09985
2001,West,Much Too Small,0.01794,174,8790,0.01517,0.02072
2001,West,A Bit Too Small,0.13620,1242,8790,0.12903,0.14337
2001,West,Just Right,0.73075,6481,8790,0.72148,0.74002
2001,West,A Bit Too Large,0.09972,820,8790,0.09346,0.10599
2001,West,Much Too Large,0.00984,73,8790,0.00778,0.01190
2001,East,Much Too Small,0.01253,35,2819,0.00842,0.01664
2001,East,A Bit Too Small,0.12244,365,2819,0.11034,0.13454
2001,East,Just Right,0.76240,2178,2819,0.74669,0.77812
2001,East,A Bit Too Large,0.09357,241,2819,0.08281,0.10432
2002,West,Much Too Small,0.02123,204,9347,0.01831,0.02416
2002,West,A Bit Too Small,0.14054,1356,9347,0.13350,0.14759
2002,West,Just Right,0.70264,6616,9347,0.69337,0.71191
2002,West,A Bit Too Large,0.11630,1028,9347,0.10980,0.12279
2002,West,Much Too Large,0.01587,143,9347,0.01334,0.01841
2002,East,Much Too Small,0.01569,40,2815,0.01110,0.02029
2002,East,A Bit Too Small,0.11989,355,2815,0.10789,0.13189
2002,East,Just Right,0.76575,2173,2815,0.75010,0.78140
2002,East,A Bit Too Large,0.08868,247,2815,0.07818,0.09919
2003,West,Much Too Small,0.01903,168,8981,0.01620,0.02185
2003,West,A Bit Too Small,0.14603,1310,8981,0.13872,0.15333
2003,West,Just Right,0.70077,6364,8981,0.69130,0.71024
2003,West,A Bit Too Large,0.11668,1005,8981,0.11004,0.12332
2003,West,Much Too Large,0.01494,134,8981,0.01243,0.01745
2003,East,Much Too Small,0.01226,34,2786,0.00818,0.01635
2003,East,A Bit Too Small,0.12486,347,2786,0.11259,0.13714
2003,East,Just Right,0.76479,2143,2786,0.74904,0.78055
2003,East,A Bit Too Large,0.09103,262,2786,0.08035,0.10172
2004,West,Much Too Small,0.01702,145,8746,0.01430,0.01973
2004,West,A Bit Too Small,0.13282,1183,8746,0.12571,0.13993
2004,West,Just Right,0.71541,6297,8746,0.70595,0.72486
2004,West,A Bit Too Large,0.11728,1002,8746,0.11054,0.12403
2004,West,Much Too Large,0.01311,119,8746,0.01072,0.01549
2004,East,Much Too Small,0.01372,35,2738,0.00937,0.01808
2004,East,A Bit Too Small,0.12215,333,2738,0.10988,0.13442
2004,East,Just Right,0.76772,2110,2738,0.75190,0.78354
2004,East,A Bit Too Large,0.08702,260,2738,0.07646,0.09758
2005,West,Much Too Small,0.01457,117,8497,0.01202,0.01712
2005,West,A Bit Too Small,0.14000,1173,8497,0.13262,0.14738
2005,West,Just Right,0.71540,6144,8497,0.70580,0.72499
2005,West,A Bit Too Large,0.11475,942,8497,0.10797,0.12153
2005,West,Much Too Large,0.01401,121,8497,0.01151,0.01651
2005,East,A Bit Too Small,0.12561,339,2633,0.11295,0.13827
2005,East,Just Right,0.76750,2049,2633,0.75136,0.78364
2005,East,A Bit Too Large,0.08274,245,2633,0.07222,0.09326
2006,West,Much Too Small,0.01920,149,9321,0.01642,0.02199
2006,West,A Bit Too Small,0.13632,1227,9321,0.12936,0.14329
2006,West,Just Right,0.70071,6635,9321,0.69141,0.71001
2006,West,A Bit Too Large,0.12378,1152,9321,0.11709,0.13046
2006,West,Much Too Large,0.01691,158,9321,0.01430,0.01953
2006,East,Much Too Small,0.01327,35,2889,0.00909,0.01744
2006,East,A Bit Too Small,0.11412,345,2889,0.10252,0.12572
2006,East,Just Right,0.76851,2218,2889,0.75312,0.78389
2006,East,A Bit Too Large,0.09090,291,2889,0.08042,0.10139
2007,West,Much Too Small,0.01419,108,8682,0.01170,0.01668
2007,West,A Bit Too Small,0.13626,1180,8682,0.12904,0.14348
2007,West,Just Right,0.70934,6178,8682,0.69979,0.71889
2007,West,A Bit Too Large,0.12367,1081,8682,0.11675,0.13060
2007,West,Much Too Large,0.01512,135,8682,0.01255,0.01769
2007,East,Much Too Small,0.01226,31,2754,0.00815,0.01637
2007,East,A Bit Too Small,0.12188,335,2754,0.10965,0.13410
2007,East,Just Right,0.76310,2092,2754,0.74722,0.77898
2007,East,A Bit Too Large,0.09038,263,2754,0.07967,0.10109
2007,East,Much Too Large,0.01046,33,2754,0.00666,0.01426
2008,West,Much Too Small,0.01365,98,8149,0.01113,0.01617
2008,West,A Bit Too Small,0.12971,1035,8149,0.12241,0.13700
2008,West,Just Right,0.70090,5795,8149,0.69096,0.71084
2008,West,A Bit Too Large,0.12924,1051,8149,0.12195,0.13652
2008,West,Much Too Large,0.02229,170,8149,0.01909,0.02550
2008,East,A Bit Too Small,0.12454,319,2620,0.11190,0.13719
2008,East,Just Right,0.75472,2002,2620,0.73824,0.77120
2008,East,A Bit Too Large,0.09500,268,2620,0.08377,0.10623
2008,East,Much Too Large,0.01255,31,2620,0.00829,0.01682
2009,West,Much Too Small,0.01524,109,7604,0.01248,0.01799
2009,West,A Bit Too Small,0.13657,985,7604,0.12885,0.14429
2009,West,Just Right,0.68684,5310,7604,0.67642,0.69727
2009,West,A Bit Too Large,0.13594,1042,7604,0.12824,0.14365
2009,West,Much Too Large,0.02176,158,7604,0.01848,0.02504
2009,East,Much Too Small,0.01506,34,2551,0.01033,0.01979
2009,East,A Bit Too Small,0.13629,318,2551,0.12297,0.14961
2009,East,Just Right,0.73679,1894,2551,0.71969,0.75388
2009,East,A Bit Too Large,0.09782,271,2551,0.08629,0.10935
2009,East,Much Too Large,0.01283,34,2551,0.00846,0.01720
2010,West,Much Too Small,0.01242,329,10623,0.01031,0.01452
2010,West,A Bit Too Small,0.13406,1891,10623,0.12758,0.14054
2010,West,Just Right,0.68926,7065,10623,0.68046,0.69807
2010,West,A Bit Too Large,0.13568,1153,10623,0.12916,0.14219
2010,West,Much Too Large,0.02515,185,10623,0.02217,0.02812
2010,East,Much Too Small,0.01260,91,3158,0.00871,0.01650
2010,East,A Bit Too Small,0.13872,543,3158,0.12666,0.15078
2010,East,Just Right,0.72469,2197,3158,0.70910,0.74027
2010,East,A Bit Too Large,0.10661,291,3158,0.09585,0.11738
2010,East,Much Too Large,0.01634,36,3158,0.01192,0.02076
2011,West,Much Too Small,0.01363,332,12853,0.01163,0.01564
2011,West,A Bit Too Small,0.13113,2093,12853,0.12529,0.13696
2011,West,Just Right,0.69101,8699,12853,0.68302,0.69900
2011,West,A Bit Too Large,0.14007,1513,12853,0.13407,0.14607
2011,West,Much Too Large,0.02348,216,12853,0.02086,0.02610
2011,East,Much Too Small,0.01266,83,3740,0.00908,0.01625
2011,East,A Bit Too Small,0.13242,610,3740,0.12155,0.14328
2011,East,Just Right,0.73580,2664,3740,0.72167,0.74994
2011,East,A Bit Too Large,0.10635,344,3740,0.09647,0.11623
2011,East,Much Too Large,0.01106,39,3740,0.00771,0.01442
2012,West,Much Too Small,0.01561,282,12585,0.01345,0.01778
2012,West,A Bit Too Small,0.12043,1919,12585,0.11474,0.12611
2012,West,Just Right,0.70007,8641,12585,0.69207,0.70808
2012,West,A Bit Too Large,0.13894,1499,12585,0.13290,0.14499
2012,West,Much Too Large,0.02390,244,12585,0.02123,0.02657
2012,East,Much Too Small,0.01344,79,3706,0.00973,0.01714
2012,East,A Bit Too Small,0.12704,535,3706,0.11632,0.13777
2012,East,Just Right,0.73272,2678,3706,0.71847,0.74697
2012,East,A Bit Too Large,0.11252,375,3706,0.10235,0.12270
2012,East,Much Too Large,0.01022,39,3706,0.00698,0.01346
2013,West,Much Too Small,0.01660,415,14205,0.01450,0.01870
2013,West,A Bit Too Small,0.12023,2306,14205,0.11488,0.12558
2013,West,Just Right,0.69782,9706,14205,0.69027,0.70537
2013,West,A Bit Too Large,0.13954,1552,14205,0.13384,0.14524
2013,West,Much Too Large,0.02399,226,14205,0.02147,0.02650
2013,East,Much Too Small,0.01112,65,3657,0.00772,0.01452
2013,East,A Bit Too Small,0.12709,545,3657,0.11630,0.13789
2013,East,Just Right,0.74420,2658,3657,0.73006,0.75835
2013,East,A Bit Too Large,0.10470,346,3657,0.09477,0.11462
2013,East,Much Too Large,0.01289,43,3657,0.00923,0.01655
2014,West,Much Too Small,0.01667,338,12431,0.01442,0.01892
2014,West,A Bit Too Small,0.12128,1938,12431,0.11554,0.12702
2014,West,Just Right,0.68490,8431,12431,0.67673,0.69307
2014,West,A Bit Too Large,0.14940,1502,12431,0.14313,0.15567
2014,West,Much Too Large,0.02558,222,12431,0.02281,0.02836
2014,East,Much Too Small,0.01808,78,3372,0.01358,0.02257
2014,East,A Bit Too Small,0.13565,502,3372,0.12409,0.14721
2014,East,Just Right,0.72608,2415,3372,0.71102,0.74113
2014,East,A Bit Too Large,0.10828,346,3372,0.09779,0.11877
2014,East,Much Too Large,0.00763,31,3372,0.00469,0.01056
2015,West,Much Too Small,0.01691,358,12473,0.01465,0.01917
2015,West,A Bit Too Small,0.11291,1901,12473,0.10735,0.11846
2015,West,Just Right,0.69293,8540,12473,0.68484,0.70103
2015,West,A Bit Too Large,0.14859,1448,12473,0.14235,0.15483
2015,West,Much Too Large,0.02671,226,12473,0.02388,0.02954
2015,East,Much Too Small,0.01851,82,3278,0.01389,0.02312
2015,East,A Bit Too Small,0.12257,462,3278,0.11134,0.13380
2015,East,Just Right,0.74560,2385,3278,0.73069,0.76051
2015,East,A Bit Too Large,0.10425,317,3278,0.09378,0.11471
2015,East,Much Too Large,0.00762,32,3278,0.00465,0.01060
2016,West,Much Too Small,0.01497,547,12928,0.01287,0.01706
2016,West,A Bit Too Small,0.11373,2002,12928,0.10826,0.11921
2016,West,Just Right,0.69457,8810,12928,0.68663,0.70251
2016,West,A Bit Too Large,0.14750,1357,12928,0.14139,0.15361
2016,West,Much Too Large,0.02558,212,12928,0.02285,0.02830
2016,East,Much Too Small,0.01481,138,3457,0.01078,0.01884
2016,East,A Bit Too Small,0.13845,553,3457,0.12694,0.14997
2016,East,Just Right,0.72356,2409,3457,0.70865,0.73847
2016,East,A Bit Too Large,0.11069,325,3457,0.10023,0.12115
2016,East,Much Too Large,0.00853,32,3457,0.00547,0.01160
2017,West,Much Too Small,0.01820,642,14458,0.01602,0.02038
2017,West,A Bit Too Small,0.10646,2171,14458,0.10143,0.11148
2017,West,Just Right,0.70064,9844,14458,0.69317,0.70810
2017,West,A Bit Too Large,0.14367,1561,14458,0.13795,0.14939
2017,West,Much Too Large,0.02823,240,14458,0.02553,0.03093
2017,East,Much Too Small,0.01851,131,3790,0.01422,0.02280
2017,East,A Bit Too Small,0.12632,571,3790,0.11574,0.13690
2017,East,Just Right,0.73945,2697,3790,0.72547,0.75342
2017,East,A Bit Too Large,0.10357,353,3790,0.09386,0.11327
2017,East,Much Too Large,0.00959,38,3790,0.00649,0.01270
2018,West,Much Too Small,0.01735,602,14071,0.01519,0.01951
2018,West,A Bit Too Small,0.10914,2151,14071,0.10399,0.11429
2018,West,Just Right,0.69637,9513,14071,0.68877,0.70397
2018,West,A Bit Too Large,0.15001,1592,14071,0.14411,0.15591
2018,West,Much Too Large,0.02346,213,14071,0.02096,0.02596
2018,East,Much Too Small,0.01541,111,3745,0.01147,0.01936
2018,East,A Bit Too Small,0.11711,544,3745,0.10681,0.12741
2018,East,Just Right,0.75353,2761,3745,0.73973,0.76734
2018,East,A Bit Too Large,0.10493,329,3745,0.09511,0.11475
2019,West,Much Too Small,0.01552,546,14448,0.01350,0.01753
2019,West,A Bit Too Small,0.10714,1961,14448,0.10210,0.11219
2019,West,Just Right,0.70125,9878,14448,0.69378,0.70871
2019,West,A Bit Too Large,0.14803,1761,14448,0.14224,0.15383
2019,West,Much Too Large,0.02719,302,14448,0.02454,0.02985
2019,East,Much Too Small,0.01302,91,3906,0.00947,0.01658
2019,East,A Bit Too Small,0.11808,529,3906,0.10796,0.12820
2019,East,Just Right,0.74791,2808,3906,0.73429,0.76153
2019,East,A Bit Too Large,0.11646,437,3906,0.10640,0.12652
2019,East,Much Too Large,0.00448,41,3906,0.00239,0.00658
2020,West,Much Too Small,0.01372,684,15427,0.01189,0.01556
2020,West,A Bit Too Small,0.11553,2370,15427,0.11048,0.12057
2020,West,Just Right,0.68907,10394,15427,0.68177,0.69638
2020,West,A Bit Too Large,0.14744,1698,15427,0.14185,0.15304
2020,West,Much Too Large,0.02949,281,15427,0.02682,0.03216
2020,East,Much Too Small,0.01047,107,3833,0.00725,0.01370
2020,East,A Bit Too Small,0.11790,515,3833,0.10769,0.12812
2020,East,Just Right,0.74794,2777,3833,0.73420,0.76169
2020,East,A Bit Too Large,0.10779,385,3833,0.09798,0.11761
2020,East,Much Too Large,0.01091,49,3833,0.00762,0.01420
2021,West,Much Too Small,0.01294,348,9969,0.01072,0.01516
2021,West,A Bit Too Small,0.10698,1417,9969,0.10091,0.11304
2021,West,Just Right,0.69148,6672,9969,0.68241,0.70055
2021,West,A Bit Too Large,0.15688,1302,9969,0.14974,0.16402
2021,West,Much Too Large,0.03038,230,9969,0.02701,0.03374
2021,East,Much Too Small,0.01602,80,2587,0.01118,0.02086
2021,East,A Bit Too Small,0.09950,322,2587,0.08796,0.11103
2021,East,Just Right,0.73951,1831,2587,0.72259,0.75642
2021,East,A Bit Too Large,0.12889,316,2587,0.11598,0.14181
2021,East,Much Too Large,0.01483,38,2587,0.01017,0.01948
2022,West,Much Too Small,0.01961,537,16044,0.01746,0.02175
2022,West,A Bit Too Small,0.12842,2681,16044,0.12324,0.13360
2022,West,Just Right,0.65462,10411,16044,0.64727,0.66198
2022,West,A Bit Too Large,0.16442,2095,16044,0.15868,0.17015
2022,West,Much Too Large,0.03084,320,16044,0.02816,0.03351
2022,East,Much Too Small,0.01600,124,4386,0.01228,0.01971
2022,East,A Bit Too Small,0.12641,726,4386,0.11658,0.13625
2022,East,Just Right,0.71461,3025,4386,0.70125,0.72798
2022,East,A Bit Too Large,0.12220,453,4386,0.11251,0.13190
2022,East,Much Too Large,0.02031,58,4386,0.01614,0.02449
