year,regtyp,rentown,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Urban regions,Tenant,A Bit Too Small,0.14248,429,2535,0.12887,0.15609
1988,Urban regions,Tenant,Just Right,0.76793,1903,2535,0.75150,0.78437
1988,Urban regions,Tenant,A Bit Too Large,0.05686,108,2535,0.04784,0.06587
1988,Rural regions,Owner,A Bit Too Small,0.06436,36,468,0.04210,0.08661
1988,Rural regions,Owner,Just Right,0.76785,374,468,0.72956,0.80614
1988,Rural regions,Owner,A Bit Too Large,0.13642,58,468,0.10529,0.16755
1988,Rural regions,Tenant,A Bit Too Small,0.09803,57,448,0.07046,0.12559
1988,Rural regions,Tenant,Just Right,0.80075,359,448,0.76372,0.83778
1988,Rural regions,Tenant,A Bit Too Large,0.07452,32,448,0.05018,0.09887
1989,Urban regions,Owner,A Bit Too Small,0.06376,89,1224,0.05006,0.07745
1989,Urban regions,Owner,Just Right,0.80764,1017,1224,0.78555,0.82973
1989,Urban regions,Owner,A Bit Too Large,0.10717,118,1224,0.08983,0.12450
1989,Urban regions,Tenant,Much Too Small,0.02451,92,2467,0.01841,0.03062
1989,Urban regions,Tenant,A Bit Too Small,0.14065,414,2467,0.12693,0.15437
1989,Urban regions,Tenant,Just Right,0.77311,1856,2467,0.75658,0.78965
1989,Urban regions,Tenant,A Bit Too Large,0.05260,105,2467,0.04379,0.06142
1989,Rural regions,Owner,A Bit Too Small,0.06442,35,450,0.04171,0.08713
1989,Rural regions,Owner,Just Right,0.74977,352,450,0.70970,0.78983
1989,Rural regions,Owner,A Bit Too Large,0.15442,63,450,0.12100,0.18785
1989,Rural regions,Tenant,A Bit Too Small,0.09507,53,400,0.06629,0.12385
1989,Rural regions,Tenant,Just Right,0.81067,347,400,0.77222,0.84911
1990,Urban regions,Owner,A Bit Too Small,0.05643,91,1316,0.04395,0.06890
1990,Urban regions,Owner,Just Right,0.81814,1099,1316,0.79729,0.83899
1990,Urban regions,Owner,A Bit Too Large,0.10377,126,1316,0.08729,0.12025
1990,Urban regions,Tenant,Much Too Small,0.02986,134,3039,0.02381,0.03591
1990,Urban regions,Tenant,A Bit Too Small,0.15952,572,3039,0.14650,0.17254
1990,Urban regions,Tenant,Just Right,0.75253,2212,3039,0.73718,0.76787
1990,Urban regions,Tenant,A Bit Too Large,0.04753,121,3039,0.03996,0.05510
1990,Rural regions,Owner,A Bit Too Small,0.07596,95,987,0.05943,0.09250
1990,Rural regions,Owner,Just Right,0.78424,811,987,0.75857,0.80992
1990,Rural regions,Owner,A Bit Too Large,0.11321,81,987,0.09344,0.13299
1990,Rural regions,Tenant,Much Too Small,0.04829,100,1248,0.03639,0.06019
1990,Rural regions,Tenant,A Bit Too Small,0.18412,317,1248,0.16261,0.20563
1990,Rural regions,Tenant,Just Right,0.69477,779,1248,0.66921,0.72033
1990,Rural regions,Tenant,A Bit Too Large,0.05244,52,1248,0.04007,0.06481
1991,Urban regions,Owner,A Bit Too Small,0.07128,114,1297,0.05727,0.08529
1991,Urban regions,Owner,Just Right,0.78677,1057,1297,0.76447,0.80907
1991,Urban regions,Owner,A Bit Too Large,0.10688,126,1297,0.09006,0.12370
1991,Urban regions,Tenant,Much Too Small,0.03704,170,2940,0.03021,0.04387
1991,Urban regions,Tenant,A Bit Too Small,0.20216,684,2940,0.18764,0.21668
1991,Urban regions,Tenant,Just Right,0.68061,1963,2940,0.66375,0.69747
1991,Urban regions,Tenant,A Bit Too Large,0.05211,123,2940,0.04408,0.06015
1991,Rural regions,Owner,A Bit Too Small,0.08693,93,959,0.06909,0.10477
1991,Rural regions,Owner,Just Right,0.73338,764,959,0.70538,0.76138
1991,Rural regions,Owner,A Bit Too Large,0.13934,102,959,0.11741,0.16127
1991,Rural regions,Tenant,Much Too Small,0.04337,72,1198,0.03183,0.05491
1991,Rural regions,Tenant,A Bit Too Small,0.20217,308,1198,0.17942,0.22492
1991,Rural regions,Tenant,Just Right,0.66894,765,1198,0.64228,0.69560
1991,Rural regions,Tenant,A Bit Too Large,0.05561,53,1198,0.04263,0.06860
1992,Urban regions,Owner,A Bit Too Small,0.07667,126,1324,0.06233,0.09100
1992,Urban regions,Owner,Just Right,0.77706,1072,1324,0.75463,0.79949
1992,Urban regions,Owner,A Bit Too Large,0.10537,126,1324,0.08882,0.12191
1992,Urban regions,Tenant,Much Too Small,0.03875,178,2936,0.03177,0.04574
1992,Urban regions,Tenant,A Bit Too Small,0.20948,705,2936,0.19475,0.22420
1992,Urban regions,Tenant,Just Right,0.67083,1913,2936,0.65383,0.68783
1992,Urban regions,Tenant,A Bit Too Large,0.05856,140,2936,0.05007,0.06706
1992,Rural regions,Owner,A Bit Too Small,0.06943,82,924,0.05304,0.08583
1992,Rural regions,Owner,Just Right,0.75955,737,924,0.73198,0.78712
1992,Rural regions,Owner,A Bit Too Large,0.13423,105,924,0.11224,0.15622
1992,Rural regions,Tenant,Much Too Small,0.03181,54,1191,0.02184,0.04178
1992,Rural regions,Tenant,A Bit Too Small,0.19749,294,1191,0.17487,0.22011
1992,Rural regions,Tenant,Just Right,0.70540,781,1191,0.67950,0.73130
1992,Rural regions,Tenant,A Bit Too Large,0.05837,62,1191,0.04505,0.07169
1993,Urban regions,Owner,A Bit Too Small,0.07041,118,1310,0.05655,0.08427
1993,Urban regions,Owner,Just Right,0.76605,1040,1310,0.74312,0.78899
1993,Urban regions,Owner,A Bit Too Large,0.12266,152,1310,0.10489,0.14044
1993,Urban regions,Tenant,Much Too Small,0.03984,180,2946,0.03278,0.04690
1993,Urban regions,Tenant,A Bit Too Small,0.21432,700,2946,0.19950,0.22914
1993,Urban regions,Tenant,Just Right,0.66887,1923,2946,0.65188,0.68587
1993,Urban regions,Tenant,A Bit Too Large,0.05177,143,2946,0.04377,0.05977
1993,Rural regions,Owner,A Bit Too Small,0.08922,99,930,0.07089,0.10755
1993,Rural regions,Owner,Just Right,0.74397,732,930,0.71591,0.77204
1993,Rural regions,Owner,A Bit Too Large,0.13694,99,930,0.11483,0.15905
1993,Rural regions,Tenant,Much Too Small,0.02840,45,1215,0.01906,0.03775
1993,Rural regions,Tenant,A Bit Too Small,0.18916,282,1215,0.16713,0.21119
1993,Rural regions,Tenant,Just Right,0.69612,813,1215,0.67025,0.72200
1993,Rural regions,Tenant,A Bit Too Large,0.06901,75,1215,0.05475,0.08327
1994,Urban regions,Owner,A Bit Too Small,0.07520,112,1313,0.06093,0.08947
1994,Urban regions,Owner,Just Right,0.76046,1053,1313,0.73736,0.78355
1994,Urban regions,Owner,A Bit Too Large,0.12726,148,1313,0.10923,0.14530
1994,Urban regions,Tenant,Much Too Small,0.03337,163,2874,0.02681,0.03994
1994,Urban regions,Tenant,A Bit Too Small,0.20335,663,2874,0.18863,0.21807
1994,Urban regions,Tenant,Just Right,0.67337,1904,2874,0.65622,0.69052
1994,Urban regions,Tenant,A Bit Too Large,0.05631,144,2874,0.04788,0.06474
1994,Rural regions,Owner,A Bit Too Small,0.07605,92,933,0.05903,0.09307
1994,Rural regions,Owner,Just Right,0.73558,725,933,0.70726,0.76389
1994,Rural regions,Owner,A Bit Too Large,0.14454,116,933,0.12196,0.16711
1994,Rural regions,Tenant,Much Too Small,0.03545,52,1169,0.02485,0.04606
1994,Rural regions,Tenant,A Bit Too Small,0.18576,256,1169,0.16346,0.20807
1994,Rural regions,Tenant,Just Right,0.69554,791,1169,0.66915,0.72193
1994,Rural regions,Tenant,A Bit Too Large,0.06691,70,1169,0.05258,0.08124
1995,Urban regions,Owner,A Bit Too Small,0.07419,118,1348,0.06019,0.08819
1995,Urban regions,Owner,Just Right,0.75496,1079,1348,0.73199,0.77793
1995,Urban regions,Owner,A Bit Too Large,0.13385,151,1348,0.11567,0.15203
1995,Urban regions,Tenant,Much Too Small,0.03740,158,3004,0.03061,0.04419
1995,Urban regions,Tenant,A Bit Too Small,0.20372,687,3004,0.18932,0.21813
1995,Urban regions,Tenant,Just Right,0.68246,2010,3004,0.66581,0.69911
1995,Urban regions,Tenant,A Bit Too Large,0.05785,149,3004,0.04950,0.06620
1995,Rural regions,Owner,A Bit Too Small,0.06686,77,942,0.05090,0.08282
1995,Rural regions,Owner,Just Right,0.72551,726,942,0.69699,0.75402
1995,Rural regions,Owner,A Bit Too Large,0.17962,139,942,0.15510,0.20415
1995,Rural regions,Tenant,Much Too Small,0.02625,49,1252,0.01739,0.03511
1995,Rural regions,Tenant,A Bit Too Small,0.21230,295,1252,0.18964,0.23496
1995,Rural regions,Tenant,Just Right,0.68260,826,1252,0.65681,0.70839
1995,Rural regions,Tenant,A Bit Too Large,0.06618,82,1252,0.05240,0.07995
1996,Urban regions,Owner,A Bit Too Small,0.08144,129,1360,0.06690,0.09598
1996,Urban regions,Owner,Just Right,0.73769,1058,1360,0.71430,0.76108
1996,Urban regions,Owner,A Bit Too Large,0.15034,173,1360,0.13134,0.16934
1996,Urban regions,Tenant,Much Too Small,0.02855,137,2967,0.02256,0.03454
1996,Urban regions,Tenant,A Bit Too Small,0.20425,666,2967,0.18974,0.21876
1996,Urban regions,Tenant,Just Right,0.68620,2003,2967,0.66950,0.70290
1996,Urban regions,Tenant,A Bit Too Large,0.06561,161,2967,0.05670,0.07452
1996,Rural regions,Owner,A Bit Too Small,0.07144,71,968,0.05521,0.08768
1996,Rural regions,Owner,Just Right,0.70706,762,968,0.67837,0.73574
1996,Rural regions,Owner,A Bit Too Large,0.18755,135,968,0.16295,0.21216
1996,Rural regions,Tenant,Much Too Small,0.02805,44,1207,0.01873,0.03737
1996,Rural regions,Tenant,A Bit Too Small,0.18631,271,1207,0.16433,0.20828
1996,Rural regions,Tenant,Just Right,0.70420,817,1207,0.67845,0.72996
1996,Rural regions,Tenant,A Bit Too Large,0.06725,75,1207,0.05311,0.08139
1997,Urban regions,Owner,A Bit Too Small,0.08347,138,1390,0.06893,0.09802
1997,Urban regions,Owner,Just Right,0.74685,1088,1390,0.72398,0.76971
1997,Urban regions,Owner,A Bit Too Large,0.13994,164,1390,0.12169,0.15818
1997,Urban regions,Tenant,Much Too Small,0.02731,103,2885,0.02136,0.03326
1997,Urban regions,Tenant,A Bit Too Small,0.20552,635,2885,0.19077,0.22026
1997,Urban regions,Tenant,Just Right,0.68484,1987,2885,0.66788,0.70179
1997,Urban regions,Tenant,A Bit Too Large,0.06878,160,2885,0.05954,0.07801
1997,Rural regions,Owner,A Bit Too Small,0.08335,87,995,0.06617,0.10054
1997,Rural regions,Owner,Just Right,0.71467,776,995,0.68660,0.74274
1997,Rural regions,Owner,A Bit Too Large,0.18359,132,995,0.15952,0.20765
1997,Rural regions,Tenant,Much Too Small,0.02303,41,1175,0.01445,0.03161
1997,Rural regions,Tenant,A Bit Too Small,0.20209,258,1175,0.17912,0.22506
1997,Rural regions,Tenant,Just Right,0.69737,812,1175,0.67109,0.72365
1997,Rural regions,Tenant,A Bit Too Large,0.06976,64,1175,0.05519,0.08433
1998,Urban regions,Owner,A Bit Too Small,0.09036,158,1611,0.07636,0.10437
1998,Urban regions,Owner,Just Right,0.71459,1227,1611,0.69253,0.73665
1998,Urban regions,Owner,A Bit Too Large,0.14897,226,1611,0.13157,0.16636
1998,Urban regions,Tenant,Much Too Small,0.03581,138,3145,0.02931,0.04230
1998,Urban regions,Tenant,A Bit Too Small,0.19181,675,3145,0.17805,0.20558
1998,Urban regions,Tenant,Just Right,0.67418,2139,3145,0.65779,0.69056
1998,Urban regions,Tenant,A Bit Too Large,0.06959,193,3145,0.06070,0.07848
1998,Rural regions,Owner,A Bit Too Small,0.06388,84,1183,0.04994,0.07782
1998,Rural regions,Owner,Just Right,0.73312,931,1183,0.70790,0.75834
1998,Rural regions,Owner,A Bit Too Large,0.16997,168,1183,0.14856,0.19139
1998,Rural regions,Tenant,Much Too Small,0.02559,36,1252,0.01684,0.03434
1998,Rural regions,Tenant,A Bit Too Small,0.16735,234,1252,0.14667,0.18804
1998,Rural regions,Tenant,Just Right,0.70958,897,1252,0.68443,0.73474
1998,Rural regions,Tenant,A Bit Too Large,0.07735,85,1252,0.06255,0.09216
1999,Urban regions,Owner,A Bit Too Small,0.08713,149,1631,0.07344,0.10082
1999,Urban regions,Owner,Just Right,0.74018,1265,1631,0.71889,0.76147
1999,Urban regions,Owner,A Bit Too Large,0.15083,217,1631,0.13346,0.16821
1999,Urban regions,Tenant,Much Too Small,0.02902,111,3025,0.02303,0.03500
1999,Urban regions,Tenant,A Bit Too Small,0.19613,638,3025,0.18198,0.21028
1999,Urban regions,Tenant,Just Right,0.70610,2114,3025,0.68986,0.72233
1999,Urban regions,Tenant,A Bit Too Large,0.06123,162,3025,0.05268,0.06977
1999,Rural regions,Owner,A Bit Too Small,0.08173,97,1175,0.06606,0.09740
1999,Rural regions,Owner,Just Right,0.74128,933,1175,0.71623,0.76633
1999,Rural regions,Owner,A Bit Too Large,0.15734,145,1175,0.13651,0.17816
1999,Rural regions,Tenant,A Bit Too Small,0.16720,233,1200,0.14608,0.18832
1999,Rural regions,Tenant,Just Right,0.75252,884,1200,0.72809,0.77695
1999,Rural regions,Tenant,A Bit Too Large,0.06377,83,1200,0.04994,0.07760
2000,Urban regions,Owner,A Bit Too Small,0.07187,261,3459,0.06326,0.08048
2000,Urban regions,Owner,Just Right,0.75592,2684,3459,0.74161,0.77024
2000,Urban regions,Owner,A Bit Too Large,0.14028,462,3459,0.12871,0.15186
2000,Urban regions,Owner,Much Too Large,0.01868,52,3459,0.01417,0.02319
2000,Urban regions,Tenant,Much Too Small,0.02951,166,5049,0.02484,0.03417
2000,Urban regions,Tenant,A Bit Too Small,0.19546,1043,5049,0.18452,0.20639
2000,Urban regions,Tenant,Just Right,0.71077,3587,5049,0.69826,0.72327
2000,Urban regions,Tenant,A Bit Too Large,0.05483,253,5049,0.04855,0.06111
2000,Rural regions,Owner,A Bit Too Small,0.06386,151,2302,0.05387,0.07385
2000,Rural regions,Owner,Just Right,0.74958,1789,2302,0.73188,0.76728
2000,Rural regions,Owner,A Bit Too Large,0.15475,323,2302,0.13997,0.16952
2000,Rural regions,Owner,Much Too Large,0.02505,39,2302,0.01867,0.03144
2000,Rural regions,Tenant,Much Too Small,0.02124,44,2024,0.01496,0.02752
2000,Rural regions,Tenant,A Bit Too Small,0.15332,350,2024,0.13762,0.16902
2000,Rural regions,Tenant,Just Right,0.75537,1501,2024,0.73664,0.77411
2000,Rural regions,Tenant,A Bit Too Large,0.06594,129,2024,0.05512,0.07675
2001,Urban regions,Owner,A Bit Too Small,0.07707,249,3109,0.06770,0.08645
2001,Urban regions,Owner,Just Right,0.74376,2394,3109,0.72841,0.75911
2001,Urban regions,Owner,A Bit Too Large,0.15404,426,3109,0.14135,0.16674
2001,Urban regions,Owner,Much Too Large,0.01582,40,3109,0.01143,0.02020
2001,Urban regions,Tenant,Much Too Small,0.02996,152,4612,0.02504,0.03489
2001,Urban regions,Tenant,A Bit Too Small,0.18950,926,4612,0.17819,0.20081
2001,Urban regions,Tenant,Just Right,0.71778,3301,4612,0.70479,0.73077
2001,Urban regions,Tenant,A Bit Too Large,0.05410,233,4612,0.04757,0.06063
2001,Rural regions,Owner,A Bit Too Small,0.06468,150,2105,0.05417,0.07520
2001,Rural regions,Owner,Just Right,0.74779,1633,2105,0.72923,0.76634
2001,Rural regions,Owner,A Bit Too Large,0.15767,288,2105,0.14210,0.17324
2001,Rural regions,Owner,Much Too Large,0.01936,34,2105,0.01347,0.02525
2001,Rural regions,Tenant,A Bit Too Small,0.14505,282,1727,0.12844,0.16167
2001,Rural regions,Tenant,Just Right,0.76721,1331,1727,0.74728,0.78715
2001,Rural regions,Tenant,A Bit Too Large,0.06625,114,1727,0.05451,0.07798
2002,Urban regions,Owner,A Bit Too Small,0.08339,330,3634,0.07440,0.09238
2002,Urban regions,Owner,Just Right,0.71687,2682,3634,0.70222,0.73152
2002,Urban regions,Owner,A Bit Too Large,0.16368,537,3634,0.15165,0.17571
2002,Urban regions,Owner,Much Too Large,0.02724,85,3634,0.02194,0.03253
2002,Urban regions,Tenant,Much Too Small,0.03377,162,4547,0.02852,0.03902
2002,Urban regions,Tenant,A Bit Too Small,0.19715,947,4547,0.18558,0.20872
2002,Urban regions,Tenant,Just Right,0.69587,3183,4547,0.68250,0.70924
2002,Urban regions,Tenant,A Bit Too Large,0.06420,255,4547,0.05707,0.07132
2002,Rural regions,Owner,A Bit Too Small,0.08075,186,2159,0.06926,0.09225
2002,Rural regions,Owner,Just Right,0.71080,1590,2159,0.69167,0.72993
2002,Rural regions,Owner,A Bit Too Large,0.17274,339,2159,0.15679,0.18869
2002,Rural regions,Owner,Much Too Large,0.02597,44,2159,0.01926,0.03268
2002,Rural regions,Tenant,Much Too Small,0.02139,45,1771,0.01465,0.02813
2002,Rural regions,Tenant,A Bit Too Small,0.11938,248,1771,0.10428,0.13449
2002,Rural regions,Tenant,Just Right,0.76650,1334,1771,0.74679,0.78621
2002,Rural regions,Tenant,A Bit Too Large,0.08550,144,1771,0.07248,0.09853
2003,Urban regions,Owner,A Bit Too Small,0.08969,325,3524,0.08025,0.09912
2003,Urban regions,Owner,Just Right,0.70552,2575,3524,0.69047,0.72057
2003,Urban regions,Owner,A Bit Too Large,0.16815,540,3524,0.15580,0.18050
2003,Urban regions,Owner,Much Too Large,0.02808,84,3524,0.02262,0.03353
2003,Urban regions,Tenant,Much Too Small,0.03123,139,4395,0.02609,0.03638
2003,Urban regions,Tenant,A Bit Too Small,0.19431,895,4395,0.18261,0.20601
2003,Urban regions,Tenant,Just Right,0.69754,3097,4395,0.68395,0.71112
2003,Urban regions,Tenant,A Bit Too Large,0.06936,264,4395,0.06184,0.07687
2003,Rural regions,Owner,A Bit Too Small,0.08079,163,2093,0.06911,0.09246
2003,Rural regions,Owner,Just Right,0.72611,1566,2093,0.70700,0.74522
2003,Rural regions,Owner,A Bit Too Large,0.16815,330,2093,0.15213,0.18418
2003,Rural regions,Owner,Much Too Large,0.01931,34,2093,0.01342,0.02521
2003,Rural regions,Tenant,Much Too Small,0.01565,32,1708,0.00976,0.02154
2003,Rural regions,Tenant,A Bit Too Small,0.15029,274,1708,0.13334,0.16725
2003,Rural regions,Tenant,Just Right,0.75527,1269,1708,0.73487,0.77566
2003,Rural regions,Tenant,A Bit Too Large,0.07419,133,1708,0.06176,0.08663
2004,Urban regions,Owner,A Bit Too Small,0.08117,300,3443,0.07205,0.09029
2004,Urban regions,Owner,Just Right,0.71611,2520,3443,0.70105,0.73117
2004,Urban regions,Owner,A Bit Too Large,0.17240,550,3443,0.15978,0.18502
2004,Urban regions,Owner,Much Too Large,0.02224,73,3443,0.01731,0.02716
2004,Urban regions,Tenant,Much Too Small,0.02841,122,4282,0.02344,0.03339
2004,Urban regions,Tenant,A Bit Too Small,0.18209,828,4282,0.17053,0.19365
2004,Urban regions,Tenant,Just Right,0.71762,3075,4282,0.70414,0.73111
2004,Urban regions,Tenant,A Bit Too Large,0.06373,257,4282,0.05641,0.07105
2004,Rural regions,Owner,A Bit Too Small,0.07253,158,2076,0.06137,0.08369
2004,Rural regions,Owner,Just Right,0.72542,1551,2076,0.70621,0.74462
2004,Rural regions,Owner,A Bit Too Large,0.16905,327,2076,0.15292,0.18518
2004,Rural regions,Owner,Much Too Large,0.02283,40,2076,0.01641,0.02926
2004,Rural regions,Tenant,Much Too Small,0.01645,37,1656,0.01032,0.02258
2004,Rural regions,Tenant,A Bit Too Small,0.13230,230,1656,0.11598,0.14862
2004,Rural regions,Tenant,Just Right,0.76244,1261,1656,0.74194,0.78294
2004,Rural regions,Tenant,A Bit Too Large,0.08191,128,1656,0.06869,0.09512
2005,Urban regions,Owner,A Bit Too Small,0.09139,310,3323,0.08159,0.10119
2005,Urban regions,Owner,Just Right,0.71715,2448,3323,0.70183,0.73246
2005,Urban regions,Owner,A Bit Too Large,0.16305,489,3323,0.15049,0.17561
2005,Urban regions,Owner,Much Too Large,0.02472,76,3323,0.01944,0.03000
2005,Urban regions,Tenant,Much Too Small,0.02256,94,4195,0.01806,0.02705
2005,Urban regions,Tenant,A Bit Too Small,0.18703,813,4195,0.17523,0.19883
2005,Urban regions,Tenant,Just Right,0.72208,3035,4195,0.70852,0.73563
2005,Urban regions,Tenant,A Bit Too Large,0.06357,253,4195,0.05618,0.07095
2005,Rural regions,Owner,A Bit Too Small,0.06732,144,2038,0.05644,0.07820
2005,Rural regions,Owner,Just Right,0.72319,1523,2038,0.70376,0.74262
2005,Rural regions,Owner,A Bit Too Large,0.17270,319,2038,0.15629,0.18912
2005,Rural regions,Owner,Much Too Large,0.03139,52,2038,0.02381,0.03896
2005,Rural regions,Tenant,Much Too Small,0.02113,33,1591,0.01406,0.02820
2005,Rural regions,Tenant,A Bit Too Small,0.14701,245,1591,0.12960,0.16442
2005,Rural regions,Tenant,Just Right,0.75103,1187,1591,0.72977,0.77228
2005,Rural regions,Tenant,A Bit Too Large,0.07786,126,1591,0.06469,0.09103
2006,Urban regions,Owner,A Bit Too Small,0.08074,304,3692,0.07195,0.08953
2006,Urban regions,Owner,Just Right,0.70616,2672,3692,0.69146,0.72085
2006,Urban regions,Owner,A Bit Too Large,0.18136,627,3692,0.16893,0.19379
2006,Urban regions,Owner,Much Too Large,0.02745,89,3692,0.02218,0.03272
2006,Urban regions,Tenant,Much Too Small,0.02962,119,4429,0.02462,0.03461
2006,Urban regions,Tenant,A Bit Too Small,0.18563,845,4429,0.17418,0.19708
2006,Urban regions,Tenant,Just Right,0.70830,3183,4429,0.69492,0.72169
2006,Urban regions,Tenant,A Bit Too Large,0.06810,282,4429,0.06068,0.07552
2006,Rural regions,Owner,A Bit Too Small,0.07218,163,2277,0.06155,0.08281
2006,Rural regions,Owner,Just Right,0.69005,1637,2277,0.67105,0.70905
2006,Rural regions,Owner,A Bit Too Large,0.19011,402,2277,0.17399,0.20623
2006,Rural regions,Owner,Much Too Large,0.03541,75,2277,0.02781,0.04300
2006,Rural regions,Tenant,Much Too Small,0.02229,39,1792,0.01545,0.02912
2006,Rural regions,Tenant,A Bit Too Small,0.13073,260,1792,0.11511,0.14634
2006,Rural regions,Tenant,Just Right,0.76507,1361,1792,0.74543,0.78470
2006,Rural regions,Tenant,A Bit Too Large,0.07533,132,1792,0.06310,0.08755
2007,Urban regions,Owner,A Bit Too Small,0.08382,292,3447,0.07457,0.09307
2007,Urban regions,Owner,Just Right,0.70353,2484,3447,0.68828,0.71878
2007,Urban regions,Owner,A Bit Too Large,0.18206,593,3447,0.16918,0.19495
2007,Urban regions,Owner,Much Too Large,0.02423,78,3447,0.01910,0.02937
2007,Urban regions,Tenant,Much Too Small,0.02295,84,4114,0.01837,0.02752
2007,Urban regions,Tenant,A Bit Too Small,0.18899,817,4114,0.17703,0.20096
2007,Urban regions,Tenant,Just Right,0.71459,2947,4114,0.70078,0.72839
2007,Urban regions,Tenant,A Bit Too Large,0.06630,266,4114,0.05870,0.07391
2007,Rural regions,Owner,A Bit Too Small,0.06666,143,2137,0.05608,0.07723
2007,Rural regions,Owner,Just Right,0.71353,1576,2137,0.69436,0.73270
2007,Rural regions,Owner,A Bit Too Large,0.18183,358,2137,0.16547,0.19819
2007,Rural regions,Owner,Much Too Large,0.02993,60,2137,0.02270,0.03715
2007,Rural regions,Tenant,A Bit Too Small,0.13774,263,1653,0.12112,0.15435
2007,Rural regions,Tenant,Just Right,0.76583,1263,1653,0.74541,0.78625
2007,Rural regions,Tenant,A Bit Too Large,0.07859,127,1653,0.06561,0.09156
2008,Urban regions,Owner,A Bit Too Small,0.07839,264,3289,0.06920,0.08758
2008,Urban regions,Owner,Just Right,0.69413,2349,3289,0.67838,0.70988
2008,Urban regions,Owner,A Bit Too Large,0.18263,579,3289,0.16942,0.19583
2008,Urban regions,Owner,Much Too Large,0.03572,97,3289,0.02938,0.04206
2008,Urban regions,Tenant,Much Too Small,0.02213,81,3844,0.01748,0.02678
2008,Urban regions,Tenant,A Bit Too Small,0.18211,721,3844,0.16991,0.19432
2008,Urban regions,Tenant,Just Right,0.71193,2783,3844,0.69761,0.72624
2008,Urban regions,Tenant,A Bit Too Large,0.07150,259,3844,0.06335,0.07965
2008,Rural regions,Owner,A Bit Too Small,0.06457,139,2058,0.05395,0.07519
