year,bula_h,regtyp,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Hesse,Urban regions,Just Right,0.70571,296,382,0.65995,0.75148
1986,Hesse,Rural regions,Just Right,0.83039,51,51,0.72636,0.93441
1986,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.08986,31,258,0.05490,0.12483
1986,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.77678,227,258,0.72587,0.82769
1986,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.76172,47,47,0.63860,0.88483
1986,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.08749,96,731,0.06699,0.10798
1986,Baden-Wuerttemberg,Urban regions,Just Right,0.79841,597,731,0.76931,0.82752
1986,Baden-Wuerttemberg,Urban regions,A Bit Too Large,0.06981,38,731,0.05132,0.08829
1986,Baden-Wuerttemberg,Rural regions,Just Right,0.76151,99,99,0.67714,0.84589
1986,Bavaria,Urban regions,A Bit Too Small,0.13685,76,442,0.10477,0.16893
1986,Bavaria,Urban regions,Just Right,0.73078,327,442,0.68938,0.77218
1986,Bavaria,Urban regions,A Bit Too Large,0.09001,39,442,0.06329,0.11672
1986,Bavaria,Rural regions,A Bit Too Small,0.10321,44,329,0.07028,0.13613
1986,Bavaria,Rural regions,Just Right,0.76441,285,329,0.71848,0.81033
1986,Berlin,Urban regions,A Bit Too Small,0.18821,40,181,0.13110,0.24531
1986,Berlin,Urban regions,Just Right,0.74993,141,181,0.68667,0.81320
1987,Schleswig-Holstein,Urban regions,Just Right,0.78600,62,62,0.68308,0.88892
1987,Schleswig-Holstein,Rural regions,Just Right,0.74826,64,64,0.64108,0.85543
1987,Hamburg,Urban regions,Just Right,0.75683,94,94,0.66963,0.84402
1987,Lower Saxony,Urban regions,Just Right,0.80499,202,202,0.75022,0.85977
1987,Lower Saxony,Rural regions,Just Right,0.76777,198,230,0.71307,0.82246
1987,Lower Saxony,Rural regions,A Bit Too Large,0.13361,32,230,0.08955,0.17768
1987,Bremen,Urban regions,Just Right,0.85485,47,47,0.75306,0.95665
1987,North Rhine-Westphalia,Urban regions,Much Too Small,0.01965,32,1301,0.01211,0.02720
1987,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.11073,181,1301,0.09367,0.12778
1987,North Rhine-Westphalia,Urban regions,Just Right,0.78348,1012,1301,0.76109,0.80587
1987,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.07190,76,1301,0.05786,0.08595
1987,Hesse,Urban regions,A Bit Too Small,0.14349,79,378,0.10810,0.17887
1987,Hesse,Urban regions,Just Right,0.72034,299,378,0.67503,0.76564
1987,Hesse,Rural regions,Just Right,0.80183,46,46,0.68536,0.91830
1987,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.08283,31,256,0.04900,0.11665
1987,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.78217,225,256,0.73151,0.83283
1987,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.78858,48,48,0.67184,0.90531
1987,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.08676,93,727,0.06628,0.10724
1987,Baden-Wuerttemberg,Urban regions,Just Right,0.81930,599,727,0.79131,0.84729
1987,Baden-Wuerttemberg,Urban regions,A Bit Too Large,0.06524,35,727,0.04727,0.08320
1987,Baden-Wuerttemberg,Rural regions,Just Right,0.76531,101,101,0.68224,0.84837
1987,Bavaria,Urban regions,A Bit Too Small,0.14200,76,444,0.10949,0.17450
1987,Bavaria,Urban regions,Just Right,0.74713,334,444,0.70666,0.78761
1987,Bavaria,Urban regions,A Bit Too Large,0.07727,34,444,0.05241,0.10214
1987,Bavaria,Rural regions,A Bit Too Small,0.10431,43,329,0.07123,0.13739
1987,Bavaria,Rural regions,Just Right,0.78334,286,329,0.73876,0.82793
1987,Berlin,Urban regions,A Bit Too Small,0.17472,37,178,0.11878,0.23067
1987,Berlin,Urban regions,Just Right,0.74242,141,178,0.67799,0.80684
1988,Schleswig-Holstein,Urban regions,Just Right,0.77491,59,59,0.66742,0.88239
1988,Schleswig-Holstein,Rural regions,Just Right,0.71483,63,63,0.60244,0.82722
1988,Hamburg,Urban regions,Just Right,0.79775,92,92,0.71522,0.88028
1988,Lower Saxony,Urban regions,Just Right,0.81464,199,199,0.76051,0.86877
1988,Lower Saxony,Rural regions,Just Right,0.78267,188,188,0.72356,0.84178
1988,Bremen,Urban regions,Just Right,0.81841,45,45,0.70450,0.93232
1988,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.11291,170,1212,0.09509,0.13074
1988,North Rhine-Westphalia,Urban regions,Just Right,0.78885,972,1212,0.76586,0.81183
1988,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.06671,70,1212,0.05266,0.08077
1988,Hesse,Urban regions,A Bit Too Small,0.13087,72,356,0.09579,0.16595
1988,Hesse,Urban regions,Just Right,0.73286,284,356,0.68683,0.77889
1988,Hesse,Rural regions,Just Right,0.79345,46,46,0.67517,0.91174
1988,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.78248,222,222,0.72809,0.83688
1988,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.79265,42,42,0.66856,0.91675
1988,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.09542,90,690,0.07348,0.11736
1988,Baden-Wuerttemberg,Urban regions,Just Right,0.82171,600,690,0.79313,0.85029
1988,Baden-Wuerttemberg,Rural regions,Just Right,0.77899,94,94,0.69466,0.86332
1988,Bavaria,Urban regions,A Bit Too Small,0.13321,70,434,0.10121,0.16522
1988,Bavaria,Urban regions,Just Right,0.74749,328,434,0.70656,0.78841
1988,Bavaria,Urban regions,A Bit Too Large,0.08935,36,434,0.06248,0.11622
1988,Bavaria,Rural regions,A Bit Too Small,0.09693,40,312,0.06405,0.12981
1988,Bavaria,Rural regions,Just Right,0.79387,272,312,0.74892,0.83883
1988,Berlin,Urban regions,A Bit Too Small,0.18661,36,170,0.12787,0.24535
1988,Berlin,Urban regions,Just Right,0.74448,134,170,0.67872,0.81024
1989,Schleswig-Holstein,Urban regions,Just Right,0.70482,58,58,0.58641,0.82324
1989,Schleswig-Holstein,Rural regions,Just Right,0.74233,57,57,0.62778,0.85688
1989,Hamburg,Urban regions,Just Right,0.76306,88,88,0.67371,0.85241
1989,Lower Saxony,Urban regions,Just Right,0.79425,195,195,0.73737,0.85114
1989,Lower Saxony,Rural regions,Just Right,0.75962,178,211,0.70183,0.81742
1989,Lower Saxony,Rural regions,A Bit Too Large,0.15775,33,211,0.10845,0.20705
1989,Bremen,Urban regions,Just Right,0.83200,48,48,0.72511,0.93889
1989,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.11317,160,1176,0.09506,0.13128
1989,North Rhine-Westphalia,Urban regions,Just Right,0.79682,954,1176,0.77382,0.81983
1989,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.06255,62,1176,0.04870,0.07639
1989,Hesse,Urban regions,A Bit Too Small,0.13823,78,367,0.10287,0.17359
1989,Hesse,Urban regions,Just Right,0.73194,289,367,0.68656,0.77732
1989,Hesse,Rural regions,Just Right,0.81054,45,45,0.69475,0.92633
1989,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.79649,218,218,0.74292,0.85006
1989,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.73912,35,35,0.59151,0.88672
1989,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.07721,79,658,0.05680,0.09762
1989,Baden-Wuerttemberg,Urban regions,Just Right,0.84416,579,658,0.81643,0.87190
1989,Baden-Wuerttemberg,Rural regions,Just Right,0.82346,91,91,0.74469,0.90224
1989,Bavaria,Urban regions,A Bit Too Small,0.13765,69,417,0.10455,0.17076
1989,Bavaria,Urban regions,Just Right,0.74092,314,417,0.69882,0.78302
1989,Bavaria,Urban regions,A Bit Too Large,0.08428,34,417,0.05758,0.11098
1989,Bavaria,Rural regions,A Bit Too Small,0.09998,43,310,0.06653,0.13342
1989,Bavaria,Rural regions,Just Right,0.77813,267,310,0.73180,0.82446
1989,Berlin,Urban regions,A Bit Too Small,0.18725,34,165,0.12754,0.24695
1989,Berlin,Urban regions,Just Right,0.73290,131,165,0.66518,0.80061
1990,Schleswig-Holstein,Urban regions,Just Right,0.74367,59,59,0.63131,0.85604
1990,Schleswig-Holstein,Rural regions,Just Right,0.73444,54,54,0.61554,0.85334
1990,Hamburg,Urban regions,Just Right,0.75877,82,82,0.66560,0.85194
1990,Lower Saxony,Urban regions,Just Right,0.78596,192,192,0.72779,0.84413
1990,Lower Saxony,Rural regions,Just Right,0.75141,178,178,0.68774,0.81508
1990,Bremen,Urban regions,Just Right,0.84265,46,46,0.73626,0.94904
1990,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.11026,145,1150,0.09215,0.12837
1990,North Rhine-Westphalia,Urban regions,Just Right,0.80385,948,1150,0.78089,0.82681
1990,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.05712,57,1150,0.04370,0.07054
1990,Hesse,Urban regions,A Bit Too Small,0.14430,73,358,0.10785,0.18075
1990,Hesse,Urban regions,Just Right,0.73249,285,358,0.68657,0.77841
1990,Hesse,Rural regions,Just Right,0.80007,46,46,0.68321,0.91693
1990,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.78714,212,212,0.73190,0.84237
1990,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.76106,37,37,0.62175,0.90036
1990,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.07757,77,652,0.05702,0.09811
1990,Baden-Wuerttemberg,Urban regions,Just Right,0.83949,575,652,0.81129,0.86769
1990,Baden-Wuerttemberg,Rural regions,Just Right,0.81161,91,91,0.73083,0.89240
1990,Bavaria,Urban regions,A Bit Too Small,0.12815,61,413,0.09588,0.16043
1990,Bavaria,Urban regions,Just Right,0.75699,320,413,0.71558,0.79841
1990,Bavaria,Urban regions,A Bit Too Large,0.08136,32,413,0.05496,0.10776
1990,Bavaria,Rural regions,A Bit Too Small,0.10339,46,319,0.06992,0.13685
1990,Bavaria,Rural regions,Just Right,0.77306,273,319,0.72702,0.81909
1990,Berlin,Urban regions,A Bit Too Small,0.19866,70,307,0.15395,0.24336
1990,Berlin,Urban regions,Just Right,0.72214,237,307,0.67195,0.77233
1990,Brandenburg,Rural regions,A Bit Too Small,0.18294,71,269,0.13665,0.22923
1990,Brandenburg,Rural regions,Just Right,0.66637,198,269,0.60992,0.72282
1990,Mecklenburg-Western Pomerania,Rural regions,A Bit Too Small,0.20139,42,169,0.14075,0.26203
1990,Mecklenburg-Western Pomerania,Rural regions,Just Right,0.65171,127,169,0.57967,0.72375
1990,Saxony,Urban regions,A Bit Too Small,0.26051,100,295,0.21034,0.31069
1990,Saxony,Urban regions,Just Right,0.60069,195,295,0.54471,0.65668
1990,Saxony,Rural regions,A Bit Too Small,0.18951,70,269,0.14259,0.23643
1990,Saxony,Rural regions,Just Right,0.70332,199,269,0.64863,0.75801
1990,Saxony-Anhalt,Urban regions,Just Right,0.70060,54,54,0.57729,0.82390
1990,Saxony-Anhalt,Rural regions,A Bit Too Small,0.19359,72,273,0.14664,0.24055
1990,Saxony-Anhalt,Rural regions,Just Right,0.70959,201,273,0.65564,0.76354
1990,Thuringa,Urban regions,Just Right,0.68816,74,74,0.58189,0.79443
1990,Thuringa,Rural regions,A Bit Too Small,0.22459,58,217,0.16894,0.28024
1990,Thuringa,Rural regions,Just Right,0.66615,159,217,0.60326,0.72904
1991,Schleswig-Holstein,Urban regions,Just Right,0.76008,55,55,0.64618,0.87398
1991,Schleswig-Holstein,Rural regions,Just Right,0.64863,51,51,0.51630,0.78096
1991,Hamburg,Urban regions,Just Right,0.75712,78,78,0.66133,0.85290
1991,Lower Saxony,Urban regions,A Bit Too Small,0.15340,42,222,0.10589,0.20092
1991,Lower Saxony,Urban regions,Just Right,0.74621,180,222,0.68883,0.80358
1991,Lower Saxony,Rural regions,A Bit Too Small,0.17198,43,215,0.12142,0.22254
1991,Lower Saxony,Rural regions,Just Right,0.60874,141,215,0.54335,0.67413
1991,Lower Saxony,Rural regions,A Bit Too Large,0.16017,31,215,0.11103,0.20931
1991,Bremen,Urban regions,Just Right,0.79946,44,44,0.67978,0.91914
1991,North Rhine-Westphalia,Urban regions,Much Too Small,0.03172,50,1191,0.02176,0.04167
1991,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.16633,230,1191,0.14517,0.18749
1991,North Rhine-Westphalia,Urban regions,Just Right,0.72012,847,1191,0.69461,0.74562
1991,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.06363,64,1191,0.04976,0.07750
1991,Hesse,Urban regions,A Bit Too Small,0.15883,87,334,0.11957,0.19809
1991,Hesse,Urban regions,Just Right,0.66218,247,334,0.61138,0.71298
1991,Hesse,Rural regions,Just Right,0.74338,43,43,0.61129,0.87547
1991,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.13158,36,237,0.08845,0.17471
1991,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.71763,201,237,0.66020,0.77506
1991,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.80261,45,45,0.68500,0.92022
1991,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.14728,117,637,0.11973,0.17482
1991,Baden-Wuerttemberg,Urban regions,Just Right,0.73978,520,637,0.70568,0.77388
1991,Baden-Wuerttemberg,Rural regions,Just Right,0.74971,84,84,0.65652,0.84291
1991,Bavaria,Urban regions,A Bit Too Small,0.14096,69,402,0.10690,0.17502
1991,Bavaria,Urban regions,Just Right,0.70727,296,402,0.66274,0.75181
1991,Bavaria,Urban regions,A Bit Too Large,0.09180,37,402,0.06354,0.12007
1991,Bavaria,Rural regions,A Bit Too Small,0.12254,56,319,0.08650,0.15858
1991,Bavaria,Rural regions,Just Right,0.72367,263,319,0.67452,0.77282
1991,Berlin,Urban regions,A Bit Too Small,0.19504,65,277,0.14829,0.24178
1991,Berlin,Urban regions,Just Right,0.69350,212,277,0.63911,0.74789
1991,Brandenburg,Rural regions,A Bit Too Small,0.17927,67,257,0.13228,0.22626
1991,Brandenburg,Rural regions,Just Right,0.67942,190,257,0.62225,0.73659
1991,Mecklenburg-Western Pomerania,Rural regions,A Bit Too Small,0.15807,33,164,0.10207,0.21408
1991,Mecklenburg-Western Pomerania,Rural regions,Just Right,0.69243,131,164,0.62158,0.76328
1991,Saxony,Urban regions,A Bit Too Small,0.22612,74,264,0.17557,0.27668
1991,Saxony,Urban regions,Just Right,0.65051,190,264,0.59288,0.70814
1991,Saxony,Rural regions,A Bit Too Small,0.17300,58,248,0.12583,0.22018
1991,Saxony,Rural regions,Just Right,0.71372,190,248,0.65735,0.77010
1991,Saxony-Anhalt,Urban regions,Just Right,0.68983,48,48,0.55758,0.82207
1991,Saxony-Anhalt,Rural regions,A Bit Too Small,0.17443,60,262,0.12839,0.22047
1991,Saxony-Anhalt,Rural regions,Just Right,0.74421,202,262,0.69128,0.79715
1991,Thuringa,Urban regions,Just Right,0.80823,78,78,0.72030,0.89617
1991,Thuringa,Rural regions,A Bit Too Small,0.19474,41,209,0.14092,0.24856
1991,Thuringa,Rural regions,Just Right,0.73407,168,209,0.67403,0.79412
1992,Schleswig-Holstein,Urban regions,Just Right,0.73293,53,53,0.61267,0.85318
1992,Schleswig-Holstein,Rural regions,Just Right,0.63813,46,46,0.49772,0.77853
1992,Hamburg,Urban regions,Just Right,0.72541,64,64,0.61520,0.83562
1992,Lower Saxony,Urban regions,A Bit Too Small,0.15904,46,220,0.11061,0.20748
1992,Lower Saxony,Urban regions,Just Right,0.69354,174,220,0.63248,0.75460
1992,Lower Saxony,Rural regions,A Bit Too Small,0.12716,34,196,0.08040,0.17392
1992,Lower Saxony,Rural regions,Just Right,0.70341,162,196,0.63930,0.76752
1992,Bremen,Urban regions,Just Right,0.65010,36,36,0.49209,0.80811
1992,North Rhine-Westphalia,Urban regions,Much Too Small,0.02869,51,1188,0.01920,0.03819
1992,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.15382,223,1188,0.13330,0.17434
1992,North Rhine-Westphalia,Urban regions,Just Right,0.71417,846,1188,0.68847,0.73987
1992,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.07450,68,1188,0.05956,0.08944
1992,Hesse,Urban regions,A Bit Too Small,0.15010,83,339,0.11202,0.18818
1992,Hesse,Urban regions,Just Right,0.70321,256,339,0.65450,0.75191
1992,Hesse,Rural regions,Just Right,0.78902,47,47,0.67112,0.90693
1992,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.16952,52,250,0.12291,0.21612
1992,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.72076,198,250,0.66504,0.77648
1992,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.78519,40,40,0.65629,0.91408
1992,Baden-Wuerttemberg,Urban regions,Much Too Small,0.02576,40,692,0.01395,0.03757
1992,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.13802,112,692,0.11230,0.16374
1992,Baden-Wuerttemberg,Urban regions,Just Right,0.73380,506,692,0.70085,0.76676
1992,Baden-Wuerttemberg,Urban regions,A Bit Too Large,0.06746,34,692,0.04876,0.08616
1992,Baden-Wuerttemberg,Rural regions,Just Right,0.71721,77,77,0.61596,0.81846
1992,Bavaria,Urban regions,A Bit Too Small,0.15979,79,389,0.12333,0.19625
1992,Bavaria,Urban regions,Just Right,0.71976,310,389,0.67507,0.76445
1992,Bavaria,Rural regions,A Bit Too Small,0.10767,56,334,0.07438,0.14096
1992,Bavaria,Rural regions,Just Right,0.77228,278,334,0.72723,0.81732
1992,Berlin,Urban regions,A Bit Too Small,0.21769,70,278,0.16909,0.26629
1992,Berlin,Urban regions,Just Right,0.67072,208,278,0.61538,0.72606
1992,Brandenburg,Rural regions,A Bit Too Small,0.18188,67,241,0.13308,0.23069
1992,Brandenburg,Rural regions,Just Right,0.68321,174,241,0.62435,0.74207
1992,Mecklenburg-Western Pomerania,Rural regions,Just Right,0.74770,121,121,0.66999,0.82541
1992,Saxony,Urban regions,A Bit Too Small,0.21040,72,256,0.16037,0.26043
1992,Saxony,Urban regions,Just Right,0.65591,184,256,0.59760,0.71422
1992,Saxony,Rural regions,A Bit Too Small,0.16138,51,238,0.11455,0.20822
1992,Saxony,Rural regions,Just Right,0.74406,187,238,0.68850,0.79962
1992,Saxony-Anhalt,Urban regions,Just Right,0.66542,51,51,0.53463,0.79621
1992,Saxony-Anhalt,Rural regions,A Bit Too Small,0.14564,54,241,0.10101,0.19027
1992,Saxony-Anhalt,Rural regions,Just Right,0.72030,187,241,0.66351,0.77709
1992,Thuringa,Urban regions,Just Right,0.77112,70,70,0.67199,0.87025
1992,Thuringa,Rural regions,A Bit Too Small,0.13951,31,208,0.09231,0.18671
1992,Thuringa,Rural regions,Just Right,0.77947,177,208,0.72299,0.83595
1993,Schleswig-Holstein,Urban regions,Just Right,0.66585,51,51,0.53510,0.79659
1993,Schleswig-Holstein,Rural regions,Just Right,0.66081,52,52,0.53087,0.79074
1993,Hamburg,Urban regions,Just Right,0.77446,66,66,0.67286,0.87606
1993,Lower Saxony,Urban regions,A Bit Too Small,0.10464,35,220,0.06410,0.14517
1993,Lower Saxony,Urban regions,Just Right,0.74474,185,220,0.68699,0.80248
1993,Lower Saxony,Rural regions,A Bit Too Small,0.13136,36,237,0.08826,0.17445
1993,Lower Saxony,Rural regions,Just Right,0.66890,169,237,0.60885,0.72894
1993,Lower Saxony,Rural regions,A Bit Too Large,0.16099,32,237,0.11410,0.20788
1993,Bremen,Urban regions,Just Right,0.71762,40,40,0.57633,0.85890
1993,North Rhine-Westphalia,Urban regions,Much Too Small,0.02963,58,1199,0.02002,0.03923
1993,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.16830,246,1199,0.14711,0.18949
1993,North Rhine-Westphalia,Urban regions,Just Right,0.69342,817,1199,0.66731,0.71953
1993,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.08112,78,1199,0.06566,0.09658
1993,Hesse,Urban regions,A Bit Too Small,0.16391,80,367,0.12598,0.20184
1993,Hesse,Urban regions,Just Right,0.68878,253,367,0.64135,0.73621
1993,Hesse,Urban regions,A Bit Too Large,0.10371,34,367,0.07247,0.13494
1993,Hesse,Rural regions,Just Right,0.78159,49,49,0.66470,0.89847
1993,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.13519,38,236,0.09148,0.17891
1993,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.75083,198,236,0.69553,0.80613
1993,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.70304,38,38,0.55581,0.85027
1993,Baden-Wuerttemberg,Urban regions,Much Too Small,0.03069,39,695,0.01786,0.04353
1993,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.11650,109,695,0.09263,0.14037
1993,Baden-Wuerttemberg,Urban regions,Just Right,0.73451,512,695,0.70165,0.76736
1993,Baden-Wuerttemberg,Urban regions,A Bit Too Large,0.06349,35,695,0.04534,0.08163
1993,Baden-Wuerttemberg,Rural regions,Just Right,0.74412,80,80,0.64790,0.84034
1993,Bavaria,Urban regions,A Bit Too Small,0.18324,84,425,0.14641,0.22006
1993,Bavaria,Urban regions,Just Right,0.69289,309,425,0.64899,0.73680
1993,Bavaria,Urban regions,A Bit Too Large,0.08353,32,425,0.05719,0.10987
1993,Bavaria,Rural regions,A Bit Too Small,0.11504,54,333,0.08072,0.14937
1993,Bavaria,Rural regions,Just Right,0.76407,279,333,0.71840,0.80974
1993,Berlin,Urban regions,A Bit Too Small,0.23782,66,278,0.18768,0.28796
1993,Berlin,Urban regions,Just Right,0.65854,212,278,0.60269,0.71438
1993,Brandenburg,Rural regions,A Bit Too Small,0.15914,62,246,0.11334,0.20495
1993,Brandenburg,Rural regions,Just Right,0.70877,184,246,0.65188,0.76566
1993,Mecklenburg-Western Pomerania,Rural regions,Just Right,0.74863,127,127,0.67289,0.82438
1993,Saxony,Urban regions,A Bit Too Small,0.20516,68,248,0.15480,0.25552
1993,Saxony,Urban regions,Just Right,0.66385,180,248,0.60494,0.72276
1993,Saxony,Rural regions,A Bit Too Small,0.19058,53,242,0.14099,0.24017
1993,Saxony,Rural regions,Just Right,0.72496,189,242,0.66858,0.78134
1993,Saxony-Anhalt,Urban regions,Just Right,0.70025,52,52,0.57451,0.82599
1993,Saxony-Anhalt,Rural regions,A Bit Too Small,0.14916,51,234,0.10342,0.19490
1993,Saxony-Anhalt,Rural regions,Just Right,0.66439,183,234,0.60376,0.72502
1993,Thuringa,Urban regions,Just Right,0.68178,58,58,0.56086,0.80270
1993,Thuringa,Rural regions,A Bit Too Small,0.15608,41,216,0.10757,0.20459
1993,Thuringa,Rural regions,Just Right,0.77841,175,216,0.72289,0.83392
1994,Schleswig-Holstein,Urban regions,Just Right,0.64944,48,48,0.51303,0.78586
1994,Schleswig-Holstein,Rural regions,Just Right,0.64374,46,46,0.50382,0.78367
1994,Hamburg,Urban regions,Just Right,0.67440,60,60,0.55482,0.79397
1994,Lower Saxony,Urban regions,A Bit Too Small,0.13086,35,228,0.08699,0.17473
1994,Lower Saxony,Urban regions,Just Right,0.73411,193,228,0.67664,0.79159
1994,Lower Saxony,Rural regions,Just Right,0.72993,172,204,0.66885,0.79100
1994,Lower Saxony,Rural regions,A Bit Too Large,0.14790,32,204,0.09906,0.19673
1994,Bremen,Urban regions,Just Right,0.76239,37,37,0.62336,0.90143
1994,North Rhine-Westphalia,Urban regions,Much Too Small,0.01947,46,1169,0.01155,0.02740
1994,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.16448,226,1169,0.14322,0.18574
1994,North Rhine-Westphalia,Urban regions,Just Right,0.71406,831,1169,0.68815,0.73997
1994,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.07178,66,1169,0.05698,0.08658
1994,Hesse,Urban regions,A Bit Too Small,0.13730,74,330,0.10011,0.17449
1994,Hesse,Urban regions,Just Right,0.68187,256,330,0.63154,0.73220
1994,Hesse,Rural regions,Just Right,0.73559,45,45,0.60528,0.86590
1994,"Rhineland-Palatinate, Saarland",Urban regions,A Bit Too Small,0.12837,32,229,0.08495,0.17179
1994,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.73488,197,229,0.67759,0.79218
