year,bula_h,sex,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,North Rhine-Westphalia,male,As soon as possible,0.02443,47,136,-0.00161,0.05048
1989,North Rhine-Westphalia,male,Next year,0.01876,34,136,-0.00413,0.04165
1989,North Rhine-Westphalia,male,In the next 2 to 5 years,0.03104,55,136,0.00179,0.06030
1989,North Rhine-Westphalia,female,As soon as possible,0.03539,65,254,0.01263,0.05816
1989,North Rhine-Westphalia,female,Next year,0.02701,53,254,0.00704,0.04699
1989,North Rhine-Westphalia,female,In the next 2 to 5 years,0.04611,86,254,0.02027,0.07196
1989,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02789,50,254,0.00760,0.04818
1989,Hesse,female,In the next 2 to 5 years,0.03735,33,33,-0.02835,0.10304
1989,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.04707,67,99,0.00514,0.08900
1989,Baden-Wuerttemberg,female,"In the distant future, in more than five years",0.02583,32,99,-0.00558,0.05724
1989,Bavaria,female,In the next 2 to 5 years,0.04211,51,51,-0.01356,0.09778
1990,North Rhine-Westphalia,male,As soon as possible,0.01996,36,122,-0.00496,0.04488
1990,North Rhine-Westphalia,male,Next year,0.01644,37,122,-0.00622,0.03910
1990,North Rhine-Westphalia,male,In the next 2 to 5 years,0.02818,49,122,-0.00131,0.05766
1990,North Rhine-Westphalia,female,As soon as possible,0.02760,49,239,0.00679,0.04841
1990,North Rhine-Westphalia,female,Next year,0.03184,55,239,0.00953,0.05415
1990,North Rhine-Westphalia,female,In the next 2 to 5 years,0.04953,90,239,0.02196,0.07710
1990,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02468,45,239,0.00497,0.04439
1990,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.03735,51,51,-0.01521,0.08991
1990,Bavaria,female,In the next 2 to 5 years,0.03850,47,47,-0.01710,0.09410
1991,Lower Saxony,female,In the next 2 to 5 years,0.05808,33,33,-0.02296,0.13913
1991,North Rhine-Westphalia,male,As soon as possible,0.02236,45,115,-0.00478,0.04949
1991,North Rhine-Westphalia,male,Next year,0.01655,31,115,-0.00687,0.03997
1991,North Rhine-Westphalia,male,In the next 2 to 5 years,0.02326,39,115,-0.00441,0.05092
1991,North Rhine-Westphalia,female,As soon as possible,0.02127,36,208,0.00162,0.04093
1991,North Rhine-Westphalia,female,Next year,0.02343,44,208,0.00282,0.04403
1991,North Rhine-Westphalia,female,In the next 2 to 5 years,0.04816,88,208,0.01899,0.07732
1991,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02474,40,208,0.00358,0.04591
1991,Hesse,female,In the next 2 to 5 years,0.04737,31,31,-0.02865,0.12338
1991,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.04041,65,65,-0.00784,0.08865
1991,Bavaria,female,Next year,0.03475,36,79,-0.00589,0.07540
1991,Bavaria,female,In the next 2 to 5 years,0.03762,43,79,-0.00461,0.07985
1991,Saxony,male,As soon as possible,0.05530,38,38,-0.01835,0.12895
1991,Saxony,female,Next year,0.04013,34,34,-0.02683,0.10709
1991,Saxony-Anhalt,female,As soon as possible,0.05769,34,34,-0.02186,0.13725
1992,Lower Saxony,female,In the next 2 to 5 years,0.04797,33,33,-0.02607,0.12202
1992,North Rhine-Westphalia,male,As soon as possible,0.02695,46,124,-0.00167,0.05556
1992,North Rhine-Westphalia,male,Next year,0.01972,34,124,-0.00485,0.04429
1992,North Rhine-Westphalia,male,In the next 2 to 5 years,0.02503,44,124,-0.00258,0.05264
1992,North Rhine-Westphalia,female,As soon as possible,0.02158,43,228,0.00268,0.04049
1992,North Rhine-Westphalia,female,Next year,0.02604,42,228,0.00533,0.04676
1992,North Rhine-Westphalia,female,In the next 2 to 5 years,0.05475,96,228,0.02515,0.08434
1992,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02554,47,228,0.00501,0.04606
1992,Hesse,female,In the next 2 to 5 years,0.05508,40,40,-0.01652,0.12668
1992,"Rhineland-Palatinate, Saarland",female,In the next 2 to 5 years,0.06517,38,38,-0.01436,0.14470
1992,Baden-Wuerttemberg,male,As soon as possible,0.01956,32,32,-0.02919,0.06830
1992,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.04346,67,99,0.00309,0.08382
1992,Baden-Wuerttemberg,female,"In the distant future, in more than five years",0.02238,32,99,-0.00691,0.05166
1992,Bavaria,female,Next year,0.03344,34,87,-0.00456,0.07144
1992,Bavaria,female,In the next 2 to 5 years,0.04085,53,87,-0.00099,0.08268
1992,Brandenburg,female,As soon as possible,0.08896,42,42,0.00182,0.17611
1992,Mecklenburg-Western Pomerania,female,As soon as possible,0.11971,34,34,0.00895,0.23047
1992,Saxony,male,As soon as possible,0.08278,53,53,0.00789,0.15768
1992,Saxony,female,As soon as possible,0.07656,62,102,0.02470,0.12841
1992,Saxony,female,Next year,0.04304,40,102,0.00346,0.08262
1992,Saxony-Anhalt,female,As soon as possible,0.09006,41,41,0.00134,0.17877
1992,Thuringa,female,As soon as possible,0.07261,37,37,-0.01216,0.15738
1993,Lower Saxony,female,In the next 2 to 5 years,0.05729,37,37,-0.01862,0.13321
1993,North Rhine-Westphalia,male,As soon as possible,0.02795,50,90,-0.00629,0.06220
1993,North Rhine-Westphalia,male,In the next 2 to 5 years,0.02274,40,90,-0.00823,0.05371
1993,North Rhine-Westphalia,female,As soon as possible,0.02151,47,238,0.00304,0.03999
1993,North Rhine-Westphalia,female,Next year,0.02562,47,238,0.00551,0.04574
1993,North Rhine-Westphalia,female,In the next 2 to 5 years,0.05293,101,238,0.02443,0.08144
1993,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02088,43,238,0.00268,0.03909
1993,Hesse,female,In the next 2 to 5 years,0.05066,39,39,-0.01907,0.12038
1993,Baden-Wuerttemberg,male,As soon as possible,0.01889,38,38,-0.02498,0.06276
1993,Baden-Wuerttemberg,female,As soon as possible,0.02231,33,105,-0.00607,0.05070
1993,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.06806,72,105,0.01965,0.11646
1993,Bavaria,female,In the next 2 to 5 years,0.05142,63,63,-0.00355,0.10640
1993,Brandenburg,female,As soon as possible,0.07583,37,37,-0.01064,0.16231
1993,Saxony,male,As soon as possible,0.07845,44,44,-0.00192,0.15882
1993,Saxony,female,As soon as possible,0.08800,72,72,0.02210,0.15389
1993,Saxony-Anhalt,female,As soon as possible,0.11208,59,59,0.03089,0.19327
1993,Thuringa,female,As soon as possible,0.10409,43,43,0.01174,0.19645
1994,Lower Saxony,female,In the next 2 to 5 years,0.06131,37,37,-0.01706,0.13968
1994,North Rhine-Westphalia,male,As soon as possible,0.02739,59,124,-0.00146,0.05623
1994,North Rhine-Westphalia,male,Next year,0.02265,34,124,-0.00364,0.04895
1994,North Rhine-Westphalia,male,In the next 2 to 5 years,0.02268,31,124,-0.00363,0.04899
1994,North Rhine-Westphalia,female,As soon as possible,0.02527,56,260,0.00616,0.04439
1994,North Rhine-Westphalia,female,Next year,0.03168,62,260,0.01035,0.05301
1994,North Rhine-Westphalia,female,In the next 2 to 5 years,0.05142,98,260,0.02452,0.07831
1994,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02426,44,260,0.00552,0.04299
1994,Hesse,female,In the next 2 to 5 years,0.06558,39,39,-0.01313,0.14429
1994,Baden-Wuerttemberg,male,As soon as possible,0.03094,48,48,-0.01857,0.08044
1994,Baden-Wuerttemberg,female,As soon as possible,0.02118,37,150,-0.00194,0.04431
1994,Baden-Wuerttemberg,female,Next year,0.03977,40,150,0.00839,0.07114
