year,bula_h,pgisced97,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Lower Saxony,Upper Secondary Level,As soon as possible,0.48445,38,38,0.32341,0.64548
1985,North Rhine-Westphalia,Primary Level,As soon as possible,0.69855,36,36,0.54652,0.85058
1985,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.31351,40,73,0.20635,0.42068
1985,North Rhine-Westphalia,Lower Secondary Level,In the next 2 to 5 years,0.28928,33,73,0.18454,0.39401
1985,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.36366,65,192,0.29543,0.43188
1985,North Rhine-Westphalia,Upper Secondary Level,Next year,0.18572,34,192,0.13057,0.24088
1985,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.30253,61,192,0.23738,0.36767
1985,North Rhine-Westphalia,Upper Secondary Level,"In the distant future, in more than five years",0.14809,32,192,0.09772,0.19847
1985,Baden-Wuerttemberg,Lower Secondary Level,As soon as possible,0.24036,33,33,0.09231,0.38842
1985,Bavaria,Upper Secondary Level,As soon as possible,0.35669,39,73,0.24604,0.46734
1985,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.32455,34,73,0.21640,0.43270
1986,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.44719,48,82,0.33891,0.55547
1986,North Rhine-Westphalia,Lower Secondary Level,In the next 2 to 5 years,0.31266,34,82,0.21170,0.41362
1986,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.31315,68,222,0.25201,0.37430
1986,North Rhine-Westphalia,Upper Secondary Level,Next year,0.17604,40,222,0.12583,0.22625
1986,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.33735,71,222,0.27501,0.39968
1986,North Rhine-Westphalia,Upper Secondary Level,"In the distant future, in more than five years",0.17346,43,222,0.12354,0.22338
1986,Bavaria,Upper Secondary Level,As soon as possible,0.30503,36,36,0.15250,0.45757
1987,Lower Saxony,Upper Secondary Level,As soon as possible,0.36607,33,33,0.19916,0.53299
1987,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.41456,46,46,0.27062,0.55850
1987,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.27359,58,216,0.21400,0.33318
1987,North Rhine-Westphalia,Upper Secondary Level,Next year,0.23983,49,216,0.18275,0.29690
1987,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.34121,76,216,0.27783,0.40458
1987,North Rhine-Westphalia,Upper Secondary Level,"In the distant future, in more than five years",0.14537,33,216,0.09826,0.19249
1987,Baden-Wuerttemberg,Lower Secondary Level,In the next 2 to 5 years,0.34196,34,34,0.18011,0.50381
1987,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.44480,35,35,0.27776,0.61184
1987,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.35276,32,32,0.18455,0.52097
1988,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.35912,42,80,0.25333,0.46491
1988,North Rhine-Westphalia,Lower Secondary Level,In the next 2 to 5 years,0.31096,38,80,0.20889,0.41303
1988,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.28467,60,189,0.22017,0.34918
1988,North Rhine-Westphalia,Upper Secondary Level,Next year,0.22915,41,189,0.16907,0.28923
1988,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.37930,88,189,0.30994,0.44866
1988,Baden-Wuerttemberg,Lower Secondary Level,As soon as possible,0.34052,37,37,0.18571,0.49532
1988,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.48019,43,43,0.32909,0.63129
1988,Bavaria,Upper Secondary Level,Next year,0.32823,31,31,0.16020,0.49626
1989,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.28868,34,67,0.17935,0.39801
1989,North Rhine-Westphalia,Lower Secondary Level,In the next 2 to 5 years,0.32966,33,67,0.21624,0.44307
1989,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.31533,54,184,0.24801,0.38265
1989,North Rhine-Westphalia,Upper Secondary Level,Next year,0.19236,33,184,0.13525,0.24946
1989,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.33675,66,184,0.26828,0.40523
1989,North Rhine-Westphalia,Upper Secondary Level,"In the distant future, in more than five years",0.15556,31,184,0.10305,0.20807
1989,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.57520,48,48,0.43387,0.71652
1990,North Rhine-Westphalia,Lower Secondary Level,In the next 2 to 5 years,0.25631,31,31,0.10007,0.41254
1990,North Rhine-Westphalia,Upper Secondary Level,Next year,0.24597,38,104,0.16280,0.32914
1990,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.38804,66,104,0.29393,0.48215
1990,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.51629,38,38,0.35526,0.67732
1990,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.42370,34,34,0.25510,0.59230
1991,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.24259,34,115,0.16390,0.32128
1991,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.48903,81,115,0.39726,0.58079
1991,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.40127,35,35,0.23651,0.56603
1991,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.39813,34,34,0.23111,0.56515
1991,Saxony,Upper Secondary Level,As soon as possible,0.55627,40,40,0.40034,0.71219
1991,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.59271,34,34,0.42508,0.76035
1991,Thuringa,Upper Secondary Level,As soon as possible,0.60063,38,38,0.44282,0.75844
1992,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.27969,38,142,0.20560,0.35378
1992,North Rhine-Westphalia,Upper Secondary Level,Next year,0.20429,32,142,0.13774,0.27084
1992,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.38048,72,142,0.30034,0.46062
1992,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.49155,36,36,0.32593,0.65718
1992,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.41280,36,36,0.24968,0.57591
1992,Brandenburg,Upper Secondary Level,As soon as possible,0.61245,40,40,0.45955,0.76536
1992,Mecklenburg-Western Pomerania,Upper Secondary Level,As soon as possible,0.74686,39,39,0.60861,0.88511
1992,Saxony,Upper Secondary Level,As soon as possible,0.66344,73,73,0.55430,0.77259
1992,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.66410,44,44,0.52293,0.80527
1992,Thuringa,Upper Secondary Level,As soon as possible,0.62303,46,46,0.48143,0.76463
1993,Lower Saxony,Upper Secondary Level,In the next 2 to 5 years,0.44789,31,31,0.26994,0.62584
1993,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.27812,44,156,0.20758,0.34866
1993,North Rhine-Westphalia,Upper Secondary Level,Next year,0.22137,39,156,0.15601,0.28673
1993,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.39263,73,156,0.31575,0.46951
1993,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.45972,39,39,0.30126,0.61818
1993,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.43286,38,38,0.27321,0.59251
1993,Brandenburg,Upper Secondary Level,As soon as possible,0.64015,36,36,0.48114,0.79916
1993,Mecklenburg-Western Pomerania,Upper Secondary Level,As soon as possible,0.70573,37,37,0.55687,0.85460
1993,Saxony,Upper Secondary Level,As soon as possible,0.68545,79,79,0.58240,0.78850
1993,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.76741,61,61,0.66050,0.87431
1993,Thuringa,Upper Secondary Level,As soon as possible,0.75416,52,52,0.63599,0.87234
1994,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.32440,32,32,0.15960,0.48920
1994,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.23039,53,174,0.16764,0.29314
1994,North Rhine-Westphalia,Upper Secondary Level,Next year,0.25805,52,174,0.19285,0.32326
1994,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.36727,69,174,0.29544,0.43911
1994,Baden-Wuerttemberg,Upper Secondary Level,As soon as possible,0.26782,37,76,0.16760,0.36804
1994,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.35427,39,76,0.24603,0.46252
1994,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.34122,42,42,0.19609,0.48635
1994,Brandenburg,Upper Secondary Level,As soon as possible,0.70113,39,39,0.55558,0.84668
1994,Mecklenburg-Western Pomerania,Upper Secondary Level,As soon as possible,0.72511,42,42,0.58844,0.86177
1994,Saxony,Upper Secondary Level,As soon as possible,0.62592,72,72,0.51337,0.73848
1994,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.80379,57,57,0.69977,0.90780
1994,Thuringa,Upper Secondary Level,As soon as possible,0.72646,62,62,0.61459,0.83832
1995,Lower Saxony,Upper Secondary Level,As soon as possible,0.44459,31,31,0.26677,0.62241
1995,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.27437,58,179,0.20882,0.33992
1995,North Rhine-Westphalia,Upper Secondary Level,Next year,0.24671,47,179,0.18338,0.31005
1995,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.34724,74,179,0.27730,0.41718
1995,Baden-Wuerttemberg,Upper Secondary Level,Next year,0.24730,31,78,0.15094,0.34367
1995,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.42560,47,78,0.31517,0.53604
1995,Bavaria,Upper Secondary Level,Next year,0.29424,32,81,0.19438,0.39410
1995,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.40690,49,81,0.29925,0.51455
1995,Brandenburg,Upper Secondary Level,As soon as possible,0.71911,33,33,0.56339,0.87483
1995,Saxony,Upper Secondary Level,As soon as possible,0.54435,64,95,0.44367,0.64503
1995,Saxony,Upper Secondary Level,Next year,0.25604,31,95,0.16781,0.34427
1995,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.61783,47,47,0.47740,0.75825
1995,Thuringa,Upper Secondary Level,As soon as possible,0.67347,47,47,0.53795,0.80898
1996,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.29872,57,163,0.22824,0.36920
1996,North Rhine-Westphalia,Upper Secondary Level,Next year,0.21008,39,163,0.14735,0.27281
1996,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.34255,67,163,0.26948,0.41563
1996,Baden-Wuerttemberg,Upper Secondary Level,As soon as possible,0.26900,31,72,0.16585,0.37215
1996,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.44151,41,72,0.32600,0.55701
1996,Bavaria,Upper Secondary Level,As soon as possible,0.33681,36,67,0.22279,0.45084
1996,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.31394,31,67,0.20197,0.42590
1996,Brandenburg,Upper Secondary Level,As soon as possible,0.61290,36,36,0.45153,0.77427
1996,Mecklenburg-Western Pomerania,Upper Secondary Level,As soon as possible,0.74171,37,37,0.59873,0.88469
1996,Saxony,Upper Secondary Level,As soon as possible,0.54174,59,59,0.41351,0.66997
1996,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.57035,41,41,0.41694,0.72376
1996,Thuringa,Upper Secondary Level,As soon as possible,0.50988,45,45,0.36216,0.65759
1997,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.41997,32,32,0.24623,0.59372
1997,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.29224,60,169,0.22347,0.36101
1997,North Rhine-Westphalia,Upper Secondary Level,Next year,0.24965,43,169,0.18421,0.31510
1997,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.35995,66,169,0.28737,0.43253
1997,Baden-Wuerttemberg,Lower Secondary Level,As soon as possible,0.32646,39,39,0.17737,0.47556
1997,Baden-Wuerttemberg,Upper Secondary Level,As soon as possible,0.27760,35,82,0.18007,0.37512
1997,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.42900,47,82,0.32121,0.53678
1997,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.40487,47,47,0.26301,0.54672
1997,Brandenburg,Upper Secondary Level,As soon as possible,0.57650,33,33,0.40530,0.74770
1997,Saxony,Upper Secondary Level,As soon as possible,0.57284,71,71,0.45696,0.68872
1997,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.78294,51,51,0.66868,0.89721
1997,Thuringa,Upper Secondary Level,As soon as possible,0.64968,57,57,0.52472,0.77463
1998,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.47522,43,43,0.32419,0.62625
1998,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.35926,64,154,0.28324,0.43529
1998,North Rhine-Westphalia,Upper Secondary Level,Next year,0.25069,41,154,0.18201,0.31936
1998,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.26404,49,154,0.19418,0.33389
1998,Baden-Wuerttemberg,Lower Secondary Level,As soon as possible,0.32595,35,35,0.16840,0.48351
1998,Baden-Wuerttemberg,Upper Secondary Level,As soon as possible,0.27254,31,72,0.16897,0.37612
1998,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.37499,41,72,0.26238,0.48760
1998,Bavaria,Upper Secondary Level,Next year,0.28705,36,81,0.18792,0.38619
1998,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.32823,45,81,0.22533,0.43113
1998,Brandenburg,Upper Secondary Level,As soon as possible,0.67813,49,49,0.54596,0.81030
1998,Mecklenburg-Western Pomerania,Upper Secondary Level,As soon as possible,0.71672,36,36,0.56744,0.86600
1998,Saxony,Upper Secondary Level,As soon as possible,0.64429,74,74,0.53447,0.75411
1998,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.81606,52,52,0.70972,0.92239
1998,Thuringa,Upper Secondary Level,As soon as possible,0.61388,61,61,0.49069,0.73707
1999,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.43420,32,32,0.25971,0.60868
1999,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.39506,53,131,0.31102,0.47910
1999,North Rhine-Westphalia,Upper Secondary Level,Next year,0.22854,34,131,0.15636,0.30072
1999,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.30128,44,131,0.22241,0.38015
1999,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.41580,48,48,0.27489,0.55671
1999,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.45883,42,42,0.30630,0.61136
1999,Brandenburg,Upper Secondary Level,As soon as possible,0.65808,35,35,0.49863,0.81753
1999,Saxony,Upper Secondary Level,As soon as possible,0.63056,81,81,0.52480,0.73633
1999,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.69839,47,47,0.56576,0.83103
1999,Thuringa,Upper Secondary Level,As soon as possible,0.67769,51,51,0.54814,0.80723
2000,Lower Saxony,Upper Secondary Level,Next year,0.21659,31,75,0.12273,0.31044
2000,Lower Saxony,Upper Secondary Level,In the next 2 to 5 years,0.38535,44,75,0.27447,0.49624
2000,North Rhine-Westphalia,Pre-primary Level,In the next 2 to 5 years,0.42847,39,39,0.27113,0.58581
2000,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.32686,43,79,0.22276,0.43096
2000,North Rhine-Westphalia,Lower Secondary Level,In the next 2 to 5 years,0.33672,36,79,0.23184,0.44160
2000,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.30650,83,280,0.25240,0.36060
2000,North Rhine-Westphalia,Upper Secondary Level,Next year,0.20925,61,280,0.16152,0.25698
2000,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.34843,99,280,0.29252,0.40434
2000,North Rhine-Westphalia,Upper Secondary Level,"In the distant future, in more than five years",0.13583,37,280,0.09562,0.17603
2000,Hesse,Upper Secondary Level,As soon as possible,0.29974,35,73,0.19392,0.40557
2000,Hesse,Upper Secondary Level,In the next 2 to 5 years,0.29763,38,73,0.19202,0.40324
2000,"Rhineland-Palatinate, Saarland",Upper Secondary Level,In the next 2 to 5 years,0.42866,42,42,0.27717,0.58014
2000,Baden-Wuerttemberg,Upper Secondary Level,As soon as possible,0.20014,33,156,0.13715,0.26313
2000,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.48281,89,156,0.40414,0.56148
2000,Baden-Wuerttemberg,Upper Secondary Level,"In the distant future, in more than five years",0.17575,34,156,0.11583,0.23567
2000,Bavaria,Upper Secondary Level,As soon as possible,0.26150,50,209,0.20178,0.32123
2000,Bavaria,Upper Secondary Level,Next year,0.16989,37,209,0.11885,0.22092
2000,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.43105,90,209,0.36375,0.49835
2000,Bavaria,Upper Secondary Level,"In the distant future, in more than five years",0.13756,32,209,0.09075,0.18437
2000,Brandenburg,Upper Secondary Level,As soon as possible,0.65644,65,65,0.54009,0.77279
2000,Mecklenburg-Western Pomerania,Upper Secondary Level,As soon as possible,0.69528,36,36,0.54278,0.84777
2000,Saxony,Upper Secondary Level,As soon as possible,0.63463,116,188,0.56561,0.70364
2000,Saxony,Upper Secondary Level,Next year,0.17984,36,188,0.12479,0.23489
2000,Saxony,Upper Secondary Level,In the next 2 to 5 years,0.15946,36,188,0.10699,0.21193
2000,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.61345,59,59,0.48813,0.73878
2000,Thuringa,Upper Secondary Level,As soon as possible,0.69976,80,80,0.59868,0.80083
2001,Lower Saxony,Upper Secondary Level,As soon as possible,0.39576,41,73,0.28280,0.50871
2001,Lower Saxony,Upper Secondary Level,In the next 2 to 5 years,0.34140,32,73,0.23187,0.45093
2001,North Rhine-Westphalia,Pre-primary Level,In the next 2 to 5 years,0.45656,40,40,0.30023,0.61290
2001,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.42357,45,45,0.27756,0.56957
2001,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.29241,60,203,0.22968,0.35514
2001,North Rhine-Westphalia,Upper Secondary Level,Next year,0.24879,52,203,0.18917,0.30840
2001,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.37737,91,203,0.31053,0.44422
2001,Hesse,Upper Secondary Level,In the next 2 to 5 years,0.35096,34,34,0.18812,0.51380
2001,"Rhineland-Palatinate, Saarland",Upper Secondary Level,In the next 2 to 5 years,0.44480,39,39,0.28680,0.60281
2001,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.49239,75,75,0.37848,0.60630
2001,Bavaria,Upper Secondary Level,As soon as possible,0.21091,34,134,0.14157,0.28024
2001,Bavaria,Upper Secondary Level,Next year,0.25841,35,134,0.18401,0.33281
2001,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.38610,65,134,0.30336,0.46884
2001,Brandenburg,Upper Secondary Level,As soon as possible,0.66447,52,52,0.53488,0.79406
2001,Mecklenburg-Western Pomerania,Upper Secondary Level,As soon as possible,0.83461,33,33,0.70588,0.96334
2001,Saxony,Upper Secondary Level,As soon as possible,0.60226,98,164,0.52712,0.67739
2001,Saxony,Upper Secondary Level,Next year,0.20797,34,164,0.14566,0.27028
2001,Saxony,Upper Secondary Level,In the next 2 to 5 years,0.16998,32,164,0.11231,0.22764
2001,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.69083,65,65,0.57760,0.80405
2001,Thuringa,Upper Secondary Level,As soon as possible,0.70158,73,73,0.59589,0.80727
2002,Lower Saxony,Upper Secondary Level,As soon as possible,0.47033,46,46,0.32450,0.61616
2002,North Rhine-Westphalia,Pre-primary Level,In the next 2 to 5 years,0.39195,41,74,0.27996,0.50394
2002,North Rhine-Westphalia,Pre-primary Level,"In the distant future, in more than five years",0.23407,33,74,0.13694,0.33121
2002,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.38340,31,63,0.26237,0.50443
2002,North Rhine-Westphalia,Lower Secondary Level,In the next 2 to 5 years,0.24851,32,63,0.14094,0.35608
2002,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.36721,87,268,0.30939,0.42503
2002,North Rhine-Westphalia,Upper Secondary Level,Next year,0.21638,54,268,0.16698,0.26577
2002,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.30796,91,268,0.25259,0.36334
2002,North Rhine-Westphalia,Upper Secondary Level,"In the distant future, in more than five years",0.10846,36,268,0.07116,0.14575
2002,Hesse,Upper Secondary Level,In the next 2 to 5 years,0.41066,43,43,0.26188,0.55945
2002,"Rhineland-Palatinate, Saarland",Upper Secondary Level,In the next 2 to 5 years,0.43918,40,40,0.28342,0.59494
2002,Baden-Wuerttemberg,Upper Secondary Level,As soon as possible,0.23055,32,139,0.16028,0.30082
2002,Baden-Wuerttemberg,Upper Secondary Level,Next year,0.24827,40,139,0.17619,0.32035
2002,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.40263,67,139,0.32081,0.48446
2002,Bavaria,Upper Secondary Level,As soon as possible,0.28620,49,176,0.21923,0.35316
2002,Bavaria,Upper Secondary Level,Next year,0.26464,54,176,0.19928,0.33000
2002,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.32290,73,176,0.25362,0.39218
2002,Brandenburg,Upper Secondary Level,As soon as possible,0.69902,70,70,0.59079,0.80725
2002,Mecklenburg-Western Pomerania,Upper Secondary Level,As soon as possible,0.81428,33,33,0.67953,0.94902
2002,Saxony,Upper Secondary Level,As soon as possible,0.61015,95,130,0.52599,0.69432
2002,Saxony,Upper Secondary Level,Next year,0.22093,35,130,0.14934,0.29252
2002,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.75606,69,69,0.65399,0.85814
2002,Thuringa,Upper Secondary Level,As soon as possible,0.69414,76,76,0.58986,0.79842
2003,Lower Saxony,Upper Secondary Level,As soon as possible,0.51985,40,40,0.36305,0.67666
2003,North Rhine-Westphalia,Pre-primary Level,In the next 2 to 5 years,0.44194,46,46,0.29684,0.58704
2003,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.51945,38,38,0.35846,0.68044
2003,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.42322,93,227,0.35881,0.48764
2003,North Rhine-Westphalia,Upper Secondary Level,Next year,0.25720,53,227,0.20022,0.31419
2003,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.27126,81,227,0.21329,0.32923
2003,Hesse,Upper Secondary Level,As soon as possible,0.48108,34,34,0.31061,0.65156
2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,As soon as possible,0.44492,33,33,0.27273,0.61710
2003,Baden-Wuerttemberg,Upper Secondary Level,As soon as possible,0.23317,31,127,0.15934,0.30701
2003,Baden-Wuerttemberg,Upper Secondary Level,Next year,0.24013,39,127,0.16555,0.31472
2003,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.40680,57,127,0.32102,0.49257
2003,Bavaria,Upper Secondary Level,As soon as possible,0.41415,65,171,0.34011,0.48820
2003,Bavaria,Upper Secondary Level,Next year,0.18018,38,171,0.12241,0.23796
2003,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.34291,68,171,0.27156,0.41427
2003,Brandenburg,Upper Secondary Level,As soon as possible,0.57604,44,44,0.42833,0.72375
2003,Mecklenburg-Western Pomerania,Upper Secondary Level,As soon as possible,0.92612,49,49,0.85213,1.00012
2003,Saxony,Upper Secondary Level,As soon as possible,0.62502,113,155,0.54856,0.70148
2003,Saxony,Upper Secondary Level,Next year,0.26122,42,155,0.19184,0.33060
2003,Saxony-Anhalt,Upper Secondary Level,As soon as possible,0.81778,80,80,0.73265,0.90290
2003,Thuringa,Upper Secondary Level,As soon as possible,0.70384,72,72,0.59764,0.81004
2004,Lower Saxony,Upper Secondary Level,As soon as possible,0.46398,38,38,0.30329,0.62467
2004,North Rhine-Westphalia,Pre-primary Level,In the next 2 to 5 years,0.36017,45,79,0.25364,0.46671
2004,North Rhine-Westphalia,Pre-primary Level,"In the distant future, in more than five years",0.25797,34,79,0.16087,0.35507
2004,North Rhine-Westphalia,Lower Secondary Level,As soon as possible,0.49743,44,44,0.34798,0.64688
2004,North Rhine-Westphalia,Upper Secondary Level,As soon as possible,0.47040,115,252,0.40865,0.53215
2004,North Rhine-Westphalia,Upper Secondary Level,Next year,0.21802,52,252,0.16694,0.26911
2004,North Rhine-Westphalia,Upper Secondary Level,In the next 2 to 5 years,0.27707,85,252,0.22170,0.33244
2004,Hesse,Upper Secondary Level,As soon as possible,0.46885,34,34,0.29859,0.63912
2004,"Rhineland-Palatinate, Saarland",Upper Secondary Level,As soon as possible,0.49391,32,32,0.31791,0.66991
2004,Baden-Wuerttemberg,Upper Secondary Level,As soon as possible,0.35299,53,139,0.27326,0.43273
2004,Baden-Wuerttemberg,Upper Secondary Level,Next year,0.21392,31,139,0.14551,0.28234
2004,Baden-Wuerttemberg,Upper Secondary Level,In the next 2 to 5 years,0.37793,55,139,0.29703,0.45883
2004,Bavaria,Upper Secondary Level,As soon as possible,0.39408,68,183,0.32309,0.46508
2004,Bavaria,Upper Secondary Level,Next year,0.24310,45,183,0.18078,0.30542
2004,Bavaria,Upper Secondary Level,In the next 2 to 5 years,0.27691,70,183,0.21190,0.34192
2004,Berlin,Upper Secondary Level,As soon as possible,0.64645,33,33,0.48081,0.81210
2004,Brandenburg,Upper Secondary Level,As soon as possible,0.71278,62,62,0.59923,0.82633
2004,Mecklenburg-Western Pomerania,Upper Secondary Level,As soon as possible,0.86168,41,41,0.75469,0.96867
2004,Saxony,Upper Secondary Level,As soon as possible,0.64660,98,129,0.56379,0.72942
