year,bula_h,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,North Rhine-Westphalia,Urban regions,As soon as possible,0.30723,125,419,0.26300,0.35145
1996,North Rhine-Westphalia,Urban regions,Next year,0.23657,99,419,0.19583,0.27731
1996,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.30882,131,419,0.26453,0.35311
1996,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.14739,64,419,0.11340,0.18137
1996,Hesse,Urban regions,As soon as possible,0.26583,32,73,0.16378,0.36787
1996,Hesse,Urban regions,In the next 2 to 5 years,0.39404,41,73,0.28117,0.50691
1996,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.32162,32,64,0.20627,0.43696
1996,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.39222,32,64,0.27165,0.51278
1996,Baden-Wuerttemberg,Urban regions,As soon as possible,0.21051,67,242,0.15904,0.26198
1996,Baden-Wuerttemberg,Urban regions,Next year,0.14946,37,242,0.10444,0.19447
1996,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.49282,98,242,0.42970,0.55594
1996,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.14722,40,242,0.10248,0.19196
1996,Bavaria,Urban regions,As soon as possible,0.31077,38,88,0.21352,0.40802
1996,Bavaria,Urban regions,In the next 2 to 5 years,0.33838,50,88,0.23896,0.43781
1996,Bavaria,Rural regions,As soon as possible,0.36625,45,78,0.25864,0.47386
1996,Bavaria,Rural regions,Next year,0.24075,33,78,0.14526,0.33625
1996,Berlin,Urban regions,As soon as possible,0.32661,32,32,0.16152,0.49170
1996,Brandenburg,Rural regions,As soon as possible,0.49858,50,50,0.35858,0.63858
1996,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.69207,42,42,0.55076,0.83337
1996,Saxony,Urban regions,As soon as possible,0.47731,42,42,0.32441,0.63020
1996,Saxony,Rural regions,As soon as possible,0.50990,43,43,0.35871,0.66108
1996,Saxony-Anhalt,Rural regions,As soon as possible,0.54414,52,52,0.40745,0.68083
1996,Thuringa,Rural regions,As soon as possible,0.53827,46,46,0.39261,0.68393
1997,North Rhine-Westphalia,Urban regions,As soon as possible,0.31534,130,386,0.26893,0.36175
1997,North Rhine-Westphalia,Urban regions,Next year,0.21992,80,386,0.17855,0.26129
1997,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.35922,130,386,0.31129,0.40714
1997,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.10552,46,386,0.07483,0.13621
1997,Hesse,Urban regions,In the next 2 to 5 years,0.26955,42,42,0.13372,0.40537
1997,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.41495,36,36,0.25171,0.57818
1997,Baden-Wuerttemberg,Urban regions,As soon as possible,0.22278,81,264,0.17248,0.27307
1997,Baden-Wuerttemberg,Urban regions,Next year,0.21850,49,264,0.16856,0.26845
1997,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.41820,96,264,0.35859,0.47782
1997,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.14052,38,264,0.09852,0.18252
1997,Bavaria,Urban regions,As soon as possible,0.26903,37,95,0.17938,0.35868
1997,Bavaria,Urban regions,In the next 2 to 5 years,0.41202,58,95,0.31252,0.51152
1997,Bavaria,Rural regions,As soon as possible,0.28932,34,80,0.18932,0.38931
1997,Bavaria,Rural regions,In the next 2 to 5 years,0.37290,46,80,0.26627,0.47954
1997,Berlin,Urban regions,As soon as possible,0.47433,41,41,0.31958,0.62907
1997,Brandenburg,Rural regions,As soon as possible,0.49694,48,48,0.35400,0.63989
1997,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.70630,38,38,0.55954,0.85306
1997,Saxony,Urban regions,As soon as possible,0.51152,48,48,0.36861,0.65443
1997,Saxony,Rural regions,As soon as possible,0.56910,47,47,0.42600,0.71221
1997,Saxony-Anhalt,Rural regions,As soon as possible,0.68513,60,60,0.56661,0.80365
1997,Thuringa,Rural regions,As soon as possible,0.60018,52,52,0.46574,0.73463
1998,Lower Saxony,Rural regions,In the next 2 to 5 years,0.37733,32,32,0.20669,0.54796
1998,North Rhine-Westphalia,Urban regions,As soon as possible,0.38708,154,423,0.34061,0.43356
1998,North Rhine-Westphalia,Urban regions,Next year,0.20963,85,423,0.17079,0.24847
1998,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.26689,118,423,0.22469,0.30910
1998,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.13639,66,423,0.10365,0.16914
1998,Hesse,Urban regions,In the next 2 to 5 years,0.34215,39,39,0.19131,0.49300
1998,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.36253,35,35,0.20094,0.52412
1998,Baden-Wuerttemberg,Urban regions,As soon as possible,0.26063,74,251,0.20621,0.31505
1998,Baden-Wuerttemberg,Urban regions,Next year,0.21714,46,251,0.16603,0.26825
1998,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.38032,94,251,0.32014,0.44050
1998,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.14191,37,251,0.09865,0.18517
1998,Bavaria,Urban regions,As soon as possible,0.22721,32,111,0.14890,0.30552
1998,Bavaria,Urban regions,Next year,0.25285,33,111,0.17162,0.33407
1998,Bavaria,Urban regions,In the next 2 to 5 years,0.31653,46,111,0.22961,0.40346
1998,Bavaria,Rural regions,As soon as possible,0.29408,43,124,0.21355,0.37460
1998,Bavaria,Rural regions,Next year,0.25541,34,124,0.17834,0.33247
1998,Bavaria,Rural regions,In the next 2 to 5 years,0.32199,47,124,0.23942,0.40457
1998,Brandenburg,Rural regions,As soon as possible,0.57497,62,62,0.45092,0.69903
1998,Mecklenburg-Western Pomerania,Rural regions,As soon as possible,0.66237,46,46,0.52420,0.80054
1998,Saxony,Urban regions,As soon as possible,0.55231,49,49,0.41163,0.69298
1998,Saxony,Rural regions,As soon as possible,0.59487,63,63,0.47267,0.71707
1998,Saxony-Anhalt,Rural regions,As soon as possible,0.71411,63,63,0.60164,0.82658
1998,Thuringa,Rural regions,As soon as possible,0.61687,68,68,0.50047,0.73328
1999,North Rhine-Westphalia,Urban regions,As soon as possible,0.35267,118,355,0.30290,0.40244
1999,North Rhine-Westphalia,Urban regions,Next year,0.22506,82,355,0.18156,0.26857
1999,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.31243,112,355,0.26415,0.36072
1999,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.10983,43,355,0.07726,0.14241
1999,Hesse,Urban regions,In the next 2 to 5 years,0.40666,39,39,0.25048,0.56284
1999,Baden-Wuerttemberg,Urban regions,As soon as possible,0.26827,57,192,0.20544,0.33111
1999,Baden-Wuerttemberg,Urban regions,Next year,0.26659,50,192,0.20388,0.32930
1999,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.36495,85,192,0.29668,0.43323
1999,Bavaria,Urban regions,In the next 2 to 5 years,0.41190,37,37,0.25112,0.57268
1999,Bavaria,Rural regions,In the next 2 to 5 years,0.46900,45,45,0.32155,0.61646
1999,Brandenburg,Rural regions,As soon as possible,0.60860,47,47,0.46756,0.74965
1999,Saxony,Urban regions,As soon as possible,0.59343,52,52,0.45862,0.72824
1999,Saxony,Rural regions,As soon as possible,0.52210,60,60,0.39464,0.64956
1999,Saxony-Anhalt,Rural regions,As soon as possible,0.59580,50,50,0.45839,0.73320
1999,Thuringa,Rural regions,As soon as possible,0.59853,46,46,0.45531,0.74176
2000,Lower Saxony,Urban regions,Next year,0.31686,40,77,0.21226,0.42147
2000,Lower Saxony,Urban regions,In the next 2 to 5 years,0.28362,37,77,0.18227,0.38496
2000,Lower Saxony,Rural regions,In the next 2 to 5 years,0.38027,48,48,0.24148,0.51906
2000,North Rhine-Westphalia,Urban regions,As soon as possible,0.29088,174,621,0.25513,0.32663
2000,North Rhine-Westphalia,Urban regions,Next year,0.22535,139,621,0.19246,0.25824
2000,North Rhine-Westphalia,Urban regions,In the next 2 to 5 years,0.35458,222,621,0.31692,0.39223
2000,North Rhine-Westphalia,Urban regions,"In the distant future, in more than five years",0.12919,86,621,0.10279,0.15559
2000,Hesse,Urban regions,As soon as possible,0.27416,51,195,0.21139,0.33694
2000,Hesse,Urban regions,Next year,0.22917,42,195,0.17003,0.28831
2000,Hesse,Urban regions,In the next 2 to 5 years,0.33498,70,195,0.26857,0.40140
2000,Hesse,Urban regions,"In the distant future, in more than five years",0.16168,32,195,0.10987,0.21349
2000,"Rhineland-Palatinate, Saarland",Urban regions,As soon as possible,0.20034,31,121,0.12873,0.27196
2000,"Rhineland-Palatinate, Saarland",Urban regions,Next year,0.23409,36,121,0.15833,0.30986
2000,"Rhineland-Palatinate, Saarland",Urban regions,In the next 2 to 5 years,0.35889,54,121,0.27307,0.44472
2000,Baden-Wuerttemberg,Urban regions,As soon as possible,0.20212,74,362,0.16069,0.24355
2000,Baden-Wuerttemberg,Urban regions,Next year,0.16291,62,362,0.12482,0.20100
2000,Baden-Wuerttemberg,Urban regions,In the next 2 to 5 years,0.48982,171,362,0.43825,0.54139
2000,Baden-Wuerttemberg,Urban regions,"In the distant future, in more than five years",0.14515,55,362,0.10881,0.18149
2000,Bavaria,Urban regions,As soon as possible,0.24123,48,167,0.17615,0.30632
2000,Bavaria,Urban regions,Next year,0.24663,43,167,0.18106,0.31221
