year,pgisced97,sampreg,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Lower Secondary Level,West,Next year,0.02801,98,437,0.01252,0.04349
1988,Lower Secondary Level,West,In the next 2 to 5 years,0.03503,129,437,0.01777,0.05229
1988,Lower Secondary Level,West,"In the distant future, in more than five years",0.01646,52,437,0.00451,0.02840
1988,Upper Secondary Level,West,As soon as possible,0.03454,185,648,0.02047,0.04862
1988,Upper Secondary Level,West,Next year,0.02974,143,648,0.01665,0.04283
1988,Upper Secondary Level,West,In the next 2 to 5 years,0.04255,234,648,0.02700,0.05810
1988,Upper Secondary Level,West,"In the distant future, in more than five years",0.01571,86,648,0.00613,0.02529
1989,Pre-primary Level,West,In the next 2 to 5 years,0.35433,60,95,0.25763,0.45102
1989,Pre-primary Level,West,"In the distant future, in more than five years",0.21064,35,95,0.12820,0.29307
1989,Primary Level,West,As soon as possible,0.07884,47,47,0.00096,0.15672
1989,Lower Secondary Level,West,As soon as possible,0.03103,121,355,0.01297,0.04909
1989,Lower Secondary Level,West,Next year,0.01914,65,355,0.00486,0.03341
1989,Lower Secondary Level,West,In the next 2 to 5 years,0.03424,120,355,0.01530,0.05318
1989,Lower Secondary Level,West,"In the distant future, in more than five years",0.01465,49,355,0.00213,0.02716
1989,Upper Secondary Level,West,As soon as possible,0.02825,145,565,0.01458,0.04193
1989,Upper Secondary Level,West,Next year,0.02072,107,565,0.00896,0.03247
1989,Upper Secondary Level,West,In the next 2 to 5 years,0.04110,221,565,0.02472,0.05748
1989,Upper Secondary Level,West,"In the distant future, in more than five years",0.01673,92,565,0.00615,0.02732
1990,Pre-primary Level,West,In the next 2 to 5 years,0.26191,43,87,0.16898,0.35483
1990,Pre-primary Level,West,"In the distant future, in more than five years",0.30970,44,87,0.21198,0.40742
1990,Primary Level,West,As soon as possible,0.05149,34,34,-0.02391,0.12689
1990,Lower Secondary Level,West,As soon as possible,0.02876,83,310,0.01013,0.04740
1990,Lower Secondary Level,West,Next year,0.02611,80,310,0.00833,0.04388
1990,Lower Secondary Level,West,In the next 2 to 5 years,0.02869,95,310,0.01008,0.04730
1990,Lower Secondary Level,West,"In the distant future, in more than five years",0.01728,52,310,0.00275,0.03180
1990,Upper Secondary Level,West,As soon as possible,0.02207,119,522,0.00945,0.03468
1990,Upper Secondary Level,West,Next year,0.02079,106,522,0.00854,0.03304
1990,Upper Secondary Level,West,In the next 2 to 5 years,0.03991,207,522,0.02310,0.05672
1990,Upper Secondary Level,West,"In the distant future, in more than five years",0.01700,90,522,0.00590,0.02810
1990,Upper Secondary Level,East,As soon as possible,0.02432,59,156,0.00007,0.04856
1990,Upper Secondary Level,East,Next year,0.02738,66,156,0.00169,0.05308
1990,Upper Secondary Level,East,In the next 2 to 5 years,0.01200,31,156,-0.00514,0.02914
1991,Pre-primary Level,West,In the next 2 to 5 years,0.25584,39,79,0.15901,0.35268
1991,Pre-primary Level,West,"In the distant future, in more than five years",0.27451,40,79,0.17547,0.37354
1991,Primary Level,West,As soon as possible,0.05672,38,38,-0.01781,0.13126
1991,Lower Secondary Level,West,As soon as possible,0.02633,78,290,0.00787,0.04479
1991,Lower Secondary Level,West,Next year,0.02270,76,290,0.00552,0.03987
1991,Lower Secondary Level,West,In the next 2 to 5 years,0.03014,88,290,0.01043,0.04985
1991,Lower Secondary Level,West,"In the distant future, in more than five years",0.01471,48,290,0.00083,0.02859
1991,Lower Secondary Level,East,As soon as possible,0.07932,40,40,-0.00550,0.16413
1991,Upper Secondary Level,West,As soon as possible,0.01890,108,503,0.00699,0.03081
1991,Upper Secondary Level,West,Next year,0.02235,105,503,0.00942,0.03528
1991,Upper Secondary Level,West,In the next 2 to 5 years,0.03996,218,503,0.02283,0.05710
1991,Upper Secondary Level,West,"In the distant future, in more than five years",0.01353,72,503,0.00342,0.02363
1991,Upper Secondary Level,East,As soon as possible,0.07002,176,301,0.04114,0.09890
1991,Upper Secondary Level,East,Next year,0.03048,75,301,0.01103,0.04993
1991,Upper Secondary Level,East,In the next 2 to 5 years,0.02059,50,301,0.00452,0.03666
1991,Second Stage of Tertiary Education,East,As soon as possible,0.04836,46,82,0.00164,0.09508
1991,Second Stage of Tertiary Education,East,Next year,0.03379,36,82,-0.00556,0.07314
1992,Pre-primary Level,West,In the next 2 to 5 years,0.23213,40,74,0.13528,0.32899
1992,Pre-primary Level,West,"In the distant future, in more than five years",0.27416,34,74,0.17183,0.37649
1992,Primary Level,West,As soon as possible,0.09612,56,56,0.01822,0.17402
1992,Lower Secondary Level,West,As soon as possible,0.02718,83,300,0.00875,0.04561
1992,Lower Secondary Level,West,Next year,0.02268,64,300,0.00580,0.03955
1992,Lower Secondary Level,West,In the next 2 to 5 years,0.03512,111,300,0.01425,0.05598
1992,Lower Secondary Level,West,"In the distant future, in more than five years",0.01290,42,300,0.00011,0.02569
1992,Lower Secondary Level,East,As soon as possible,0.08306,42,42,-0.00141,0.16754
1992,Upper Secondary Level,West,As soon as possible,0.02231,114,515,0.00954,0.03508
1992,Upper Secondary Level,West,Next year,0.02432,114,515,0.01100,0.03764
1992,Upper Secondary Level,West,In the next 2 to 5 years,0.04168,223,515,0.02440,0.05895
1992,Upper Secondary Level,West,"In the distant future, in more than five years",0.01189,64,515,0.00252,0.02126
1992,Upper Secondary Level,East,As soon as possible,0.11572,254,401,0.08437,0.14707
1992,Upper Secondary Level,East,Next year,0.04023,98,401,0.02097,0.05948
1992,Upper Secondary Level,East,In the next 2 to 5 years,0.01896,49,401,0.00559,0.03232
1992,Post-secondary Non-tertiary Level,West,In the next 2 to 5 years,0.09180,33,33,-0.00824,0.19185
1992,Second Stage of Tertiary Education,East,As soon as possible,0.06709,64,103,0.01854,0.11565
1992,Second Stage of Tertiary Education,East,Next year,0.04601,39,103,0.00535,0.08666
1993,Pre-primary Level,West,In the next 2 to 5 years,0.29626,39,81,0.19620,0.39632
1993,Pre-primary Level,West,"In the distant future, in more than five years",0.30445,42,81,0.20361,0.40529
1993,Primary Level,West,As soon as possible,0.08105,38,38,-0.00689,0.16899
1993,Lower Secondary Level,West,As soon as possible,0.02632,82,288,0.00780,0.04484
1993,Lower Secondary Level,West,Next year,0.02193,57,288,0.00499,0.03887
1993,Lower Secondary Level,West,In the next 2 to 5 years,0.03341,104,288,0.01262,0.05421
1993,Lower Secondary Level,West,"In the distant future, in more than five years",0.01556,45,288,0.00124,0.02988
1993,Lower Secondary Level,East,As soon as possible,0.08708,44,44,0.00281,0.17136
1993,Upper Secondary Level,West,As soon as possible,0.03138,152,575,0.01712,0.04565
1993,Upper Secondary Level,West,Next year,0.02448,133,575,0.01184,0.03712
1993,Upper Secondary Level,West,In the next 2 to 5 years,0.04194,225,575,0.02554,0.05834
1993,Upper Secondary Level,West,"In the distant future, in more than five years",0.01134,65,575,0.00268,0.02001
1993,Upper Secondary Level,East,As soon as possible,0.12265,271,395,0.09026,0.15504
1993,Upper Secondary Level,East,Next year,0.03380,77,395,0.01596,0.05165
1993,Upper Secondary Level,East,In the next 2 to 5 years,0.01846,47,395,0.00517,0.03176
1993,Post-secondary Non-tertiary Level,West,In the next 2 to 5 years,0.08755,32,32,-0.01195,0.18705
1993,Second Stage of Tertiary Education,East,As soon as possible,0.06164,56,56,-0.00192,0.12521
1994,Pre-primary Level,West,In the next 2 to 5 years,0.30445,46,85,0.20604,0.40286
1994,Pre-primary Level,West,"In the distant future, in more than five years",0.23747,39,85,0.14646,0.32847
1994,Primary Level,West,As soon as possible,0.07045,34,34,-0.01686,0.15776
1994,Lower Secondary Level,West,As soon as possible,0.03491,112,317,0.01467,0.05515
1994,Lower Secondary Level,West,Next year,0.02844,69,317,0.01011,0.04677
1994,Lower Secondary Level,West,In the next 2 to 5 years,0.03638,95,317,0.01574,0.05703
1994,Lower Secondary Level,West,"In the distant future, in more than five years",0.01546,41,317,0.00186,0.02907
1994,Lower Secondary Level,East,As soon as possible,0.06894,32,32,-0.02025,0.15813
1994,Upper Secondary Level,West,As soon as possible,0.03539,183,620,0.02083,0.04994
1994,Upper Secondary Level,West,Next year,0.02856,149,620,0.01544,0.04168
1994,Upper Secondary Level,West,In the next 2 to 5 years,0.04301,222,620,0.02703,0.05899
1994,Upper Secondary Level,West,"In the distant future, in more than five years",0.01202,66,620,0.00343,0.02060
1994,Upper Secondary Level,East,As soon as possible,0.13168,276,401,0.09854,0.16482
1994,Upper Secondary Level,East,Next year,0.03431,73,401,0.01647,0.05215
1994,Upper Secondary Level,East,In the next 2 to 5 years,0.02123,52,401,0.00710,0.03535
1994,Post-secondary Non-tertiary Level,West,In the next 2 to 5 years,0.09887,35,35,-0.00146,0.19920
1994,Second Stage of Tertiary Education,East,As soon as possible,0.06427,52,52,-0.00304,0.13157
1995,Pre-primary Level,West,In the next 2 to 5 years,0.31003,61,114,0.22475,0.39531
1995,Pre-primary Level,West,"In the distant future, in more than five years",0.30469,53,114,0.21982,0.38955
1995,Primary Level,West,As soon as possible,0.09755,44,44,0.00887,0.18624
1995,Lower Secondary Level,West,As soon as possible,0.04030,118,331,0.01908,0.06152
1995,Lower Secondary Level,West,Next year,0.02685,63,331,0.00941,0.04429
1995,Lower Secondary Level,West,In the next 2 to 5 years,0.04377,112,331,0.02170,0.06584
1995,Lower Secondary Level,West,"In the distant future, in more than five years",0.01313,38,331,0.00085,0.02541
1995,Lower Secondary Level,East,As soon as possible,0.06874,31,31,-0.02180,0.15928
1995,Upper Secondary Level,West,As soon as possible,0.03343,177,684,0.01995,0.04691
1995,Upper Secondary Level,West,Next year,0.02803,165,684,0.01565,0.04041
1995,Upper Secondary Level,West,In the next 2 to 5 years,0.04310,259,684,0.02787,0.05833
1995,Upper Secondary Level,West,"In the distant future, in more than five years",0.01345,83,684,0.00481,0.02209
1995,Upper Secondary Level,East,As soon as possible,0.09880,220,353,0.06762,0.12997
1995,Upper Secondary Level,East,Next year,0.03597,78,353,0.01652,0.05543
1995,Upper Secondary Level,East,In the next 2 to 5 years,0.02623,55,353,0.00954,0.04293
1995,Post-secondary Non-tertiary Level,West,In the next 2 to 5 years,0.11216,43,43,0.01672,0.20759
1995,Second Stage of Tertiary Education,East,As soon as possible,0.03474,32,32,-0.02972,0.09920
1996,Pre-primary Level,West,In the next 2 to 5 years,0.34443,63,119,0.25869,0.43017
1996,Pre-primary Level,West,"In the distant future, in more than five years",0.28484,56,119,0.20340,0.36628
1996,Pre-primary Level,East,In the next 2 to 5 years,0.36200,35,35,0.20046,0.52355
1996,Primary Level,West,As soon as possible,0.08186,38,38,-0.00648,0.17020
1996,Lower Secondary Level,West,As soon as possible,0.03780,113,321,0.01690,0.05870
1996,Lower Secondary Level,West,Next year,0.03488,77,321,0.01478,0.05498
1996,Lower Secondary Level,West,In the next 2 to 5 years,0.03644,97,321,0.01591,0.05698
1996,Lower Secondary Level,West,"In the distant future, in more than five years",0.01083,34,321,-0.00051,0.02218
1996,Upper Secondary Level,West,As soon as possible,0.03608,200,643,0.02165,0.05051
1996,Upper Secondary Level,West,Next year,0.02480,141,643,0.01277,0.03683
1996,Upper Secondary Level,West,In the next 2 to 5 years,0.04165,225,643,0.02620,0.05711
1996,Upper Secondary Level,West,"In the distant future, in more than five years",0.01590,77,643,0.00623,0.02558
1996,Upper Secondary Level,East,As soon as possible,0.10389,224,372,0.07284,0.13493
1996,Upper Secondary Level,East,Next year,0.04821,94,372,0.02641,0.07001
1996,Upper Secondary Level,East,In the next 2 to 5 years,0.02342,54,372,0.00803,0.03881
1996,Post-secondary Non-tertiary Level,West,In the next 2 to 5 years,0.09331,37,37,-0.00171,0.18832
1996,Second Stage of Tertiary Education,West,As soon as possible,0.03732,35,67,-0.00841,0.08305
1996,Second Stage of Tertiary Education,West,In the next 2 to 5 years,0.03097,32,67,-0.01082,0.07277
1996,Second Stage of Tertiary Education,East,As soon as possible,0.04748,44,44,-0.01608,0.11105
1997,Pre-primary Level,West,Next year,0.13385,31,156,0.08025,0.18745
1997,Pre-primary Level,West,In the next 2 to 5 years,0.35248,68,156,0.27726,0.42769
1997,Pre-primary Level,West,"In the distant future, in more than five years",0.30228,57,156,0.22998,0.37458
1997,Pre-primary Level,East,In the next 2 to 5 years,0.37718,39,39,0.22307,0.53128
1997,Primary Level,West,As soon as possible,0.11242,42,42,0.01573,0.20911
1997,Lower Secondary Level,West,As soon as possible,0.05083,142,341,0.02748,0.07417
1997,Lower Secondary Level,West,Next year,0.02858,69,341,0.01087,0.04629
1997,Lower Secondary Level,West,In the next 2 to 5 years,0.03570,96,341,0.01598,0.05542
1997,Lower Secondary Level,West,"In the distant future, in more than five years",0.01126,34,341,0.00005,0.02248
1997,Upper Secondary Level,West,As soon as possible,0.04078,203,636,0.02540,0.05617
1997,Upper Secondary Level,West,Next year,0.02721,127,636,0.01455,0.03986
1997,Upper Secondary Level,West,In the next 2 to 5 years,0.04494,243,636,0.02883,0.06105
1997,Upper Secondary Level,West,"In the distant future, in more than five years",0.01193,63,636,0.00348,0.02037
1997,Upper Secondary Level,East,As soon as possible,0.12194,253,372,0.08864,0.15523
1997,Upper Secondary Level,East,Next year,0.03469,61,372,0.01607,0.05331
1997,Upper Secondary Level,East,In the next 2 to 5 years,0.02509,58,372,0.00917,0.04100
1997,Post-secondary Non-tertiary Level,West,In the next 2 to 5 years,0.08983,33,33,-0.00924,0.18891
1997,Second Stage of Tertiary Education,East,As soon as possible,0.04857,41,41,-0.01805,0.11518
1998,Pre-primary Level,West,Next year,0.16837,40,162,0.11057,0.22618
1998,Pre-primary Level,West,In the next 2 to 5 years,0.33611,73,162,0.26315,0.40908
1998,Pre-primary Level,West,"In the distant future, in more than five years",0.21495,49,162,0.15150,0.27841
1998,Pre-primary Level,East,In the next 2 to 5 years,0.25781,33,33,0.10624,0.40937
1998,Primary Level,West,As soon as possible,0.10211,34,34,-0.00120,0.20543
1998,Lower Secondary Level,West,As soon as possible,0.04816,134,345,0.02553,0.07079
1998,Lower Secondary Level,West,Next year,0.02534,63,345,0.00873,0.04195
1998,Lower Secondary Level,West,In the next 2 to 5 years,0.03822,102,345,0.01796,0.05848
1998,Lower Secondary Level,West,"In the distant future, in more than five years",0.01647,46,345,0.00302,0.02992
1998,Upper Secondary Level,West,As soon as possible,0.03489,184,652,0.02079,0.04898
1998,Upper Secondary Level,West,Next year,0.02729,143,652,0.01477,0.03980
1998,Upper Secondary Level,West,In the next 2 to 5 years,0.04123,231,652,0.02596,0.05651
1998,Upper Secondary Level,West,"In the distant future, in more than five years",0.01546,94,652,0.00598,0.02493
1998,Upper Secondary Level,East,As soon as possible,0.12530,280,408,0.09313,0.15746
1998,Upper Secondary Level,East,Next year,0.02611,67,408,0.01062,0.04160
1998,Upper Secondary Level,East,In the next 2 to 5 years,0.02985,61,408,0.01332,0.04638
1998,Second Stage of Tertiary Education,West,As soon as possible,0.03463,36,36,-0.02595,0.09520
1998,Second Stage of Tertiary Education,East,As soon as possible,0.06169,56,56,-0.00190,0.12527
1999,Pre-primary Level,West,Next year,0.19859,38,146,0.13366,0.26353
1999,Pre-primary Level,West,In the next 2 to 5 years,0.25614,60,146,0.18510,0.32719
1999,Pre-primary Level,West,"In the distant future, in more than five years",0.20477,48,146,0.13909,0.27045
1999,Pre-primary Level,East,In the next 2 to 5 years,0.27594,32,32,0.11859,0.43329
1999,Lower Secondary Level,West,As soon as possible,0.04278,104,296,0.01969,0.06588
1999,Lower Secondary Level,West,Next year,0.02248,63,296,0.00556,0.03939
1999,Lower Secondary Level,West,In the next 2 to 5 years,0.03492,93,296,0.01397,0.05587
1999,Lower Secondary Level,West,"In the distant future, in more than five years",0.01234,36,296,-0.00026,0.02494
1999,Upper Secondary Level,West,As soon as possible,0.03141,159,545,0.01675,0.04607
1999,Upper Secondary Level,West,Next year,0.02182,112,545,0.00954,0.03410
1999,Upper Secondary Level,West,In the next 2 to 5 years,0.03725,209,545,0.02134,0.05316
1999,Upper Secondary Level,West,"In the distant future, in more than five years",0.01072,65,545,0.00206,0.01937
1999,Upper Secondary Level,East,As soon as possible,0.10742,239,374,0.07600,0.13885
1999,Upper Secondary Level,East,Next year,0.03909,84,374,0.01942,0.05876
1999,Upper Secondary Level,East,In the next 2 to 5 years,0.02275,51,374,0.00762,0.03788
1999,Post-secondary Non-tertiary Level,West,In the next 2 to 5 years,0.08250,36,36,-0.00865,0.17364
1999,Second Stage of Tertiary Education,East,As soon as possible,0.04108,36,36,-0.02467,0.10684
2000,Pre-primary Level,West,Next year,0.17761,56,234,0.12854,0.22669
2000,Pre-primary Level,West,In the next 2 to 5 years,0.25669,105,234,0.20060,0.31277
2000,Pre-primary Level,West,"In the distant future, in more than five years",0.21404,73,234,0.16138,0.26671
2000,Pre-primary Level,East,Next year,0.22173,32,109,0.14339,0.30008
2000,Pre-primary Level,East,In the next 2 to 5 years,0.35018,45,109,0.26021,0.44015
2000,Pre-primary Level,East,"In the distant future, in more than five years",0.16856,32,109,0.09795,0.23916
2000,Primary Level,West,As soon as possible,0.09170,33,33,-0.00829,0.19170
2000,Lower Secondary Level,West,As soon as possible,0.04055,145,442,0.02214,0.05896
2000,Lower Secondary Level,West,Next year,0.02621,91,442,0.01130,0.04112
2000,Lower Secondary Level,West,In the next 2 to 5 years,0.04227,146,442,0.02349,0.06105
2000,Lower Secondary Level,West,"In the distant future, in more than five years",0.01729,60,442,0.00512,0.02945
2000,Lower Secondary Level,East,As soon as possible,0.06657,37,37,-0.01486,0.14800
2000,Upper Secondary Level,West,As soon as possible,0.02696,281,1100,0.01739,0.03654
2000,Upper Secondary Level,West,Next year,0.01989,225,1100,0.01164,0.02815
2000,Upper Secondary Level,West,In the next 2 to 5 years,0.03792,432,1100,0.02663,0.04921
2000,Upper Secondary Level,West,"In the distant future, in more than five years",0.01391,162,1100,0.00699,0.02084
2000,Upper Secondary Level,East,As soon as possible,0.10631,371,586,0.08134,0.13129
2000,Upper Secondary Level,East,Next year,0.03591,120,586,0.02083,0.05099
2000,Upper Secondary Level,East,In the next 2 to 5 years,0.02140,95,586,0.00968,0.03313
2000,Post-secondary Non-tertiary Level,West,Next year,0.03384,40,119,0.00122,0.06647
2000,Post-secondary Non-tertiary Level,West,In the next 2 to 5 years,0.07792,79,119,0.02955,0.12628
2000,First Stage of Tertiary Education,West,Next year,0.02138,37,91,-0.00850,0.05127
2000,First Stage of Tertiary Education,West,In the next 2 to 5 years,0.03186,54,91,-0.00442,0.06815
2000,Second Stage of Tertiary Education,West,As soon as possible,0.02379,61,192,0.00218,0.04541
2000,Second Stage of Tertiary Education,West,Next year,0.02221,59,192,0.00131,0.04312
2000,Second Stage of Tertiary Education,West,In the next 2 to 5 years,0.02362,72,192,0.00208,0.04516
2000,Second Stage of Tertiary Education,East,As soon as possible,0.04200,59,59,-0.00962,0.09362
2001,Pre-primary Level,West,Next year,0.15694,62,264,0.11298,0.20090
2001,Pre-primary Level,West,In the next 2 to 5 years,0.28060,115,264,0.22630,0.33491
2001,Pre-primary Level,West,"In the distant future, in more than five years",0.22365,87,264,0.17329,0.27401
2001,Pre-primary Level,East,Next year,0.22545,33,84,0.13554,0.31535
2001,Pre-primary Level,East,In the next 2 to 5 years,0.34181,51,84,0.23977,0.44385
2001,Lower Secondary Level,West,As soon as possible,0.04178,118,377,0.02156,0.06201
2001,Lower Secondary Level,West,Next year,0.03036,85,377,0.01301,0.04770
2001,Lower Secondary Level,West,In the next 2 to 5 years,0.03205,114,377,0.01425,0.04985
2001,Lower Secondary Level,West,"In the distant future, in more than five years",0.01985,60,377,0.00575,0.03395
2001,Lower Secondary Level,East,As soon as possible,0.07682,44,44,-0.00278,0.15642
2001,Upper Secondary Level,West,As soon as possible,0.02828,249,907,0.01749,0.03908
2001,Upper Secondary Level,West,Next year,0.02097,185,907,0.01164,0.03031
2001,Upper Secondary Level,West,In the next 2 to 5 years,0.03568,362,907,0.02360,0.04776
2001,Upper Secondary Level,West,"In the distant future, in more than five years",0.01003,111,907,0.00354,0.01652
2001,Upper Secondary Level,East,As soon as possible,0.10734,334,516,0.08060,0.13407
2001,Upper Secondary Level,East,Next year,0.03092,99,516,0.01597,0.04587
2001,Upper Secondary Level,East,In the next 2 to 5 years,0.01895,83,516,0.00717,0.03073
2001,Post-secondary Non-tertiary Level,West,As soon as possible,0.03134,34,131,0.00139,0.06129
2001,Post-secondary Non-tertiary Level,West,Next year,0.03213,35,131,0.00182,0.06244
2001,Post-secondary Non-tertiary Level,West,In the next 2 to 5 years,0.06569,62,131,0.02310,0.10827
2001,First Stage of Tertiary Education,West,In the next 2 to 5 years,0.02248,43,43,-0.02235,0.06732
2001,Second Stage of Tertiary Education,West,As soon as possible,0.02259,47,164,-0.00022,0.04541
2001,Second Stage of Tertiary Education,West,Next year,0.02292,53,164,-0.00005,0.04590
2001,Second Stage of Tertiary Education,West,In the next 2 to 5 years,0.02363,64,164,0.00031,0.04695
2001,Second Stage of Tertiary Education,East,As soon as possible,0.04309,59,59,-0.00917,0.09535
2002,Pre-primary Level,West,Next year,0.15974,62,308,0.11875,0.20072
2002,Pre-primary Level,West,In the next 2 to 5 years,0.29543,134,308,0.24440,0.34647
2002,Pre-primary Level,West,"In the distant future, in more than five years",0.20154,112,308,0.15666,0.24641
2002,Pre-primary Level,East,In the next 2 to 5 years,0.38651,55,96,0.28859,0.48443
2002,Pre-primary Level,East,"In the distant future, in more than five years",0.21396,41,96,0.13149,0.29643
2002,Lower Secondary Level,West,As soon as possible,0.04790,122,357,0.02571,0.07008
2002,Lower Secondary Level,West,Next year,0.03266,84,357,0.01420,0.05112
2002,Lower Secondary Level,West,In the next 2 to 5 years,0.03117,117,357,0.01312,0.04922
2002,Lower Secondary Level,West,"In the distant future, in more than five years",0.01325,34,357,0.00137,0.02513
2002,Lower Secondary Level,East,As soon as possible,0.07625,35,35,-0.01296,0.16546
2002,Upper Secondary Level,West,As soon as possible,0.03654,293,1027,0.02506,0.04802
2002,Upper Secondary Level,West,Next year,0.02572,238,1027,0.01603,0.03540
2002,Upper Secondary Level,West,In the next 2 to 5 years,0.03581,370,1027,0.02444,0.04718
2002,Upper Secondary Level,West,"In the distant future, in more than five years",0.01167,126,1027,0.00510,0.01825
2002,Upper Secondary Level,East,As soon as possible,0.12566,358,525,0.09728,0.15404
2002,Upper Secondary Level,East,Next year,0.03032,89,525,0.01564,0.04500
2002,Upper Secondary Level,East,In the next 2 to 5 years,0.02300,78,525,0.01016,0.03583
2002,Post-secondary Non-tertiary Level,West,As soon as possible,0.04006,39,142,0.00769,0.07243
2002,Post-secondary Non-tertiary Level,West,Next year,0.03744,38,142,0.00611,0.06878
2002,Post-secondary Non-tertiary Level,West,In the next 2 to 5 years,0.06298,65,142,0.02288,0.10308
2002,First Stage of Tertiary Education,West,In the next 2 to 5 years,0.02745,40,40,-0.02383,0.07873
2002,Second Stage of Tertiary Education,West,As soon as possible,0.03231,70,180,0.00640,0.05821
2002,Second Stage of Tertiary Education,West,Next year,0.01540,47,180,-0.00264,0.03343
2002,Second Stage of Tertiary Education,West,In the next 2 to 5 years,0.01571,63,180,-0.00251,0.03393
2002,Second Stage of Tertiary Education,East,As soon as possible,0.04552,53,53,-0.01114,0.10217
2003,Pre-primary Level,West,Next year,0.12031,52,306,0.08380,0.15682
2003,Pre-primary Level,West,In the next 2 to 5 years,0.30471,142,306,0.25305,0.35637
