,Unnamed: 0,year,age_gr,sex,plb0418,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
37,37,1986,17-29 y.,female,In the next 2 to 5 years,0.29489,153,1457,0.26599,0.32704
38,38,1986,17-29 y.,female,"In the distant future, in more than five years",0.20184,86,1457,0.1812,0.22449
39,39,1986,30-45 y.,male,As soon as possible,1.0,73,1457,0.84831,1.18976
40,40,1986,30-45 y.,female,As soon as possible,0.22674,89,1457,0.19928,0.25447
41,41,1986,30-45 y.,female,Next year,0.11958,48,1457,0.10012,0.14442
42,42,1986,30-45 y.,female,In the next 2 to 5 years,0.3282,119,1457,0.30007,0.35354
43,43,1986,30-45 y.,female,"In the distant future, in more than five years",0.32547,107,1457,0.30372,0.34729
44,44,1986,46-65 y.,male,As soon as possible,1.0,63,1457,0.83403,1.18922
45,45,1986,46-65 y.,female,As soon as possible,1.0,63,1457,0.84654,1.14272
46,46,1987,17-29 y.,male,As soon as possible,0.2297,113,1526,0.19654,0.26243
47,47,1987,17-29 y.,male,Next year,0.2228,101,1526,0.19246,0.25405
48,48,1987,17-29 y.,male,In the next 2 to 5 years,0.40592,160,1526,0.36999,0.4506
49,49,1987,17-29 y.,male,"In the distant future, in more than five years",0.14159,61,1526,0.12282,0.15857
50,50,1987,17-29 y.,female,As soon as possible,0.20921,92,1526,0.1791,0.24398
51,51,1987,17-29 y.,female,Next year,0.28485,131,1526,0.25202,0.3207
52,52,1987,17-29 y.,female,In the next 2 to 5 years,0.3238,149,1526,0.28236,0.35964
53,53,1987,17-29 y.,female,"In the distant future, in more than five years",0.18214,76,1526,0.15934,0.20746
54,54,1987,30-45 y.,male,As soon as possible,1.0,62,1526,0.85986,1.13329
55,55,1987,30-45 y.,female,As soon as possible,0.21046,90,1526,0.18481,0.24106
56,56,1987,30-45 y.,female,Next year,0.17065,66,1526,0.14959,0.19682
57,57,1987,30-45 y.,female,In the next 2 to 5 years,0.34426,125,1526,0.31944,0.3712
58,58,1987,30-45 y.,female,"In the distant future, in more than five years",0.27462,96,1526,0.25201,0.29714
59,59,1987,46-65 y.,male,As soon as possible,1.0,69,1526,0.8195,1.16056
60,60,1987,46-65 y.,female,As soon as possible,0.4765,71,1526,0.40905,0.55898
61,61,1987,46-65 y.,female,Next year,0.26554,33,1526,0.22784,0.30847
62,62,1987,46-65 y.,female,In the next 2 to 5 years,0.25797,31,1526,0.21839,0.2872
63,63,1988,17-29 y.,male,As soon as possible,0.18197,100,1447,0.14841,0.20917
64,64,1988,17-29 y.,male,Next year,0.26653,94,1447,0.23359,0.30174
65,65,1988,17-29 y.,male,In the next 2 to 5 years,0.41359,160,1447,0.36916,0.45594
66,66,1988,17-29 y.,male,"In the distant future, in more than five years",0.13792,56,1447,0.12072,0.15779
67,67,1988,17-29 y.,female,As soon as possible,0.18877,92,1447,0.15332,0.22289
68,68,1988,17-29 y.,female,Next year,0.23429,108,1447,0.20167,0.26944
69,69,1988,17-29 y.,female,In the next 2 to 5 years,0.39679,173,1447,0.35199,0.44942
70,70,1988,17-29 y.,female,"In the distant future, in more than five years",0.18015,72,1447,0.15605,0.21311
71,71,1988,30-45 y.,male,As soon as possible,1.0,57,1447,0.83364,1.15364
72,72,1988,30-45 y.,female,As soon as possible,0.18509,72,1447,0.15021,0.21622
73,73,1988,30-45 y.,female,Next year,0.21748,73,1447,0.18856,0.24375
74,74,1988,30-45 y.,female,In the next 2 to 5 years,0.36443,123,1447,0.32777,0.39734
75,75,1988,30-45 y.,female,"In the distant future, in more than five years",0.233,77,1447,0.20799,0.25281
76,76,1988,46-65 y.,male,As soon as possible,1.0,66,1447,0.80125,1.18615
77,77,1988,46-65 y.,female,As soon as possible,0.46181,56,1447,0.38663,0.55416
78,78,1988,46-65 y.,female,Next year,0.27679,36,1447,0.23091,0.33315
79,79,1988,46-65 y.,female,In the next 2 to 5 years,0.2614,32,1447,0.21463,0.30735
80,80,1989,17-29 y.,male,As soon as possible,0.17602,85,1230,0.14366,0.20908
81,81,1989,17-29 y.,male,Next year,0.21104,75,1230,0.18352,0.2421
82,82,1989,17-29 y.,male,In the next 2 to 5 years,0.45092,158,1230,0.40962,0.49609
83,83,1989,17-29 y.,male,"In the distant future, in more than five years",0.16202,54,1230,0.14408,0.18514
84,84,1989,17-29 y.,female,As soon as possible,0.14662,70,1230,0.10872,0.18609
85,85,1989,17-29 y.,female,Next year,0.23788,88,1230,0.20727,0.27263
86,86,1989,17-29 y.,female,In the next 2 to 5 years,0.41217,165,1230,0.36135,0.46768
87,87,1989,17-29 y.,female,"In the distant future, in more than five years",0.20333,83,1230,0.17486,0.23058
88,88,1989,30-45 y.,male,As soon as possible,1.0,38,1230,0.77414,1.19842
89,89,1989,30-45 y.,female,As soon as possible,0.18371,59,1230,0.15454,0.20798
90,90,1989,30-45 y.,female,Next year,0.15025,50,1230,0.12657,0.17109
91,91,1989,30-45 y.,female,In the next 2 to 5 years,0.42278,131,1230,0.38597,0.46511
92,92,1989,30-45 y.,female,"In the distant future, in more than five years",0.24325,64,1230,0.21668,0.27602
93,93,1989,46-65 y.,male,As soon as possible,1.0,55,1230,0.77438,1.20381
94,94,1989,46-65 y.,female,As soon as possible,1.0,55,1230,0.79901,1.19366
95,95,1990,17-29 y.,male,As soon as possible,0.17772,96,1462,0.14406,0.21277
96,96,1990,17-29 y.,male,Next year,0.2337,107,1462,0.20762,0.26258
97,97,1990,17-29 y.,male,In the next 2 to 5 years,0.39345,159,1462,0.35712,0.4275
98,98,1990,17-29 y.,male,"In the distant future, in more than five years",0.19512,74,1462,0.16898,0.2205
99,99,1990,17-29 y.,female,As soon as possible,0.15315,92,1462,0.13064,0.18154
100,100,1990,17-29 y.,female,Next year,0.29128,155,1462,0.25957,0.32924
101,101,1990,17-29 y.,female,In the next 2 to 5 years,0.38779,202,1462,0.34698,0.43733
102,102,1990,17-29 y.,female,"In the distant future, in more than five years",0.16778,85,1462,0.14166,0.19126
103,103,1990,30-45 y.,male,As soon as possible,1.0,41,1462,0.77368,1.20155
104,104,1990,30-45 y.,female,As soon as possible,0.20191,72,1462,0.17616,0.23757
105,105,1990,30-45 y.,female,Next year,0.15747,65,1462,0.13176,0.18458
106,106,1990,30-45 y.,female,In the next 2 to 5 years,0.37452,109,1462,0.33947,0.41844
107,107,1990,30-45 y.,female,"In the distant future, in more than five years",0.2661,74,1462,0.23001,0.30736
108,108,1990,46-65 y.,male,As soon as possible,1.0,52,1462,0.77284,1.21369
109,109,1990,46-65 y.,female,As soon as possible,0.57603,45,1462,0.44254,0.70928
110,110,1990,46-65 y.,female,Next year,0.42397,34,1462,0.35232,0.51437
111,111,1991,17-29 y.,male,As soon as possible,0.22908,108,1578,0.1978,0.25989
112,112,1991,17-29 y.,male,Next year,0.22927,90,1578,0.19616,0.26864
113,113,1991,17-29 y.,male,In the next 2 to 5 years,0.36867,134,1578,0.32892,0.40209
114,114,1991,17-29 y.,male,"In the distant future, in more than five years",0.17298,67,1578,0.14706,0.20122
115,115,1991,17-29 y.,female,As soon as possible,0.17559,103,1578,0.14742,0.20278
116,116,1991,17-29 y.,female,Next year,0.24414,133,1578,0.22092,0.27197
117,117,1991,17-29 y.,female,In the next 2 to 5 years,0.41506,220,1578,0.36797,0.4552
118,118,1991,17-29 y.,female,"In the distant future, in more than five years",0.16521,82,1578,0.13905,0.19474
119,119,1991,30-45 y.,male,As soon as possible,1.0,80,1578,0.83973,1.23251
120,120,1991,30-45 y.,female,As soon as possible,0.20532,107,1578,0.17472,0.23694
121,121,1991,30-45 y.,female,Next year,0.19346,88,1578,0.16832,0.22248
122,122,1991,30-45 y.,female,In the next 2 to 5 years,0.38109,125,1578,0.34545,0.4186
123,123,1991,30-45 y.,female,"In the distant future, in more than five years",0.22013,68,1578,0.1945,0.25224
124,124,1991,46-65 y.,male,As soon as possible,1.0,73,1578,0.82504,1.18773
125,125,1991,46-65 y.,female,As soon as possible,0.63969,69,1578,0.53927,0.74353
126,126,1991,46-65 y.,female,Next year,0.36031,31,1578,0.27313,0.42866
127,127,1992,17-29 y.,male,As soon as possible,0.23475,118,1833,0.20669,0.2634
128,128,1992,17-29 y.,male,Next year,0.22267,91,1833,0.19634,0.24916
129,129,1992,17-29 y.,male,In the next 2 to 5 years,0.38135,153,1833,0.33677,0.41774
130,130,1992,17-29 y.,male,"In the distant future, in more than five years",0.16124,58,1833,0.13843,0.18392
131,131,1992,17-29 y.,female,As soon as possible,0.20237,117,1833,0.17928,0.2301
132,132,1992,17-29 y.,female,Next year,0.2676,144,1833,0.24,0.30076
133,133,1992,17-29 y.,female,In the next 2 to 5 years,0.40617,247,1833,0.3668,0.44462
134,134,1992,17-29 y.,female,"In the distant future, in more than five years",0.12386,81,1833,0.10829,0.14209
135,135,1992,30-45 y.,male,As soon as possible,1.0,91,1833,0.85665,1.16683
136,136,1992,30-45 y.,female,As soon as possible,0.23577,158,1833,0.21137,0.25867
137,137,1992,30-45 y.,female,Next year,0.24872,118,1833,0.21697,0.28277
138,138,1992,30-45 y.,female,In the next 2 to 5 years,0.33905,147,1833,0.30953,0.37142
139,139,1992,30-45 y.,female,"In the distant future, in more than five years",0.17646,68,1833,0.15137,0.20059
140,140,1992,46-65 y.,male,As soon as possible,1.0,89,1833,0.85447,1.16916
141,141,1992,46-65 y.,female,As soon as possible,0.6897,109,1833,0.61587,0.7653
142,142,1992,46-65 y.,female,Next year,0.3103,44,1833,0.26284,0.36374
143,143,1993,17-29 y.,male,As soon as possible,0.26708,130,1836,0.23367,0.30433
144,144,1993,17-29 y.,male,Next year,0.23509,106,1836,0.20614,0.26769
145,145,1993,17-29 y.,male,In the next 2 to 5 years,0.36779,148,1836,0.32713,0.40805
146,146,1993,17-29 y.,male,"In the distant future, in more than five years",0.13003,58,1836,0.10972,0.15139
147,147,1993,17-29 y.,female,As soon as possible,0.21715,130,1836,0.19172,0.24854
148,148,1993,17-29 y.,female,Next year,0.19175,115,1836,0.16891,0.21854
149,149,1993,17-29 y.,female,In the next 2 to 5 years,0.44324,258,1836,0.40424,0.48227
150,150,1993,17-29 y.,female,"In the distant future, in more than five years",0.14786,94,1836,0.13346,0.16434
151,151,1993,30-45 y.,male,As soon as possible,1.0,93,1836,0.80975,1.17669
152,152,1993,30-45 y.,female,As soon as possible,0.27797,170,1836,0.25354,0.30433
153,153,1993,30-45 y.,female,Next year,0.17332,93,1836,0.1556,0.19652
154,154,1993,30-45 y.,female,In the next 2 to 5 years,0.3953,142,1836,0.35411,0.43863
155,155,1993,30-45 y.,female,"In the distant future, in more than five years",0.15341,61,1836,0.13358,0.17429
156,156,1993,46-65 y.,male,As soon as possible,1.0,92,1836,0.86666,1.14266
157,157,1993,46-65 y.,female,As soon as possible,0.65086,103,1836,0.56872,0.73515
158,158,1993,46-65 y.,female,Next year,0.34914,43,1836,0.28874,0.40755
159,159,1994,17-29 y.,male,As soon as possible,0.29047,152,1917,0.25907,0.32957
160,160,1994,17-29 y.,male,Next year,0.26812,113,1917,0.23385,0.31059
161,161,1994,17-29 y.,male,In the next 2 to 5 years,0.31909,125,1917,0.2782,0.37084
162,162,1994,17-29 y.,male,"In the distant future, in more than five years",0.12231,50,1917,0.10231,0.14701
163,163,1994,17-29 y.,female,As soon as possible,0.22258,138,1917,0.19858,0.24998
164,164,1994,17-29 y.,female,Next year,0.21281,118,1917,0.18072,0.24629
165,165,1994,17-29 y.,female,In the next 2 to 5 years,0.44124,258,1917,0.3996,0.4884
166,166,1994,17-29 y.,female,"In the distant future, in more than five years",0.12337,83,1917,0.1079,0.13972
167,167,1994,30-45 y.,male,As soon as possible,1.0,122,1917,0.85614,1.15849
168,168,1994,30-45 y.,female,As soon as possible,0.2674,166,1917,0.23228,0.30036
169,169,1994,30-45 y.,female,Next year,0.2112,108,1917,0.18535,0.23927
170,170,1994,30-45 y.,female,In the next 2 to 5 years,0.35466,158,1917,0.32097,0.39298
171,171,1994,30-45 y.,female,"In the distant future, in more than five years",0.16674,72,1917,0.14339,0.18883
172,172,1994,46-65 y.,male,As soon as possible,1.0,100,1917,0.87176,1.163
173,173,1994,46-65 y.,female,As soon as possible,0.63601,107,1917,0.56185,0.71573
174,174,1994,46-65 y.,female,Next year,0.36399,47,1917,0.31069,0.42593
175,175,1995,17-29 y.,male,As soon as possible,0.27277,122,2012,0.23674,0.31329
176,176,1995,17-29 y.,male,Next year,0.27336,129,2012,0.22683,0.31996
177,177,1995,17-29 y.,male,In the next 2 to 5 years,0.31051,138,2012,0.26817,0.35177
178,178,1995,17-29 y.,male,"In the distant future, in more than five years",0.14335,58,2012,0.12238,0.16838
179,179,1995,17-29 y.,female,As soon as possible,0.16764,102,2012,0.14411,0.19468
180,180,1995,17-29 y.,female,Next year,0.20458,133,2012,0.17931,0.23206
181,181,1995,17-29 y.,female,In the next 2 to 5 years,0.47451,281,2012,0.42952,0.51961
182,182,1995,17-29 y.,female,"In the distant future, in more than five years",0.15327,96,2012,0.13555,0.17732
183,183,1995,30-45 y.,male,As soon as possible,1.0,117,2012,0.86239,1.14859
184,184,1995,30-45 y.,female,As soon as possible,0.24218,162,2012,0.21202,0.27625
185,185,1995,30-45 y.,female,Next year,0.16493,97,2012,0.14449,0.1922
186,186,1995,30-45 y.,female,In the next 2 to 5 years,0.42906,217,2012,0.38448,0.47574
187,187,1995,30-45 y.,female,"In the distant future, in more than five years",0.16382,88,2012,0.14012,0.18803
188,188,1995,46-65 y.,male,As soon as possible,1.0,108,2012,0.82563,1.15886
189,189,1995,46-65 y.,female,As soon as possible,0.64445,115,2012,0.56448,0.74252
190,190,1995,46-65 y.,female,Next year,0.35555,49,2012,0.2882,0.41497
191,191,1996,17-29 y.,male,As soon as possible,0.28015,144,2049,0.2512,0.31139
192,192,1996,17-29 y.,male,Next year,0.20852,92,2049,0.18235,0.23623
193,193,1996,17-29 y.,male,In the next 2 to 5 years,0.37337,156,2049,0.32643,0.41634
194,194,1996,17-29 y.,male,"In the distant future, in more than five years",0.13796,58,2049,0.11874,0.15911
195,195,1996,17-29 y.,female,As soon as possible,0.17286,114,2049,0.14467,0.2002
196,196,1996,17-29 y.,female,Next year,0.26831,158,2049,0.23215,0.31038
197,197,1996,17-29 y.,female,In the next 2 to 5 years,0.41225,227,2049,0.373,0.45482
198,198,1996,17-29 y.,female,"In the distant future, in more than five years",0.14658,93,2049,0.12342,0.17185
199,199,1996,30-45 y.,male,As soon as possible,0.80347,132,2049,0.7023,0.9068
200,200,1996,30-45 y.,male,Next year,0.19653,31,2049,0.16171,0.23024
201,201,1996,30-45 y.,female,As soon as possible,0.2266,146,2049,0.19201,0.26296
202,202,1996,30-45 y.,female,Next year,0.22229,125,2049,0.19699,0.25427
203,203,1996,30-45 y.,female,In the next 2 to 5 years,0.39173,208,2049,0.35398,0.42876
204,204,1996,30-45 y.,female,"In the distant future, in more than five years",0.15938,80,2049,0.13315,0.19169
205,205,1996,46-65 y.,male,As soon as possible,1.0,116,2049,0.85133,1.17326
206,206,1996,46-65 y.,female,As soon as possible,0.63021,112,2049,0.5332,0.75327
207,207,1996,46-65 y.,female,Next year,0.36979,57,2049,0.29124,0.44123
208,208,1997,17-29 y.,male,As soon as possible,0.28837,134,2030,0.25745,0.32
209,209,1997,17-29 y.,male,Next year,0.21943,92,2030,0.19428,0.24494
210,210,1997,17-29 y.,male,In the next 2 to 5 years,0.32199,134,2030,0.26669,0.36834
211,211,1997,17-29 y.,male,"In the distant future, in more than five years",0.1702,60,2030,0.14377,0.20511
212,212,1997,17-29 y.,female,As soon as possible,0.17782,110,2030,0.15405,0.20236
213,213,1997,17-29 y.,female,Next year,0.1847,102,2030,0.15627,0.21527
214,214,1997,17-29 y.,female,In the next 2 to 5 years,0.51698,276,2030,0.47255,0.56983
215,215,1997,17-29 y.,female,"In the distant future, in more than five years",0.1205,84,2030,0.10166,0.14106
216,216,1997,30-45 y.,male,As soon as possible,0.81171,145,2030,0.69394,0.92069
217,217,1997,30-45 y.,male,Next year,0.18829,32,2030,0.1338,0.25765
218,218,1997,30-45 y.,female,As soon as possible,0.2554,172,2030,0.22416,0.28641
219,219,1997,30-45 y.,female,Next year,0.20109,108,2030,0.17596,0.23212
220,220,1997,30-45 y.,female,In the next 2 to 5 years,0.39238,200,2030,0.35618,0.43373
221,221,1997,30-45 y.,female,"In the distant future, in more than five years",0.15114,77,2030,0.12732,0.17856
222,222,1997,46-65 y.,male,As soon as possible,1.0,134,2030,0.83583,1.14584
223,223,1997,46-65 y.,female,As soon as possible,0.6748,125,2030,0.56298,0.79176
224,224,1997,46-65 y.,female,Next year,0.3252,45,2030,0.25029,0.42503
225,225,1998,17-29 y.,male,As soon as possible,0.28042,143,2102,0.25064,0.31522
226,226,1998,17-29 y.,male,Next year,0.22057,107,2102,0.18997,0.2527
227,227,1998,17-29 y.,male,In the next 2 to 5 years,0.34873,148,2102,0.30985,0.39653
228,228,1998,17-29 y.,male,"In the distant future, in more than five years",0.15028,60,2102,0.13124,0.16947
229,229,1998,17-29 y.,female,As soon as possible,0.17565,112,2102,0.15296,0.19712
230,230,1998,17-29 y.,female,Next year,0.22844,132,2102,0.19573,0.25428
231,231,1998,17-29 y.,female,In the next 2 to 5 years,0.42444,238,2102,0.39169,0.46872
232,232,1998,17-29 y.,female,"In the distant future, in more than five years",0.17147,95,2102,0.15023,0.19617
233,233,1998,30-45 y.,male,As soon as possible,1.0,163,2102,0.87672,1.14609
234,234,1998,30-45 y.,female,As soon as possible,0.24961,175,2102,0.22369,0.27877
235,235,1998,30-45 y.,female,Next year,0.22437,135,2102,0.2005,0.25678
236,236,1998,30-45 y.,female,In the next 2 to 5 years,0.36917,201,2102,0.33357,0.40606
237,237,1998,30-45 y.,female,"In the distant future, in more than five years",0.15685,93,2102,0.13458,0.17796
238,238,1998,46-65 y.,male,As soon as possible,1.0,145,2102,0.88794,1.12759
239,239,1998,46-65 y.,female,As soon as possible,0.75154,120,2102,0.6603,0.84451
240,240,1998,46-65 y.,female,Next year,0.24846,35,2102,0.18236,0.31287
241,241,1999,17-29 y.,male,As soon as possible,0.31998,127,1825,0.27467,0.35959
242,242,1999,17-29 y.,male,Next year,0.23196,99,1825,0.20687,0.26579
243,243,1999,17-29 y.,male,In the next 2 to 5 years,0.29639,122,1825,0.26648,0.33217
244,244,1999,17-29 y.,male,"In the distant future, in more than five years",0.15167,56,1825,0.12429,0.18259
245,245,1999,17-29 y.,female,As soon as possible,0.15392,95,1825,0.13641,0.17294
246,246,1999,17-29 y.,female,Next year,0.24687,125,1825,0.21194,0.28197
247,247,1999,17-29 y.,female,In the next 2 to 5 years,0.46534,240,1825,0.42264,0.51509
248,248,1999,17-29 y.,female,"In the distant future, in more than five years",0.13387,79,1825,0.11388,0.15871
249,249,1999,30-45 y.,male,As soon as possible,1.0,123,1825,0.84693,1.18551
250,250,1999,30-45 y.,female,As soon as possible,0.26453,145,1825,0.22873,0.31117
251,251,1999,30-45 y.,female,Next year,0.20605,108,1825,0.1786,0.23525
252,252,1999,30-45 y.,female,In the next 2 to 5 years,0.40579,197,1825,0.37064,0.44195
253,253,1999,30-45 y.,female,"In the distant future, in more than five years",0.12363,68,1825,0.10376,0.14325
254,254,1999,46-65 y.,male,As soon as possible,1.0,104,1825,0.86038,1.14829
255,255,1999,46-65 y.,female,As soon as possible,0.66312,93,1825,0.55021,0.75431
256,256,1999,46-65 y.,female,Next year,0.33688,44,1825,0.27612,0.39277
257,257,2000,17-29 y.,male,As soon as possible,0.27228,177,3265,0.24632,0.29848
258,258,2000,17-29 y.,male,Next year,0.24525,168,3265,0.22807,0.2681
259,259,2000,17-29 y.,male,In the next 2 to 5 years,0.33874,231,3265,0.31004,0.36692
260,260,2000,17-29 y.,male,"In the distant future, in more than five years",0.14373,93,3265,0.12884,0.15992
261,261,2000,17-29 y.,female,As soon as possible,0.15418,128,3265,0.14072,0.16996
262,262,2000,17-29 y.,female,Next year,0.23659,201,3265,0.21571,0.26273
263,263,2000,17-29 y.,female,In the next 2 to 5 years,0.46553,407,3265,0.44258,0.48915
264,264,2000,17-29 y.,female,"In the distant future, in more than five years",0.14369,129,3265,0.12856,0.16348
265,265,2000,30-45 y.,male,As soon as possible,0.76343,200,3265,0.70063,0.83322
266,266,2000,30-45 y.,male,Next year,0.23657,56,3265,0.20645,0.27221
267,267,2000,30-45 y.,female,As soon as possible,0.2269,241,3265,0.20973,0.24144
268,268,2000,30-45 y.,female,Next year,0.21303,208,3265,0.19421,0.22881
269,269,2000,30-45 y.,female,In the next 2 to 5 years,0.39455,363,3265,0.36831,0.4175
270,270,2000,30-45 y.,female,"In the distant future, in more than five years",0.16552,167,3265,0.15068,0.17745
271,271,2000,46-65 y.,male,As soon as possible,0.84325,182,3265,0.76432,0.91378
272,272,2000,46-65 y.,male,Next year,0.15675,37,3265,0.13773,0.1791
273,273,2000,46-65 y.,female,As soon as possible,0.58414,169,3265,0.54333,0.63222
274,274,2000,46-65 y.,female,Next year,0.25036,62,3265,0.21721,0.28396
275,275,2000,46-65 y.,female,In the next 2 to 5 years,0.1655,46,3265,0.14281,0.191
276,276,2001,17-29 y.,male,As soon as possible,0.27825,170,2879,0.24771,0.30806
277,277,2001,17-29 y.,male,Next year,0.25905,149,2879,0.23007,0.29307
278,278,2001,17-29 y.,male,In the next 2 to 5 years,0.32345,208,2879,0.29682,0.35433
279,279,2001,17-29 y.,male,"In the distant future, in more than five years",0.13925,86,2879,0.12281,0.16158
280,280,2001,17-29 y.,female,As soon as possible,0.13568,108,2879,0.11339,0.15267
281,281,2001,17-29 y.,female,Next year,0.24595,179,2879,0.22163,0.27511
282,282,2001,17-29 y.,female,In the next 2 to 5 years,0.44602,360,2879,0.41294,0.47613
283,283,2001,17-29 y.,female,"In the distant future, in more than five years",0.17236,136,2879,0.15723,0.19296
284,284,2001,30-45 y.,male,As soon as possible,0.77452,183,2879,0.71714,0.84226
285,285,2001,30-45 y.,male,Next year,0.22548,50,2879,0.18904,0.26953
286,286,2001,30-45 y.,female,As soon as possible,0.21091,196,2879,0.19236,0.23104
287,287,2001,30-45 y.,female,Next year,0.25352,192,2879,0.22984,0.2756
288,288,2001,30-45 y.,female,In the next 2 to 5 years,0.39634,323,2879,0.3678,0.42762
289,289,2001,30-45 y.,female,"In the distant future, in more than five years",0.13923,116,2879,0.12595,0.15615
290,290,2001,46-65 y.,male,As soon as possible,1.0,172,2879,0.9138,1.10724
291,291,2001,46-65 y.,female,As soon as possible,0.62127,162,2879,0.55995,0.67645
292,292,2001,46-65 y.,female,Next year,0.21473,53,2879,0.17794,0.25262
293,293,2001,46-65 y.,female,In the next 2 to 5 years,0.164,36,2879,0.12699,0.19582
294,294,2002,17-29 y.,male,As soon as possible,0.29475,185,3065,0.26244,0.33019
295,295,2002,17-29 y.,male,Next year,0.23253,143,3065,0.20699,0.26288
296,296,2002,17-29 y.,male,In the next 2 to 5 years,0.33,251,3065,0.29529,0.36723
297,297,2002,17-29 y.,male,"In the distant future, in more than five years",0.14272,125,3065,0.12002,0.15975
298,298,2002,17-29 y.,female,As soon as possible,0.17963,123,3065,0.15552,0.2071
299,299,2002,17-29 y.,female,Next year,0.24051,185,3065,0.21277,0.26865
300,300,2002,17-29 y.,female,In the next 2 to 5 years,0.44948,362,3065,0.40881,0.48551
301,301,2002,17-29 y.,female,"In the distant future, in more than five years",0.13038,133,3065,0.10827,0.15654
302,302,2002,30-45 y.,male,As soon as possible,0.82363,213,3065,0.76749,0.88882
303,303,2002,30-45 y.,male,Next year,0.17637,51,3065,0.14098,0.21326
304,304,2002,30-45 y.,female,As soon as possible,0.26831,227,3065,0.2438,0.29164
305,305,2002,30-45 y.,female,Next year,0.24847,206,3065,0.22441,0.27245
306,306,2002,30-45 y.,female,In the next 2 to 5 years,0.3507,311,3065,0.32153,0.38463
307,307,2002,30-45 y.,female,"In the distant future, in more than five years",0.13251,104,3065,0.11707,0.15196
308,308,2002,46-65 y.,male,As soon as possible,1.0,175,3065,0.90493,1.12193
309,309,2002,46-65 y.,female,As soon as possible,0.67569,172,3065,0.61841,0.75226
310,310,2002,46-65 y.,female,Next year,0.19883,56,3065,0.14782,0.2476
311,311,2002,46-65 y.,female,In the next 2 to 5 years,0.12548,43,3065,0.09144,0.16731
312,312,2003,17-29 y.,male,As soon as possible,0.32889,189,3016,0.29224,0.36897
313,313,2003,17-29 y.,male,Next year,0.19852,144,3016,0.17337,0.22512
