year,pgisced97,quintil_oecd,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.34660,47,121,0.26146,0.43175
1984,Upper Secondary Level,4th Quintile,"In the distant future, in more than five years",0.27126,40,121,0.19170,0.35081
1984,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.44938,41,41,0.29522,0.60353
1985,Primary Level,1st Quintile,As soon as possible,0.68264,51,51,0.55362,0.81165
1985,Lower Secondary Level,1st Quintile,As soon as possible,0.49701,103,174,0.42251,0.57152
1985,Lower Secondary Level,1st Quintile,Next year,0.22787,37,174,0.16537,0.29038
1985,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.18589,34,174,0.12792,0.24386
1985,Lower Secondary Level,2nd Quintile,As soon as possible,0.31348,38,38,0.16400,0.46296
1985,Upper Secondary Level,1st Quintile,As soon as possible,0.45355,89,173,0.37914,0.52795
1985,Upper Secondary Level,1st Quintile,Next year,0.17366,31,173,0.11705,0.23028
1985,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.25344,53,173,0.18844,0.31845
1985,Upper Secondary Level,2nd Quintile,As soon as possible,0.42366,64,110,0.33089,0.51642
1985,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.28132,46,110,0.19691,0.36573
1985,Upper Secondary Level,3rd Quintile,As soon as possible,0.37235,45,87,0.27017,0.47452
1985,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.32994,42,87,0.23056,0.42931
1986,Primary Level,1st Quintile,As soon as possible,0.48076,32,32,0.30487,0.65664
1986,Lower Secondary Level,1st Quintile,As soon as possible,0.54633,88,157,0.46820,0.62445
1986,Lower Secondary Level,1st Quintile,Next year,0.16932,34,157,0.11047,0.22818
1986,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.16397,35,157,0.10587,0.22207
1986,Lower Secondary Level,2nd Quintile,As soon as possible,0.28378,35,35,0.13224,0.43533
1986,Upper Secondary Level,1st Quintile,As soon as possible,0.38844,85,177,0.31643,0.46045
1986,Upper Secondary Level,1st Quintile,Next year,0.20103,33,177,0.14182,0.26024
1986,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.28280,59,177,0.21626,0.34934
1986,Upper Secondary Level,2nd Quintile,As soon as possible,0.31016,45,123,0.22808,0.39224
1986,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.31336,45,123,0.23105,0.39568
1986,Upper Secondary Level,2nd Quintile,"In the distant future, in more than five years",0.24053,33,123,0.16468,0.31637
1986,Upper Secondary Level,3rd Quintile,As soon as possible,0.28815,34,70,0.18128,0.39501
1986,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.28621,36,70,0.17956,0.39286
1986,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.42156,41,41,0.26852,0.57459
1987,Primary Level,1st Quintile,As soon as possible,0.56229,39,39,0.40455,0.72003
1987,Lower Secondary Level,1st Quintile,As soon as possible,0.53973,87,157,0.46151,0.61794
1987,Lower Secondary Level,1st Quintile,Next year,0.16401,38,157,0.10591,0.22212
1987,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.14195,32,157,0.08718,0.19671
1987,Lower Secondary Level,2nd Quintile,In the next 2 to 5 years,0.45929,36,36,0.29419,0.62439
1987,Upper Secondary Level,1st Quintile,As soon as possible,0.38435,77,171,0.31123,0.45748
1987,Upper Secondary Level,1st Quintile,Next year,0.24423,45,171,0.17965,0.30881
1987,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.25628,49,171,0.19065,0.32191
1987,Upper Secondary Level,2nd Quintile,As soon as possible,0.26084,43,98,0.17346,0.34822
1987,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.33117,55,98,0.23751,0.42483
1987,Upper Secondary Level,3rd Quintile,As soon as possible,0.31545,37,76,0.21028,0.42062
1987,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.32695,39,76,0.22078,0.43311
1987,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.40924,44,44,0.26227,0.55620
1988,Lower Secondary Level,1st Quintile,As soon as possible,0.43591,77,161,0.35908,0.51275
1988,Lower Secondary Level,1st Quintile,Next year,0.20675,34,161,0.14399,0.26950
1988,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.28442,50,161,0.21451,0.35432
1988,Lower Secondary Level,2nd Quintile,As soon as possible,0.30274,32,68,0.19273,0.41276
1988,Lower Secondary Level,2nd Quintile,In the next 2 to 5 years,0.32467,36,68,0.21255,0.43680
1988,Upper Secondary Level,1st Quintile,As soon as possible,0.35986,70,163,0.28595,0.43377
1988,Upper Secondary Level,1st Quintile,Next year,0.25131,38,163,0.18451,0.31811
1988,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.29948,55,163,0.22895,0.37001
1988,Upper Secondary Level,2nd Quintile,As soon as possible,0.23964,32,117,0.16195,0.31732
1988,Upper Secondary Level,2nd Quintile,Next year,0.25754,33,117,0.17796,0.33711
1988,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.32547,52,117,0.24020,0.41074
1988,Upper Secondary Level,3rd Quintile,As soon as possible,0.27203,38,82,0.17512,0.36895
1988,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.33444,44,82,0.23169,0.43719
1988,Upper Secondary Level,4th Quintile,As soon as possible,0.30428,36,86,0.20647,0.40210
1988,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.38758,50,86,0.28400,0.49115
1988,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.46154,33,33,0.28881,0.63427
1989,Lower Secondary Level,1st Quintile,As soon as possible,0.41976,71,109,0.32668,0.51283
1989,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.23900,38,109,0.15857,0.31943
1989,Lower Secondary Level,2nd Quintile,In the next 2 to 5 years,0.49287,44,44,0.34344,0.64231
1989,Upper Secondary Level,1st Quintile,As soon as possible,0.39593,55,96,0.29758,0.49427
1989,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.28316,41,96,0.19257,0.37376
1989,Upper Secondary Level,2nd Quintile,As soon as possible,0.30211,37,90,0.20671,0.39751
1989,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.38245,53,90,0.28148,0.48341
1989,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.48840,55,55,0.35508,0.62173
1989,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.34251,38,38,0.18960,0.49541
1989,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.47437,34,34,0.30400,0.64474
1990,Lower Secondary Level,1st Quintile,As soon as possible,0.39027,50,123,0.30371,0.47683
1990,Lower Secondary Level,1st Quintile,Next year,0.23723,34,123,0.16175,0.31272
1990,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.25414,39,123,0.17688,0.33140
1990,Upper Secondary Level,1st Quintile,As soon as possible,0.37348,54,91,0.27354,0.47342
1990,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.28705,37,91,0.19359,0.38052
1990,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.48983,62,62,0.36438,0.61528
1990,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.35858,40,40,0.20806,0.50910
1990,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.56460,45,45,0.41810,0.71110
1991,Lower Secondary Level,1st Quintile,As soon as possible,0.38141,44,82,0.27562,0.48719
1991,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.29521,38,82,0.19587,0.39455
1991,Upper Secondary Level,1st Quintile,As soon as possible,0.32711,43,76,0.22093,0.43329
1991,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.26284,33,76,0.16322,0.36246
1991,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.41247,53,53,0.27867,0.54627
1991,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.42590,56,56,0.29521,0.55658
1991,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.61001,46,46,0.46750,0.75252
1992,Lower Secondary Level,1st Quintile,As soon as possible,0.37912,52,90,0.27832,0.47991
1992,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.29299,38,90,0.19843,0.38755
1992,Lower Secondary Level,2nd Quintile,As soon as possible,0.30956,32,72,0.20202,0.41709
1992,Lower Secondary Level,2nd Quintile,In the next 2 to 5 years,0.33557,40,72,0.22574,0.44541
1992,Lower Secondary Level,3rd Quintile,In the next 2 to 5 years,0.41092,36,36,0.24792,0.57391
1992,Upper Secondary Level,1st Quintile,As soon as possible,0.56563,174,297,0.50917,0.62210
1992,Upper Secondary Level,1st Quintile,Next year,0.22476,70,297,0.17721,0.27231
1992,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.18785,53,297,0.14336,0.23235
1992,Upper Secondary Level,2nd Quintile,As soon as possible,0.39367,96,208,0.32711,0.46022
1992,Upper Secondary Level,2nd Quintile,Next year,0.21155,49,208,0.15592,0.26719
1992,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.29795,63,208,0.23564,0.36026
1992,Upper Secondary Level,3rd Quintile,As soon as possible,0.26833,58,159,0.19923,0.33742
1992,Upper Secondary Level,3rd Quintile,Next year,0.26187,44,159,0.19331,0.33042
1992,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.35705,57,159,0.28234,0.43176
1992,Upper Secondary Level,4th Quintile,Next year,0.27934,33,92,0.18716,0.37153
1992,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.39331,59,92,0.29294,0.49367
1992,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.51944,40,40,0.36263,0.67625
1993,Lower Secondary Level,1st Quintile,As soon as possible,0.35369,56,100,0.25951,0.44787
1993,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.32475,44,100,0.23251,0.41700
1993,Lower Secondary Level,2nd Quintile,As soon as possible,0.29687,32,64,0.18405,0.40969
1993,Lower Secondary Level,2nd Quintile,In the next 2 to 5 years,0.34814,32,64,0.23051,0.46578
1993,Upper Secondary Level,1st Quintile,As soon as possible,0.56557,173,297,0.50910,0.62204
1993,Upper Secondary Level,1st Quintile,Next year,0.20211,59,297,0.15636,0.24786
1993,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.20084,65,297,0.15520,0.24648
1993,Upper Secondary Level,2nd Quintile,As soon as possible,0.43492,116,218,0.36896,0.50088
1993,Upper Secondary Level,2nd Quintile,Next year,0.16656,41,218,0.11698,0.21613
1993,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.28959,61,218,0.22924,0.34994
1993,Upper Secondary Level,3rd Quintile,As soon as possible,0.34795,70,174,0.27697,0.41893
1993,Upper Secondary Level,3rd Quintile,Next year,0.23269,51,174,0.16973,0.29566
1993,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.32586,53,174,0.25602,0.39570
1993,Upper Secondary Level,4th Quintile,As soon as possible,0.30516,42,97,0.21305,0.39728
1993,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.39446,55,97,0.29669,0.49223
1993,Upper Secondary Level,5th Quintile,Next year,0.30765,31,69,0.19796,0.41735
1993,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.40392,38,69,0.28730,0.52055
1994,Lower Secondary Level,1st Quintile,As soon as possible,0.39029,63,135,0.30769,0.47289
1994,Lower Secondary Level,1st Quintile,Next year,0.22616,32,135,0.15532,0.29699
1994,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.29681,40,135,0.21945,0.37416
1994,Lower Secondary Level,2nd Quintile,As soon as possible,0.27998,33,64,0.16911,0.39085
1994,Lower Secondary Level,2nd Quintile,In the next 2 to 5 years,0.31037,31,64,0.19613,0.42462
1994,Upper Secondary Level,1st Quintile,As soon as possible,0.57624,192,314,0.52149,0.63098
1994,Upper Secondary Level,1st Quintile,Next year,0.17309,52,314,0.13117,0.21500
1994,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.19564,70,314,0.15169,0.23959
1994,Upper Secondary Level,2nd Quintile,As soon as possible,0.40291,112,218,0.33765,0.46817
1994,Upper Secondary Level,2nd Quintile,Next year,0.20415,49,218,0.15052,0.25778
1994,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.30836,57,218,0.24691,0.36980
1994,Upper Secondary Level,3rd Quintile,As soon as possible,0.38900,74,170,0.31550,0.46251
1994,Upper Secondary Level,3rd Quintile,Next year,0.20155,41,170,0.14107,0.26203
1994,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.34245,55,170,0.27091,0.41400
1994,Upper Secondary Level,4th Quintile,As soon as possible,0.30177,52,152,0.22856,0.37499
1994,Upper Secondary Level,4th Quintile,Next year,0.25775,41,152,0.18798,0.32752
1994,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.33398,59,152,0.25875,0.40921
1994,Upper Secondary Level,5th Quintile,Next year,0.35945,38,71,0.24704,0.47186
1994,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.33434,33,71,0.22382,0.44485
1995,Lower Secondary Level,1st Quintile,As soon as possible,0.36697,72,149,0.28932,0.44462
1995,Lower Secondary Level,1st Quintile,Next year,0.24753,34,149,0.17799,0.31706
1995,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.27331,43,149,0.20151,0.34511
1995,Lower Secondary Level,2nd Quintile,As soon as possible,0.36141,35,75,0.25195,0.47087
1995,Lower Secondary Level,2nd Quintile,In the next 2 to 5 years,0.39677,40,75,0.28530,0.50823
1995,Upper Secondary Level,1st Quintile,As soon as possible,0.43953,148,308,0.38401,0.49505
1995,Upper Secondary Level,1st Quintile,Next year,0.21235,63,308,0.16660,0.25810
1995,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.28349,97,308,0.23307,0.33391
1995,Upper Secondary Level,2nd Quintile,As soon as possible,0.40677,106,243,0.34488,0.46866
1995,Upper Secondary Level,2nd Quintile,Next year,0.22535,61,243,0.17271,0.27799
1995,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.28720,76,243,0.23019,0.34420
1995,Upper Secondary Level,3rd Quintile,As soon as possible,0.37937,67,172,0.30664,0.45210
1995,Upper Secondary Level,3rd Quintile,Next year,0.23699,46,172,0.17325,0.30073
1995,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.31715,59,172,0.24740,0.38690
1995,Upper Secondary Level,4th Quintile,As soon as possible,0.25931,43,129,0.18339,0.33524
1995,Upper Secondary Level,4th Quintile,Next year,0.25210,42,129,0.17688,0.32733
1995,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.36499,44,129,0.28158,0.44839
1995,Upper Secondary Level,5th Quintile,As soon as possible,0.23079,33,102,0.14862,0.31296
1995,Upper Secondary Level,5th Quintile,Next year,0.26501,31,102,0.17894,0.35108
1995,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.34692,38,102,0.25409,0.43975
1996,Lower Secondary Level,1st Quintile,As soon as possible,0.48154,77,121,0.39214,0.57094
1996,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.26354,44,121,0.18472,0.34237
1996,Upper Secondary Level,1st Quintile,As soon as possible,0.44424,162,337,0.39112,0.49737
1996,Upper Secondary Level,1st Quintile,Next year,0.25615,87,337,0.20947,0.30282
1996,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.23139,88,337,0.18629,0.27648
1996,Upper Secondary Level,2nd Quintile,As soon as possible,0.34334,97,213,0.27943,0.40726
1996,Upper Secondary Level,2nd Quintile,Next year,0.23460,60,213,0.17756,0.29164
1996,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.30082,56,213,0.23909,0.36256
1996,Upper Secondary Level,3rd Quintile,As soon as possible,0.38829,74,160,0.31253,0.46404
1996,Upper Secondary Level,3rd Quintile,Next year,0.21669,36,160,0.15265,0.28072
1996,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.29961,50,160,0.22840,0.37081
1996,Upper Secondary Level,4th Quintile,As soon as possible,0.36029,64,103,0.26712,0.45346
1996,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.26851,39,103,0.18250,0.35451
1996,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.43289,46,46,0.28812,0.57766
1997,Lower Secondary Level,1st Quintile,As soon as possible,0.48952,78,126,0.40188,0.57715
1997,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.29598,48,126,0.21596,0.37601
1997,Lower Secondary Level,2nd Quintile,As soon as possible,0.35254,44,82,0.24849,0.45658
1997,Lower Secondary Level,2nd Quintile,In the next 2 to 5 years,0.33210,38,82,0.22954,0.43467
1997,Upper Secondary Level,1st Quintile,As soon as possible,0.48316,165,313,0.42771,0.53861
1997,Upper Secondary Level,1st Quintile,Next year,0.18865,52,313,0.14524,0.23206
1997,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.27388,96,313,0.22439,0.32336
1997,Upper Secondary Level,2nd Quintile,As soon as possible,0.44380,116,228,0.37917,0.50844
1997,Upper Secondary Level,2nd Quintile,Next year,0.23481,50,228,0.17966,0.28995
1997,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.22890,62,228,0.17424,0.28355
1997,Upper Secondary Level,3rd Quintile,As soon as possible,0.35804,85,186,0.28896,0.42713
1997,Upper Secondary Level,3rd Quintile,Next year,0.25838,42,186,0.19530,0.32145
1997,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.28731,59,186,0.22211,0.35252
1997,Upper Secondary Level,4th Quintile,As soon as possible,0.40441,58,101,0.30822,0.50061
1997,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.35418,43,101,0.26044,0.44791
1997,Upper Secondary Level,5th Quintile,As soon as possible,0.28291,32,73,0.17887,0.38695
1997,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.43353,41,73,0.31906,0.54800
1998,Lower Secondary Level,1st Quintile,As soon as possible,0.41630,68,116,0.32620,0.50639
1998,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.31360,48,116,0.22880,0.39840
1998,Upper Secondary Level,1st Quintile,As soon as possible,0.47755,167,304,0.42131,0.53380
1998,Upper Secondary Level,1st Quintile,Next year,0.19276,58,304,0.14835,0.23718
1998,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.25902,79,304,0.20969,0.30834
1998,Upper Secondary Level,2nd Quintile,As soon as possible,0.36152,98,217,0.29745,0.42559
1998,Upper Secondary Level,2nd Quintile,Next year,0.25771,54,217,0.19938,0.31604
1998,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.31649,65,217,0.25446,0.37852
1998,Upper Secondary Level,3rd Quintile,As soon as possible,0.45874,70,156,0.38030,0.53719
1998,Upper Secondary Level,3rd Quintile,Next year,0.24128,39,156,0.17392,0.30864
1998,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.26943,47,156,0.19959,0.33928
1998,Upper Secondary Level,4th Quintile,As soon as possible,0.35925,54,91,0.26013,0.45837
1998,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.36239,37,91,0.26308,0.46170
1998,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.33919,35,35,0.18005,0.49832
1999,Lower Secondary Level,1st Quintile,As soon as possible,0.41412,55,133,0.33009,0.49815
1999,Lower Secondary Level,1st Quintile,Next year,0.17052,33,133,0.10636,0.23468
1999,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.29370,45,133,0.21600,0.37139
1999,Lower Secondary Level,2nd Quintile,As soon as possible,0.39026,38,38,0.23307,0.54744
1999,Upper Secondary Level,1st Quintile,As soon as possible,0.52919,174,312,0.47371,0.58467
1999,Upper Secondary Level,1st Quintile,Next year,0.18896,66,312,0.14545,0.23247
1999,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.22847,72,312,0.18181,0.27514
1999,Upper Secondary Level,2nd Quintile,As soon as possible,0.39202,98,200,0.32419,0.45985
1999,Upper Secondary Level,2nd Quintile,Next year,0.22346,41,200,0.16558,0.28133
1999,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.28464,61,200,0.22194,0.34733
1999,Upper Secondary Level,3rd Quintile,As soon as possible,0.35200,67,161,0.27799,0.42600
1999,Upper Secondary Level,3rd Quintile,Next year,0.21711,37,161,0.15323,0.28099
1999,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.36328,57,161,0.28876,0.43780
1999,Upper Secondary Level,4th Quintile,As soon as possible,0.30938,43,76,0.20476,0.41399
1999,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.29242,33,76,0.18948,0.39537
1999,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.42918,37,37,0.26749,0.59086
2000,Lower Secondary Level,1st Quintile,As soon as possible,0.37674,67,145,0.29759,0.45588
2000,Lower Secondary Level,1st Quintile,Next year,0.25327,39,145,0.18224,0.32430
2000,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.27753,39,145,0.20440,0.35067
2000,Upper Secondary Level,1st Quintile,As soon as possible,0.49566,166,320,0.44080,0.55053
2000,Upper Secondary Level,1st Quintile,Next year,0.22439,67,320,0.17860,0.27017
2000,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.22974,87,320,0.18358,0.27591
2000,Upper Secondary Level,2nd Quintile,As soon as possible,0.34313,88,249,0.28404,0.40222
2000,Upper Secondary Level,2nd Quintile,Next year,0.23897,57,249,0.18589,0.29204
2000,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.28733,73,249,0.23101,0.34365
2000,Upper Secondary Level,2nd Quintile,"In the distant future, in more than five years",0.13058,31,249,0.08864,0.17251
2000,Upper Secondary Level,3rd Quintile,As soon as possible,0.32535,58,154,0.25112,0.39959
2000,Upper Secondary Level,3rd Quintile,Next year,0.23448,42,154,0.16735,0.30162
2000,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.35271,54,154,0.27699,0.42842
2000,Upper Secondary Level,4th Quintile,As soon as possible,0.28486,37,82,0.18657,0.38315
2000,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.37459,45,82,0.26918,0.48000
2000,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.39583,41,41,0.24427,0.54738
2001,Pre-primary Level,1st Quintile,Next year,0.36230,31,67,0.24633,0.47826
2001,Pre-primary Level,1st Quintile,In the next 2 to 5 years,0.41268,36,67,0.29391,0.53146
2001,Pre-primary Level,2nd Quintile,In the next 2 to 5 years,0.49044,45,45,0.34273,0.63815
2001,Pre-primary Level,4th Quintile,In the next 2 to 5 years,0.41159,34,34,0.24368,0.57949
2001,Pre-primary Level,5th Quintile,"In the distant future, in more than five years",0.49935,32,32,0.32333,0.67536
2001,Lower Secondary Level,1st Quintile,As soon as possible,0.45322,101,197,0.38353,0.52291
2001,Lower Secondary Level,1st Quintile,Next year,0.22486,40,197,0.16641,0.28331
2001,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.21004,56,197,0.15301,0.26707
2001,Lower Secondary Level,2nd Quintile,As soon as possible,0.30105,32,64,0.18777,0.41432
2001,Lower Secondary Level,2nd Quintile,In the next 2 to 5 years,0.29642,32,64,0.18365,0.40919
2001,Upper Secondary Level,1st Quintile,As soon as possible,0.51789,264,470,0.47267,0.56312
2001,Upper Secondary Level,1st Quintile,Next year,0.17599,86,470,0.14152,0.21045
2001,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.23355,120,470,0.19525,0.27184
2001,Upper Secondary Level,2nd Quintile,As soon as possible,0.36522,131,342,0.31412,0.41633
2001,Upper Secondary Level,2nd Quintile,Next year,0.27084,72,342,0.22368,0.31801
2001,Upper Secondary Level,2nd Quintile,In the next 2 to 5 years,0.29071,103,342,0.24251,0.33891
2001,Upper Secondary Level,2nd Quintile,"In the distant future, in more than five years",0.07322,36,342,0.04557,0.10087
2001,Upper Secondary Level,3rd Quintile,As soon as possible,0.32594,86,239,0.26639,0.38549
2001,Upper Secondary Level,3rd Quintile,Next year,0.24021,69,239,0.18593,0.29448
2001,Upper Secondary Level,3rd Quintile,In the next 2 to 5 years,0.33233,84,239,0.27248,0.39217
2001,Upper Secondary Level,4th Quintile,As soon as possible,0.35781,65,177,0.28699,0.42863
2001,Upper Secondary Level,4th Quintile,Next year,0.18809,34,177,0.13035,0.24582
2001,Upper Secondary Level,4th Quintile,In the next 2 to 5 years,0.35499,78,177,0.28429,0.42569
2001,Upper Secondary Level,5th Quintile,As soon as possible,0.30444,36,96,0.21191,0.39698
2001,Upper Secondary Level,5th Quintile,In the next 2 to 5 years,0.43813,60,96,0.33835,0.53790
2002,Pre-primary Level,1st Quintile,In the next 2 to 5 years,0.54674,43,43,0.39618,0.69729
2002,Pre-primary Level,2nd Quintile,In the next 2 to 5 years,0.48862,40,40,0.33174,0.64551
2002,Pre-primary Level,3rd Quintile,In the next 2 to 5 years,0.45590,40,40,0.29958,0.61221
2002,Pre-primary Level,4th Quintile,"In the distant future, in more than five years",0.50139,36,36,0.33574,0.66704
2002,Pre-primary Level,5th Quintile,"In the distant future, in more than five years",0.48325,38,38,0.32223,0.64428
2002,Lower Secondary Level,1st Quintile,As soon as possible,0.48953,90,178,0.41588,0.56317
2002,Lower Secondary Level,1st Quintile,Next year,0.21435,36,178,0.15390,0.27481
2002,Lower Secondary Level,1st Quintile,In the next 2 to 5 years,0.20185,52,178,0.14272,0.26098
2002,Lower Secondary Level,2nd Quintile,As soon as possible,0.34896,33,33,0.18381,0.51411
2002,Upper Secondary Level,1st Quintile,As soon as possible,0.54722,275,457,0.50153,0.59291
2002,Upper Secondary Level,1st Quintile,Next year,0.17988,82,457,0.14463,0.21513
2002,Upper Secondary Level,1st Quintile,In the next 2 to 5 years,0.22744,100,457,0.18896,0.26591
