year,pgisced97,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Pre-primary Level,In the next 2 to 5 years,0.30604,66,103,0.21661,0.39548
1986,Pre-primary Level,"In the distant future, in more than five years",0.22895,37,103,0.14741,0.31049
1986,Primary Level,As soon as possible,0.08906,65,65,0.01928,0.15884
1986,Lower Secondary Level,As soon as possible,0.04603,168,440,0.02643,0.06563
1986,Lower Secondary Level,Next year,0.02167,79,440,0.00805,0.03529
1986,Lower Secondary Level,In the next 2 to 5 years,0.03010,121,440,0.01412,0.04609
1986,Lower Secondary Level,"In the distant future, in more than five years",0.02068,72,440,0.00737,0.03400
1986,Upper Secondary Level,As soon as possible,0.03423,202,640,0.02013,0.04832
1986,Upper Secondary Level,Next year,0.02059,113,640,0.00958,0.03160
1986,Upper Secondary Level,In the next 2 to 5 years,0.03521,200,640,0.02092,0.04950
1986,Upper Secondary Level,"In the distant future, in more than five years",0.02165,125,640,0.01037,0.03294
1987,Pre-primary Level,Next year,0.17729,39,134,0.11238,0.24219
1987,Pre-primary Level,In the next 2 to 5 years,0.32494,60,134,0.24534,0.40454
1987,Pre-primary Level,"In the distant future, in more than five years",0.21763,35,134,0.14751,0.28776
1987,Primary Level,As soon as possible,0.10879,69,69,0.03478,0.18280
1987,Lower Secondary Level,As soon as possible,0.04100,159,453,0.02272,0.05928
1987,Lower Secondary Level,Next year,0.02331,107,453,0.00940,0.03722
1987,Lower Secondary Level,In the next 2 to 5 years,0.03198,121,453,0.01576,0.04820
1987,Lower Secondary Level,"In the distant future, in more than five years",0.01708,66,453,0.00514,0.02903
1987,Upper Secondary Level,As soon as possible,0.03508,201,648,0.02090,0.04926
1987,Upper Secondary Level,Next year,0.02499,132,648,0.01297,0.03702
1987,Upper Secondary Level,In the next 2 to 5 years,0.03876,215,648,0.02389,0.05363
1987,Upper Secondary Level,"In the distant future, in more than five years",0.01852,100,648,0.00813,0.02891
1988,Pre-primary Level,In the next 2 to 5 years,0.36650,55,91,0.26695,0.46605
1988,Pre-primary Level,"In the distant future, in more than five years",0.20091,36,91,0.11813,0.28369
1988,Primary Level,As soon as possible,0.08680,55,55,0.01171,0.16190
1988,Lower Secondary Level,As soon as possible,0.04141,158,437,0.02271,0.06011
1988,Lower Secondary Level,Next year,0.02801,98,437,0.01252,0.04349
1988,Lower Secondary Level,In the next 2 to 5 years,0.03503,129,437,0.01777,0.05229
1988,Lower Secondary Level,"In the distant future, in more than five years",0.01646,52,437,0.00451,0.02840
1988,Upper Secondary Level,As soon as possible,0.03454,185,648,0.02047,0.04862
1988,Upper Secondary Level,Next year,0.02974,143,648,0.01665,0.04283
1988,Upper Secondary Level,In the next 2 to 5 years,0.04255,234,648,0.02700,0.05810
1988,Upper Secondary Level,"In the distant future, in more than five years",0.01571,86,648,0.00613,0.02529
1989,Pre-primary Level,In the next 2 to 5 years,0.35433,60,95,0.25763,0.45102
1989,Pre-primary Level,"In the distant future, in more than five years",0.21064,35,95,0.12820,0.29307
1989,Primary Level,As soon as possible,0.07884,47,47,0.00096,0.15672
1989,Lower Secondary Level,As soon as possible,0.03103,121,355,0.01297,0.04909
1989,Lower Secondary Level,Next year,0.01914,65,355,0.00486,0.03341
1989,Lower Secondary Level,In the next 2 to 5 years,0.03424,120,355,0.01530,0.05318
1989,Lower Secondary Level,"In the distant future, in more than five years",0.01465,49,355,0.00213,0.02716
1989,Upper Secondary Level,As soon as possible,0.02825,145,565,0.01458,0.04193
1989,Upper Secondary Level,Next year,0.02072,107,565,0.00896,0.03247
1989,Upper Secondary Level,In the next 2 to 5 years,0.04110,221,565,0.02472,0.05748
1989,Upper Secondary Level,"In the distant future, in more than five years",0.01673,92,565,0.00615,0.02732
1990,Pre-primary Level,Next year,0.14209,34,133,0.08253,0.20165
1990,Pre-primary Level,In the next 2 to 5 years,0.26414,53,133,0.18893,0.33935
1990,Pre-primary Level,"In the distant future, in more than five years",0.28712,46,133,0.20993,0.36430
1990,Primary Level,As soon as possible,0.05010,34,34,-0.02433,0.12453
1990,Lower Secondary Level,As soon as possible,0.02874,101,367,0.01162,0.04586
1990,Lower Secondary Level,Next year,0.02638,95,367,0.00996,0.04280
1990,Lower Secondary Level,In the next 2 to 5 years,0.02833,114,367,0.01133,0.04532
1990,Lower Secondary Level,"In the distant future, in more than five years",0.01606,57,367,0.00318,0.02894
1990,Upper Secondary Level,As soon as possible,0.02254,178,684,0.01141,0.03367
1990,Upper Secondary Level,Next year,0.02217,172,684,0.01113,0.03322
1990,Upper Secondary Level,In the next 2 to 5 years,0.03405,238,684,0.02045,0.04765
1990,Upper Secondary Level,"In the distant future, in more than five years",0.01367,96,684,0.00496,0.02238
1990,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.09702,34,34,-0.00397,0.19801
1990,Second Stage of Tertiary Education,As soon as possible,0.01649,31,102,-0.00835,0.04133
1990,Second Stage of Tertiary Education,Next year,0.01753,40,102,-0.00807,0.04312
1990,Second Stage of Tertiary Education,In the next 2 to 5 years,0.02221,31,102,-0.00653,0.05096
1991,Pre-primary Level,In the next 2 to 5 years,0.24607,39,80,0.15109,0.34105
1991,Pre-primary Level,"In the distant future, in more than five years",0.26563,41,80,0.16824,0.36303
1991,Primary Level,As soon as possible,0.05880,41,41,-0.01410,0.13171
1991,Lower Secondary Level,As soon as possible,0.03263,118,369,0.01448,0.05079
1991,Lower Secondary Level,Next year,0.02328,91,369,0.00787,0.03869
1991,Lower Secondary Level,In the next 2 to 5 years,0.02925,104,369,0.01203,0.04647
1991,Lower Secondary Level,"In the distant future, in more than five years",0.01439,56,369,0.00222,0.02656
1991,Upper Secondary Level,As soon as possible,0.03011,284,810,0.01833,0.04189
1991,Upper Secondary Level,Next year,0.02413,180,810,0.01356,0.03471
1991,Upper Secondary Level,In the next 2 to 5 years,0.03572,268,810,0.02293,0.04850
1991,Upper Secondary Level,"In the distant future, in more than five years",0.01106,78,810,0.00385,0.01827
1991,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.07951,32,32,-0.01573,0.17474
1991,Second Stage of Tertiary Education,As soon as possible,0.03280,61,142,0.00340,0.06220
1991,Second Stage of Tertiary Education,Next year,0.02252,48,142,-0.00197,0.04701
1991,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01968,33,142,-0.00325,0.04261
1992,Pre-primary Level,In the next 2 to 5 years,0.23495,50,93,0.14831,0.32158
1992,Pre-primary Level,"In the distant future, in more than five years",0.25660,43,93,0.16735,0.34584
1992,Primary Level,As soon as possible,0.09246,57,57,0.01659,0.16833
1992,Lower Secondary Level,As soon as possible,0.03391,125,395,0.01604,0.05178
1992,Lower Secondary Level,Next year,0.02516,84,395,0.00970,0.04063
1992,Lower Secondary Level,In the next 2 to 5 years,0.03541,137,395,0.01716,0.05367
1992,Lower Secondary Level,"In the distant future, in more than five years",0.01258,49,395,0.00157,0.02359
1992,Upper Secondary Level,As soon as possible,0.04232,368,920,0.02930,0.05534
1992,Upper Secondary Level,Next year,0.02773,212,920,0.01711,0.03835
1992,Upper Secondary Level,In the next 2 to 5 years,0.03681,272,920,0.02464,0.04898
1992,Upper Secondary Level,"In the distant future, in more than five years",0.00958,68,920,0.00328,0.01588
1992,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.09675,43,43,0.00735,0.18615
1992,Second Stage of Tertiary Education,As soon as possible,0.03567,77,138,0.00462,0.06673
1992,Second Stage of Tertiary Education,Next year,0.03409,61,138,0.00370,0.06447
1993,Pre-primary Level,Next year,0.14072,32,131,0.08095,0.20050
1993,Pre-primary Level,In the next 2 to 5 years,0.26780,48,131,0.19168,0.34392
1993,Pre-primary Level,"In the distant future, in more than five years",0.27127,51,131,0.19484,0.34771
1993,Primary Level,As soon as possible,0.07773,38,38,-0.00855,0.16400
1993,Lower Secondary Level,As soon as possible,0.03354,126,376,0.01531,0.05176
1993,Lower Secondary Level,Next year,0.02310,74,376,0.00790,0.03831
1993,Lower Secondary Level,In the next 2 to 5 years,0.03449,124,376,0.01602,0.05296
1993,Lower Secondary Level,"In the distant future, in more than five years",0.01527,52,376,0.00286,0.02768
1993,Upper Secondary Level,As soon as possible,0.05071,423,978,0.03695,0.06447
1993,Upper Secondary Level,Next year,0.02645,210,978,0.01639,0.03652
1993,Upper Secondary Level,In the next 2 to 5 years,0.03697,272,978,0.02514,0.04880
1993,Upper Secondary Level,"In the distant future, in more than five years",0.00953,73,978,0.00344,0.01563
1993,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.08722,39,39,-0.00249,0.17693
1993,Second Stage of Tertiary Education,As soon as possible,0.04111,82,145,0.00868,0.07353
1993,Second Stage of Tertiary Education,Next year,0.02044,32,145,-0.00267,0.04356
1993,Second Stage of Tertiary Education,In the next 2 to 5 years,0.02256,31,145,-0.00169,0.04681
1994,Pre-primary Level,Next year,0.16471,33,165,0.10794,0.22148
1994,Pre-primary Level,In the next 2 to 5 years,0.29514,70,165,0.22533,0.36495
1994,Pre-primary Level,"In the distant future, in more than five years",0.24184,62,165,0.17631,0.30738
1994,Primary Level,As soon as possible,0.06959,35,35,-0.01594,0.15511
1994,Lower Secondary Level,As soon as possible,0.03893,144,386,0.01961,0.05825
1994,Lower Secondary Level,Next year,0.02817,83,386,0.01164,0.04469
1994,Lower Secondary Level,In the next 2 to 5 years,0.03642,111,386,0.01771,0.05513
1994,Lower Secondary Level,"In the distant future, in more than five years",0.01517,48,386,0.00296,0.02738
1994,Upper Secondary Level,As soon as possible,0.05543,459,1025,0.04141,0.06945
1994,Upper Secondary Level,Next year,0.02976,222,1025,0.01935,0.04016
1994,Upper Secondary Level,In the next 2 to 5 years,0.03847,274,1025,0.02669,0.05025
1994,Upper Secondary Level,"In the distant future, in more than five years",0.01008,70,1025,0.00396,0.01620
1994,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.10071,46,46,0.01278,0.18864
1994,Second Stage of Tertiary Education,As soon as possible,0.04632,77,112,0.00722,0.08542
1994,Second Stage of Tertiary Education,In the next 2 to 5 years,0.02298,35,112,-0.00489,0.05086
1995,Pre-primary Level,Next year,0.14725,47,204,0.09850,0.19600
1995,Pre-primary Level,In the next 2 to 5 years,0.30636,90,204,0.24294,0.36977
1995,Pre-primary Level,"In the distant future, in more than five years",0.26680,67,204,0.20595,0.32764
1995,Primary Level,As soon as possible,0.09621,45,45,0.00908,0.18334
1995,Lower Secondary Level,As soon as possible,0.04345,149,389,0.02317,0.06374
1995,Lower Secondary Level,Next year,0.02648,75,389,0.01051,0.04246
1995,Lower Secondary Level,In the next 2 to 5 years,0.04104,124,389,0.02130,0.06079
1995,Lower Secondary Level,"In the distant future, in more than five years",0.01210,41,389,0.00122,0.02298
1995,Upper Secondary Level,As soon as possible,0.04702,397,1049,0.03420,0.05984
1995,Upper Secondary Level,Next year,0.02968,243,1049,0.01941,0.03996
1995,Upper Secondary Level,In the next 2 to 5 years,0.03959,314,1049,0.02779,0.05140
1995,Upper Secondary Level,"In the distant future, in more than five years",0.01144,95,1049,0.00500,0.01787
1995,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.11189,51,51,0.02451,0.19926
1995,Second Stage of Tertiary Education,As soon as possible,0.03283,62,136,0.00277,0.06289
1995,Second Stage of Tertiary Education,Next year,0.01655,32,136,-0.00497,0.03807
1995,Second Stage of Tertiary Education,In the next 2 to 5 years,0.02356,42,136,-0.00203,0.04914
1996,Pre-primary Level,Next year,0.17054,56,222,0.12095,0.22012
1996,Pre-primary Level,In the next 2 to 5 years,0.34778,98,222,0.28499,0.41058
1996,Pre-primary Level,"In the distant future, in more than five years",0.25246,68,222,0.19518,0.30974
1996,Primary Level,As soon as possible,0.08021,39,39,-0.00615,0.16657
1996,Lower Secondary Level,As soon as possible,0.04062,140,375,0.02061,0.06063
1996,Lower Secondary Level,Next year,0.03368,89,375,0.01540,0.05197
1996,Lower Secondary Level,In the next 2 to 5 years,0.03517,111,375,0.01650,0.05384
1996,Lower Secondary Level,"In the distant future, in more than five years",0.00980,35,375,-0.00018,0.01979
1996,Upper Secondary Level,As soon as possible,0.04996,424,1037,0.03669,0.06322
1996,Upper Secondary Level,Next year,0.02959,235,1037,0.01927,0.03991
1996,Upper Secondary Level,In the next 2 to 5 years,0.03792,279,1037,0.02629,0.04955
1996,Upper Secondary Level,"In the distant future, in more than five years",0.01414,99,1037,0.00695,0.02134
1996,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.09399,43,43,0.00574,0.18225
1996,Second Stage of Tertiary Education,As soon as possible,0.04048,79,167,0.01050,0.07046
1996,Second Stage of Tertiary Education,Next year,0.02017,41,167,-0.00122,0.04156
1996,Second Stage of Tertiary Education,In the next 2 to 5 years,0.02520,47,167,0.00136,0.04905
1997,Pre-primary Level,Next year,0.15077,54,234,0.10483,0.19672
1997,Pre-primary Level,In the next 2 to 5 years,0.35790,107,234,0.29635,0.41945
1997,Pre-primary Level,"In the distant future, in more than five years",0.26427,73,234,0.20765,0.32088
1997,Primary Level,As soon as possible,0.11005,43,43,0.01541,0.20470
1997,Lower Secondary Level,As soon as possible,0.05338,172,399,0.03129,0.07546
1997,Lower Secondary Level,Next year,0.02738,79,399,0.01135,0.04341
1997,Lower Secondary Level,In the next 2 to 5 years,0.03560,112,399,0.01740,0.05381
1997,Lower Secondary Level,"In the distant future, in more than five years",0.01035,36,399,0.00041,0.02030
1997,Upper Secondary Level,As soon as possible,0.05728,456,1020,0.04301,0.07154
1997,Upper Secondary Level,Next year,0.02873,188,1020,0.01847,0.03898
1997,Upper Secondary Level,In the next 2 to 5 years,0.04091,301,1020,0.02874,0.05307
1997,Upper Secondary Level,"In the distant future, in more than five years",0.01082,75,1020,0.00447,0.01718
1997,Post-secondary Non-tertiary Level,As soon as possible,0.06778,33,70,0.00847,0.12709
1997,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.08872,37,70,0.02163,0.15582
1997,Second Stage of Tertiary Education,As soon as possible,0.03646,69,143,0.00563,0.06728
1997,Second Stage of Tertiary Education,Next year,0.01512,38,143,-0.00495,0.03519
1997,Second Stage of Tertiary Education,In the next 2 to 5 years,0.02387,36,143,-0.00124,0.04897
1998,Pre-primary Level,Next year,0.18584,70,232,0.13568,0.23600
1998,Pre-primary Level,In the next 2 to 5 years,0.31954,106,232,0.25941,0.37967
1998,Pre-primary Level,"In the distant future, in more than five years",0.18781,56,232,0.13745,0.23818
1998,Primary Level,As soon as possible,0.09903,35,35,-0.00138,0.19943
1998,Lower Secondary Level,As soon as possible,0.05032,164,405,0.02901,0.07164
1998,Lower Secondary Level,Next year,0.02513,77,405,0.00987,0.04040
1998,Lower Secondary Level,In the next 2 to 5 years,0.03637,114,405,0.01812,0.05463
1998,Lower Secondary Level,"In the distant future, in more than five years",0.01610,50,405,0.00383,0.02837
1998,Upper Secondary Level,As soon as possible,0.05402,464,1071,0.04047,0.06756
1998,Upper Secondary Level,Next year,0.02704,210,1071,0.01732,0.03676
1998,Upper Secondary Level,In the next 2 to 5 years,0.03882,292,1071,0.02725,0.05040
1998,Upper Secondary Level,"In the distant future, in more than five years",0.01312,105,1071,0.00630,0.01993
1998,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.04960,31,31,-0.02809,0.12730
1998,Second Stage of Tertiary Education,As soon as possible,0.04298,92,173,0.01267,0.07329
1998,Second Stage of Tertiary Education,Next year,0.02298,50,173,0.00058,0.04537
1998,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01531,31,173,-0.00304,0.03367
1999,Pre-primary Level,Next year,0.19925,64,219,0.14623,0.25228
1999,Pre-primary Level,In the next 2 to 5 years,0.26040,92,219,0.20215,0.31866
1999,Pre-primary Level,"In the distant future, in more than five years",0.18811,63,219,0.13623,0.23999
1999,Lower Secondary Level,As soon as possible,0.04339,125,349,0.02198,0.06479
1999,Lower Secondary Level,Next year,0.02250,75,349,0.00692,0.03808
1999,Lower Secondary Level,In the next 2 to 5 years,0.03491,110,349,0.01562,0.05419
1999,Lower Secondary Level,"In the distant future, in more than five years",0.01156,39,349,0.00033,0.02279
1999,Upper Secondary Level,As soon as possible,0.04702,398,928,0.03339,0.06065
1999,Upper Secondary Level,Next year,0.02537,196,928,0.01525,0.03549
1999,Upper Secondary Level,In the next 2 to 5 years,0.03427,260,928,0.02256,0.04598
1999,Upper Secondary Level,"In the distant future, in more than five years",0.00911,74,928,0.00299,0.01523
1999,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.08009,39,39,-0.00622,0.16639
1999,Second Stage of Tertiary Education,As soon as possible,0.03374,63,143,0.00404,0.06344
1999,Second Stage of Tertiary Education,Next year,0.01689,42,143,-0.00430,0.03809
1999,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01665,38,143,-0.00440,0.03769
2000,Pre-primary Level,Next year,0.18802,88,343,0.14661,0.22943
2000,Pre-primary Level,In the next 2 to 5 years,0.27874,150,343,0.23122,0.32626
2000,Pre-primary Level,"In the distant future, in more than five years",0.20331,105,343,0.16066,0.24597
2000,Primary Level,As soon as possible,0.09391,37,37,-0.00138,0.18920
2000,Lower Secondary Level,As soon as possible,0.04356,182,534,0.02623,0.06089
2000,Lower Secondary Level,Next year,0.02706,116,534,0.01328,0.04083
2000,Lower Secondary Level,In the next 2 to 5 years,0.04169,170,534,0.02472,0.05866
2000,Lower Secondary Level,"In the distant future, in more than five years",0.01642,66,534,0.00563,0.02722
2000,Upper Secondary Level,As soon as possible,0.04298,652,1702,0.03334,0.05262
2000,Upper Secondary Level,Next year,0.02313,345,1702,0.01598,0.03027
2000,Upper Secondary Level,In the next 2 to 5 years,0.03459,527,1702,0.02590,0.04327
2000,Upper Secondary Level,"In the distant future, in more than five years",0.01181,178,1702,0.00667,0.01694
2000,Post-secondary Non-tertiary Level,Next year,0.03504,45,130,0.00331,0.06677
2000,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.07551,85,130,0.02992,0.12111
2000,First Stage of Tertiary Education,As soon as possible,0.02307,53,160,-0.00026,0.04641
2000,First Stage of Tertiary Education,Next year,0.02068,51,160,-0.00144,0.04280
2000,First Stage of Tertiary Education,In the next 2 to 5 years,0.02540,56,160,0.00094,0.04985
2000,Second Stage of Tertiary Education,As soon as possible,0.02852,120,282,0.00906,0.04798
2000,Second Stage of Tertiary Education,Next year,0.02005,78,282,0.00366,0.03643
2000,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01982,84,282,0.00352,0.03612
2001,Pre-primary Level,Next year,0.17224,95,378,0.13412,0.21035
2001,Pre-primary Level,In the next 2 to 5 years,0.29427,166,378,0.24827,0.34027
2001,Pre-primary Level,"In the distant future, in more than five years",0.21143,117,378,0.17021,0.25265
2001,Lower Secondary Level,As soon as possible,0.04578,162,457,0.02660,0.06497
2001,Lower Secondary Level,Next year,0.02927,99,457,0.01380,0.04474
2001,Lower Secondary Level,In the next 2 to 5 years,0.03146,132,457,0.01544,0.04748
2001,Lower Secondary Level,"In the distant future, in more than five years",0.01799,64,457,0.00579,0.03019
2001,Upper Secondary Level,As soon as possible,0.04399,583,1435,0.03338,0.05461
2001,Upper Secondary Level,Next year,0.02295,284,1435,0.01520,0.03070
2001,Upper Secondary Level,In the next 2 to 5 years,0.03236,445,1435,0.02320,0.04152
2001,Upper Secondary Level,"In the distant future, in more than five years",0.00874,123,1435,0.00392,0.01356
2001,Post-secondary Non-tertiary Level,As soon as possible,0.03052,39,161,0.00387,0.05717
2001,Post-secondary Non-tertiary Level,Next year,0.03761,45,161,0.00813,0.06708
2001,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.07167,77,161,0.03170,0.11164
2001,First Stage of Tertiary Education,As soon as possible,0.02457,46,127,-0.00246,0.05160
2001,First Stage of Tertiary Education,Next year,0.01805,37,127,-0.00520,0.04130
2001,First Stage of Tertiary Education,In the next 2 to 5 years,0.01814,44,127,-0.00516,0.04144
2001,Second Stage of Tertiary Education,As soon as possible,0.02789,106,252,0.00752,0.04826
2001,Second Stage of Tertiary Education,Next year,0.02111,72,252,0.00333,0.03890
2001,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01988,74,252,0.00261,0.03715
2002,Pre-primary Level,Next year,0.15789,85,427,0.12326,0.19252
2002,Pre-primary Level,In the next 2 to 5 years,0.31464,189,427,0.27055,0.35874
2002,Pre-primary Level,"In the distant future, in more than five years",0.20416,153,427,0.16588,0.24244
2002,Lower Secondary Level,As soon as possible,0.05116,157,432,0.03036,0.07196
2002,Lower Secondary Level,Next year,0.03310,101,432,0.01621,0.04998
2002,Lower Secondary Level,In the next 2 to 5 years,0.03140,136,432,0.01493,0.04786
2002,Lower Secondary Level,"In the distant future, in more than five years",0.01265,38,432,0.00210,0.02319
2002,Upper Secondary Level,As soon as possible,0.05419,651,1565,0.04297,0.06541
2002,Upper Secondary Level,Next year,0.02663,327,1565,0.01865,0.03461
2002,Upper Secondary Level,In the next 2 to 5 years,0.03328,448,1565,0.02439,0.04217
2002,Upper Secondary Level,"In the distant future, in more than five years",0.00994,139,1565,0.00502,0.01485
2002,Post-secondary Non-tertiary Level,As soon as possible,0.03968,47,170,0.01025,0.06910
2002,Post-secondary Non-tertiary Level,Next year,0.03920,46,170,0.00994,0.06846
2002,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.06544,77,170,0.02815,0.10272
2002,First Stage of Tertiary Education,As soon as possible,0.03443,53,97,-0.00204,0.07090
2002,First Stage of Tertiary Education,In the next 2 to 5 years,0.02346,44,97,-0.00682,0.05374
2002,Second Stage of Tertiary Education,As soon as possible,0.03571,123,269,0.01350,0.05793
2002,Second Stage of Tertiary Education,Next year,0.01483,67,269,0.00036,0.02930
2002,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01577,79,269,0.00086,0.03069
2003,Pre-primary Level,Next year,0.14345,81,422,0.10997,0.17694
2003,Pre-primary Level,In the next 2 to 5 years,0.30588,193,422,0.26187,0.34990
2003,Pre-primary Level,"In the distant future, in more than five years",0.20068,148,422,0.16242,0.23894
2003,Lower Secondary Level,As soon as possible,0.06372,169,399,0.03973,0.08772
2003,Lower Secondary Level,Next year,0.03190,95,399,0.01464,0.04917
2003,Lower Secondary Level,In the next 2 to 5 years,0.03166,102,399,0.01446,0.04886
2003,Lower Secondary Level,"In the distant future, in more than five years",0.00982,33,399,0.00013,0.01951
2003,Upper Secondary Level,As soon as possible,0.06032,700,1485,0.04820,0.07243
2003,Upper Secondary Level,Next year,0.02461,311,1485,0.01672,0.03249
2003,Upper Secondary Level,In the next 2 to 5 years,0.03005,388,1485,0.02136,0.03873
2003,Upper Secondary Level,"In the distant future, in more than five years",0.00589,86,1485,0.00199,0.00978
2003,Post-secondary Non-tertiary Level,As soon as possible,0.05088,50,159,0.01662,0.08515
2003,Post-secondary Non-tertiary Level,Next year,0.02748,35,159,0.00199,0.05297
2003,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.05594,74,159,0.02010,0.09177
2003,First Stage of Tertiary Education,As soon as possible,0.03339,63,143,0.00384,0.06294
2003,First Stage of Tertiary Education,Next year,0.02683,44,143,0.00025,0.05341
2003,First Stage of Tertiary Education,In the next 2 to 5 years,0.01893,36,143,-0.00348,0.04135
2003,Second Stage of Tertiary Education,As soon as possible,0.03850,139,281,0.01596,0.06103
2003,Second Stage of Tertiary Education,Next year,0.02174,76,281,0.00466,0.03883
2003,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01398,66,281,0.00023,0.02773
2004,Pre-primary Level,Next year,0.17179,101,488,0.13829,0.20529
2004,Pre-primary Level,In the next 2 to 5 years,0.34623,218,488,0.30397,0.38848
2004,Pre-primary Level,"In the distant future, in more than five years",0.21741,169,488,0.18077,0.25404
2004,Primary Level,As soon as possible,0.17883,33,33,0.04606,0.31161
2004,Lower Secondary Level,As soon as possible,0.07743,192,385,0.05070,0.10417
2004,Lower Secondary Level,Next year,0.03131,88,385,0.01389,0.04872
2004,Lower Secondary Level,In the next 2 to 5 years,0.03399,105,385,0.01587,0.05212
2004,Upper Secondary Level,As soon as possible,0.06832,753,1523,0.05564,0.08099
2004,Upper Secondary Level,Next year,0.02424,288,1523,0.01651,0.03197
2004,Upper Secondary Level,In the next 2 to 5 years,0.03076,394,1523,0.02208,0.03943
2004,Upper Secondary Level,"In the distant future, in more than five years",0.00616,88,1523,0.00223,0.01010
2004,Post-secondary Non-tertiary Level,As soon as possible,0.04659,55,173,0.01509,0.07808
2004,Post-secondary Non-tertiary Level,Next year,0.03123,38,173,0.00523,0.05722
2004,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.06030,80,173,0.02472,0.09587
2004,First Stage of Tertiary Education,As soon as possible,0.02826,52,85,-0.00718,0.06370
2004,First Stage of Tertiary Education,In the next 2 to 5 years,0.02047,33,85,-0.00981,0.05075
2004,Second Stage of Tertiary Education,As soon as possible,0.03742,130,269,0.01469,0.06014
2004,Second Stage of Tertiary Education,Next year,0.01946,69,269,0.00292,0.03599
2004,Second Stage of Tertiary Education,In the next 2 to 5 years,0.02103,70,269,0.00385,0.03822
2005,Pre-primary Level,Next year,0.17100,100,487,0.13753,0.20448
2005,Pre-primary Level,In the next 2 to 5 years,0.34281,217,487,0.30061,0.38501
2005,Pre-primary Level,"In the distant future, in more than five years",0.20336,170,487,0.16758,0.23915
2005,Primary Level,As soon as possible,0.17094,37,37,0.04797,0.29392
2005,Lower Secondary Level,As soon as possible,0.07438,174,349,0.04681,0.10195
2005,Lower Secondary Level,Next year,0.02903,73,349,0.01139,0.04667
2005,Lower Secondary Level,In the next 2 to 5 years,0.03969,102,349,0.01918,0.06021
2005,Upper Secondary Level,As soon as possible,0.07023,722,1436,0.05701,0.08345
2005,Upper Secondary Level,Next year,0.02040,246,1436,0.01309,0.02772
