year,quintil_oecd,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,4th Quintile,Urban regions,As soon as possible,0.02644,54,185,0.00326,0.04963
1988,4th Quintile,Urban regions,Next year,0.01567,35,185,-0.00228,0.03362
1988,4th Quintile,Urban regions,In the next 2 to 5 years,0.03003,60,185,0.00537,0.05469
1988,4th Quintile,Urban regions,"In the distant future, in more than five years",0.01673,36,185,-0.00180,0.03526
1988,5th Quintile,Urban regions,In the next 2 to 5 years,0.02898,56,56,-0.01536,0.07331
1989,1st Quintile,Urban regions,As soon as possible,0.04947,132,353,0.02682,0.07213
1989,1st Quintile,Urban regions,Next year,0.03279,76,353,0.01419,0.05140
1989,1st Quintile,Urban regions,In the next 2 to 5 years,0.04087,100,353,0.02019,0.06156
1989,1st Quintile,Urban regions,"In the distant future, in more than five years",0.01831,45,353,0.00431,0.03232
1989,1st Quintile,Rural regions,As soon as possible,0.06848,39,39,-0.01183,0.14878
1989,2nd Quintile,Urban regions,As soon as possible,0.02483,68,266,0.00609,0.04356
1989,2nd Quintile,Urban regions,Next year,0.02060,49,266,0.00350,0.03770
1989,2nd Quintile,Urban regions,In the next 2 to 5 years,0.04457,109,266,0.01972,0.06941
1989,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.01967,40,266,0.00295,0.03639
1989,3rd Quintile,Urban regions,As soon as possible,0.01957,37,152,-0.00252,0.04167
1989,3rd Quintile,Urban regions,Next year,0.01697,34,152,-0.00363,0.03758
1989,3rd Quintile,Urban regions,In the next 2 to 5 years,0.04276,81,152,0.01049,0.07503
1989,4th Quintile,Urban regions,Next year,0.01680,31,94,-0.00932,0.04292
1989,4th Quintile,Urban regions,In the next 2 to 5 years,0.03311,63,94,-0.00325,0.06948
1989,5th Quintile,Urban regions,In the next 2 to 5 years,0.02799,49,49,-0.01867,0.07464
1990,1st Quintile,Urban regions,As soon as possible,0.04574,115,336,0.02337,0.06812
1990,1st Quintile,Urban regions,Next year,0.03051,72,336,0.01209,0.04893
1990,1st Quintile,Urban regions,In the next 2 to 5 years,0.04820,98,336,0.02526,0.07114
1990,1st Quintile,Urban regions,"In the distant future, in more than five years",0.02306,51,336,0.00699,0.03913
1990,2nd Quintile,Urban regions,As soon as possible,0.01891,43,245,0.00182,0.03601
1990,2nd Quintile,Urban regions,Next year,0.02264,58,245,0.00398,0.04131
1990,2nd Quintile,Urban regions,In the next 2 to 5 years,0.04575,98,245,0.01953,0.07196
1990,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.02369,46,245,0.00461,0.04278
1990,3rd Quintile,Urban regions,As soon as possible,0.01960,41,188,-0.00027,0.03946
1990,3rd Quintile,Urban regions,Next year,0.02033,44,188,0.00010,0.04056
1990,3rd Quintile,Urban regions,In the next 2 to 5 years,0.02717,63,188,0.00387,0.05048
1990,3rd Quintile,Urban regions,"In the distant future, in more than five years",0.01821,40,188,-0.00095,0.03738
1990,4th Quintile,Urban regions,In the next 2 to 5 years,0.03620,61,61,-0.01106,0.08346
1990,5th Quintile,Urban regions,In the next 2 to 5 years,0.01997,35,35,-0.02705,0.06699
1991,1st Quintile,Urban regions,As soon as possible,0.04113,97,281,0.01787,0.06440
1991,1st Quintile,Urban regions,Next year,0.02368,49,281,0.00587,0.04150
1991,1st Quintile,Urban regions,In the next 2 to 5 years,0.03917,87,281,0.01645,0.06190
1991,1st Quintile,Urban regions,"In the distant future, in more than five years",0.01991,48,281,0.00355,0.03627
1991,2nd Quintile,Urban regions,As soon as possible,0.01606,45,218,-0.00067,0.03279
1991,2nd Quintile,Urban regions,Next year,0.02108,45,218,0.00196,0.04019
1991,2nd Quintile,Urban regions,In the next 2 to 5 years,0.03638,84,218,0.01147,0.06130
1991,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.02115,44,218,0.00201,0.04029
1991,3rd Quintile,Urban regions,As soon as possible,0.01935,42,143,-0.00331,0.04201
1991,3rd Quintile,Urban regions,Next year,0.01543,34,143,-0.00484,0.03571
1991,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03073,67,143,0.00235,0.05912
1991,4th Quintile,Urban regions,In the next 2 to 5 years,0.03301,58,58,-0.01337,0.07939
1991,5th Quintile,Urban regions,In the next 2 to 5 years,0.02345,49,49,-0.01936,0.06626
1992,1st Quintile,Urban regions,As soon as possible,0.06114,136,292,0.03361,0.08867
1992,1st Quintile,Urban regions,Next year,0.03446,66,292,0.01350,0.05541
1992,1st Quintile,Urban regions,In the next 2 to 5 years,0.04697,90,292,0.02266,0.07127
1992,1st Quintile,Rural regions,As soon as possible,0.07941,148,260,0.04648,0.11234
1992,1st Quintile,Rural regions,Next year,0.03432,69,260,0.01215,0.05649
1992,1st Quintile,Rural regions,In the next 2 to 5 years,0.01959,43,260,0.00271,0.03647
1992,2nd Quintile,Urban regions,As soon as possible,0.03055,95,305,0.01120,0.04990
1992,2nd Quintile,Urban regions,Next year,0.02448,58,305,0.00711,0.04185
1992,2nd Quintile,Urban regions,In the next 2 to 5 years,0.03914,109,305,0.01734,0.06095
1992,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.01707,43,305,0.00251,0.03163
1992,2nd Quintile,Rural regions,As soon as possible,0.04522,82,161,0.01302,0.07741
1992,2nd Quintile,Rural regions,Next year,0.02712,45,161,0.00195,0.05228
1992,2nd Quintile,Rural regions,In the next 2 to 5 years,0.01897,34,161,-0.00217,0.04010
1992,3rd Quintile,Urban regions,As soon as possible,0.02239,71,224,0.00297,0.04181
1992,3rd Quintile,Urban regions,Next year,0.02531,59,224,0.00469,0.04592
1992,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03984,94,224,0.01417,0.06551
1992,3rd Quintile,Rural regions,As soon as possible,0.03263,46,79,-0.00680,0.07206
1992,3rd Quintile,Rural regions,Next year,0.02907,33,79,-0.00822,0.06635
1992,4th Quintile,Urban regions,As soon as possible,0.02185,41,162,-0.00073,0.04443
1992,4th Quintile,Urban regions,Next year,0.01728,46,162,-0.00285,0.03741
1992,4th Quintile,Urban regions,In the next 2 to 5 years,0.03008,75,162,0.00370,0.05647
1992,5th Quintile,Urban regions,As soon as possible,0.01206,31,118,-0.00772,0.03184
1992,5th Quintile,Urban regions,Next year,0.01550,31,118,-0.00688,0.03789
1992,5th Quintile,Urban regions,In the next 2 to 5 years,0.02359,56,118,-0.00391,0.05110
1993,1st Quintile,Urban regions,As soon as possible,0.06060,131,358,0.03585,0.08535
1993,1st Quintile,Urban regions,Next year,0.03356,71,358,0.01488,0.05224
1993,1st Quintile,Urban regions,In the next 2 to 5 years,0.06264,117,358,0.03750,0.08777
1993,1st Quintile,Urban regions,"In the distant future, in more than five years",0.01460,39,358,0.00216,0.02704
1993,1st Quintile,Rural regions,As soon as possible,0.08348,149,251,0.04919,0.11777
1993,1st Quintile,Rural regions,Next year,0.03062,54,251,0.00926,0.05197
1993,1st Quintile,Rural regions,In the next 2 to 5 years,0.02681,48,251,0.00679,0.04683
1993,2nd Quintile,Urban regions,As soon as possible,0.03493,98,291,0.01380,0.05606
1993,2nd Quintile,Urban regions,Next year,0.02215,51,291,0.00521,0.03909
1993,2nd Quintile,Urban regions,In the next 2 to 5 years,0.03985,98,291,0.01734,0.06237
1993,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.01770,44,291,0.00252,0.03287
1993,2nd Quintile,Rural regions,As soon as possible,0.05671,100,179,0.02273,0.09069
1993,2nd Quintile,Rural regions,Next year,0.02519,45,179,0.00217,0.04821
1993,2nd Quintile,Rural regions,In the next 2 to 5 years,0.02272,34,179,0.00083,0.04461
1993,3rd Quintile,Urban regions,As soon as possible,0.02924,69,240,0.00788,0.05060
1993,3rd Quintile,Urban regions,Next year,0.02186,58,240,0.00332,0.04039
1993,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03292,74,240,0.01030,0.05554
1993,3rd Quintile,Urban regions,"In the distant future, in more than five years",0.01411,39,240,-0.00084,0.02906
1993,3rd Quintile,Rural regions,As soon as possible,0.04278,60,102,0.00331,0.08224
1993,3rd Quintile,Rural regions,In the next 2 to 5 years,0.02895,42,102,-0.00375,0.06165
1993,4th Quintile,Urban regions,As soon as possible,0.01762,44,157,-0.00303,0.03826
1993,4th Quintile,Urban regions,Next year,0.01708,39,157,-0.00325,0.03741
1993,4th Quintile,Urban regions,In the next 2 to 5 years,0.03214,74,157,0.00446,0.05981
1993,5th Quintile,Urban regions,Next year,0.01412,34,87,-0.01082,0.03906
1993,5th Quintile,Urban regions,In the next 2 to 5 years,0.02068,53,87,-0.00940,0.05076
1994,1st Quintile,Urban regions,As soon as possible,0.06426,158,392,0.03995,0.08856
1994,1st Quintile,Urban regions,Next year,0.04213,87,392,0.02222,0.06205
1994,1st Quintile,Urban regions,In the next 2 to 5 years,0.04429,110,392,0.02390,0.06468
1994,1st Quintile,Urban regions,"In the distant future, in more than five years",0.01330,37,392,0.00195,0.02466
1994,1st Quintile,Rural regions,As soon as possible,0.10870,155,243,0.06948,0.14792
1994,1st Quintile,Rural regions,Next year,0.02685,37,243,0.00649,0.04722
1994,1st Quintile,Rural regions,In the next 2 to 5 years,0.03039,51,243,0.00876,0.05202
1994,2nd Quintile,Urban regions,As soon as possible,0.04010,102,304,0.01801,0.06220
1994,2nd Quintile,Urban regions,Next year,0.02893,65,304,0.01006,0.04781
1994,2nd Quintile,Urban regions,In the next 2 to 5 years,0.04623,93,304,0.02258,0.06987
1994,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.02100,44,304,0.00485,0.03714
1994,2nd Quintile,Rural regions,As soon as possible,0.04617,82,154,0.01291,0.07942
1994,2nd Quintile,Rural regions,Next year,0.02306,35,154,-0.00073,0.04684
1994,2nd Quintile,Rural regions,In the next 2 to 5 years,0.02685,37,154,0.00123,0.05246
1994,3rd Quintile,Urban regions,As soon as possible,0.02633,69,212,0.00473,0.04793
1994,3rd Quintile,Urban regions,Next year,0.02654,58,212,0.00485,0.04823
1994,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03771,85,212,0.01201,0.06342
1994,3rd Quintile,Rural regions,As soon as possible,0.04714,65,65,-0.00478,0.09907
1994,4th Quintile,Urban regions,As soon as possible,0.02026,51,203,0.00083,0.03969
1994,4th Quintile,Urban regions,Next year,0.01782,39,203,-0.00042,0.03606
1994,4th Quintile,Urban regions,In the next 2 to 5 years,0.03114,78,203,0.00719,0.05510
1994,4th Quintile,Urban regions,"In the distant future, in more than five years",0.01573,35,203,-0.00143,0.03289
1994,4th Quintile,Rural regions,As soon as possible,0.03482,40,40,-0.02272,0.09235
1994,5th Quintile,Urban regions,As soon as possible,0.01746,52,143,-0.00408,0.03900
1994,5th Quintile,Urban regions,Next year,0.01737,44,143,-0.00412,0.03886
1994,5th Quintile,Urban regions,In the next 2 to 5 years,0.01936,47,143,-0.00330,0.04203
1995,1st Quintile,Urban regions,As soon as possible,0.06990,182,466,0.04673,0.09308
1995,1st Quintile,Urban regions,Next year,0.04448,86,466,0.02574,0.06321
1995,1st Quintile,Urban regions,In the next 2 to 5 years,0.06057,148,466,0.03888,0.08225
1995,1st Quintile,Urban regions,"In the distant future, in more than five years",0.02176,50,466,0.00850,0.03503
1995,1st Quintile,Rural regions,As soon as possible,0.07477,113,235,0.04107,0.10847
1995,1st Quintile,Rural regions,Next year,0.03657,63,235,0.01252,0.06062
1995,1st Quintile,Rural regions,In the next 2 to 5 years,0.04018,59,235,0.01502,0.06534
1995,2nd Quintile,Urban regions,As soon as possible,0.03664,94,331,0.01637,0.05691
1995,2nd Quintile,Urban regions,Next year,0.02725,73,331,0.00968,0.04482
1995,2nd Quintile,Urban regions,In the next 2 to 5 years,0.04334,117,331,0.02137,0.06531
1995,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.01512,47,331,0.00195,0.02829
1995,2nd Quintile,Rural regions,As soon as possible,0.06052,88,176,0.02519,0.09586
1995,2nd Quintile,Rural regions,Next year,0.02176,37,176,0.00014,0.04337
1995,2nd Quintile,Rural regions,In the next 2 to 5 years,0.03333,51,176,0.00674,0.05993
1995,3rd Quintile,Urban regions,As soon as possible,0.02840,60,210,0.00588,0.05092
1995,3rd Quintile,Urban regions,Next year,0.02190,52,210,0.00206,0.04174
1995,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03995,98,210,0.01340,0.06651
1995,3rd Quintile,Rural regions,As soon as possible,0.03371,51,51,-0.01632,0.08373
1995,4th Quintile,Urban regions,As soon as possible,0.01543,48,202,-0.00161,0.03247
1995,4th Quintile,Urban regions,Next year,0.01786,51,202,-0.00045,0.03617
1995,4th Quintile,Urban regions,In the next 2 to 5 years,0.03107,72,202,0.00708,0.05505
1995,4th Quintile,Urban regions,"In the distant future, in more than five years",0.01497,31,202,-0.00182,0.03175
1995,4th Quintile,Rural regions,As soon as possible,0.03164,32,32,-0.02998,0.09326
1995,5th Quintile,Urban regions,As soon as possible,0.01336,42,141,-0.00566,0.03238
1995,5th Quintile,Urban regions,Next year,0.01605,40,141,-0.00477,0.03686
1995,5th Quintile,Urban regions,In the next 2 to 5 years,0.02700,59,141,0.00015,0.05385
1996,1st Quintile,Urban regions,As soon as possible,0.07310,181,478,0.04974,0.09646
1996,1st Quintile,Urban regions,Next year,0.04720,105,478,0.02817,0.06623
1996,1st Quintile,Urban regions,In the next 2 to 5 years,0.05965,138,478,0.03839,0.08090
1996,1st Quintile,Urban regions,"In the distant future, in more than five years",0.01710,54,478,0.00547,0.02874
1996,1st Quintile,Rural regions,As soon as possible,0.09039,129,239,0.05396,0.12682
1996,1st Quintile,Rural regions,Next year,0.03431,54,239,0.01119,0.05744
1996,1st Quintile,Rural regions,In the next 2 to 5 years,0.03295,56,239,0.01027,0.05563
1996,2nd Quintile,Urban regions,As soon as possible,0.03509,89,317,0.01480,0.05538
1996,2nd Quintile,Urban regions,Next year,0.02569,71,317,0.00824,0.04313
1996,2nd Quintile,Urban regions,In the next 2 to 5 years,0.05041,112,317,0.02629,0.07453
1996,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.01701,45,317,0.00275,0.03126
1996,2nd Quintile,Rural regions,As soon as possible,0.04265,74,152,0.01042,0.07488
1996,2nd Quintile,Rural regions,Next year,0.03765,44,152,0.00729,0.06802
1996,2nd Quintile,Rural regions,In the next 2 to 5 years,0.02397,34,152,-0.00043,0.04837
1996,3rd Quintile,Urban regions,As soon as possible,0.02905,65,204,0.00595,0.05216
1996,3rd Quintile,Urban regions,Next year,0.02715,57,204,0.00479,0.04950
1996,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03913,82,204,0.01245,0.06580
1996,3rd Quintile,Rural regions,As soon as possible,0.04201,63,134,0.00792,0.07610
1996,3rd Quintile,Rural regions,Next year,0.02453,36,134,-0.00176,0.05082
1996,3rd Quintile,Rural regions,In the next 2 to 5 years,0.02661,35,134,-0.00074,0.05397
1996,4th Quintile,Urban regions,As soon as possible,0.02084,55,188,0.00037,0.04131
1996,4th Quintile,Urban regions,Next year,0.01358,33,188,-0.00301,0.03016
1996,4th Quintile,Urban regions,In the next 2 to 5 years,0.03005,68,188,0.00558,0.05453
1996,4th Quintile,Urban regions,"In the distant future, in more than five years",0.01564,32,188,-0.00214,0.03342
1996,4th Quintile,Rural regions,As soon as possible,0.03248,52,52,-0.01617,0.08113
1996,5th Quintile,Urban regions,As soon as possible,0.01543,39,139,-0.00514,0.03599
1996,5th Quintile,Urban regions,Next year,0.01633,41,139,-0.00482,0.03748
1996,5th Quintile,Urban regions,In the next 2 to 5 years,0.02389,59,139,-0.00159,0.04937
1997,1st Quintile,Urban regions,As soon as possible,0.08248,191,458,0.05726,0.10770
1997,1st Quintile,Urban regions,Next year,0.03876,77,458,0.02106,0.05645
1997,1st Quintile,Urban regions,In the next 2 to 5 years,0.06165,143,458,0.03960,0.08370
1997,1st Quintile,Urban regions,"In the distant future, in more than five years",0.01423,47,458,0.00337,0.02509
1997,1st Quintile,Rural regions,As soon as possible,0.09034,115,208,0.05129,0.12940
1997,1st Quintile,Rural regions,Next year,0.02501,32,208,0.00374,0.04628
1997,1st Quintile,Rural regions,In the next 2 to 5 years,0.05113,61,208,0.02112,0.08113
1997,2nd Quintile,Urban regions,As soon as possible,0.04092,110,319,0.01914,0.06269
1997,2nd Quintile,Urban regions,Next year,0.02756,67,319,0.00957,0.04555
1997,2nd Quintile,Urban regions,In the next 2 to 5 years,0.04035,109,319,0.01872,0.06198
1997,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.01687,33,319,0.00271,0.03102
1997,2nd Quintile,Rural regions,As soon as possible,0.05818,97,193,0.02507,0.09129
1997,2nd Quintile,Rural regions,Next year,0.03027,44,193,0.00603,0.05450
1997,2nd Quintile,Rural regions,In the next 2 to 5 years,0.03195,52,193,0.00707,0.05683
1997,3rd Quintile,Urban regions,As soon as possible,0.03295,78,254,0.01096,0.05495
1997,3rd Quintile,Urban regions,Next year,0.03316,63,254,0.01110,0.05522
1997,3rd Quintile,Urban regions,In the next 2 to 5 years,0.03687,80,254,0.01365,0.06009
1997,3rd Quintile,Urban regions,"In the distant future, in more than five years",0.01462,33,254,-0.00017,0.02941
1997,3rd Quintile,Rural regions,As soon as possible,0.04347,68,110,0.00519,0.08175
1997,3rd Quintile,Rural regions,In the next 2 to 5 years,0.03254,42,110,-0.00077,0.06585
1997,4th Quintile,Urban regions,As soon as possible,0.02423,65,199,0.00281,0.04565
1997,4th Quintile,Urban regions,Next year,0.01436,35,199,-0.00221,0.03094
1997,4th Quintile,Urban regions,In the next 2 to 5 years,0.02738,67,199,0.00465,0.05011
1997,4th Quintile,Urban regions,"In the distant future, in more than five years",0.01468,32,199,-0.00207,0.03143
1997,4th Quintile,Rural regions,As soon as possible,0.04313,41,41,-0.01983,0.10609
1997,5th Quintile,Urban regions,As soon as possible,0.01251,33,88,-0.01085,0.03587
1997,5th Quintile,Urban regions,In the next 2 to 5 years,0.02508,55,88,-0.00778,0.05794
1998,1st Quintile,Urban regions,As soon as possible,0.08351,184,446,0.05781,0.10922
1998,1st Quintile,Urban regions,Next year,0.03943,82,446,0.02135,0.05751
1998,1st Quintile,Urban regions,In the next 2 to 5 years,0.05781,131,446,0.03612,0.07949
1998,1st Quintile,Urban regions,"In the distant future, in more than five years",0.01954,49,446,0.00668,0.03240
1998,1st Quintile,Rural regions,As soon as possible,0.09996,123,217,0.05996,0.13996
1998,1st Quintile,Rural regions,Next year,0.03964,45,217,0.01362,0.06567
1998,1st Quintile,Rural regions,In the next 2 to 5 years,0.04774,49,217,0.01930,0.07617
1998,2nd Quintile,Urban regions,As soon as possible,0.03366,83,267,0.01198,0.05533
1998,2nd Quintile,Urban regions,Next year,0.02993,60,267,0.00946,0.05041
1998,2nd Quintile,Urban regions,In the next 2 to 5 years,0.03748,87,267,0.01465,0.06031
1998,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.01616,37,267,0.00101,0.03131
1998,2nd Quintile,Rural regions,As soon as possible,0.05147,87,173,0.01845,0.08449
1998,2nd Quintile,Rural regions,Next year,0.02971,39,173,0.00434,0.05509
1998,2nd Quintile,Rural regions,In the next 2 to 5 years,0.03335,47,173,0.00652,0.06019
1998,3rd Quintile,Urban regions,As soon as possible,0.02768,65,184,0.00391,0.05145
1998,3rd Quintile,Urban regions,Next year,0.02241,50,184,0.00096,0.04385
1998,3rd Quintile,Urban regions,In the next 2 to 5 years,0.02771,69,184,0.00393,0.05150
1998,3rd Quintile,Rural regions,As soon as possible,0.05098,72,143,0.01480,0.08716
1998,3rd Quintile,Rural regions,Next year,0.02034,38,143,-0.00288,0.04356
1998,3rd Quintile,Rural regions,In the next 2 to 5 years,0.02389,33,143,-0.00123,0.04901
1998,4th Quintile,Urban regions,As soon as possible,0.02115,47,145,-0.00235,0.04465
1998,4th Quintile,Urban regions,Next year,0.01707,43,145,-0.00409,0.03822
1998,4th Quintile,Urban regions,In the next 2 to 5 years,0.02568,55,145,-0.00016,0.05151
1998,4th Quintile,Rural regions,As soon as possible,0.04061,50,50,-0.01466,0.09588
1998,5th Quintile,Urban regions,Next year,0.01611,32,117,-0.00680,0.03902
1998,5th Quintile,Urban regions,In the next 2 to 5 years,0.02383,52,117,-0.00393,0.05159
1998,5th Quintile,Urban regions,"In the distant future, in more than five years",0.01273,33,117,-0.00767,0.03314
1999,1st Quintile,Urban regions,As soon as possible,0.07572,174,416,0.05027,0.10118
1999,1st Quintile,Urban regions,Next year,0.03294,78,416,0.01577,0.05012
1999,1st Quintile,Urban regions,In the next 2 to 5 years,0.05010,124,416,0.02911,0.07108
1999,1st Quintile,Urban regions,"In the distant future, in more than five years",0.01500,40,416,0.00330,0.02669
1999,1st Quintile,Rural regions,As soon as possible,0.08130,119,242,0.04680,0.11581
1999,1st Quintile,Rural regions,Next year,0.03709,64,242,0.01323,0.06095
1999,1st Quintile,Rural regions,In the next 2 to 5 years,0.04681,59,242,0.02014,0.07348
1999,2nd Quintile,Urban regions,As soon as possible,0.03989,96,286,0.01717,0.06261
1999,2nd Quintile,Urban regions,Next year,0.02493,58,286,0.00683,0.04303
1999,2nd Quintile,Urban regions,In the next 2 to 5 years,0.03782,94,286,0.01567,0.05996
1999,2nd Quintile,Urban regions,"In the distant future, in more than five years",0.01408,38,286,0.00040,0.02776
1999,2nd Quintile,Rural regions,As soon as possible,0.04331,80,157,0.01137,0.07525
1999,2nd Quintile,Rural regions,Next year,0.02293,38,157,-0.00056,0.04641
1999,2nd Quintile,Rural regions,In the next 2 to 5 years,0.02618,39,157,0.00112,0.05123
1999,3rd Quintile,Urban regions,As soon as possible,0.02349,61,197,0.00229,0.04469
1999,3rd Quintile,Urban regions,Next year,0.02519,54,197,0.00325,0.04713
