"year","age_gr","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1996","17-34","Ostdeutschland","6.81","6.5","848","6.67","6.95"
"1996","17-34","Westdeutschland","7.02","7.5","2507","6.94","7.1"
"1996","35-65","Ostdeutschland","6.5","6.5","1407","6.38","6.62"
"1996","35-65","Westdeutschland","6.83","6.5","3234","6.76","6.9"
"1996","66 +","Ostdeutschland","","","","",""
"1996","66 +","Westdeutschland","6.22","6.5","69","5.63","6.81"
"1997","17-34","Ostdeutschland","6.73","6.5","827","6.58","6.88"
"1997","17-34","Westdeutschland","7.03","7.5","2384","6.95","7.11"
"1997","35-65","Ostdeutschland","6.57","6.5","1375","6.46","6.68"
"1997","35-65","Westdeutschland","6.8","6.5","3140","6.73","6.87"
"1997","66 +","Ostdeutschland","","","","",""
"1997","66 +","Westdeutschland","6.38","6.5","65","5.7","7.06"
"1998","17-34","Ostdeutschland","6.65","6.5","843","6.5","6.8"
"1998","17-34","Westdeutschland","6.98","6.5","2504","6.9","7.06"
"1998","35-65","Ostdeutschland","6.45","6.5","1463","6.34","6.56"
"1998","35-65","Westdeutschland","6.98","6.5","3606","6.91","7.05"
"1998","66 +","Ostdeutschland","","","","",""
"1998","66 +","Westdeutschland","6.74","7.5","94","6.16","7.32"
"1999","17-34","Ostdeutschland","6.65","6.5","820","6.5","6.8"
"1999","17-34","Westdeutschland","7.04","7.5","2401","6.96","7.12"
"1999","35-65","Ostdeutschland","6.53","6.5","1453","6.42","6.64"
"1999","35-65","Westdeutschland","6.87","6.5","3564","6.8","6.94"
"1999","66 +","Ostdeutschland","","","","",""
"1999","66 +","Westdeutschland","6.05","5.5","69","5.35","6.75"
"2000","17-34","Ostdeutschland","7.01","7.5","1056","6.87","7.15"
"2000","17-34","Westdeutschland","7.26","7.5","3402","7.19","7.33"
"2000","35-65","Ostdeutschland","6.65","6.5","2075","6.55","6.75"
"2000","35-65","Westdeutschland","7.12","7.5","6514","7.07","7.17"
"2000","66 +","Ostdeutschland","4.89","5.5","33","3.6","6.18"
"2000","66 +","Westdeutschland","5.78","5.5","164","5.25","6.31"
"2001","17-34","Ostdeutschland","6.9","6.5","1065","6.77","7.03"
"2001","17-34","Westdeutschland","7.28","7.5","3244","7.21","7.35"
"2001","35-65","Ostdeutschland","6.72","6.5","2062","6.63","6.81"
"2001","35-65","Westdeutschland","7.09","7.5","6468","7.04","7.14"
"2001","66 +","Ostdeutschland","5.21","5.5","39","4.06","6.36"
"2001","66 +","Westdeutschland","5.56","6.5","145","4.94","6.18"
"2002","17-34","Ostdeutschland","6.8","7.5","1025","6.66","6.94"
"2002","17-34","Westdeutschland","7.07","6.5","3128","7","7.14"
"2002","35-65","Ostdeutschland","6.56","6.5","2067","6.47","6.65"
"2002","35-65","Westdeutschland","6.93","6.5","7470","6.88","6.98"
"2002","66 +","Ostdeutschland","5.75","6.5","35","4.58","6.92"
"2002","66 +","Westdeutschland","5.86","6.5","189","5.38","6.34"
"2003","17-34","Ostdeutschland","6.62","6.5","973","6.48","6.76"
"2003","17-34","Westdeutschland","7.04","7.5","2937","6.96","7.12"
"2003","35-65","Ostdeutschland","6.45","6.5","2022","6.35","6.55"
"2003","35-65","Westdeutschland","6.94","6.5","7048","6.89","6.99"
"2003","66 +","Ostdeutschland","4.2","4.5","31","2.69","5.71"
"2003","66 +","Westdeutschland","5.78","6.5","206","5.31","6.25"
"2004","17-34","Ostdeutschland","6.6","6.5","923","6.45","6.75"
"2004","17-34","Westdeutschland","6.93","6.5","2750","6.85","7.01"
"2004","35-65","Ostdeutschland","6.33","6.5","1981","6.23","6.43"
"2004","35-65","Westdeutschland","6.83","6.5","6875","6.78","6.88"
"2004","66 +","Ostdeutschland","4.64","4.5","40","3.52","5.76"
"2004","66 +","Westdeutschland","6.52","6.5","185","6.07","6.97"
"2005","17-34","Ostdeutschland","6.58","6.5","862","6.43","6.73"
"2005","17-34","Westdeutschland","6.97","6.5","2547","6.88","7.06"
"2005","35-65","Ostdeutschland","6.36","6.5","1894","6.25","6.47"
"2005","35-65","Westdeutschland","6.75","6.5","6571","6.7","6.8"
"2005","66 +","Ostdeutschland","4.31","3.5","48","3.14","5.48"
"2005","66 +","Westdeutschland","6.17","6.5","185","5.71","6.63"
"2006","17-34","Ostdeutschland","6.81","6.5","860","6.66","6.96"
"2006","17-34","Westdeutschland","6.97","6.5","2512","6.88","7.06"
"2006","35-65","Ostdeutschland","6.49","6.5","2003","6.39","6.59"
"2006","35-65","Westdeutschland","6.77","6.5","7024","6.72","6.82"
"2006","66 +","Ostdeutschland","5.46","6.5","37","4.42","6.5"
"2006","66 +","Westdeutschland","6.02","6.5","222","5.61","6.43"
"2007","17-34","Ostdeutschland","6.73","6.5","843","6.58","6.88"
"2007","17-34","Westdeutschland","7.03","7.5","2360","6.94","7.12"
"2007","35-65","Ostdeutschland","6.49","6.5","1917","6.39","6.59"
"2007","35-65","Westdeutschland","6.74","6.5","6644","6.69","6.79"
"2007","66 +","Ostdeutschland","3.76","3.5","60","2.79","4.73"
"2007","66 +","Westdeutschland","6.48","6.5","231","6.1","6.86"
"2008","17-34","Ostdeutschland","6.91","6.5","786","6.77","7.05"
"2008","17-34","Westdeutschland","6.99","6.5","2226","6.9","7.08"
"2008","35-65","Ostdeutschland","6.59","6.5","1860","6.49","6.69"
"2008","35-65","Westdeutschland","6.78","6.5","6296","6.73","6.83"
"2008","66 +","Ostdeutschland","6.61","6.5","36","5.77","7.45"
"2008","66 +","Westdeutschland","6.78","7.5","237","6.44","7.12"
"2009","17-34","Ostdeutschland","6.85","6.5","739","6.7","7"
"2009","17-34","Westdeutschland","6.94","6.5","2103","6.85","7.03"
"2009","35-65","Ostdeutschland","6.5","6.5","1797","6.4","6.6"
"2009","35-65","Westdeutschland","6.66","6.5","5839","6.61","6.71"
"2009","66 +","Ostdeutschland","5.17","7.5","38","3.94","6.4"
"2009","66 +","Westdeutschland","6.19","6.5","261","5.85","6.53"
"2010","17-34","Ostdeutschland","6.84","6.5","984","6.7","6.98"
"2010","17-34","Westdeutschland","7.02","6.5","2996","6.94","7.1"
"2010","35-65","Ostdeutschland","6.6","6.5","2172","6.51","6.69"
"2010","35-65","Westdeutschland","6.81","6.5","7982","6.76","6.86"
"2010","66 +","Ostdeutschland","5.26","5.5","39","4.15","6.37"
"2010","66 +","Westdeutschland","6.33","6.5","254","5.95","6.71"
"2011","17-34","Ostdeutschland","6.77","6.5","1005","6.63","6.91"
"2011","17-34","Westdeutschland","7.21","7.5","3185","7.14","7.28"
"2011","35-65","Ostdeutschland","6.59","6.5","2473","6.5","6.68"
"2011","35-65","Westdeutschland","6.9","6.5","9261","6.86","6.94"
"2011","66 +","Ostdeutschland","4.56","5.5","57","3.6","5.52"
"2011","66 +","Westdeutschland","6.46","6.5","286","6.12","6.8"
"2012","17-34","Ostdeutschland","6.77","6.5","910","6.63","6.91"
"2012","17-34","Westdeutschland","7.24","7.5","3075","7.17","7.31"
"2012","35-65","Ostdeutschland","6.86","6.5","2579","6.78","6.94"
"2012","35-65","Westdeutschland","6.98","6.5","9539","6.94","7.02"
"2012","66 +","Ostdeutschland","6.26","7.5","42","5.28","7.24"
"2012","66 +","Westdeutschland","6.94","7.5","305","6.64","7.24"
"2013","17-34","Ostdeutschland","6.93","7.5","927","6.78","7.08"
"2013","17-34","Westdeutschland","7.22","7.5","4141","7.16","7.28"
"2013","35-65","Ostdeutschland","6.92","6.5","2678","6.84","7"
"2013","35-65","Westdeutschland","6.99","6.5","11116","6.95","7.03"
"2013","66 +","Ostdeutschland","5.65","6.5","47","4.77","6.53"
"2013","66 +","Westdeutschland","7.44","7.5","300","7.19","7.69"
"2014","17-34","Ostdeutschland","7.06","6.5","791","6.91","7.21"
"2014","17-34","Westdeutschland","7.12","7.5","3634","7.05","7.19"
"2014","35-65","Ostdeutschland","6.86","6.5","2468","6.78","6.94"
"2014","35-65","Westdeutschland","7.04","7.5","9865","7","7.08"
"2014","66 +","Ostdeutschland","4.98","5.5","50","4.15","5.81"
"2014","66 +","Westdeutschland","6.97","7.5","310","6.69","7.25"
"2015","17-34","Ostdeutschland","7.14","7.5","730","6.99","7.29"
"2015","17-34","Westdeutschland","7.33","7.5","3083","7.26","7.4"
"2015","35-65","Ostdeutschland","6.83","6.5","2309","6.75","6.91"
"2015","35-65","Westdeutschland","7.05","6.5","9179","7.01","7.09"
"2015","66 +","Ostdeutschland","6.27","6.5","47","5.48","7.06"
"2015","66 +","Westdeutschland","7.23","7.5","301","6.98","7.48"
"2016","17-34","Ostdeutschland","7.09","6.5","659","6.93","7.25"
"2016","17-34","Westdeutschland","7.31","7.5","3052","7.24","7.38"
"2016","35-65","Ostdeutschland","6.95","6.5","2252","6.87","7.03"
"2016","35-65","Westdeutschland","7.06","6.5","8852","7.02","7.1"
"2016","66 +","Ostdeutschland","6.11","6.5","57","5.33","6.89"
"2016","66 +","Westdeutschland","7.2","7.5","304","6.95","7.45"
"2017","17-34","Ostdeutschland","6.95","6.5","736","6.81","7.09"
"2017","17-34","Westdeutschland","7.38","7.5","3324","7.31","7.45"
"2017","35-65","Ostdeutschland","6.9","6.5","2573","6.82","6.98"
"2017","35-65","Westdeutschland","7.05","6.5","9854","7.01","7.09"
"2017","66 +","Ostdeutschland","6.84","7.5","63","6.18","7.5"
"2017","66 +","Westdeutschland","7.57","7.5","355","7.37","7.77"
"2018","17-34","Ostdeutschland","6.76","6.5","736","6.6","6.92"
"2018","17-34","Westdeutschland","7.26","7.5","3357","7.19","7.33"
"2018","35-65","Ostdeutschland","6.91","6.5","2519","6.83","6.99"
"2018","35-65","Westdeutschland","7.06","6.5","9400","7.02","7.1"
"2018","66 +","Ostdeutschland","6.71","7.5","67","6.03","7.39"
"2018","66 +","Westdeutschland","7.39","7.5","375","7.16","7.62"
"2019","17-34","Ostdeutschland","7.46","7.5","633","7.32","7.6"
"2019","17-34","Westdeutschland","7.33","7.5","2982","7.26","7.4"
"2019","35-65","Ostdeutschland","7.13","7.5","2666","7.06","7.2"
"2019","35-65","Westdeutschland","7.13","7.5","9816","7.09","7.17"
"2019","66 +","Ostdeutschland","8.06","7.5","113","7.77","8.35"
"2019","66 +","Westdeutschland","7.88","7.5","485","7.73","8.03"
"2020","17-34","Ostdeutschland","7.3","7.5","704","7.15","7.45"
"2020","17-34","Westdeutschland","7.26","7.5","3688","7.2","7.32"
"2020","35-65","Ostdeutschland","7.02","6.5","2446","6.94","7.1"
"2020","35-65","Westdeutschland","7.04","6.5","9467","7","7.08"
"2020","66 +","Ostdeutschland","7.35","7.5","103","7","7.7"
"2020","66 +","Westdeutschland","7.91","7.5","377","7.72","8.1"
