year,bula_h,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Saxony,No,0.08549,79,864,0.06684,0.10415
2016,Saxony-Anhalt,Yes,0.93421,480,513,0.91273,0.95568
2016,Saxony-Anhalt,No,0.06579,33,513,0.04432,0.08727
2016,Thuringa,Yes,0.93196,511,542,0.91074,0.95318
2016,Thuringa,No,0.06804,31,542,0.04682,0.08926
2017,Schleswig-Holstein,Yes,0.96674,537,537,0.95156,0.98192
2017,Hamburg,Yes,0.91283,275,275,0.87943,0.94623
2017,Lower Saxony,Yes,0.95404,1487,1536,0.94357,0.96452
2017,Lower Saxony,No,0.04596,49,1536,0.03548,0.05643
2017,Bremen,Yes,0.95003,120,120,0.91089,0.98918
2017,North Rhine-Westphalia,Yes,0.95334,3049,3185,0.94601,0.96066
2017,North Rhine-Westphalia,No,0.04666,136,3185,0.03934,0.05399
2017,Hesse,Yes,0.93162,990,1055,0.91638,0.94686
2017,Hesse,No,0.06838,65,1055,0.05314,0.08362
2017,"Rhineland-Palatinate, Saarland",Yes,0.94813,844,879,0.93346,0.96280
2017,"Rhineland-Palatinate, Saarland",No,0.05187,35,879,0.03720,0.06654
2017,Baden-Wuerttemberg,Yes,0.89941,1578,1724,0.88520,0.91361
2017,Baden-Wuerttemberg,No,0.10059,146,1724,0.08639,0.11480
2017,Bavaria,Yes,0.92615,2311,2502,0.91590,0.93640
2017,Bavaria,No,0.07385,191,2502,0.06360,0.08410
2017,Berlin,Yes,0.82620,555,659,0.79724,0.85515
2017,Berlin,No,0.17380,104,659,0.14485,0.20276
2017,Brandenburg,Yes,0.93328,581,617,0.91357,0.95298
2017,Brandenburg,No,0.06672,36,617,0.04702,0.08643
2017,Mecklenburg-Western Pomerania,Yes,0.90226,337,337,0.87051,0.93401
2017,Saxony,Yes,0.90379,907,985,0.88537,0.92222
2017,Saxony,No,0.09621,78,985,0.07778,0.11463
2017,Saxony-Anhalt,Yes,0.93664,541,541,0.91609,0.95718
2017,Thuringa,Yes,0.94993,565,565,0.93193,0.96793
2018,Schleswig-Holstein,Yes,0.96222,528,528,0.94594,0.97850
2018,Hamburg,Yes,0.94819,309,309,0.92344,0.97295
2018,Lower Saxony,Yes,0.97266,1431,1476,0.96434,0.98099
2018,Lower Saxony,No,0.02734,45,1476,0.01901,0.03566
2018,Bremen,Yes,0.95939,128,128,0.92506,0.99372
2018,North Rhine-Westphalia,Yes,0.96232,3038,3178,0.95569,0.96894
2018,North Rhine-Westphalia,No,0.03768,140,3178,0.03106,0.04431
2018,Hesse,Yes,0.93192,958,1005,0.91634,0.94750
2018,Hesse,No,0.06808,47,1005,0.05250,0.08366
2018,"Rhineland-Palatinate, Saarland",Yes,0.95810,846,883,0.94488,0.97132
2018,"Rhineland-Palatinate, Saarland",No,0.04190,37,883,0.02868,0.05512
2018,Baden-Wuerttemberg,Yes,0.94708,1540,1625,0.93620,0.95797
2018,Baden-Wuerttemberg,No,0.05292,85,1625,0.04203,0.06380
2018,Bavaria,Yes,0.92664,2237,2409,0.91623,0.93705
2018,Bavaria,No,0.07336,172,2409,0.06295,0.08377
2018,Berlin,Yes,0.86754,597,692,0.84227,0.89282
2018,Berlin,No,0.13246,95,692,0.10718,0.15773
2018,Brandenburg,Yes,0.91829,600,643,0.89710,0.93948
2018,Brandenburg,No,0.08171,43,643,0.06052,0.10290
2018,Mecklenburg-Western Pomerania,Yes,0.92727,351,351,0.90007,0.95448
2018,Saxony,Yes,0.92742,924,982,0.91119,0.94366
2018,Saxony,No,0.07258,58,982,0.05634,0.08881
2018,Saxony-Anhalt,Yes,0.96006,550,550,0.94368,0.97644
2018,Thuringa,Yes,0.97054,556,556,0.95647,0.98461
2019,Schleswig-Holstein,Yes,0.95922,428,428,0.94046,0.97798
2019,Hamburg,Yes,0.96503,266,266,0.94291,0.98715
2019,Lower Saxony,Yes,0.97665,1188,1221,0.96818,0.98513
2019,Lower Saxony,No,0.02335,33,1221,0.01487,0.03182
2019,Bremen,Yes,0.95974,107,107,0.92232,0.99716
2019,North Rhine-Westphalia,Yes,0.96477,2491,2594,0.95767,0.97186
2019,North Rhine-Westphalia,No,0.03523,103,2594,0.02814,0.04233
2019,Hesse,Yes,0.93258,773,809,0.91529,0.94987
2019,Hesse,No,0.06742,36,809,0.05013,0.08471
2019,"Rhineland-Palatinate, Saarland",Yes,0.96407,692,692,0.95019,0.97795
2019,Baden-Wuerttemberg,Yes,0.95100,1255,1316,0.93934,0.96267
2019,Baden-Wuerttemberg,No,0.04900,61,1316,0.03733,0.06066
2019,Bavaria,Yes,0.92575,1820,1951,0.91411,0.93739
2019,Bavaria,No,0.07425,131,1951,0.06261,0.08589
2019,Berlin,Yes,0.85124,476,557,0.82166,0.88082
2019,Berlin,No,0.14876,81,557,0.11918,0.17834
2019,Brandenburg,Yes,0.91547,523,558,0.89237,0.93858
2019,Brandenburg,No,0.08453,35,558,0.06142,0.10763
2019,Mecklenburg-Western Pomerania,Yes,0.94169,292,292,0.91476,0.96861
2019,Saxony,Yes,0.92567,778,825,0.90776,0.94358
2019,Saxony,No,0.07433,47,825,0.05642,0.09224
2019,Saxony-Anhalt,Yes,0.96106,445,445,0.94307,0.97905
2019,Thuringa,Yes,0.96758,452,452,0.95123,0.98392
2020,Schleswig-Holstein,Yes,0.96215,521,521,0.94575,0.97855
2020,Hamburg,Yes,0.96727,338,338,0.94828,0.98627
2020,Lower Saxony,Yes,0.95893,1393,1482,0.94882,0.96904
2020,Lower Saxony,No,0.04107,89,1482,0.03096,0.05118
2020,Bremen,Yes,0.96439,128,128,0.93215,0.99662
2020,North Rhine-Westphalia,Yes,0.94895,3120,3393,0.94155,0.95636
2020,North Rhine-Westphalia,No,0.05105,273,3393,0.04364,0.05845
2020,Hesse,Yes,0.92575,1032,1116,0.91036,0.94114
2020,Hesse,No,0.07425,84,1116,0.05886,0.08964
2020,"Rhineland-Palatinate, Saarland",Yes,0.96187,816,866,0.94911,0.97463
2020,"Rhineland-Palatinate, Saarland",No,0.03813,50,866,0.02537,0.05089
2020,Baden-Wuerttemberg,Yes,0.93014,1621,1748,0.91819,0.94210
2020,Baden-Wuerttemberg,No,0.06986,127,1748,0.05790,0.08181
2020,Bavaria,Yes,0.91976,2420,2631,0.90937,0.93014
2020,Bavaria,No,0.08024,211,2631,0.06986,0.09063
2020,Berlin,Yes,0.87326,716,861,0.85103,0.89550
2020,Berlin,No,0.12674,145,861,0.10450,0.14897
2020,Brandenburg,Yes,0.95359,639,680,0.93776,0.96941
2020,Brandenburg,No,0.04641,41,680,0.03059,0.06224
2020,Mecklenburg-Western Pomerania,Yes,0.91622,317,317,0.88567,0.94677
2020,Saxony,Yes,0.93368,926,981,0.91810,0.94926
2020,Saxony,No,0.06632,55,981,0.05074,0.08190
2020,Saxony-Anhalt,Yes,0.95400,532,532,0.93619,0.97182
2020,Thuringa,Yes,0.96984,552,552,0.95556,0.98412
2021,Schleswig-Holstein,Yes,0.97262,365,365,0.95586,0.98939
2021,Hamburg,Yes,0.98333,227,227,0.96664,1.00002
2021,Lower Saxony,Yes,0.95746,907,952,0.94463,0.97028
2021,Lower Saxony,No,0.04254,45,952,0.02972,0.05537
2021,Bremen,Yes,0.95233,62,62,0.89887,1.00580
2021,North Rhine-Westphalia,Yes,0.95564,1944,2061,0.94674,0.96453
2021,North Rhine-Westphalia,No,0.04436,117,2061,0.03547,0.05326
2021,Hesse,Yes,0.93737,578,616,0.91822,0.95652
2021,Hesse,No,0.06263,38,616,0.04348,0.08178
2021,"Rhineland-Palatinate, Saarland",Yes,0.97333,464,464,0.95866,0.98801
2021,Baden-Wuerttemberg,Yes,0.92810,984,1053,0.91249,0.94371
2021,Baden-Wuerttemberg,No,0.07190,69,1053,0.05629,0.08751
2021,Bavaria,Yes,0.91253,1467,1582,0.89861,0.92646
2021,Bavaria,No,0.08747,115,1582,0.07354,0.10139
2021,Berlin,Yes,0.85921,438,516,0.82917,0.88925
2021,Berlin,No,0.14079,78,516,0.11075,0.17083
2021,Brandenburg,Yes,0.95968,381,381,0.93990,0.97946
2021,Mecklenburg-Western Pomerania,Yes,0.96568,226,226,0.94190,0.98947
2021,Saxony,Yes,0.94069,646,680,0.92293,0.95846
2021,Saxony,No,0.05931,34,680,0.04154,0.07707
2021,Saxony-Anhalt,Yes,0.95279,312,312,0.92922,0.97636
2021,Thuringa,Yes,0.98203,344,344,0.96797,0.99609
2022,Schleswig-Holstein,Yes,0.95998,615,648,0.94488,0.97508
2022,Schleswig-Holstein,No,0.04002,33,648,0.02492,0.05512
2022,Hamburg,Yes,0.95374,415,415,0.93350,0.97397
2022,Lower Saxony,Yes,0.94780,1552,1636,0.93701,0.95858
2022,Lower Saxony,No,0.05220,84,1636,0.04142,0.06299
2022,Bremen,Yes,0.94126,126,126,0.90004,0.98248
2022,North Rhine-Westphalia,Yes,0.95262,3672,3917,0.94597,0.95928
2022,North Rhine-Westphalia,No,0.04738,245,3917,0.04072,0.05403
2022,Hesse,Yes,0.94954,1177,1253,0.93741,0.96166
2022,Hesse,No,0.05046,76,1253,0.03834,0.06259
2022,"Rhineland-Palatinate, Saarland",Yes,0.95335,834,895,0.93953,0.96718
2022,"Rhineland-Palatinate, Saarland",No,0.04665,61,895,0.03282,0.06047
2022,Baden-Wuerttemberg,Yes,0.93328,2098,2287,0.92305,0.94351
2022,Baden-Wuerttemberg,No,0.06672,189,2287,0.05649,0.07695
2022,Bavaria,Yes,0.90815,2832,3112,0.89801,0.91830
2022,Bavaria,No,0.09185,280,3112,0.08170,0.10199
2022,Berlin,Yes,0.87739,998,1144,0.85837,0.89640
2022,Berlin,No,0.12261,146,1144,0.10360,0.14163
2022,Brandenburg,Yes,0.95040,694,742,0.93476,0.96603
2022,Brandenburg,No,0.04960,48,742,0.03397,0.06524
2022,Mecklenburg-Western Pomerania,Yes,0.95252,395,395,0.93152,0.97352
2022,Saxony,Yes,0.93214,1213,1296,0.91844,0.94583
2022,Saxony,No,0.06786,83,1296,0.05417,0.08156
2022,Saxony-Anhalt,Yes,0.94428,628,679,0.92701,0.96155
2022,Saxony-Anhalt,No,0.05572,51,679,0.03845,0.07299
2022,Thuringa,Yes,0.95345,536,570,0.93613,0.97076
2022,Thuringa,No,0.04655,34,570,0.02924,0.06387
