year,age_gr,regtyp,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,17-29 y.,Urban regions,Difficult,0.17421,430,757,0.14718,0.20125
1989,17-29 y.,Urban regions,Almost impossible,0.04722,124,757,0.03210,0.06234
1989,17-29 y.,Rural regions,Easy,0.08937,47,171,0.04649,0.13225
1989,17-29 y.,Rural regions,Difficult,0.17347,92,171,0.11655,0.23039
1989,17-29 y.,Rural regions,Almost impossible,0.04828,32,171,0.01605,0.08050
1989,30-45 y.,Urban regions,Easy,0.03560,81,507,0.01946,0.05175
1989,30-45 y.,Urban regions,Difficult,0.12319,297,507,0.09455,0.15183
1989,30-45 y.,Urban regions,Almost impossible,0.04325,129,507,0.02552,0.06097
1989,30-45 y.,Rural regions,Difficult,0.14259,75,111,0.07725,0.20793
1989,30-45 y.,Rural regions,Almost impossible,0.05524,36,111,0.01255,0.09793
1989,46-65 y.,Urban regions,Easy,0.01536,34,533,0.00491,0.02581
1989,46-65 y.,Urban regions,Difficult,0.06877,180,533,0.04726,0.09027
1989,46-65 y.,Urban regions,Almost impossible,0.12061,319,533,0.09294,0.14829
1989,46-65 y.,Rural regions,Difficult,0.08036,50,120,0.03151,0.12920
1989,46-65 y.,Rural regions,Almost impossible,0.10308,70,120,0.04845,0.15771
1990,17-29 y.,Urban regions,Easy,0.10528,264,822,0.08428,0.12627
1990,17-29 y.,Urban regions,Difficult,0.15651,427,822,0.13165,0.18136
1990,17-29 y.,Urban regions,Almost impossible,0.05219,131,822,0.03697,0.06740
1990,17-29 y.,Rural regions,Easy,0.06365,74,325,0.03707,0.09023
1990,17-29 y.,Rural regions,Difficult,0.14786,196,325,0.10921,0.18651
1990,17-29 y.,Rural regions,Almost impossible,0.05071,55,325,0.02682,0.07460
1990,30-45 y.,Urban regions,Easy,0.04096,100,485,0.02330,0.05862
1990,30-45 y.,Urban regions,Difficult,0.10214,276,485,0.07516,0.12912
1990,30-45 y.,Urban regions,Almost impossible,0.03078,109,485,0.01539,0.04617
1990,30-45 y.,Rural regions,Difficult,0.08412,101,101,0.02972,0.13852
1990,46-65 y.,Urban regions,Easy,0.01164,31,518,0.00240,0.02089
1990,46-65 y.,Urban regions,Difficult,0.05900,178,518,0.03869,0.07932
1990,46-65 y.,Urban regions,Almost impossible,0.10344,309,518,0.07719,0.12969
1990,46-65 y.,Rural regions,Difficult,0.06804,76,161,0.02902,0.10706
1990,46-65 y.,Rural regions,Almost impossible,0.06494,85,161,0.02676,0.10313
1991,17-29 y.,Urban regions,Easy,0.10079,254,754,0.07929,0.12230
1991,17-29 y.,Urban regions,Difficult,0.14133,364,754,0.11645,0.16622
1991,17-29 y.,Urban regions,Almost impossible,0.05062,136,754,0.03497,0.06628
1991,17-29 y.,Rural regions,Easy,0.07522,79,365,0.04812,0.10231
1991,17-29 y.,Rural regions,Difficult,0.17474,220,365,0.13573,0.21375
1991,17-29 y.,Rural regions,Almost impossible,0.05355,66,365,0.03042,0.07668
1991,30-45 y.,Urban regions,Easy,0.03762,100,498,0.02089,0.05435
1991,30-45 y.,Urban regions,Difficult,0.11223,310,498,0.08448,0.13998
1991,30-45 y.,Urban regions,Almost impossible,0.02760,88,498,0.01320,0.04200
1991,30-45 y.,Rural regions,Difficult,0.09508,142,196,0.05391,0.13625
1991,30-45 y.,Rural regions,Almost impossible,0.03897,54,196,0.01181,0.06613
1991,46-65 y.,Urban regions,Difficult,0.06207,173,486,0.04059,0.08354
1991,46-65 y.,Urban regions,Almost impossible,0.10576,313,486,0.07839,0.13313
1991,46-65 y.,Rural regions,Difficult,0.06111,84,225,0.02974,0.09248
1991,46-65 y.,Rural regions,Almost impossible,0.09639,141,225,0.05774,0.13503
1992,17-29 y.,Urban regions,Easy,0.12660,284,769,0.10308,0.15011
1992,17-29 y.,Urban regions,Difficult,0.14457,371,769,0.11970,0.16944
1992,17-29 y.,Urban regions,Almost impossible,0.04446,114,769,0.02989,0.05904
1992,17-29 y.,Rural regions,Easy,0.09703,102,379,0.06719,0.12687
1992,17-29 y.,Rural regions,Difficult,0.17855,227,379,0.13994,0.21715
1992,17-29 y.,Rural regions,Almost impossible,0.04192,50,379,0.02171,0.06212
1992,30-45 y.,Urban regions,Easy,0.04684,126,531,0.02885,0.06483
1992,30-45 y.,Urban regions,Difficult,0.10987,307,531,0.08325,0.13650
1992,30-45 y.,Urban regions,Almost impossible,0.03352,98,531,0.01820,0.04884
1992,30-45 y.,Rural regions,Difficult,0.11453,176,242,0.07432,0.15473
1992,30-45 y.,Rural regions,Almost impossible,0.04059,66,242,0.01568,0.06551
1992,46-65 y.,Urban regions,Difficult,0.06579,176,496,0.04395,0.08763
1992,46-65 y.,Urban regions,Almost impossible,0.10609,320,496,0.07896,0.13322
1992,46-65 y.,Rural regions,Difficult,0.07684,100,252,0.04389,0.10979
1992,46-65 y.,Rural regions,Almost impossible,0.10041,152,252,0.06322,0.13759
1993,17-29 y.,Urban regions,Easy,0.09214,206,798,0.07206,0.11222
1993,17-29 y.,Urban regions,Difficult,0.17971,427,798,0.15306,0.20637
1993,17-29 y.,Urban regions,Almost impossible,0.06083,165,798,0.04424,0.07743
1993,17-29 y.,Rural regions,Easy,0.06859,78,378,0.04308,0.09411
1993,17-29 y.,Rural regions,Difficult,0.19792,240,378,0.15770,0.23814
1993,17-29 y.,Rural regions,Almost impossible,0.05169,60,378,0.02934,0.07404
1993,30-45 y.,Urban regions,Easy,0.03695,89,535,0.02095,0.05295
1993,30-45 y.,Urban regions,Difficult,0.12493,347,535,0.09688,0.15297
1993,30-45 y.,Urban regions,Almost impossible,0.03013,99,535,0.01563,0.04463
1993,30-45 y.,Rural regions,Difficult,0.10452,164,242,0.06590,0.14315
1993,30-45 y.,Rural regions,Almost impossible,0.04564,78,242,0.01929,0.07199
1993,46-65 y.,Urban regions,Difficult,0.07204,185,545,0.05031,0.09376
1993,46-65 y.,Urban regions,Almost impossible,0.11982,360,545,0.09253,0.14711
1993,46-65 y.,Rural regions,Difficult,0.08954,123,351,0.05963,0.11946
1993,46-65 y.,Rural regions,Almost impossible,0.16192,228,351,0.12332,0.20051
1994,17-29 y.,Urban regions,Easy,0.09204,177,813,0.07215,0.11192
1994,17-29 y.,Urban regions,Difficult,0.20433,480,813,0.17659,0.23206
1994,17-29 y.,Urban regions,Almost impossible,0.06361,156,813,0.04682,0.08039
1994,17-29 y.,Rural regions,Easy,0.06017,70,364,0.03571,0.08464
1994,17-29 y.,Rural regions,Difficult,0.21305,243,364,0.17093,0.25517
1994,17-29 y.,Rural regions,Almost impossible,0.04980,51,364,0.02742,0.07218
1994,30-45 y.,Urban regions,Easy,0.03150,87,548,0.01686,0.04613
1994,30-45 y.,Urban regions,Difficult,0.11815,335,548,0.09110,0.14520
1994,30-45 y.,Urban regions,Almost impossible,0.04124,126,548,0.02458,0.05791
1994,30-45 y.,Rural regions,Difficult,0.12146,175,252,0.08105,0.16188
1994,30-45 y.,Rural regions,Almost impossible,0.05180,77,252,0.02438,0.07922
1994,46-65 y.,Urban regions,Difficult,0.06451,173,562,0.04418,0.08484
1994,46-65 y.,Urban regions,Almost impossible,0.13695,389,562,0.10850,0.16540
1994,46-65 y.,Rural regions,Difficult,0.09749,122,324,0.06514,0.12984
1994,46-65 y.,Rural regions,Almost impossible,0.15020,202,324,0.11123,0.18916
1995,17-29 y.,Urban regions,Easy,0.08621,173,839,0.06721,0.10521
1995,17-29 y.,Urban regions,Difficult,0.22865,507,839,0.20021,0.25708
1995,17-29 y.,Urban regions,Almost impossible,0.06410,159,839,0.04752,0.08069
1995,17-29 y.,Rural regions,Easy,0.06211,64,361,0.03718,0.08705
1995,17-29 y.,Rural regions,Difficult,0.19633,243,361,0.15529,0.23736
1995,17-29 y.,Rural regions,Almost impossible,0.04553,54,361,0.02399,0.06706
1995,30-45 y.,Urban regions,Easy,0.02987,89,608,0.01633,0.04341
1995,30-45 y.,Urban regions,Difficult,0.13235,384,608,0.10539,0.15931
1995,30-45 y.,Urban regions,Almost impossible,0.03789,135,608,0.02270,0.05308
1995,30-45 y.,Rural regions,Easy,0.02735,32,299,0.00883,0.04586
1995,30-45 y.,Rural regions,Difficult,0.12501,194,299,0.08746,0.16256
1995,30-45 y.,Rural regions,Almost impossible,0.04873,73,299,0.02428,0.07317
1995,46-65 y.,Urban regions,Difficult,0.07811,202,561,0.05589,0.10034
1995,46-65 y.,Urban regions,Almost impossible,0.12809,359,561,0.10041,0.15577
1995,46-65 y.,Rural regions,Difficult,0.09175,122,318,0.05997,0.12353
1995,46-65 y.,Rural regions,Almost impossible,0.14317,196,318,0.10461,0.18172
1996,17-29 y.,Urban regions,Easy,0.08409,152,797,0.06481,0.10337
1996,17-29 y.,Urban regions,Difficult,0.23130,478,797,0.20200,0.26059
1996,17-29 y.,Urban regions,Almost impossible,0.07092,167,797,0.05308,0.08875
1996,17-29 y.,Rural regions,Easy,0.06556,66,377,0.04054,0.09058
1996,17-29 y.,Rural regions,Difficult,0.23061,254,377,0.18803,0.27318
1996,17-29 y.,Rural regions,Almost impossible,0.04544,57,377,0.02439,0.06649
1996,30-45 y.,Urban regions,Easy,0.03675,101,586,0.02150,0.05199
1996,30-45 y.,Urban regions,Difficult,0.11354,357,586,0.08783,0.13925
1996,30-45 y.,Urban regions,Almost impossible,0.03928,128,586,0.02354,0.05503
1996,30-45 y.,Rural regions,Easy,0.03384,49,313,0.01378,0.05390
1996,30-45 y.,Rural regions,Difficult,0.12355,199,313,0.08704,0.16007
1996,30-45 y.,Rural regions,Almost impossible,0.04199,65,313,0.01973,0.06424
1996,46-65 y.,Urban regions,Difficult,0.07735,194,567,0.05534,0.09936
1996,46-65 y.,Urban regions,Almost impossible,0.13540,373,567,0.10721,0.16358
1996,46-65 y.,Rural regions,Difficult,0.10606,146,324,0.07248,0.13964
1996,46-65 y.,Rural regions,Almost impossible,0.11815,178,324,0.08295,0.15336
1997,17-29 y.,Urban regions,Easy,0.06840,117,770,0.05056,0.08625
1997,17-29 y.,Urban regions,Difficult,0.24001,491,770,0.20983,0.27020
1997,17-29 y.,Urban regions,Almost impossible,0.07520,162,770,0.05656,0.09384
1997,17-29 y.,Rural regions,Easy,0.06213,56,352,0.03687,0.08738
1997,17-29 y.,Rural regions,Difficult,0.21894,233,352,0.17568,0.26220
1997,17-29 y.,Rural regions,Almost impossible,0.06013,63,352,0.03526,0.08500
1997,30-45 y.,Urban regions,Easy,0.02603,80,596,0.01324,0.03883
1997,30-45 y.,Urban regions,Difficult,0.13094,378,596,0.10383,0.15804
1997,30-45 y.,Urban regions,Almost impossible,0.03864,138,596,0.02315,0.05413
1997,30-45 y.,Rural regions,Easy,0.02429,34,321,0.00742,0.04115
1997,30-45 y.,Rural regions,Difficult,0.14769,219,321,0.10882,0.18656
1997,30-45 y.,Rural regions,Almost impossible,0.04775,68,321,0.02438,0.07111
1997,46-65 y.,Urban regions,Difficult,0.07287,195,567,0.05145,0.09428
1997,46-65 y.,Urban regions,Almost impossible,0.13452,372,567,0.10641,0.16263
1997,46-65 y.,Rural regions,Difficult,0.09651,125,307,0.06342,0.12959
1997,46-65 y.,Rural regions,Almost impossible,0.13527,182,307,0.09695,0.17359
1998,17-29 y.,Urban regions,Easy,0.06332,133,801,0.04644,0.08020
1998,17-29 y.,Urban regions,Difficult,0.24320,498,801,0.21347,0.27293
1998,17-29 y.,Urban regions,Almost impossible,0.07197,170,801,0.05406,0.08987
1998,17-29 y.,Rural regions,Easy,0.05101,52,365,0.02841,0.07361
1998,17-29 y.,Rural regions,Difficult,0.24654,260,365,0.20227,0.29082
1998,17-29 y.,Rural regions,Almost impossible,0.04276,53,365,0.02198,0.06354
1998,30-45 y.,Urban regions,Easy,0.02889,99,624,0.01574,0.04204
1998,30-45 y.,Urban regions,Difficult,0.12401,394,624,0.09812,0.14989
1998,30-45 y.,Urban regions,Almost impossible,0.03221,131,624,0.01834,0.04607
1998,30-45 y.,Rural regions,Easy,0.02551,44,376,0.00955,0.04146
1998,30-45 y.,Rural regions,Difficult,0.14329,246,376,0.10783,0.17875
1998,30-45 y.,Rural regions,Almost impossible,0.05957,86,376,0.03561,0.08352
1998,46-65 y.,Urban regions,Difficult,0.06754,196,578,0.04706,0.08801
1998,46-65 y.,Urban regions,Almost impossible,0.12118,382,578,0.09455,0.14780
1998,46-65 y.,Rural regions,Difficult,0.09002,134,333,0.05924,0.12081
1998,46-65 y.,Rural regions,Almost impossible,0.11803,199,333,0.08332,0.15274
1999,17-29 y.,Urban regions,Easy,0.07293,127,706,0.05374,0.09212
1999,17-29 y.,Urban regions,Difficult,0.23546,453,706,0.20414,0.26678
1999,17-29 y.,Urban regions,Almost impossible,0.05687,126,706,0.03977,0.07396
1999,17-29 y.,Rural regions,Easy,0.06784,64,353,0.04157,0.09411
1999,17-29 y.,Rural regions,Difficult,0.21567,237,353,0.17271,0.25864
1999,17-29 y.,Rural regions,Almost impossible,0.04982,52,353,0.02709,0.07255
1999,30-45 y.,Urban regions,Easy,0.02969,87,551,0.01550,0.04387
1999,30-45 y.,Urban regions,Difficult,0.10609,348,551,0.08035,0.13182
1999,30-45 y.,Urban regions,Almost impossible,0.03070,116,551,0.01628,0.04511
1999,30-45 y.,Rural regions,Easy,0.02352,33,314,0.00673,0.04031
1999,30-45 y.,Rural regions,Difficult,0.13757,213,314,0.09941,0.17574
1999,30-45 y.,Rural regions,Almost impossible,0.04333,68,314,0.02077,0.06588
1999,46-65 y.,Urban regions,Difficult,0.05367,166,521,0.03430,0.07304
1999,46-65 y.,Urban regions,Almost impossible,0.12102,355,521,0.09299,0.14905
1999,46-65 y.,Rural regions,Difficult,0.07247,114,281,0.04210,0.10284
1999,46-65 y.,Rural regions,Almost impossible,0.11023,167,281,0.07355,0.14691
2000,17-29 y.,Urban regions,Easy,0.08736,260,1090,0.07059,0.10413
2000,17-29 y.,Urban regions,Difficult,0.19429,606,1090,0.17079,0.21779
2000,17-29 y.,Urban regions,Almost impossible,0.06910,224,1090,0.05404,0.08416
2000,17-29 y.,Rural regions,Easy,0.07515,120,572,0.05353,0.09678
2000,17-29 y.,Rural regions,Difficult,0.20349,358,572,0.17047,0.23651
2000,17-29 y.,Rural regions,Almost impossible,0.04846,94,572,0.03084,0.06607
2000,30-45 y.,Urban regions,Easy,0.03244,180,990,0.02140,0.04348
2000,30-45 y.,Urban regions,Difficult,0.09972,595,990,0.08105,0.11840
2000,30-45 y.,Urban regions,Almost impossible,0.03238,215,990,0.02135,0.04342
2000,30-45 y.,Rural regions,Easy,0.02647,67,549,0.01303,0.03991
2000,30-45 y.,Rural regions,Difficult,0.12219,357,549,0.09476,0.14961
2000,30-45 y.,Rural regions,Almost impossible,0.04263,125,549,0.02571,0.05954
2000,46-65 y.,Urban regions,Easy,0.00874,46,995,0.00295,0.01453
2000,46-65 y.,Urban regions,Difficult,0.06351,338,995,0.04835,0.07867
2000,46-65 y.,Urban regions,Almost impossible,0.10542,611,995,0.08633,0.12451
2000,46-65 y.,Rural regions,Difficult,0.06853,183,472,0.04571,0.09135
2000,46-65 y.,Rural regions,Almost impossible,0.10395,289,472,0.07639,0.13152
2000,66 and older,Urban regions,Almost impossible,0.01512,41,41,-0.02270,0.05294
2001,17-29 y.,Urban regions,Easy,0.10023,273,971,0.08133,0.11913
2001,17-29 y.,Urban regions,Difficult,0.17809,499,971,0.15401,0.20217
2001,17-29 y.,Urban regions,Almost impossible,0.06959,199,971,0.05357,0.08560
2001,17-29 y.,Rural regions,Easy,0.07536,115,537,0.05301,0.09771
2001,17-29 y.,Rural regions,Difficult,0.22178,357,537,0.18661,0.25696
2001,17-29 y.,Rural regions,Almost impossible,0.03808,65,537,0.02188,0.05428
2001,30-45 y.,Urban regions,Easy,0.03673,187,843,0.02402,0.04943
2001,30-45 y.,Urban regions,Difficult,0.09108,477,843,0.07165,0.11051
2001,30-45 y.,Urban regions,Almost impossible,0.02949,179,843,0.01807,0.04092
2001,30-45 y.,Rural regions,Easy,0.03029,66,477,0.01490,0.04569
2001,30-45 y.,Rural regions,Difficult,0.12262,316,477,0.09315,0.15208
2001,30-45 y.,Rural regions,Almost impossible,0.03679,95,477,0.01988,0.05370
2001,46-65 y.,Urban regions,Easy,0.00745,36,819,0.00155,0.01334
2001,46-65 y.,Urban regions,Difficult,0.06609,288,819,0.04906,0.08312
2001,46-65 y.,Urban regions,Almost impossible,0.09887,495,819,0.07842,0.11933
2001,46-65 y.,Rural regions,Difficult,0.06370,159,420,0.04032,0.08709
2001,46-65 y.,Rural regions,Almost impossible,0.10523,261,420,0.07585,0.13461
2001,66 and older,Urban regions,Almost impossible,0.01668,39,39,-0.02404,0.05741
2002,17-29 y.,Urban regions,Easy,0.10712,283,1057,0.08847,0.12577
2002,17-29 y.,Urban regions,Difficult,0.20607,596,1057,0.18167,0.23047
2002,17-29 y.,Urban regions,Almost impossible,0.05767,178,1057,0.04361,0.07174
2002,17-29 y.,Rural regions,Easy,0.06255,119,558,0.04244,0.08266
2002,17-29 y.,Rural regions,Difficult,0.24250,354,558,0.20690,0.27809
2002,17-29 y.,Rural regions,Almost impossible,0.05350,85,558,0.03481,0.07219
2002,30-45 y.,Urban regions,Easy,0.03400,165,850,0.02181,0.04619
2002,30-45 y.,Urban regions,Difficult,0.10904,506,850,0.08807,0.13001
2002,30-45 y.,Urban regions,Almost impossible,0.03256,179,850,0.02062,0.04450
2002,30-45 y.,Rural regions,Easy,0.02017,53,481,0.00759,0.03275
2002,30-45 y.,Rural regions,Difficult,0.14428,324,481,0.11285,0.17572
2002,30-45 y.,Rural regions,Almost impossible,0.03890,104,481,0.02160,0.05620
2002,46-65 y.,Urban regions,Easy,0.00807,42,849,0.00205,0.01409
2002,46-65 y.,Urban regions,Difficult,0.05948,302,849,0.04356,0.07540
2002,46-65 y.,Urban regions,Almost impossible,0.10620,505,849,0.08546,0.12693
2002,46-65 y.,Rural regions,Difficult,0.06087,143,382,0.03686,0.08488
2002,46-65 y.,Rural regions,Almost impossible,0.10081,239,382,0.07058,0.13105
2002,66 and older,Urban regions,Almost impossible,0.01601,42,42,-0.02241,0.05443
2003,17-29 y.,Urban regions,Easy,0.07228,209,931,0.05564,0.08892
2003,17-29 y.,Urban regions,Difficult,0.20878,557,931,0.18265,0.23490
2003,17-29 y.,Urban regions,Almost impossible,0.05093,165,931,0.03680,0.06506
2003,17-29 y.,Rural regions,Easy,0.04005,70,488,0.02263,0.05746
2003,17-29 y.,Rural regions,Difficult,0.23050,329,488,0.19309,0.26790
2003,17-29 y.,Rural regions,Almost impossible,0.05259,89,488,0.03277,0.07242
2003,30-45 y.,Urban regions,Easy,0.02273,108,696,0.01165,0.03382
2003,30-45 y.,Urban regions,Difficult,0.10651,471,696,0.08357,0.12945
2003,30-45 y.,Urban regions,Almost impossible,0.02376,117,696,0.01244,0.03509
2003,30-45 y.,Rural regions,Easy,0.01924,37,370,0.00522,0.03326
2003,30-45 y.,Rural regions,Difficult,0.12315,258,370,0.08962,0.15668
2003,30-45 y.,Rural regions,Almost impossible,0.03443,75,370,0.01582,0.05303
2003,46-65 y.,Urban regions,Difficult,0.04284,188,323,0.02072,0.06495
2003,46-65 y.,Urban regions,Almost impossible,0.03160,135,323,0.01250,0.05071
2003,46-65 y.,Rural regions,Difficult,0.05229,131,233,0.02365,0.08094
2003,46-65 y.,Rural regions,Almost impossible,0.04327,102,233,0.01709,0.06945
2004,17-29 y.,Urban regions,Easy,0.06922,193,995,0.05344,0.08500
2004,17-29 y.,Urban regions,Difficult,0.22199,616,995,0.19616,0.24783
2004,17-29 y.,Urban regions,Almost impossible,0.06074,186,995,0.04589,0.07559
2004,17-29 y.,Rural regions,Easy,0.05936,82,522,0.03907,0.07966
2004,17-29 y.,Rural regions,Difficult,0.24929,341,522,0.21215,0.28644
2004,17-29 y.,Rural regions,Almost impossible,0.06640,99,522,0.04502,0.08778
2004,30-45 y.,Urban regions,Easy,0.01490,86,660,0.00565,0.02415
2004,30-45 y.,Urban regions,Difficult,0.10386,445,660,0.08057,0.12715
2004,30-45 y.,Urban regions,Almost impossible,0.03522,129,660,0.02114,0.04929
2004,30-45 y.,Rural regions,Easy,0.02070,40,363,0.00603,0.03536
2004,30-45 y.,Rural regions,Difficult,0.12214,240,363,0.08841,0.15587
2004,30-45 y.,Rural regions,Almost impossible,0.04941,83,363,0.02708,0.07173
2004,46-65 y.,Urban regions,Difficult,0.04199,191,335,0.02048,0.06350
2004,46-65 y.,Urban regions,Almost impossible,0.03592,144,335,0.01596,0.05588
2004,46-65 y.,Rural regions,Difficult,0.07218,154,254,0.04029,0.10406
2004,46-65 y.,Rural regions,Almost impossible,0.04549,100,254,0.01981,0.07117
2005,17-29 y.,Urban regions,Easy,0.05784,178,1011,0.04345,0.07224
2005,17-29 y.,Urban regions,Difficult,0.23873,624,1011,0.21243,0.26502
2005,17-29 y.,Urban regions,Almost impossible,0.07636,209,1011,0.05998,0.09274
2005,17-29 y.,Rural regions,Easy,0.03186,60,519,0.01673,0.04698
2005,17-29 y.,Rural regions,Difficult,0.28195,360,519,0.24320,0.32070
2005,17-29 y.,Rural regions,Almost impossible,0.05900,99,519,0.03871,0.07930
2005,30-45 y.,Urban regions,Easy,0.01111,52,599,0.00271,0.01951
2005,30-45 y.,Urban regions,Difficult,0.10720,416,599,0.08241,0.13200
2005,30-45 y.,Urban regions,Almost impossible,0.03329,131,599,0.01891,0.04767
2005,30-45 y.,Rural regions,Difficult,0.11627,218,323,0.08126,0.15128
2005,30-45 y.,Rural regions,Almost impossible,0.05273,105,323,0.02832,0.07714
2005,46-65 y.,Urban regions,Difficult,0.04721,182,340,0.02464,0.06979
2005,46-65 y.,Urban regions,Almost impossible,0.03662,158,340,0.01662,0.05661
2005,46-65 y.,Rural regions,Difficult,0.05989,125,222,0.02861,0.09118
2005,46-65 y.,Rural regions,Almost impossible,0.04094,97,222,0.01482,0.06707
2006,17-29 y.,Urban regions,Easy,0.05545,176,913,0.04060,0.07030
2006,17-29 y.,Urban regions,Difficult,0.22096,569,913,0.19403,0.24789
2006,17-29 y.,Urban regions,Almost impossible,0.05967,168,913,0.04430,0.07505
2006,17-29 y.,Rural regions,Easy,0.03978,68,468,0.02205,0.05751
2006,17-29 y.,Rural regions,Difficult,0.20398,310,468,0.16743,0.24053
2006,17-29 y.,Rural regions,Almost impossible,0.05971,90,468,0.03822,0.08120
2006,30-45 y.,Urban regions,Easy,0.01923,88,658,0.00873,0.02973
2006,30-45 y.,Urban regions,Difficult,0.10785,433,658,0.08413,0.13157
2006,30-45 y.,Urban regions,Almost impossible,0.03586,137,658,0.02164,0.05008
2006,30-45 y.,Rural regions,Easy,0.01810,36,366,0.00442,0.03177
2006,30-45 y.,Rural regions,Difficult,0.11974,242,366,0.08644,0.15305
2006,30-45 y.,Rural regions,Almost impossible,0.04445,88,366,0.02330,0.06559
2006,46-65 y.,Urban regions,Difficult,0.04324,197,347,0.02181,0.06467
2006,46-65 y.,Urban regions,Almost impossible,0.03706,150,347,0.01715,0.05696
2006,46-65 y.,Rural regions,Difficult,0.06069,127,256,0.03138,0.08999
2006,46-65 y.,Rural regions,Almost impossible,0.05088,129,256,0.02391,0.07786
2007,17-29 y.,Urban regions,Easy,0.06517,197,815,0.04821,0.08213
2007,17-29 y.,Urban regions,Difficult,0.19657,478,815,0.16927,0.22387
2007,17-29 y.,Urban regions,Almost impossible,0.05104,140,815,0.03592,0.06616
2007,17-29 y.,Rural regions,Easy,0.05370,79,418,0.03206,0.07533
2007,17-29 y.,Rural regions,Difficult,0.19052,267,418,0.15283,0.22822
2007,17-29 y.,Rural regions,Almost impossible,0.05602,72,418,0.03395,0.07810
2007,30-45 y.,Urban regions,Easy,0.01547,67,507,0.00472,0.02623
2007,30-45 y.,Urban regions,Difficult,0.08965,329,507,0.06476,0.11455
2007,30-45 y.,Urban regions,Almost impossible,0.03455,111,507,0.01863,0.05046
2007,30-45 y.,Rural regions,Difficult,0.08800,164,231,0.05139,0.12462
2007,30-45 y.,Rural regions,Almost impossible,0.03644,67,231,0.01222,0.06065
2007,46-65 y.,Urban regions,Difficult,0.04263,164,288,0.01926,0.06600
2007,46-65 y.,Urban regions,Almost impossible,0.03536,124,288,0.01399,0.05673
2007,46-65 y.,Rural regions,Difficult,0.05376,114,229,0.02448,0.08303
2007,46-65 y.,Rural regions,Almost impossible,0.04490,115,229,0.01802,0.07178
2008,17-29 y.,Urban regions,Easy,0.06768,184,732,0.04947,0.08589
2008,17-29 y.,Urban regions,Difficult,0.17283,435,732,0.14542,0.20024
2008,17-29 y.,Urban regions,Almost impossible,0.04085,113,732,0.02650,0.05521
2008,17-29 y.,Rural regions,Easy,0.06224,81,379,0.03789,0.08660
2008,17-29 y.,Rural regions,Difficult,0.18379,229,379,0.14475,0.22284
2008,17-29 y.,Rural regions,Almost impossible,0.04675,69,379,0.02547,0.06804
2008,30-45 y.,Urban regions,Easy,0.01808,72,427,0.00543,0.03073
2008,30-45 y.,Urban regions,Difficult,0.07639,269,427,0.05117,0.10161
2008,30-45 y.,Urban regions,Almost impossible,0.02692,86,427,0.01155,0.04229
2008,30-45 y.,Rural regions,Easy,0.01770,32,229,0.00058,0.03482
