year,regtyp,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Urban regions,Easy,0.02825,833,3143,0.02246,0.03405
2019,Urban regions,Difficult,0.04152,1828,3143,0.03454,0.04850
2019,Urban regions,Almost impossible,0.01669,482,3143,0.01221,0.02117
2019,Rural regions,Easy,0.02080,311,1322,0.01310,0.02850
2019,Rural regions,Difficult,0.03970,773,1322,0.02917,0.05023
2019,Rural regions,Almost impossible,0.01301,238,1322,0.00690,0.01912
2020,Urban regions,Easy,0.02794,775,3188,0.02222,0.03366
2020,Urban regions,Difficult,0.04451,1882,3188,0.03735,0.05167
2020,Urban regions,Almost impossible,0.01576,531,3188,0.01143,0.02008
2020,Rural regions,Easy,0.02108,298,1267,0.01317,0.02899
2020,Rural regions,Difficult,0.03802,752,1267,0.02749,0.04856
2020,Rural regions,Almost impossible,0.01539,217,1267,0.00861,0.02217
2021,Urban regions,Easy,0.00095,190,799,-0.00119,0.00309
2021,Urban regions,Difficult,0.00222,509,799,-0.00105,0.00548
2021,Urban regions,Almost impossible,0.00058,100,799,-0.00109,0.00225
2021,Rural regions,Easy,0.00070,50,172,-0.00327,0.00468
2021,Rural regions,Difficult,0.00095,122,172,-0.00367,0.00556
