year,age_gr,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,17-29 y.,Difficult,0.21830,750,1200,0.19492,0.24168
1995,17-29 y.,Almost impossible,0.05816,213,1200,0.04491,0.07140
1995,30-45 y.,Easy,0.02909,121,907,0.01815,0.04004
1995,30-45 y.,Difficult,0.13010,578,907,0.10819,0.15200
1995,30-45 y.,Almost impossible,0.04122,208,907,0.02827,0.05416
1995,46-65 y.,Easy,0.00932,36,915,0.00309,0.01556
1995,46-65 y.,Difficult,0.08253,324,915,0.06469,0.10037
1995,46-65 y.,Almost impossible,0.13297,555,915,0.11096,0.15498
1996,17-29 y.,Easy,0.07808,218,1174,0.06273,0.09344
1996,17-29 y.,Difficult,0.23107,732,1174,0.20695,0.25520
1996,17-29 y.,Almost impossible,0.06265,224,1174,0.04878,0.07652
1996,30-45 y.,Easy,0.03589,150,899,0.02372,0.04806
1996,30-45 y.,Difficult,0.11649,556,899,0.09550,0.13747
1996,30-45 y.,Almost impossible,0.04008,193,899,0.02725,0.05291
1996,46-65 y.,Difficult,0.08661,340,891,0.06814,0.10509
1996,46-65 y.,Almost impossible,0.12983,551,891,0.10775,0.15191
1997,17-29 y.,Easy,0.06635,173,1123,0.05178,0.08091
1997,17-29 y.,Difficult,0.23392,725,1123,0.20915,0.25869
1997,17-29 y.,Almost impossible,0.07033,225,1123,0.05537,0.08530
1997,30-45 y.,Easy,0.02551,114,917,0.01530,0.03573
1997,30-45 y.,Difficult,0.13590,597,917,0.11371,0.15810
1997,30-45 y.,Almost impossible,0.04134,206,917,0.02845,0.05423
1997,46-65 y.,Difficult,0.08048,320,874,0.06243,0.09852
1997,46-65 y.,Almost impossible,0.13476,554,874,0.11211,0.15741
1997,66 and older,Almost impossible,0.01880,32,32,-0.02901,0.06661
1998,17-29 y.,Easy,0.05944,185,1166,0.04586,0.07301
1998,17-29 y.,Difficult,0.24426,758,1166,0.21958,0.26893
1998,17-29 y.,Almost impossible,0.06276,223,1166,0.04883,0.07668
1998,30-45 y.,Easy,0.02786,143,1000,0.01766,0.03807
1998,30-45 y.,Difficult,0.12987,640,1000,0.10902,0.15072
1998,30-45 y.,Almost impossible,0.04053,217,1000,0.02830,0.05276
1998,46-65 y.,Difficult,0.07477,330,911,0.05768,0.09186
1998,46-65 y.,Almost impossible,0.12016,581,911,0.09904,0.14129
1999,17-29 y.,Easy,0.07136,191,1059,0.05585,0.08687
1999,17-29 y.,Difficult,0.22935,690,1059,0.20402,0.25469
1999,17-29 y.,Almost impossible,0.05469,178,1059,0.04099,0.06840
1999,30-45 y.,Easy,0.02780,120,865,0.01684,0.03876
1999,30-45 y.,Difficult,0.11571,561,865,0.09438,0.13704
1999,30-45 y.,Almost impossible,0.03455,184,865,0.02238,0.04673
1999,46-65 y.,Difficult,0.05959,280,802,0.04320,0.07599
1999,46-65 y.,Almost impossible,0.11762,522,802,0.09531,0.13993
2000,17-29 y.,Easy,0.08328,380,1662,0.06999,0.09656
2000,17-29 y.,Difficult,0.19737,964,1662,0.17823,0.21651
2000,17-29 y.,Almost impossible,0.06219,318,1662,0.05058,0.07381
2000,30-45 y.,Easy,0.03059,247,1539,0.02199,0.03920
2000,30-45 y.,Difficult,0.10666,952,1539,0.09124,0.12209
2000,30-45 y.,Almost impossible,0.03555,340,1539,0.02629,0.04480
2000,46-65 y.,Easy,0.00895,68,1489,0.00416,0.01373
2000,46-65 y.,Difficult,0.06508,521,1489,0.05255,0.07762
2000,46-65 y.,Almost impossible,0.10496,900,1489,0.08939,0.12053
2000,66 and older,Almost impossible,0.01443,60,60,-0.01600,0.04487
2001,17-29 y.,Easy,0.09199,388,1508,0.07739,0.10658
2001,17-29 y.,Difficult,0.19258,856,1508,0.17267,0.21248
2001,17-29 y.,Almost impossible,0.05914,264,1508,0.04723,0.07105
2001,30-45 y.,Easy,0.03475,253,1320,0.02486,0.04463
2001,30-45 y.,Difficult,0.10079,793,1320,0.08454,0.11704
2001,30-45 y.,Almost impossible,0.03174,274,1320,0.02228,0.04120
2001,46-65 y.,Easy,0.00706,49,1252,0.00242,0.01170
2001,46-65 y.,Difficult,0.06534,447,1252,0.05165,0.07903
2001,46-65 y.,Almost impossible,0.10087,756,1252,0.08418,0.11756
2001,66 and older,Almost impossible,0.01523,53,53,-0.01806,0.04851
2002,17-29 y.,Easy,0.09209,402,1615,0.07798,0.10620
2002,17-29 y.,Difficult,0.21835,950,1615,0.19820,0.23851
2002,17-29 y.,Almost impossible,0.05627,263,1615,0.04502,0.06751
2002,30-45 y.,Easy,0.02962,218,1331,0.02051,0.03873
2002,30-45 y.,Difficult,0.12020,830,1331,0.10272,0.13767
2002,30-45 y.,Almost impossible,0.03457,283,1331,0.02475,0.04439
2002,46-65 y.,Easy,0.00936,69,1258,0.00404,0.01469
2002,46-65 y.,Difficult,0.05992,445,1258,0.04680,0.07304
2002,46-65 y.,Almost impossible,0.10450,744,1258,0.08759,0.12141
2002,66 and older,Almost impossible,0.01330,54,54,-0.01754,0.04414
2003,17-29 y.,Easy,0.06196,279,1419,0.04942,0.07451
2003,17-29 y.,Difficult,0.21573,886,1419,0.19432,0.23714
2003,17-29 y.,Almost impossible,0.05146,254,1419,0.03996,0.06296
2003,30-45 y.,Easy,0.02164,145,1066,0.01290,0.03038
2003,30-45 y.,Difficult,0.11170,729,1066,0.09278,0.13062
2003,30-45 y.,Almost impossible,0.02709,192,1066,0.01734,0.03684
2003,46-65 y.,Difficult,0.04585,319,556,0.02845,0.06325
2003,46-65 y.,Almost impossible,0.03532,237,556,0.01997,0.05068
2004,17-29 y.,Easy,0.06599,275,1517,0.05349,0.07849
2004,17-29 y.,Difficult,0.23095,957,1517,0.20973,0.25216
2004,17-29 y.,Almost impossible,0.06260,285,1517,0.05040,0.07479
2004,30-45 y.,Easy,0.01663,126,1023,0.00879,0.02447
2004,30-45 y.,Difficult,0.10932,685,1023,0.09019,0.12845
2004,30-45 y.,Almost impossible,0.03945,212,1023,0.02752,0.05139
2004,46-65 y.,Difficult,0.05175,345,589,0.03385,0.06966
2004,46-65 y.,Almost impossible,0.03902,244,589,0.02337,0.05467
2005,17-29 y.,Easy,0.04943,238,1530,0.03857,0.06030
2005,17-29 y.,Difficult,0.25272,984,1530,0.23094,0.27450
2005,17-29 y.,Almost impossible,0.07074,308,1530,0.05789,0.08359
2005,30-45 y.,Easy,0.01163,74,944,0.00479,0.01848
2005,30-45 y.,Difficult,0.10994,634,944,0.08997,0.12990
2005,30-45 y.,Almost impossible,0.03915,236,944,0.02677,0.05153
2005,46-65 y.,Difficult,0.05135,307,562,0.03309,0.06962
2005,46-65 y.,Almost impossible,0.03803,255,562,0.02220,0.05386
2006,17-29 y.,Easy,0.05033,244,1381,0.03879,0.06186
2006,17-29 y.,Difficult,0.21541,879,1381,0.19372,0.23710
2006,17-29 y.,Almost impossible,0.05968,258,1381,0.04719,0.07218
2006,30-45 y.,Easy,0.01888,124,1024,0.01054,0.02723
2006,30-45 y.,Difficult,0.11148,675,1024,0.09219,0.13077
2006,30-45 y.,Almost impossible,0.03848,225,1024,0.02669,0.05027
2006,46-65 y.,Difficult,0.04903,324,603,0.03178,0.06628
2006,46-65 y.,Almost impossible,0.04165,279,603,0.02569,0.05761
2007,17-29 y.,Easy,0.06139,276,1233,0.04798,0.07479
2007,17-29 y.,Difficult,0.19458,745,1233,0.17247,0.21668
2007,17-29 y.,Almost impossible,0.05269,212,1233,0.04021,0.06516
2007,30-45 y.,Easy,0.01455,95,766,0.00606,0.02303
2007,30-45 y.,Difficult,0.08915,493,766,0.06896,0.10935
2007,30-45 y.,Almost impossible,0.03512,178,766,0.02208,0.04817
2007,46-65 y.,Difficult,0.04638,278,517,0.02823,0.06452
2007,46-65 y.,Almost impossible,0.03858,239,517,0.02196,0.05519
2008,17-29 y.,Easy,0.06590,265,1111,0.05130,0.08049
2008,17-29 y.,Difficult,0.17643,664,1111,0.15400,0.19885
2008,17-29 y.,Almost impossible,0.04279,182,1111,0.03089,0.05470
2008,30-45 y.,Easy,0.01797,104,656,0.00779,0.02814
2008,30-45 y.,Difficult,0.07506,398,656,0.05488,0.09524
2008,30-45 y.,Almost impossible,0.02980,154,656,0.01678,0.04282
2008,46-65 y.,Difficult,0.04789,268,459,0.02833,0.06744
2008,46-65 y.,Almost impossible,0.03209,191,459,0.01595,0.04823
2009,17-29 y.,Easy,0.08273,263,982,0.06549,0.09996
2009,17-29 y.,Difficult,0.15373,550,982,0.13116,0.17630
2009,17-29 y.,Almost impossible,0.05070,169,982,0.03697,0.06443
2009,30-45 y.,Easy,0.01751,93,598,0.00699,0.02804
2009,30-45 y.,Difficult,0.08043,377,598,0.05862,0.10225
2009,30-45 y.,Almost impossible,0.02889,128,598,0.01545,0.04232
2009,46-65 y.,Difficult,0.05034,249,440,0.02989,0.07080
2009,46-65 y.,Almost impossible,0.03042,191,440,0.01436,0.04649
2010,17-29 y.,Easy,0.08016,391,1635,0.06699,0.09332
2010,17-29 y.,Difficult,0.17534,948,1635,0.15690,0.19378
2010,17-29 y.,Almost impossible,0.04933,296,1635,0.03883,0.05983
2010,30-45 y.,Easy,0.02398,454,2097,0.01743,0.03053
2010,30-45 y.,Difficult,0.08851,1230,2097,0.07635,0.10067
2010,30-45 y.,Almost impossible,0.02935,413,2097,0.02213,0.03658
2010,46-65 y.,Easy,0.00270,33,600,-0.00146,0.00686
2010,46-65 y.,Difficult,0.05094,340,600,0.03333,0.06855
2010,46-65 y.,Almost impossible,0.03142,227,600,0.01745,0.04540
2011,17-29 y.,Easy,0.09142,450,1589,0.07724,0.10559
2011,17-29 y.,Difficult,0.14800,861,1589,0.13053,0.16547
2011,17-29 y.,Almost impossible,0.03751,278,1589,0.02816,0.04686
2011,30-45 y.,Easy,0.02640,381,1884,0.01916,0.03364
2011,30-45 y.,Difficult,0.08269,1133,1884,0.07025,0.09513
2011,30-45 y.,Almost impossible,0.02528,370,1884,0.01819,0.03237
2011,46-65 y.,Easy,0.00420,54,741,-0.00046,0.00885
2011,46-65 y.,Difficult,0.04166,405,741,0.02727,0.05606
2011,46-65 y.,Almost impossible,0.02910,282,741,0.01699,0.04121
2012,17-29 y.,Easy,0.08863,452,1440,0.07394,0.10331
2012,17-29 y.,Difficult,0.15432,748,1440,0.13566,0.17299
2012,17-29 y.,Almost impossible,0.03625,240,1440,0.02659,0.04590
2012,30-45 y.,Easy,0.03051,340,1552,0.02195,0.03907
2012,30-45 y.,Difficult,0.08211,899,1552,0.06844,0.09577
2012,30-45 y.,Almost impossible,0.02206,313,1552,0.01475,0.02936
2012,46-65 y.,Easy,0.00611,65,837,0.00083,0.01140
2012,46-65 y.,Difficult,0.05143,486,837,0.03646,0.06640
2012,46-65 y.,Almost impossible,0.02724,286,837,0.01620,0.03827
2013,17-29 y.,Easy,0.10212,621,1790,0.08809,0.11616
2013,17-29 y.,Difficult,0.13716,865,1790,0.12122,0.15310
2013,17-29 y.,Almost impossible,0.03998,304,1790,0.03090,0.04905
2013,30-45 y.,Easy,0.02825,387,1859,0.02071,0.03578
2013,30-45 y.,Difficult,0.08831,1101,1859,0.07541,0.10121
2013,30-45 y.,Almost impossible,0.02763,371,1859,0.02018,0.03509
2013,46-65 y.,Easy,0.00616,71,909,0.00107,0.01125
2013,46-65 y.,Difficult,0.04388,522,909,0.03055,0.05720
2013,46-65 y.,Almost impossible,0.02866,316,909,0.01781,0.03952
2014,17-29 y.,Easy,0.08276,483,1491,0.06877,0.09675
2014,17-29 y.,Difficult,0.13566,734,1491,0.11827,0.15305
2014,17-29 y.,Almost impossible,0.04166,274,1491,0.03151,0.05180
2014,30-45 y.,Easy,0.03111,303,1482,0.02227,0.03995
2014,30-45 y.,Difficult,0.09504,886,1482,0.08010,0.10997
2014,30-45 y.,Almost impossible,0.02978,293,1482,0.02112,0.03843
2014,46-65 y.,Easy,0.00613,62,806,0.00074,0.01152
2014,46-65 y.,Difficult,0.04736,469,806,0.03269,0.06203
2014,46-65 y.,Almost impossible,0.02698,275,806,0.01579,0.03817
2015,17-29 y.,Easy,0.08983,460,1523,0.07547,0.10420
2015,17-29 y.,Difficult,0.13643,793,1523,0.11919,0.15368
2015,17-29 y.,Almost impossible,0.03902,270,1523,0.02929,0.04875
2015,30-45 y.,Easy,0.02965,311,1520,0.02112,0.03818
2015,30-45 y.,Difficult,0.08914,875,1520,0.07481,0.10347
2015,30-45 y.,Almost impossible,0.02957,334,1520,0.02105,0.03809
2015,46-65 y.,Easy,0.00713,80,815,0.00135,0.01291
2015,46-65 y.,Difficult,0.04715,476,815,0.03259,0.06172
2015,46-65 y.,Almost impossible,0.02394,259,815,0.01344,0.03444
2016,17-29 y.,Easy,0.10621,440,1321,0.08959,0.12284
2016,17-29 y.,Difficult,0.13327,622,1321,0.11493,0.15160
2016,17-29 y.,Almost impossible,0.04607,259,1321,0.03476,0.05738
2016,30-45 y.,Easy,0.03085,261,1205,0.02108,0.04062
2016,30-45 y.,Difficult,0.08282,668,1205,0.06725,0.09839
2016,30-45 y.,Almost impossible,0.02598,276,1205,0.01699,0.03496
2016,46-65 y.,Easy,0.00652,72,672,0.00043,0.01262
2016,46-65 y.,Difficult,0.03980,390,672,0.02501,0.05460
2016,46-65 y.,Almost impossible,0.02087,210,672,0.01006,0.03169
2017,17-29 y.,Easy,0.10824,619,1868,0.09415,0.12234
2017,17-29 y.,Difficult,0.12023,915,1868,0.10547,0.13498
2017,17-29 y.,Almost impossible,0.04448,334,1868,0.03513,0.05384
2017,30-45 y.,Easy,0.03024,356,1985,0.02271,0.03778
2017,30-45 y.,Difficult,0.08365,1252,1985,0.07147,0.09583
2017,30-45 y.,Almost impossible,0.02712,377,1985,0.01997,0.03427
2017,46-65 y.,Easy,0.00853,130,960,0.00271,0.01435
2017,46-65 y.,Difficult,0.04014,568,960,0.02772,0.05256
2017,46-65 y.,Almost impossible,0.02195,262,960,0.01268,0.03123
2018,17-29 y.,Easy,0.10097,661,2012,0.08780,0.11414
2018,17-29 y.,Difficult,0.11909,1006,2012,0.10493,0.13324
2018,17-29 y.,Almost impossible,0.04533,345,2012,0.03624,0.05443
2018,30-45 y.,Easy,0.03645,431,2160,0.02854,0.04436
2018,30-45 y.,Difficult,0.07531,1359,2160,0.06418,0.08644
2018,30-45 y.,Almost impossible,0.02421,370,2160,0.01773,0.03070
2018,46-65 y.,Easy,0.01049,135,1068,0.00437,0.01660
2018,46-65 y.,Difficult,0.03559,660,1068,0.02448,0.04671
2018,46-65 y.,Almost impossible,0.01947,273,1068,0.01118,0.02776
2018,66 and older,Difficult,0.00511,34,34,-0.01922,0.02945
2019,17-29 y.,Easy,0.10368,621,1656,0.08899,0.11836
2019,17-29 y.,Difficult,0.11051,807,1656,0.09540,0.12561
2019,17-29 y.,Almost impossible,0.04247,228,1656,0.03275,0.05218
2019,30-45 y.,Easy,0.03934,380,1830,0.03043,0.04825
2019,30-45 y.,Difficult,0.06946,1182,1830,0.05781,0.08111
2019,30-45 y.,Almost impossible,0.02053,268,1830,0.01403,0.02703
2019,46-65 y.,Easy,0.01037,147,989,0.00405,0.01668
2019,46-65 y.,Difficult,0.03430,616,989,0.02295,0.04565
2019,46-65 y.,Almost impossible,0.01681,226,989,0.00880,0.02483
2019,66 and older,Difficult,0.00693,36,36,-0.02055,0.03440
2020,17-29 y.,Easy,0.09871,555,1694,0.08450,0.11292
2020,17-29 y.,Difficult,0.11913,884,1694,0.10370,0.13456
2020,17-29 y.,Almost impossible,0.04520,255,1694,0.03531,0.05510
2020,30-45 y.,Easy,0.04122,378,1714,0.03180,0.05063
2020,30-45 y.,Difficult,0.06320,1083,1714,0.05167,0.07472
2020,30-45 y.,Almost impossible,0.01950,253,1714,0.01295,0.02605
2020,46-65 y.,Easy,0.01001,121,984,0.00379,0.01624
2020,46-65 y.,Difficult,0.03796,635,984,0.02601,0.04991
2020,46-65 y.,Almost impossible,0.01621,228,984,0.00831,0.02410
2020,66 and older,Difficult,0.00901,32,32,-0.02425,0.04227
2021,17-29 y.,Easy,0.00297,73,194,-0.00471,0.01064
2021,17-29 y.,Difficult,0.00428,121,194,-0.00493,0.01349
2021,30-45 y.,Easy,0.00189,123,514,-0.00187,0.00565
2021,30-45 y.,Difficult,0.00456,328,514,-0.00127,0.01039
2021,30-45 y.,Almost impossible,0.00093,63,514,-0.00171,0.00356
2021,46-65 y.,Easy,0.00027,43,258,-0.00173,0.00226
2021,46-65 y.,Difficult,0.00092,180,258,-0.00279,0.00463
2021,46-65 y.,Almost impossible,0.00031,35,258,-0.00185,0.00248
