year,age_gr,migback,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,30-45 y.,Direct migration background,Difficult,0.13003,112,193,0.08246,0.17761
1989,30-45 y.,Direct migration background,Almost impossible,0.09677,81,193,0.05495,0.13859
1989,46-65 y.,No migration background,Easy,0.01607,38,430,0.00417,0.02797
1989,46-65 y.,No migration background,Difficult,0.07234,163,430,0.04783,0.09686
1989,46-65 y.,No migration background,Almost impossible,0.11004,229,430,0.08043,0.13965
1989,46-65 y.,Direct migration background,Difficult,0.06678,66,224,0.03401,0.09954
1989,46-65 y.,Direct migration background,Almost impossible,0.15944,158,224,0.11139,0.20749
1990,17-29 y.,No migration background,Easy,0.08823,237,783,0.06835,0.10811
1990,17-29 y.,No migration background,Difficult,0.14957,423,783,0.12458,0.17457
1990,17-29 y.,No migration background,Almost impossible,0.04923,123,783,0.03407,0.06440
1990,17-29 y.,Direct migration background,Easy,0.12159,60,253,0.08124,0.16194
1990,17-29 y.,Direct migration background,Difficult,0.16850,146,253,0.12228,0.21471
1990,17-29 y.,Direct migration background,Almost impossible,0.05551,47,253,0.02724,0.08378
1990,17-29 y.,Indirect migration background,Easy,0.11051,41,96,0.04747,0.17356
1990,17-29 y.,Indirect migration background,Difficult,0.23754,55,96,0.15196,0.32312
1990,30-45 y.,No migration background,Easy,0.03275,91,430,0.01591,0.04960
1990,30-45 y.,No migration background,Difficult,0.09229,268,430,0.06490,0.11968
1990,30-45 y.,No migration background,Almost impossible,0.02324,71,430,0.00898,0.03750
1990,30-45 y.,Direct migration background,Difficult,0.13459,110,175,0.08388,0.18530
1990,30-45 y.,Direct migration background,Almost impossible,0.06947,65,175,0.03169,0.10725
1990,46-65 y.,No migration background,Easy,0.01072,32,448,0.00117,0.02026
1990,46-65 y.,No migration background,Difficult,0.06060,179,448,0.03848,0.08271
1990,46-65 y.,No migration background,Almost impossible,0.08471,237,448,0.05889,0.11052
1990,46-65 y.,Direct migration background,Difficult,0.06915,73,231,0.03636,0.10194
1990,46-65 y.,Direct migration background,Almost impossible,0.13814,158,231,0.09355,0.18273
1991,17-29 y.,No migration background,Easy,0.09126,239,784,0.07109,0.11144
1991,17-29 y.,No migration background,Difficult,0.15184,421,784,0.12670,0.17697
1991,17-29 y.,No migration background,Almost impossible,0.04656,124,784,0.03180,0.06132
1991,17-29 y.,Direct migration background,Easy,0.08606,49,222,0.04909,0.12304
1991,17-29 y.,Direct migration background,Difficult,0.16795,118,222,0.11866,0.21723
1991,17-29 y.,Direct migration background,Almost impossible,0.08414,55,222,0.04754,0.12074
1991,17-29 y.,Indirect migration background,Easy,0.12461,46,97,0.05854,0.19068
1991,17-29 y.,Indirect migration background,Difficult,0.14195,51,97,0.07213,0.21176
1991,30-45 y.,No migration background,Easy,0.03311,100,540,0.01800,0.04821
1991,30-45 y.,No migration background,Difficult,0.10359,346,540,0.07787,0.12932
1991,30-45 y.,No migration background,Almost impossible,0.02836,94,540,0.01435,0.04238
1991,30-45 y.,Direct migration background,Difficult,0.13450,105,153,0.08026,0.18874
1991,30-45 y.,Direct migration background,Almost impossible,0.05172,48,153,0.01651,0.08692
1991,46-65 y.,No migration background,Easy,0.01350,40,536,0.00372,0.02329
1991,46-65 y.,No migration background,Difficult,0.06239,188,536,0.04190,0.08289
1991,46-65 y.,No migration background,Almost impossible,0.09831,308,536,0.07308,0.12354
1991,46-65 y.,Direct migration background,Difficult,0.05904,70,217,0.02760,0.09047
1991,46-65 y.,Direct migration background,Almost impossible,0.13046,147,217,0.08554,0.17538
1992,17-29 y.,No migration background,Easy,0.11749,276,804,0.09522,0.13977
1992,17-29 y.,No migration background,Difficult,0.15143,428,804,0.12663,0.17622
1992,17-29 y.,No migration background,Almost impossible,0.04024,100,804,0.02664,0.05383
1992,17-29 y.,Direct migration background,Easy,0.07547,46,206,0.03931,0.11163
1992,17-29 y.,Direct migration background,Difficult,0.17492,113,206,0.12291,0.22693
1992,17-29 y.,Direct migration background,Almost impossible,0.06992,47,206,0.03501,0.10483
1992,17-29 y.,Indirect migration background,Easy,0.17585,65,131,0.11041,0.24130
1992,17-29 y.,Indirect migration background,Difficult,0.20747,66,131,0.13777,0.27718
1992,30-45 y.,No migration background,Easy,0.04141,128,622,0.02574,0.05708
1992,30-45 y.,No migration background,Difficult,0.10691,377,622,0.08261,0.13121
1992,30-45 y.,No migration background,Almost impossible,0.03232,117,622,0.01841,0.04623
1992,30-45 y.,Direct migration background,Difficult,0.14208,106,153,0.08658,0.19759
1992,30-45 y.,Direct migration background,Almost impossible,0.06286,47,153,0.02427,0.10144
1992,46-65 y.,No migration background,Easy,0.01310,35,560,0.00367,0.02252
1992,46-65 y.,No migration background,Difficult,0.07157,212,560,0.05020,0.09294
1992,46-65 y.,No migration background,Almost impossible,0.09837,313,560,0.07368,0.12306
1992,46-65 y.,Direct migration background,Difficult,0.05511,64,225,0.02523,0.08500
1992,46-65 y.,Direct migration background,Almost impossible,0.13918,161,225,0.09385,0.18451
1993,17-29 y.,No migration background,Easy,0.08770,217,803,0.06812,0.10727
1993,17-29 y.,No migration background,Difficult,0.17922,462,803,0.15267,0.20576
1993,17-29 y.,No migration background,Almost impossible,0.05240,124,803,0.03698,0.06782
1993,17-29 y.,Direct migration background,Difficult,0.20287,118,176,0.14329,0.26245
1993,17-29 y.,Direct migration background,Almost impossible,0.08073,58,176,0.04036,0.12109
1993,17-29 y.,Indirect migration background,Easy,0.09401,37,167,0.04962,0.13841
1993,17-29 y.,Indirect migration background,Difficult,0.24191,87,167,0.17677,0.30706
1993,17-29 y.,Indirect migration background,Almost impossible,0.09467,43,167,0.05013,0.13920
1993,30-45 y.,No migration background,Easy,0.03365,95,609,0.01932,0.04799
1993,30-45 y.,No migration background,Difficult,0.11190,391,609,0.08684,0.13696
1993,30-45 y.,No migration background,Almost impossible,0.03218,123,609,0.01815,0.04621
1993,30-45 y.,Direct migration background,Difficult,0.17414,115,167,0.11645,0.23183
1993,30-45 y.,Direct migration background,Almost impossible,0.05436,52,167,0.01987,0.08885
1993,46-65 y.,No migration background,Difficult,0.07918,231,644,0.05831,0.10005
1993,46-65 y.,No migration background,Almost impossible,0.13081,413,644,0.10475,0.15688
1993,46-65 y.,Direct migration background,Difficult,0.06925,76,250,0.03772,0.10079
1993,46-65 y.,Direct migration background,Almost impossible,0.14761,174,250,0.10355,0.19167
1994,17-29 y.,No migration background,Easy,0.08547,192,792,0.06598,0.10495
1994,17-29 y.,No migration background,Difficult,0.19608,490,792,0.16841,0.22374
1994,17-29 y.,No migration background,Almost impossible,0.05078,110,792,0.03548,0.06608
1994,17-29 y.,Direct migration background,Difficult,0.25185,125,183,0.18879,0.31492
1994,17-29 y.,Direct migration background,Almost impossible,0.09682,58,183,0.05386,0.13978
1994,17-29 y.,Indirect migration background,Difficult,0.26707,108,147,0.19530,0.33884
1994,17-29 y.,Indirect migration background,Almost impossible,0.10138,39,147,0.05242,0.15034
1994,30-45 y.,No migration background,Easy,0.02926,93,636,0.01615,0.04237
1994,30-45 y.,No migration background,Difficult,0.11769,399,636,0.09263,0.14276
1994,30-45 y.,No migration background,Almost impossible,0.03933,144,636,0.02421,0.05445
1994,30-45 y.,Direct migration background,Difficult,0.13462,105,163,0.08206,0.18718
1994,30-45 y.,Direct migration background,Almost impossible,0.08550,58,163,0.04244,0.12856
1994,46-65 y.,No migration background,Difficult,0.07530,227,632,0.05471,0.09589
1994,46-65 y.,No migration background,Almost impossible,0.13458,405,632,0.10795,0.16121
1994,46-65 y.,Direct migration background,Difficult,0.07021,65,251,0.03853,0.10188
1994,46-65 y.,Direct migration background,Almost impossible,0.17920,186,251,0.13166,0.22675
1995,17-29 y.,No migration background,Easy,0.07477,155,767,0.05615,0.09340
1995,17-29 y.,No migration background,Difficult,0.21022,497,767,0.18136,0.23907
1995,17-29 y.,No migration background,Almost impossible,0.04955,115,767,0.03418,0.06492
1995,17-29 y.,Direct migration background,Easy,0.07836,43,262,0.04575,0.11096
1995,17-29 y.,Direct migration background,Difficult,0.24300,149,262,0.19097,0.29503
1995,17-29 y.,Direct migration background,Almost impossible,0.11479,70,262,0.07611,0.15346
1995,17-29 y.,Indirect migration background,Easy,0.11934,39,143,0.06602,0.17267
1995,17-29 y.,Indirect migration background,Difficult,0.26134,104,143,0.18907,0.33360
1995,30-45 y.,No migration background,Easy,0.02862,98,639,0.01568,0.04156
1995,30-45 y.,No migration background,Difficult,0.12237,418,639,0.09694,0.14780
1995,30-45 y.,No migration background,Almost impossible,0.03335,123,639,0.01942,0.04728
1995,30-45 y.,Direct migration background,Difficult,0.17185,153,237,0.12371,0.21998
1995,30-45 y.,Direct migration background,Almost impossible,0.08784,84,237,0.05173,0.12396
1995,46-65 y.,No migration background,Difficult,0.08311,243,606,0.06111,0.10511
1995,46-65 y.,No migration background,Almost impossible,0.12672,363,606,0.10022,0.15323
1995,46-65 y.,Direct migration background,Difficult,0.07830,79,271,0.04626,0.11035
1995,46-65 y.,Direct migration background,Almost impossible,0.16734,192,271,0.12281,0.21186
1996,17-29 y.,No migration background,Easy,0.07762,157,742,0.05835,0.09688
1996,17-29 y.,No migration background,Difficult,0.21924,464,742,0.18945,0.24903
1996,17-29 y.,No migration background,Almost impossible,0.05347,121,742,0.03727,0.06967
1996,17-29 y.,Direct migration background,Difficult,0.28110,156,215,0.22087,0.34133
1996,17-29 y.,Direct migration background,Almost impossible,0.10137,59,215,0.06093,0.14180
1996,17-29 y.,Indirect migration background,Easy,0.09870,35,191,0.05629,0.14111
1996,17-29 y.,Indirect migration background,Difficult,0.25993,112,191,0.19756,0.32229
1996,17-29 y.,Indirect migration background,Almost impossible,0.08520,44,191,0.04550,0.12489
1996,30-45 y.,No migration background,Easy,0.03644,125,651,0.02203,0.05084
1996,30-45 y.,No migration background,Difficult,0.10890,398,651,0.08495,0.13285
1996,30-45 y.,No migration background,Almost impossible,0.03288,128,651,0.01917,0.04658
1996,30-45 y.,Direct migration background,Difficult,0.16165,146,209,0.11162,0.21168
1996,30-45 y.,Direct migration background,Almost impossible,0.08324,63,209,0.04570,0.12079
1996,46-65 y.,No migration background,Difficult,0.08542,261,615,0.06331,0.10753
1996,46-65 y.,No migration background,Almost impossible,0.12210,354,615,0.09621,0.14800
1996,46-65 y.,Direct migration background,Difficult,0.08827,74,271,0.05443,0.12210
1996,46-65 y.,Direct migration background,Almost impossible,0.17128,197,271,0.12634,0.21621
1997,17-29 y.,No migration background,Easy,0.06928,132,720,0.05072,0.08784
1997,17-29 y.,No migration background,Difficult,0.22761,467,720,0.19696,0.25825
1997,17-29 y.,No migration background,Almost impossible,0.05850,121,720,0.04135,0.07566
1997,17-29 y.,Direct migration background,Difficult,0.24844,133,192,0.18716,0.30973
1997,17-29 y.,Direct migration background,Almost impossible,0.11251,59,192,0.06769,0.15732
1997,17-29 y.,Indirect migration background,Difficult,0.26327,125,170,0.19687,0.32967
1997,17-29 y.,Indirect migration background,Almost impossible,0.10456,45,170,0.05843,0.15070
1997,30-45 y.,No migration background,Easy,0.02753,100,664,0.01508,0.03999
1997,30-45 y.,No migration background,Difficult,0.13049,440,664,0.10485,0.15613
1997,30-45 y.,No migration background,Almost impossible,0.03178,124,664,0.01843,0.04513
1997,30-45 y.,Direct migration background,Difficult,0.17094,145,223,0.12142,0.22046
1997,30-45 y.,Direct migration background,Almost impossible,0.09962,78,223,0.06022,0.13902
1997,46-65 y.,No migration background,Difficult,0.08274,248,599,0.06066,0.10482
1997,46-65 y.,No migration background,Almost impossible,0.12412,351,599,0.09769,0.15055
1997,46-65 y.,Direct migration background,Difficult,0.06808,71,272,0.03809,0.09807
1997,46-65 y.,Direct migration background,Almost impossible,0.18854,201,272,0.14197,0.23511
1998,17-29 y.,No migration background,Easy,0.05672,131,772,0.04039,0.07305
1998,17-29 y.,No migration background,Difficult,0.23721,516,772,0.20719,0.26724
1998,17-29 y.,No migration background,Almost impossible,0.05511,125,772,0.03900,0.07121
1998,17-29 y.,Direct migration background,Difficult,0.26250,121,171,0.19636,0.32864
1998,17-29 y.,Direct migration background,Almost impossible,0.08660,50,171,0.04432,0.12888
1998,17-29 y.,Indirect migration background,Difficult,0.27076,121,169,0.20356,0.33795
1998,17-29 y.,Indirect migration background,Almost impossible,0.08708,48,169,0.04445,0.12972
1998,30-45 y.,No migration background,Easy,0.02908,120,763,0.01715,0.04101
1998,30-45 y.,No migration background,Difficult,0.12750,509,763,0.10382,0.15118
1998,30-45 y.,No migration background,Almost impossible,0.03145,134,763,0.01906,0.04384
1998,30-45 y.,Direct migration background,Difficult,0.14162,119,197,0.09281,0.19044
1998,30-45 y.,Direct migration background,Almost impossible,0.10043,78,197,0.05835,0.14251
1998,46-65 y.,No migration background,Difficult,0.06987,253,649,0.05024,0.08950
1998,46-65 y.,No migration background,Almost impossible,0.11103,396,649,0.08684,0.13522
1998,46-65 y.,Direct migration background,Difficult,0.09766,75,258,0.06137,0.13396
1998,46-65 y.,Direct migration background,Almost impossible,0.16970,183,258,0.12381,0.21559
1999,17-29 y.,No migration background,Easy,0.07235,134,717,0.05337,0.09133
1999,17-29 y.,No migration background,Difficult,0.22350,477,717,0.19299,0.25402
1999,17-29 y.,No migration background,Almost impossible,0.04624,106,717,0.03085,0.06162
1999,17-29 y.,Direct migration background,Difficult,0.26173,101,138,0.18812,0.33533
1999,17-29 y.,Direct migration background,Almost impossible,0.07269,37,138,0.02921,0.11617
1999,17-29 y.,Indirect migration background,Easy,0.08492,39,186,0.04475,0.12509
1999,17-29 y.,Indirect migration background,Difficult,0.23436,112,186,0.17332,0.29540
1999,17-29 y.,Indirect migration background,Almost impossible,0.08909,35,186,0.04804,0.13014
1999,30-45 y.,No migration background,Easy,0.02487,91,652,0.01291,0.03683
1999,30-45 y.,No migration background,Difficult,0.11065,433,652,0.08656,0.13475
1999,30-45 y.,No migration background,Almost impossible,0.02994,128,652,0.01685,0.04303
1999,30-45 y.,Direct migration background,Difficult,0.14343,116,171,0.09074,0.19612
1999,30-45 y.,Direct migration background,Almost impossible,0.06824,55,171,0.03034,0.10615
1999,46-65 y.,No migration background,Difficult,0.05890,222,579,0.03971,0.07809
1999,46-65 y.,No migration background,Almost impossible,0.10862,357,579,0.08325,0.13398
1999,46-65 y.,Direct migration background,Difficult,0.06485,58,218,0.03208,0.09762
1999,46-65 y.,Direct migration background,Almost impossible,0.16146,160,218,0.11251,0.21042
2000,17-29 y.,No migration background,Easy,0.08888,296,1159,0.07249,0.10527
2000,17-29 y.,No migration background,Difficult,0.18569,676,1159,0.16330,0.20809
2000,17-29 y.,No migration background,Almost impossible,0.04757,187,1159,0.03531,0.05983
2000,17-29 y.,Direct migration background,Difficult,0.22371,143,221,0.16864,0.27877
2000,17-29 y.,Direct migration background,Almost impossible,0.12038,78,221,0.07738,0.16338
2000,17-29 y.,Indirect migration background,Easy,0.08641,55,253,0.05172,0.12110
2000,17-29 y.,Indirect migration background,Difficult,0.24165,145,253,0.18879,0.29450
2000,17-29 y.,Indirect migration background,Almost impossible,0.08673,53,253,0.05198,0.12148
2000,30-45 y.,No migration background,Easy,0.02937,202,1167,0.01968,0.03906
2000,30-45 y.,No migration background,Difficult,0.09903,736,1167,0.08188,0.11617
2000,30-45 y.,No migration background,Almost impossible,0.02903,229,1167,0.01940,0.03867
2000,30-45 y.,Direct migration background,Easy,0.03758,39,336,0.01721,0.05794
2000,30-45 y.,Direct migration background,Difficult,0.14943,191,336,0.11125,0.18761
2000,30-45 y.,Direct migration background,Almost impossible,0.07729,106,336,0.04869,0.10589
2000,46-65 y.,No migration background,Easy,0.01026,66,1179,0.00450,0.01601
2000,46-65 y.,No migration background,Difficult,0.06264,428,1179,0.04880,0.07648
2000,46-65 y.,No migration background,Almost impossible,0.09804,685,1179,0.08106,0.11502
2000,46-65 y.,Direct migration background,Difficult,0.07878,91,301,0.04829,0.10926
2000,46-65 y.,Direct migration background,Almost impossible,0.14486,210,301,0.10503,0.18469
2000,66 and older,No migration background,Almost impossible,0.01357,50,50,-0.01882,0.04596
2001,17-29 y.,No migration background,Easy,0.09186,289,1085,0.07466,0.10905
2001,17-29 y.,No migration background,Difficult,0.18569,628,1085,0.16254,0.20884
2001,17-29 y.,No migration background,Almost impossible,0.04996,168,1085,0.03699,0.06293
2001,17-29 y.,Direct migration background,Easy,0.07884,35,200,0.04140,0.11628
2001,17-29 y.,Direct migration background,Difficult,0.22532,110,200,0.16727,0.28337
2001,17-29 y.,Direct migration background,Almost impossible,0.10354,55,200,0.06121,0.14587
2001,17-29 y.,Indirect migration background,Easy,0.10915,64,223,0.06813,0.15017
2001,17-29 y.,Indirect migration background,Difficult,0.19681,118,223,0.14451,0.24911
2001,17-29 y.,Indirect migration background,Almost impossible,0.06386,41,223,0.03169,0.09602
2001,30-45 y.,No migration background,Easy,0.03351,209,1007,0.02239,0.04463
2001,30-45 y.,No migration background,Difficult,0.09307,612,1007,0.07512,0.11103
2001,30-45 y.,No migration background,Almost impossible,0.02607,186,1007,0.01622,0.03592
2001,30-45 y.,Direct migration background,Easy,0.04097,34,275,0.01750,0.06444
2001,30-45 y.,Direct migration background,Difficult,0.14706,161,275,0.10512,0.18899
2001,30-45 y.,Direct migration background,Almost impossible,0.06783,80,275,0.03806,0.09761
2001,46-65 y.,No migration background,Easy,0.00700,42,995,0.00182,0.01218
2001,46-65 y.,No migration background,Difficult,0.06244,367,995,0.04740,0.07749
2001,46-65 y.,No migration background,Almost impossible,0.09350,586,995,0.07540,0.11160
2001,46-65 y.,Direct migration background,Difficult,0.08122,76,243,0.04680,0.11564
2001,46-65 y.,Direct migration background,Almost impossible,0.14791,167,243,0.10318,0.19264
2001,66 and older,No migration background,Almost impossible,0.01313,42,42,-0.02171,0.04797
2002,17-29 y.,No migration background,Easy,0.09244,317,1216,0.07616,0.10873
2002,17-29 y.,No migration background,Difficult,0.21414,718,1216,0.19107,0.23721
2002,17-29 y.,No migration background,Almost impossible,0.04904,181,1216,0.03690,0.06118
2002,17-29 y.,Direct migration background,Easy,0.07680,32,185,0.03833,0.11528
2002,17-29 y.,Direct migration background,Difficult,0.24843,113,185,0.18600,0.31087
2002,17-29 y.,Direct migration background,Almost impossible,0.08197,40,185,0.04234,0.12161
2002,17-29 y.,Indirect migration background,Easy,0.10906,53,214,0.06720,0.15093
2002,17-29 y.,Indirect migration background,Difficult,0.20812,119,214,0.15360,0.26264
2002,17-29 y.,Indirect migration background,Almost impossible,0.07137,42,214,0.03680,0.10594
2002,30-45 y.,No migration background,Easy,0.02903,183,1032,0.01878,0.03928
2002,30-45 y.,No migration background,Difficult,0.10983,645,1032,0.09074,0.12891
2002,30-45 y.,No migration background,Almost impossible,0.02980,204,1032,0.01942,0.04018
2002,30-45 y.,Direct migration background,Difficult,0.17616,159,230,0.12681,0.22550
2002,30-45 y.,Direct migration background,Almost impossible,0.06616,71,230,0.03397,0.09835
2002,46-65 y.,No migration background,Easy,0.01007,64,1004,0.00389,0.01625
2002,46-65 y.,No migration background,Difficult,0.05771,370,1004,0.04328,0.07215
2002,46-65 y.,No migration background,Almost impossible,0.09556,570,1004,0.07736,0.11375
2002,46-65 y.,Direct migration background,Difficult,0.07497,74,243,0.04179,0.10814
2002,46-65 y.,Direct migration background,Almost impossible,0.15840,169,243,0.11240,0.20440
2002,66 and older,No migration background,Almost impossible,0.01112,42,42,-0.02098,0.04321
2003,17-29 y.,No migration background,Easy,0.06104,214,1107,0.04693,0.07515
2003,17-29 y.,No migration background,Difficult,0.21549,699,1107,0.19126,0.23972
2003,17-29 y.,No migration background,Almost impossible,0.04944,194,1107,0.03666,0.06222
2003,17-29 y.,Direct migration background,Difficult,0.24180,85,85,0.15024,0.33337
2003,17-29 y.,Indirect migration background,Easy,0.06256,37,174,0.02647,0.09864
2003,17-29 y.,Indirect migration background,Difficult,0.18885,102,174,0.13053,0.24717
2003,17-29 y.,Indirect migration background,Almost impossible,0.05856,35,174,0.02357,0.09355
2003,30-45 y.,No migration background,Easy,0.02105,117,837,0.01132,0.03078
2003,30-45 y.,No migration background,Difficult,0.10254,577,837,0.08197,0.12310
2003,30-45 y.,No migration background,Almost impossible,0.02432,143,837,0.01388,0.03476
2003,30-45 y.,Direct migration background,Difficult,0.16157,127,168,0.10575,0.21739
2003,30-45 y.,Direct migration background,Almost impossible,0.04537,41,168,0.01380,0.07693
2003,46-65 y.,No migration background,Difficult,0.04201,259,458,0.02362,0.06041
2003,46-65 y.,No migration background,Almost impossible,0.03430,199,458,0.01761,0.05099
2003,46-65 y.,Direct migration background,Difficult,0.06597,55,92,0.01497,0.11697
2003,46-65 y.,Direct migration background,Almost impossible,0.04246,37,92,0.00103,0.08389
2004,17-29 y.,No migration background,Easy,0.06505,212,1155,0.05082,0.07928
2004,17-29 y.,No migration background,Difficult,0.22227,721,1155,0.19828,0.24626
2004,17-29 y.,No migration background,Almost impossible,0.06190,222,1155,0.04800,0.07580
2004,17-29 y.,Direct migration background,Difficult,0.26537,101,101,0.17883,0.35190
2004,17-29 y.,Indirect migration background,Easy,0.07224,38,211,0.03723,0.10726
2004,17-29 y.,Indirect migration background,Difficult,0.24539,135,211,0.18719,0.30359
2004,17-29 y.,Indirect migration background,Almost impossible,0.05384,38,211,0.02331,0.08436
2004,30-45 y.,No migration background,Easy,0.01714,107,792,0.00810,0.02619
2004,30-45 y.,No migration background,Difficult,0.09936,518,792,0.07851,0.12021
2004,30-45 y.,No migration background,Almost impossible,0.03571,167,792,0.02278,0.04864
2004,30-45 y.,Direct migration background,Difficult,0.16737,139,177,0.11222,0.22252
2004,30-45 y.,Direct migration background,Almost impossible,0.06405,38,177,0.02788,0.10022
2004,46-65 y.,No migration background,Difficult,0.04747,278,479,0.02841,0.06654
2004,46-65 y.,No migration background,Almost impossible,0.03717,201,479,0.02021,0.05413
2004,46-65 y.,Direct migration background,Difficult,0.07335,63,105,0.02324,0.12345
2004,46-65 y.,Direct migration background,Almost impossible,0.04929,42,105,0.00769,0.09090
2005,17-29 y.,No migration background,Easy,0.04905,180,1172,0.03668,0.06142
2005,17-29 y.,No migration background,Difficult,0.24424,749,1172,0.21963,0.26885
2005,17-29 y.,No migration background,Almost impossible,0.07147,243,1172,0.05672,0.08623
2005,17-29 y.,Direct migration background,Difficult,0.31827,98,129,0.23757,0.39897
2005,17-29 y.,Direct migration background,Almost impossible,0.06956,31,129,0.02549,0.11364
2005,17-29 y.,Indirect migration background,Easy,0.06389,45,216,0.03120,0.09658
2005,17-29 y.,Indirect migration background,Difficult,0.24541,137,216,0.18789,0.30294
2005,17-29 y.,Indirect migration background,Almost impossible,0.06787,34,216,0.03425,0.10149
2005,30-45 y.,No migration background,Easy,0.01032,57,741,0.00304,0.01761
2005,30-45 y.,No migration background,Difficult,0.10256,499,741,0.08070,0.12442
2005,30-45 y.,No migration background,Almost impossible,0.03775,185,741,0.02402,0.05149
2005,30-45 y.,Direct migration background,Difficult,0.14507,102,145,0.08755,0.20260
2005,30-45 y.,Direct migration background,Almost impossible,0.05028,43,145,0.01458,0.08597
2005,30-45 y.,Indirect migration background,Difficult,0.13714,33,33,0.01795,0.25633
2005,46-65 y.,No migration background,Difficult,0.04939,258,467,0.02972,0.06906
2005,46-65 y.,No migration background,Almost impossible,0.03531,209,467,0.01855,0.05207
2005,46-65 y.,Direct migration background,Difficult,0.06400,48,93,0.01399,0.11401
2005,46-65 y.,Direct migration background,Almost impossible,0.05476,45,93,0.00827,0.10126
2006,17-29 y.,No migration background,Easy,0.05041,190,1071,0.03730,0.06352
2006,17-29 y.,No migration background,Difficult,0.20389,679,1071,0.17975,0.22804
2006,17-29 y.,No migration background,Almost impossible,0.06002,202,1071,0.04579,0.07426
2006,17-29 y.,Direct migration background,Difficult,0.25646,81,81,0.16077,0.35215
2006,17-29 y.,Indirect migration background,Easy,0.04405,33,186,0.01448,0.07362
2006,17-29 y.,Indirect migration background,Difficult,0.24152,119,186,0.17984,0.30319
