,Unnamed: 0,year,bula_h,quintil_oecd,plb0426,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
85,85,2007,North Rhine-Westphalia,2nd Quintile,Does not matter,1.0,34,512,0.77253,1.20712
86,86,2007,North Rhine-Westphalia,4th Quintile,Does not apply/do not (yet) have a job,1.0,31,512,0.74585,1.19685
87,87,2007,North Rhine-Westphalia,5th Quintile,Does not apply/do not (yet) have a job,1.0,41,512,0.61315,1.48165
88,88,2007,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,1.0,39,512,0.71613,1.27771
89,89,2007,Baden-Wuerttemberg,5th Quintile,Does not apply/do not (yet) have a job,1.0,34,512,0.70593,1.28211
90,90,2007,Bavaria,5th Quintile,Does not apply/do not (yet) have a job,1.0,34,512,0.7221,1.29867
91,91,2007,Brandenburg,1st Quintile,Does not matter,1.0,39,512,0.78704,1.23411
92,92,2007,Saxony,1st Quintile,Does not matter,1.0,54,512,0.78988,1.22861
93,93,2007,Saxony-Anhalt,1st Quintile,Does not matter,1.0,34,512,0.71999,1.22812
94,94,2007,Thuringa,1st Quintile,Does not matter,1.0,40,512,0.78313,1.2254
95,95,2009,North Rhine-Westphalia,1st Quintile,Does not matter,0.36167,52,263,0.30354,0.43029
96,96,2009,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.63833,64,263,0.51957,0.76295
97,97,2009,North Rhine-Westphalia,5th Quintile,Does not apply/do not (yet) have a job,1.0,38,263,0.67801,1.38402
98,98,2009,Brandenburg,1st Quintile,Does not matter,1.0,33,263,0.78407,1.2324
99,99,2009,Saxony,1st Quintile,Does not matter,1.0,45,263,0.74185,1.32896
100,100,2009,Thuringa,1st Quintile,Does not matter,1.0,31,263,0.74144,1.36646
101,101,2011,North Rhine-Westphalia,1st Quintile,Does not matter,0.63495,42,107,0.44481,0.88177
102,102,2011,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.36505,33,107,0.24654,0.48275
103,103,2011,North Rhine-Westphalia,5th Quintile,Does not apply/do not (yet) have a job,1.0,32,107,0.723,1.32415
104,104,2013,North Rhine-Westphalia,1st Quintile,Does not matter,0.50544,52,216,0.36444,0.70213
105,105,2013,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.49456,61,216,0.34079,0.68705
106,106,2013,North Rhine-Westphalia,4th Quintile,Does not apply/do not (yet) have a job,1.0,37,216,0.76149,1.26202
107,107,2013,Saxony,1st Quintile,Does not matter,1.0,32,216,0.61254,1.47613
108,108,2013,Saxony-Anhalt,1st Quintile,Does not matter,1.0,34,216,0.63772,1.42347
109,109,2015,Lower Saxony,1st Quintile,Does not matter,0.46271,53,1151,0.34011,0.6348
110,110,2015,Lower Saxony,1st Quintile,Does not apply/do not (yet) have a job,0.53729,72,1151,0.39779,0.70746
111,111,2015,North Rhine-Westphalia,1st Quintile,In my current field/ field I was trained in,0.17642,69,1151,0.1096,0.24937
112,112,2015,North Rhine-Westphalia,1st Quintile,Do something new,0.13891,53,1151,0.08792,0.2048
113,113,2015,North Rhine-Westphalia,1st Quintile,Does not matter,0.34407,146,1151,0.26248,0.4321
114,114,2015,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.3406,141,1151,0.26138,0.43705
115,115,2015,North Rhine-Westphalia,2nd Quintile,Does not matter,0.48672,46,1151,0.34371,0.6377
116,116,2015,North Rhine-Westphalia,2nd Quintile,Does not apply/do not (yet) have a job,0.51328,52,1151,0.34689,0.66634
117,117,2015,North Rhine-Westphalia,3rd Quintile,In my current field/ field I was trained in,0.43142,35,1151,0.28583,0.60933
118,118,2015,North Rhine-Westphalia,3rd Quintile,Does not apply/do not (yet) have a job,0.56858,41,1151,0.41601,0.73444
119,119,2015,North Rhine-Westphalia,5th Quintile,Does not apply/do not (yet) have a job,1.0,37,1151,0.75466,1.25457
120,120,2015,Hesse,1st Quintile,Does not apply/do not (yet) have a job,1.0,38,1151,0.69431,1.39114
121,121,2015,"Rhineland-Palatinate, Saarland",1st Quintile,Does not apply/do not (yet) have a job,1.0,42,1151,0.77934,1.29464
122,122,2015,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,1.0,46,1151,0.57925,1.46571
123,123,2015,Baden-Wuerttemberg,2nd Quintile,Does not apply/do not (yet) have a job,1.0,37,1151,0.67759,1.36234
124,124,2015,Bavaria,1st Quintile,Does not matter,1.0,43,1151,0.78682,1.23034
125,125,2015,Bavaria,2nd Quintile,Does not apply/do not (yet) have a job,1.0,36,1151,0.64627,1.4783
126,126,2015,Bavaria,5th Quintile,In my current field/ field I was trained in,1.0,31,1151,0.57449,1.42885
127,127,2015,Brandenburg,1st Quintile,Does not matter,1.0,45,1151,0.71696,1.40803
128,128,2015,Saxony,1st Quintile,Does not matter,1.0,34,1151,0.60952,1.3842
129,129,2015,Saxony-Anhalt,1st Quintile,Does not matter,1.0,54,1151,0.65949,1.32843
130,130,2017,Lower Saxony,1st Quintile,Does not matter,0.29371,42,890,0.17508,0.45905
131,131,2017,Lower Saxony,1st Quintile,Does not apply/do not (yet) have a job,0.70629,58,890,0.46126,1.0295
132,132,2017,North Rhine-Westphalia,1st Quintile,In my current field/ field I was trained in,0.14756,53,890,0.1059,0.20823
133,133,2017,North Rhine-Westphalia,1st Quintile,Do something new,0.17896,50,890,0.10603,0.26699
134,134,2017,North Rhine-Westphalia,1st Quintile,Does not matter,0.361,117,890,0.26905,0.46204
135,135,2017,North Rhine-Westphalia,1st Quintile,Does not apply/do not (yet) have a job,0.31249,139,890,0.25816,0.38213
136,136,2017,North Rhine-Westphalia,2nd Quintile,Does not matter,0.37725,41,890,0.24567,0.52117
137,137,2017,North Rhine-Westphalia,2nd Quintile,Does not apply/do not (yet) have a job,0.62275,56,890,0.48156,0.83614
138,138,2017,North Rhine-Westphalia,3rd Quintile,Does not apply/do not (yet) have a job,1.0,37,890,0.60011,1.36655
139,139,2017,North Rhine-Westphalia,4th Quintile,Does not apply/do not (yet) have a job,1.0,38,890,0.65858,1.2967
140,140,2017,Hesse,1st Quintile,Does not matter,0.50361,38,890,0.34629,0.67584
141,141,2017,Hesse,1st Quintile,Does not apply/do not (yet) have a job,0.49639,35,890,0.30871,0.71436
142,142,2017,Baden-Wuerttemberg,1st Quintile,Does not apply/do not (yet) have a job,1.0,34,890,0.68163,1.36003
143,143,2017,Bavaria,1st Quintile,Does not matter,1.0,44,890,0.69387,1.32797
144,144,2017,Brandenburg,1st Quintile,Does not matter,1.0,33,890,0.49097,1.64455
145,145,2017,Saxony,1st Quintile,Does not matter,1.0,31,890,0.61091,1.33653
146,146,2017,Saxony-Anhalt,1st Quintile,Does not matter,1.0,44,890,0.74982,1.31554
