year,quintil_oecd,sampreg,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,3rd Quintile,East,Does not matter,0.39889,42,81,0.29159,0.50619
1996,4th Quintile,West,In my current field/ field I was trained in,0.30027,78,219,0.23942,0.36112
1996,4th Quintile,West,Do something new,0.17366,36,219,0.12337,0.22394
1996,4th Quintile,West,Does not matter,0.25255,44,219,0.19488,0.31023
1996,4th Quintile,West,Does not apply/do not (yet) have a job,0.27353,61,219,0.21435,0.33270
1996,5th Quintile,West,In my current field/ field I was trained in,0.34569,70,167,0.27334,0.41804
1996,5th Quintile,West,Do something new,0.16125,31,167,0.10530,0.21720
1996,5th Quintile,West,Does not apply/do not (yet) have a job,0.34727,66,167,0.27485,0.41970
1997,1st Quintile,West,In my current field/ field I was trained in,0.20501,88,474,0.16863,0.24139
1997,1st Quintile,West,Do something new,0.18860,64,474,0.15335,0.22386
1997,1st Quintile,West,Does not matter,0.33117,146,474,0.28875,0.37358
1997,1st Quintile,West,Does not apply/do not (yet) have a job,0.27522,176,474,0.23497,0.31547
1997,1st Quintile,East,In my current field/ field I was trained in,0.28070,47,163,0.21151,0.34990
1997,1st Quintile,East,Does not matter,0.51474,116,163,0.43777,0.59170
1997,2nd Quintile,West,In my current field/ field I was trained in,0.29325,98,347,0.24528,0.34122
1997,2nd Quintile,West,Do something new,0.15717,43,347,0.11882,0.19553
1997,2nd Quintile,West,Does not matter,0.28064,96,347,0.23329,0.32798
1997,2nd Quintile,West,Does not apply/do not (yet) have a job,0.26894,110,347,0.22222,0.31566
1997,2nd Quintile,East,In my current field/ field I was trained in,0.31624,49,159,0.24373,0.38875
1997,2nd Quintile,East,Does not matter,0.33267,64,159,0.25920,0.40614
1997,2nd Quintile,East,Does not apply/do not (yet) have a job,0.24822,46,159,0.18087,0.31558
1997,3rd Quintile,West,In my current field/ field I was trained in,0.31721,80,280,0.26260,0.37182
1997,3rd Quintile,West,Do something new,0.18573,40,280,0.14009,0.23136
1997,3rd Quintile,West,Does not matter,0.21482,64,280,0.16663,0.26301
1997,3rd Quintile,West,Does not apply/do not (yet) have a job,0.28225,96,280,0.22943,0.33506
1997,3rd Quintile,East,In my current field/ field I was trained in,0.32668,39,111,0.23903,0.41432
1997,3rd Quintile,East,Does not matter,0.34590,39,111,0.25701,0.43479
1997,3rd Quintile,East,Does not apply/do not (yet) have a job,0.20436,33,111,0.12900,0.27971
1997,4th Quintile,West,In my current field/ field I was trained in,0.35677,77,177,0.28600,0.42755
1997,4th Quintile,West,Does not matter,0.22284,40,177,0.16136,0.28432
1997,4th Quintile,West,Does not apply/do not (yet) have a job,0.29154,60,177,0.22439,0.35868
1997,4th Quintile,East,Does not matter,0.38082,35,35,0.21760,0.54405
1997,5th Quintile,West,In my current field/ field I was trained in,0.32593,54,144,0.24911,0.40276
1997,5th Quintile,West,Does not matter,0.17293,32,144,0.11094,0.23491
1997,5th Quintile,West,Does not apply/do not (yet) have a job,0.33985,58,144,0.26222,0.41749
1998,1st Quintile,West,In my current field/ field I was trained in,0.22095,105,473,0.18352,0.25838
1998,1st Quintile,West,Do something new,0.13762,60,473,0.10654,0.16870
1998,1st Quintile,West,Does not matter,0.32316,136,473,0.28097,0.36536
1998,1st Quintile,West,Does not apply/do not (yet) have a job,0.31827,172,473,0.27625,0.36030
1998,1st Quintile,East,In my current field/ field I was trained in,0.21215,36,205,0.15605,0.26825
1998,1st Quintile,East,Do something new,0.16881,33,205,0.11741,0.22021
1998,1st Quintile,East,Does not matter,0.48702,101,205,0.41843,0.55561
1998,1st Quintile,East,Does not apply/do not (yet) have a job,0.13202,35,205,0.08557,0.17848
1998,2nd Quintile,West,In my current field/ field I was trained in,0.34769,94,274,0.29120,0.40419
1998,2nd Quintile,West,Does not matter,0.23328,73,274,0.18311,0.28345
1998,2nd Quintile,West,Does not apply/do not (yet) have a job,0.30153,107,274,0.24709,0.35597
1998,2nd Quintile,East,In my current field/ field I was trained in,0.32854,45,109,0.23996,0.41712
1998,2nd Quintile,East,Does not matter,0.42294,64,109,0.32977,0.51612
1998,3rd Quintile,West,In my current field/ field I was trained in,0.34400,67,182,0.27480,0.41321
1998,3rd Quintile,West,Does not matter,0.17790,43,182,0.12219,0.23362
1998,3rd Quintile,West,Does not apply/do not (yet) have a job,0.30966,72,182,0.24230,0.37702
1998,3rd Quintile,East,In my current field/ field I was trained in,0.35368,47,137,0.27332,0.43403
1998,3rd Quintile,East,Does not matter,0.35227,48,137,0.27199,0.43256
1998,3rd Quintile,East,Does not apply/do not (yet) have a job,0.22632,42,137,0.15599,0.29664
1998,4th Quintile,West,In my current field/ field I was trained in,0.32498,61,157,0.25148,0.39848
1998,4th Quintile,West,Does not matter,0.19114,31,157,0.12944,0.25284
1998,4th Quintile,West,Does not apply/do not (yet) have a job,0.37123,65,157,0.29541,0.44704
1998,5th Quintile,West,In my current field/ field I was trained in,0.26613,48,108,0.18239,0.34986
1998,5th Quintile,West,Does not apply/do not (yet) have a job,0.38047,60,108,0.28847,0.47246
1999,1st Quintile,West,In my current field/ field I was trained in,0.21088,84,430,0.17228,0.24949
1999,1st Quintile,West,Do something new,0.11552,48,430,0.08527,0.14577
1999,1st Quintile,West,Does not matter,0.29406,130,430,0.25095,0.33718
1999,1st Quintile,West,Does not apply/do not (yet) have a job,0.37954,168,430,0.33361,0.42546
1999,1st Quintile,East,In my current field/ field I was trained in,0.24497,63,241,0.19056,0.29938
1999,1st Quintile,East,Do something new,0.14948,31,241,0.10437,0.19459
1999,1st Quintile,East,Does not matter,0.44930,106,241,0.38636,0.51223
1999,1st Quintile,East,Does not apply/do not (yet) have a job,0.15626,41,241,0.11032,0.20220
1999,2nd Quintile,West,In my current field/ field I was trained in,0.24113,76,310,0.19343,0.28883
1999,2nd Quintile,West,Do something new,0.17007,44,310,0.12818,0.21196
1999,2nd Quintile,West,Does not matter,0.29671,84,310,0.24578,0.34765
1999,2nd Quintile,West,Does not apply/do not (yet) have a job,0.29209,106,310,0.24139,0.34279
1999,2nd Quintile,East,In my current field/ field I was trained in,0.24942,41,135,0.17616,0.32268
1999,2nd Quintile,East,Does not matter,0.36154,56,135,0.28019,0.44289
1999,2nd Quintile,East,Does not apply/do not (yet) have a job,0.23867,38,135,0.16649,0.31084
1999,3rd Quintile,West,In my current field/ field I was trained in,0.37496,84,205,0.30853,0.44139
1999,3rd Quintile,West,Does not matter,0.19845,48,205,0.14372,0.25319
1999,3rd Quintile,West,Does not apply/do not (yet) have a job,0.30566,73,205,0.24244,0.36888
1999,3rd Quintile,East,Does not matter,0.45216,49,80,0.34241,0.56191
1999,3rd Quintile,East,Does not apply/do not (yet) have a job,0.15900,31,80,0.07836,0.23963
1999,4th Quintile,West,In my current field/ field I was trained in,0.30339,53,143,0.22777,0.37900
1999,4th Quintile,West,Does not matter,0.23332,38,143,0.16375,0.30288
1999,4th Quintile,West,Does not apply/do not (yet) have a job,0.29537,52,143,0.22033,0.37040
1999,5th Quintile,West,In my current field/ field I was trained in,0.24841,32,107,0.16615,0.33067
1999,5th Quintile,West,Does not apply/do not (yet) have a job,0.43858,75,107,0.34412,0.53305
2000,1st Quintile,West,In my current field/ field I was trained in,0.22797,96,425,0.18803,0.26790
2000,1st Quintile,West,Do something new,0.11211,42,425,0.08208,0.14214
2000,1st Quintile,West,Does not matter,0.29005,118,425,0.24685,0.33324
2000,1st Quintile,West,Does not apply/do not (yet) have a job,0.36988,169,425,0.32392,0.41583
2000,1st Quintile,East,In my current field/ field I was trained in,0.19550,44,236,0.14479,0.24620
2000,1st Quintile,East,Do something new,0.19950,38,236,0.14841,0.25060
2000,1st Quintile,East,Does not matter,0.42187,108,236,0.35873,0.48501
2000,1st Quintile,East,Does not apply/do not (yet) have a job,0.18313,46,236,0.13368,0.23258
2000,2nd Quintile,West,In my current field/ field I was trained in,0.26419,79,290,0.21336,0.31502
2000,2nd Quintile,West,Do something new,0.14945,36,290,0.10834,0.19056
2000,2nd Quintile,West,Does not matter,0.22813,70,290,0.17975,0.27651
2000,2nd Quintile,West,Does not apply/do not (yet) have a job,0.35823,105,290,0.30295,0.41351
2000,2nd Quintile,East,In my current field/ field I was trained in,0.26220,45,151,0.19181,0.33258
2000,2nd Quintile,East,Does not matter,0.40448,64,151,0.32594,0.48303
2000,2nd Quintile,East,Does not apply/do not (yet) have a job,0.24285,42,151,0.17423,0.31148
2000,3rd Quintile,West,In my current field/ field I was trained in,0.31540,70,220,0.25385,0.37694
2000,3rd Quintile,West,Do something new,0.17000,32,220,0.12025,0.21975
2000,3rd Quintile,West,Does not matter,0.16543,48,220,0.11622,0.21465
2000,3rd Quintile,West,Does not apply/do not (yet) have a job,0.34917,70,220,0.28603,0.41230
2000,3rd Quintile,East,In my current field/ field I was trained in,0.34204,41,120,0.25681,0.42728
2000,3rd Quintile,East,Does not matter,0.35359,43,120,0.26770,0.43949
2000,3rd Quintile,East,Does not apply/do not (yet) have a job,0.22081,36,120,0.14628,0.29533
2000,4th Quintile,West,In my current field/ field I was trained in,0.31881,54,114,0.23288,0.40473
2000,4th Quintile,West,Does not apply/do not (yet) have a job,0.33437,60,114,0.24739,0.42136
2000,5th Quintile,West,In my current field/ field I was trained in,0.26630,49,123,0.18786,0.34474
2000,5th Quintile,West,Does not apply/do not (yet) have a job,0.43281,74,123,0.34489,0.52073
2001,1st Quintile,West,In my current field/ field I was trained in,0.26446,151,642,0.23032,0.29861
2001,1st Quintile,West,Do something new,0.13139,89,642,0.10524,0.15755
2001,1st Quintile,West,Does not matter,0.24043,159,642,0.20735,0.27351
2001,1st Quintile,West,Does not apply/do not (yet) have a job,0.36371,243,642,0.32647,0.40096
2001,1st Quintile,East,In my current field/ field I was trained in,0.16683,61,362,0.12837,0.20529
2001,1st Quintile,East,Do something new,0.17414,52,362,0.13502,0.21326
2001,1st Quintile,East,Does not matter,0.49642,182,362,0.44485,0.54800
2001,1st Quintile,East,Does not apply/do not (yet) have a job,0.16260,67,362,0.12454,0.20067
2001,2nd Quintile,West,In my current field/ field I was trained in,0.27209,136,472,0.23190,0.31228
2001,2nd Quintile,West,Do something new,0.15829,68,472,0.12532,0.19125
2001,2nd Quintile,West,Does not matter,0.25439,109,472,0.21506,0.29373
2001,2nd Quintile,West,Does not apply/do not (yet) have a job,0.31523,159,472,0.27327,0.35719
2001,2nd Quintile,East,In my current field/ field I was trained in,0.24877,56,226,0.19229,0.30526
2001,2nd Quintile,East,Do something new,0.19484,34,226,0.14309,0.24660
2001,2nd Quintile,East,Does not matter,0.32040,75,226,0.25943,0.38137
2001,2nd Quintile,East,Does not apply/do not (yet) have a job,0.23599,61,226,0.18050,0.29147
2001,3rd Quintile,West,In my current field/ field I was trained in,0.31808,117,367,0.27037,0.36580
2001,3rd Quintile,West,Do something new,0.12357,48,367,0.08985,0.15729
2001,3rd Quintile,West,Does not matter,0.24282,75,367,0.19889,0.28675
2001,3rd Quintile,West,Does not apply/do not (yet) have a job,0.31553,127,367,0.26792,0.36314
2001,3rd Quintile,East,In my current field/ field I was trained in,0.28851,43,136,0.21208,0.36494
2001,3rd Quintile,East,Does not matter,0.33089,49,136,0.25152,0.41026
2001,3rd Quintile,East,Does not apply/do not (yet) have a job,0.23071,44,136,0.15964,0.30178
2001,4th Quintile,West,In my current field/ field I was trained in,0.31231,101,341,0.26305,0.36157
2001,4th Quintile,West,Do something new,0.11936,43,341,0.08490,0.15383
2001,4th Quintile,West,Does not matter,0.18120,63,341,0.14026,0.22214
2001,4th Quintile,West,Does not apply/do not (yet) have a job,0.38712,134,341,0.33535,0.43890
2001,4th Quintile,East,In my current field/ field I was trained in,0.33559,32,96,0.24063,0.43054
2001,4th Quintile,East,Does not matter,0.28698,31,96,0.19602,0.37795
2001,4th Quintile,East,Does not apply/do not (yet) have a job,0.27731,33,96,0.18728,0.36733
2001,5th Quintile,West,In my current field/ field I was trained in,0.37836,102,282,0.32165,0.43506
2001,5th Quintile,West,Do something new,0.14955,37,282,0.10785,0.19125
2001,5th Quintile,West,Does not matter,0.15481,44,282,0.11251,0.19710
2001,5th Quintile,West,Does not apply/do not (yet) have a job,0.31729,99,282,0.26287,0.37171
2003,1st Quintile,West,In my current field/ field I was trained in,0.19259,120,598,0.16095,0.22422
2003,1st Quintile,West,Do something new,0.09840,62,598,0.07450,0.12229
2003,1st Quintile,West,Does not matter,0.35025,201,598,0.31199,0.38852
2003,1st Quintile,West,Does not apply/do not (yet) have a job,0.35876,215,598,0.32029,0.39724
2003,1st Quintile,East,In my current field/ field I was trained in,0.14621,53,361,0.10971,0.18270
2003,1st Quintile,East,Do something new,0.12398,44,361,0.08994,0.15802
2003,1st Quintile,East,Does not matter,0.51693,186,361,0.46531,0.56855
2003,1st Quintile,East,Does not apply/do not (yet) have a job,0.21289,78,361,0.17060,0.25517
2003,2nd Quintile,West,In my current field/ field I was trained in,0.28495,99,394,0.24032,0.32958
2003,2nd Quintile,West,Do something new,0.15062,56,394,0.11525,0.18598
2003,2nd Quintile,West,Does not matter,0.29497,112,394,0.24988,0.34006
2003,2nd Quintile,West,Does not apply/do not (yet) have a job,0.26947,127,394,0.22560,0.31333
2003,2nd Quintile,East,In my current field/ field I was trained in,0.21736,50,203,0.16048,0.27424
2003,2nd Quintile,East,Does not matter,0.40204,95,203,0.33443,0.46966
2003,2nd Quintile,East,Does not apply/do not (yet) have a job,0.23086,58,203,0.17274,0.28897
2003,3rd Quintile,West,In my current field/ field I was trained in,0.30007,84,333,0.25077,0.34937
2003,3rd Quintile,West,Do something new,0.13062,41,333,0.09437,0.16687
2003,3rd Quintile,West,Does not matter,0.26831,85,333,0.22065,0.31597
2003,3rd Quintile,West,Does not apply/do not (yet) have a job,0.30100,123,333,0.25166,0.35034
2003,3rd Quintile,East,In my current field/ field I was trained in,0.32580,51,149,0.25029,0.40131
2003,3rd Quintile,East,Does not matter,0.30636,55,149,0.23209,0.38063
2003,3rd Quintile,East,Does not apply/do not (yet) have a job,0.25428,43,149,0.18412,0.32444
2003,4th Quintile,West,In my current field/ field I was trained in,0.29383,97,361,0.24677,0.34088
2003,4th Quintile,West,Do something new,0.11021,33,361,0.07786,0.14256
2003,4th Quintile,West,Does not matter,0.27555,81,361,0.22939,0.32170
2003,4th Quintile,West,Does not apply/do not (yet) have a job,0.32041,150,361,0.27221,0.36861
2003,4th Quintile,East,Does not apply/do not (yet) have a job,0.26625,39,39,0.12572,0.40679
2003,5th Quintile,West,In my current field/ field I was trained in,0.23386,108,456,0.19497,0.27276
2003,5th Quintile,West,Do something new,0.13065,53,456,0.09968,0.16161
2003,5th Quintile,West,Does not matter,0.21030,82,456,0.17286,0.24775
2003,5th Quintile,West,Does not apply/do not (yet) have a job,0.42519,213,456,0.37976,0.47061
2003,5th Quintile,East,Does not apply/do not (yet) have a job,0.31440,42,42,0.17229,0.45652
2005,1st Quintile,West,In my current field/ field I was trained in,0.20180,91,509,0.16690,0.23670
2005,1st Quintile,West,Do something new,0.09322,43,509,0.06794,0.11850
2005,1st Quintile,West,Does not matter,0.39622,200,509,0.35369,0.43876
2005,1st Quintile,West,Does not apply/do not (yet) have a job,0.30876,175,509,0.26858,0.34893
2005,1st Quintile,East,In my current field/ field I was trained in,0.14884,55,375,0.11277,0.18492
2005,1st Quintile,East,Do something new,0.11173,40,375,0.07980,0.14366
2005,1st Quintile,East,Does not matter,0.54651,204,375,0.49605,0.59696
2005,1st Quintile,East,Does not apply/do not (yet) have a job,0.19292,76,375,0.15293,0.23291
2005,2nd Quintile,West,In my current field/ field I was trained in,0.18823,65,301,0.14399,0.23246
2005,2nd Quintile,West,Does not matter,0.36083,118,301,0.30649,0.41518
2005,2nd Quintile,West,Does not apply/do not (yet) have a job,0.38087,118,301,0.32592,0.43582
2005,2nd Quintile,East,Does not matter,0.52965,110,165,0.45326,0.60604
2005,2nd Quintile,East,Does not apply/do not (yet) have a job,0.24115,55,165,0.17568,0.30662
2005,3rd Quintile,West,In my current field/ field I was trained in,0.29080,81,279,0.23742,0.34418
2005,3rd Quintile,West,Does not matter,0.26216,83,279,0.21046,0.31387
2005,3rd Quintile,West,Does not apply/do not (yet) have a job,0.35261,115,279,0.29644,0.40877
2005,3rd Quintile,East,Does not matter,0.47530,48,82,0.36655,0.58406
2005,3rd Quintile,East,Does not apply/do not (yet) have a job,0.21724,34,82,0.12743,0.30704
2005,4th Quintile,West,In my current field/ field I was trained in,0.21750,53,226,0.16359,0.27140
2005,4th Quintile,West,Does not matter,0.29122,70,226,0.23186,0.35059
2005,4th Quintile,West,Does not apply/do not (yet) have a job,0.39837,103,226,0.33440,0.46234
2005,5th Quintile,West,In my current field/ field I was trained in,0.21234,74,339,0.16874,0.25593
2005,5th Quintile,West,Do something new,0.13042,37,339,0.09452,0.16632
2005,5th Quintile,West,Does not matter,0.23671,66,339,0.19140,0.28203
2005,5th Quintile,West,Does not apply/do not (yet) have a job,0.42053,162,339,0.36790,0.47316
2007,1st Quintile,West,In my current field/ field I was trained in,0.16554,90,562,0.13479,0.19630
2007,1st Quintile,West,Do something new,0.10015,54,562,0.07531,0.12499
2007,1st Quintile,West,Does not matter,0.35325,206,562,0.31370,0.39280
2007,1st Quintile,West,Does not apply/do not (yet) have a job,0.38106,212,562,0.34087,0.42124
2007,1st Quintile,East,In my current field/ field I was trained in,0.17150,52,340,0.13137,0.21163
2007,1st Quintile,East,Do something new,0.11669,38,340,0.08251,0.15086
2007,1st Quintile,East,Does not matter,0.53691,191,340,0.48383,0.58999
2007,1st Quintile,East,Does not apply/do not (yet) have a job,0.17490,59,340,0.13446,0.21534
2007,2nd Quintile,West,In my current field/ field I was trained in,0.17239,66,339,0.13212,0.21266
2007,2nd Quintile,West,Do something new,0.12593,41,339,0.09056,0.16130
2007,2nd Quintile,West,Does not matter,0.34721,116,339,0.29646,0.39797
2007,2nd Quintile,West,Does not apply/do not (yet) have a job,0.35447,116,339,0.30347,0.40547
2007,2nd Quintile,East,In my current field/ field I was trained in,0.20913,34,140,0.14152,0.27674
2007,2nd Quintile,East,Does not matter,0.49121,73,140,0.40810,0.57432
2007,2nd Quintile,East,Does not apply/do not (yet) have a job,0.20538,33,140,0.13822,0.27254
2007,3rd Quintile,West,In my current field/ field I was trained in,0.24886,76,259,0.19611,0.30162
2007,3rd Quintile,West,Does not matter,0.30894,77,259,0.25256,0.36533
2007,3rd Quintile,West,Does not apply/do not (yet) have a job,0.32447,106,259,0.26734,0.38160
2007,3rd Quintile,East,Does not matter,0.47548,39,77,0.36321,0.58776
2007,3rd Quintile,East,Does not apply/do not (yet) have a job,0.34423,38,77,0.23741,0.45105
2007,4th Quintile,West,In my current field/ field I was trained in,0.31580,84,273,0.26056,0.37104
2007,4th Quintile,West,Does not matter,0.31374,79,273,0.25860,0.36889
2007,4th Quintile,West,Does not apply/do not (yet) have a job,0.26401,110,273,0.21162,0.31640
2007,4th Quintile,East,Does not apply/do not (yet) have a job,0.40176,41,41,0.24982,0.55369
2007,5th Quintile,West,In my current field/ field I was trained in,0.21646,69,332,0.17209,0.26082
2007,5th Quintile,West,Do something new,0.10547,35,332,0.07238,0.13856
2007,5th Quintile,West,Does not matter,0.25147,65,332,0.20473,0.29821
2007,5th Quintile,West,Does not apply/do not (yet) have a job,0.42661,163,332,0.37333,0.47989
2009,1st Quintile,West,In my current field/ field I was trained in,0.15730,78,470,0.12435,0.19026
2009,1st Quintile,West,Do something new,0.08105,43,470,0.05635,0.10575
2009,1st Quintile,West,Does not matter,0.36394,170,470,0.32040,0.40749
2009,1st Quintile,West,Does not apply/do not (yet) have a job,0.39771,179,470,0.35341,0.44200
2009,1st Quintile,East,In my current field/ field I was trained in,0.14387,35,274,0.10223,0.18550
2009,1st Quintile,East,Do something new,0.11932,32,274,0.08087,0.15777
2009,1st Quintile,East,Does not matter,0.58217,159,274,0.52367,0.64068
2009,1st Quintile,East,Does not apply/do not (yet) have a job,0.15464,48,274,0.11175,0.19753
2009,2nd Quintile,West,In my current field/ field I was trained in,0.25460,64,263,0.20185,0.30735
2009,2nd Quintile,West,Do something new,0.14060,34,263,0.09851,0.18269
2009,2nd Quintile,West,Does not matter,0.30935,81,263,0.25338,0.36532
2009,2nd Quintile,West,Does not apply/do not (yet) have a job,0.29546,84,263,0.24021,0.35071
2009,2nd Quintile,East,In my current field/ field I was trained in,0.33753,35,86,0.23700,0.43805
2009,2nd Quintile,East,Does not matter,0.27480,51,86,0.17990,0.36971
2009,3rd Quintile,West,In my current field/ field I was trained in,0.29424,62,205,0.23170,0.35677
2009,3rd Quintile,West,Does not matter,0.29186,62,205,0.22948,0.35425
2009,3rd Quintile,West,Does not apply/do not (yet) have a job,0.31764,81,205,0.25375,0.38152
2009,3rd Quintile,East,Does not matter,0.35630,36,36,0.19764,0.51496
2009,4th Quintile,West,In my current field/ field I was trained in,0.23082,67,224,0.17551,0.28612
2009,4th Quintile,West,Does not matter,0.33367,60,224,0.27178,0.39556
2009,4th Quintile,West,Does not apply/do not (yet) have a job,0.33751,97,224,0.27545,0.39958
2009,5th Quintile,West,In my current field/ field I was trained in,0.23364,63,235,0.17942,0.28785
2009,5th Quintile,West,Does not matter,0.20579,51,235,0.15399,0.25759
2009,5th Quintile,West,Does not apply/do not (yet) have a job,0.47888,121,235,0.41487,0.54289
2011,1st Quintile,West,In my current field/ field I was trained in,0.18099,67,357,0.14099,0.22098
2011,1st Quintile,West,Do something new,0.13740,38,357,0.10163,0.17316
2011,1st Quintile,West,Does not matter,0.36482,125,357,0.31482,0.41483
2011,1st Quintile,West,Does not apply/do not (yet) have a job,0.31679,127,357,0.26846,0.36512
2011,1st Quintile,East,In my current field/ field I was trained in,0.17661,34,209,0.12479,0.22844
2011,1st Quintile,East,Do something new,0.15405,33,209,0.10499,0.20311
2011,1st Quintile,East,Does not matter,0.49266,106,209,0.42471,0.56060
2011,1st Quintile,East,Does not apply/do not (yet) have a job,0.17668,36,209,0.12485,0.22851
2011,2nd Quintile,West,In my current field/ field I was trained in,0.17213,37,184,0.11744,0.22683
2011,2nd Quintile,West,Does not matter,0.33342,73,184,0.26512,0.40173
2011,2nd Quintile,West,Does not apply/do not (yet) have a job,0.35783,74,184,0.28838,0.42729
2011,2nd Quintile,East,Does not matter,0.33399,34,34,0.17307,0.49491
2011,3rd Quintile,West,In my current field/ field I was trained in,0.27492,55,179,0.20933,0.34051
2011,3rd Quintile,West,Does not matter,0.30639,47,179,0.23867,0.37412
2011,3rd Quintile,West,Does not apply/do not (yet) have a job,0.28285,77,179,0.21668,0.34901
2011,4th Quintile,West,In my current field/ field I was trained in,0.26831,63,181,0.20358,0.33304
2011,4th Quintile,West,Does not matter,0.15561,38,181,0.10266,0.20857
2011,4th Quintile,West,Does not apply/do not (yet) have a job,0.48721,80,181,0.41419,0.56023
2011,5th Quintile,West,In my current field/ field I was trained in,0.21460,46,186,0.15544,0.27376
2011,5th Quintile,West,Does not matter,0.18437,45,186,0.12849,0.24025
2011,5th Quintile,West,Does not apply/do not (yet) have a job,0.49109,95,186,0.41905,0.56313
2013,1st Quintile,West,In my current field/ field I was trained in,0.19138,95,515,0.15737,0.22539
2013,1st Quintile,West,Do something new,0.17980,81,515,0.14660,0.21300
2013,1st Quintile,West,Does not matter,0.32233,166,515,0.28192,0.36273
2013,1st Quintile,West,Does not apply/do not (yet) have a job,0.30649,173,515,0.26663,0.34635
2013,1st Quintile,East,In my current field/ field I was trained in,0.16336,42,267,0.11894,0.20779
2013,1st Quintile,East,Do something new,0.09956,38,267,0.06358,0.13555
2013,1st Quintile,East,Does not matter,0.56818,138,267,0.50865,0.62771
2013,1st Quintile,East,Does not apply/do not (yet) have a job,0.16889,49,267,0.12387,0.21391
2013,2nd Quintile,West,In my current field/ field I was trained in,0.23771,75,283,0.18803,0.28740
2013,2nd Quintile,West,Do something new,0.17343,38,283,0.12924,0.21762
