year,quintil_oecd,pgpsbil,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1994,5th Quintile,Other Degree,0.02893617021276596,16642,0.026389353291784552,0.031482987133747364
1994,5th Quintile,"Dropout, No School Degree",0.016595744680851062,16642,0.014654779580937584,0.01853670978076454
1994,5th Quintile,No School Degree Yet,0.012340425531914894,16642,0.010663081995740132,0.014017769068089657
1994,5th Quintile,No School Attended,0.001702127659574468,16642,0.0010758319309424392,0.002328423388206497
1995,1st Quintile,Secondary School Degree,0.44779771615008157,17246,0.4403760414154828,0.45521939088468033
1995,1st Quintile,Intermediate School Degree,0.20595432300163133,17246,0.19991872814952066,0.211989917853742
1995,1st Quintile,Other Degree,0.15456769983686786,17246,0.14917246105178977,0.15996293862194594
1995,1st Quintile,Upper Secondary Degree,0.06892332789559544,17246,0.06514249291286985,0.07270416287832103
1995,1st Quintile,"Dropout, No School Degree",0.06239804241435563,17246,0.058788047287327644,0.06600803754138361
1995,1st Quintile,No School Degree Yet,0.026508972267536703,17246,0.024111385668862288,0.02890655886621112
1995,1st Quintile,No School Attended,0.020799347471451877,17246,0.018669381904404703,0.02292931303849905
1995,1st Quintile,Technical School Degree,0.013050570962479609,17246,0.011356724323254049,0.01474441760170517
1995,2nd Quintile,Secondary School Degree,0.4464414090582315,17246,0.43902188729330743,0.45386093082315554
1995,2nd Quintile,Intermediate School Degree,0.2728253055355859,17246,0.26617757228978606,0.2794730387813858
1995,2nd Quintile,Other Degree,0.10460100647016535,17246,0.10003340595696568,0.10916860698336502
1995,2nd Quintile,Upper Secondary Degree,0.07620416966211359,17246,0.07224422381474613,0.08016411550948105
1995,2nd Quintile,"Dropout, No School Degree",0.053199137311286844,17246,0.049849533069699366,0.05654874155287432
1995,2nd Quintile,No School Degree Yet,0.02228612508986341,17246,0.02008302082307976,0.024489229356647057
1995,2nd Quintile,Technical School Degree,0.013299784327821711,17246,0.011590057244673439,0.015009511410969983
1995,2nd Quintile,No School Attended,0.011143062544931704,17246,0.009576380389116007,0.012709744700747401
1995,3rd Quintile,Secondary School Degree,0.43191248585439457,17246,0.4245195424418373,0.4393054292669518
1995,3rd Quintile,Intermediate School Degree,0.3002640513013957,17246,0.2934228771899597,0.30710522541283175
1995,3rd Quintile,Upper Secondary Degree,0.0999622783855149,17246,0.09548555449488913,0.10443900227614067
1995,3rd Quintile,Other Degree,0.08525084873632592,17246,0.08108299716845732,0.08941870030419452
1995,3rd Quintile,"Dropout, No School Degree",0.03017729158807997,17246,0.027624013109805008,0.03273057006635493
1995,3rd Quintile,No School Degree Yet,0.025273481705016976,17246,0.022930948213596654,0.027616015196437298
1995,3rd Quintile,Technical School Degree,0.023387400980761978,17246,0.021131790921605276,0.02564301103991868
1995,3rd Quintile,No School Attended,0.003772161448509996,17246,0.0028572346396061317,0.00468708825741386
1995,4th Quintile,Secondary School Degree,0.42346153846153844,17246,0.41608703118619184,0.43083604573688505
1995,4th Quintile,Intermediate School Degree,0.30538461538461537,17246,0.2985106450001959,0.3122585857690348
1995,4th Quintile,Upper Secondary Degree,0.13307692307692306,17246,0.1280075583604181,0.13814628779342802
1995,4th Quintile,Other Degree,0.065,17246,0.061320622364543456,0.06867937763545655
1995,4th Quintile,Technical School Degree,0.031153846153846153,17246,0.028560890282661937,0.03374680202503037
1995,4th Quintile,"Dropout, No School Degree",0.02346153846153846,17246,0.021202441869350264,0.025720635053726657
1995,4th Quintile,No School Degree Yet,0.015384615384615385,17246,0.013547702709809662,0.01722152805942111
1995,4th Quintile,No School Attended,0.003076923076923077,17246,0.0022503123732605015,0.0039035337805856524
1995,5th Quintile,Secondary School Degree,0.3333333333333333,17246,0.32629766070231897,0.34036900596434766
1995,5th Quintile,Intermediate School Degree,0.3010351966873706,17246,0.2941890189175925,0.3078813744571487
1995,5th Quintile,Upper Secondary Degree,0.23809523809523808,17246,0.23173845227086246,0.2444520239196137
1995,5th Quintile,Technical School Degree,0.05300207039337474,17246,0.04965832799140008,0.0563458127953494
1995,5th Quintile,Other Degree,0.038923395445134575,17246,0.0360367314031749,0.04181005948709425
1995,5th Quintile,No School Degree Yet,0.01904761904761905,17246,0.01700749680134329,0.021087741293894808
1995,5th Quintile,"Dropout, No School Degree",0.014492753623188406,17246,0.01270907237713083,0.016276434869245984
1995,5th Quintile,No School Attended,0.002070393374741201,17246,0.0013919895795265307,0.0027487971699558713
1996,1st Quintile,Secondary School Degree,0.4331967213114754,16862,0.4257174328015863,0.4406760098213645
1996,1st Quintile,Intermediate School Degree,0.2192622950819672,16862,0.21301724272774655,0.22550734743618786
1996,1st Quintile,Other Degree,0.15245901639344261,16862,0.14703328312682165,0.15788474966006358
1996,1st Quintile,Upper Secondary Degree,0.07131147540983607,16862,0.0674271439752645,0.07519580684440763
1996,1st Quintile,"Dropout, No School Degree",0.061885245901639345,16862,0.05824841530160776,0.06552207650167093
1996,1st Quintile,No School Degree Yet,0.02663934426229508,16862,0.024208818728847458,0.029069869795742703
1996,1st Quintile,No School Attended,0.020081967213114754,16862,0.01796458368313366,0.02219935074309585
1996,1st Quintile,Technical School Degree,0.015163934426229509,16862,0.013319388597523508,0.01700848025493551
1996,2nd Quintile,Secondary School Degree,0.44369114877589455,16862,0.4361922084725007,0.4511900890792884
1996,2nd Quintile,Intermediate School Degree,0.2806026365348399,16862,0.2738210419485533,0.28738423112112654
1996,2nd Quintile,Other Degree,0.10772128060263654,16862,0.10304174721343626,0.11240081399183682
1996,2nd Quintile,Upper Secondary Degree,0.0696798493408663,16862,0.06583684084753991,0.07352285783419268
1996,2nd Quintile,"Dropout, No School Degree",0.04821092278719397,16862,0.044977633158144285,0.05144421241624366
1996,2nd Quintile,No School Degree Yet,0.02598870056497175,16862,0.023587238066145114,0.028390163063798386
1996,2nd Quintile,Technical School Degree,0.014689265536723164,16862,0.012873381224075739,0.016505149849370588
1996,2nd Quintile,No School Attended,0.009416195856873822,16862,0.007958439707769467,0.010873952005978177
1996,3rd Quintile,Secondary School Degree,0.45023148148148145,16862,0.44272200966201203,0.4577409533009509
1996,3rd Quintile,Intermediate School Degree,0.3097993827160494,16862,0.3028197997413886,0.3167789656907102
1996,3rd Quintile,Upper Secondary Degree,0.0933641975308642,16862,0.08897274547355877,0.09775564958816962
1996,3rd Quintile,Other Degree,0.07253086419753087,16862,0.06861603617848636,0.07644569221657538
1996,3rd Quintile,"Dropout, No School Degree",0.02970679012345679,16862,0.027144189727249305,0.03226939051966428
1996,3rd Quintile,No School Degree Yet,0.021604938271604937,16862,0.019410440370618894,0.02379943617259098
1996,3rd Quintile,Technical School Degree,0.01890432098765432,16862,0.016848725045113803,0.02095991693019484
1996,3rd Quintile,No School Attended,0.0038580246913580245,16862,0.002922307409369928,0.004793741973346121
1996,4th Quintile,Secondary School Degree,0.4246107102164831,16862,0.41715003923315946,0.43207138119980676
1996,4th Quintile,Intermediate School Degree,0.30079756931257123,16862,0.2938754328800081,0.30771970574513435
1996,4th Quintile,Upper Secondary Degree,0.14356247626281807,16862,0.13826986687503676,0.14885508565059938
1996,4th Quintile,Other Degree,0.05582985187998481,16862,0.052364399788334556,0.05929530397163506
1996,4th Quintile,Technical School Degree,0.03114318268135207,16862,0.028521302593555328,0.03376506276914881
1996,4th Quintile,"Dropout, No School Degree",0.02278769464489176,16862,0.020535291173173653,0.025040098116609864
1996,4th Quintile,No School Degree Yet,0.0186099506266616,16862,0.016570115977999747,0.020649785275323455
1996,4th Quintile,No School Attended,0.002658564375237372,16862,0.0018813388578465097,0.003435789892628234
1996,5th Quintile,Secondary School Degree,0.31479897348160824,16862,0.3077888255123824,0.32180912145083407
1996,5th Quintile,Intermediate School Degree,0.3023952095808383,16862,0.2954626484241178,0.30932777073755885
1996,5th Quintile,Upper Secondary Degree,0.2536355859709153,16862,0.24706835812122319,0.2602028138206074
1996,5th Quintile,Technical School Degree,0.05603079555175364,16862,0.05255948205839581,0.05950210904511147
1996,5th Quintile,Other Degree,0.03934987168520103,16862,0.03641522507066507,0.04228451829973699
1996,5th Quintile,No School Degree Yet,0.0213857998289136,16862,0.019202215170855817,0.023569384486971386
1996,5th Quintile,"Dropout, No School Degree",0.011120615911035072,16862,0.009537773745743536,0.012703458076326609
1996,5th Quintile,No School Attended,0.0012831479897348161,16862,0.0007428154878380233,0.0018234804916316088
1997,1st Quintile,Secondary School Degree,0.4457567804024497,16487,0.43816952985277224,0.45334403095212716
1997,1st Quintile,Intermediate School Degree,0.21478565179352582,16487,0.20851688665936868,0.22105441692768296
1997,1st Quintile,Other Degree,0.14960629921259844,16487,0.1441616461719404,0.15505095225325646
1997,1st Quintile,Upper Secondary Degree,0.06430446194225722,16487,0.06056014083591784,0.0680487830485966
1997,1st Quintile,"Dropout, No School Degree",0.06124234470691164,16487,0.057582287251502814,0.06490240216232046
1997,1st Quintile,No School Degree Yet,0.031496062992125984,16487,0.028830038819460994,0.03416208716479097
1997,1st Quintile,No School Attended,0.016622922134733157,16487,0.014671285426744209,0.018574558842722105
1997,1st Quintile,Technical School Degree,0.016185476815398076,16487,0.014259262456012113,0.01811169117478404
1997,2nd Quintile,Secondary School Degree,0.4424943988050784,16487,0.4349127483336441,0.45007604927651274
1997,2nd Quintile,Intermediate School Degree,0.2890216579536968,16487,0.28210209552236803,0.2959412203850255
