"pgpsbil","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Fachhochschulreife","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Bayern","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Saarland","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Berlin","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Sachsen","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Fachhochschulreife","1984","(noch) kein Abschluss","Thueringen","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Schleswig-Holstein","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Hamburg","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Niedersachsen","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Bremen","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Nordrhein-Westfalen","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Hessen","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Baden-Wuerttemberg","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Bayern","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Saarland","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Berlin","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Brandenburg","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Sachsen","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"Fachhochschulreife","1984","Hauptschulabschluss","Thueringen","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Schleswig-Holstein","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Hamburg","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Niedersachsen","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Bremen","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Nordrhein-Westfalen","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Hessen","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Baden-Wuerttemberg","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Bayern","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Saarland","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Berlin","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Brandenburg","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Sachsen","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Sachsen-Anhalt","","","",""
"Fachhochschulreife","1984","Realschulabschluss","Thueringen","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Hamburg","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Niedersachsen","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Bremen","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Nordrhein-Westfalen","71","0.307351007967063","0.251375020779212","0.363326995154913"
"Fachhochschulreife","1984","(Fach-)Abitur","Hessen","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Baden-Wuerttemberg","35","0.351578923040306","0.271333806123129","0.431824039957483"
"Fachhochschulreife","1984","(Fach-)Abitur","Bayern","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Saarland","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Berlin","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Brandenburg","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Sachsen","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Fachhochschulreife","1984","(Fach-)Abitur","Thueringen","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Schleswig-Holstein","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Hamburg","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Niedersachsen","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Bremen","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Nordrhein-Westfalen","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Hessen","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Rheinland-Pfalz,Saarland","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Baden-Wuerttemberg","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Bayern","30","0.208365806009928","0.144836551009676","0.271895061010181"
"Fachhochschulreife","1984","AkademikerInnen","Saarland","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Berlin","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Brandenburg","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Mecklenburg-Vorpommern","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Sachsen","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Sachsen-Anhalt","","","",""
"Fachhochschulreife","1984","AkademikerInnen","Thueringen","","","",""
"Abitur","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Abitur","1984","(noch) kein Abschluss","Hamburg","","","",""
"Abitur","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"Abitur","1984","(noch) kein Abschluss","Bremen","","","",""
"Abitur","1984","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Abitur","1984","(noch) kein Abschluss","Hessen","","","",""
"Abitur","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Abitur","1984","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Abitur","1984","(noch) kein Abschluss","Bayern","","","",""
"Abitur","1984","(noch) kein Abschluss","Saarland","","","",""
"Abitur","1984","(noch) kein Abschluss","Berlin","","","",""
"Abitur","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Abitur","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Abitur","1984","(noch) kein Abschluss","Sachsen","","","",""
"Abitur","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Abitur","1984","(noch) kein Abschluss","Thueringen","","","",""
"Abitur","1984","Hauptschulabschluss","Schleswig-Holstein","","","",""
"Abitur","1984","Hauptschulabschluss","Hamburg","","","",""
"Abitur","1984","Hauptschulabschluss","Niedersachsen","","","",""
"Abitur","1984","Hauptschulabschluss","Bremen","","","",""
"Abitur","1984","Hauptschulabschluss","Nordrhein-Westfalen","","","",""
"Abitur","1984","Hauptschulabschluss","Hessen","","","",""
"Abitur","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"Abitur","1984","Hauptschulabschluss","Baden-Wuerttemberg","","","",""
"Abitur","1984","Hauptschulabschluss","Bayern","","","",""
"Abitur","1984","Hauptschulabschluss","Saarland","","","",""
"Abitur","1984","Hauptschulabschluss","Berlin","","","",""
"Abitur","1984","Hauptschulabschluss","Brandenburg","","","",""
"Abitur","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"Abitur","1984","Hauptschulabschluss","Sachsen","","","",""
"Abitur","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"Abitur","1984","Hauptschulabschluss","Thueringen","","","",""
"Abitur","1984","Realschulabschluss","Schleswig-Holstein","","","",""
"Abitur","1984","Realschulabschluss","Hamburg","","","",""
"Abitur","1984","Realschulabschluss","Niedersachsen","","","",""
"Abitur","1984","Realschulabschluss","Bremen","","","",""
"Abitur","1984","Realschulabschluss","Nordrhein-Westfalen","","","",""
"Abitur","1984","Realschulabschluss","Hessen","","","",""
"Abitur","1984","Realschulabschluss","Rheinland-Pfalz,Saarland","","","",""
