year,pgisced97,quintil_oecd,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,First Stage of Tertiary Education,3rd Quintile,Secondary School Degree,0.50009,55,87,0.39441,0.60577
1985,First Stage of Tertiary Education,3rd Quintile,Intermediate School Degree,0.28532,32,87,0.18988,0.38076
1985,First Stage of Tertiary Education,4th Quintile,Secondary School Degree,0.48532,76,123,0.39663,0.57400
1985,First Stage of Tertiary Education,4th Quintile,Intermediate School Degree,0.31177,47,123,0.22957,0.39397
1985,First Stage of Tertiary Education,5th Quintile,Secondary School Degree,0.41509,85,157,0.33776,0.49241
1985,First Stage of Tertiary Education,5th Quintile,Intermediate School Degree,0.30935,72,157,0.23681,0.38188
1985,Second Stage of Tertiary Education,2nd Quintile,Upper Secondary Degree,0.58271,31,31,0.40625,0.75917
1985,Second Stage of Tertiary Education,3rd Quintile,Upper Secondary Degree,0.63384,61,61,0.51194,0.75574
1985,Second Stage of Tertiary Education,4th Quintile,Upper Secondary Degree,0.72699,123,123,0.64793,0.80604
1985,Second Stage of Tertiary Education,5th Quintile,Intermediate School Degree,0.08372,31,340,0.05424,0.11321
1985,Second Stage of Tertiary Education,5th Quintile,Technical School Degree,0.18205,61,340,0.14097,0.22313
1985,Second Stage of Tertiary Education,5th Quintile,Upper Secondary Degree,0.69054,248,340,0.64133,0.73975
1986,Primary Level,1st Quintile,"Dropout, No School Degree",0.68519,186,248,0.62727,0.74311
1986,Primary Level,1st Quintile,No School Attended,0.14742,62,248,0.10321,0.19163
1986,Primary Level,2nd Quintile,"Dropout, No School Degree",0.69946,138,182,0.63266,0.76626
1986,Primary Level,2nd Quintile,No School Attended,0.15775,44,182,0.10465,0.21086
1986,Primary Level,3rd Quintile,"Dropout, No School Degree",0.74946,113,113,0.66921,0.82971
1986,Primary Level,4th Quintile,"Dropout, No School Degree",0.85558,101,101,0.78669,0.92448
1986,Primary Level,5th Quintile,"Dropout, No School Degree",0.87019,43,43,0.76854,0.97184
1986,Lower Secondary Level,1st Quintile,Secondary School Degree,0.83067,506,766,0.80410,0.85725
1986,Lower Secondary Level,1st Quintile,Intermediate School Degree,0.11696,83,766,0.09419,0.13974
1986,Lower Secondary Level,1st Quintile,Other Degree,0.05237,177,766,0.03658,0.06815
1986,Lower Secondary Level,2nd Quintile,Secondary School Degree,0.83393,483,702,0.80638,0.86148
1986,Lower Secondary Level,2nd Quintile,Intermediate School Degree,0.12056,81,702,0.09646,0.14467
1986,Lower Secondary Level,2nd Quintile,Other Degree,0.04551,138,702,0.03008,0.06094
1986,Lower Secondary Level,3rd Quintile,Secondary School Degree,0.74617,381,607,0.71152,0.78082
1986,Lower Secondary Level,3rd Quintile,Intermediate School Degree,0.21363,111,607,0.18100,0.24627
1986,Lower Secondary Level,3rd Quintile,Other Degree,0.04019,115,607,0.02456,0.05583
1986,Lower Secondary Level,4th Quintile,Secondary School Degree,0.71307,309,507,0.67366,0.75249
1986,Lower Secondary Level,4th Quintile,Intermediate School Degree,0.24197,97,507,0.20466,0.27929
1986,Lower Secondary Level,4th Quintile,Other Degree,0.04495,101,507,0.02690,0.06301
1986,Lower Secondary Level,5th Quintile,Secondary School Degree,0.67133,194,323,0.62002,0.72263
1986,Lower Secondary Level,5th Quintile,Intermediate School Degree,0.30849,92,323,0.25804,0.35893
1986,Lower Secondary Level,5th Quintile,Other Degree,0.02019,37,323,0.00483,0.03555
1986,Upper Secondary Level,1st Quintile,Secondary School Degree,0.70906,479,758,0.67671,0.74142
1986,Upper Secondary Level,1st Quintile,Intermediate School Degree,0.13903,94,758,0.11438,0.16367
1986,Upper Secondary Level,1st Quintile,Upper Secondary Degree,0.10142,79,758,0.07991,0.12292
1986,Upper Secondary Level,1st Quintile,Other Degree,0.03110,106,758,0.01873,0.04347
1986,Upper Secondary Level,2nd Quintile,Secondary School Degree,0.73928,635,928,0.71102,0.76755
1986,Upper Secondary Level,2nd Quintile,Intermediate School Degree,0.18642,148,928,0.16135,0.21149
1986,Upper Secondary Level,2nd Quintile,Upper Secondary Degree,0.03540,36,928,0.02351,0.04730
1986,Upper Secondary Level,2nd Quintile,Other Degree,0.02742,109,928,0.01690,0.03793
1986,Upper Secondary Level,3rd Quintile,Secondary School Degree,0.72671,661,976,0.69874,0.75469
1986,Upper Secondary Level,3rd Quintile,Intermediate School Degree,0.19500,186,976,0.17013,0.21987
1986,Upper Secondary Level,3rd Quintile,Upper Secondary Degree,0.05226,55,976,0.03829,0.06623
1986,Upper Secondary Level,3rd Quintile,Other Degree,0.01429,74,976,0.00684,0.02174
1986,Upper Secondary Level,4th Quintile,Secondary School Degree,0.63748,702,1146,0.60964,0.66533
1986,Upper Secondary Level,4th Quintile,Intermediate School Degree,0.29263,316,1146,0.26628,0.31899
1986,Upper Secondary Level,4th Quintile,Upper Secondary Degree,0.04034,51,1146,0.02895,0.05174
1986,Upper Secondary Level,4th Quintile,Other Degree,0.01628,77,1146,0.00895,0.02361
1986,Upper Secondary Level,5th Quintile,Secondary School Degree,0.52968,533,1027,0.49914,0.56022
1986,Upper Secondary Level,5th Quintile,Intermediate School Degree,0.39378,387,1027,0.36388,0.42367
1986,Upper Secondary Level,5th Quintile,Upper Secondary Degree,0.04654,51,1027,0.03365,0.05943
1986,Upper Secondary Level,5th Quintile,Other Degree,0.01250,56,1027,0.00570,0.01929
1986,Post-secondary Non-tertiary Level,5th Quintile,Upper Secondary Degree,0.77015,45,45,0.64583,0.89447
1986,First Stage of Tertiary Education,1st Quintile,Secondary School Degree,0.57674,33,33,0.40555,0.74793
1986,First Stage of Tertiary Education,2nd Quintile,Secondary School Degree,0.46501,36,67,0.34468,0.58535
1986,First Stage of Tertiary Education,2nd Quintile,Intermediate School Degree,0.39984,31,67,0.28166,0.51803
1986,First Stage of Tertiary Education,3rd Quintile,Secondary School Degree,0.51646,59,59,0.38785,0.64507
1986,First Stage of Tertiary Education,4th Quintile,Secondary School Degree,0.43171,60,108,0.33786,0.52556
1986,First Stage of Tertiary Education,4th Quintile,Intermediate School Degree,0.31635,48,108,0.22823,0.40446
1986,First Stage of Tertiary Education,5th Quintile,Secondary School Degree,0.40126,73,132,0.31733,0.48520
1986,First Stage of Tertiary Education,5th Quintile,Intermediate School Degree,0.30262,59,132,0.22396,0.38129
1986,Second Stage of Tertiary Education,3rd Quintile,Upper Secondary Degree,0.57389,51,51,0.43681,0.71096
1986,Second Stage of Tertiary Education,4th Quintile,Upper Secondary Degree,0.70117,112,112,0.61601,0.78632
1986,Second Stage of Tertiary Education,5th Quintile,Technical School Degree,0.16604,57,325,0.12552,0.20656
1986,Second Stage of Tertiary Education,5th Quintile,Upper Secondary Degree,0.71442,268,325,0.66524,0.76361
1987,Primary Level,1st Quintile,"Dropout, No School Degree",0.70911,171,225,0.64963,0.76858
1987,Primary Level,1st Quintile,No School Attended,0.15754,54,225,0.10983,0.20525
1987,Primary Level,2nd Quintile,"Dropout, No School Degree",0.58358,127,175,0.51033,0.65683
1987,Primary Level,2nd Quintile,No School Attended,0.19399,48,175,0.13523,0.25274
1987,Primary Level,3rd Quintile,"Dropout, No School Degree",0.71253,122,122,0.63188,0.79317
1987,Primary Level,4th Quintile,"Dropout, No School Degree",0.80266,92,92,0.72088,0.88443
1987,Primary Level,5th Quintile,"Dropout, No School Degree",0.92909,42,42,0.85052,1.00766
1987,Lower Secondary Level,1st Quintile,Secondary School Degree,0.83784,519,778,0.81192,0.86375
1987,Lower Secondary Level,1st Quintile,Intermediate School Degree,0.10576,84,778,0.08414,0.12739
1987,Lower Secondary Level,1st Quintile,Other Degree,0.05640,175,778,0.04018,0.07263
1987,Lower Secondary Level,2nd Quintile,Secondary School Degree,0.82411,439,669,0.79524,0.85299
1987,Lower Secondary Level,2nd Quintile,Intermediate School Degree,0.12155,75,669,0.09677,0.14633
1987,Lower Secondary Level,2nd Quintile,Other Degree,0.05434,155,669,0.03715,0.07153
1987,Lower Secondary Level,3rd Quintile,Secondary School Degree,0.76767,364,568,0.73291,0.80244
1987,Lower Secondary Level,3rd Quintile,Intermediate School Degree,0.18925,99,568,0.15701,0.22150
1987,Lower Secondary Level,3rd Quintile,Other Degree,0.04307,105,568,0.02636,0.05978
1987,Lower Secondary Level,4th Quintile,Secondary School Degree,0.75171,303,480,0.71302,0.79040
1987,Lower Secondary Level,4th Quintile,Intermediate School Degree,0.20149,88,480,0.16557,0.23742
1987,Lower Secondary Level,4th Quintile,Other Degree,0.04679,89,480,0.02788,0.06571
1987,Lower Secondary Level,5th Quintile,Secondary School Degree,0.70215,211,340,0.65347,0.75084
1987,Lower Secondary Level,5th Quintile,Intermediate School Degree,0.27197,85,340,0.22460,0.31934
1987,Lower Secondary Level,5th Quintile,Other Degree,0.02588,44,340,0.00898,0.04278
1987,Upper Secondary Level,1st Quintile,Secondary School Degree,0.73282,487,756,0.70125,0.76438
1987,Upper Secondary Level,1st Quintile,Intermediate School Degree,0.13441,89,756,0.11008,0.15874
1987,Upper Secondary Level,1st Quintile,Upper Secondary Degree,0.08006,65,756,0.06070,0.09942
1987,Upper Secondary Level,1st Quintile,Other Degree,0.03794,115,756,0.02431,0.05156
1987,Upper Secondary Level,2nd Quintile,Secondary School Degree,0.73859,648,933,0.71038,0.76680
1987,Upper Secondary Level,2nd Quintile,Intermediate School Degree,0.18678,154,933,0.16176,0.21180
1987,Upper Secondary Level,2nd Quintile,Upper Secondary Degree,0.04032,41,933,0.02769,0.05294
1987,Upper Secondary Level,2nd Quintile,Other Degree,0.02343,90,933,0.01372,0.03314
1987,Upper Secondary Level,3rd Quintile,Secondary School Degree,0.70045,679,1024,0.67238,0.72852
1987,Upper Secondary Level,3rd Quintile,Intermediate School Degree,0.22471,215,1024,0.19913,0.25029
1987,Upper Secondary Level,3rd Quintile,Upper Secondary Degree,0.04377,42,1024,0.03124,0.05631
1987,Upper Secondary Level,3rd Quintile,Other Degree,0.01955,88,1024,0.01107,0.02804
1987,Upper Secondary Level,4th Quintile,Secondary School Degree,0.61249,647,1097,0.58365,0.64133
1987,Upper Secondary Level,4th Quintile,Intermediate School Degree,0.30703,317,1097,0.27972,0.33434
1987,Upper Secondary Level,4th Quintile,Upper Secondary Degree,0.05085,60,1097,0.03784,0.06386
1987,Upper Secondary Level,4th Quintile,Other Degree,0.01437,73,1097,0.00732,0.02141
1987,Upper Secondary Level,5th Quintile,Secondary School Degree,0.53234,526,1000,0.50140,0.56329
1987,Upper Secondary Level,5th Quintile,Intermediate School Degree,0.39378,378,1000,0.36348,0.42408
1987,Upper Secondary Level,5th Quintile,Upper Secondary Degree,0.04108,45,1000,0.02877,0.05338
1987,Upper Secondary Level,5th Quintile,Other Degree,0.01456,51,1000,0.00713,0.02198
1987,Post-secondary Non-tertiary Level,5th Quintile,Upper Secondary Degree,0.69378,41,41,0.55094,0.83662
1987,First Stage of Tertiary Education,2nd Quintile,Secondary School Degree,0.51612,43,43,0.36498,0.66725
1987,First Stage of Tertiary Education,3rd Quintile,Secondary School Degree,0.46672,55,93,0.36478,0.56867
1987,First Stage of Tertiary Education,3rd Quintile,Intermediate School Degree,0.32872,38,93,0.23273,0.42471
1987,First Stage of Tertiary Education,4th Quintile,Secondary School Degree,0.43692,59,100,0.33921,0.53463
1987,First Stage of Tertiary Education,4th Quintile,Intermediate School Degree,0.26600,41,100,0.17896,0.35305
1987,First Stage of Tertiary Education,5th Quintile,Secondary School Degree,0.39135,68,129,0.30680,0.47590
1987,First Stage of Tertiary Education,5th Quintile,Intermediate School Degree,0.32776,61,129,0.24644,0.40907
1987,Second Stage of Tertiary Education,3rd Quintile,Upper Secondary Degree,0.57914,44,44,0.43157,0.72670
1987,Second Stage of Tertiary Education,4th Quintile,Upper Secondary Degree,0.72865,127,127,0.65100,0.80629
1987,Second Stage of Tertiary Education,5th Quintile,Intermediate School Degree,0.09226,34,362,0.06240,0.12211
1987,Second Stage of Tertiary Education,5th Quintile,Technical School Degree,0.17348,59,362,0.13442,0.21254
1987,Second Stage of Tertiary Education,5th Quintile,Upper Secondary Degree,0.70454,269,362,0.65747,0.75161
1988,Primary Level,1st Quintile,"Dropout, No School Degree",0.68566,161,220,0.62418,0.74715
1988,Primary Level,1st Quintile,No School Attended,0.14916,59,220,0.10197,0.19634
1988,Primary Level,2nd Quintile,"Dropout, No School Degree",0.67940,120,154,0.60545,0.75335
1988,Primary Level,2nd Quintile,No School Attended,0.19377,34,154,0.13114,0.25640
1988,Primary Level,3rd Quintile,"Dropout, No School Degree",0.62361,107,107,0.53137,0.71584
1988,Primary Level,4th Quintile,"Dropout, No School Degree",0.80384,84,84,0.71841,0.88927
1988,Primary Level,5th Quintile,"Dropout, No School Degree",0.89672,33,33,0.79128,1.00216
1988,Lower Secondary Level,1st Quintile,Secondary School Degree,0.84500,512,758,0.81922,0.87078
1988,Lower Secondary Level,1st Quintile,Intermediate School Degree,0.10155,76,758,0.08003,0.12307
1988,Lower Secondary Level,1st Quintile,Other Degree,0.05345,170,758,0.03743,0.06948
1988,Lower Secondary Level,2nd Quintile,Secondary School Degree,0.82635,425,644,0.79707,0.85563
1988,Lower Secondary Level,2nd Quintile,Intermediate School Degree,0.12425,80,644,0.09875,0.14974
1988,Lower Secondary Level,2nd Quintile,Other Degree,0.04941,139,644,0.03265,0.06616
1988,Lower Secondary Level,3rd Quintile,Secondary School Degree,0.79795,369,566,0.76484,0.83106
1988,Lower Secondary Level,3rd Quintile,Intermediate School Degree,0.15611,86,566,0.12618,0.18604
1988,Lower Secondary Level,3rd Quintile,Other Degree,0.04594,111,566,0.02868,0.06320
1988,Lower Secondary Level,4th Quintile,Secondary School Degree,0.75962,286,463,0.72065,0.79858
1988,Lower Secondary Level,4th Quintile,Intermediate School Degree,0.20117,89,463,0.16461,0.23772
1988,Lower Secondary Level,4th Quintile,Other Degree,0.03922,88,463,0.02152,0.05692
1988,Lower Secondary Level,5th Quintile,Secondary School Degree,0.62761,160,288,0.57168,0.68354
1988,Lower Secondary Level,5th Quintile,Intermediate School Degree,0.34987,93,288,0.29469,0.40504
1988,Lower Secondary Level,5th Quintile,Other Degree,0.02253,35,288,0.00536,0.03969
1988,Upper Secondary Level,1st Quintile,Secondary School Degree,0.72203,453,698,0.68877,0.75529
1988,Upper Secondary Level,1st Quintile,Intermediate School Degree,0.13197,87,698,0.10685,0.15710
1988,Upper Secondary Level,1st Quintile,Upper Secondary Degree,0.08632,57,698,0.06547,0.10717
1988,Upper Secondary Level,1st Quintile,Other Degree,0.03780,101,698,0.02364,0.05195
1988,Upper Secondary Level,2nd Quintile,Secondary School Degree,0.73239,612,910,0.70361,0.76117
1988,Upper Secondary Level,2nd Quintile,Intermediate School Degree,0.19716,165,910,0.17129,0.22302
1988,Upper Secondary Level,2nd Quintile,Upper Secondary Degree,0.04314,42,910,0.02993,0.05635
1988,Upper Secondary Level,2nd Quintile,Other Degree,0.01926,91,910,0.01032,0.02819
1988,Upper Secondary Level,3rd Quintile,Secondary School Degree,0.67195,627,978,0.64251,0.70139
1988,Upper Secondary Level,3rd Quintile,Intermediate School Degree,0.24559,212,978,0.21860,0.27258
1988,Upper Secondary Level,3rd Quintile,Upper Secondary Degree,0.05319,52,978,0.03912,0.06726
1988,Upper Secondary Level,3rd Quintile,Other Degree,0.02199,87,978,0.01280,0.03119
1988,Upper Secondary Level,4th Quintile,Secondary School Degree,0.63658,653,1061,0.60762,0.66553
1988,Upper Secondary Level,4th Quintile,Intermediate School Degree,0.29034,290,1061,0.26301,0.31766
1988,Upper Secondary Level,4th Quintile,Upper Secondary Degree,0.04803,54,1061,0.03515,0.06090
1988,Upper Secondary Level,4th Quintile,Other Degree,0.01197,64,1061,0.00543,0.01852
1988,Upper Secondary Level,5th Quintile,Secondary School Degree,0.55404,512,948,0.52238,0.58570
1988,Upper Secondary Level,5th Quintile,Intermediate School Degree,0.38532,357,948,0.35432,0.41631
1988,Upper Secondary Level,5th Quintile,Upper Secondary Degree,0.03647,40,948,0.02453,0.04841
1988,Upper Secondary Level,5th Quintile,Other Degree,0.01108,39,948,0.00441,0.01775
1988,Post-secondary Non-tertiary Level,5th Quintile,Upper Secondary Degree,0.66987,44,44,0.52931,0.81043
1988,First Stage of Tertiary Education,2nd Quintile,Secondary School Degree,0.45101,36,68,0.33186,0.57016
1988,First Stage of Tertiary Education,2nd Quintile,Intermediate School Degree,0.34138,32,68,0.22784,0.45492
1988,First Stage of Tertiary Education,3rd Quintile,Secondary School Degree,0.55226,55,55,0.41963,0.68489
1988,First Stage of Tertiary Education,4th Quintile,Secondary School Degree,0.44667,57,100,0.34874,0.54460
1988,First Stage of Tertiary Education,4th Quintile,Intermediate School Degree,0.28906,43,100,0.19976,0.37836
1988,First Stage of Tertiary Education,5th Quintile,Secondary School Degree,0.39176,65,117,0.30292,0.48059
1988,First Stage of Tertiary Education,5th Quintile,Intermediate School Degree,0.30190,52,117,0.21836,0.38545
1988,Second Stage of Tertiary Education,1st Quintile,Upper Secondary Degree,0.70995,32,32,0.55020,0.86969
1988,Second Stage of Tertiary Education,3rd Quintile,Upper Secondary Degree,0.65291,59,59,0.53040,0.77543
1988,Second Stage of Tertiary Education,4th Quintile,Upper Secondary Degree,0.71364,104,104,0.62633,0.80094
1988,Second Stage of Tertiary Education,5th Quintile,Intermediate School Degree,0.09547,34,346,0.06446,0.12648
1988,Second Stage of Tertiary Education,5th Quintile,Technical School Degree,0.16450,54,346,0.12538,0.20362
