"pgpsbil","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Hauptschulabschluss","1986","16-34 Jahre alt","1597","0.403760870603707","0.388578486311353","0.418943254896061"
"Hauptschulabschluss","1986","35-65 Jahre alt","2828","0.662470096450743","0.6499043611082","0.675035831793287"
"Hauptschulabschluss","1986","66 und älter","764","0.733787710609309","0.707016129729586","0.760559291489032"
"Realschulabschluss","1986","16-34 Jahre alt","970","0.289053629916477","0.275026291870365","0.30308096796259"
"Realschulabschluss","1986","35-65 Jahre alt","706","0.163989904942126","0.154150633110418","0.173829176773833"
"Realschulabschluss","1986","66 und älter","168","0.169846554422381","0.147101744694262","0.1925913641505"
"Fachhochschulreife","1986","16-34 Jahre alt","159","0.0482117587004204","0.0415832736136471","0.0548402437871938"
"Fachhochschulreife","1986","35-65 Jahre alt","120","0.0268212522014039","0.0225280190499209","0.031114485352887"
"Fachhochschulreife","1986","66 und älter","","","",""
"Abitur","1986","16-34 Jahre alt","518","0.155500483210411","0.144287189365534","0.166713777055288"
"Abitur","1986","35-65 Jahre alt","373","0.0823632526884753","0.0750577385716491","0.0896687668053015"
"Abitur","1986","66 und älter","63","0.0583820301697332","0.0441799579856185","0.072584102353848"
"Anderer Abschluss","1986","16-34 Jahre alt","353","0.0315262861734346","0.0261193909419715","0.0369331814048977"
"Anderer Abschluss","1986","35-65 Jahre alt","812","0.0376279557728605","0.0325711595491045","0.0426847519966164"
"Anderer Abschluss","1986","66 und älter","","","",""
"Ohne Abschluss verlassen","1986","16-34 Jahre alt","196","0.0250425906606379","0.0202075505834743","0.0298776307378015"
"Ohne Abschluss verlassen","1986","35-65 Jahre alt","464","0.0211338401004173","0.0173117624397474","0.0249559177610873"
"Ohne Abschluss verlassen","1986","66 und älter","","","",""
"Noch kein Abschluss","1986","16-34 Jahre alt","196","0.0454456507499137","0.0390007813295984","0.051890520170229"
"Noch kein Abschluss","1986","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1986","66 und älter","","","",""
"Keine Schule besucht","1986","16-34 Jahre alt","","","",""
"Keine Schule besucht","1986","35-65 Jahre alt","137","0.00559369784397392","0.00361180542317108","0.00757559026477676"
"Keine Schule besucht","1986","66 und älter","","","",""
"Hauptschulabschluss","1987","16-34 Jahre alt","1590","0.400774707241018","0.385465039445648","0.416084375036389"
"Hauptschulabschluss","1987","35-65 Jahre alt","2739","0.657498480178456","0.644757470106413","0.670239490250499"
"Hauptschulabschluss","1987","66 und älter","793","0.73473463250373","0.708453808245346","0.761015456762114"
"Realschulabschluss","1987","16-34 Jahre alt","977","0.292775288870769","0.278559647171193","0.306990930570345"
"Realschulabschluss","1987","35-65 Jahre alt","683","0.160612990494893","0.15075481178167","0.170471169208117"
"Realschulabschluss","1987","66 und älter","172","0.170358567797996","0.147978538210854","0.192738597385138"
"Fachhochschulreife","1987","16-34 Jahre alt","153","0.0488808457999089","0.0421447637878663","0.0556169278119514"
"Fachhochschulreife","1987","35-65 Jahre alt","115","0.0270008256214023","0.0226490149901341","0.0313526362526704"
"Fachhochschulreife","1987","66 und älter","","","",""
"Abitur","1987","16-34 Jahre alt","499","0.15909618335912","0.147669410657744","0.170522956060496"
"Abitur","1987","35-65 Jahre alt","374","0.0846468168291672","0.0771733021056347","0.0921203315526996"
"Abitur","1987","66 und älter","68","0.0616897540605876","0.0473674398042136","0.0760120683169616"
"Anderer Abschluss","1987","16-34 Jahre alt","327","0.0322156496495555","0.0266994079056053","0.0377318913935056"
"Anderer Abschluss","1987","35-65 Jahre alt","819","0.0412878864219773","0.0359461720259755","0.046629600817979"
"Anderer Abschluss","1987","66 und älter","","","",""
"Ohne Abschluss verlassen","1987","16-34 Jahre alt","171","0.0223182594350211","0.0177034958272744","0.0269330230427678"
"Ohne Abschluss verlassen","1987","35-65 Jahre alt","462","0.0225811326467074","0.0185923676422176","0.0265698976511971"
"Ohne Abschluss verlassen","1987","66 und älter","","","",""
"Noch kein Abschluss","1987","16-34 Jahre alt","198","0.0425527072217051","0.036246887048698","0.0488585273947122"
"Noch kein Abschluss","1987","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1987","66 und älter","","","",""
"Keine Schule besucht","1987","16-34 Jahre alt","","","",""
"Keine Schule besucht","1987","35-65 Jahre alt","137","0.00637186780739644","0.00423552693725269","0.00850820867754018"
"Keine Schule besucht","1987","66 und älter","","","",""
"Hauptschulabschluss","1988","16-34 Jahre alt","1544","0.403615678805421","0.387851716818323","0.419379640792519"
"Hauptschulabschluss","1988","35-65 Jahre alt","2583","0.654589178960037","0.64148366689547","0.667694691024604"
"Hauptschulabschluss","1988","66 und älter","768","0.735775185295188","0.709156466091453","0.762393904498923"
"Realschulabschluss","1988","16-34 Jahre alt","929","0.289011608460275","0.274446720288326","0.303576496632225"
"Realschulabschluss","1988","35-65 Jahre alt","668","0.16462242001459","0.154401558292573","0.174843281736606"
"Realschulabschluss","1988","66 und älter","170","0.172274624328212","0.149477420819281","0.195071827837143"
"Fachhochschulreife","1988","16-34 Jahre alt","143","0.0469379806474368","0.0401421736208601","0.0537337876740135"
"Fachhochschulreife","1988","35-65 Jahre alt","112","0.0284330554225965","0.0238521666677036","0.0330139441774894"
"Fachhochschulreife","1988","66 und älter","","","",""
"Abitur","1988","16-34 Jahre alt","471","0.165404782245576","0.153466819125704","0.177342745365449"
"Abitur","1988","35-65 Jahre alt","368","0.0870963257519293","0.0793246618810987","0.0948679896227598"
"Abitur","1988","66 und älter","64","0.0594373786115893","0.0451631888153584","0.0737115684078202"
"Anderer Abschluss","1988","16-34 Jahre alt","290","0.0279721630915594","0.0226740572130701","0.0332702689700486"
"Anderer Abschluss","1988","35-65 Jahre alt","777","0.0386787962763513","0.0333641746557252","0.0439934178969773"
"Anderer Abschluss","1988","66 und älter","","","",""
"Ohne Abschluss verlassen","1988","16-34 Jahre alt","158","0.0215368888187274","0.0168726372359767","0.0262011404014782"
"Ohne Abschluss verlassen","1988","35-65 Jahre alt","418","0.0206091380970964","0.0166934368205685","0.0245248393736242"
"Ohne Abschluss verlassen","1988","66 und älter","","","",""
"Noch kein Abschluss","1988","16-34 Jahre alt","168","0.0444020698611439","0.0377836020029839","0.0510205377193039"
"Noch kein Abschluss","1988","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1988","66 und älter","","","",""
"Keine Schule besucht","1988","16-34 Jahre alt","","","",""
"Keine Schule besucht","1988","35-65 Jahre alt","131","0.0059710854774002","0.00384770525934771","0.0080944656954527"
"Keine Schule besucht","1988","66 und älter","","","",""
"Hauptschulabschluss","1989","16-34 Jahre alt","1500","0.39537413416095","0.379481948069711","0.41126632025219"
"Hauptschulabschluss","1989","35-65 Jahre alt","2431","0.639886416460286","0.626383590466675","0.653389242453898"
"Hauptschulabschluss","1989","66 und älter","747","0.732050371220629","0.7049634320982","0.759137310343057"
"Realschulabschluss","1989","16-34 Jahre alt","910","0.283643902146622","0.268992224318747","0.298295579974496"
"Realschulabschluss","1989","35-65 Jahre alt","636","0.16495771893138","0.154517874476902","0.175397563385857"
"Realschulabschluss","1989","66 und älter","167","0.174496003004952","0.151283861941562","0.197708144068343"
"Fachhochschulreife","1989","16-34 Jahre alt","142","0.0470309700457386","0.040149717207381","0.0539122228840963"
"Fachhochschulreife","1989","35-65 Jahre alt","116","0.0310158574396864","0.0261394082352081","0.0358923066441646"
"Fachhochschulreife","1989","66 und älter","","","",""
"Abitur","1989","16-34 Jahre alt","489","0.172639310088805","0.160354924469557","0.184923695708053"
"Abitur","1989","35-65 Jahre alt","367","0.0918616977683451","0.0837371966214814","0.0999861989152087"
"Abitur","1989","66 und älter","69","0.0648113981447887","0.0497544079738809","0.0798683883156966"
"Anderer Abschluss","1989","16-34 Jahre alt","253","0.0268145950571332","0.0215638664851918","0.0320653236290747"
"Anderer Abschluss","1989","35-65 Jahre alt","773","0.0437816076052333","0.0380261763295228","0.0495370388809438"
"Anderer Abschluss","1989","66 und älter","","","",""
"Ohne Abschluss verlassen","1989","16-34 Jahre alt","147","0.0213564756015663","0.0166573915950413","0.0260555596080914"
"Ohne Abschluss verlassen","1989","35-65 Jahre alt","407","0.0221833347554213","0.0180405191093235","0.0263261504015191"
"Ohne Abschluss verlassen","1989","66 und älter","","","",""
"Noch kein Abschluss","1989","16-34 Jahre alt","178","0.0520914040125567","0.0448686567874928","0.0593141512376205"
"Noch kein Abschluss","1989","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1989","66 und älter","","","",""
"Keine Schule besucht","1989","16-34 Jahre alt","","","",""
"Keine Schule besucht","1989","35-65 Jahre alt","125","0.006313367039648","0.00408540022861534","0.00854133385068065"
"Keine Schule besucht","1989","66 und älter","","","",""
"Hauptschulabschluss","1990","16-34 Jahre alt","1613","0.32557869225824","0.312849828507681","0.338307556008799"
"Hauptschulabschluss","1990","35-65 Jahre alt","3570","0.614946262361166","0.603585036072106","0.626307488650227"
"Hauptschulabschluss","1990","66 und älter","1123","0.746272993164267","0.724207938738895","0.76833804758964"
"Realschulabschluss","1990","16-34 Jahre alt","2144","0.384326518094936","0.371112910393701","0.397540125796171"
"Realschulabschluss","1990","35-65 Jahre alt","1367","0.193139471426021","0.183922659836117","0.202356283015924"
"Realschulabschluss","1990","66 und älter","220","0.16342341163749","0.144674209904185","0.182172613370795"
"Fachhochschulreife","1990","16-34 Jahre alt","145","0.0383211091860757","0.033106400089253","0.0435358182828984"
"Fachhochschulreife","1990","35-65 Jahre alt","119","0.0251711026435341","0.0215137968584503","0.0288284084286179"
"Fachhochschulreife","1990","66 und älter","","","",""
"Abitur","1990","16-34 Jahre alt","705","0.168325789238268","0.158162180072449","0.178489398404087"
"Abitur","1990","35-65 Jahre alt","673","0.10092987486865","0.0938966807197305","0.10796306901757"
"Abitur","1990","66 und älter","82","0.0572345058426991","0.0454556366088832","0.0690133750765149"
"Anderer Abschluss","1990","16-34 Jahre alt","251","0.0243949571897336","0.0202042911029775","0.0285856232764898"
"Anderer Abschluss","1990","35-65 Jahre alt","798","0.0408421576240697","0.0362210579629203","0.045463257285219"
"Anderer Abschluss","1990","66 und älter","","","",""
"Ohne Abschluss verlassen","1990","16-34 Jahre alt","135","0.0174646977624538","0.0139063316635869","0.0210230638613207"
"Ohne Abschluss verlassen","1990","35-65 Jahre alt","398","0.0193338472962962","0.0161189604603989","0.0225487341321935"
"Ohne Abschluss verlassen","1990","66 und älter","","","",""
"Noch kein Abschluss","1990","16-34 Jahre alt","200","0.0408938791962401","0.0355141737774571","0.046273584615023"
"Noch kein Abschluss","1990","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1990","66 und älter","","","",""
"Keine Schule besucht","1990","16-34 Jahre alt","","","",""
"Keine Schule besucht","1990","35-65 Jahre alt","122","0.00563728378026263","0.00388923591596563","0.00738533164455963"
"Keine Schule besucht","1990","66 und älter","","","",""
"Hauptschulabschluss","1991","16-34 Jahre alt","1541","0.31488110983949","0.301987581341977","0.327774638337002"
"Hauptschulabschluss","1991","35-65 Jahre alt","3420","0.59110667206572","0.57954338845376","0.602669955677679"
"Hauptschulabschluss","1991","66 und älter","1108","0.751208698957785","0.729153914787951","0.773263483127618"
"Realschulabschluss","1991","16-34 Jahre alt","2037","0.39061576086038","0.377072102199173","0.404159419521588"
"Realschulabschluss","1991","35-65 Jahre alt","1422","0.203122548432481","0.193659783051125","0.212585313813838"
"Realschulabschluss","1991","66 und älter","215","0.160768420335513","0.142029429734139","0.179507410936888"
"Fachhochschulreife","1991","16-34 Jahre alt","153","0.0399325609977022","0.0344971803732491","0.0453679416221553"
"Fachhochschulreife","1991","35-65 Jahre alt","122","0.0261841860422267","0.0224283970445217","0.0299399750399316"
"Fachhochschulreife","1991","66 und älter","","","",""
"Abitur","1991","16-34 Jahre alt","679","0.169220232200711","0.158811816988313","0.179628647413109"
"Abitur","1991","35-65 Jahre alt","691","0.110434686396281","0.10306269353118","0.117806679261383"
"Abitur","1991","66 und älter","82","0.0574680108240409","0.0455948583727684","0.0693411632753135"
"Anderer Abschluss","1991","16-34 Jahre alt","235","0.0257829067563187","0.0213833459817435","0.0301824675308939"
"Anderer Abschluss","1991","35-65 Jahre alt","787","0.0431224367228372","0.0383446906142018","0.0479001828314726"
"Anderer Abschluss","1991","66 und älter","","","",""
"Ohne Abschluss verlassen","1991","16-34 Jahre alt","170","0.0228388021902379","0.0186917903262142","0.0269858140542616"
"Ohne Abschluss verlassen","1991","35-65 Jahre alt","391","0.0203651888029852","0.0170430363370473","0.0236873412689231"
"Ohne Abschluss verlassen","1991","66 und älter","","","",""
"Noch kein Abschluss","1991","16-34 Jahre alt","156","0.0358160853308335","0.0306574537955445","0.0409747168661225"
"Noch kein Abschluss","1991","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1991","66 und älter","","","",""
"Keine Schule besucht","1991","16-34 Jahre alt","","","",""
"Keine Schule besucht","1991","35-65 Jahre alt","111","0.00566428153746845","0.00389912928662389","0.00742943378831302"
"Keine Schule besucht","1991","66 und älter","","","",""
"Hauptschulabschluss","1992","16-34 Jahre alt","1480","0.30629775262288","0.293271064707862","0.319324440537898"
"Hauptschulabschluss","1992","35-65 Jahre alt","3297","0.577341085486465","0.5656344717464","0.589047699226529"
"Hauptschulabschluss","1992","66 und älter","1099","0.741838865904785","0.719482850121078","0.764194881688492"
"Realschulabschluss","1992","16-34 Jahre alt","1939","0.390987863501487","0.377197676198137","0.404778050804838"
"Realschulabschluss","1992","35-65 Jahre alt","1459","0.206647617485839","0.19705210209053","0.216243132881149"
"Realschulabschluss","1992","66 und älter","219","0.169589912178188","0.150419100462306","0.18876072389407"
"Fachhochschulreife","1992","16-34 Jahre alt","150","0.0394150058190662","0.033916125730369","0.0449138859077633"
"Fachhochschulreife","1992","35-65 Jahre alt","135","0.0291415198697789","0.0251553655895695","0.0331276741499883"
"Fachhochschulreife","1992","66 und älter","","","",""
"Abitur","1992","16-34 Jahre alt","662","0.175509338177482","0.164759088828459","0.186259587526505"
"Abitur","1992","35-65 Jahre alt","700","0.112616125615849","0.105124499457763","0.120107751773934"
"Abitur","1992","66 und älter","81","0.0597876196185038","0.0476757050135487","0.0718995342234589"
"Anderer Abschluss","1992","16-34 Jahre alt","231","0.0281217785793699","0.0234497781913659","0.0327937789673739"
"Anderer Abschluss","1992","35-65 Jahre alt","760","0.0461169416177029","0.0411464670393445","0.0510874161960614"
"Anderer Abschluss","1992","66 und älter","","","",""
"Ohne Abschluss verlassen","1992","16-34 Jahre alt","146","0.0198747467050658","0.0159304720981751","0.0238190213119566"
"Ohne Abschluss verlassen","1992","35-65 Jahre alt","383","0.0221752517841471","0.0186855779877469","0.0256649255805474"
"Ohne Abschluss verlassen","1992","66 und älter","","","",""
"Noch kein Abschluss","1992","16-34 Jahre alt","191","0.0391893158266003","0.0337055575171539","0.0446730741360468"
"Noch kein Abschluss","1992","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1992","66 und älter","","","",""
"Keine Schule besucht","1992","16-34 Jahre alt","","","",""
"Keine Schule besucht","1992","35-65 Jahre alt","106","0.00596145814021867","0.00413715123759966","0.00778576504283768"
"Keine Schule besucht","1992","66 und älter","","","",""
"Hauptschulabschluss","1993","16-34 Jahre alt","1424","0.29593054486023","0.282889127963771","0.308971961756689"
"Hauptschulabschluss","1993","35-65 Jahre alt","3172","0.565967801500306","0.554092983519231","0.57784261948138"
"Hauptschulabschluss","1993","66 und älter","1111","0.737791743186158","0.715481296573703","0.760102189798612"
"Realschulabschluss","1993","16-34 Jahre alt","1880","0.391253719665006","0.377310292591693","0.40519714673832"
"Realschulabschluss","1993","35-65 Jahre alt","1481","0.210172587886658","0.200410914738224","0.219934261035093"
"Realschulabschluss","1993","66 und älter","224","0.176461688569379","0.157124857360311","0.195798519778447"
"Fachhochschulreife","1993","16-34 Jahre alt","153","0.0418570219515861","0.0361353697762572","0.047578674126915"
"Fachhochschulreife","1993","35-65 Jahre alt","132","0.0279552872601888","0.0240057589999875","0.0319048155203901"
"Fachhochschulreife","1993","66 und älter","","","",""
"Abitur","1993","16-34 Jahre alt","674","0.177757993504633","0.166835129427684","0.188680857581581"
"Abitur","1993","35-65 Jahre alt","716","0.118410177837512","0.110669162545365","0.126151193129659"
"Abitur","1993","66 und älter","79","0.0563143848209866","0.0446209654131576","0.0680078042288156"
"Anderer Abschluss","1993","16-34 Jahre alt","232","0.0308761830213969","0.0259339460374702","0.0358184200053237"
"Anderer Abschluss","1993","35-65 Jahre alt","720","0.0473422887540048","0.0422541002376526","0.0524304772703571"
"Anderer Abschluss","1993","66 und älter","30","0.00842313354521682","0.00378740258397271","0.0130588645064609"
"Ohne Abschluss verlassen","1993","16-34 Jahre alt","144","0.0222086713790399","0.0179984347111843","0.0264189080468955"
"Ohne Abschluss verlassen","1993","35-65 Jahre alt","371","0.0238632975721733","0.0202065862663698","0.0275200088779768"
"Ohne Abschluss verlassen","1993","66 und älter","","","",""
"Noch kein Abschluss","1993","16-34 Jahre alt","183","0.03838772089267","0.0328984041121162","0.0438770376732237"
"Noch kein Abschluss","1993","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1993","66 und älter","","","",""
"Keine Schule besucht","1993","16-34 Jahre alt","","","",""
"Keine Schule besucht","1993","35-65 Jahre alt","100","0.00628855918915732","0.00439457719314634","0.0081825411851683"
"Keine Schule besucht","1993","66 und älter","","","",""
"Hauptschulabschluss","1994","16-34 Jahre alt","1334","0.28341154722647","0.270344387934262","0.296478706518679"
"Hauptschulabschluss","1994","35-65 Jahre alt","3071","0.556979617400868","0.544931394171147","0.569027840630589"
"Hauptschulabschluss","1994","66 und älter","1121","0.732983089804734","0.710683927106709","0.75528225250276"
"Realschulabschluss","1994","16-34 Jahre alt","1789","0.381409252717486","0.367324966760756","0.395493538674216"
"Realschulabschluss","1994","35-65 Jahre alt","1511","0.214321775620667","0.204368935952983","0.224274615288351"
"Realschulabschluss","1994","66 und älter","221","0.173151795491997","0.154079692253532","0.192223898730462"
"Fachhochschulreife","1994","16-34 Jahre alt","163","0.0436269636826213","0.0377041418612226","0.04954978550402"
"Fachhochschulreife","1994","35-65 Jahre alt","131","0.0289335072652178","0.0248679833008785","0.0329990312295572"
"Fachhochschulreife","1994","66 und älter","","","",""
"Abitur","1994","16-34 Jahre alt","708","0.189598629088059","0.178232693463805","0.200964564712313"
"Abitur","1994","35-65 Jahre alt","713","0.12150295785974","0.113578764260498","0.129427151458983"
"Abitur","1994","66 und älter","82","0.0605328505110075","0.0485127373160734","0.0725529637059416"
"Anderer Abschluss","1994","16-34 Jahre alt","204","0.0307709689309969","0.0257634649313994","0.0357784729305943"
"Anderer Abschluss","1994","35-65 Jahre alt","672","0.0478924060207402","0.0427131444759981","0.0530716675654822"
"Anderer Abschluss","1994","66 und älter","","","",""
"Ohne Abschluss verlassen","1994","16-34 Jahre alt","123","0.0190087834253739","0.0150492206496726","0.0229683462010751"
"Ohne Abschluss verlassen","1994","35-65 Jahre alt","342","0.0243587200162381","0.0206196481216019","0.0280977919108744"
"Ohne Abschluss verlassen","1994","66 und älter","","","",""
"Noch kein Abschluss","1994","16-34 Jahre alt","232","0.0503888904858806","0.0440461374295983","0.0567316435421629"
"Noch kein Abschluss","1994","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1994","66 und älter","","","",""
"Keine Schule besucht","1994","16-34 Jahre alt","","","",""
"Keine Schule besucht","1994","35-65 Jahre alt","90","0.00601101581652849","0.0041362103056611","0.00788582132739589"
"Keine Schule besucht","1994","66 und älter","","","",""
"Hauptschulabschluss","1995","16-34 Jahre alt","1317","0.273307583840047","0.260544935492749","0.286070232187345"
"Hauptschulabschluss","1995","35-65 Jahre alt","2996","0.532200609469843","0.52030797645862","0.544093242481066"
"Hauptschulabschluss","1995","66 und älter","1118","0.724775628156505","0.702497962686964","0.747053293626046"
"Realschulabschluss","1995","16-34 Jahre alt","1759","0.361027226907757","0.347272537056515","0.374781916758999"
"Realschulabschluss","1995","35-65 Jahre alt","1608","0.219982118888336","0.210108952011785","0.229855285764887"
"Realschulabschluss","1995","66 und älter","226","0.172363979245947","0.153524565204317","0.191203393287578"
"Fachhochschulreife","1995","16-34 Jahre alt","170","0.0433032149583051","0.037474311323244","0.0491321185933662"
"Fachhochschulreife","1995","35-65 Jahre alt","145","0.0312860498795475","0.0271366656553296","0.0354354341037655"
"Fachhochschulreife","1995","66 und älter","","","",""
"Abitur","1995","16-34 Jahre alt","727","0.187129212667565","0.175960034952501","0.198298390382629"
"Abitur","1995","35-65 Jahre alt","760","0.127856232036823","0.119897103847902","0.135815360225744"
"Abitur","1995","66 und älter","89","0.063582423190606","0.0514113812456624","0.0757534651355496"
"Anderer Abschluss","1995","16-34 Jahre alt","307","0.0589631237557378","0.0522173276428647","0.065708919868611"
"Anderer Abschluss","1995","35-65 Jahre alt","828","0.0619417422041646","0.0561963838576707","0.0676871005506585"
"Anderer Abschluss","1995","66 und älter","46","0.0144486627840086","0.00849645756383502","0.0204008680041821"
"Ohne Abschluss verlassen","1995","16-34 Jahre alt","109","0.0165106233037103","0.0128613514383128","0.0201598951691077"
"Ohne Abschluss verlassen","1995","35-65 Jahre alt","344","0.0220629288390075","0.0185618850342562","0.0255639726437588"
"Ohne Abschluss verlassen","1995","66 und älter","","","",""
"Noch kein Abschluss","1995","16-34 Jahre alt","280","0.0584182622213451","0.0517017628560061","0.065134761586684"
"Noch kein Abschluss","1995","35-65 Jahre alt","","","",""
"Noch kein Abschluss","1995","66 und älter","","","",""
"Keine Schule besucht","1995","16-34 Jahre alt","","","",""
"Keine Schule besucht","1995","35-65 Jahre alt","80","0.00447349718087734","0.00288289891389747","0.0060640954478572"
"Keine Schule besucht","1995","66 und älter","","","",""
"Hauptschulabschluss","1996","16-34 Jahre alt","1270","0.273091627659871","0.260060842279415","0.286122413040327"
"Hauptschulabschluss","1996","35-65 Jahre alt","2897","0.516554911989755","0.504572088034195","0.528537735945314"
"Hauptschulabschluss","1996","66 und älter","1131","0.722239160181526","0.700062833159114","0.744415487203938"
"Realschulabschluss","1996","16-34 Jahre alt","1662","0.356830007030998","0.342818974711374","0.370841039350621"
"Realschulabschluss","1996","35-65 Jahre alt","1710","0.233524930695682","0.223380142183277","0.243669719208086"
"Realschulabschluss","1996","66 und älter","222","0.170263201995514","0.151653296548405","0.188873107442623"
"Fachhochschulreife","1996","16-34 Jahre alt","161","0.041679404083827","0.0358342935949549","0.047524514572699"
"Fachhochschulreife","1996","35-65 Jahre alt","150","0.0328688835562602","0.0285936237697645","0.0371441433427558"
"Fachhochschulreife","1996","66 und älter","","","",""
"Abitur","1996","16-34 Jahre alt","732","0.193171287442967","0.181625102139897","0.204717472746038"
"Abitur","1996","35-65 Jahre alt","757","0.126967937005987","0.11898450770453","0.134951366307444"
"Abitur","1996","66 und älter","90","0.0622845970865587","0.0503188602435503","0.0742503339295671"
"Anderer Abschluss","1996","16-34 Jahre alt","268","0.0531086391003813","0.0465500680603994","0.0596672101403632"
"Anderer Abschluss","1996","35-65 Jahre alt","783","0.062420412243866","0.0566195207337085","0.0682213037540234"
"Anderer Abschluss","1996","66 und älter","50","0.016121625074268","0.00988587488129775","0.0223573752672382"
"Ohne Abschluss verlassen","1996","16-34 Jahre alt","95","0.0149510110051531","0.0114017269433068","0.0185002950669993"
