"pgpsbil","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Noch kein Abschluss","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","209","0.05031116675206","0.0439903171650106","0.0566320163391094"
"Noch kein Abschluss","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","37","0.00218265985776865","0.000833165262214035","0.00353215445332327"
"Keine Schule besucht","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","173","0.00566649961664546","0.00381016115914622","0.00752283807414471"
"Keine Schule besucht","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1633","0.412508050262073","0.397433919328663","0.427582181195483"
"Hauptschulabschluss","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","3025","0.672939423683673","0.660789135346574","0.685089712020773"
"Hauptschulabschluss","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1985","66 und älter","Westdeutschland, alte Bundeslaender","834","0.750763815269106","0.725384891145586","0.776142739392625"
"Hauptschulabschluss","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","981","0.287070505979344","0.273217861533085","0.300923150425604"
"Realschulabschluss","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","731","0.158814561896564","0.149348365014294","0.168280758778834"
"Realschulabschluss","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1985","66 und älter","Westdeutschland, alte Bundeslaender","171","0.158709305489188","0.137271011021398","0.180147599956978"
"Realschulabschluss","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","146","0.0430666805302251","0.0368504566600922","0.0492829044003579"
"Fachhochschulreife","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","132","0.0280908470385447","0.023811477874171","0.0323702162029184"
"Fachhochschulreife","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","498","0.143485475263837","0.132750860945399","0.154220089582276"
"Abitur","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","370","0.0781865453249315","0.0712335484697757","0.0851395421800874"
"Abitur","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1985","66 und älter","Westdeutschland, alte Bundeslaender","64","0.0566545418992542","0.043091136544112","0.0702179472543964"
"Abitur","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","404","0.0326608167049495","0.027218071308918","0.0381035621009811"
"Anderer Abschluss","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","818","0.0357666325794021","0.0309569700595986","0.0405762950992056"
"Anderer Abschluss","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Anderer Abschluss","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","214","0.0257665140014656","0.0209150315086529","0.0306179964942783"
"Ohne Abschluss verlassen","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","504","0.0206234793995729","0.0169426955716481","0.0243042632274977"
"Ohne Abschluss verlassen","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ohne Abschluss verlassen","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","193","0.0537501578321426","0.0468444549164686","0.0606558607478166"
"Noch kein Abschluss","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","147","0.00557851007731131","0.00364952503100735","0.00750749512361528"
"Keine Schule besucht","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1597","0.403760870603707","0.388578486311353","0.418943254896061"
"Hauptschulabschluss","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2828","0.662470096450743","0.6499043611082","0.675035831793287"
"Hauptschulabschluss","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1986","66 und älter","Westdeutschland, alte Bundeslaender","764","0.733787710609309","0.707016129729586","0.760559291489032"
"Hauptschulabschluss","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","970","0.289053629916477","0.275026291870365","0.30308096796259"
"Realschulabschluss","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","706","0.163989904942126","0.154150633110418","0.173829176773833"
"Realschulabschluss","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1986","66 und älter","Westdeutschland, alte Bundeslaender","168","0.169846554422381","0.147101744694262","0.1925913641505"
"Realschulabschluss","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","159","0.0482117587004204","0.0415832736136471","0.0548402437871938"
"Fachhochschulreife","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","120","0.0268212522014039","0.0225280190499209","0.031114485352887"
"Fachhochschulreife","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","518","0.155500483210411","0.144287189365534","0.166713777055288"
"Abitur","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","373","0.0823632526884753","0.0750577385716491","0.0896687668053015"
"Abitur","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1986","66 und älter","Westdeutschland, alte Bundeslaender","63","0.0583820301697332","0.0441799579856185","0.072584102353848"
"Abitur","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","353","0.0315262861734346","0.0261193909419715","0.0369331814048977"
"Anderer Abschluss","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","812","0.0376279557728605","0.0325711595491045","0.0426847519966164"
"Anderer Abschluss","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Anderer Abschluss","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","196","0.0250425906606379","0.0202075505834743","0.0298776307378015"
"Ohne Abschluss verlassen","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","464","0.0211338401004173","0.0173117624397474","0.0249559177610873"
"Ohne Abschluss verlassen","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ohne Abschluss verlassen","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","196","0.0454456507499137","0.0390007813295984","0.051890520170229"
"Noch kein Abschluss","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","137","0.00559369784397392","0.00361180542317108","0.00757559026477676"
"Keine Schule besucht","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1590","0.400774707241018","0.385465039445648","0.416084375036389"
"Hauptschulabschluss","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2739","0.657498480178456","0.644757470106413","0.670239490250499"
"Hauptschulabschluss","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1987","66 und älter","Westdeutschland, alte Bundeslaender","793","0.73473463250373","0.708453808245346","0.761015456762114"
"Hauptschulabschluss","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","977","0.292775288870769","0.278559647171193","0.306990930570345"
"Realschulabschluss","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","683","0.160612990494893","0.15075481178167","0.170471169208117"
"Realschulabschluss","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1987","66 und älter","Westdeutschland, alte Bundeslaender","172","0.170358567797996","0.147978538210854","0.192738597385138"
"Realschulabschluss","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","153","0.0488808457999089","0.0421447637878663","0.0556169278119514"
"Fachhochschulreife","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","115","0.0270008256214023","0.0226490149901341","0.0313526362526704"
"Fachhochschulreife","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","499","0.15909618335912","0.147669410657744","0.170522956060496"
"Abitur","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","374","0.0846468168291672","0.0771733021056347","0.0921203315526996"
"Abitur","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1987","66 und älter","Westdeutschland, alte Bundeslaender","68","0.0616897540605876","0.0473674398042136","0.0760120683169616"
"Abitur","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","327","0.0322156496495555","0.0266994079056053","0.0377318913935056"
"Anderer Abschluss","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","819","0.0412878864219773","0.0359461720259755","0.046629600817979"
"Anderer Abschluss","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Anderer Abschluss","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","171","0.0223182594350211","0.0177034958272744","0.0269330230427678"
"Ohne Abschluss verlassen","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","462","0.0225811326467074","0.0185923676422176","0.0265698976511971"
"Ohne Abschluss verlassen","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ohne Abschluss verlassen","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","198","0.0425527072217051","0.036246887048698","0.0488585273947122"
"Noch kein Abschluss","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","137","0.00637186780739644","0.00423552693725269","0.00850820867754018"
"Keine Schule besucht","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1544","0.403615678805421","0.387851716818323","0.419379640792519"
"Hauptschulabschluss","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2583","0.654589178960037","0.64148366689547","0.667694691024604"
"Hauptschulabschluss","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1988","66 und älter","Westdeutschland, alte Bundeslaender","768","0.735775185295188","0.709156466091453","0.762393904498923"
"Hauptschulabschluss","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","929","0.289011608460275","0.274446720288326","0.303576496632225"
"Realschulabschluss","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","668","0.16462242001459","0.154401558292573","0.174843281736606"
"Realschulabschluss","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1988","66 und älter","Westdeutschland, alte Bundeslaender","170","0.172274624328212","0.149477420819281","0.195071827837143"
"Realschulabschluss","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","143","0.0469379806474368","0.0401421736208601","0.0537337876740135"
"Fachhochschulreife","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","112","0.0284330554225965","0.0238521666677036","0.0330139441774894"
"Fachhochschulreife","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Fachhochschulreife","1988","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Fachhochschulreife","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","471","0.165404782245576","0.153466819125704","0.177342745365449"
"Abitur","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","368","0.0870963257519293","0.0793246618810987","0.0948679896227598"
"Abitur","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Abitur","1988","66 und älter","Westdeutschland, alte Bundeslaender","64","0.0594373786115893","0.0451631888153584","0.0737115684078202"
"Abitur","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","290","0.0279721630915594","0.0226740572130701","0.0332702689700486"
"Anderer Abschluss","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","777","0.0386787962763513","0.0333641746557252","0.0439934178969773"
"Anderer Abschluss","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Anderer Abschluss","1988","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Anderer Abschluss","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","158","0.0215368888187274","0.0168726372359767","0.0262011404014782"
"Ohne Abschluss verlassen","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","418","0.0206091380970964","0.0166934368205685","0.0245248393736242"
"Ohne Abschluss verlassen","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ohne Abschluss verlassen","1988","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ohne Abschluss verlassen","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","168","0.0444020698611439","0.0377836020029839","0.0510205377193039"
"Noch kein Abschluss","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Noch kein Abschluss","1988","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Noch kein Abschluss","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","131","0.0059710854774002","0.00384770525934771","0.0080944656954527"
"Keine Schule besucht","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Schule besucht","1988","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Keine Schule besucht","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1500","0.39537413416095","0.379481948069711","0.41126632025219"
"Hauptschulabschluss","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2431","0.639886416460286","0.626383590466675","0.653389242453898"
"Hauptschulabschluss","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Hauptschulabschluss","1989","66 und älter","Westdeutschland, alte Bundeslaender","747","0.732050371220629","0.7049634320982","0.759137310343057"
"Hauptschulabschluss","1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","910","0.283643902146622","0.268992224318747","0.298295579974496"
"Realschulabschluss","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Realschulabschluss","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","636","0.16495771893138","0.154517874476902","0.175397563385857"
"Realschulabschluss","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
