year,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,"Dropout, No School Degree",0.01149,188,19062,0.00998,0.01301
2008,No School Degree Yet,0.02092,560,19062,0.01889,0.02296
2009,Secondary School Degree,0.30206,5947,17740,0.29531,0.30882
2009,Intermediate School Degree,0.23985,5432,17740,0.23357,0.24613
2009,Technical School Degree,0.04695,963,17740,0.04383,0.05006
2009,Upper Secondary Degree,0.15798,3913,17740,0.15261,0.16334
2009,Other Degree,0.04864,808,17740,0.04547,0.05181
2009,"Dropout, No School Degree",0.01141,171,17740,0.00984,0.01297
2009,No School Degree Yet,0.02102,506,17740,0.01891,0.02314
2010,Secondary School Degree,0.29020,6878,23802,0.28444,0.29597
2010,Intermediate School Degree,0.24055,7481,23802,0.23512,0.24598
2010,Technical School Degree,0.04833,1370,23802,0.04561,0.05106
2010,Upper Secondary Degree,0.16130,5415,23802,0.15662,0.16597
2010,Other Degree,0.05775,1588,23802,0.05479,0.06071
2010,"Dropout, No School Degree",0.01176,360,23802,0.01039,0.01313
2010,No School Degree Yet,0.01947,710,23802,0.01771,0.02122
2011,Secondary School Degree,0.27777,8197,28047,0.27253,0.28302
2011,Intermediate School Degree,0.23783,8712,28047,0.23285,0.24282
2011,Technical School Degree,0.04793,1632,28047,0.04543,0.05043
2011,Upper Secondary Degree,0.16687,6302,28047,0.16250,0.17123
2011,Other Degree,0.06059,1881,28047,0.05780,0.06338
2011,"Dropout, No School Degree",0.01333,429,28047,0.01199,0.01467
2011,No School Degree Yet,0.01948,894,28047,0.01786,0.02110
2012,Secondary School Degree,0.27272,7951,27465,0.26746,0.27799
2012,Intermediate School Degree,0.23666,8514,27465,0.23164,0.24169
2012,Technical School Degree,0.04858,1605,27465,0.04604,0.05113
2012,Upper Secondary Degree,0.16843,6207,27465,0.16401,0.17286
2012,Other Degree,0.06637,1855,27465,0.06342,0.06931
2012,"Dropout, No School Degree",0.01347,423,27465,0.01211,0.01483
2012,No School Degree Yet,0.01873,910,27465,0.01712,0.02033
2013,Secondary School Degree,0.26340,7797,30314,0.25844,0.26836
2013,Intermediate School Degree,0.23756,8546,30314,0.23277,0.24235
2013,Technical School Degree,0.04986,1699,30314,0.04741,0.05231
2013,Upper Secondary Degree,0.16993,6371,30314,0.16570,0.17416
2013,Other Degree,0.07220,4130,30314,0.06929,0.07511
2013,"Dropout, No School Degree",0.01535,686,30314,0.01397,0.01673
2013,No School Degree Yet,0.01964,1085,30314,0.01808,0.02120
2014,Secondary School Degree,0.25539,6953,26719,0.25016,0.26062
2014,Intermediate School Degree,0.23238,7615,26719,0.22732,0.23745
2014,Technical School Degree,0.05261,1572,26719,0.04993,0.05528
2014,Upper Secondary Degree,0.17654,5842,26719,0.17197,0.18111
2014,Other Degree,0.07348,3296,26719,0.07035,0.07661
2014,"Dropout, No School Degree",0.01534,549,26719,0.01386,0.01681
2014,No School Degree Yet,0.01806,892,26719,0.01646,0.01965
2015,Secondary School Degree,0.24576,6433,26367,0.24056,0.25096
2015,Intermediate School Degree,0.23466,7278,26367,0.22954,0.23977
2015,Technical School Degree,0.05247,1516,26367,0.04978,0.05517
2015,Upper Secondary Degree,0.17962,5682,26367,0.17498,0.18425
2015,Other Degree,0.07912,4086,26367,0.07587,0.08238
2015,"Dropout, No School Degree",0.01524,593,26367,0.01376,0.01672
2015,No School Degree Yet,0.01538,779,26367,0.01389,0.01686
2016,Secondary School Degree,0.23710,5900,26781,0.23201,0.24219
2016,Intermediate School Degree,0.23103,6721,26781,0.22599,0.23608
2016,Technical School Degree,0.05319,1429,26781,0.05050,0.05587
2016,Upper Secondary Degree,0.18179,5364,26781,0.17717,0.18641
2016,Other Degree,0.08336,4961,26781,0.08004,0.08667
2016,"Dropout, No School Degree",0.01496,1225,26781,0.01351,0.01642
2016,No School Degree Yet,0.01577,897,26781,0.01428,0.01726
2016,No School Attended,0.00028,284,26781,0.00008,0.00047
2017,Secondary School Degree,0.22873,6133,29996,0.22398,0.23348
2017,Intermediate School Degree,0.23304,7674,29996,0.22826,0.23782
2017,Technical School Degree,0.05394,1691,29996,0.05139,0.05650
2017,Upper Secondary Degree,0.18220,6216,29996,0.17783,0.18657
2017,Other Degree,0.08284,5339,29996,0.07972,0.08596
2017,"Dropout, No School Degree",0.01753,1523,29996,0.01604,0.01901
2017,No School Degree Yet,0.01710,1025,29996,0.01564,0.01857
2017,No School Attended,0.00050,395,29996,0.00025,0.00076
2018,Secondary School Degree,0.22313,5846,28503,0.21829,0.22796
2018,Intermediate School Degree,0.23251,7405,28503,0.22761,0.23742
2018,Technical School Degree,0.05598,1655,28503,0.05331,0.05865
2018,Upper Secondary Degree,0.18721,6071,28503,0.18269,0.19174
2018,Other Degree,0.08373,4865,28503,0.08052,0.08695
2018,"Dropout, No School Degree",0.01759,1485,28503,0.01606,0.01912
2018,No School Degree Yet,0.01472,857,28503,0.01332,0.01612
2018,No School Attended,0.00048,319,28503,0.00022,0.00073
2019,Secondary School Degree,0.21349,5450,28235,0.20871,0.21827
2019,Intermediate School Degree,0.23352,7575,28235,0.22859,0.23846
2019,Technical School Degree,0.05544,1762,28235,0.05277,0.05811
2019,Upper Secondary Degree,0.19285,6823,28235,0.18824,0.19745
2019,Other Degree,0.08360,4238,28235,0.08037,0.08683
2019,"Dropout, No School Degree",0.01780,1324,28235,0.01626,0.01934
2019,No School Degree Yet,0.01341,697,28235,0.01207,0.01475
2019,No School Attended,0.00065,366,28235,0.00035,0.00094
2020,Secondary School Degree,0.20952,4938,28301,0.20478,0.21426
2020,Intermediate School Degree,0.23385,6983,28301,0.22892,0.23879
2020,Technical School Degree,0.05594,1658,28301,0.05326,0.05861
2020,Upper Secondary Degree,0.19928,6465,28301,0.19462,0.20393
2020,Other Degree,0.07652,5592,28301,0.07343,0.07962
2020,"Dropout, No School Degree",0.01574,1375,28301,0.01429,0.01719
2020,No School Degree Yet,0.01517,814,28301,0.01375,0.01660
2020,No School Attended,0.00106,476,28301,0.00068,0.00144
2021,Secondary School Degree,0.19715,3128,18774,0.19146,0.20284
2021,Intermediate School Degree,0.22055,4735,18774,0.21461,0.22648
2021,Technical School Degree,0.06057,1234,18774,0.05715,0.06398
2021,Upper Secondary Degree,0.21634,5049,18774,0.21045,0.22223
2021,Other Degree,0.07410,3061,18774,0.07035,0.07785
2021,"Dropout, No School Degree",0.01435,793,18774,0.01265,0.01605
2021,No School Degree Yet,0.01321,494,18774,0.01158,0.01485
2021,No School Attended,0.00128,280,18774,0.00077,0.00179
2022,Secondary School Degree,0.15856,3379,24178,0.15396,0.16316
2022,Intermediate School Degree,0.20090,5958,24178,0.19585,0.20595
2022,Technical School Degree,0.05812,1711,24178,0.05517,0.06107
2022,Upper Secondary Degree,0.21162,7095,24178,0.20647,0.21677
2022,Other Degree,0.06930,4383,24178,0.06610,0.07250
2022,"Dropout, No School Degree",0.01219,737,24178,0.01080,0.01357
2022,No School Degree Yet,0.01100,662,24178,0.00969,0.01232
2022,No School Attended,0.00230,253,24178,0.00170,0.00291
