"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2000","Laendlicher Raum","Westdeutschland","36570.35","33613","6130","35803.87","37336.83"
"2000","Staedtischer Raum","Ostdeutschland","29772.39","23724.5","2338","28511.25","31033.53"
"2000","Staedtischer Raum","Westdeutschland","38742.56","34562.5","18320","38264.73","39220.39"
"2001","Laendlicher Raum","Ostdeutschland","25203.25","22272","4564","24489.91","25916.59"
"2001","Laendlicher Raum","Westdeutschland","36673.56","33904","5412","35827.97","37519.15"
"2001","Staedtischer Raum","Ostdeutschland","28926.77","23056","2174","27711.98","30141.56"
"2001","Staedtischer Raum","Westdeutschland","39072.92","35073.5","16578","38536.56","39609.28"
"2002","Laendlicher Raum","Ostdeutschland","25001.04","21156","4521","24065.52","25936.56"
"2002","Laendlicher Raum","Westdeutschland","36787.38","33464.5","5602","35749.55","37825.21"
"2002","Staedtischer Raum","Ostdeutschland","28062.8","20950","2183","26390.38","29735.22"
"2002","Staedtischer Raum","Westdeutschland","39561.43","33968.5","17810","38750.29","40372.57"
"2003","Laendlicher Raum","Ostdeutschland","25759.42","21772.5","4413","24818.52","26700.32"
"2003","Laendlicher Raum","Westdeutschland","38213","34554.5","5227","37123.1","39302.9"
"2003","Staedtischer Raum","Ostdeutschland","27378.96","20764.5","2134","25732.03","29025.89"
"2003","Staedtischer Raum","Westdeutschland","40117.07","35198.5","17018","39322.31","40911.83"
"2004","Laendlicher Raum","Ostdeutschland","25458.39","20774","4261","24517.53","26399.25"
"2004","Laendlicher Raum","Westdeutschland","38416.56","33931","5105","35772.1","41061.02"
"2004","Staedtischer Raum","Ostdeutschland","26130.03","20592.5","2117","24578.31","27681.75"
"2004","Staedtischer Raum","Westdeutschland","39681.77","34822.5","16448","38883.44","40480.1"
"2005","Laendlicher Raum","Ostdeutschland","25253.46","18794","4100","24256.01","26250.91"
"2005","Laendlicher Raum","Westdeutschland","38540.2","34543.5","4854","35686.1","41394.3"
"2005","Staedtischer Raum","Ostdeutschland","26334.41","18624","2051","24676.08","27992.74"
"2005","Staedtischer Raum","Westdeutschland","39622.49","35299.5","15701","38840.97","40404.01"
"2006","Laendlicher Raum","Ostdeutschland","24143.84","17970","4391","23201.65","25086.03"
"2006","Laendlicher Raum","Westdeutschland","37542.49","33455.5","5462","36178.52","38906.46"
"2006","Staedtischer Raum","Ostdeutschland","25249.91","16933.5","2149","23642.28","26857.54"
"2006","Staedtischer Raum","Westdeutschland","39773.04","34293.5","16666","38949.74","40596.34"
"2007","Laendlicher Raum","Ostdeutschland","25790.59","19829","4102","24787.6","26793.58"
"2007","Laendlicher Raum","Westdeutschland","37793.87","34329.5","5061","36641.67","38946.07"
"2007","Staedtischer Raum","Ostdeutschland","25959.5","18558.5","2022","24189.25","27729.75"
"2007","Staedtischer Raum","Westdeutschland","41273.33","34995","15433","40429.85","42116.81"
"2008","Laendlicher Raum","Ostdeutschland","26798.67","20425.5","3867","25766.53","27830.81"
"2008","Laendlicher Raum","Westdeutschland","40730.39","35319.5","4696","38650.06","42810.72"
"2008","Staedtischer Raum","Ostdeutschland","26087.94","19933.5","1954","24165.15","28010.73"
"2008","Staedtischer Raum","Westdeutschland","42343.94","36450.5","14360","41471.05","43216.83"
"2009","Laendlicher Raum","Ostdeutschland","28106.42","22485","3722","26978.12","29234.72"
"2009","Laendlicher Raum","Westdeutschland","40010.46","35817.5","4460","38611.44","41409.48"
"2009","Staedtischer Raum","Ostdeutschland","28275.27","20672.5","1860","26459.09","30091.45"
"2009","Staedtischer Raum","Westdeutschland","43550.25","37012","13179","42543.43","44557.07"
"2010","Laendlicher Raum","Ostdeutschland","28323.04","21530.5","5197","27461.49","29184.59"
"2010","Laendlicher Raum","Westdeutschland","38730.77","34670","7945","37942.64","39518.9"
"2010","Staedtischer Raum","Ostdeutschland","28417.36","20034.5","2733","27006.99","29827.73"
"2010","Staedtischer Raum","Westdeutschland","43390.96","36027.5","21593","42737.92","44044"
"2011","Laendlicher Raum","Ostdeutschland","29249.56","22220.5","5936","28374.72","30124.4"
"2011","Laendlicher Raum","Westdeutschland","41616.06","36379.5","9885","40868.6","42363.52"
"2011","Staedtischer Raum","Ostdeutschland","28659.75","20752","3210","27539.39","29780.11"
"2011","Staedtischer Raum","Westdeutschland","44911.83","36870","24970","44267.68","45555.98"
"2012","Laendlicher Raum","Ostdeutschland","29238.14","22295","5795","28370.35","30105.93"
"2012","Laendlicher Raum","Westdeutschland","41437.41","35853","9660","40689.39","42185.43"
"2012","Staedtischer Raum","Ostdeutschland","30945.06","20994","3075","29679.31","32210.81"
"2012","Staedtischer Raum","Westdeutschland","46383.07","38038.5","23876","45596.83","47169.31"
"2013","Laendlicher Raum","Ostdeutschland","30201.99","23834.5","5702","29325.26","31078.72"
"2013","Laendlicher Raum","Westdeutschland","41725.34","35589.5","10450","40941.97","42508.71"
"2013","Staedtischer Raum","Ostdeutschland","32144.33","23416","3134","30896.83","33391.83"
"2013","Staedtischer Raum","Westdeutschland","46684.36","37256","28379","46009.12","47359.6"
"2014","Laendlicher Raum","Ostdeutschland","30622.66","24118","5192","29660.47","31584.85"
"2014","Laendlicher Raum","Westdeutschland","41772.15","34996","9172","40914.5","42629.8"
"2014","Staedtischer Raum","Ostdeutschland","32907.63","22773","2830","31595.53","34219.73"
"2014","Staedtischer Raum","Westdeutschland","47612.79","38034","24313","46856.69","48368.89"
"2015","Laendlicher Raum","Ostdeutschland","30852.67","22928.5","4945","29914.39","31790.95"
"2015","Laendlicher Raum","Westdeutschland","43165.67","36320.5","9179","42363.72","43967.62"
"2015","Staedtischer Raum","Ostdeutschland","33557.42","25053","2778","32289.89","34824.95"
"2015","Staedtischer Raum","Westdeutschland","47793.82","39278","24150","47118.34","48469.3"
"2016","Laendlicher Raum","Ostdeutschland","33938.36","26569","4616","32560.86","35315.86"
"2016","Laendlicher Raum","Westdeutschland","45230.84","37792.5","8166","44166.6","46295.08"
"2016","Staedtischer Raum","Ostdeutschland","35738.02","26754","2539","34110.4","37365.64"
"2016","Staedtischer Raum","Westdeutschland","49436.99","41534","21469","48621.6","50252.38"
"2017","Laendlicher Raum","Ostdeutschland","34731.75","27462","5574","33763.89","35699.61"
"2017","Laendlicher Raum","Westdeutschland","48274.46","40335.5","9617","47177.28","49371.64"
"2017","Staedtischer Raum","Ostdeutschland","36950.49","30278","3075","35506.16","38394.82"
"2017","Staedtischer Raum","Westdeutschland","50631.27","41974.5","26381","49866","51396.54"
"2018","Laendlicher Raum","Ostdeutschland","35054.2","27550","5639","34059.75","36048.65"
"2018","Laendlicher Raum","Westdeutschland","48194.53","40639.5","9713","47244.65","49144.41"
"2018","Staedtischer Raum","Ostdeutschland","37789.36","30950","3334","36354.39","39224.33"
"2018","Staedtischer Raum","Westdeutschland","52310.35","42679.5","27800","51554.48","53066.22"
"2019","Laendlicher Raum","Ostdeutschland","38584.59","31186.5","5877","36532.56","40636.62"
"2019","Laendlicher Raum","Westdeutschland","50553.3","43093","9618","49133.05","51973.55"
"2019","Staedtischer Raum","Ostdeutschland","41688.24","36780","3367","38609.3","44767.18"
"2019","Staedtischer Raum","Westdeutschland","55549.19","45080","27849","53340.46","57757.92"
"2020","Laendlicher Raum","Ostdeutschland","39962.62","32915.5","5528","38001.44","41923.8"
"2020","Laendlicher Raum","Westdeutschland","52859.28","45867.5","9668","49924.26","55794.3"
"2020","Staedtischer Raum","Ostdeutschland","43315.04","40109.5","3266","39648.82","46981.26"
"2020","Staedtischer Raum","Westdeutschland","59415.36","47517.5","28088","56904.57","61926.15"
