year,quintil_oecd_hh,rentown,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,1st Quintile,Owner,Yes,0.19442,81,354,0.15313,0.23570
2006,1st Quintile,Owner,No,0.80558,273,354,0.76430,0.84687
2006,1st Quintile,Tenant,Yes,0.09061,167,1742,0.07713,0.10410
2006,1st Quintile,Tenant,No,0.90939,1575,1742,0.89590,0.92287
2006,2nd Quintile,Owner,Yes,0.18516,167,805,0.15831,0.21200
2006,2nd Quintile,Owner,No,0.81484,638,805,0.78800,0.84169
2006,2nd Quintile,Tenant,Yes,0.09697,157,1417,0.08155,0.11238
2006,2nd Quintile,Tenant,No,0.90303,1260,1417,0.88762,0.91845
2006,3rd Quintile,Owner,Yes,0.16471,218,1191,0.14364,0.18579
2006,3rd Quintile,Owner,No,0.83529,973,1191,0.81421,0.85636
2006,3rd Quintile,Tenant,Yes,0.09860,125,1195,0.08169,0.11551
2006,3rd Quintile,Tenant,No,0.90140,1070,1195,0.88449,0.91831
2006,4th Quintile,Owner,Yes,0.17020,264,1485,0.15108,0.18932
2006,4th Quintile,Owner,No,0.82980,1221,1485,0.81068,0.84892
2006,4th Quintile,Tenant,Yes,0.06613,74,1008,0.05078,0.08148
2006,4th Quintile,Tenant,No,0.93387,934,1008,0.91852,0.94922
2006,5th Quintile,Owner,Yes,0.13827,344,2167,0.12373,0.15281
2006,5th Quintile,Owner,No,0.86173,1823,2167,0.84719,0.87627
2006,5th Quintile,Tenant,Yes,0.06560,65,893,0.04935,0.08185
2006,5th Quintile,Tenant,No,0.93440,828,893,0.91815,0.95065
2011,1st Quintile,Owner,Yes,0.16095,72,383,0.12410,0.19780
2011,1st Quintile,Owner,No,0.73546,311,383,0.69123,0.77970
2011,1st Quintile,Tenant,Yes,0.07309,184,1872,0.06129,0.08488
2011,1st Quintile,Tenant,No,0.78874,1688,1872,0.77024,0.80724
2011,2nd Quintile,Owner,Yes,0.13504,145,861,0.11219,0.15788
2011,2nd Quintile,Owner,No,0.77145,716,861,0.74338,0.79951
2011,2nd Quintile,Tenant,Yes,0.08497,139,1378,0.07024,0.09970
2011,2nd Quintile,Tenant,No,0.81360,1239,1378,0.79303,0.83417
2011,3rd Quintile,Owner,Yes,0.13863,209,1232,0.11932,0.15793
2011,3rd Quintile,Owner,No,0.79725,1023,1232,0.77479,0.81971
2011,3rd Quintile,Tenant,Yes,0.09167,125,1143,0.07493,0.10840
2011,3rd Quintile,Tenant,No,0.83906,1018,1143,0.81774,0.86037
2011,4th Quintile,Owner,Yes,0.14682,242,1470,0.12872,0.16492
2011,4th Quintile,Owner,No,0.79806,1228,1470,0.77753,0.81859
2011,4th Quintile,Tenant,Yes,0.07403,81,966,0.05751,0.09055
2011,4th Quintile,Tenant,No,0.88184,885,966,0.86148,0.90221
2011,5th Quintile,Owner,Yes,0.14879,312,1998,0.13318,0.16440
2011,5th Quintile,Owner,No,0.81528,1686,1998,0.79826,0.83230
2011,5th Quintile,Tenant,Yes,0.06948,62,778,0.05160,0.08736
2011,5th Quintile,Tenant,No,0.89798,716,778,0.87670,0.91927
2016,1st Quintile,Owner,Yes,0.17994,95,396,0.14206,0.21782
2016,1st Quintile,Owner,No,0.82006,301,396,0.78218,0.85794
2016,1st Quintile,Tenant,Yes,0.10467,344,2699,0.09312,0.11623
2016,1st Quintile,Tenant,No,0.89533,2355,2699,0.88377,0.90688
2016,2nd Quintile,Owner,Yes,0.17844,207,1026,0.15500,0.20188
2016,2nd Quintile,Owner,No,0.82156,819,1026,0.79812,0.84500
2016,2nd Quintile,Tenant,Yes,0.08617,203,2015,0.07391,0.09843
2016,2nd Quintile,Tenant,No,0.91383,1812,2015,0.90157,0.92609
2016,3rd Quintile,Owner,Yes,0.14871,231,1341,0.12966,0.16776
2016,3rd Quintile,Owner,No,0.85129,1110,1341,0.83224,0.87034
2016,3rd Quintile,Tenant,Yes,0.08857,148,1402,0.07370,0.10345
2016,3rd Quintile,Tenant,No,0.91143,1254,1402,0.89655,0.92630
2016,4th Quintile,Owner,Yes,0.15545,258,1561,0.13747,0.17343
2016,4th Quintile,Owner,No,0.84455,1303,1561,0.82657,0.86253
2016,4th Quintile,Tenant,Yes,0.08432,108,1101,0.06790,0.10074
2016,4th Quintile,Tenant,No,0.91568,993,1101,0.89926,0.93210
2016,5th Quintile,Owner,Yes,0.14128,299,1978,0.12593,0.15663
2016,5th Quintile,Owner,No,0.85872,1679,1978,0.84337,0.87407
2016,5th Quintile,Tenant,Yes,0.08585,63,777,0.06614,0.10556
2016,5th Quintile,Tenant,No,0.91415,714,777,0.89444,0.93386
2021,1st Quintile,Owner,Yes,0.18723,50,270,0.14061,0.23385
2021,1st Quintile,Owner,No,0.81161,220,270,0.76488,0.85834
2021,1st Quintile,Tenant,Yes,0.09582,208,1771,0.08211,0.10954
2021,1st Quintile,Tenant,No,0.85494,1563,1771,0.83854,0.87135
2021,2nd Quintile,Owner,Yes,0.12431,138,679,0.09948,0.14915
2021,2nd Quintile,Owner,No,0.87569,541,679,0.85085,0.90052
2021,2nd Quintile,Tenant,Yes,0.09157,185,1503,0.07699,0.10616
2021,2nd Quintile,Tenant,No,0.89834,1318,1503,0.88305,0.91362
2021,3rd Quintile,Owner,Yes,0.16932,201,927,0.14516,0.19347
2021,3rd Quintile,Owner,No,0.83048,726,927,0.80631,0.85464
2021,3rd Quintile,Tenant,Yes,0.07300,113,1097,0.05760,0.08840
2021,3rd Quintile,Tenant,No,0.92383,984,1097,0.90813,0.93954
2021,4th Quintile,Owner,Yes,0.15133,209,1211,0.13114,0.17152
2021,4th Quintile,Owner,No,0.84864,1002,1211,0.82845,0.86884
2021,4th Quintile,Tenant,Yes,0.10031,84,867,0.08030,0.12032
2021,4th Quintile,Tenant,No,0.89748,783,867,0.87728,0.91768
2021,5th Quintile,Owner,Yes,0.15211,352,1988,0.13632,0.16791
2021,5th Quintile,Owner,No,0.84519,1636,1988,0.82928,0.86109
2021,5th Quintile,Tenant,Yes,0.09296,66,719,0.07172,0.11420
2021,5th Quintile,Tenant,No,0.89867,653,719,0.87659,0.92074
