"hgowner","year","quintil","regtyp","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1987","1","Staedtischer Raum","2471","0.371739102865936","0.360719301002423","0.382758904729449"
"Eigentuemer","1987","1","Laendlicher Raum","993","0.546232153343669","0.523904817892086","0.568559488795252"
"Eigentuemer","1987","2","Staedtischer Raum","1302","0.597957625827875","0.581251689325911","0.614663562329838"
"Eigentuemer","1987","2","Laendlicher Raum","653","0.75355925991312","0.727228986958376","0.779889532867864"
"Eigentuemer","1987","3","Staedtischer Raum","","","",""
"Eigentuemer","1987","3","Laendlicher Raum","","","",""
"Eigentuemer","1987","4","Staedtischer Raum","","","",""
"Eigentuemer","1987","4","Laendlicher Raum","","","",""
"Eigentuemer","1987","5","Staedtischer Raum","","","",""
"Eigentuemer","1987","5","Laendlicher Raum","","","",""
"Hauptmieter","1987","1","Staedtischer Raum","4757","0.605001576193452","0.593854509950092","0.616148642436813"
"Hauptmieter","1987","1","Laendlicher Raum","871","0.424770970100914","0.402602831953228","0.446939108248601"
"Hauptmieter","1987","2","Staedtischer Raum","1959","0.391682182024267","0.375050664263986","0.408313699784549"
"Hauptmieter","1987","2","Laendlicher Raum","371","0.239972333178211","0.213878631577571","0.266066034778851"
"Hauptmieter","1987","3","Staedtischer Raum","","","",""
"Hauptmieter","1987","3","Laendlicher Raum","","","",""
"Hauptmieter","1987","4","Staedtischer Raum","","","",""
"Hauptmieter","1987","4","Laendlicher Raum","","","",""
"Hauptmieter","1987","5","Staedtischer Raum","","","",""
"Hauptmieter","1987","5","Laendlicher Raum","","","",""
"Untermieter","1987","1","Staedtischer Raum","153","0.0221326555275435","0.0187780505918704","0.0254872604632166"
"Untermieter","1987","1","Laendlicher Raum","46","0.0289968765554163","0.0214716889639204","0.0365220641469122"
"Untermieter","1987","2","Staedtischer Raum","48","0.010360192147858","0.00691016755635404","0.0138102167393619"
"Untermieter","1987","2","Laendlicher Raum","","","",""
"Untermieter","1987","3","Staedtischer Raum","","","",""
"Untermieter","1987","3","Laendlicher Raum","","","",""
"Untermieter","1987","4","Staedtischer Raum","","","",""
"Untermieter","1987","4","Laendlicher Raum","","","",""
"Untermieter","1987","5","Staedtischer Raum","","","",""
"Untermieter","1987","5","Laendlicher Raum","","","",""
"Mieter","1987","1","Staedtischer Raum","","","",""
"Mieter","1987","1","Laendlicher Raum","","","",""
"Mieter","1987","2","Staedtischer Raum","","","",""
"Mieter","1987","2","Laendlicher Raum","","","",""
"Mieter","1987","3","Staedtischer Raum","","","",""
"Mieter","1987","3","Laendlicher Raum","","","",""
"Mieter","1987","4","Staedtischer Raum","","","",""
"Mieter","1987","4","Laendlicher Raum","","","",""
"Mieter","1987","5","Staedtischer Raum","","","",""
"Mieter","1987","5","Laendlicher Raum","","","",""
"Eigentuemer","1988","1","Staedtischer Raum","2426","0.379326912769662","0.368098827805456","0.390554997733867"
"Eigentuemer","1988","1","Laendlicher Raum","921","0.549080833760248","0.526029871195638","0.572131796324859"
"Eigentuemer","1988","2","Staedtischer Raum","1220","0.601552137475235","0.584262132405578","0.618842142544892"
"Eigentuemer","1988","2","Laendlicher Raum","582","0.698816665919372","0.669901083175368","0.727732248663375"
"Eigentuemer","1988","3","Staedtischer Raum","","","",""
"Eigentuemer","1988","3","Laendlicher Raum","","","",""
"Eigentuemer","1988","4","Staedtischer Raum","","","",""
"Eigentuemer","1988","4","Laendlicher Raum","","","",""
"Eigentuemer","1988","5","Staedtischer Raum","","","",""
"Eigentuemer","1988","5","Laendlicher Raum","","","",""
"Hauptmieter","1988","1","Staedtischer Raum","4593","0.593530842480803","0.582164968162524","0.604896716799082"
"Hauptmieter","1988","1","Laendlicher Raum","823","0.419627861757219","0.396766241261423","0.442489482253014"
"Hauptmieter","1988","2","Staedtischer Raum","1830","0.389195130025561","0.371976139900867","0.406414120150255"
"Hauptmieter","1988","2","Laendlicher Raum","371","0.288596802964145","0.260038097454934","0.317155508473357"
"Hauptmieter","1988","3","Staedtischer Raum","","","",""
"Hauptmieter","1988","3","Laendlicher Raum","","","",""
"Hauptmieter","1988","4","Staedtischer Raum","","","",""
"Hauptmieter","1988","4","Laendlicher Raum","","","",""
"Hauptmieter","1988","5","Staedtischer Raum","","","",""
"Hauptmieter","1988","5","Laendlicher Raum","","","",""
"Untermieter","1988","1","Staedtischer Raum","154","0.0267956401753675","0.0230588260460919","0.0305324543046431"
"Untermieter","1988","1","Laendlicher Raum","44","0.0306229911012579","0.0226413584248318","0.0386046237776841"
"Untermieter","1988","2","Staedtischer Raum","30","0.00925273249920428","0.00587138988590247","0.0126340751125061"
"Untermieter","1988","2","Laendlicher Raum","","","",""
"Untermieter","1988","3","Staedtischer Raum","","","",""
"Untermieter","1988","3","Laendlicher Raum","","","",""
"Untermieter","1988","4","Staedtischer Raum","","","",""
"Untermieter","1988","4","Laendlicher Raum","","","",""
"Untermieter","1988","5","Staedtischer Raum","","","",""
"Untermieter","1988","5","Laendlicher Raum","","","",""
"Mieter","1988","1","Staedtischer Raum","","","",""
"Mieter","1988","1","Laendlicher Raum","","","",""
"Mieter","1988","2","Staedtischer Raum","","","",""
"Mieter","1988","2","Laendlicher Raum","","","",""
"Mieter","1988","3","Staedtischer Raum","","","",""
"Mieter","1988","3","Laendlicher Raum","","","",""
"Mieter","1988","4","Staedtischer Raum","","","",""
"Mieter","1988","4","Laendlicher Raum","","","",""
"Mieter","1988","5","Staedtischer Raum","","","",""
"Mieter","1988","5","Laendlicher Raum","","","",""
"Eigentuemer","1989","1","Staedtischer Raum","2393","0.388429984701404","0.376948966877234","0.399911002525575"
"Eigentuemer","1989","1","Laendlicher Raum","858","0.540298683654141","0.5165730364547","0.564024330853583"
"Eigentuemer","1989","2","Staedtischer Raum","1207","0.611529320272249","0.594228880463653","0.628829760080846"
"Eigentuemer","1989","2","Laendlicher Raum","566","0.739624350466516","0.711236498357375","0.768012202575656"
"Eigentuemer","1989","3","Staedtischer Raum","","","",""
"Eigentuemer","1989","3","Laendlicher Raum","","","",""
"Eigentuemer","1989","4","Staedtischer Raum","","","",""
