"hgowner","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Eigentuemer","1994","Laendlicher Raum","Ost","1459","0.409515820184114","0.392768612651871","0.426263027716356"
"Hauptmieter","1994","Staedtischer Raum","West","5651","0.520819340733431","0.510728948273628","0.530909733193233"
"Hauptmieter","1994","Staedtischer Raum","Ost","1419","0.832975824079505","0.815348364203083","0.850603283955927"
"Hauptmieter","1994","Laendlicher Raum","West","1076","0.364484961173913","0.346280464788226","0.382689457559599"
"Hauptmieter","1994","Laendlicher Raum","Ost","1738","0.55627182287097","0.539351643535493","0.573192002206447"
"Untermieter","1994","Staedtischer Raum","West","216","0.0269999205182691","0.0237261174844585","0.0302737235520797"
"Untermieter","1994","Staedtischer Raum","Ost","32","0.0226286984837225","0.0156005092428592","0.0296568877245858"
"Untermieter","1994","Laendlicher Raum","West","81","0.0293934876295262","0.0230046315315538","0.0357823437274986"
"Untermieter","1994","Laendlicher Raum","Ost","115","0.0342123569449166","0.0280217212654834","0.0404029926243498"
"Mieter","1994","Staedtischer Raum","West","","","",""
"Mieter","1994","Staedtischer Raum","Ost","","","",""
"Mieter","1994","Laendlicher Raum","West","","","",""
"Mieter","1994","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1995","Staedtischer Raum","West","3648","0.453278369899779","0.443487098412634","0.463069641386924"
"Eigentuemer","1995","Staedtischer Raum","Ost","298","0.174702268703979","0.155967463165041","0.193437074242916"
"Eigentuemer","1995","Laendlicher Raum","West","1531","0.591825960928979","0.574002090844556","0.609649831013402"
"Eigentuemer","1995","Laendlicher Raum","Ost","1413","0.407902035895485","0.391091275041617","0.424712796749353"
"Hauptmieter","1995","Staedtischer Raum","West","6053","0.519310224721245","0.509483261158929","0.529137188283561"
"Hauptmieter","1995","Staedtischer Raum","Ost","1252","0.806644708564408","0.787159109285941","0.826130307842874"
"Hauptmieter","1995","Laendlicher Raum","West","1305","0.372132027263293","0.35460270996813","0.389661344558457"
"Hauptmieter","1995","Laendlicher Raum","Ost","1731","0.550414210271813","0.533397964232706","0.567430456310921"
"Untermieter","1995","Staedtischer Raum","West","229","0.0274114053789763","0.0241999366011735","0.0306228741567791"
"Untermieter","1995","Staedtischer Raum","Ost","","","",""
"Untermieter","1995","Laendlicher Raum","West","85","0.0360420118077277","0.0292824914842492","0.0428015321312062"
"Untermieter","1995","Laendlicher Raum","Ost","139","0.0416837538327014","0.0348469914444553","0.0485205162209475"
"Mieter","1995","Staedtischer Raum","West","","","",""
"Mieter","1995","Staedtischer Raum","Ost","","","",""
"Mieter","1995","Laendlicher Raum","West","","","",""
"Mieter","1995","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1996","Staedtischer Raum","West","3638","0.459042487810551","0.449106750022219","0.468978225598883"
"Eigentuemer","1996","Staedtischer Raum","Ost","312","0.164259308214719","0.14611595297375","0.182402663455687"
"Eigentuemer","1996","Laendlicher Raum","West","1555","0.612499486167951","0.594703737467961","0.630295234867942"
"Eigentuemer","1996","Laendlicher Raum","Ost","1457","0.428107713208703","0.410950517482245","0.44526490893516"
"Hauptmieter","1996","Staedtischer Raum","West","5748","0.514718844009143","0.504753923260362","0.524683764757924"
"Hauptmieter","1996","Staedtischer Raum","Ost","1253","0.809401607768568","0.790168100631944","0.828635114905192"
"Hauptmieter","1996","Laendlicher Raum","West","1240","0.358759477069019","0.341239262140995","0.376279691997042"
"Hauptmieter","1996","Laendlicher Raum","Ost","1639","0.536104691671847","0.518812603000818","0.553396780342875"
"Untermieter","1996","Staedtischer Raum","West","277","0.0262386681803062","0.0230516153893042","0.0294257209713082"
"Untermieter","1996","Staedtischer Raum","Ost","37","0.0263390840167128","0.0184971887532294","0.0341809792801962"
"Untermieter","1996","Laendlicher Raum","West","84","0.0287410367630299","0.022637999894669","0.0348440736313908"
"Untermieter","1996","Laendlicher Raum","Ost","99","0.0357875951194508","0.029346417508339","0.0422287727305625"
"Mieter","1996","Staedtischer Raum","West","","","",""
"Mieter","1996","Staedtischer Raum","Ost","","","",""
"Mieter","1996","Laendlicher Raum","West","","","",""
"Mieter","1996","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1997","Staedtischer Raum","West","3717","0.463949131730588","0.453914028930672","0.473984234530504"
"Eigentuemer","1997","Staedtischer Raum","Ost","318","0.172141826575828","0.153324214118243","0.190959439033412"
"Eigentuemer","1997","Laendlicher Raum","West","1580","0.620888113627196","0.603032065360085","0.638744161894306"
"Eigentuemer","1997","Laendlicher Raum","Ost","1476","0.437500635517338","0.420140976362837","0.454860294671838"
"Hauptmieter","1997","Staedtischer Raum","West","5567","0.513886011133835","0.503828602452345","0.523943419815325"
"Hauptmieter","1997","Staedtischer Raum","Ost","1183","0.7901642527276","0.769866789034267","0.810461716420933"
"Hauptmieter","1997","Laendlicher Raum","West","1187","0.350492430743642","0.332932354074104","0.36805250741318"
"Hauptmieter","1997","Laendlicher Raum","Ost","1541","0.518581712726202","0.501096910581111","0.536066514871293"
"Untermieter","1997","Staedtischer Raum","West","203","0.0221648571355773","0.0192024214562491","0.0251272928149056"
"Untermieter","1997","Staedtischer Raum","Ost","45","0.0376939206965723","0.0282002182205551","0.0471876231725895"
"Untermieter","1997","Laendlicher Raum","West","69","0.0286194556291623","0.0224829609418759","0.0347559503164488"
"Untermieter","1997","Laendlicher Raum","Ost","120","0.0439176517564601","0.0367470098143853","0.051088293698535"
"Mieter","1997","Staedtischer Raum","West","","","",""
"Mieter","1997","Staedtischer Raum","Ost","","","",""
"Mieter","1997","Laendlicher Raum","West","","","",""
"Mieter","1997","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1998","Staedtischer Raum","West","4251","0.449062488288372","0.439572072047464","0.45855290452928"
"Eigentuemer","1998","Staedtischer Raum","Ost","362","0.203455305139523","0.183636701970111","0.223273908308935"
"Eigentuemer","1998","Laendlicher Raum","West","1988","0.647596921687906","0.631223236003823","0.663970607371989"
"Eigentuemer","1998","Laendlicher Raum","Ost","1626","0.454515154991191","0.4376513315682","0.471378978414183"
"Hauptmieter","1998","Staedtischer Raum","West","6006","0.520713197153341","0.511181335560593","0.530245058746089"
"Hauptmieter","1998","Staedtischer Raum","Ost","1186","0.777338189761979","0.756856710134222","0.797819669389736"
"Hauptmieter","1998","Laendlicher Raum","West","1191","0.322734936700092","0.306710729872596","0.338759143527587"
"Hauptmieter","1998","Laendlicher Raum","Ost","1600","0.502511255609048","0.485577431524024","0.519445079694073"
"Untermieter","1998","Staedtischer Raum","West","295","0.0302243145582871","0.0269577249543706","0.0334909041622036"
"Untermieter","1998","Staedtischer Raum","Ost","37","0.0192065050984976","0.0124496217847652","0.0259633884122301"
"Untermieter","1998","Laendlicher Raum","West","91","0.0296681416120029","0.0238527424219032","0.0354835408021025"
"Untermieter","1998","Laendlicher Raum","Ost","123","0.0429735893997603","0.0361052255504098","0.0498419532491108"
"Mieter","1998","Staedtischer Raum","West","","","",""
"Mieter","1998","Staedtischer Raum","Ost","","","",""
"Mieter","1998","Laendlicher Raum","West","","","",""
"Mieter","1998","Laendlicher Raum","Ost","","","",""
"Eigentuemer","1999","Staedtischer Raum","West","4215","0.458213695999709","0.448484092060749","0.467943299938668"
"Eigentuemer","1999","Staedtischer Raum","Ost","382","0.209815230614604","0.189498774210017","0.230131687019191"
"Eigentuemer","1999","Laendlicher Raum","West","1920","0.652438731757311","0.635790755241384","0.669086708273237"
"Eigentuemer","1999","Laendlicher Raum","Ost","1587","0.452225269204468","0.435055686579874","0.469394851829062"
"Hauptmieter","1999","Staedtischer Raum","West","5626","0.518612172515573","0.508855178851773","0.528369166179373"
"Hauptmieter","1999","Staedtischer Raum","Ost","1140","0.772941087948495","0.752038137004034","0.793844038892955"
"Hauptmieter","1999","Laendlicher Raum","West","1143","0.314017661425756","0.297791738631186","0.330243584220325"
"Hauptmieter","1999","Laendlicher Raum","Ost","1540","0.514779424444697","0.497538461346633","0.532020387542761"
"Untermieter","1999","Staedtischer Raum","West","233","0.0231741314847187","0.020236093358639","0.0261121696107984"
"Untermieter","1999","Staedtischer Raum","Ost","","","",""
"Untermieter","1999","Laendlicher Raum","West","80","0.0335436068169337","0.0272489521145702","0.0398382615192972"
"Untermieter","1999","Laendlicher Raum","Ost","101","0.0329953063508346","0.0268333062437277","0.0391573064579415"
"Mieter","1999","Staedtischer Raum","West","","","",""
"Mieter","1999","Staedtischer Raum","Ost","","","",""
"Mieter","1999","Laendlicher Raum","West","","","",""
"Mieter","1999","Laendlicher Raum","Ost","","","",""
"Eigentuemer","2000","Staedtischer Raum","West","8722","0.457303982408871","0.4500901480601","0.464517816757642"
"Eigentuemer","2000","Staedtischer Raum","Ost","604","0.208729844918689","0.192256548788412","0.225203141048965"
"Eigentuemer","2000","Laendlicher Raum","West","3918","0.619999467071098","0.607848646305929","0.632150287836267"
"Eigentuemer","2000","Laendlicher Raum","Ost","2666","0.481649593445136","0.467826131733551","0.495473055156721"
"Hauptmieter","2000","Staedtischer Raum","West","9352","0.525026081226338","0.5177948761753","0.532257286277376"
"Hauptmieter","2000","Staedtischer Raum","Ost","1709","0.783438875994054","0.766742637286553","0.800135114701555"
"Hauptmieter","2000","Laendlicher Raum","West","2144","0.364800712312844","0.352750333658435","0.376851090967254"
"Hauptmieter","2000","Laendlicher Raum","Ost","2265","0.499915301987239","0.486082521305039","0.513748082669439"
"Untermieter","2000","Staedtischer Raum","West","246","0.0176699363647909","0.0157621419769905","0.0195777307525913"
"Untermieter","2000","Staedtischer Raum","Ost","","","",""
"Untermieter","2000","Laendlicher Raum","West","68","0.0151998206160581","0.0121370734650365","0.0182625677670797"
"Untermieter","2000","Laendlicher Raum","Ost","88","0.0184351045676249","0.0147135721635487","0.0221566369717011"
"Mieter","2000","Staedtischer Raum","West","","","",""
"Mieter","2000","Staedtischer Raum","Ost","","","",""
"Mieter","2000","Laendlicher Raum","West","","","",""
"Mieter","2000","Laendlicher Raum","Ost","","","",""
"Eigentuemer","2001","Staedtischer Raum","West","7869","0.457558837669819","0.449975125939785","0.465142549399853"
"Eigentuemer","2001","Staedtischer Raum","Ost","607","0.22471823993082","0.207172678612765","0.242263801248876"
"Eigentuemer","2001","Laendlicher Raum","West","3547","0.637124461087188","0.624314135037525","0.649934787136852"
"Eigentuemer","2001","Laendlicher Raum","Ost","2464","0.490465571503226","0.475962289091166","0.504968853915286"
"Hauptmieter","2001","Staedtischer Raum","West","8492","0.524737389663977","0.51713552990894","0.532339249419015"
"Hauptmieter","2001","Staedtischer Raum","Ost","1547","0.767095608533028","0.749327880085521","0.784863336980536"
"Hauptmieter","2001","Laendlicher Raum","West","1805","0.350176459504777","0.337467488443737","0.362885430565818"
"Hauptmieter","2001","Laendlicher Raum","Ost","2010","0.490368404220566","0.475865175847487","0.504871632593646"
"Untermieter","2001","Staedtischer Raum","West","216","0.0175278949322877","0.0155303018828169","0.0195254879817586"
"Untermieter","2001","Staedtischer Raum","Ost","","","",""
"Untermieter","2001","Laendlicher Raum","West","60","0.0126990794080343","0.00971589508925257","0.0156822637268159"
"Untermieter","2001","Laendlicher Raum","Ost","90","0.0191660242762074","0.0151882600218283","0.0231437885305865"
"Mieter","2001","Staedtischer Raum","West","","","",""
"Mieter","2001","Staedtischer Raum","Ost","","","",""
"Mieter","2001","Laendlicher Raum","West","","","",""
"Mieter","2001","Laendlicher Raum","Ost","","","",""
"Eigentuemer","2002","Staedtischer Raum","West","9304","0.466077312508239","0.458751019219818","0.473403605796659"
"Eigentuemer","2002","Staedtischer Raum","Ost","667","0.215412642339063","0.19816707563942","0.232658209038706"
"Eigentuemer","2002","Laendlicher Raum","West","3792","0.635655962506385","0.623053847616275","0.648258077396495"
"Eigentuemer","2002","Laendlicher Raum","Ost","2446","0.486991884532855","0.472422076918389","0.50156169214732"
"Hauptmieter","2002","Staedtischer Raum","West","8280","0.516710297786683","0.509371186714973","0.524049408858394"
"Hauptmieter","2002","Staedtischer Raum","Ost","1479","0.770224087744655","0.752576635273239","0.78787154021607"
"Hauptmieter","2002","Laendlicher Raum","West","1728","0.346202210333747","0.333743784219205","0.358660636448289"
"Hauptmieter","2002","Laendlicher Raum","Ost","1982","0.493265510404889","0.478692091627201","0.507838929182577"
"Untermieter","2002","Staedtischer Raum","West","225","0.0170289094409991","0.0151287942856675","0.0189290245963306"
"Untermieter","2002","Staedtischer Raum","Ost","37","0.0143632699162822","0.00937205438849994","0.0193544854440644"
"Untermieter","2002","Laendlicher Raum","West","82","0.018141827159868","0.0146468734252482","0.0216367808944878"
"Untermieter","2002","Laendlicher Raum","Ost","93","0.0197426050622566","0.0156874904818946","0.0237977196426186"
"Mieter","2002","Staedtischer Raum","West","","","",""
"Mieter","2002","Staedtischer Raum","Ost","","","",""
"Mieter","2002","Laendlicher Raum","West","","","",""
"Mieter","2002","Laendlicher Raum","Ost","","","",""
"Eigentuemer","2003","Staedtischer Raum","West","8879","0.457405681097764","0.449920846119679","0.46489051607585"
"Eigentuemer","2003","Staedtischer Raum","Ost","668","0.219445563822298","0.201885912638252","0.237005215006345"
"Eigentuemer","2003","Laendlicher Raum","West","3544","0.636045808010584","0.623002450408076","0.649089165613092"
"Eigentuemer","2003","Laendlicher Raum","Ost","2404","0.487614535209071","0.472867054069775","0.502362016348367"
"Hauptmieter","2003","Staedtischer Raum","West","7885","0.522113529015154","0.514608736796647","0.529618321233661"
"Hauptmieter","2003","Staedtischer Raum","Ost","1432","0.763013175068985","0.744971410835608","0.781054939302363"
"Hauptmieter","2003","Laendlicher Raum","West","1591","0.33711333297028","0.324298013189014","0.349928652751546"
"Hauptmieter","2003","Laendlicher Raum","Ost","1890","0.482491068576988","0.467748108439512","0.497234028714465"
"Untermieter","2003","Staedtischer Raum","West","253","0.0202918259264109","0.0181734513229704","0.0224102005298514"
"Untermieter","2003","Staedtischer Raum","Ost","34","0.0175412611087162","0.0119714758666928","0.0231110463507395"
"Untermieter","2003","Laendlicher Raum","West","92","0.0268408590191363","0.0224594683437662","0.0312222496945063"
"Untermieter","2003","Laendlicher Raum","Ost","119","0.0298943962139404","0.0248699809411524","0.0349188114867285"
"Mieter","2003","Staedtischer Raum","West","","","",""
"Mieter","2003","Staedtischer Raum","Ost","","","",""
"Mieter","2003","Laendlicher Raum","West","","","",""
"Mieter","2003","Laendlicher Raum","Ost","","","",""
"Eigentuemer","2004","Staedtischer Raum","West","8564","0.452569141938459","0.444962400595666","0.460175883281253"
"Eigentuemer","2004","Staedtischer Raum","Ost","669","0.212325675114201","0.194905109023652","0.22974624120475"
"Eigentuemer","2004","Laendlicher Raum","West","3480","0.632105815299","0.618877438034432","0.645334192563568"
"Eigentuemer","2004","Laendlicher Raum","Ost","2375","0.485574989524006","0.470568416835404","0.500581562212608"
"Hauptmieter","2004","Staedtischer Raum","West","7638","0.52609574953844","0.518464964125375","0.533726534951506"
"Hauptmieter","2004","Staedtischer Raum","Ost","1407","0.771657612605774","0.753776552904185","0.789538672307362"
"Hauptmieter","2004","Laendlicher Raum","West","1542","0.346856666557891","0.333800084876148","0.359913248239634"
"Hauptmieter","2004","Laendlicher Raum","Ost","1782","0.481012935277794","0.466010941933519","0.496014928622068"
"Untermieter","2004","Staedtischer Raum","West","242","0.0210548462791952","0.0188607950677948","0.0232488974905956"
"Untermieter","2004","Staedtischer Raum","Ost","41","0.0160167122800254","0.0106689978193436","0.0213644267407071"
"Untermieter","2004","Laendlicher Raum","West","83","0.0210375181431087","0.0171008347006901","0.0249742015855274"
"Untermieter","2004","Laendlicher Raum","Ost","104","0.0334120751982008","0.028016164771328","0.0388079856250735"
"Mieter","2004","Staedtischer Raum","West","","","",""
