year,age_gr,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1987,66 and older,5th Quintile,148,2.2470745059646577,2.095439689247236,2.3987093226820795,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1988,0-16 y.,1st Quintile,,,,,,,,,,,,
1988,0-16 y.,2nd Quintile,,,,,,,,,,,,
1988,0-16 y.,3rd Quintile,,,,,,,,,,,,
1988,0-16 y.,4th Quintile,,,,,,,,,,,,
1988,0-16 y.,5th Quintile,,,,,,,,,,,,
1988,17-29 y.,1st Quintile,635,2.7624123988689626,2.666708235985709,2.858116561752216,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1988,17-29 y.,2nd Quintile,559,2.654391006697682,2.5501996499322765,2.7585823634630873,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,17-29 y.,3rd Quintile,604,3.0149506947857,2.904644305266286,3.125257084305114,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,17-29 y.,4th Quintile,624,3.0919934727355907,2.979181456071281,3.2048054893999005,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1988,17-29 y.,5th Quintile,433,3.4251391798660458,3.296806834327894,3.5534715254041975,2.0,3.0,5.0,0.0,9.5,3.0,3.0,4.0
1988,30-45 y.,1st Quintile,534,1.893017660340915,1.808460727136679,1.977574593545151,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1988,30-45 y.,2nd Quintile,640,2.2971673467414937,2.2046405347883793,2.389694158694608,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1988,30-45 y.,3rd Quintile,594,2.3230105439931004,2.2412009817689578,2.404820106217243,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1988,30-45 y.,4th Quintile,554,2.585073333855217,2.4764095478336148,2.6937371198768196,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,30-45 y.,5th Quintile,609,2.885092853649226,2.789988410505935,2.980197296792517,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1988,46-65 y.,1st Quintile,504,1.9494787036663532,1.8489907624257305,2.0499666449069758,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1988,46-65 y.,2nd Quintile,507,1.995505944894927,1.891921560414695,2.099090329375159,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1988,46-65 y.,3rd Quintile,623,2.317988993491248,2.2126693989978383,2.423308587984658,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1988,46-65 y.,4th Quintile,731,2.2167790601830624,2.1302567161389683,2.3033014042271565,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1988,46-65 y.,5th Quintile,729,2.5658697119013465,2.4766084863485514,2.6551309374541416,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1988,66 and older,1st Quintile,276,1.8547949743053638,1.7145859472972282,1.9950040013134993,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1988,66 and older,2nd Quintile,263,1.6702001715783985,1.5521465887195514,1.7882537544372457,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
1988,66 and older,3rd Quintile,172,1.8261723125831149,1.6857457138258014,1.9665989113404283,0.0,2.0,2.0,0.0,5.0,2.0,2.0,3.0
1988,66 and older,4th Quintile,157,1.813414431930607,1.6675956017578923,1.9592332621033215,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1988,66 and older,5th Quintile,154,1.9977272570108897,1.846358721206745,2.1490957928150345,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1989,0-16 y.,1st Quintile,,,,,,,,,,,,
1989,0-16 y.,2nd Quintile,,,,,,,,,,,,
1989,0-16 y.,3rd Quintile,,,,,,,,,,,,
1989,0-16 y.,4th Quintile,,,,,,,,,,,,
1989,0-16 y.,5th Quintile,,,,,,,,,,,,
1989,17-29 y.,1st Quintile,636,2.8327958106108295,2.7232832444778317,2.9423083767438274,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1989,17-29 y.,2nd Quintile,602,2.694590285552261,2.5977303834033205,2.791450187701202,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1989,17-29 y.,3rd Quintile,529,2.9275470336807072,2.8146120961463943,3.04048197121502,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1989,17-29 y.,4th Quintile,627,3.446394267735915,3.3312566050820194,3.5615319303898105,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1989,17-29 y.,5th Quintile,421,3.33970439308058,3.1971467261430835,3.4822620600180763,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1989,30-45 y.,1st Quintile,503,1.795425629541332,1.7029682619656226,1.8878829971170414,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1989,30-45 y.,2nd Quintile,613,2.130490022253922,2.046564562040832,2.2144154824670115,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1989,30-45 y.,3rd Quintile,589,2.449794752562832,2.349934438648703,2.549655066476961,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1989,30-45 y.,4th Quintile,530,2.541018015484991,2.4386156110843897,2.643420419885592,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1989,30-45 y.,5th Quintile,586,2.7666019636557717,2.6673038808330105,2.865900046478533,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1989,46-65 y.,1st Quintile,475,2.184088755733975,2.071066815112804,2.297110696355146,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1989,46-65 y.,2nd Quintile,525,2.1228732859634882,2.0244143010793327,2.2213322708476437,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1989,46-65 y.,3rd Quintile,577,2.079324677808596,1.9852630496568322,2.17338630596036,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1989,46-65 y.,4th Quintile,710,2.3069588164841113,2.217217605204989,2.3967000277632335,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1989,46-65 y.,5th Quintile,669,2.602715162899953,2.5092708043602485,2.6961595214396574,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1989,66 and older,1st Quintile,285,1.4547952889707618,1.341878793683314,1.5677117842582096,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
1989,66 and older,2nd Quintile,213,1.7365248281629908,1.5935902121382663,1.8794594441877153,0.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0
1989,66 and older,3rd Quintile,181,1.6166421007979817,1.4667590797825831,1.7665251218133802,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
1989,66 and older,4th Quintile,158,1.8622974255366245,1.6666197872404596,2.0579750638327896,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1989,66 and older,5th Quintile,160,2.0016655376386163,1.8367677938397158,2.166563281437517,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1990,0-16 y.,1st Quintile,,,,,,,,,,,,
1990,0-16 y.,2nd Quintile,,,,,,,,,,,,
1990,0-16 y.,3rd Quintile,,,,,,,,,,,,
1990,0-16 y.,4th Quintile,,,,,,,,,,,,
1990,0-16 y.,5th Quintile,,,,,,,,,,,,
1990,17-29 y.,1st Quintile,,,,,,,,,,,,
1990,17-29 y.,2nd Quintile,,,,,,,,,,,,
1990,17-29 y.,3rd Quintile,,,,,,,,,,,,
1990,17-29 y.,4th Quintile,,,,,,,,,,,,
1990,17-29 y.,5th Quintile,,,,,,,,,,,,
1990,30-45 y.,1st Quintile,,,,,,,,,,,,
1990,30-45 y.,2nd Quintile,,,,,,,,,,,,
1990,30-45 y.,3rd Quintile,,,,,,,,,,,,
1990,30-45 y.,4th Quintile,,,,,,,,,,,,
1990,30-45 y.,5th Quintile,,,,,,,,,,,,
1990,46-65 y.,1st Quintile,,,,,,,,,,,,
1990,46-65 y.,2nd Quintile,,,,,,,,,,,,
1990,46-65 y.,3rd Quintile,,,,,,,,,,,,
1990,46-65 y.,4th Quintile,,,,,,,,,,,,
1990,46-65 y.,5th Quintile,,,,,,,,,,,,
1990,66 and older,1st Quintile,,,,,,,,,,,,
