year,pgisced97,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1986,higher vocational,3. Quintil,111,2.0007202244219298,1.8220356859475189,2.1794047628963407,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1986,higher vocational,4. Quintil,56,2.446355876511205,2.17849549135194,2.71421626167047,1.0,2.0,3.0,0.0,6.0,2.0,1.0,2.0
1986,higher vocational,5. Quintil,,,,,,,,,,,,
1986,higher education,1. Quintil,168,3.1181087538039125,2.8933740452689936,3.3428434623388315,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1986,higher education,2. Quintil,195,2.8724851823459234,2.700670893103771,3.044299471588076,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1986,higher education,3. Quintil,185,2.6599679497821245,2.470935611212399,2.84900028835185,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1986,higher education,4. Quintil,134,3.0271958706585984,2.7827698230498363,3.2716219182673605,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1986,higher education,5. Quintil,63,3.618502907975211,3.292050153194622,3.9449556627558,2.0,3.0,5.0,0.0,9.5,3.0,1.0,4.0
1987,in school,1. Quintil,46,2.9067221517695856,2.594295774141198,3.219148529397973,1.0,2.0,4.0,0.0,8.5,2.0,0.0,3.0
1987,in school,2. Quintil,36,3.6311251401244564,3.1209569398706107,4.1412933403783025,1.0,4.0,4.761235747796624,0.0,10.40308936949156,4.0,4.0,6.0
1987,in school,3. Quintil,,,,,,,,,,,,
1987,in school,4. Quintil,,,,,,,,,,,,
1987,in school,5. Quintil,,,,,,,,,,,,
1987,inadequately,1. Quintil,475,2.1609836718567124,2.021994718927244,2.299972624786181,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1987,inadequately,2. Quintil,188,2.5544723695330314,2.343825342990233,2.76511939607583,0.0,2.0,4.0,0.0,10.0,2.0,1.0,3.0
1987,inadequately,3. Quintil,66,1.8944445138827548,1.5650870577830602,2.2238019699824494,0.0,1.0,2.9162534764505827,0.0,7.290633691126457,1.0,0.0,2.0
1987,inadequately,4. Quintil,,,,,,,,,,,,
1987,inadequately,5. Quintil,,,,,,,,,,,,
1987,general elemantary,1. Quintil,1592,2.006188988307499,1.951162871695191,2.0612151049198064,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1987,general elemantary,2. Quintil,698,2.23558457874254,2.146324616132854,2.324844541352226,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
