year,migback,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Direct migration background,At least once per week,0.15032,414,2588,0.13655,0.16409
1996,Direct migration background,At least once per month,0.28637,866,2588,0.26895,0.30379
1996,Direct migration background,Seldom,0.36832,978,2588,0.34974,0.38691
1996,Direct migration background,Never,0.13149,330,2588,0.11847,0.14451
1996,Indirect migration background,At least once per week,0.03105,57,537,0.01636,0.04573
1996,Indirect migration background,At least once per month,0.11683,195,537,0.08964,0.14403
1996,Indirect migration background,Seldom,0.14869,232,537,0.11857,0.17881
1996,Indirect migration background,Never,0.02609,53,537,0.01259,0.03958
1997,No migration background,At least once per week,0.09071,1038,9711,0.08499,0.09642
1997,No migration background,At least once per month,0.23223,2908,9711,0.22383,0.24063
1997,No migration background,Seldom,0.38665,4724,9711,0.37697,0.39634
1997,No migration background,Never,0.11407,1041,9711,0.10775,0.12039
1997,Direct migration background,At least once per week,0.12737,378,2457,0.11418,0.14055
1997,Direct migration background,At least once per month,0.28242,760,2457,0.26461,0.30022
1997,Direct migration background,Seldom,0.38880,973,2457,0.36952,0.40808
1997,Direct migration background,Never,0.14036,346,2457,0.12662,0.15410
1997,Indirect migration background,At least once per week,0.05280,89,561,0.03428,0.07133
1997,Indirect migration background,At least once per month,0.10979,179,561,0.08389,0.13568
1997,Indirect migration background,Seldom,0.16501,247,561,0.13426,0.19575
1997,Indirect migration background,Never,0.03456,46,561,0.01943,0.04969
1999,No migration background,At least once per week,0.08313,1061,10808,0.07793,0.08834
1999,No migration background,At least once per month,0.22232,3141,10808,0.21449,0.23016
1999,No migration background,Seldom,0.41765,5496,10808,0.40835,0.42695
1999,No migration background,Never,0.11179,1110,10808,0.10584,0.11773
1999,Direct migration background,At least once per week,0.12494,308,2189,0.11108,0.13879
1999,Direct migration background,At least once per month,0.25892,652,2189,0.24057,0.27728
1999,Direct migration background,Seldom,0.40672,897,2189,0.38614,0.42730
1999,Direct migration background,Never,0.15221,332,2189,0.13716,0.16726
1999,Indirect migration background,At least once per week,0.05951,85,599,0.04055,0.07847
1999,Indirect migration background,At least once per month,0.12921,199,599,0.10232,0.15609
1999,Indirect migration background,Seldom,0.15676,241,599,0.12762,0.18590
1999,Indirect migration background,Never,0.04771,74,599,0.03062,0.06479
2001,No migration background,At least once per week,0.10028,2143,18104,0.09591,0.10466
2001,No migration background,At least once per month,0.24697,5577,18104,0.24069,0.25325
2001,No migration background,Seldom,0.37082,8168,18104,0.36378,0.37785
2001,No migration background,Never,0.12155,2216,18104,0.11679,0.12631
2001,Direct migration background,At least once per week,0.13043,437,2894,0.11816,0.14271
2001,Direct migration background,At least once per month,0.26677,878,2894,0.25066,0.28289
2001,Direct migration background,Seldom,0.38514,1159,2894,0.36740,0.40287
2001,Direct migration background,Never,0.14212,420,2894,0.12939,0.15484
2001,Indirect migration background,At least once per week,0.06139,128,763,0.04435,0.07843
2001,Indirect migration background,At least once per month,0.12674,255,763,0.10312,0.15037
2001,Indirect migration background,Seldom,0.14771,315,763,0.12252,0.17290
2001,Indirect migration background,Never,0.03735,65,763,0.02388,0.05081
2005,No migration background,At least once per week,0.10061,1979,17402,0.09614,0.10508
2005,No migration background,At least once per month,0.26086,5450,17402,0.25434,0.26739
2005,No migration background,Seldom,0.38320,8173,17402,0.37597,0.39042
2005,No migration background,Never,0.10507,1800,17402,0.10051,0.10962
2005,Direct migration background,At least once per week,0.12760,320,2361,0.11414,0.14106
2005,Direct migration background,At least once per month,0.29738,741,2361,0.27894,0.31583
2005,Direct migration background,Seldom,0.41007,978,2361,0.39023,0.42992
2005,Direct migration background,Never,0.12807,322,2361,0.11458,0.14155
2005,Indirect migration background,At least once per week,0.06700,130,817,0.04985,0.08416
2005,Indirect migration background,At least once per month,0.17278,285,817,0.14684,0.19872
2005,Indirect migration background,Seldom,0.17773,335,817,0.15150,0.20396
2005,Indirect migration background,Never,0.03905,67,817,0.02576,0.05234
2007,No migration background,At least once per week,0.09941,2134,17507,0.09498,0.10385
2007,No migration background,At least once per month,0.26722,5550,17507,0.26066,0.27377
2007,No migration background,Seldom,0.36746,7796,17507,0.36032,0.37460
2007,No migration background,Never,0.11077,2027,17507,0.10612,0.11542
2007,Direct migration background,At least once per week,0.12358,302,2107,0.10953,0.13764
2007,Direct migration background,At least once per month,0.29142,628,2107,0.27201,0.31083
2007,Direct migration background,Seldom,0.41705,906,2107,0.39599,0.43811
2007,Direct migration background,Never,0.12759,271,2107,0.11334,0.14184
2007,Indirect migration background,At least once per week,0.07265,130,774,0.05435,0.09094
2007,Indirect migration background,At least once per month,0.15695,270,774,0.13130,0.18259
2007,Indirect migration background,Seldom,0.18569,302,774,0.15827,0.21310
2007,Indirect migration background,Never,0.04995,72,774,0.03460,0.06531
2009,No migration background,At least once per week,0.08892,1626,15558,0.08444,0.09339
2009,No migration background,At least once per month,0.25729,4770,15558,0.25042,0.26415
2009,No migration background,Seldom,0.39921,7444,15558,0.39152,0.40691
2009,No migration background,Never,0.10369,1718,15558,0.09890,0.10848
2009,Direct migration background,At least once per week,0.11174,192,1649,0.09652,0.12695
2009,Direct migration background,At least once per month,0.29769,498,1649,0.27562,0.31977
2009,Direct migration background,Seldom,0.41602,713,1649,0.39222,0.43981
2009,Direct migration background,Never,0.14326,246,1649,0.12635,0.16018
2009,Indirect migration background,At least once per week,0.06344,87,700,0.04537,0.08151
2009,Indirect migration background,At least once per month,0.21971,272,700,0.18902,0.25041
2009,Indirect migration background,Seldom,0.20974,300,700,0.17956,0.23993
2009,Indirect migration background,Never,0.03313,41,700,0.01987,0.04640
2011,No migration background,At least once per week,0.10426,3076,23721,0.10037,0.10815
2011,No migration background,At least once per month,0.25800,7625,23721,0.25243,0.26357
2011,No migration background,Seldom,0.38477,10545,23721,0.37858,0.39096
2011,No migration background,Never,0.10188,2475,23721,0.09804,0.10573
2011,Direct migration background,At least once per week,0.11743,460,3292,0.10644,0.12843
2011,Direct migration background,At least once per month,0.28592,1035,3292,0.27048,0.30136
2011,Direct migration background,Seldom,0.41945,1307,3292,0.40259,0.43631
2011,Direct migration background,Never,0.14086,490,3292,0.12898,0.15275
2011,Indirect migration background,At least once per week,0.07203,236,1249,0.05769,0.08638
2011,Indirect migration background,At least once per month,0.16255,436,1249,0.14208,0.18302
2011,Indirect migration background,Seldom,0.19523,489,1249,0.17324,0.21722
2011,Indirect migration background,Never,0.02850,88,1249,0.01927,0.03773
2015,No migration background,At least once per week,0.09173,2162,19120,0.08764,0.09582
2015,No migration background,At least once per month,0.26615,6252,19120,0.25989,0.27242
2015,No migration background,Seldom,0.40731,8923,19120,0.40034,0.41427
2015,No migration background,Never,0.09397,1783,19120,0.08984,0.09811
2015,Direct migration background,At least once per week,0.14890,1054,5983,0.13988,0.15792
2015,Direct migration background,At least once per month,0.32482,2139,5983,0.31296,0.33669
2015,Direct migration background,Seldom,0.38374,2265,5983,0.37142,0.39606
2015,Direct migration background,Never,0.10001,525,5983,0.09241,0.10761
2015,Indirect migration background,At least once per week,0.08006,309,1613,0.06681,0.09330
2015,Indirect migration background,At least once per month,0.18449,636,1613,0.16556,0.20343
2015,Indirect migration background,Seldom,0.20123,591,1613,0.18166,0.22080
2015,Indirect migration background,Never,0.02461,77,1613,0.01704,0.03217
2017,No migration background,At least once per week,0.11103,2676,20111,0.10669,0.11537
2017,No migration background,At least once per month,0.28400,6958,20111,0.27777,0.29023
2017,No migration background,Seldom,0.36925,8726,20111,0.36258,0.37592
2017,No migration background,Never,0.09336,1751,20111,0.08934,0.09739
2017,Direct migration background,At least once per week,0.14491,844,4747,0.13489,0.15492
2017,Direct migration background,At least once per month,0.29468,1641,4747,0.28171,0.30765
2017,Direct migration background,Seldom,0.36521,1798,4747,0.35151,0.37891
2017,Direct migration background,Never,0.09881,464,4747,0.09032,0.10730
2017,Indirect migration background,At least once per week,0.09270,319,1635,0.07864,0.10676
2017,Indirect migration background,At least once per month,0.20138,631,1635,0.18193,0.22082
2017,Indirect migration background,Seldom,0.18485,596,1635,0.16602,0.20367
2017,Indirect migration background,Never,0.02796,89,1635,0.01997,0.03596
