"ple0081_h","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","2003","Realschule","Staedtischer Raum","","","",""
"Nein","2003","Realschule","Laendlicher Raum","","","",""
"Nein","2003","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2003","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2003","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2003","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2004","(noch) kein Abschluss","Staedtischer Raum","177","","",""
"Ja","2004","(noch) kein Abschluss","Laendlicher Raum","77","0.291361723553544","0.236023302803408","0.34670014430368"
"Ja","2004","Hauptschule","Staedtischer Raum","1651","","",""
"Ja","2004","Hauptschule","Laendlicher Raum","814","0.283159628024353","0.266483854772071","0.299835401276635"
"Ja","2004","Realschule","Staedtischer Raum","1141","","",""
"Ja","2004","Realschule","Laendlicher Raum","793","0.334662851269005","0.31532360033829","0.354002102199719"
"Ja","2004","(Fach-)Abitur","Staedtischer Raum","561","0.315745372517623","0.29441428277821","0.337076462257036"
"Ja","2004","(Fach-)Abitur","Laendlicher Raum","158","","",""
"Ja","2004","AkademikerIn","Staedtischer Raum","641","0.235656553560548","0.220524952069875","0.25078815505122"
"Ja","2004","AkademikerIn","Laendlicher Raum","236","","",""
"Nein","2004","(noch) kein Abschluss","Staedtischer Raum","471","0.703296186991611","0.668124655187555","0.738467718795667"
"Nein","2004","(noch) kein Abschluss","Laendlicher Raum","182","","",""
"Nein","2004","Hauptschule","Staedtischer Raum","3598","0.695864348124232","0.683419036826345","0.708309659422118"
"Nein","2004","Hauptschule","Laendlicher Raum","1990","","",""
"Nein","2004","Realschule","Staedtischer Raum","2182","","",""
"Nein","2004","Realschule","Laendlicher Raum","1494","","",""
"Nein","2004","(Fach-)Abitur","Staedtischer Raum","1263","","",""
"Nein","2004","(Fach-)Abitur","Laendlicher Raum","411","0.732736854180138","0.69637587972103","0.769097828639246"
"Nein","2004","AkademikerIn","Staedtischer Raum","2381","","",""
"Nein","2004","AkademikerIn","Laendlicher Raum","1028","","",""
"Ja","2005","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2005","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2005","Hauptschule","Staedtischer Raum","","","",""
"Ja","2005","Hauptschule","Laendlicher Raum","","","",""
"Ja","2005","Realschule","Staedtischer Raum","","","",""
"Ja","2005","Realschule","Laendlicher Raum","","","",""
"Ja","2005","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2005","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2005","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2005","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2005","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2005","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2005","Hauptschule","Staedtischer Raum","","","",""
"Nein","2005","Hauptschule","Laendlicher Raum","","","",""
"Nein","2005","Realschule","Staedtischer Raum","","","",""
"Nein","2005","Realschule","Laendlicher Raum","","","",""
"Nein","2005","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2005","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2005","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2005","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2006","(noch) kein Abschluss","Staedtischer Raum","123","","",""
"Ja","2006","(noch) kein Abschluss","Laendlicher Raum","55","0.323895258342635","0.256643924118712","0.391146592566558"
"Ja","2006","Hauptschule","Staedtischer Raum","1616","","",""
"Ja","2006","Hauptschule","Laendlicher Raum","810","0.282878455487565","0.266468963023441","0.299287947951689"
"Ja","2006","Realschule","Staedtischer Raum","1122","","",""
"Ja","2006","Realschule","Laendlicher Raum","794","0.33140539928125","0.312553437330586","0.350257361231914"
"Ja","2006","(Fach-)Abitur","Staedtischer Raum","534","0.299957365287732","0.279087501703382","0.320827228872083"
"Ja","2006","(Fach-)Abitur","Laendlicher Raum","163","","",""
"Ja","2006","AkademikerIn","Staedtischer Raum","644","0.221253329753144","0.206938379639447","0.235568279866841"
"Ja","2006","AkademikerIn","Laendlicher Raum","239","","",""
"Nein","2006","(noch) kein Abschluss","Staedtischer Raum","341","0.676840591586127","0.634286561024459","0.719394622147794"
"Nein","2006","(noch) kein Abschluss","Laendlicher Raum","131","","",""
"Nein","2006","Hauptschule","Staedtischer Raum","3588","0.683537474322168","0.67090112111438","0.696173827529955"
"Nein","2006","Hauptschule","Laendlicher Raum","2084","","",""
"Nein","2006","Realschule","Staedtischer Raum","2228","","",""
"Nein","2006","Realschule","Laendlicher Raum","1601","","",""
"Nein","2006","(Fach-)Abitur","Staedtischer Raum","1318","","",""
"Nein","2006","(Fach-)Abitur","Laendlicher Raum","436","0.733758690608601","0.698363110940116","0.769154270277085"
"Nein","2006","AkademikerIn","Staedtischer Raum","2586","","",""
"Nein","2006","AkademikerIn","Laendlicher Raum","1105","","",""
"Ja","2007","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2007","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2007","Hauptschule","Staedtischer Raum","","","",""
"Ja","2007","Hauptschule","Laendlicher Raum","","","",""
"Ja","2007","Realschule","Staedtischer Raum","","","",""
"Ja","2007","Realschule","Laendlicher Raum","","","",""
"Ja","2007","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2007","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2007","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2007","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2007","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2007","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2007","Hauptschule","Staedtischer Raum","","","",""
"Nein","2007","Hauptschule","Laendlicher Raum","","","",""
"Nein","2007","Realschule","Staedtischer Raum","","","",""
"Nein","2007","Realschule","Laendlicher Raum","","","",""
"Nein","2007","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2007","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2007","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2007","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2008","(noch) kein Abschluss","Staedtischer Raum","96","0.31358720725644","0.26693973169313","0.36023468281975"
"Ja","2008","(noch) kein Abschluss","Laendlicher Raum","36","0.23286453932783","0.168374323905799","0.29735475474986"
"Ja","2008","Hauptschule","Staedtischer Raum","1295","","",""
"Ja","2008","Hauptschule","Laendlicher Raum","693","0.294183137212854","0.276220141745676","0.312146132680032"
"Ja","2008","Realschule","Staedtischer Raum","909","0.329827893789425","0.312975974848682","0.346679812730169"
"Ja","2008","Realschule","Laendlicher Raum","672","0.310738430555525","0.291019662635914","0.330457198475136"
"Ja","2008","(Fach-)Abitur","Staedtischer Raum","424","0.263237921275984","0.241871790985052","0.284604051566916"
"Ja","2008","(Fach-)Abitur","Laendlicher Raum","138","","",""
"Ja","2008","AkademikerIn","Staedtischer Raum","527","0.184970243137714","0.170992190947605","0.198948295327822"
"Ja","2008","AkademikerIn","Laendlicher Raum","220","","",""
"Nein","2008","(noch) kein Abschluss","Staedtischer Raum","284","","",""
"Nein","2008","(noch) kein Abschluss","Laendlicher Raum","129","","",""
"Nein","2008","Hauptschule","Staedtischer Raum","3039","0.686509241258103","0.672697793568257","0.700320688947949"
"Nein","2008","Hauptschule","Laendlicher Raum","1779","","",""
"Nein","2008","Realschule","Staedtischer Raum","2081","","",""
"Nein","2008","Realschule","Laendlicher Raum","1444","","",""
"Nein","2008","(Fach-)Abitur","Staedtischer Raum","1208","","",""
"Nein","2008","(Fach-)Abitur","Laendlicher Raum","400","0.729719643191633","0.692192784358654","0.767246502024612"
"Nein","2008","AkademikerIn","Staedtischer Raum","2437","","",""
"Nein","2008","AkademikerIn","Laendlicher Raum","1006","","",""
"Ja","2009","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2009","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2009","Hauptschule","Staedtischer Raum","","","",""
"Ja","2009","Hauptschule","Laendlicher Raum","","","",""
"Ja","2009","Realschule","Staedtischer Raum","","","",""
"Ja","2009","Realschule","Laendlicher Raum","","","",""
"Ja","2009","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2009","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2009","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2009","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2009","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2009","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2009","Hauptschule","Staedtischer Raum","","","",""
"Nein","2009","Hauptschule","Laendlicher Raum","","","",""
"Nein","2009","Realschule","Staedtischer Raum","","","",""
"Nein","2009","Realschule","Laendlicher Raum","","","",""
"Nein","2009","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2009","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2009","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2009","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2010","(noch) kein Abschluss","Staedtischer Raum","66","0.240674919053257","0.19293276360189","0.288417074504624"
"Ja","2010","(noch) kein Abschluss","Laendlicher Raum","22","","",""
"Ja","2010","Hauptschule","Staedtischer Raum","1023","","",""
"Ja","2010","Hauptschule","Laendlicher Raum","567","0.274816986644191","0.255425781443379","0.294208191845002"
"Ja","2010","Realschule","Staedtischer Raum","785","0.332896769511214","0.314733871554721","0.351059667467706"
"Ja","2010","Realschule","Laendlicher Raum","594","0.315439671606694","0.294372440476606","0.336506902736782"
"Ja","2010","(Fach-)Abitur","Staedtischer Raum","355","0.260097479586438","0.23722399476188","0.282970964410995"
"Ja","2010","(Fach-)Abitur","Laendlicher Raum","106","","",""
"Ja","2010","AkademikerIn","Staedtischer Raum","466","0.188233506686485","0.173494458258462","0.202972555114508"
"Ja","2010","AkademikerIn","Laendlicher Raum","194","","",""
"Nein","2010","(noch) kein Abschluss","Staedtischer Raum","242","","",""
"Nein","2010","(noch) kein Abschluss","Laendlicher Raum","86","0.736708340174522","0.653646306956833","0.819770373392211"
"Nein","2010","Hauptschule","Staedtischer Raum","2538","","",""
"Nein","2010","Hauptschule","Laendlicher Raum","1469","","",""
"Nein","2010","Realschule","Staedtischer Raum","1801","","",""
"Nein","2010","Realschule","Laendlicher Raum","1275","","",""
"Nein","2010","(Fach-)Abitur","Staedtischer Raum","1058","","",""
"Nein","2010","(Fach-)Abitur","Laendlicher Raum","381","0.783708093083315","0.747141802093632","0.820274384072998"
"Nein","2010","AkademikerIn","Staedtischer Raum","2236","","",""
"Nein","2010","AkademikerIn","Laendlicher Raum","934","0.827245818362519","0.805184822369172","0.849306814355867"
"Ja","2011","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2011","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2011","Hauptschule","Staedtischer Raum","","","",""
"Ja","2011","Hauptschule","Laendlicher Raum","","","",""
"Ja","2011","Realschule","Staedtischer Raum","","","",""
"Ja","2011","Realschule","Laendlicher Raum","","","",""
"Ja","2011","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2011","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2011","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2011","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2011","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2011","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2011","Hauptschule","Staedtischer Raum","","","",""
"Nein","2011","Hauptschule","Laendlicher Raum","","","",""
"Nein","2011","Realschule","Staedtischer Raum","","","",""
"Nein","2011","Realschule","Laendlicher Raum","","","",""
"Nein","2011","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2011","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2011","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2011","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2012","(noch) kein Abschluss","Staedtischer Raum","101","","",""
"Ja","2012","(noch) kein Abschluss","Laendlicher Raum","49","0.344877667053233","0.272569427964677","0.41718590614179"
"Ja","2012","Hauptschule","Staedtischer Raum","1192","","",""
"Ja","2012","Hauptschule","Laendlicher Raum","769","0.289826023484247","0.27274497553957","0.306907071428925"
"Ja","2012","Realschule","Staedtischer Raum","912","0.317831076059635","0.301384049590217","0.334278102529053"
"Ja","2012","Realschule","Laendlicher Raum","757","0.314754747127273","0.295969876562254","0.333539617692292"
"Ja","2012","(Fach-)Abitur","Staedtischer Raum","428","0.244649151483006","0.224611206571622","0.26468709639439"
"Ja","2012","(Fach-)Abitur","Laendlicher Raum","138","","",""
"Ja","2012","AkademikerIn","Staedtischer Raum","541","0.17166835534885","0.158707905607645","0.184628805090055"
"Ja","2012","AkademikerIn","Laendlicher Raum","221","","",""
"Nein","2012","(noch) kein Abschluss","Staedtischer Raum","275","","",""
"Nein","2012","(noch) kein Abschluss","Laendlicher Raum","117","","",""
"Nein","2012","Hauptschule","Staedtischer Raum","3027","0.717568839559653","0.703984722382757","0.731152956736549"
"Nein","2012","Hauptschule","Laendlicher Raum","1941","","",""
"Nein","2012","Realschule","Staedtischer Raum","2167","","",""
"Nein","2012","Realschule","Laendlicher Raum","1591","","",""
"Nein","2012","(Fach-)Abitur","Staedtischer Raum","1340","","",""
"Nein","2012","(Fach-)Abitur","Laendlicher Raum","518","0.771357643922564","0.739220860313569","0.803494427531558"
"Nein","2012","AkademikerIn","Staedtischer Raum","2711","","",""
"Nein","2012","AkademikerIn","Laendlicher Raum","1161","","",""
"Ja","2013","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2013","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2013","Hauptschule","Staedtischer Raum","","","",""
"Ja","2013","Hauptschule","Laendlicher Raum","","","",""
"Ja","2013","Realschule","Staedtischer Raum","","","",""
"Ja","2013","Realschule","Laendlicher Raum","","","",""
"Ja","2013","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2013","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2013","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2013","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2013","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2013","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2013","Hauptschule","Staedtischer Raum","","","",""
"Nein","2013","Hauptschule","Laendlicher Raum","","","",""
"Nein","2013","Realschule","Staedtischer Raum","","","",""
"Nein","2013","Realschule","Laendlicher Raum","","","",""
"Nein","2013","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2013","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2013","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2013","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2014","(noch) kein Abschluss","Staedtischer Raum","226","","",""
"Ja","2014","(noch) kein Abschluss","Laendlicher Raum","98","0.302279961387983","0.25188373402332","0.352676188752646"
"Ja","2014","Hauptschule","Staedtischer Raum","1666","","",""
"Ja","2014","Hauptschule","Laendlicher Raum","1026","","",""
"Ja","2014","Realschule","Staedtischer Raum","1169","","",""
"Ja","2014","Realschule","Laendlicher Raum","973","0.315845143729002","0.299124334146746","0.332565953311258"
"Ja","2014","(Fach-)Abitur","Staedtischer Raum","758","0.254596966419241","0.238733575242395","0.270460357596087"
"Ja","2014","(Fach-)Abitur","Laendlicher Raum","243","","",""
"Ja","2014","AkademikerIn","Staedtischer Raum","690","0.165125891725227","0.154278841056863","0.17597294239359"
"Ja","2014","AkademikerIn","Laendlicher Raum","290","","",""
"Nein","2014","(noch) kein Abschluss","Staedtischer Raum","456","0.659377277888964","0.623809257033977","0.694945298743951"
"Nein","2014","(noch) kein Abschluss","Laendlicher Raum","221","","",""
"Nein","2014","Hauptschule","Staedtischer Raum","3409","0.703847521346426","0.691286439471448","0.716408603221405"
"Nein","2014","Hauptschule","Laendlicher Raum","2091","","",""
"Nein","2014","Realschule","Staedtischer Raum","2726","","",""
"Nein","2014","Realschule","Laendlicher Raum","1996","","",""
"Nein","2014","(Fach-)Abitur","Staedtischer Raum","2139","","",""
"Nein","2014","(Fach-)Abitur","Laendlicher Raum","796","0.768901917627886","0.743270421314177","0.794533413941595"
"Nein","2014","AkademikerIn","Staedtischer Raum","3811","0.834874108274773","0.82402705760641","0.845721158943137"
"Nein","2014","AkademikerIn","Laendlicher Raum","1429","","",""
"Ja","2015","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2015","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2015","Hauptschule","Staedtischer Raum","","","",""
"Ja","2015","Hauptschule","Laendlicher Raum","","","",""
"Ja","2015","Realschule","Staedtischer Raum","","","",""
"Ja","2015","Realschule","Laendlicher Raum","","","",""
"Ja","2015","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2015","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2015","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2015","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2015","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2015","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2015","Hauptschule","Staedtischer Raum","","","",""
"Nein","2015","Hauptschule","Laendlicher Raum","","","",""
"Nein","2015","Realschule","Staedtischer Raum","","","",""
"Nein","2015","Realschule","Laendlicher Raum","","","",""
"Nein","2015","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2015","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2015","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2015","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2016","(noch) kein Abschluss","Staedtischer Raum","192","","",""
"Ja","2016","(noch) kein Abschluss","Laendlicher Raum","72","0.323370075495196","0.26265365193126","0.384086499059133"
"Ja","2016","Hauptschule","Staedtischer Raum","1372","","",""
"Ja","2016","Hauptschule","Laendlicher Raum","876","0.281420588355119","0.26445212805768","0.298389048652558"
"Ja","2016","Realschule","Staedtischer Raum","982","0.29214139529671","0.276769796387565","0.307512994205855"
"Ja","2016","Realschule","Laendlicher Raum","815","0.305630916731897","0.288081408541552","0.323180424922241"
"Ja","2016","(Fach-)Abitur","Staedtischer Raum","653","0.242819385041982","0.226588540995212","0.259050229088752"
"Ja","2016","(Fach-)Abitur","Laendlicher Raum","232","","",""
"Ja","2016","AkademikerIn","Staedtischer Raum","601","0.159910783572439","0.148851043785525","0.170970523359353"
"Ja","2016","AkademikerIn","Laendlicher Raum","256","","",""
"Nein","2016","(noch) kein Abschluss","Staedtischer Raum","390","0.656802460390483","0.61823011321341","0.695374807567556"
"Nein","2016","(noch) kein Abschluss","Laendlicher Raum","156","","",""
"Nein","2016","Hauptschule","Staedtischer Raum","2878","","",""
"Nein","2016","Hauptschule","Laendlicher Raum","1822","","",""
"Nein","2016","Realschule","Staedtischer Raum","2380","","",""
"Nein","2016","Realschule","Laendlicher Raum","1832","","",""
"Nein","2016","(Fach-)Abitur","Staedtischer Raum","2028","","",""
"Nein","2016","(Fach-)Abitur","Laendlicher Raum","754","0.808695879834111","0.784145149806714","0.833246609861508"
"Nein","2016","AkademikerIn","Staedtischer Raum","3618","0.840089216427561","0.829029476640647","0.851148956214475"
"Nein","2016","AkademikerIn","Laendlicher Raum","1402","","",""
"Ja","2017","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2017","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2017","Hauptschule","Staedtischer Raum","","","",""
"Ja","2017","Hauptschule","Laendlicher Raum","","","",""
"Ja","2017","Realschule","Staedtischer Raum","","","",""
"Ja","2017","Realschule","Laendlicher Raum","","","",""
"Ja","2017","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2017","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2017","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2017","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2017","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2017","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2017","Hauptschule","Staedtischer Raum","","","",""
"Nein","2017","Hauptschule","Laendlicher Raum","","","",""
"Nein","2017","Realschule","Staedtischer Raum","","","",""
"Nein","2017","Realschule","Laendlicher Raum","","","",""
"Nein","2017","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2017","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2017","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2017","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2018","(noch) kein Abschluss","Staedtischer Raum","216","","",""
"Ja","2018","(noch) kein Abschluss","Laendlicher Raum","77","0.341743231730004","0.280843166448529","0.402643297011479"
"Ja","2018","Hauptschule","Staedtischer Raum","1351","","",""
"Ja","2018","Hauptschule","Laendlicher Raum","864","0.297753815626862","0.280237747253992","0.315269883999733"
"Ja","2018","Realschule","Staedtischer Raum","1017","","",""
"Ja","2018","Realschule","Laendlicher Raum","903","0.299026089873025","0.282507652760445","0.315544526985606"
"Ja","2018","(Fach-)Abitur","Staedtischer Raum","687","0.240672528242277","0.225119061555436","0.256225994929119"
"Ja","2018","(Fach-)Abitur","Laendlicher Raum","235","","",""
"Ja","2018","AkademikerIn","Staedtischer Raum","643","0.152075405488298","0.14167564206938","0.162475168907215"
"Ja","2018","AkademikerIn","Laendlicher Raum","242","","",""
"Nein","2018","(noch) kein Abschluss","Staedtischer Raum","427","0.660373695043512","0.623768885851594","0.696978504235429"
"Nein","2018","(noch) kein Abschluss","Laendlicher Raum","156","","",""
"Nein","2018","Hauptschule","Staedtischer Raum","2803","","",""
"Nein","2018","Hauptschule","Laendlicher Raum","1754","","",""
"Nein","2018","Realschule","Staedtischer Raum","2680","","",""
"Nein","2018","Realschule","Laendlicher Raum","2048","","",""
"Nein","2018","(Fach-)Abitur","Staedtischer Raum","2215","","",""
"Nein","2018","(Fach-)Abitur","Laendlicher Raum","881","0.791104831462727","0.767254346735996","0.814955316189458"
"Nein","2018","AkademikerIn","Staedtischer Raum","3937","0.847924594511702","0.837524831092785","0.85832435793062"
"Nein","2018","AkademikerIn","Laendlicher Raum","1511","","",""
"Ja","2019","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2019","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2019","Hauptschule","Staedtischer Raum","","","",""
"Ja","2019","Hauptschule","Laendlicher Raum","","","",""
"Ja","2019","Realschule","Staedtischer Raum","","","",""
"Ja","2019","Realschule","Laendlicher Raum","","","",""
"Ja","2019","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2019","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2019","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2019","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2019","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2019","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2019","Hauptschule","Staedtischer Raum","","","",""
"Nein","2019","Hauptschule","Laendlicher Raum","","","",""
"Nein","2019","Realschule","Staedtischer Raum","","","",""
"Nein","2019","Realschule","Laendlicher Raum","","","",""
"Nein","2019","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2019","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2019","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2019","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2020","(noch) kein Abschluss","Staedtischer Raum","411","0.3117050918647","0.287060740394377","0.336349443335024"
"Ja","2020","(noch) kein Abschluss","Laendlicher Raum","179","","",""
"Ja","2020","Hauptschule","Staedtischer Raum","1310","","",""
"Ja","2020","Hauptschule","Laendlicher Raum","812","0.288034814751843","0.270179661215373","0.305889968288314"
"Ja","2020","Realschule","Staedtischer Raum","908","0.251075412120242","0.236655775351331","0.265495048889154"
"Ja","2020","Realschule","Laendlicher Raum","786","0.296528612763329","0.279480110570561","0.313577114956097"
"Ja","2020","(Fach-)Abitur","Staedtischer Raum","820","0.21625280455995","0.202843609674386","0.229661999445515"
"Ja","2020","(Fach-)Abitur","Laendlicher Raum","289","","",""
"Ja","2020","AkademikerIn","Staedtischer Raum","813","0.133700572944951","0.124835094844755","0.142566051045147"
"Ja","2020","AkademikerIn","Laendlicher Raum","308","0.134287220905456","0.11948783362088","0.149086608190033"
"Nein","2020","(noch) kein Abschluss","Staedtischer Raum","946","0.6882949081353","0.663650556664976","0.712939259605623"
"Nein","2020","(noch) kein Abschluss","Laendlicher Raum","378","0.69809771711635","0.65997254606561","0.736222888167091"
"Nein","2020","Hauptschule","Staedtischer Raum","2758","","",""
"Nein","2020","Hauptschule","Laendlicher Raum","1659","","",""
"Nein","2020","Realschule","Staedtischer Raum","2566","","",""
