"ple0081_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2008","Hauptschule","weiblich","847","0.245712278567563","0.231476180702941","0.259948376432185"
"Ja","2008","Realschule","maennlich","756","0.364813491269566","0.344498852864454","0.385128129674679"
"Ja","2008","Realschule","weiblich","825","0.288910611553584","0.27255169449864","0.305269528608528"
"Ja","2008","(Fach-)Abitur","maennlich","301","0.307563389156284","0.278461789777876","0.336664988534692"
"Ja","2008","(Fach-)Abitur","weiblich","261","0.22602100261647","0.202395892901794","0.249646112331146"
"Ja","2008","AkademikerIn","maennlich","442","0.200697596924692","0.184300482402141","0.217094711447243"
"Ja","2008","AkademikerIn","weiblich","305","0.174473881373519","0.15740006495684","0.191547697790199"
"Nein","2008","(noch) kein Abschluss","maennlich","179","0.655503988128557","0.596832434426827","0.714175541830288"
"Nein","2008","(noch) kein Abschluss","weiblich","234","0.760057647415749","0.711159657827259","0.808955637004238"
"Nein","2008","Hauptschule","maennlich","2152","0.627206366817681","0.610690867891427","0.643721865743936"
"Nein","2008","Hauptschule","weiblich","2666","0.754287721432437","0.740051623567815","0.768523819297059"
"Nein","2008","Realschule","maennlich","1401","0.635186508730433","0.614871870325321","0.655501147135546"
"Nein","2008","Realschule","weiblich","2124","0.711089388446416","0.694730471391472","0.72744830550136"
"Nein","2008","(Fach-)Abitur","maennlich","665","0.692436610843716","0.663335011465308","0.721538210222124"
"Nein","2008","(Fach-)Abitur","weiblich","943","0.77397899738353","0.750353887668854","0.797604107098206"
"Nein","2008","AkademikerIn","maennlich","1850","0.799302403075308","0.782905288552757","0.815699517597859"
"Nein","2008","AkademikerIn","weiblich","1593","0.825526118626481","0.808452302209801","0.84259993504316"
"Ja","2009","(noch) kein Abschluss","maennlich","","","",""
"Ja","2009","(noch) kein Abschluss","weiblich","","","",""
"Ja","2009","Hauptschule","maennlich","","","",""
"Ja","2009","Hauptschule","weiblich","","","",""
"Ja","2009","Realschule","maennlich","","","",""
"Ja","2009","Realschule","weiblich","","","",""
"Ja","2009","(Fach-)Abitur","maennlich","","","",""
"Ja","2009","(Fach-)Abitur","weiblich","","","",""
"Ja","2009","AkademikerIn","maennlich","","","",""
"Ja","2009","AkademikerIn","weiblich","","","",""
"Nein","2009","(noch) kein Abschluss","maennlich","","","",""
"Nein","2009","(noch) kein Abschluss","weiblich","","","",""
"Nein","2009","Hauptschule","maennlich","","","",""
"Nein","2009","Hauptschule","weiblich","","","",""
"Nein","2009","Realschule","maennlich","","","",""
"Nein","2009","Realschule","weiblich","","","",""
"Nein","2009","(Fach-)Abitur","maennlich","","","",""
"Nein","2009","(Fach-)Abitur","weiblich","","","",""
"Nein","2009","AkademikerIn","maennlich","","","",""
"Nein","2009","AkademikerIn","weiblich","","","",""
"Ja","2010","(noch) kein Abschluss","maennlich","55","0.317547744777893","0.255466292417376","0.379629197138409"
"Ja","2010","(noch) kein Abschluss","weiblich","33","0.173255833899645","0.120803768229473","0.225707899569817"
"Ja","2010","Hauptschule","maennlich","915","0.348140874757826","0.330155351014198","0.366126398501455"
"Ja","2010","Hauptschule","weiblich","675","0.226339239837005","0.211114334587814","0.241564145086195"
"Ja","2010","Realschule","maennlich","659","0.361833933118339","0.34008924543212","0.383578620804558"
"Ja","2010","Realschule","weiblich","720","0.296043575614364","0.278424905308184","0.313662245920544"
"Ja","2010","(Fach-)Abitur","maennlich","249","0.310818530956991","0.279685995358065","0.341951066555918"
"Ja","2010","(Fach-)Abitur","weiblich","212","0.190699788229806","0.166949074482548","0.214450501977064"
"Ja","2010","AkademikerIn","maennlich","375","0.192439510281899","0.175424257187007","0.209454763376791"
"Ja","2010","AkademikerIn","weiblich","285","0.17364771631072","0.155990423678771","0.19130500894267"
"Nein","2010","(noch) kein Abschluss","maennlich","161","0.682452255222108","0.620370802861591","0.744533707582624"
"Nein","2010","(noch) kein Abschluss","weiblich","167","0.826744166100355","0.774292100430183","0.879196231770527"
"Nein","2010","Hauptschule","maennlich","1780","0.651859125242174","0.633873601498545","0.669844648985802"
"Nein","2010","Hauptschule","weiblich","2227","0.773660760162995","0.758435854913805","0.788885665412186"
"Nein","2010","Realschule","maennlich","1217","0.638166066881661","0.616421379195442","0.65991075456788"
"Nein","2010","Realschule","weiblich","1859","0.703956424385636","0.686337754079456","0.721575094691816"
"Nein","2010","(Fach-)Abitur","maennlich","600","0.689181469043009","0.658048933444082","0.720314004641935"
