"year","hhtyp","mean","median","n","lower_confidence","upper_confidence"
"1999","Alleinerziehende","3.71","2.5","1115","3.63","3.79"
"1999","Paar mit Kind(ern)","4.68","3.5","10257","4.65","4.71"
"1999","Sonstige","4.72","4.5","666","4.54","4.9"
"2000","(Ehe-)Paar ohne Kind(er)","3.79","2.5","7936","3.76","3.82"
"2000","1-Pers.- Haushalt","2.69","1.5","3260","2.64","2.74"
"2000","Alleinerziehende","3.76","2.5","1911","3.69","3.83"
"2000","Paar mit Kind(ern)","4.69","3.5","17502","4.67","4.71"
"2000","Sonstige","4.83","4.5","1198","4.7","4.96"
"2001","(Ehe-)Paar ohne Kind(er)","3.8","2.5","7178","3.77","3.83"
"2001","1-Pers.- Haushalt","2.73","1.5","2926","2.68","2.78"
"2001","Alleinerziehende","3.79","2.5","1761","3.72","3.86"
"2001","Paar mit Kind(ern)","4.76","3.5","15798","4.73","4.79"
"2001","Sonstige","5.13","4.5","1065","4.98","5.28"
"2002","(Ehe-)Paar ohne Kind(er)","3.86","3.5","7804","3.82","3.9"
"2002","1-Pers.- Haushalt","2.71","1.5","2938","2.66","2.76"
"2002","Alleinerziehende","3.73","2.5","1770","3.66","3.8"
"2002","Paar mit Kind(ern)","4.71","3.5","16586","4.68","4.74"
"2002","Sonstige","4.81","4.5","1018","4.68","4.94"
"2003","(Ehe-)Paar ohne Kind(er)","3.79","2.5","7636","3.76","3.82"
"2003","1-Pers.- Haushalt","2.72","1.5","2919","2.67","2.77"
"2003","Alleinerziehende","3.76","2.5","1742","3.69","3.83"
"2003","Paar mit Kind(ern)","4.77","3.5","15626","4.74","4.8"
"2003","Sonstige","4.58","3.5","869","4.43","4.73"
"2004","(Ehe-)Paar ohne Kind(er)","3.82","2.5","7638","3.78","3.86"
"2004","1-Pers.- Haushalt","2.75","2.5","2861","2.7","2.8"
"2004","Alleinerziehende","3.72","2.5","1686","3.65","3.79"
"2004","Paar mit Kind(ern)","4.76","3.5","14947","4.73","4.79"
"2004","Sonstige","4.65","3.5","799","4.48","4.82"
"2005","(Ehe-)Paar ohne Kind(er)","3.81","2.5","7384","3.77","3.85"
"2005","1-Pers.- Haushalt","2.79","2.5","2913","2.74","2.84"
"2005","Alleinerziehende","3.72","2.5","1736","3.65","3.79"
"2005","Paar mit Kind(ern)","4.79","3.5","13924","4.76","4.82"
"2005","Sonstige","4.73","4.5","749","4.58","4.88"
"2006","(Ehe-)Paar ohne Kind(er)","3.82","2.5","8316","3.79","3.85"
"2006","1-Pers.- Haushalt","2.8","2.5","3300","2.75","2.85"
"2006","Alleinerziehende","3.7","2.5","1924","3.64","3.76"
"2006","Paar mit Kind(ern)","4.76","3.5","14388","4.73","4.79"
"2006","Sonstige","4.99","4.5","740","4.82","5.16"
"2007","(Ehe-)Paar ohne Kind(er)","3.89","3.5","7752","3.85","3.93"
"2007","1-Pers.- Haushalt","2.82","2.5","3121","2.77","2.87"
"2007","Alleinerziehende","3.78","2.5","1774","3.71","3.85"
"2007","Paar mit Kind(ern)","4.84","4.5","13347","4.81","4.87"
"2007","Sonstige","4.95","3.5","624","4.76","5.14"
"2008","(Ehe-)Paar ohne Kind(er)","3.91","3.5","7468","3.87","3.95"
"2008","1-Pers.- Haushalt","2.85","2.5","2997","2.8","2.9"
"2008","Alleinerziehende","3.86","2.5","1714","3.79","3.93"
"2008","Paar mit Kind(ern)","4.91","4.5","12161","4.88","4.94"
"2008","Sonstige","5.03","4.5","537","4.84","5.22"
"2009","(Ehe-)Paar ohne Kind(er)","3.96","3.5","7100","3.92","4"
"2009","1-Pers.- Haushalt","2.9","2.5","2860","2.85","2.95"
"2009","Alleinerziehende","3.9","2.5","1589","3.83","3.97"
"2009","Paar mit Kind(ern)","4.9","4.5","11228","4.87","4.93"
"2009","Sonstige","4.94","4.5","444","4.75","5.13"
"2010","(Ehe-)Paar ohne Kind(er)","3.95","3.5","6744","3.91","3.99"
"2010","1-Pers.- Haushalt","2.96","2.5","2711","2.91","3.01"
"2010","Alleinerziehende","3.76","2.5","4747","3.72","3.8"
"2010","Paar mit Kind(ern)","4.88","4.5","22667","4.86","4.9"
"2010","Sonstige","5.64","4.5","599","5.48","5.8"
"2011","(Ehe-)Paar ohne Kind(er)","3.97","3.5","8748","3.94","4"
"2011","1-Pers.- Haushalt","2.89","2.5","3551","2.84","2.94"
"2011","Alleinerziehende","3.77","2.5","5866","3.73","3.81"
"2011","Paar mit Kind(ern)","4.93","4.5","25054","4.91","4.95"
"2011","Sonstige","4.96","4.5","782","4.82","5.1"
"2012","(Ehe-)Paar ohne Kind(er)","4.01","3.5","8900","3.98","4.04"
"2012","1-Pers.- Haushalt","2.88","2.5","3683","2.84","2.92"
"2012","Alleinerziehende","3.8","2.5","5593","3.76","3.84"
"2012","Paar mit Kind(ern)","4.94","4.5","23464","4.92","4.96"
"2012","Sonstige","5.33","4.5","766","5.17","5.49"
"2013","(Ehe-)Paar ohne Kind(er)","4.02","3.5","9278","3.99","4.05"
"2013","1-Pers.- Haushalt","2.9","2.5","3844","2.86","2.94"
"2013","Alleinerziehende","3.79","2.5","5802","3.76","3.82"
"2013","Paar mit Kind(ern)","4.87","4.5","26921","4.85","4.89"
"2013","Sonstige","4.45","3.5","1820","4.36","4.54"
"2014","(Ehe-)Paar ohne Kind(er)","4.03","3.5","8726","4","4.06"
"2014","1-Pers.- Haushalt","2.92","2.5","3566","2.87","2.97"
"2014","Alleinerziehende","3.76","2.5","4688","3.72","3.8"
"2014","Paar mit Kind(ern)","4.89","4.5","23106","4.87","4.91"
"2014","Sonstige","4.6","3.5","1421","4.51","4.69"
"2015","(Ehe-)Paar ohne Kind(er)","4.03","3.5","8752","4","4.06"
"2015","1-Pers.- Haushalt","2.94","2.5","3627","2.89","2.99"
"2015","Alleinerziehende","3.84","2.5","4428","3.8","3.88"
"2015","Paar mit Kind(ern)","4.86","4.5","22783","4.84","4.88"
"2015","Sonstige","4.47","3.5","1462","4.38","4.56"
"2016","(Ehe-)Paar ohne Kind(er)","4.09","3.5","8318","4.05","4.13"
"2016","1-Pers.- Haushalt","2.94","2.5","3803","2.89","2.99"
"2016","Alleinerziehende","3.86","3.5","4580","3.82","3.9"
"2016","Paar mit Kind(ern)","4.86","4.5","26285","4.84","4.88"
"2016","Sonstige","4.42","3.5","2088","4.35","4.49"
"2017","(Ehe-)Paar ohne Kind(er)","4.09","3.5","9424","4.06","4.12"
"2017","1-Pers.- Haushalt","2.95","2.5","4290","2.91","2.99"
"2017","Alleinerziehende","3.95","3.5","4745","3.91","3.99"
"2017","Paar mit Kind(ern)","4.82","4.5","28954","4.8","4.84"
"2017","Sonstige","4.74","3.5","2728","4.67","4.81"
"2018","(Ehe-)Paar ohne Kind(er)","4.1","3.5","9277","4.07","4.13"
"2018","1-Pers.- Haushalt","2.94","2.5","4458","2.9","2.98"
"2018","Alleinerziehende","3.85","2.5","4676","3.81","3.89"
"2018","Paar mit Kind(ern)","4.89","4.5","27464","4.87","4.91"
"2018","Sonstige","4.68","3.5","2251","4.6","4.76"
"2019","(Ehe-)Paar ohne Kind(er)","4.13","3.5","10351","4.1","4.16"
"2019","1-Pers.- Haushalt","2.98","2.5","4642","2.94","3.02"
"2019","Alleinerziehende","3.92","2.5","4325","3.87","3.97"
"2019","Paar mit Kind(ern)","4.89","4.5","27453","4.87","4.91"
"2019","Sonstige","4.72","3.5","1886","4.64","4.8"
"2020","(Ehe-)Paar ohne Kind(er)","4.16","3.5","10393","4.13","4.19"
"2020","1-Pers.- Haushalt","2.96","2.5","5430","2.92","3"
"2020","Alleinerziehende","4","3.5","4287","3.95","4.05"
"2020","Paar mit Kind(ern)","4.99","4.5","27485","4.97","5.01"
"2020","Sonstige","4.91","3.5","2336","4.83","4.99"
