"year","quintil","mean","median","n","lower_confidence","upper_confidence"
"2004","1 Einkommensschwächstes Quintil","3.7","2.5","5565","3.66","3.74"
"2004","2","4","3.5","5923","3.96","4.04"
"2004","3","4.11","3.5","5887","4.07","4.15"
"2004","4","4.15","3.5","5687","4.1","4.2"
"2004","5 Einkommensstärkstes Quintil","4.7","3.5","4869","4.65","4.75"
"2005","1 Einkommensschwächstes Quintil","3.7","2.5","5387","3.66","3.74"
"2005","2","3.99","3.5","5494","3.95","4.03"
"2005","3","4.1","3.5","5539","4.06","4.14"
"2005","4","4.21","3.5","5455","4.16","4.26"
"2005","5 Einkommensstärkstes Quintil","4.62","3.5","4831","4.56","4.68"
"2006","1 Einkommensschwächstes Quintil","3.58","2.5","5718","3.54","3.62"
"2006","2","4.02","3.5","5929","3.98","4.06"
"2006","3","4.09","3.5","5914","4.05","4.13"
"2006","4","4.19","3.5","6058","4.15","4.23"
"2006","5 Einkommensstärkstes Quintil","4.67","3.5","5049","4.62","4.72"
"2007","1 Einkommensschwächstes Quintil","3.65","2.5","4896","3.6","3.7"
"2007","2","3.96","3.5","5413","3.92","4"
"2007","3","4.19","3.5","5605","4.15","4.23"
"2007","4","4.23","3.5","5736","4.19","4.27"
"2007","5 Einkommensstärkstes Quintil","4.73","4.5","4965","4.68","4.78"
"2008","1 Einkommensschwächstes Quintil","3.64","2.5","4284","3.59","3.69"
"2008","2","3.98","3.5","4676","3.93","4.03"
"2008","3","4.24","3.5","5399","4.19","4.29"
"2008","4","4.24","3.5","5548","4.19","4.29"
"2008","5 Einkommensstärkstes Quintil","4.75","4.5","4970","4.7","4.8"
"2009","1 Einkommensschwächstes Quintil","3.56","2.5","3778","3.51","3.61"
"2009","2","3.98","3.5","4308","3.93","4.03"
"2009","3","4.22","3.5","4874","4.17","4.27"
"2009","4","4.35","3.5","5353","4.3","4.4"
"2009","5 Einkommensstärkstes Quintil","4.67","3.5","4908","4.62","4.72"
"2010","1 Einkommensschwächstes Quintil","3.54","2.5","8133","3.5","3.58"
"2010","2","3.87","3.5","8359","3.84","3.9"
"2010","3","4.24","3.5","7221","4.2","4.28"
"2010","4","4.29","3.5","7305","4.25","4.33"
"2010","5 Einkommensstärkstes Quintil","4.68","4.5","6450","4.63","4.73"
"2011","1 Einkommensschwächstes Quintil","3.51","2.5","8577","3.48","3.54"
"2011","2","3.92","3.5","9269","3.89","3.95"
"2011","3","4.13","3.5","8745","4.09","4.17"
"2011","4","4.37","3.5","9296","4.33","4.41"
"2011","5 Einkommensstärkstes Quintil","4.69","3.5","8114","4.65","4.73"
"2012","1 Einkommensschwächstes Quintil","3.42","2.5","7137","3.38","3.46"
"2012","2","3.93","3.5","8571","3.89","3.97"
"2012","3","4.16","3.5","8842","4.12","4.2"
"2012","4","4.34","3.5","9321","4.3","4.38"
"2012","5 Einkommensstärkstes Quintil","4.68","3.5","8534","4.64","4.72"
"2013","1 Einkommensschwächstes Quintil","3.41","2.5","8781","3.38","3.44"
"2013","2","3.86","3.5","9619","3.83","3.89"
"2013","3","4.09","3.5","9346","4.06","4.12"
"2013","4","4.29","3.5","10558","4.26","4.32"
"2013","5 Einkommensstärkstes Quintil","4.66","3.5","9360","4.62","4.7"
"2014","1 Einkommensschwächstes Quintil","3.46","2.5","6541","3.42","3.5"
"2014","2","3.82","2.5","7845","3.78","3.86"
"2014","3","4.06","3.5","8242","4.02","4.1"
"2014","4","4.27","3.5","9637","4.23","4.31"
"2014","5 Einkommensstärkstes Quintil","4.65","3.5","9242","4.61","4.69"
"2015","1 Einkommensschwächstes Quintil","3.4","2.5","6567","3.36","3.44"
"2015","2","3.72","2.5","7217","3.68","3.76"
"2015","3","4.07","3.5","7978","4.03","4.11"
"2015","4","4.24","3.5","9548","4.21","4.27"
"2015","5 Einkommensstärkstes Quintil","4.63","3.5","9740","4.59","4.67"
"2016","1 Einkommensschwächstes Quintil","3.33","2.5","12918","3.31","3.35"
"2016","2","3.77","2.5","6457","3.73","3.81"
"2016","3","4.06","3.5","6876","4.02","4.1"
"2016","4","4.24","3.5","9275","4.21","4.27"
"2016","5 Einkommensstärkstes Quintil","4.67","4.5","9548","4.63","4.71"
"2017","1 Einkommensschwächstes Quintil","3.4","2.5","14192","3.38","3.42"
"2017","2","3.72","2.5","6551","3.68","3.76"
"2017","3","3.97","3.5","7364","3.93","4.01"
"2017","4","4.26","3.5","10187","4.23","4.29"
"2017","5 Einkommensstärkstes Quintil","4.61","3.5","11847","4.58","4.64"
"2018","1 Einkommensschwächstes Quintil","3.29","2.5","12263","3.27","3.31"
"2018","2","3.57","2.5","6324","3.53","3.61"
"2018","3","4","3.5","7085","3.96","4.04"
"2018","4","4.23","3.5","10370","4.2","4.26"
"2018","5 Einkommensstärkstes Quintil","4.64","3.5","12084","4.61","4.67"
"2019","1 Einkommensschwächstes Quintil","3.35","2.5","10046","3.32","3.38"
"2019","2","3.65","2.5","5947","3.61","3.69"
"2019","3","4","3.5","6293","3.96","4.04"
"2019","4","4.15","3.5","10227","4.12","4.18"
"2019","5 Einkommensstärkstes Quintil","4.66","3.5","16141","4.63","4.69"
"2020","1 Einkommensschwächstes Quintil","3.33","2.5","9756","3.3","3.36"
"2020","2","3.71","2.5","7350","3.68","3.74"
"2020","3","3.92","3.5","6491","3.88","3.96"
"2020","4","4.32","3.5","10550","4.29","4.35"
"2020","5 Einkommensstärkstes Quintil","4.65","3.5","15784","4.62","4.68"
