"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2008","Westdeutschland","3.81","2.5","8171","2","3","5","6","9","3.77","3.85","1","24","4","4"
"2009","Ostdeutschland","3.29","2.5","2555","2","2","4","5","8","3.23","3.35","1","15","3","3"
"2009","Westdeutschland","3.84","2.5","7622","2","3","5","6","9","3.8","3.88","1","17","4","4"
"2010","Ostdeutschland","3.3","2.5","3160","2","2","4","5","8","3.25","3.35","1","16","3","3"
"2010","Westdeutschland","3.84","2.5","10639","2","3","5","6","9","3.81","3.87","1","24","4","4"
"2011","Ostdeutschland","3.27","2.5","3744","2","2","4","5","8","3.22","3.32","1","15","3","3"
"2011","Westdeutschland","3.83","2.5","12859","2","3","5","6","9","3.8","3.86","1","24","4","4"
"2012","Ostdeutschland","3.26","2.5","3712","2","2","4","5","8","3.21","3.31","1","13","3","3"
"2012","Westdeutschland","3.84","2.5","12591","2","3","5","6","9","3.81","3.87","1","24","4","4"
"2013","Ostdeutschland","3.27","2.5","3657","2","2","4","5","8","3.22","3.32","1","14","3","3"
"2013","Westdeutschland","3.81","2.5","14213","2","3","5","6","9","3.78","3.84","1","20","4","4"
"2014","Ostdeutschland","3.24","2.5","3381","2","2","4","5","8","3.19","3.29","1","13","3","3"
"2014","Westdeutschland","3.83","2.5","12447","2","3","5","6","9","3.8","3.86","1","20","4","4"
"2015","Ostdeutschland","3.23","2.5","3282","2","2","4","5","8","3.18","3.28","1","12","3","3"
"2015","Westdeutschland","3.84","2.5","12482","2","3","5","6","9","3.81","3.87","1","16","4","4"
"2016","Ostdeutschland","3.28","2.5","3462","2","2","4","5","8","3.23","3.33","1","12","3","3"
"2016","Westdeutschland","3.86","2.5","12940","2","3","5","6","9","3.83","3.89","1","16","4","4"
"2017","Ostdeutschland","3.28","2.5","3800","2","2","4","5","7","3.23","3.33","1","13","3","3"
"2017","Westdeutschland","3.85","2.5","14475","2","3","5","6","9","3.82","3.88","1","16","4","4"
"2018","Ostdeutschland","3.3","2.5","3780","2","2","4","5","8","3.25","3.35","1","12","3","3"
"2018","Westdeutschland","3.85","3.5","14093","2","3","5","6","9","3.82","3.88","1","18","4","4"
"2019","Ostdeutschland","3.35","2.5","3919","2","2","4","5","8","3.3","3.4","1","25","3","3"
"2019","Westdeutschland","3.87","3.5","14500","2","3","5","6","9","3.84","3.9","1","16","4","4"
"2020","Ostdeutschland","3.39","2.5","3868","2","2","4","5","8","3.34","3.44","1","25","3","3"
"2020","Westdeutschland","3.91","3.5","15561","2","3","5","6","9","3.88","3.94","1","17","3","3"
