"year","quintil","mean","median","n","lower_confidence","upper_confidence"
"1995","4","0.46","0","3373","0.43","0.49"
"1995","5","0.31","0","1380","0.27","0.35"
"1996","1","","","","",""
"1996","2","0.82","0","5905","0.79","0.85"
"1996","3","0.68","0","6378","0.66","0.7"
"1996","4","0.48","0","3569","0.45","0.51"
"1996","5","0.32","0","1487","0.28","0.36"
"1997","1","","","","",""
"1997","2","0.82","0","5517","0.79","0.85"
"1997","3","0.68","0","6246","0.66","0.7"
"1997","4","0.45","0","3699","0.42","0.48"
"1997","5","0.36","0","1545","0.32","0.4"
"1998","1","","","","",""
"1998","2","0.82","0","5947","0.79","0.85"
"1998","3","0.68","0","6785","0.66","0.7"
"1998","4","0.48","0","4179","0.45","0.51"
"1998","5","0.33","0","1845","0.3","0.36"
"1999","1","","","","",""
"1999","2","0.8","0","4839","0.77","0.83"
"1999","3","0.71","0","6827","0.69","0.73"
"1999","4","0.47","0","4253","0.44","0.5"
"1999","5","0.36","0","2069","0.33","0.39"
"2000","1","","","","",""
"2000","2","0.83","0","7963","0.8","0.86"
"2000","3","0.67","0","11504","0.65","0.69"
"2000","4","0.45","0","7940","0.43","0.47"
"2000","5","0.31","0","4400","0.29","0.33"
"2001","1","","","","",""
"2001","2","0.79","0","6632","0.76","0.82"
"2001","3","0.68","0","10166","0.66","0.7"
"2001","4","0.44","0","7584","0.42","0.46"
"2001","5","0.31","0","4346","0.29","0.33"
"2002","1","","","","",""
"2002","2","0.7","0","5627","0.67","0.73"
"2002","3","0.69","0","9107","0.67","0.71"
"2002","4","0.48","0","7581","0.46","0.5"
"2002","5","0.29","0","7801","0.27","0.31"
"2003","1","","","","",""
"2003","2","0.72","0","5197","0.69","0.75"
"2003","3","0.66","0","8673","0.64","0.68"
"2003","4","0.48","0","7648","0.46","0.5"
"2003","5","0.3","0","7274","0.28","0.32"
"2004","1","","","","",""
"2004","2","0.66","0","5029","0.63","0.69"
"2004","3","0.63","0","8436","0.61","0.65"
"2004","4","0.45","0","7216","0.43","0.47"
"2004","5","0.3","0","7250","0.28","0.32"
"2005","1","","","","",""
"2005","2","0.64","0","4882","0.61","0.67"
"2005","3","0.62","0","7739","0.6","0.64"
"2005","4","0.49","0","7092","0.47","0.51"
"2005","5","0.27","0","6993","0.25","0.29"
"2006","1","","","","",""
"2006","2","0.64","0","5077","0.61","0.67"
"2006","3","0.62","0","8405","0.6","0.64"
"2006","4","0.47","0","7673","0.45","0.49"
"2006","5","0.32","0","7513","0.3","0.34"
"2007","1","","","","",""
"2007","2","0.61","0","4352","0.58","0.64"
"2007","3","0.6","0","7682","0.58","0.62"
"2007","4","0.46","0","7180","0.44","0.48"
"2007","5","0.35","0","7401","0.33","0.37"
"2008","1","","","","",""
"2008","2","0.56","0","3881","0.53","0.59"
"2008","3","0.61","0","6745","0.59","0.63"
"2008","4","0.46","0","6925","0.44","0.48"
"2008","5","0.35","0","7326","0.33","0.37"
"2009","1","","","","",""
"2009","2","0.49","0","3441","0.46","0.52"
"2009","3","0.59","0","6196","0.57","0.61"
"2009","4","0.48","0","6466","0.46","0.5"
"2009","5","0.35","0","7118","0.33","0.37"
"2010","1","","","","",""
"2010","2","0.61","0","7341","0.58","0.64"
"2010","3","0.55","0","11477","0.53","0.57"
"2010","4","0.46","0","9109","0.44","0.48"
"2010","5","0.34","0","9541","0.32","0.36"
"2011","1","","","","",""
"2011","2","0.55","0","7751","0.52","0.58"
"2011","3","0.57","0","12870","0.55","0.59"
"2011","4","0.48","0","11447","0.46","0.5"
"2011","5","0.36","0","11933","0.34","0.38"
"2012","1","","","","",""
"2012","2","0.55","0","6363","0.52","0.58"
"2012","3","0.57","0","12039","0.55","0.59"
"2012","4","0.46","0","11523","0.44","0.48"
"2012","5","0.37","0","12480","0.35","0.39"
"2013","1","","","","",""
"2013","2","0.59","0","7898","0.56","0.62"
"2013","3","0.58","0","13395","0.56","0.6"
"2013","4","0.46","0","12741","0.44","0.48"
"2013","5","0.34","0","13630","0.32","0.36"
"2014","1","","","","",""
"2014","2","0.6","0","5915","0.57","0.63"
"2014","3","0.6","0","10941","0.58","0.62"
"2014","4","0.43","0","11461","0.41","0.45"
"2014","5","0.37","0","13190","0.35","0.39"
"2015","1","","","","",""
"2015","2","0.57","0","5849","0.54","0.6"
"2015","3","0.62","0","10161","0.59","0.65"
"2015","4","0.44","0","11284","0.42","0.46"
"2015","5","0.38","0","13758","0.36","0.4"
"2016","1","","","","",""
"2016","2","0.67","0","12304","0.64","0.7"
"2016","3","0.65","0","9014","0.62","0.68"
"2016","4","0.43","0","10109","0.41","0.45"
"2016","5","0.39","0","13661","0.37","0.41"
"2017","1","","","","",""
"2017","2","0.74","0","13521","0.71","0.77"
"2017","3","0.64","0","9317","0.61","0.67"
"2017","4","0.47","0","10959","0.45","0.49"
"2017","5","0.39","0","16356","0.38","0.4"
"2018","1","","","","",""
"2018","2","0.63","0","11465","0.6","0.66"
"2018","3","0.71","0","9088","0.68","0.74"
"2018","4","0.49","0","10822","0.47","0.51"
"2018","5","0.38","0","16768","0.37","0.39"
"2019","1","","","","",""
"2019","2","0.61","0","9457","0.58","0.64"
"2019","3","0.69","0","8243","0.66","0.72"
"2019","4","0.5","0","9953","0.48","0.52"
"2019","5","0.42","0","21008","0.41","0.43"
"2020","1","","","","",""
"2020","2","0.61","0","8865","0.58","0.64"
"2020","3","0.69","0","10186","0.66","0.72"
"2020","4","0.52","0","10099","0.5","0.54"
"2020","5","0.44","0","20781","0.43","0.45"
