"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1999","Ostdeutschland","0.49","0","4771","0","0","1","2","3","0.47","0.51","0","4","0","0"
"1999","Westdeutschland","0.65","0","13217","0","0","1","2","4","0.63","0.67","0","7","0","0"
"2000","Ostdeutschland","0.47","0","7357","0","0","1","2","3","0.45","0.49","0","4","0","0"
"2000","Westdeutschland","0.62","0","24450","0","0","1","2","4","0.61","0.63","0","7","0","0"
"2001","Ostdeutschland","0.42","0","6738","0","0","1","2","3","0.4","0.44","0","4","0","0"
"2001","Westdeutschland","0.61","0","21990","0","0","1","2","4","0.6","0.62","0","6","0","0"
"2002","Ostdeutschland","0.41","0","6704","0","0","1","2","3","0.39","0.43","0","5","0","0"
"2002","Westdeutschland","0.6","0","23412","0","0","1","2","3","0.59","0.61","0","6","0","0"
"2003","Ostdeutschland","0.38","0","6547","0","0","1","1","3","0.36","0.4","0","6","0","0"
"2003","Westdeutschland","0.59","0","22245","0","0","1","2","3","0.58","0.6","0","6","0","0"
"2004","Ostdeutschland","0.36","0","6378","0","0","0","1","3","0.34","0.38","0","6","0","0"
"2004","Westdeutschland","0.56","0","21553","0","0","1","2","3","0.55","0.57","0","6","0","0"
"2005","Ostdeutschland","0.38","0","6151","0","0","0","1","3","0.36","0.4","0","7","0","0"
"2005","Westdeutschland","0.54","0","20555","0","0","1","2","3","0.53","0.55","0","6","0","0"
"2006","Ostdeutschland","0.39","0","6540","0","0","1","2","3","0.37","0.41","0","7","0","0"
"2006","Westdeutschland","0.55","0","22128","0","0","1","2","3","0.54","0.56","0","6","0","0"
"2007","Ostdeutschland","0.39","0","6124","0","0","1","2","3","0.37","0.41","0","8","0","0"
"2007","Westdeutschland","0.53","0","20494","0","0","1","2","3","0.52","0.54","0","6","0","0"
"2008","Ostdeutschland","0.41","0","5821","0","0","1","2","4","0.39","0.43","0","7","0","0"
"2008","Westdeutschland","0.51","0","19056","0","0","1","2","3","0.5","0.52","0","6","0","0"
"2009","Ostdeutschland","0.44","0","5582","0","0","1","2","3","0.42","0.46","0","7","0","0"
"2009","Westdeutschland","0.49","0","17639","0","0","1","2","3","0.48","0.5","0","5","0","0"
"2010","Ostdeutschland","0.4","0","7930","0","0","1","2","3","0.38","0.42","0","6","1","1"
"2010","Westdeutschland","0.49","0","29538","0","0","1","2","3","0.48","0.5","0","9","1","1"
"2011","Ostdeutschland","0.42","0","9146","0","0","1","2","3","0.4","0.44","0","6","0","1"
"2011","Westdeutschland","0.49","0","34855","0","0","1","2","3","0.48","0.5","0","8","1","1"
"2012","Ostdeutschland","0.42","0","8870","0","0","1","2","3","0.4","0.44","0","7","0","0"
"2012","Westdeutschland","0.48","0","33536","0","0","1","2","3","0.47","0.49","0","9","1","1"
"2013","Ostdeutschland","0.41","0","8836","0","0","1","2","3","0.39","0.43","0","6","0","0"
"2013","Westdeutschland","0.48","0","38829","0","0","1","2","3","0.47","0.49","0","8","1","1"
"2014","Ostdeutschland","0.45","0","8022","0","0","1","2","4","0.42","0.48","0","6","0","0"
"2014","Westdeutschland","0.47","0","33485","0","0","1","2","3","0.46","0.48","0","8","0","1"
"2015","Ostdeutschland","0.45","0","7723","0","0","1","2","3","0.42","0.48","0","7","0","0"
"2015","Westdeutschland","0.47","0","33329","0","0","1","2","3","0.46","0.48","0","8","0","1"
"2016","Ostdeutschland","0.46","0","8650","0","0","1","2","4","0.43","0.49","0","8","1","1"
"2016","Westdeutschland","0.49","0","36438","0","0","1","2","3","0.48","0.5","0","9","1","1"
"2017","Ostdeutschland","0.46","0","9378","0","0","1","2","4","0.43","0.49","0","8","0","0"
"2017","Westdeutschland","0.5","0","40775","0","0","1","2","4","0.49","0.51","0","9","1","1"
"2018","Ostdeutschland","0.47","0","9170","0","0","1","2","3","0.44","0.5","0","8","0","0"
"2018","Westdeutschland","0.49","0","38973","0","0","1","2","3","0.48","0.5","0","10","1","1"
"2019","Ostdeutschland","0.46","0","9468","0","0","1","2","4","0.43","0.49","0","8","0","0"
"2019","Westdeutschland","0.51","0","39100","0","0","1","2","4","0.5","0.52","0","10","0","1"
"2020","Ostdeutschland","0.47","0","9140","0","0","1","2","4","0.44","0.5","0","8","0","0"
"2020","Westdeutschland","0.51","0","40791","0","0","1","2","3","0.5","0.52","0","9","0","0"
