year,bula_h,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,North Rhine-Westphalia,Owner,6 rooms,0.12160,53,338,0.08670,0.15649
1985,North Rhine-Westphalia,Tenant,1 room,0.07998,71,986,0.06304,0.09692
1985,North Rhine-Westphalia,Tenant,2 rooms,0.32510,277,986,0.29585,0.35436
1985,North Rhine-Westphalia,Tenant,3 rooms,0.39638,425,986,0.36583,0.42692
1985,North Rhine-Westphalia,Tenant,4 rooms,0.13877,165,986,0.11718,0.16036
1985,North Rhine-Westphalia,Tenant,5 rooms,0.03407,48,986,0.02274,0.04540
1985,Hesse,Owner,3 rooms,0.24240,37,81,0.14849,0.33631
1985,Hesse,Owner,4 rooms,0.24807,44,81,0.15343,0.34271
1985,Hesse,Tenant,2 rooms,0.24900,85,309,0.20070,0.29729
1985,Hesse,Tenant,3 rooms,0.41596,158,309,0.36092,0.47101
1985,Hesse,Tenant,4 rooms,0.18237,66,309,0.13924,0.22550
1985,"Rhineland-Palatinate, Saarland",Owner,4 rooms,0.22112,39,121,0.14686,0.29537
1985,"Rhineland-Palatinate, Saarland",Owner,5 rooms,0.23666,44,121,0.16061,0.31271
1985,"Rhineland-Palatinate, Saarland",Owner,6 rooms,0.20440,38,121,0.13225,0.27655
1985,"Rhineland-Palatinate, Saarland",Tenant,2 rooms,0.30674,50,114,0.22172,0.39177
1985,"Rhineland-Palatinate, Saarland",Tenant,3 rooms,0.36937,64,114,0.28038,0.45836
1985,Baden-Wuerttemberg,Owner,3 rooms,0.27442,86,300,0.22384,0.32500
1985,Baden-Wuerttemberg,Owner,4 rooms,0.24999,92,300,0.20091,0.29907
1985,Baden-Wuerttemberg,Owner,5 rooms,0.19703,73,300,0.15194,0.24211
1985,Baden-Wuerttemberg,Owner,6 rooms,0.12233,49,300,0.08519,0.15947
1985,Baden-Wuerttemberg,Tenant,1 room,0.08288,41,573,0.06028,0.10547
1985,Baden-Wuerttemberg,Tenant,2 rooms,0.29548,130,573,0.25809,0.33287
1985,Baden-Wuerttemberg,Tenant,3 rooms,0.38367,263,573,0.34382,0.42352
1985,Baden-Wuerttemberg,Tenant,4 rooms,0.14511,100,573,0.11625,0.17398
1985,Baden-Wuerttemberg,Tenant,5 rooms,0.05851,39,573,0.03928,0.07775
1985,Bavaria,Owner,3 rooms,0.23249,81,319,0.18606,0.27891
1985,Bavaria,Owner,4 rooms,0.27323,107,319,0.22425,0.32221
1985,Bavaria,Owner,5 rooms,0.23624,94,319,0.18956,0.28293
1985,Bavaria,Owner,6 rooms,0.09408,37,319,0.06199,0.12616
1985,Bavaria,Tenant,1 room,0.10665,38,469,0.07868,0.13461
1985,Bavaria,Tenant,2 rooms,0.22846,115,469,0.19042,0.26650
1985,Bavaria,Tenant,3 rooms,0.42449,215,469,0.37971,0.46927
1985,Bavaria,Tenant,4 rooms,0.16528,101,469,0.13163,0.19893
1985,Berlin,Tenant,2 rooms,0.41095,63,154,0.33299,0.48891
1985,Berlin,Tenant,3 rooms,0.25564,55,154,0.18652,0.32477
1985,Berlin,Tenant,4 rooms,0.14464,36,154,0.08891,0.20038
1986,Schleswig-Holstein,Tenant,3 rooms,0.40644,35,35,0.24134,0.57154
1986,Hamburg,Tenant,2 rooms,0.40333,44,106,0.30950,0.49716
1986,Hamburg,Tenant,3 rooms,0.44378,62,106,0.34875,0.53882
1986,Lower Saxony,Owner,3 rooms,0.19080,40,196,0.13565,0.24596
1986,Lower Saxony,Owner,4 rooms,0.27222,66,196,0.20974,0.33469
1986,Lower Saxony,Owner,5 rooms,0.19561,51,196,0.13993,0.25128
1986,Lower Saxony,Owner,6 rooms,0.15647,39,196,0.10547,0.20746
1986,Lower Saxony,Tenant,2 rooms,0.27337,58,227,0.21526,0.33148
1986,Lower Saxony,Tenant,3 rooms,0.39633,123,227,0.33256,0.46010
1986,Lower Saxony,Tenant,4 rooms,0.14452,46,227,0.09867,0.19036
1986,North Rhine-Westphalia,Owner,3 rooms,0.20142,73,338,0.15860,0.24424
1986,North Rhine-Westphalia,Owner,4 rooms,0.28322,120,338,0.23511,0.33133
1986,North Rhine-Westphalia,Owner,5 rooms,0.19316,91,338,0.15101,0.23531
1986,North Rhine-Westphalia,Owner,6 rooms,0.12648,54,338,0.09099,0.16197
1986,North Rhine-Westphalia,Tenant,1 room,0.08202,64,924,0.06432,0.09973
1986,North Rhine-Westphalia,Tenant,2 rooms,0.31745,250,924,0.28742,0.34748
1986,North Rhine-Westphalia,Tenant,3 rooms,0.40507,415,924,0.37340,0.43674
1986,North Rhine-Westphalia,Tenant,4 rooms,0.13990,157,924,0.11752,0.16228
1986,North Rhine-Westphalia,Tenant,5 rooms,0.02912,38,924,0.01827,0.03997
1986,Hesse,Owner,3 rooms,0.24420,38,77,0.14761,0.34078
1986,Hesse,Owner,4 rooms,0.24143,39,77,0.14522,0.33765
1986,Hesse,Tenant,2 rooms,0.25782,84,289,0.20730,0.30835
1986,Hesse,Tenant,3 rooms,0.40290,146,289,0.34625,0.45955
1986,Hesse,Tenant,4 rooms,0.16852,59,289,0.12529,0.21176
1986,"Rhineland-Palatinate, Saarland",Owner,4 rooms,0.22343,38,118,0.14795,0.29891
1986,"Rhineland-Palatinate, Saarland",Owner,5 rooms,0.20574,41,118,0.13249,0.27899
1986,"Rhineland-Palatinate, Saarland",Owner,6 rooms,0.21346,39,118,0.13921,0.28770
1986,"Rhineland-Palatinate, Saarland",Tenant,2 rooms,0.30644,48,118,0.22290,0.38998
1986,"Rhineland-Palatinate, Saarland",Tenant,3 rooms,0.38348,70,118,0.29537,0.47159
1986,Baden-Wuerttemberg,Owner,3 rooms,0.27576,85,298,0.22494,0.32659
1986,Baden-Wuerttemberg,Owner,4 rooms,0.24478,89,298,0.19588,0.29368
1986,Baden-Wuerttemberg,Owner,5 rooms,0.18990,71,298,0.14529,0.23451
1986,Baden-Wuerttemberg,Owner,6 rooms,0.13028,53,298,0.09200,0.16857
1986,Baden-Wuerttemberg,Tenant,1 room,0.08929,38,537,0.06515,0.11343
1986,Baden-Wuerttemberg,Tenant,2 rooms,0.28424,124,537,0.24605,0.32242
1986,Baden-Wuerttemberg,Tenant,3 rooms,0.37601,235,537,0.33500,0.41702
1986,Baden-Wuerttemberg,Tenant,4 rooms,0.16752,105,537,0.13590,0.19913
1986,Baden-Wuerttemberg,Tenant,5 rooms,0.05639,35,537,0.03686,0.07592
1986,Bavaria,Owner,3 rooms,0.24567,85,309,0.19760,0.29375
1986,Bavaria,Owner,4 rooms,0.26487,98,309,0.21559,0.31415
1986,Bavaria,Owner,5 rooms,0.21854,87,309,0.17239,0.26469
1986,Bavaria,Owner,6 rooms,0.10059,39,309,0.06700,0.13419
1986,Bavaria,Tenant,1 room,0.10864,38,429,0.07916,0.13812
1986,Bavaria,Tenant,2 rooms,0.23994,102,429,0.19948,0.28040
1986,Bavaria,Tenant,3 rooms,0.40805,195,429,0.36149,0.45461
1986,Bavaria,Tenant,4 rooms,0.17375,94,429,0.13785,0.20965
1986,Berlin,Tenant,2 rooms,0.39164,64,151,0.31352,0.46975
1986,Berlin,Tenant,3 rooms,0.26891,55,151,0.19795,0.33986
1986,Berlin,Tenant,4 rooms,0.12744,32,151,0.07408,0.18081
1987,Schleswig-Holstein,Tenant,3 rooms,0.40296,31,31,0.22744,0.57848
1987,Hamburg,Tenant,2 rooms,0.37302,35,92,0.27366,0.47238
1987,Hamburg,Tenant,3 rooms,0.49273,57,92,0.39001,0.59545
1987,Lower Saxony,Owner,3 rooms,0.20274,41,190,0.14542,0.26006
1987,Lower Saxony,Owner,4 rooms,0.28049,65,190,0.21644,0.34454
1987,Lower Saxony,Owner,5 rooms,0.20480,50,190,0.14726,0.26233
1987,Lower Saxony,Owner,6 rooms,0.14343,34,190,0.09346,0.19340
1987,Lower Saxony,Tenant,2 rooms,0.28199,63,234,0.22421,0.33977
1987,Lower Saxony,Tenant,3 rooms,0.42043,127,234,0.35705,0.48382
1987,Lower Saxony,Tenant,4 rooms,0.12463,44,234,0.08222,0.16704
1987,North Rhine-Westphalia,Owner,3 rooms,0.19172,69,343,0.15000,0.23344
1987,North Rhine-Westphalia,Owner,4 rooms,0.26794,116,343,0.22100,0.31487
1987,North Rhine-Westphalia,Owner,5 rooms,0.22578,107,343,0.18147,0.27009
1987,North Rhine-Westphalia,Owner,6 rooms,0.12120,51,343,0.08661,0.15579
1987,North Rhine-Westphalia,Tenant,1 room,0.07531,55,907,0.05812,0.09249
1987,North Rhine-Westphalia,Tenant,2 rooms,0.31792,244,907,0.28760,0.34824
1987,North Rhine-Westphalia,Tenant,3 rooms,0.40239,409,907,0.37046,0.43432
1987,North Rhine-Westphalia,Tenant,4 rooms,0.14525,156,907,0.12230,0.16819
1987,North Rhine-Westphalia,Tenant,5 rooms,0.03231,43,907,0.02080,0.04383
1987,Hesse,Owner,3 rooms,0.24326,38,80,0.14864,0.33787
1987,Hesse,Owner,4 rooms,0.25428,42,80,0.15825,0.35030
1987,Hesse,Tenant,2 rooms,0.26687,85,279,0.21488,0.31887
1987,Hesse,Tenant,3 rooms,0.36474,129,279,0.30815,0.42132
1987,Hesse,Tenant,4 rooms,0.19928,65,279,0.15232,0.24624
1987,"Rhineland-Palatinate, Saarland",Owner,4 rooms,0.23814,41,127,0.16377,0.31252
1987,"Rhineland-Palatinate, Saarland",Owner,5 rooms,0.22036,45,127,0.14799,0.29273
1987,"Rhineland-Palatinate, Saarland",Owner,6 rooms,0.22242,41,127,0.14980,0.29504
1987,"Rhineland-Palatinate, Saarland",Tenant,2 rooms,0.32346,50,119,0.23906,0.40787
1987,"Rhineland-Palatinate, Saarland",Tenant,3 rooms,0.39798,69,119,0.30966,0.48630
1987,Baden-Wuerttemberg,Owner,3 rooms,0.27199,86,290,0.22069,0.32330
1987,Baden-Wuerttemberg,Owner,4 rooms,0.23496,85,290,0.18608,0.28384
1987,Baden-Wuerttemberg,Owner,5 rooms,0.18171,65,290,0.13726,0.22617
1987,Baden-Wuerttemberg,Owner,6 rooms,0.14034,54,290,0.10029,0.18039
1987,Baden-Wuerttemberg,Tenant,1 room,0.07798,31,536,0.05526,0.10070
1987,Baden-Wuerttemberg,Tenant,2 rooms,0.25863,119,536,0.22153,0.29574
1987,Baden-Wuerttemberg,Tenant,3 rooms,0.39643,245,536,0.35498,0.43788
1987,Baden-Wuerttemberg,Tenant,4 rooms,0.19093,107,536,0.15762,0.22423
1987,Baden-Wuerttemberg,Tenant,5 rooms,0.05779,34,536,0.03802,0.07757
1987,Bavaria,Owner,3 rooms,0.23086,76,301,0.18318,0.27855
1987,Bavaria,Owner,4 rooms,0.27509,102,301,0.22455,0.32562
1987,Bavaria,Owner,5 rooms,0.23210,88,301,0.18433,0.27988
1987,Bavaria,Owner,6 rooms,0.09240,35,301,0.05963,0.12517
1987,Bavaria,Tenant,1 room,0.13298,48,429,0.10081,0.16515
1987,Bavaria,Tenant,2 rooms,0.24809,109,429,0.20718,0.28901
1987,Bavaria,Tenant,3 rooms,0.39245,188,429,0.34618,0.43871
1987,Bavaria,Tenant,4 rooms,0.15496,84,429,0.12068,0.18925
1987,Berlin,Tenant,2 rooms,0.39349,60,150,0.31505,0.47193
1987,Berlin,Tenant,3 rooms,0.28456,59,150,0.21211,0.35701
1987,Berlin,Tenant,4 rooms,0.11875,31,150,0.06680,0.17069
1988,Schleswig-Holstein,Tenant,3 rooms,0.39320,32,32,0.22125,0.56515
1988,Hamburg,Tenant,2 rooms,0.39897,34,77,0.28888,0.50907
1988,Hamburg,Tenant,3 rooms,0.44769,43,77,0.33590,0.55949
1988,Lower Saxony,Owner,3 rooms,0.18918,34,177,0.13131,0.24704
1988,Lower Saxony,Owner,4 rooms,0.26930,59,177,0.20377,0.33484
1988,Lower Saxony,Owner,5 rooms,0.20480,46,177,0.14518,0.26443
1988,Lower Saxony,Owner,6 rooms,0.17228,38,177,0.11649,0.22807
1988,Lower Saxony,Tenant,2 rooms,0.29064,63,232,0.23208,0.34919
1988,Lower Saxony,Tenant,3 rooms,0.43767,129,232,0.37369,0.50164
1988,Lower Saxony,Tenant,4 rooms,0.11279,40,232,0.07199,0.15358
1988,North Rhine-Westphalia,Owner,3 rooms,0.21572,75,335,0.17161,0.25984
1988,North Rhine-Westphalia,Owner,4 rooms,0.26096,115,335,0.21386,0.30806
1988,North Rhine-Westphalia,Owner,5 rooms,0.19963,92,335,0.15676,0.24250
1988,North Rhine-Westphalia,Owner,6 rooms,0.12752,53,335,0.09175,0.16329
1988,North Rhine-Westphalia,Tenant,1 room,0.07405,48,847,0.05641,0.09170
1988,North Rhine-Westphalia,Tenant,2 rooms,0.32066,233,847,0.28920,0.35211
1988,North Rhine-Westphalia,Tenant,3 rooms,0.40738,390,847,0.37427,0.44049
1988,North Rhine-Westphalia,Tenant,4 rooms,0.13670,137,847,0.11355,0.15985
1988,North Rhine-Westphalia,Tenant,5 rooms,0.03364,39,847,0.02149,0.04579
1988,Hesse,Owner,3 rooms,0.23547,34,74,0.13814,0.33280
1988,Hesse,Owner,4 rooms,0.24732,40,74,0.14835,0.34630
1988,Hesse,Tenant,2 rooms,0.27500,78,270,0.22164,0.32836
1988,Hesse,Tenant,3 rooms,0.38127,127,270,0.32323,0.43931
1988,Hesse,Tenant,4 rooms,0.19733,65,270,0.14977,0.24489
1988,"Rhineland-Palatinate, Saarland",Owner,4 rooms,0.26244,40,113,0.18096,0.34392
1988,"Rhineland-Palatinate, Saarland",Owner,5 rooms,0.20080,37,113,0.12661,0.27500
1988,"Rhineland-Palatinate, Saarland",Owner,6 rooms,0.21996,36,113,0.14324,0.29667
1988,"Rhineland-Palatinate, Saarland",Tenant,2 rooms,0.26361,38,109,0.18052,0.34671
1988,"Rhineland-Palatinate, Saarland",Tenant,3 rooms,0.41627,71,109,0.32330,0.50924
1988,Baden-Wuerttemberg,Owner,3 rooms,0.26989,81,287,0.21845,0.32134
1988,Baden-Wuerttemberg,Owner,4 rooms,0.24047,86,287,0.19094,0.29000
1988,Baden-Wuerttemberg,Owner,5 rooms,0.19024,68,287,0.14476,0.23573
1988,Baden-Wuerttemberg,Owner,6 rooms,0.13636,52,287,0.09659,0.17613
1988,Baden-Wuerttemberg,Tenant,2 rooms,0.25191,118,482,0.21311,0.29070
1988,Baden-Wuerttemberg,Tenant,3 rooms,0.40671,237,482,0.36281,0.45061
1988,Baden-Wuerttemberg,Tenant,4 rooms,0.17128,94,482,0.13761,0.20495
1988,Baden-Wuerttemberg,Tenant,5 rooms,0.05851,33,482,0.03753,0.07948
1988,Bavaria,Owner,3 rooms,0.26841,83,285,0.21688,0.31995
1988,Bavaria,Owner,4 rooms,0.25763,89,285,0.20676,0.30849
1988,Bavaria,Owner,5 rooms,0.20648,74,285,0.15940,0.25355
1988,Bavaria,Owner,6 rooms,0.10670,39,285,0.07079,0.14261
1988,Bavaria,Tenant,1 room,0.13008,48,445,0.09879,0.16137
1988,Bavaria,Tenant,2 rooms,0.23912,99,445,0.19945,0.27880
1988,Bavaria,Tenant,3 rooms,0.37916,183,445,0.33403,0.42429
1988,Bavaria,Tenant,4 rooms,0.15971,84,445,0.12563,0.19378
1988,Bavaria,Tenant,5 rooms,0.06359,31,445,0.04089,0.08629
1988,Berlin,Tenant,2 rooms,0.42922,61,145,0.34837,0.51006
1988,Berlin,Tenant,3 rooms,0.25637,53,145,0.18505,0.32768
1988,Berlin,Tenant,4 rooms,0.13012,31,145,0.07517,0.18507
1989,Hamburg,Tenant,2 rooms,0.40167,36,76,0.29072,0.51262
1989,Hamburg,Tenant,3 rooms,0.40901,40,76,0.29774,0.52028
1989,Lower Saxony,Owner,3 rooms,0.19174,33,179,0.13390,0.24957
1989,Lower Saxony,Owner,4 rooms,0.27934,60,179,0.21342,0.34525
1989,Lower Saxony,Owner,5 rooms,0.21866,48,179,0.15793,0.27938
1989,Lower Saxony,Owner,6 rooms,0.17431,38,179,0.11857,0.23004
1989,Lower Saxony,Tenant,2 rooms,0.30552,65,231,0.24599,0.36505
1989,Lower Saxony,Tenant,3 rooms,0.38523,122,231,0.32234,0.44813
1989,Lower Saxony,Tenant,4 rooms,0.14116,44,231,0.09616,0.18616
1989,North Rhine-Westphalia,Owner,3 rooms,0.19584,68,330,0.15296,0.23872
1989,North Rhine-Westphalia,Owner,4 rooms,0.27857,118,330,0.23013,0.32702
1989,North Rhine-Westphalia,Owner,5 rooms,0.20041,90,330,0.15716,0.24367
1989,North Rhine-Westphalia,Owner,6 rooms,0.12867,54,330,0.09249,0.16485
1989,North Rhine-Westphalia,Tenant,1 room,0.07159,44,810,0.05382,0.08936
1989,North Rhine-Westphalia,Tenant,2 rooms,0.32355,226,810,0.29131,0.35579
1989,North Rhine-Westphalia,Tenant,3 rooms,0.40785,372,810,0.37398,0.44171
1989,North Rhine-Westphalia,Tenant,4 rooms,0.13255,129,810,0.10918,0.15592
1989,North Rhine-Westphalia,Tenant,5 rooms,0.03535,39,810,0.02262,0.04807
1989,Hesse,Owner,3 rooms,0.23678,33,76,0.14057,0.33299
1989,Hesse,Owner,4 rooms,0.26897,43,76,0.16862,0.36933
1989,Hesse,Tenant,2 rooms,0.28529,84,280,0.23230,0.33828
1989,Hesse,Tenant,3 rooms,0.39611,134,280,0.33872,0.45350
1989,Hesse,Tenant,4 rooms,0.18343,62,280,0.13801,0.22884
1989,"Rhineland-Palatinate, Saarland",Owner,4 rooms,0.26561,41,119,0.18592,0.34530
1989,"Rhineland-Palatinate, Saarland",Owner,5 rooms,0.21301,40,119,0.13914,0.28689
1989,"Rhineland-Palatinate, Saarland",Owner,6 rooms,0.21516,38,119,0.14101,0.28930
1989,"Rhineland-Palatinate, Saarland",Tenant,2 rooms,0.27393,34,99,0.18563,0.36222
1989,"Rhineland-Palatinate, Saarland",Tenant,3 rooms,0.43581,65,99,0.33763,0.53398
1989,Baden-Wuerttemberg,Owner,3 rooms,0.25863,76,280,0.20725,0.31001
1989,Baden-Wuerttemberg,Owner,4 rooms,0.25693,89,280,0.20566,0.30820
1989,Baden-Wuerttemberg,Owner,5 rooms,0.19822,68,280,0.15144,0.24500
1989,Baden-Wuerttemberg,Owner,6 rooms,0.12051,47,280,0.08230,0.15871
1989,Baden-Wuerttemberg,Tenant,1 room,0.08688,32,480,0.06165,0.11210
1989,Baden-Wuerttemberg,Tenant,2 rooms,0.24736,105,480,0.20872,0.28600
1989,Baden-Wuerttemberg,Tenant,3 rooms,0.39749,219,480,0.35366,0.44132
1989,Baden-Wuerttemberg,Tenant,4 rooms,0.18983,93,480,0.15471,0.22496
1989,Baden-Wuerttemberg,Tenant,5 rooms,0.05362,31,480,0.03344,0.07379
1989,Bavaria,Owner,3 rooms,0.26355,75,269,0.21081,0.31630
1989,Bavaria,Owner,4 rooms,0.26338,88,269,0.21065,0.31612
1989,Bavaria,Owner,5 rooms,0.19401,68,269,0.14666,0.24135
1989,Bavaria,Owner,6 rooms,0.10644,38,269,0.06952,0.14337
1989,Bavaria,Tenant,1 room,0.11760,43,440,0.08747,0.14774
1989,Bavaria,Tenant,2 rooms,0.25745,104,440,0.21654,0.29835
1989,Bavaria,Tenant,3 rooms,0.38020,183,440,0.33479,0.42561
1989,Bavaria,Tenant,4 rooms,0.15180,79,440,0.11823,0.18537
1989,Bavaria,Tenant,5 rooms,0.06405,31,440,0.04114,0.08695
1989,Berlin,Tenant,2 rooms,0.43279,63,119,0.34339,0.52218
1989,Berlin,Tenant,3 rooms,0.29263,56,119,0.21054,0.37472
1990,Hamburg,Tenant,2 rooms,0.37645,32,73,0.26453,0.48836
1990,Hamburg,Tenant,3 rooms,0.41968,41,73,0.30568,0.53367
1990,Lower Saxony,Owner,3 rooms,0.19048,37,178,0.13263,0.24834
1990,Lower Saxony,Owner,4 rooms,0.27073,60,178,0.20527,0.33619
1990,Lower Saxony,Owner,5 rooms,0.21915,49,178,0.15821,0.28009
1990,Lower Saxony,Owner,6 rooms,0.14934,32,178,0.09683,0.20185
1990,Lower Saxony,Tenant,2 rooms,0.27404,60,223,0.21537,0.33271
1990,Lower Saxony,Tenant,3 rooms,0.43011,128,223,0.36498,0.49524
1990,Lower Saxony,Tenant,4 rooms,0.11714,35,223,0.07483,0.15944
1990,North Rhine-Westphalia,Owner,3 rooms,0.21360,80,340,0.16997,0.25723
1990,North Rhine-Westphalia,Owner,4 rooms,0.26106,115,340,0.21431,0.30782
1990,North Rhine-Westphalia,Owner,5 rooms,0.20425,89,340,0.16133,0.24716
1990,North Rhine-Westphalia,Owner,6 rooms,0.13821,56,340,0.10147,0.17495
1990,North Rhine-Westphalia,Tenant,1 room,0.06152,37,780,0.04465,0.07840
1990,North Rhine-Westphalia,Tenant,2 rooms,0.33829,221,780,0.30506,0.37151
1990,North Rhine-Westphalia,Tenant,3 rooms,0.41152,362,780,0.37696,0.44608
1990,North Rhine-Westphalia,Tenant,4 rooms,0.12267,123,780,0.09963,0.14571
1990,North Rhine-Westphalia,Tenant,5 rooms,0.03666,37,780,0.02346,0.04986
1990,Hesse,Owner,3 rooms,0.23587,36,77,0.14042,0.33132
1990,Hesse,Owner,4 rooms,0.24478,41,77,0.14811,0.34144
1990,Hesse,Tenant,2 rooms,0.29148,75,269,0.23707,0.34589
1990,Hesse,Tenant,3 rooms,0.41215,134,269,0.35322,0.47109
1990,Hesse,Tenant,4 rooms,0.18237,60,269,0.13613,0.22860
1990,"Rhineland-Palatinate, Saarland",Owner,4 rooms,0.28369,41,116,0.20130,0.36608
1990,"Rhineland-Palatinate, Saarland",Owner,5 rooms,0.22753,40,116,0.15091,0.30416
1990,"Rhineland-Palatinate, Saarland",Owner,6 rooms,0.19084,35,116,0.11902,0.26267
1990,"Rhineland-Palatinate, Saarland",Tenant,2 rooms,0.23860,31,93,0.15150,0.32569
1990,"Rhineland-Palatinate, Saarland",Tenant,3 rooms,0.40298,62,93,0.30275,0.50321
1990,Baden-Wuerttemberg,Owner,3 rooms,0.26245,83,287,0.21146,0.31344
1990,Baden-Wuerttemberg,Owner,4 rooms,0.26903,93,287,0.21763,0.32042
1990,Baden-Wuerttemberg,Owner,5 rooms,0.17627,62,287,0.13211,0.22044
