year,hhtyp,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Single parent,2 rooms,0.12041,39,235,0.07871,0.16210
1988,Single parent,3 rooms,0.40625,111,235,0.34332,0.46918
1988,Single parent,4 rooms,0.19929,53,235,0.14810,0.25047
1988,Single parent,5 rooms,0.12099,32,235,0.07921,0.16278
1988,Couple with children,2 rooms,0.03066,117,2055,0.02320,0.03811
1988,Couple with children,3 rooms,0.28505,719,2055,0.26552,0.30457
1988,Couple with children,4 rooms,0.28050,562,2055,0.26107,0.29993
1988,Couple with children,5 rooms,0.18971,329,2055,0.17275,0.20666
1988,Couple with children,6 rooms,0.11850,193,2055,0.10453,0.13248
1988,Couple with children,7 rooms,0.05219,86,2055,0.04257,0.06181
1988,Couple with children,8 rooms,0.02762,49,2055,0.02053,0.03471
1988,Other Combinations,3 rooms,0.41151,40,40,0.25706,0.56595
1989,Single-person household,1 room,0.14237,169,1012,0.12083,0.16391
1989,Single-person household,2 rooms,0.39545,410,1012,0.36531,0.42559
1989,Single-person household,3 rooms,0.30796,299,1012,0.27950,0.33642
1989,Single-person household,4 rooms,0.09180,92,1012,0.07400,0.10960
1989,Single-person household,5 rooms,0.03681,42,1012,0.02521,0.04842
1989,Couple without children,2 rooms,0.20590,275,1100,0.18199,0.22980
1989,Couple without children,3 rooms,0.39351,446,1100,0.36463,0.42239
1989,Couple without children,4 rooms,0.20858,228,1100,0.18456,0.23260
1989,Couple without children,5 rooms,0.08826,96,1100,0.07149,0.10503
1989,Couple without children,6 rooms,0.05493,55,1100,0.04146,0.06840
1989,Single parent,2 rooms,0.09823,31,180,0.05463,0.14183
1989,Single parent,3 rooms,0.36983,96,180,0.29911,0.44055
1989,Single parent,4 rooms,0.21612,53,180,0.15582,0.27642
1989,Couple with children,2 rooms,0.03302,116,1961,0.02511,0.04094
1989,Couple with children,3 rooms,0.26888,673,1961,0.24925,0.28851
1989,Couple with children,4 rooms,0.29359,545,1961,0.27343,0.31375
1989,Couple with children,5 rooms,0.19034,312,1961,0.17296,0.20772
1989,Couple with children,6 rooms,0.11622,186,1961,0.10203,0.13040
1989,Couple with children,7 rooms,0.05016,81,1961,0.04050,0.05983
1989,Couple with children,8 rooms,0.02909,48,1961,0.02165,0.03653
1989,Other Combinations,3 rooms,0.44028,39,39,0.28244,0.59812
1990,Single-person household,1 room,0.15449,220,1295,0.13480,0.17418
1990,Single-person household,2 rooms,0.41334,563,1295,0.38651,0.44017
1990,Single-person household,3 rooms,0.29512,363,1295,0.27027,0.31997
1990,Single-person household,4 rooms,0.08049,104,1295,0.06567,0.09531
1990,Single-person household,5 rooms,0.03371,45,1295,0.02388,0.04355
1990,Couple without children,1 room,0.01798,39,1623,0.01152,0.02445
1990,Couple without children,2 rooms,0.22732,411,1623,0.20692,0.24772
1990,Couple without children,3 rooms,0.39632,675,1623,0.37252,0.42013
1990,Couple without children,4 rooms,0.19623,302,1623,0.17690,0.21555
1990,Couple without children,5 rooms,0.08164,125,1623,0.06832,0.09497
1990,Couple without children,6 rooms,0.04931,71,1623,0.03878,0.05985
1990,Single parent,2 rooms,0.14626,66,329,0.10801,0.18450
1990,Single parent,3 rooms,0.36405,150,329,0.31197,0.41612
1990,Single parent,4 rooms,0.20910,78,329,0.16509,0.25311
1990,Single parent,5 rooms,0.10905,35,329,0.07532,0.14278
1990,Couple with children,2 rooms,0.05149,225,3020,0.04360,0.05937
1990,Couple with children,3 rooms,0.32750,1179,3020,0.31076,0.34424
1990,Couple with children,4 rooms,0.27443,828,3020,0.25851,0.29035
1990,Couple with children,5 rooms,0.17093,418,3020,0.15750,0.18435
1990,Couple with children,6 rooms,0.09779,225,3020,0.08719,0.10839
1990,Couple with children,7 rooms,0.04268,99,3020,0.03547,0.04989
1990,Couple with children,8 rooms,0.02046,46,3020,0.01541,0.02551
1990,Multi-generational household,3 rooms,0.19631,42,113,0.12275,0.26988
1990,Multi-generational household,4 rooms,0.13358,33,113,0.07057,0.19658
1990,Multi-generational household,5 rooms,0.22571,38,113,0.14829,0.30313
1990,Other Combinations,3 rooms,0.36401,52,87,0.26232,0.46570
1990,Other Combinations,4 rooms,0.27825,35,87,0.18354,0.37297
1991,Single-person household,1 room,0.13816,195,1261,0.11911,0.15722
1991,Single-person household,2 rooms,0.42067,548,1261,0.39341,0.44793
1991,Single-person household,3 rooms,0.29827,364,1261,0.27301,0.32354
1991,Single-person household,4 rooms,0.08773,113,1261,0.07211,0.10335
1991,Single-person household,5 rooms,0.02981,41,1261,0.02042,0.03920
1991,Couple without children,1 room,0.01741,37,1607,0.01101,0.02380
1991,Couple without children,2 rooms,0.22210,397,1607,0.20177,0.24243
1991,Couple without children,3 rooms,0.39077,667,1607,0.36691,0.41464
1991,Couple without children,4 rooms,0.19559,303,1607,0.17619,0.21499
1991,Couple without children,5 rooms,0.08790,130,1607,0.07405,0.10175
1991,Couple without children,6 rooms,0.05097,73,1607,0.04022,0.06173
1991,Single parent,2 rooms,0.14634,63,326,0.10791,0.18476
1991,Single parent,3 rooms,0.32977,137,326,0.27866,0.38089
1991,Single parent,4 rooms,0.22846,84,326,0.18281,0.27411
1991,Single parent,5 rooms,0.12717,42,326,0.09095,0.16339
1991,Couple with children,2 rooms,0.05740,227,2958,0.04901,0.06578
1991,Couple with children,3 rooms,0.31674,1127,2958,0.29997,0.33351
1991,Couple with children,4 rooms,0.26731,802,2958,0.25136,0.28326
1991,Couple with children,5 rooms,0.17537,424,2958,0.16166,0.18908
1991,Couple with children,6 rooms,0.10406,234,2958,0.09306,0.11507
1991,Couple with children,7 rooms,0.04163,93,2958,0.03443,0.04883
1991,Couple with children,8 rooms,0.02336,51,2958,0.01791,0.02880
1991,Multi-generational household,3 rooms,0.19608,37,70,0.10239,0.28976
1991,Multi-generational household,5 rooms,0.22563,33,70,0.12700,0.32426
1991,Other Combinations,3 rooms,0.32897,49,80,0.22536,0.43258
1991,Other Combinations,4 rooms,0.22916,31,80,0.13648,0.32184
1992,Single-person household,1 room,0.13426,202,1267,0.11548,0.15305
1992,Single-person household,2 rooms,0.41428,547,1267,0.38714,0.44141
1992,Single-person household,3 rooms,0.30162,363,1267,0.27634,0.32690
1992,Single-person household,4 rooms,0.08950,109,1267,0.07378,0.10523
1992,Single-person household,5 rooms,0.03349,46,1267,0.02358,0.04340
1992,Couple without children,1 room,0.01524,39,1649,0.00933,0.02116
1992,Couple without children,2 rooms,0.22960,421,1649,0.20929,0.24990
1992,Couple without children,3 rooms,0.38186,662,1649,0.35840,0.40531
1992,Couple without children,4 rooms,0.19925,321,1649,0.17997,0.21854
1992,Couple without children,5 rooms,0.08709,133,1649,0.07348,0.10071
1992,Couple without children,6 rooms,0.05199,73,1649,0.04127,0.06271
1992,Single parent,2 rooms,0.18137,76,336,0.14010,0.22263
1992,Single parent,3 rooms,0.33443,143,336,0.28390,0.38495
1992,Single parent,4 rooms,0.20160,79,336,0.15863,0.24456
1992,Single parent,5 rooms,0.10532,38,336,0.07245,0.13819
1992,Couple with children,2 rooms,0.05326,204,2865,0.04504,0.06149
1992,Couple with children,3 rooms,0.31236,1081,2865,0.29538,0.32933
1992,Couple with children,4 rooms,0.26790,775,2865,0.25168,0.28412
1992,Couple with children,5 rooms,0.17775,417,2865,0.16374,0.19175
1992,Couple with children,6 rooms,0.10715,237,2865,0.09582,0.11848
1992,Couple with children,7 rooms,0.04247,96,2865,0.03509,0.04986
1992,Couple with children,8 rooms,0.02525,55,2865,0.01951,0.03100
1992,Multi-generational household,3 rooms,0.12466,37,72,0.04782,0.20150
1992,Multi-generational household,5 rooms,0.27211,35,72,0.16859,0.37564
1992,Other Combinations,3 rooms,0.39905,64,101,0.30307,0.49503
1992,Other Combinations,4 rooms,0.27119,37,101,0.18406,0.35833
1993,Single-person household,1 room,0.13919,209,1324,0.12054,0.15784
1993,Single-person household,2 rooms,0.38956,541,1324,0.36328,0.41583
1993,Single-person household,3 rooms,0.30866,397,1324,0.28377,0.33356
1993,Single-person household,4 rooms,0.09740,125,1324,0.08142,0.11338
1993,Single-person household,5 rooms,0.03636,52,1324,0.02627,0.04645
1993,Couple without children,1 room,0.01236,35,1677,0.00707,0.01765
1993,Couple without children,2 rooms,0.21176,414,1677,0.19220,0.23131
1993,Couple without children,3 rooms,0.38898,677,1677,0.36564,0.41232
1993,Couple without children,4 rooms,0.20652,333,1677,0.18714,0.22590
1993,Couple without children,5 rooms,0.08984,138,1677,0.07615,0.10353
1993,Couple without children,6 rooms,0.05590,80,1677,0.04490,0.06690
1993,Single parent,2 rooms,0.17904,75,324,0.13722,0.22085
1993,Single parent,3 rooms,0.36507,139,324,0.31257,0.41758
1993,Single parent,4 rooms,0.20263,79,324,0.15880,0.24647
1993,Single parent,5 rooms,0.07956,31,324,0.05004,0.10907
1993,Couple with children,2 rooms,0.05125,193,2760,0.04302,0.05948
1993,Couple with children,3 rooms,0.31229,1041,2760,0.29500,0.32958
1993,Couple with children,4 rooms,0.26436,738,2760,0.24790,0.28081
1993,Couple with children,5 rooms,0.18789,425,2760,0.17331,0.20246
1993,Couple with children,6 rooms,0.09651,205,2760,0.08549,0.10753
1993,Couple with children,7 rooms,0.05165,101,2760,0.04339,0.05991
1993,Couple with children,8 rooms,0.02347,57,2760,0.01782,0.02912
1993,Multi-generational household,3 rooms,0.18142,36,71,0.09114,0.27170
1993,Multi-generational household,5 rooms,0.24493,35,71,0.14419,0.34568
1993,Other Combinations,3 rooms,0.37753,67,98,0.28106,0.47400
1993,Other Combinations,4 rooms,0.23150,31,98,0.14756,0.31544
1994,Single-person household,1 room,0.13261,203,1323,0.11433,0.15090
1994,Single-person household,2 rooms,0.39776,552,1323,0.37137,0.42414
1994,Single-person household,3 rooms,0.29839,390,1323,0.27372,0.32305
1994,Single-person household,4 rooms,0.09644,117,1323,0.08052,0.11235
1994,Single-person household,5 rooms,0.04357,61,1323,0.03257,0.05458
1994,Couple without children,1 room,0.01317,39,1726,0.00779,0.01855
1994,Couple without children,2 rooms,0.21046,424,1726,0.19122,0.22969
1994,Couple without children,3 rooms,0.37621,674,1726,0.35335,0.39907
1994,Couple without children,4 rooms,0.21677,364,1726,0.19733,0.23622
1994,Couple without children,5 rooms,0.09469,145,1726,0.08087,0.10851
1994,Couple without children,6 rooms,0.05575,80,1726,0.04492,0.06658
1994,Single parent,2 rooms,0.21243,76,281,0.16452,0.26034
1994,Single parent,3 rooms,0.32853,130,281,0.27352,0.38354
1994,Single parent,4 rooms,0.20710,75,281,0.15963,0.25456
1994,Couple with children,2 rooms,0.04979,181,2661,0.04152,0.05805
1994,Couple with children,3 rooms,0.30700,988,2661,0.28947,0.32453
1994,Couple with children,4 rooms,0.25900,712,2661,0.24235,0.27565
1994,Couple with children,5 rooms,0.18123,400,2661,0.16659,0.19587
1994,Couple with children,6 rooms,0.10053,213,2661,0.08911,0.11196
1994,Couple with children,7 rooms,0.05921,110,2661,0.05024,0.06818
1994,Couple with children,8 rooms,0.02775,57,2661,0.02151,0.03400
1994,Multi-generational household,5 rooms,0.28128,36,36,0.13232,0.43024
1994,Other Combinations,3 rooms,0.39224,63,98,0.29508,0.48941
1994,Other Combinations,4 rooms,0.24342,35,98,0.15802,0.32882
1995,Single-person household,1 room,0.14065,226,1365,0.12220,0.15910
1995,Single-person household,2 rooms,0.40040,578,1365,0.37440,0.42641
1995,Single-person household,3 rooms,0.28735,382,1365,0.26333,0.31136
1995,Single-person household,4 rooms,0.10170,125,1365,0.08566,0.11774
1995,Single-person household,5 rooms,0.04107,54,1365,0.03054,0.05160
1995,Couple without children,1 room,0.01449,31,1781,0.00894,0.02004
1995,Couple without children,2 rooms,0.21008,447,1781,0.19115,0.22900
1995,Couple without children,3 rooms,0.36284,684,1781,0.34050,0.38517
1995,Couple without children,4 rooms,0.21355,368,1781,0.19451,0.23259
1995,Couple without children,5 rooms,0.10010,156,1781,0.08616,0.11404
1995,Couple without children,6 rooms,0.06469,95,1781,0.05326,0.07612
1995,Single parent,2 rooms,0.19068,76,327,0.14803,0.23332
1995,Single parent,3 rooms,0.33191,141,327,0.28080,0.38303
1995,Single parent,4 rooms,0.20987,75,327,0.16566,0.25407
1995,Single parent,5 rooms,0.09173,35,327,0.06040,0.12306
1995,Couple with children,2 rooms,0.04913,182,2736,0.04103,0.05724
1995,Couple with children,3 rooms,0.31477,1030,2736,0.29737,0.33218
1995,Couple with children,4 rooms,0.25378,724,2736,0.23747,0.27009
1995,Couple with children,5 rooms,0.17360,398,2736,0.15941,0.18780
1995,Couple with children,6 rooms,0.10651,229,2736,0.09494,0.11807
1995,Couple with children,7 rooms,0.05530,109,2736,0.04674,0.06387
1995,Couple with children,8 rooms,0.02884,64,2736,0.02257,0.03512
1995,Multi-generational household,3 rooms,0.20058,34,66,0.10323,0.29793
1995,Multi-generational household,5 rooms,0.25439,32,66,0.14851,0.36027
1995,Other Combinations,3 rooms,0.32582,55,96,0.23157,0.42006
1995,Other Combinations,4 rooms,0.25689,41,96,0.16902,0.34475
1996,Single-person household,1 room,0.13046,219,1393,0.11276,0.14815
1996,Single-person household,2 rooms,0.41010,598,1393,0.38426,0.43594
1996,Single-person household,3 rooms,0.28279,376,1393,0.25913,0.30645
1996,Single-person household,4 rooms,0.10579,144,1393,0.08963,0.12195
1996,Single-person household,5 rooms,0.04085,56,1393,0.03045,0.05125
1996,Couple without children,1 room,0.01561,32,1817,0.00991,0.02131
1996,Couple without children,2 rooms,0.20383,447,1817,0.18530,0.22236
1996,Couple without children,3 rooms,0.35184,676,1817,0.32987,0.37380
1996,Couple without children,4 rooms,0.22174,374,1817,0.20263,0.24085
1996,Couple without children,5 rooms,0.10496,161,1817,0.09086,0.11906
1996,Couple without children,6 rooms,0.06426,96,1817,0.05298,0.07553
1996,Couple without children,7 rooms,0.02062,31,1817,0.01408,0.02715
1996,Single parent,2 rooms,0.17351,73,338,0.13308,0.21394
1996,Single parent,3 rooms,0.36119,152,338,0.30990,0.41247
1996,Single parent,4 rooms,0.20181,74,338,0.15896,0.24466
1996,Single parent,5 rooms,0.09356,39,338,0.06247,0.12466
1996,Couple with children,2 rooms,0.04641,151,2646,0.03840,0.05443
1996,Couple with children,3 rooms,0.29685,951,2646,0.27943,0.31426
1996,Couple with children,4 rooms,0.26105,720,2646,0.24431,0.27779
1996,Couple with children,5 rooms,0.18806,415,2646,0.17317,0.20295
1996,Couple with children,6 rooms,0.11028,240,2646,0.09834,0.12221
1996,Couple with children,7 rooms,0.05763,114,2646,0.04875,0.06651
1996,Couple with children,8 rooms,0.02342,55,2646,0.01765,0.02918
1996,Other Combinations,3 rooms,0.33223,58,94,0.23650,0.42796
1996,Other Combinations,4 rooms,0.25557,36,94,0.16692,0.34422
1997,Single-person household,1 room,0.12527,197,1361,0.10768,0.14286
1997,Single-person household,2 rooms,0.41449,598,1361,0.38831,0.44067
1997,Single-person household,3 rooms,0.28956,385,1361,0.26545,0.31366
1997,Single-person household,4 rooms,0.10033,130,1361,0.08437,0.11630
1997,Single-person household,5 rooms,0.03672,51,1361,0.02673,0.04672
1997,Couple without children,1 room,0.01555,32,1858,0.00993,0.02118
1997,Couple without children,2 rooms,0.18783,430,1858,0.17007,0.20560
1997,Couple without children,3 rooms,0.36887,701,1858,0.34692,0.39081
1997,Couple without children,4 rooms,0.21557,384,1858,0.19687,0.23428
1997,Couple without children,5 rooms,0.11037,175,1858,0.09612,0.12462
1997,Couple without children,6 rooms,0.06919,104,1858,0.05764,0.08073
1997,Couple without children,7 rooms,0.01901,32,1858,0.01280,0.02523
1997,Single parent,2 rooms,0.17109,62,344,0.13124,0.21095
1997,Single parent,3 rooms,0.40251,173,344,0.35061,0.45441
1997,Single parent,4 rooms,0.15753,66,344,0.11898,0.19609
1997,Single parent,5 rooms,0.11659,43,344,0.08262,0.15055
1997,Couple with children,2 rooms,0.03810,129,2555,0.03068,0.04553
1997,Couple with children,3 rooms,0.29418,895,2555,0.27651,0.31185
1997,Couple with children,4 rooms,0.26141,712,2555,0.24437,0.27845
1997,Couple with children,5 rooms,0.19058,411,2555,0.17535,0.20581
1997,Couple with children,6 rooms,0.10868,234,2555,0.09661,0.12075
1997,Couple with children,7 rooms,0.06515,116,2555,0.05558,0.07472
1997,Couple with children,8 rooms,0.02577,58,2555,0.01962,0.03191
1997,Other Combinations,3 rooms,0.32216,53,85,0.22222,0.42209
1997,Other Combinations,4 rooms,0.20089,32,85,0.11521,0.28658
1998,Single-person household,1 room,0.11524,225,1690,0.10001,0.13047
1998,Single-person household,2 rooms,0.43240,750,1690,0.40877,0.45602
1998,Single-person household,3 rooms,0.28245,459,1690,0.26098,0.30392
1998,Single-person household,4 rooms,0.10802,169,1690,0.09321,0.12282
1998,Single-person household,5 rooms,0.03332,52,1690,0.02476,0.04188
1998,Single-person household,6 rooms,0.01988,35,1690,0.01322,0.02654
1998,Couple without children,2 rooms,0.17109,441,2129,0.15509,0.18709
1998,Couple without children,3 rooms,0.36559,817,2129,0.34513,0.38606
1998,Couple without children,4 rooms,0.23870,490,2129,0.22059,0.25681
1998,Couple without children,5 rooms,0.11269,212,2129,0.09925,0.12612
1998,Couple without children,6 rooms,0.06772,133,2129,0.05704,0.07839
1998,Couple without children,7 rooms,0.02166,36,2129,0.01547,0.02784
1998,Single parent,2 rooms,0.16762,68,413,0.13155,0.20369
1998,Single parent,3 rooms,0.42853,203,413,0.38074,0.47631
1998,Single parent,4 rooms,0.21923,102,413,0.17928,0.25918
1998,Single parent,5 rooms,0.09098,40,413,0.06321,0.11875
1998,Couple with children,2 rooms,0.03490,125,2761,0.02805,0.04175
1998,Couple with children,3 rooms,0.26813,876,2761,0.25161,0.28466
1998,Couple with children,4 rooms,0.27331,792,2761,0.25668,0.28994
1998,Couple with children,5 rooms,0.18294,465,2761,0.16851,0.19736
1998,Couple with children,6 rooms,0.12137,292,2761,0.10918,0.13355
1998,Couple with children,7 rooms,0.06794,144,2761,0.05855,0.07733
1998,Couple with children,8 rooms,0.02577,67,2761,0.01986,0.03168
1998,Other Combinations,3 rooms,0.32564,53,119,0.24109,0.41019
1998,Other Combinations,4 rooms,0.21663,35,119,0.14230,0.29096
1998,Other Combinations,5 rooms,0.21012,31,119,0.13661,0.28363
1999,Single-person household,1 room,0.11116,204,1622,0.09586,0.12646
1999,Single-person household,2 rooms,0.43902,726,1622,0.41487,0.46318
1999,Single-person household,3 rooms,0.28152,438,1622,0.25963,0.30341
1999,Single-person household,4 rooms,0.10190,163,1622,0.08717,0.11663
1999,Single-person household,5 rooms,0.03962,59,1622,0.03012,0.04911
1999,Single-person household,6 rooms,0.01833,32,1622,0.01180,0.02486
1999,Couple without children,2 rooms,0.16434,423,2104,0.14850,0.18018
1999,Couple without children,3 rooms,0.36350,798,2104,0.34294,0.38406
1999,Couple without children,4 rooms,0.24366,494,2104,0.22532,0.26201
1999,Couple without children,5 rooms,0.10880,212,2104,0.09549,0.12211
1999,Couple without children,6 rooms,0.07355,136,2104,0.06240,0.08471
1999,Couple without children,7 rooms,0.02412,41,2104,0.01756,0.03067
1999,Single parent,2 rooms,0.17440,68,412,0.13771,0.21109
1999,Single parent,3 rooms,0.41639,200,412,0.36873,0.46405
1999,Single parent,4 rooms,0.22735,103,412,0.18683,0.26787
1999,Single parent,5 rooms,0.09767,41,412,0.06897,0.12637
1999,Couple with children,2 rooms,0.02952,105,2706,0.02314,0.03590
1999,Couple with children,3 rooms,0.26157,818,2706,0.24501,0.27813
1999,Couple with children,4 rooms,0.27416,764,2706,0.25735,0.29097
1999,Couple with children,5 rooms,0.18106,471,2706,0.16655,0.19557
1999,Couple with children,6 rooms,0.12285,295,2706,0.11048,0.13522
1999,Couple with children,7 rooms,0.06760,145,2706,0.05814,0.07707
1999,Couple with children,8 rooms,0.03261,75,2706,0.02591,0.03930
1999,Couple with children,9 rooms,0.01610,33,2706,0.01136,0.02084
2000,Single-person household,1 room,0.10843,369,3206,0.09767,0.11920
2000,Single-person household,2 rooms,0.42443,1356,3206,0.40732,0.44154
2000,Single-person household,3 rooms,0.27959,898,3206,0.26405,0.29513
2000,Single-person household,4 rooms,0.10722,359,3206,0.09651,0.11793
2000,Single-person household,5 rooms,0.04470,149,3206,0.03755,0.05186
2000,Single-person household,6 rooms,0.02115,75,3206,0.01617,0.02613
2000,Couple without children,2 rooms,0.14701,618,3916,0.13592,0.15811
2000,Couple without children,3 rooms,0.36662,1459,3916,0.35152,0.38171
2000,Couple without children,4 rooms,0.23085,904,3916,0.21765,0.24405
2000,Couple without children,5 rooms,0.12242,479,3916,0.11215,0.13269
2000,Couple without children,6 rooms,0.07879,291,3916,0.07035,0.08723
2000,Couple without children,7 rooms,0.02661,106,3916,0.02157,0.03165
2000,Couple without children,8 rooms,0.01455,59,3916,0.01079,0.01830
2000,Single parent,2 rooms,0.14208,100,723,0.11661,0.16755
2000,Single parent,3 rooms,0.43849,333,723,0.40230,0.47469
2000,Single parent,4 rooms,0.22376,172,723,0.19336,0.25416
2000,Single parent,5 rooms,0.09346,75,723,0.07223,0.11469
2000,Single parent,6 rooms,0.05405,43,723,0.03756,0.07054
2000,Couple with children,2 rooms,0.02823,136,4621,0.02345,0.03301
2000,Couple with children,3 rooms,0.26195,1221,4621,0.24927,0.27463
