year,regtyp,sampreg,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Urban regions,West,7 rooms,0.01999,80,3939,0.01562,0.02436
1987,Urban regions,West,8 rooms,0.01097,41,3939,0.00772,0.01422
1987,Rural regions,West,2 rooms,0.12186,108,941,0.10094,0.14277
1987,Rural regions,West,3 rooms,0.30713,292,941,0.27764,0.33662
1987,Rural regions,West,4 rooms,0.23770,244,941,0.21049,0.26491
1987,Rural regions,West,5 rooms,0.14108,154,941,0.11883,0.16334
1987,Rural regions,West,6 rooms,0.09524,100,941,0.07647,0.11400
1987,Rural regions,West,7 rooms,0.03635,43,941,0.02438,0.04831
1988,Urban regions,West,1 room,0.06775,199,3786,0.05974,0.07576
1988,Urban regions,West,2 rooms,0.23172,752,3786,0.21828,0.24517
1988,Urban regions,West,3 rooms,0.33656,1372,3786,0.32151,0.35161
1988,Urban regions,West,4 rooms,0.17760,750,3786,0.16542,0.18978
1988,Urban regions,West,5 rooms,0.09267,380,3786,0.08343,0.10191
1988,Urban regions,West,6 rooms,0.05343,206,3786,0.04627,0.06060
1988,Urban regions,West,7 rooms,0.01975,80,3786,0.01532,0.02419
1988,Urban regions,West,8 rooms,0.01175,47,3786,0.00832,0.01518
1988,Rural regions,West,2 rooms,0.11386,97,888,0.09296,0.13476
1988,Rural regions,West,3 rooms,0.31494,282,888,0.28438,0.34551
1988,Rural regions,West,4 rooms,0.22474,220,888,0.19727,0.25221
1988,Rural regions,West,5 rooms,0.14282,146,888,0.11980,0.16585
1988,Rural regions,West,6 rooms,0.10568,102,888,0.08545,0.12591
1988,Rural regions,West,7 rooms,0.03761,41,888,0.02509,0.05013
1989,Urban regions,West,1 room,0.06422,187,3704,0.05632,0.07211
1989,Urban regions,West,2 rooms,0.23591,755,3704,0.22224,0.24959
1989,Urban regions,West,3 rooms,0.32943,1315,3704,0.31429,0.34456
1989,Urban regions,West,4 rooms,0.18173,741,3704,0.16931,0.19416
1989,Urban regions,West,5 rooms,0.09372,371,3704,0.08433,0.10311
1989,Urban regions,West,6 rooms,0.05368,208,3704,0.04642,0.06094
1989,Urban regions,West,7 rooms,0.02018,79,3704,0.01565,0.02471
1989,Urban regions,West,8 rooms,0.01199,48,3704,0.00848,0.01550
1989,Rural regions,West,2 rooms,0.11698,93,853,0.09540,0.13856
1989,Rural regions,West,3 rooms,0.29680,263,853,0.26612,0.32747
1989,Rural regions,West,4 rooms,0.23249,214,853,0.20412,0.26085
1989,Rural regions,West,5 rooms,0.15049,147,853,0.12648,0.17450
1989,Rural regions,West,6 rooms,0.10687,97,853,0.08612,0.12761
1989,Rural regions,West,7 rooms,0.03691,39,853,0.02425,0.04957
1990,Urban regions,West,1 room,0.06399,181,3636,0.05603,0.07194
1990,Urban regions,West,2 rooms,0.23074,718,3636,0.21705,0.24444
1990,Urban regions,West,3 rooms,0.33349,1307,3636,0.31816,0.34881
1990,Urban regions,West,4 rooms,0.18112,732,3636,0.16860,0.19364
1990,Urban regions,West,5 rooms,0.09316,359,3636,0.08371,0.10261
1990,Urban regions,West,6 rooms,0.05655,209,3636,0.04904,0.06406
1990,Urban regions,West,7 rooms,0.02181,83,3636,0.01707,0.02656
1990,Urban regions,West,8 rooms,0.01140,47,3636,0.00795,0.01485
1990,Urban regions,East,1 room,0.10611,43,736,0.08384,0.12837
1990,Urban regions,East,2 rooms,0.32864,194,736,0.29468,0.36260
1990,Urban regions,East,3 rooms,0.36014,307,736,0.32544,0.39485
1990,Urban regions,East,4 rooms,0.15248,158,736,0.12649,0.17847
1990,Urban regions,East,5 rooms,0.03393,34,736,0.02084,0.04702
1990,Rural regions,West,2 rooms,0.13134,106,866,0.10883,0.15385
1990,Rural regions,West,3 rooms,0.29767,272,866,0.26720,0.32815
1990,Rural regions,West,4 rooms,0.21330,202,866,0.18600,0.24060
1990,Rural regions,West,5 rooms,0.15907,150,866,0.13470,0.18345
1990,Rural regions,West,6 rooms,0.10114,94,866,0.08104,0.12123
1990,Rural regions,West,7 rooms,0.03743,42,866,0.02478,0.05008
1990,Rural regions,East,1 room,0.05168,40,1334,0.03980,0.06357
1990,Rural regions,East,2 rooms,0.26365,261,1334,0.24000,0.28731
1990,Rural regions,East,3 rooms,0.38109,554,1334,0.35502,0.40717
1990,Rural regions,East,4 rooms,0.17023,276,1334,0.15005,0.19041
1990,Rural regions,East,5 rooms,0.08388,142,1334,0.06900,0.09876
1990,Rural regions,East,6 rooms,0.03288,61,1334,0.02330,0.04245
1991,Urban regions,West,1 room,0.06053,180,3671,0.05282,0.06825
1991,Urban regions,West,2 rooms,0.23838,746,3671,0.22459,0.25216
1991,Urban regions,West,3 rooms,0.32679,1304,3671,0.31162,0.34197
1991,Urban regions,West,4 rooms,0.17746,720,3671,0.16510,0.18982
1991,Urban regions,West,5 rooms,0.09678,373,3671,0.08721,0.10634
1991,Urban regions,West,6 rooms,0.05944,218,3671,0.05179,0.06709
1991,Urban regions,West,7 rooms,0.02207,82,3671,0.01732,0.02682
1991,Urban regions,West,8 rooms,0.01153,48,3671,0.00808,0.01499
1991,Urban regions,East,1 room,0.09244,32,649,0.07014,0.11474
1991,Urban regions,East,2 rooms,0.30676,158,649,0.27126,0.34227
1991,Urban regions,East,3 rooms,0.36665,269,649,0.32955,0.40375
1991,Urban regions,East,4 rooms,0.18114,159,649,0.15149,0.21080
1991,Urban regions,East,5 rooms,0.03204,31,649,0.01848,0.04560
1991,Rural regions,West,2 rooms,0.14112,118,883,0.11814,0.16410
1991,Rural regions,West,3 rooms,0.27996,259,883,0.25033,0.30959
1991,Rural regions,West,4 rooms,0.21778,213,883,0.19054,0.24502
1991,Rural regions,West,5 rooms,0.15754,153,883,0.13349,0.18158
1991,Rural regions,West,6 rooms,0.10355,96,883,0.08344,0.12366
1991,Rural regions,West,7 rooms,0.03927,44,883,0.02645,0.05209
1991,Rural regions,East,2 rooms,0.26652,239,1226,0.24176,0.29128
1991,Rural regions,East,3 rooms,0.39093,530,1226,0.36361,0.41826
1991,Rural regions,East,4 rooms,0.16498,257,1226,0.14420,0.18577
1991,Rural regions,East,5 rooms,0.08410,137,1226,0.06855,0.09964
1991,Rural regions,East,6 rooms,0.03638,63,1226,0.02590,0.04687
1992,Urban regions,West,1 room,0.05747,182,3676,0.04994,0.06499
1992,Urban regions,West,2 rooms,0.23901,765,3676,0.22523,0.25280
1992,Urban regions,West,3 rooms,0.32317,1288,3676,0.30805,0.33830
1992,Urban regions,West,4 rooms,0.17991,716,3676,0.16749,0.19233
1992,Urban regions,West,5 rooms,0.09712,375,3676,0.08754,0.10669
1992,Urban regions,West,6 rooms,0.06255,223,3676,0.05473,0.07038
1992,Urban regions,West,7 rooms,0.02250,81,3676,0.01771,0.02730
1992,Urban regions,West,8 rooms,0.01097,46,3676,0.00760,0.01434
1992,Urban regions,East,1 room,0.10682,43,632,0.08272,0.13092
1992,Urban regions,East,2 rooms,0.31219,168,632,0.27603,0.34835
1992,Urban regions,East,3 rooms,0.36174,271,632,0.32425,0.39923
1992,Urban regions,East,4 rooms,0.16641,150,632,0.13735,0.19547
1992,Rural regions,West,2 rooms,0.14417,120,887,0.12104,0.16730
1992,Rural regions,West,3 rooms,0.28668,263,887,0.25691,0.31646
1992,Rural regions,West,4 rooms,0.21144,212,887,0.18455,0.23833
1992,Rural regions,West,5 rooms,0.15561,153,887,0.13174,0.17948
1992,Rural regions,West,6 rooms,0.09697,93,887,0.07748,0.11645
1992,Rural regions,West,7 rooms,0.03777,46,887,0.02521,0.05032
1992,Rural regions,East,2 rooms,0.26003,215,1164,0.23482,0.28524
1992,Rural regions,East,3 rooms,0.38788,501,1164,0.35988,0.41589
1992,Rural regions,East,4 rooms,0.17637,255,1164,0.15447,0.19828
1992,Rural regions,East,5 rooms,0.08495,133,1164,0.06892,0.10097
1992,Rural regions,East,6 rooms,0.03801,60,1164,0.02702,0.04900
1993,Urban regions,West,1 room,0.05925,182,3690,0.05163,0.06686
1993,Urban regions,West,2 rooms,0.22143,745,3690,0.20803,0.23483
1993,Urban regions,West,3 rooms,0.33517,1316,3690,0.31994,0.35041
1993,Urban regions,West,4 rooms,0.18314,726,3690,0.17065,0.19562
1993,Urban regions,West,5 rooms,0.09860,381,3690,0.08898,0.10823
1993,Urban regions,West,6 rooms,0.05945,209,3690,0.05182,0.06708
1993,Urban regions,West,7 rooms,0.02536,85,3690,0.02029,0.03043
1993,Urban regions,West,8 rooms,0.01037,46,3690,0.00710,0.01364
1993,Urban regions,East,1 room,0.09689,37,644,0.07403,0.11975
1993,Urban regions,East,2 rooms,0.31405,165,644,0.27817,0.34992
1993,Urban regions,East,3 rooms,0.37715,276,644,0.33969,0.41462
1993,Urban regions,East,4 rooms,0.15840,135,644,0.13018,0.18663
1993,Urban regions,East,5 rooms,0.03364,31,644,0.01970,0.04757
1993,Rural regions,West,2 rooms,0.14431,119,900,0.12134,0.16728
1993,Rural regions,West,3 rooms,0.27780,266,900,0.24852,0.30708
1993,Rural regions,West,4 rooms,0.21817,220,900,0.19118,0.24517
1993,Rural regions,West,5 rooms,0.15277,153,900,0.12925,0.17629
1993,Rural regions,West,6 rooms,0.09137,90,900,0.07254,0.11021
1993,Rural regions,West,7 rooms,0.04552,52,900,0.03190,0.05915
1993,Rural regions,East,2 rooms,0.25911,227,1170,0.23399,0.28423
1993,Rural regions,East,3 rooms,0.38672,499,1170,0.35881,0.41464
1993,Rural regions,East,4 rooms,0.17186,250,1170,0.15023,0.19349
1993,Rural regions,East,5 rooms,0.09640,140,1170,0.07948,0.11332
1993,Rural regions,East,6 rooms,0.03585,54,1170,0.02519,0.04650
1994,Urban regions,West,1 room,0.05449,166,3636,0.04711,0.06187
1994,Urban regions,West,2 rooms,0.23294,759,3636,0.21920,0.24668
1994,Urban regions,West,3 rooms,0.32229,1272,3636,0.30710,0.33749
1994,Urban regions,West,4 rooms,0.18395,716,3636,0.17136,0.19655
1994,Urban regions,West,5 rooms,0.10160,379,3636,0.09178,0.11142
1994,Urban regions,West,6 rooms,0.05903,209,3636,0.05137,0.06669
1994,Urban regions,West,7 rooms,0.02819,91,3636,0.02281,0.03357
1994,Urban regions,West,8 rooms,0.00970,44,3636,0.00651,0.01288
1994,Urban regions,East,1 room,0.10677,41,640,0.08282,0.13071
1994,Urban regions,East,2 rooms,0.30248,160,640,0.26687,0.33810
1994,Urban regions,East,3 rooms,0.36200,264,640,0.32474,0.39926
1994,Urban regions,East,4 rooms,0.17152,144,640,0.14229,0.20074
1994,Urban regions,East,5 rooms,0.03244,31,640,0.01871,0.04618
1994,Rural regions,West,2 rooms,0.14702,125,932,0.12427,0.16976
1994,Rural regions,West,3 rooms,0.26805,255,932,0.23960,0.29651
1994,Rural regions,West,4 rooms,0.21533,225,932,0.18893,0.24174
1994,Rural regions,West,5 rooms,0.15038,151,932,0.12742,0.17334
1994,Rural regions,West,6 rooms,0.09989,96,932,0.08063,0.11915
1994,Rural regions,West,7 rooms,0.04256,49,932,0.02959,0.05552
1994,Rural regions,West,8 rooms,0.03126,31,932,0.02008,0.04243
1994,Rural regions,East,1 room,0.03971,31,1171,0.02852,0.05090
1994,Rural regions,East,2 rooms,0.25116,219,1171,0.22631,0.27601
1994,Rural regions,East,3 rooms,0.39549,483,1171,0.36747,0.42350
1994,Rural regions,East,4 rooms,0.16582,243,1171,0.14451,0.18713
1994,Rural regions,East,5 rooms,0.09255,137,1171,0.07595,0.10916
1994,Rural regions,East,6 rooms,0.03786,58,1171,0.02692,0.04880
1995,Urban regions,West,1 room,0.06252,189,3810,0.05483,0.07021
1995,Urban regions,West,2 rooms,0.23858,815,3810,0.22505,0.25212
1995,Urban regions,West,3 rooms,0.31668,1331,3810,0.30191,0.33145
1995,Urban regions,West,4 rooms,0.17862,731,3810,0.16646,0.19079
1995,Urban regions,West,5 rooms,0.09684,376,3810,0.08744,0.10623
1995,Urban regions,West,6 rooms,0.06076,226,3810,0.05317,0.06835
1995,Urban regions,West,7 rooms,0.02868,96,3810,0.02338,0.03398
1995,Urban regions,West,8 rooms,0.00951,46,3810,0.00643,0.01259
1995,Urban regions,East,1 room,0.10950,38,599,0.08447,0.13453
1995,Urban regions,East,2 rooms,0.28810,144,599,0.25180,0.32440
1995,Urban regions,East,3 rooms,0.37204,250,599,0.33330,0.41078
1995,Urban regions,East,4 rooms,0.16244,131,599,0.13288,0.19200
1995,Urban regions,East,5 rooms,0.03954,36,599,0.02392,0.05516
1995,Rural regions,West,2 rooms,0.13914,128,995,0.11762,0.16065
1995,Rural regions,West,3 rooms,0.26539,274,995,0.23794,0.29284
1995,Rural regions,West,4 rooms,0.21875,243,995,0.19305,0.24445
1995,Rural regions,West,5 rooms,0.15468,155,995,0.13220,0.17716
1995,Rural regions,West,6 rooms,0.10678,108,995,0.08758,0.12598
1995,Rural regions,West,7 rooms,0.04151,50,995,0.02911,0.05391
1995,Rural regions,West,8 rooms,0.03786,37,995,0.02599,0.04972
1995,Rural regions,East,1 room,0.04406,37,1178,0.03233,0.05578
1995,Rural regions,East,2 rooms,0.25224,225,1178,0.22743,0.27705
1995,Rural regions,East,3 rooms,0.37681,471,1178,0.34913,0.40450
1995,Rural regions,East,4 rooms,0.18401,250,1178,0.16187,0.20615
1995,Rural regions,East,5 rooms,0.08967,134,1178,0.07335,0.10599
1995,Rural regions,East,6 rooms,0.03864,61,1178,0.02762,0.04965
1996,Urban regions,West,1 room,0.05672,166,3740,0.04930,0.06413
1996,Urban regions,West,2 rooms,0.24451,799,3740,0.23073,0.25829
1996,Urban regions,West,3 rooms,0.30412,1274,3740,0.28937,0.31887
1996,Urban regions,West,4 rooms,0.18822,751,3740,0.17569,0.20075
1996,Urban regions,West,5 rooms,0.09994,378,3740,0.09032,0.10955
1996,Urban regions,West,6 rooms,0.06087,229,3740,0.05321,0.06854
1996,Urban regions,West,7 rooms,0.03005,105,3740,0.02458,0.03553
1996,Urban regions,West,8 rooms,0.00870,38,3740,0.00572,0.01168
1996,Urban regions,East,1 room,0.08898,36,614,0.06644,0.11152
1996,Urban regions,East,2 rooms,0.27599,147,614,0.24060,0.31138
1996,Urban regions,East,3 rooms,0.39423,257,614,0.35554,0.43291
1996,Urban regions,East,4 rooms,0.17651,141,614,0.14633,0.20669
1996,Urban regions,East,5 rooms,0.03491,33,614,0.02038,0.04945
1996,Rural regions,West,2 rooms,0.13473,122,987,0.11342,0.15605
1996,Rural regions,West,3 rooms,0.26584,264,987,0.23826,0.29341
1996,Rural regions,West,4 rooms,0.21093,238,987,0.18547,0.23640
1996,Rural regions,West,5 rooms,0.16705,166,987,0.14377,0.19033
1996,Rural regions,West,6 rooms,0.10985,111,987,0.09033,0.12937
1996,Rural regions,West,7 rooms,0.04335,53,987,0.03064,0.05606
1996,Rural regions,West,8 rooms,0.03100,33,987,0.02018,0.04182
1996,Rural regions,East,1 room,0.05651,48,1168,0.04327,0.06976
1996,Rural regions,East,2 rooms,0.24367,221,1168,0.21904,0.26830
1996,Rural regions,East,3 rooms,0.36081,447,1168,0.33326,0.38836
1996,Rural regions,East,4 rooms,0.17473,240,1168,0.15294,0.19652
1996,Rural regions,East,5 rooms,0.10053,148,1168,0.08327,0.11778
1996,Rural regions,East,6 rooms,0.04270,64,1168,0.03110,0.05430
1997,Urban regions,West,1 room,0.05500,149,3684,0.04764,0.06237
1997,Urban regions,West,2 rooms,0.23646,753,3684,0.22274,0.25018
1997,Urban regions,West,3 rooms,0.31628,1276,3684,0.30126,0.33129
1997,Urban regions,West,4 rooms,0.17975,740,3684,0.16735,0.19215
1997,Urban regions,West,5 rooms,0.10225,389,3684,0.09247,0.11204
1997,Urban regions,West,6 rooms,0.06459,235,3684,0.05665,0.07253
1997,Urban regions,West,7 rooms,0.03197,104,3684,0.02629,0.03765
1997,Urban regions,West,8 rooms,0.00844,38,3684,0.00549,0.01140
1997,Urban regions,East,1 room,0.10404,41,606,0.07971,0.12837
1997,Urban regions,East,2 rooms,0.27244,142,606,0.23696,0.30792
1997,Urban regions,East,3 rooms,0.40466,255,606,0.36555,0.44377
1997,Urban regions,East,4 rooms,0.15596,135,606,0.12705,0.18487
1997,Urban regions,East,5 rooms,0.03566,33,606,0.02088,0.05044
1997,Rural regions,West,2 rooms,0.13332,121,973,0.11195,0.15469
1997,Rural regions,West,3 rooms,0.26099,255,973,0.23338,0.28860
1997,Rural regions,West,4 rooms,0.21480,240,973,0.18898,0.24062
1997,Rural regions,West,5 rooms,0.17030,166,973,0.14667,0.19393
1997,Rural regions,West,6 rooms,0.10621,106,973,0.08684,0.12558
1997,Rural regions,West,7 rooms,0.04162,51,973,0.02907,0.05418
1997,Rural regions,West,8 rooms,0.03054,34,973,0.01972,0.04136
1997,Rural regions,East,1 room,0.04428,40,1157,0.03242,0.05614
1997,Rural regions,East,2 rooms,0.25123,225,1157,0.22622,0.27623
1997,Rural regions,East,3 rooms,0.37880,451,1157,0.35084,0.40676
1997,Rural regions,East,4 rooms,0.16743,230,1157,0.14590,0.18895
1997,Rural regions,East,5 rooms,0.09379,145,1157,0.07698,0.11059
1997,Rural regions,East,6 rooms,0.04187,66,1157,0.03033,0.05342
1998,Urban regions,West,1 room,0.05065,170,4243,0.04406,0.05725
1998,Urban regions,West,2 rooms,0.23375,860,4243,0.22101,0.24649
1998,Urban regions,West,3 rooms,0.31631,1432,4243,0.30232,0.33031
1998,Urban regions,West,4 rooms,0.19214,891,4243,0.18029,0.20400
1998,Urban regions,West,5 rooms,0.09801,433,4243,0.08907,0.10696
1998,Urban regions,West,6 rooms,0.06424,292,4243,0.05686,0.07162
1998,Urban regions,West,7 rooms,0.02738,113,4243,0.02247,0.03229
1998,Urban regions,West,8 rooms,0.01026,52,4243,0.00723,0.01329
1998,Urban regions,East,1 room,0.09559,42,623,0.07248,0.11870
1998,Urban regions,East,2 rooms,0.26541,140,623,0.23071,0.30011
1998,Urban regions,East,3 rooms,0.39242,263,623,0.35404,0.43079
1998,Urban regions,East,4 rooms,0.16899,137,623,0.13954,0.19844
1998,Urban regions,East,5 rooms,0.04302,41,623,0.02707,0.05896
1998,Rural regions,West,2 rooms,0.14862,151,1141,0.12797,0.16927
1998,Rural regions,West,3 rooms,0.23448,272,1141,0.20989,0.25907
1998,Rural regions,West,4 rooms,0.24659,305,1141,0.22157,0.27162
1998,Rural regions,West,5 rooms,0.15335,187,1141,0.13244,0.17427
1998,Rural regions,West,6 rooms,0.09924,123,1141,0.08189,0.11660
1998,Rural regions,West,7 rooms,0.05605,72,1141,0.04270,0.06941
1998,Rural regions,West,8 rooms,0.02179,31,1141,0.01332,0.03027
1998,Rural regions,East,1 room,0.03660,42,1265,0.02625,0.04695
1998,Rural regions,East,2 rooms,0.24883,247,1265,0.22500,0.27267
1998,Rural regions,East,3 rooms,0.35171,469,1265,0.32539,0.37803
1998,Rural regions,East,4 rooms,0.18291,267,1265,0.16160,0.20422
1998,Rural regions,East,5 rooms,0.10567,159,1265,0.08872,0.12262
1998,Rural regions,East,6 rooms,0.05032,81,1265,0.03827,0.06237
1999,Urban regions,West,1 room,0.04869,150,4038,0.04206,0.05533
1999,Urban regions,West,2 rooms,0.23525,827,4038,0.22217,0.24834
1999,Urban regions,West,3 rooms,0.30920,1314,4038,0.29494,0.32345
1999,Urban regions,West,4 rooms,0.19450,859,4038,0.18229,0.20671
1999,Urban regions,West,5 rooms,0.09611,418,4038,0.08701,0.10520
1999,Urban regions,West,6 rooms,0.06802,300,4038,0.06025,0.07579
1999,Urban regions,West,7 rooms,0.02826,116,4038,0.02315,0.03338
1999,Urban regions,West,8 rooms,0.01138,54,4038,0.00811,0.01465
1999,Urban regions,East,1 room,0.09460,41,616,0.07147,0.11773
1999,Urban regions,East,2 rooms,0.24793,124,616,0.21380,0.28205
1999,Urban regions,East,3 rooms,0.40169,268,616,0.36294,0.44044
1999,Urban regions,East,4 rooms,0.17376,138,616,0.14382,0.20371
1999,Urban regions,East,5 rooms,0.04765,45,616,0.03081,0.06449
1999,Rural regions,West,2 rooms,0.14816,137,1065,0.12682,0.16951
1999,Rural regions,West,3 rooms,0.24453,268,1065,0.21871,0.27036
1999,Rural regions,West,4 rooms,0.23429,284,1065,0.20884,0.25975
1999,Rural regions,West,5 rooms,0.15958,191,1065,0.13758,0.18159
1999,Rural regions,West,6 rooms,0.09513,116,1065,0.07750,0.11276
1999,Rural regions,West,7 rooms,0.05095,69,1065,0.03774,0.06416
1999,Rural regions,East,1 room,0.03450,36,1238,0.02433,0.04467
1999,Rural regions,East,2 rooms,0.25737,240,1238,0.23301,0.28174
1999,Rural regions,East,3 rooms,0.34409,453,1238,0.31761,0.37056
1999,Rural regions,East,4 rooms,0.18555,272,1238,0.16389,0.20722
1999,Rural regions,East,5 rooms,0.10768,162,1238,0.09041,0.12496
1999,Rural regions,East,6 rooms,0.04427,75,1238,0.03281,0.05573
2000,Urban regions,West,1 room,0.04609,255,7592,0.04137,0.05081
2000,Urban regions,West,2 rooms,0.21758,1366,7592,0.20829,0.22686
2000,Urban regions,West,3 rooms,0.31143,2342,7592,0.30101,0.32185
2000,Urban regions,West,4 rooms,0.19201,1588,7592,0.18315,0.20087
2000,Urban regions,West,5 rooms,0.10860,937,7592,0.10160,0.11560
2000,Urban regions,West,6 rooms,0.06915,596,7592,0.06345,0.07486
2000,Urban regions,West,7 rooms,0.03153,284,7592,0.02760,0.03546
2000,Urban regions,West,8 rooms,0.01441,136,7592,0.01172,0.01709
2000,Urban regions,West,9 rooms,0.00434,47,7592,0.00286,0.00582
2000,Urban regions,West,10 or more rooms,0.00486,41,7592,0.00330,0.00643
2000,Urban regions,East,1 room,0.07647,54,957,0.05963,0.09332
2000,Urban regions,East,2 rooms,0.27986,227,957,0.25140,0.30831
2000,Urban regions,East,3 rooms,0.39786,415,957,0.36684,0.42889
2000,Urban regions,East,4 rooms,0.15753,193,957,0.13443,0.18062
2000,Urban regions,East,5 rooms,0.04872,68,957,0.03507,0.06237
2000,Rural regions,West,2 rooms,0.15899,270,2206,0.14373,0.17425
2000,Rural regions,West,3 rooms,0.23939,517,2206,0.22158,0.25720
2000,Rural regions,West,4 rooms,0.21549,515,2206,0.19833,0.23265
2000,Rural regions,West,5 rooms,0.16442,414,2206,0.14895,0.17989
2000,Rural regions,West,6 rooms,0.10841,279,2206,0.09544,0.12139
2000,Rural regions,West,7 rooms,0.04854,136,2206,0.03957,0.05751
2000,Rural regions,West,8 rooms,0.02811,75,2206,0.02121,0.03501
2000,Rural regions,East,1 room,0.04736,75,2025,0.03811,0.05662
2000,Rural regions,East,2 rooms,0.23346,368,2025,0.21503,0.25189
2000,Rural regions,East,3 rooms,0.34991,721,2025,0.32913,0.37069
2000,Rural regions,East,4 rooms,0.18607,433,2025,0.16911,0.20302
2000,Rural regions,East,5 rooms,0.10607,261,2025,0.09266,0.11949
2000,Rural regions,East,6 rooms,0.04329,116,2025,0.03443,0.05216
2000,Rural regions,East,7 rooms,0.01895,51,2025,0.01301,0.02489
2001,Urban regions,West,1 room,0.04277,211,6828,0.03797,0.04757
2001,Urban regions,West,2 rooms,0.21227,1198,6828,0.20257,0.22197
2001,Urban regions,West,3 rooms,0.31517,2118,6828,0.30415,0.32619
2001,Urban regions,West,4 rooms,0.19212,1430,6828,0.18277,0.20146
2001,Urban regions,West,5 rooms,0.10905,844,6828,0.10166,0.11645
2001,Urban regions,West,6 rooms,0.07229,556,6828,0.06614,0.07843
2001,Urban regions,West,7 rooms,0.03161,258,6828,0.02746,0.03576
2001,Urban regions,West,8 rooms,0.01479,125,6828,0.01193,0.01766
2001,Urban regions,West,9 rooms,0.00392,42,6828,0.00244,0.00541
2001,Urban regions,West,10 or more rooms,0.00601,46,6828,0.00417,0.00784
2001,Urban regions,East,1 room,0.08455,55,903,0.06639,0.10271
2001,Urban regions,East,2 rooms,0.28136,221,903,0.25201,0.31070
2001,Urban regions,East,3 rooms,0.39579,387,903,0.36388,0.42770
2001,Urban regions,East,4 rooms,0.14948,175,903,0.12621,0.17275
2001,Urban regions,East,5 rooms,0.04798,65,903,0.03403,0.06192
2001,Rural regions,West,2 rooms,0.15077,232,1937,0.13483,0.16671
2001,Rural regions,West,3 rooms,0.23721,436,1937,0.21826,0.25616
2001,Rural regions,West,4 rooms,0.22428,471,1937,0.20570,0.24286
2001,Rural regions,West,5 rooms,0.16322,361,1937,0.14675,0.17968
2001,Rural regions,West,6 rooms,0.10205,238,1937,0.08857,0.11553
2001,Rural regions,West,7 rooms,0.05086,127,1937,0.04107,0.06065
