,Unnamed: 0,year,quintil_oecd_hh,regtyp,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
59,59,1986,2nd Quintile,Rural regions,5 rooms,0.17452,31,4523,0.13787,0.20479
60,60,1986,3rd Quintile,Urban regions,1 room,0.06894,48,4523,0.05537,0.08249
61,61,1986,3rd Quintile,Urban regions,2 rooms,0.26622,178,4523,0.23948,0.28943
62,62,1986,3rd Quintile,Urban regions,3 rooms,0.35189,299,4523,0.32112,0.37785
63,63,1986,3rd Quintile,Urban regions,4 rooms,0.18605,158,4523,0.16881,0.20063
64,64,1986,3rd Quintile,Urban regions,5 rooms,0.08738,79,4523,0.07888,0.0963
65,65,1986,3rd Quintile,Urban regions,6 rooms,0.03952,32,4523,0.03585,0.04355
66,66,1986,3rd Quintile,Rural regions,3 rooms,0.44999,59,4523,0.38246,0.51603
67,67,1986,3rd Quintile,Rural regions,4 rooms,0.33231,46,4523,0.29069,0.37174
68,68,1986,3rd Quintile,Rural regions,5 rooms,0.2177,35,4523,0.19517,0.237
69,69,1986,4th Quintile,Urban regions,1 room,0.06669,48,4523,0.05783,0.0765
70,70,1986,4th Quintile,Urban regions,2 rooms,0.25479,171,4523,0.23458,0.27436
71,71,1986,4th Quintile,Urban regions,3 rooms,0.34209,287,4523,0.31662,0.36388
72,72,1986,4th Quintile,Urban regions,4 rooms,0.19267,171,4523,0.17828,0.20679
73,73,1986,4th Quintile,Urban regions,5 rooms,0.09568,81,4523,0.08856,0.10263
74,74,1986,4th Quintile,Urban regions,6 rooms,0.04808,40,4523,0.04301,0.05237
75,75,1986,4th Quintile,Rural regions,3 rooms,0.4072,55,4523,0.33134,0.47273
76,76,1986,4th Quintile,Rural regions,4 rooms,0.327,45,4523,0.29198,0.36816
77,77,1986,4th Quintile,Rural regions,5 rooms,0.2658,38,4523,0.23257,0.29507
78,78,1986,5th Quintile,Urban regions,2 rooms,0.14352,98,4523,0.12695,0.15888
79,79,1986,5th Quintile,Urban regions,3 rooms,0.36271,251,4523,0.33711,0.38459
80,80,1986,5th Quintile,Urban regions,4 rooms,0.26277,183,4523,0.24991,0.27458
81,81,1986,5th Quintile,Urban regions,5 rooms,0.13998,106,4523,0.13027,0.15012
82,82,1986,5th Quintile,Urban regions,6 rooms,0.09102,65,4523,0.08248,0.09769
83,83,1986,5th Quintile,Rural regions,3 rooms,0.32666,42,4523,0.27473,0.37115
84,84,1986,5th Quintile,Rural regions,4 rooms,0.40396,43,4523,0.36354,0.44908
85,85,1986,5th Quintile,Rural regions,5 rooms,0.26937,33,4523,0.23516,0.29884
86,86,1987,1st Quintile,Urban regions,1 room,0.16699,82,4414,0.15103,0.18274
87,87,1987,1st Quintile,Urban regions,2 rooms,0.29776,175,4414,0.26969,0.32634
88,88,1987,1st Quintile,Urban regions,3 rooms,0.3731,293,4414,0.34488,0.40532
89,89,1987,1st Quintile,Urban regions,4 rooms,0.11461,102,4414,0.09855,0.13554
90,90,1987,1st Quintile,Urban regions,5 rooms,0.04754,40,4414,0.03849,0.05772
91,91,1987,1st Quintile,Rural regions,2 rooms,0.24287,35,4414,0.19812,0.29065
92,92,1987,1st Quintile,Rural regions,3 rooms,0.49915,74,4414,0.43804,0.55933
93,93,1987,1st Quintile,Rural regions,4 rooms,0.25798,48,4414,0.22068,0.30026
94,94,1987,2nd Quintile,Urban regions,2 rooms,0.28452,165,4414,0.25318,0.31243
95,95,1987,2nd Quintile,Urban regions,3 rooms,0.42185,320,4414,0.38803,0.45574
96,96,1987,2nd Quintile,Urban regions,4 rooms,0.16069,149,4414,0.14389,0.17755
97,97,1987,2nd Quintile,Urban regions,5 rooms,0.09074,68,4414,0.08043,0.09958
98,98,1987,2nd Quintile,Urban regions,6 rooms,0.04219,31,4414,0.03602,0.05007
99,99,1987,2nd Quintile,Rural regions,3 rooms,0.58507,80,4414,0.5157,0.66392
100,100,1987,2nd Quintile,Rural regions,4 rooms,0.41493,61,4414,0.3745,0.45927
101,101,1987,3rd Quintile,Urban regions,1 room,0.0636,46,4414,0.05186,0.07617
102,102,1987,3rd Quintile,Urban regions,2 rooms,0.25697,152,4414,0.22851,0.28131
103,103,1987,3rd Quintile,Urban regions,3 rooms,0.31828,283,4414,0.29205,0.34573
104,104,1987,3rd Quintile,Urban regions,4 rooms,0.21053,175,4414,0.18956,0.22835
105,105,1987,3rd Quintile,Urban regions,5 rooms,0.09836,86,4414,0.08782,0.10793
106,106,1987,3rd Quintile,Urban regions,6 rooms,0.05226,37,4414,0.04695,0.05734
107,107,1987,3rd Quintile,Rural regions,3 rooms,0.48121,60,4414,0.40647,0.53797
108,108,1987,3rd Quintile,Rural regions,4 rooms,0.30144,44,4414,0.27429,0.32881
109,109,1987,3rd Quintile,Rural regions,5 rooms,0.21735,37,4414,0.19019,0.2395
110,110,1987,4th Quintile,Urban regions,1 room,0.06382,43,4414,0.0527,0.07487
111,111,1987,4th Quintile,Urban regions,2 rooms,0.22405,171,4414,0.20043,0.24579
112,112,1987,4th Quintile,Urban regions,3 rooms,0.34961,286,4414,0.32515,0.37568
113,113,1987,4th Quintile,Urban regions,4 rooms,0.20903,174,4414,0.19392,0.22788
114,114,1987,4th Quintile,Urban regions,5 rooms,0.10344,87,4414,0.09531,0.11291
115,115,1987,4th Quintile,Urban regions,6 rooms,0.05004,43,4414,0.04469,0.05484
116,116,1987,4th Quintile,Rural regions,3 rooms,0.33086,47,4414,0.27615,0.38502
117,117,1987,4th Quintile,Rural regions,4 rooms,0.38281,50,4414,0.3366,0.4281
118,118,1987,4th Quintile,Rural regions,5 rooms,0.28633,40,4414,0.24381,0.32505
119,119,1987,5th Quintile,Urban regions,2 rooms,0.18285,122,4414,0.16673,0.20145
120,120,1987,5th Quintile,Urban regions,3 rooms,0.32286,232,4414,0.3052,0.34348
121,121,1987,5th Quintile,Urban regions,4 rooms,0.25645,182,4414,0.24415,0.26998
122,122,1987,5th Quintile,Urban regions,5 rooms,0.15539,123,4414,0.14563,0.16654
123,123,1987,5th Quintile,Urban regions,6 rooms,0.08244,63,4414,0.07616,0.08874
124,124,1987,5th Quintile,Rural regions,3 rooms,0.27599,33,4414,0.23212,0.32321
125,125,1987,5th Quintile,Rural regions,4 rooms,0.43283,43,4414,0.36883,0.488
126,126,1987,5th Quintile,Rural regions,5 rooms,0.29118,32,4414,0.26029,0.32426
127,127,1988,1st Quintile,Urban regions,1 room,0.14455,66,4286,0.12547,0.16095
128,128,1988,1st Quintile,Urban regions,2 rooms,0.29309,177,4286,0.26399,0.32249
129,129,1988,1st Quintile,Urban regions,3 rooms,0.38029,294,4286,0.3444,0.41543
130,130,1988,1st Quintile,Urban regions,4 rooms,0.12902,103,4286,0.11345,0.14888
131,131,1988,1st Quintile,Urban regions,5 rooms,0.05305,49,4286,0.04614,0.06309
132,132,1988,1st Quintile,Rural regions,2 rooms,0.25218,36,4286,0.20471,0.29677
133,133,1988,1st Quintile,Rural regions,3 rooms,0.48188,72,4286,0.42712,0.54155
134,134,1988,1st Quintile,Rural regions,4 rooms,0.26594,47,4286,0.21955,0.30506
135,135,1988,2nd Quintile,Urban regions,1 room,0.05769,33,4286,0.04627,0.0695
136,136,1988,2nd Quintile,Urban regions,2 rooms,0.2587,148,4286,0.23325,0.28195
137,137,1988,2nd Quintile,Urban regions,3 rooms,0.40295,320,4286,0.37394,0.43922
138,138,1988,2nd Quintile,Urban regions,4 rooms,0.15538,146,4286,0.13935,0.17313
139,139,1988,2nd Quintile,Urban regions,5 rooms,0.07727,56,4286,0.06769,0.08732
140,140,1988,2nd Quintile,Urban regions,6 rooms,0.04801,35,4286,0.04215,0.0532
141,141,1988,2nd Quintile,Rural regions,3 rooms,0.48579,66,4286,0.42214,0.54553
142,142,1988,2nd Quintile,Rural regions,4 rooms,0.31904,53,4286,0.28254,0.36003
143,143,1988,2nd Quintile,Rural regions,5 rooms,0.19517,33,4286,0.16092,0.22652
144,144,1988,3rd Quintile,Urban regions,1 room,0.06979,42,4286,0.05648,0.08341
145,145,1988,3rd Quintile,Urban regions,2 rooms,0.25754,153,4286,0.23147,0.28534
146,146,1988,3rd Quintile,Urban regions,3 rooms,0.32816,276,4286,0.29936,0.35735
147,147,1988,3rd Quintile,Urban regions,4 rooms,0.1932,163,4286,0.17361,0.21231
148,148,1988,3rd Quintile,Urban regions,5 rooms,0.10158,80,4286,0.09166,0.11223
149,149,1988,3rd Quintile,Urban regions,6 rooms,0.04972,37,4286,0.04387,0.05527
150,150,1988,3rd Quintile,Rural regions,3 rooms,0.46893,65,4286,0.3978,0.54122
151,151,1988,3rd Quintile,Rural regions,4 rooms,0.29448,44,4286,0.24964,0.339
152,152,1988,3rd Quintile,Rural regions,5 rooms,0.23658,34,4286,0.20472,0.27288
153,153,1988,4th Quintile,Urban regions,1 room,0.04948,34,4286,0.03835,0.05893
154,154,1988,4th Quintile,Urban regions,2 rooms,0.24477,160,4286,0.21768,0.2647
155,155,1988,4th Quintile,Urban regions,3 rooms,0.32844,251,4286,0.30831,0.35596
156,156,1988,4th Quintile,Urban regions,4 rooms,0.21539,167,4286,0.20065,0.23082
157,157,1988,4th Quintile,Urban regions,5 rooms,0.10398,85,4286,0.09538,0.11196
158,158,1988,4th Quintile,Urban regions,6 rooms,0.05794,44,4286,0.0518,0.06327
159,159,1988,4th Quintile,Rural regions,3 rooms,0.31949,47,4286,0.26308,0.37609
160,160,1988,4th Quintile,Rural regions,4 rooms,0.23453,39,4286,0.20675,0.26226
161,161,1988,4th Quintile,Rural regions,5 rooms,0.2246,38,4286,0.19749,0.24683
162,162,1988,4th Quintile,Rural regions,6 rooms,0.22138,36,4286,0.19647,0.24663
163,163,1988,5th Quintile,Urban regions,2 rooms,0.17523,112,4286,0.16025,0.19605
164,164,1988,5th Quintile,Urban regions,3 rooms,0.34351,228,4286,0.32355,0.36301
165,165,1988,5th Quintile,Urban regions,4 rooms,0.24246,170,4286,0.22937,0.2549
166,166,1988,5th Quintile,Urban regions,5 rooms,0.14553,107,4286,0.13527,0.15291
167,167,1988,5th Quintile,Urban regions,6 rooms,0.09326,67,4286,0.08491,0.1012
168,168,1988,5th Quintile,Rural regions,3 rooms,0.4167,35,4286,0.33968,0.51067
169,169,1988,5th Quintile,Rural regions,4 rooms,0.5833,38,4286,0.52393,0.64564
170,170,1989,1st Quintile,Urban regions,1 room,0.13322,62,4141,0.11806,0.15065
171,171,1989,1st Quintile,Urban regions,2 rooms,0.3152,182,4141,0.28168,0.34296
172,172,1989,1st Quintile,Urban regions,3 rooms,0.35701,271,4141,0.32433,0.39604
173,173,1989,1st Quintile,Urban regions,4 rooms,0.14501,119,4141,0.12741,0.16468
174,174,1989,1st Quintile,Urban regions,5 rooms,0.04956,44,4141,0.03996,0.06156
175,175,1989,1st Quintile,Rural regions,2 rooms,0.26238,31,4141,0.22006,0.2997
176,176,1989,1st Quintile,Rural regions,3 rooms,0.4293,60,4141,0.35708,0.49409
177,177,1989,1st Quintile,Rural regions,4 rooms,0.30832,45,4141,0.25916,0.36328
178,178,1989,2nd Quintile,Urban regions,1 room,0.05905,41,4141,0.04252,0.07357
179,179,1989,2nd Quintile,Urban regions,2 rooms,0.27282,157,4141,0.24143,0.30356
180,180,1989,2nd Quintile,Urban regions,3 rooms,0.39442,320,4141,0.3588,0.42906
181,181,1989,2nd Quintile,Urban regions,4 rooms,0.14646,136,4141,0.13135,0.16119
182,182,1989,2nd Quintile,Urban regions,5 rooms,0.07996,59,4141,0.07019,0.08953
183,183,1989,2nd Quintile,Urban regions,6 rooms,0.04729,33,4141,0.04035,0.0544
184,184,1989,2nd Quintile,Rural regions,3 rooms,0.49008,64,4141,0.43665,0.55938
185,185,1989,2nd Quintile,Rural regions,4 rooms,0.31114,52,4141,0.26768,0.35182
186,186,1989,2nd Quintile,Rural regions,5 rooms,0.19878,31,4141,0.16126,0.23313
187,187,1989,3rd Quintile,Urban regions,2 rooms,0.24442,137,4141,0.22191,0.27011
188,188,1989,3rd Quintile,Urban regions,3 rooms,0.36927,277,4141,0.33699,0.40008
189,189,1989,3rd Quintile,Urban regions,4 rooms,0.22169,167,4141,0.20571,0.23996
190,190,1989,3rd Quintile,Urban regions,5 rooms,0.10687,80,4141,0.09594,0.11725
191,191,1989,3rd Quintile,Urban regions,6 rooms,0.05775,42,4141,0.05265,0.06246
192,192,1989,3rd Quintile,Rural regions,3 rooms,0.43016,60,4141,0.36663,0.498
193,193,1989,3rd Quintile,Rural regions,4 rooms,0.3356,43,4141,0.3018,0.37689
194,194,1989,3rd Quintile,Rural regions,5 rooms,0.23424,33,4141,0.20247,0.2592
195,195,1989,4th Quintile,Urban regions,1 room,0.06361,37,4141,0.0521,0.07557
196,196,1989,4th Quintile,Urban regions,2 rooms,0.24373,168,4141,0.22383,0.26793
197,197,1989,4th Quintile,Urban regions,3 rooms,0.31024,237,4141,0.2854,0.33798
198,198,1989,4th Quintile,Urban regions,4 rooms,0.21085,156,4141,0.19433,0.22431
199,199,1989,4th Quintile,Urban regions,5 rooms,0.10642,83,4141,0.0972,0.11627
200,200,1989,4th Quintile,Urban regions,6 rooms,0.06515,48,4141,0.0579,0.07219
201,201,1989,4th Quintile,Rural regions,3 rooms,0.40222,51,4141,0.323,0.47748
202,202,1989,4th Quintile,Rural regions,4 rooms,0.325,42,4141,0.28731,0.38213
203,203,1989,4th Quintile,Rural regions,5 rooms,0.27279,37,4141,0.23481,0.31791
204,204,1989,5th Quintile,Urban regions,2 rooms,0.18854,110,4141,0.17098,0.20485
205,205,1989,5th Quintile,Urban regions,3 rooms,0.33005,206,4141,0.30591,0.35236
206,206,1989,5th Quintile,Urban regions,4 rooms,0.2461,162,4141,0.23143,0.2595
207,207,1989,5th Quintile,Urban regions,5 rooms,0.15104,102,4141,0.14226,0.16045
208,208,1989,5th Quintile,Urban regions,6 rooms,0.08428,61,4141,0.07693,0.09281
209,209,1989,5th Quintile,Rural regions,3 rooms,0.30949,31,4141,0.25883,0.35891
210,210,1989,5th Quintile,Rural regions,4 rooms,0.36512,33,4141,0.31271,0.41397
211,211,1989,5th Quintile,Rural regions,5 rooms,0.3254,31,4141,0.2822,0.36308
212,212,1990,1st Quintile,Urban regions,1 room,0.1341,53,6180,0.12099,0.14815
213,213,1990,1st Quintile,Urban regions,2 rooms,0.32597,201,6180,0.30164,0.35396
214,214,1990,1st Quintile,Urban regions,3 rooms,0.35849,315,6180,0.33758,0.38723
215,215,1990,1st Quintile,Urban regions,4 rooms,0.14662,159,6180,0.13527,0.15804
216,216,1990,1st Quintile,Urban regions,5 rooms,0.03481,35,6180,0.02963,0.04126
217,217,1990,1st Quintile,Rural regions,1 room,0.05359,41,6180,0.04784,0.05884
218,218,1990,1st Quintile,Rural regions,2 rooms,0.26858,264,6180,0.25167,0.28479
219,219,1990,1st Quintile,Rural regions,3 rooms,0.3879,557,6180,0.37192,0.4052
220,220,1990,1st Quintile,Rural regions,4 rooms,0.17292,277,6180,0.16237,0.18391
221,221,1990,1st Quintile,Rural regions,5 rooms,0.08406,142,6180,0.07648,0.09091
222,222,1990,1st Quintile,Rural regions,6 rooms,0.03295,61,6180,0.02967,0.03658
223,223,1990,2nd Quintile,Urban regions,1 room,0.1114,68,6180,0.09646,0.12763
224,224,1990,2nd Quintile,Urban regions,2 rooms,0.27985,201,6180,0.25423,0.30756
225,225,1990,2nd Quintile,Urban regions,3 rooms,0.38467,356,6180,0.35427,0.41928
226,226,1990,2nd Quintile,Urban regions,4 rooms,0.16552,170,6180,0.1488,0.18088
227,227,1990,2nd Quintile,Urban regions,5 rooms,0.05856,52,6180,0.04676,0.07043
228,228,1990,2nd Quintile,Rural regions,3 rooms,0.52614,90,6180,0.464,0.58817
229,229,1990,2nd Quintile,Rural regions,4 rooms,0.29646,55,6180,0.25276,0.34152
230,230,1990,2nd Quintile,Rural regions,5 rooms,0.1774,31,6180,0.14497,0.20561
231,231,1990,3rd Quintile,Urban regions,1 room,0.04768,31,6180,0.03737,0.05758
232,232,1990,3rd Quintile,Urban regions,2 rooms,0.249,182,6180,0.22132,0.2722
233,233,1990,3rd Quintile,Urban regions,3 rooms,0.36502,362,6180,0.33865,0.39566
234,234,1990,3rd Quintile,Urban regions,4 rooms,0.17189,178,6180,0.15668,0.18919
235,235,1990,3rd Quintile,Urban regions,5 rooms,0.10941,100,6180,0.09924,0.11909
236,236,1990,3rd Quintile,Urban regions,6 rooms,0.05699,48,6180,0.05121,0.06353
237,237,1990,3rd Quintile,Rural regions,2 rooms,0.17603,33,6180,0.13938,0.21218
238,238,1990,3rd Quintile,Rural regions,3 rooms,0.35819,68,6180,0.31576,0.40231
239,239,1990,3rd Quintile,Rural regions,4 rooms,0.27808,59,6180,0.24677,0.31254
240,240,1990,3rd Quintile,Rural regions,5 rooms,0.1877,42,6180,0.16872,0.21097
241,241,1990,4th Quintile,Urban regions,1 room,0.06531,46,6180,0.05483,0.07604
242,242,1990,4th Quintile,Urban regions,2 rooms,0.24824,186,6180,0.2213,0.27235
243,243,1990,4th Quintile,Urban regions,3 rooms,0.3355,318,6180,0.31015,0.35845
244,244,1990,4th Quintile,Urban regions,4 rooms,0.19166,182,6180,0.17518,0.20963
245,245,1990,4th Quintile,Urban regions,5 rooms,0.09306,88,6180,0.08429,0.10175
246,246,1990,4th Quintile,Urban regions,6 rooms,0.06623,55,6180,0.059,0.07235
247,247,1990,4th Quintile,Rural regions,3 rooms,0.4224,67,6180,0.35333,0.48585
248,248,1990,4th Quintile,Rural regions,4 rooms,0.32131,48,6180,0.28606,0.35293
249,249,1990,4th Quintile,Rural regions,5 rooms,0.25629,40,6180,0.22973,0.28746
250,250,1990,5th Quintile,Urban regions,2 rooms,0.20368,140,6180,0.18476,0.22124
251,251,1990,5th Quintile,Urban regions,3 rooms,0.33393,260,6180,0.31308,0.35355
252,252,1990,5th Quintile,Urban regions,4 rooms,0.24482,200,6180,0.23216,0.25905
253,253,1990,5th Quintile,Urban regions,5 rooms,0.13147,115,6180,0.12082,0.14091
254,254,1990,5th Quintile,Urban regions,6 rooms,0.0861,77,6180,0.07839,0.09349
255,255,1990,5th Quintile,Rural regions,3 rooms,0.3552,47,6180,0.29954,0.41292
256,256,1990,5th Quintile,Rural regions,4 rooms,0.3094,40,6180,0.25898,0.35605
257,257,1990,5th Quintile,Rural regions,5 rooms,0.33539,40,6180,0.28943,0.37595
258,258,1991,1st Quintile,Urban regions,1 room,0.1083,42,6062,0.0968,0.12255
259,259,1991,1st Quintile,Urban regions,2 rooms,0.31977,173,6062,0.29184,0.34367
260,260,1991,1st Quintile,Urban regions,3 rooms,0.35918,284,6062,0.33892,0.379
261,261,1991,1st Quintile,Urban regions,4 rooms,0.17954,165,6062,0.16324,0.19397
262,262,1991,1st Quintile,Urban regions,5 rooms,0.03321,33,6062,0.02751,0.04123
263,263,1991,1st Quintile,Rural regions,1 room,0.04577,32,6062,0.03919,0.05228
264,264,1991,1st Quintile,Rural regions,2 rooms,0.26539,240,6062,0.25223,0.28235
265,265,1991,1st Quintile,Rural regions,3 rooms,0.40105,535,6062,0.38241,0.42062
266,266,1991,1st Quintile,Rural regions,4 rooms,0.16724,258,6062,0.1579,0.17763
267,267,1991,1st Quintile,Rural regions,5 rooms,0.08444,138,6062,0.07812,0.09047
268,268,1991,1st Quintile,Rural regions,6 rooms,0.03611,63,6062,0.03212,0.04017
269,269,1991,2nd Quintile,Urban regions,1 room,0.12204,67,6062,0.10697,0.1379
270,270,1991,2nd Quintile,Urban regions,2 rooms,0.31973,223,6062,0.2927,0.34633
271,271,1991,2nd Quintile,Urban regions,3 rooms,0.36732,350,6062,0.33331,0.39873
272,272,1991,2nd Quintile,Urban regions,4 rooms,0.13115,130,6062,0.11892,0.14543
273,273,1991,2nd Quintile,Urban regions,5 rooms,0.05976,53,6062,0.04877,0.07008
274,274,1991,2nd Quintile,Rural regions,2 rooms,0.25093,38,6062,0.21792,0.28224
275,275,1991,2nd Quintile,Rural regions,3 rooms,0.46225,84,6062,0.41398,0.52648
276,276,1991,2nd Quintile,Rural regions,4 rooms,0.28682,66,6062,0.24714,0.32854
277,277,1991,3rd Quintile,Urban regions,1 room,0.0373,34,6062,0.02769,0.04694
278,278,1991,3rd Quintile,Urban regions,2 rooms,0.26171,183,6062,0.23603,0.28294
279,279,1991,3rd Quintile,Urban regions,3 rooms,0.35358,334,6062,0.32825,0.38601
280,280,1991,3rd Quintile,Urban regions,4 rooms,0.18946,204,6062,0.1725,0.20861
281,281,1991,3rd Quintile,Urban regions,5 rooms,0.10135,94,6062,0.09304,0.11068
282,282,1991,3rd Quintile,Urban regions,6 rooms,0.05659,49,6062,0.0504,0.06209
283,283,1991,3rd Quintile,Rural regions,2 rooms,0.20641,36,6062,0.16498,0.24495
284,284,1991,3rd Quintile,Rural regions,3 rooms,0.35919,73,6062,0.31389,0.41111
285,285,1991,3rd Quintile,Rural regions,4 rooms,0.23919,50,6062,0.20399,0.27086
286,286,1991,3rd Quintile,Rural regions,5 rooms,0.19521,40,6062,0.17617,0.21318
287,287,1991,4th Quintile,Urban regions,1 room,0.05346,43,6062,0.04135,0.06449
288,288,1991,4th Quintile,Urban regions,2 rooms,0.22784,181,6062,0.20811,0.25228
289,289,1991,4th Quintile,Urban regions,3 rooms,0.32112,309,6062,0.29271,0.34577
290,290,1991,4th Quintile,Urban regions,4 rooms,0.2202,199,6062,0.20277,0.23503
291,291,1991,4th Quintile,Urban regions,5 rooms,0.10777,92,6062,0.09764,0.11949
292,292,1991,4th Quintile,Urban regions,6 rooms,0.06963,64,6062,0.06172,0.07787
293,293,1991,4th Quintile,Rural regions,3 rooms,0.39242,69,6062,0.34039,0.4496
294,294,1991,4th Quintile,Rural regions,4 rooms,0.35995,61,6062,0.31857,0.40564
295,295,1991,4th Quintile,Rural regions,5 rooms,0.24763,46,6062,0.22304,0.27923
296,296,1991,5th Quintile,Urban regions,2 rooms,0.2044,143,6062,0.18659,0.22593
297,297,1991,5th Quintile,Urban regions,3 rooms,0.35414,293,6062,0.33221,0.37952
298,298,1991,5th Quintile,Urban regions,4 rooms,0.21191,179,6062,0.1956,0.22695
299,299,1991,5th Quintile,Urban regions,5 rooms,0.13953,129,6062,0.12986,0.15225
