year,regtyp,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Rural regions,Owner,3 rooms,0.20587,95,477,0.16954,0.24219
1987,Rural regions,Owner,4 rooms,0.27025,140,477,0.23035,0.31014
1987,Rural regions,Owner,5 rooms,0.21180,118,477,0.17509,0.24850
1987,Rural regions,Owner,6 rooms,0.15299,85,477,0.12065,0.18532
1987,Rural regions,Owner,7 rooms,0.06298,39,477,0.04116,0.08480
1987,Rural regions,Tenant,2 rooms,0.21509,92,429,0.17616,0.25402
1987,Rural regions,Tenant,3 rooms,0.42441,197,429,0.37758,0.47123
1987,Rural regions,Tenant,4 rooms,0.20001,104,429,0.16211,0.23790
1987,Rural regions,Tenant,5 rooms,0.05919,36,429,0.03683,0.08155
1988,Urban regions,Owner,2 rooms,0.07529,74,1224,0.06050,0.09008
1988,Urban regions,Owner,3 rooms,0.23971,272,1224,0.21579,0.26364
1988,Urban regions,Owner,4 rooms,0.25978,347,1224,0.23520,0.28436
1988,Urban regions,Owner,5 rooms,0.18602,257,1224,0.16421,0.20783
1988,Urban regions,Owner,6 rooms,0.12448,166,1224,0.10598,0.14298
1988,Urban regions,Owner,7 rooms,0.04957,69,1224,0.03741,0.06174
1988,Urban regions,Owner,8 rooms,0.02760,39,1224,0.01842,0.03678
1988,Urban regions,Tenant,1 room,0.09506,183,2526,0.08362,0.10650
1988,Urban regions,Tenant,2 rooms,0.31955,678,2526,0.30136,0.33774
1988,Urban regions,Tenant,3 rooms,0.39078,1100,2526,0.37174,0.40981
1988,Urban regions,Tenant,4 rooms,0.13052,402,2526,0.11738,0.14366
1988,Urban regions,Tenant,5 rooms,0.04007,123,2526,0.03242,0.04772
1988,Urban regions,Tenant,6 rooms,0.01341,40,2526,0.00893,0.01790
1988,Rural regions,Owner,3 rooms,0.21531,92,443,0.17699,0.25363
1988,Rural regions,Owner,4 rooms,0.25739,123,443,0.21663,0.29814
1988,Rural regions,Owner,5 rooms,0.20906,108,443,0.17115,0.24696
1988,Rural regions,Owner,6 rooms,0.16044,81,443,0.12622,0.19465
1988,Rural regions,Owner,7 rooms,0.06892,39,443,0.04531,0.09254
1988,Rural regions,Tenant,2 rooms,0.19896,84,409,0.16022,0.23770
1988,Rural regions,Tenant,3 rooms,0.42763,190,409,0.37962,0.47563
