year,rentown,sampreg,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Owner,West,4 rooms,0.26257,491,1783,0.24214,0.28300
1986,Owner,West,5 rooms,0.18891,385,1783,0.17073,0.20708
1986,Owner,West,6 rooms,0.13014,254,1783,0.11452,0.14576
1986,Owner,West,7 rooms,0.05500,108,1783,0.04441,0.06558
1986,Owner,West,8 rooms,0.03515,65,1783,0.02660,0.04370
1986,Tenant,West,1 room,0.09407,238,3164,0.08389,0.10424
1986,Tenant,West,2 rooms,0.29953,811,3164,0.28357,0.31549
1986,Tenant,West,3 rooms,0.39526,1361,3164,0.37823,0.41230
1986,Tenant,West,4 rooms,0.14519,544,3164,0.13291,0.15747
1986,Tenant,West,5 rooms,0.03972,153,3164,0.03291,0.04652
1986,Tenant,West,6 rooms,0.01658,57,3164,0.01213,0.02103
1987,Owner,West,2 rooms,0.06823,96,1780,0.05651,0.07995
1987,Owner,West,3 rooms,0.22084,371,1780,0.20156,0.24012
1987,Owner,West,4 rooms,0.26434,495,1780,0.24385,0.28483
1987,Owner,West,5 rooms,0.20331,404,1780,0.18461,0.22201
1987,Owner,West,6 rooms,0.12708,245,1780,0.11160,0.14256
1987,Owner,West,7 rooms,0.05388,108,1780,0.04338,0.06437
1987,Owner,West,8 rooms,0.03170,61,1780,0.02356,0.03984
1987,Tenant,West,1 room,0.09215,228,3106,0.08198,0.10233
1987,Tenant,West,2 rooms,0.29790,799,3106,0.28181,0.31399
1987,Tenant,West,3 rooms,0.39757,1338,3106,0.38036,0.41479
1987,Tenant,West,4 rooms,0.14628,533,3106,0.13385,0.15871
1987,Tenant,West,5 rooms,0.04080,157,3106,0.03384,0.04775
1987,Tenant,West,6 rooms,0.01487,51,3106,0.01061,0.01913
1988,Owner,West,2 rooms,0.06461,87,1698,0.05291,0.07631
1988,Owner,West,3 rooms,0.23261,364,1698,0.21251,0.25271
1988,Owner,West,4 rooms,0.25908,470,1698,0.23824,0.27993
1988,Owner,West,5 rooms,0.19273,365,1698,0.17396,0.21150
1988,Owner,West,6 rooms,0.13495,247,1698,0.11869,0.15121
1988,Owner,West,7 rooms,0.05521,108,1698,0.04434,0.06607
1988,Owner,West,8 rooms,0.02882,57,1698,0.02086,0.03678
1988,Tenant,West,1 room,0.08924,206,2979,0.07900,0.09948
1988,Tenant,West,2 rooms,0.29947,762,2979,0.28302,0.31592
1988,Tenant,West,3 rooms,0.39753,1290,2979,0.37995,0.41511
1988,Tenant,West,4 rooms,0.14042,499,2979,0.12794,0.15290
1988,Tenant,West,5 rooms,0.04485,161,2979,0.03742,0.05229
1988,Tenant,West,6 rooms,0.01858,61,2979,0.01373,0.02343
1989,Owner,West,2 rooms,0.06225,86,1667,0.05065,0.07385
1989,Owner,West,3 rooms,0.22500,339,1667,0.20494,0.24505
1989,Owner,West,4 rooms,0.26669,470,1667,0.24545,0.28792
1989,Owner,West,5 rooms,0.19696,360,1667,0.17786,0.21605
1989,Owner,West,6 rooms,0.13403,244,1667,0.11767,0.15038
1989,Owner,West,7 rooms,0.05518,106,1667,0.04422,0.06615
1989,Owner,West,8 rooms,0.03255,62,1667,0.02403,0.04107
1989,Tenant,West,1 room,0.08666,194,2897,0.07641,0.09691
1989,Tenant,West,2 rooms,0.30957,761,2897,0.29273,0.32641
1989,Tenant,West,3 rooms,0.38828,1239,2897,0.37053,0.40603
1989,Tenant,West,4 rooms,0.14317,485,2897,0.13041,0.15592
1989,Tenant,West,5 rooms,0.04461,157,2897,0.03709,0.05213
1989,Tenant,West,6 rooms,0.01887,61,2897,0.01391,0.02382
1990,Owner,West,2 rooms,0.06617,95,1695,0.05433,0.07801
1990,Owner,West,3 rooms,0.22836,365,1695,0.20837,0.24835
1990,Owner,West,4 rooms,0.26207,465,1695,0.24113,0.28302
1990,Owner,West,5 rooms,0.19607,358,1695,0.17717,0.21498
1990,Owner,West,6 rooms,0.13563,243,1695,0.11932,0.15193
1990,Owner,West,7 rooms,0.05724,110,1695,0.04617,0.06830
1990,Owner,West,8 rooms,0.02914,59,1695,0.02113,0.03715
1990,Owner,East,2 rooms,0.11776,52,590,0.09173,0.14379
1990,Owner,East,3 rooms,0.29591,168,590,0.25905,0.33277
1990,Owner,East,4 rooms,0.25931,167,590,0.22392,0.29470
1990,Owner,East,5 rooms,0.19144,138,590,0.15966,0.22321
1990,Owner,East,6 rooms,0.08369,65,590,0.06132,0.10605
1990,Tenant,West,1 room,0.08843,193,2815,0.07794,0.09892
1990,Tenant,West,2 rooms,0.30601,728,2815,0.28898,0.32304
1990,Tenant,West,3 rooms,0.39224,1214,2815,0.37420,0.41028
1990,Tenant,West,4 rooms,0.13787,469,2815,0.12513,0.15061
1990,Tenant,West,5 rooms,0.04717,151,2815,0.03934,0.05501
1990,Tenant,West,6 rooms,0.01899,60,2815,0.01395,0.02404
1990,Tenant,East,1 room,0.09245,78,1519,0.07788,0.10702
1990,Tenant,East,2 rooms,0.34991,414,1519,0.32592,0.37390
1990,Tenant,East,3 rooms,0.40270,713,1519,0.37802,0.42737
1990,Tenant,East,4 rooms,0.13017,277,1519,0.11324,0.14710
1990,Tenant,East,5 rooms,0.01870,37,1519,0.01188,0.02551
1991,Owner,West,2 rooms,0.06483,92,1710,0.05315,0.07650
1991,Owner,West,3 rooms,0.21674,347,1710,0.19721,0.23628
1991,Owner,West,4 rooms,0.25624,457,1710,0.23554,0.27694
1991,Owner,West,5 rooms,0.20683,381,1710,0.18762,0.22603
1991,Owner,West,6 rooms,0.14400,259,1710,0.12735,0.16064
1991,Owner,West,7 rooms,0.05758,111,1710,0.04653,0.06862
1991,Owner,West,8 rooms,0.03142,63,1710,0.02315,0.03970
1991,Owner,East,2 rooms,0.11172,52,559,0.08558,0.13785
1991,Owner,East,3 rooms,0.31897,161,559,0.28029,0.35764
1991,Owner,East,4 rooms,0.24276,151,559,0.20719,0.27834
1991,Owner,East,5 rooms,0.19054,129,559,0.15795,0.22313
1991,Owner,East,6 rooms,0.09201,66,559,0.06803,0.11600
1991,Tenant,West,1 room,0.08469,190,2855,0.07447,0.09490
1991,Tenant,West,2 rooms,0.32087,773,2855,0.30374,0.33800
1991,Tenant,West,3 rooms,0.38429,1215,2855,0.36645,0.40214
1991,Tenant,West,4 rooms,0.13884,477,2855,0.12615,0.15153
1991,Tenant,West,5 rooms,0.04418,145,2855,0.03664,0.05172
1991,Tenant,West,6 rooms,0.01808,55,2855,0.01319,0.02296
1991,Tenant,East,1 room,0.07864,60,1390,0.06448,0.09279
1991,Tenant,East,2 rooms,0.34386,355,1390,0.31888,0.36884
1991,Tenant,East,3 rooms,0.40543,657,1390,0.37960,0.43125
1991,Tenant,East,4 rooms,0.14594,278,1390,0.12737,0.16450
1991,Tenant,East,5 rooms,0.01925,40,1390,0.01203,0.02648
1992,Owner,West,2 rooms,0.06977,97,1731,0.05777,0.08178
1992,Owner,West,3 rooms,0.20624,341,1731,0.18717,0.22530
1992,Owner,West,4 rooms,0.26717,475,1731,0.24631,0.28802
1992,Owner,West,5 rooms,0.20444,383,1731,0.18544,0.22345
1992,Owner,West,6 rooms,0.14361,263,1731,0.12709,0.16014
1992,Owner,West,7 rooms,0.05645,111,1731,0.04557,0.06732
1992,Owner,West,8 rooms,0.03116,61,1731,0.02297,0.03934
1992,Owner,East,2 rooms,0.11257,50,534,0.08574,0.13941
1992,Owner,East,3 rooms,0.28631,143,534,0.24793,0.32468
1992,Owner,East,4 rooms,0.26191,150,534,0.22458,0.29924
1992,Owner,East,5 rooms,0.19307,126,534,0.15956,0.22658
1992,Owner,East,6 rooms,0.09810,65,534,0.07285,0.12335
1992,Tenant,West,1 room,0.08270,191,2847,0.07258,0.09282
1992,Tenant,West,2 rooms,0.32255,789,2847,0.30537,0.33972
1992,Tenant,West,3 rooms,0.39273,1215,2847,0.37479,0.41068
1992,Tenant,West,4 rooms,0.13008,454,2847,0.11772,0.14243
1992,Tenant,West,5 rooms,0.04322,145,2847,0.03575,0.05070
1992,Tenant,West,6 rooms,0.01822,53,2847,0.01330,0.02313
1992,Tenant,East,1 room,0.08223,69,1373,0.06770,0.09677
1992,Tenant,East,2 rooms,0.34099,345,1373,0.31591,0.36607
1992,Tenant,East,3 rooms,0.41122,651,1373,0.38518,0.43725
1992,Tenant,East,4 rooms,0.14139,269,1373,0.12295,0.15983
1992,Tenant,East,5 rooms,0.01798,39,1373,0.01095,0.02501
1993,Owner,West,2 rooms,0.06390,93,1733,0.05238,0.07542
1993,Owner,West,3 rooms,0.20645,340,1733,0.18738,0.22551
1993,Owner,West,4 rooms,0.26455,469,1733,0.24378,0.28533
1993,Owner,West,5 rooms,0.21289,396,1733,0.19361,0.23217
1993,Owner,West,6 rooms,0.13541,249,1733,0.11930,0.15152
1993,Owner,West,7 rooms,0.06732,125,1733,0.05552,0.07912
1993,Owner,West,8 rooms,0.02842,61,1733,0.02060,0.03625
1993,Owner,East,2 rooms,0.10346,47,521,0.07728,0.12963
1993,Owner,East,3 rooms,0.28910,142,521,0.25013,0.32806
1993,Owner,East,4 rooms,0.25249,139,521,0.21515,0.28983
1993,Owner,East,5 rooms,0.21813,134,521,0.18263,0.25363
1993,Owner,East,6 rooms,0.09274,59,521,0.06781,0.11767
1993,Tenant,West,1 room,0.08800,202,2879,0.07765,0.09835
1993,Tenant,West,2 rooms,0.30397,770,2879,0.28717,0.32078
1993,Tenant,West,3 rooms,0.40553,1242,2879,0.38759,0.42347
1993,Tenant,West,4 rooms,0.13846,477,2879,0.12584,0.15108
1993,Tenant,West,5 rooms,0.03768,138,2879,0.03072,0.04464
1993,Tenant,West,6 rooms,0.01739,50,2879,0.01262,0.02217
1993,Tenant,East,1 room,0.07511,62,1323,0.06090,0.08932
1993,Tenant,East,2 rooms,0.34401,345,1323,0.31840,0.36961
1993,Tenant,East,3 rooms,0.41791,633,1323,0.39132,0.44450
1993,Tenant,East,4 rooms,0.13540,246,1323,0.11696,0.15384
1993,Tenant,East,5 rooms,0.02008,37,1323,0.01252,0.02765
1994,Owner,West,2 rooms,0.06699,100,1732,0.05522,0.07877
1994,Owner,West,3 rooms,0.20296,337,1732,0.18402,0.22191
1994,Owner,West,4 rooms,0.25722,461,1732,0.23663,0.27782
1994,Owner,West,5 rooms,0.21449,396,1732,0.19515,0.23382
1994,Owner,West,6 rooms,0.13714,251,1732,0.12094,0.15335
1994,Owner,West,7 rooms,0.06919,126,1732,0.05723,0.08114
1994,Owner,West,8 rooms,0.02952,61,1732,0.02155,0.03750
1994,Owner,East,2 rooms,0.08660,40,524,0.06249,0.11070
1994,Owner,East,3 rooms,0.27886,136,524,0.24042,0.31729
1994,Owner,East,4 rooms,0.26753,148,524,0.22959,0.30547
1994,Owner,East,5 rooms,0.21765,135,524,0.18228,0.25301
1994,Owner,East,6 rooms,0.09887,65,524,0.07329,0.12445
1994,Tenant,West,1 room,0.08119,185,2825,0.07112,0.09126
1994,Tenant,West,2 rooms,0.32101,784,2825,0.30380,0.33823
1994,Tenant,West,3 rooms,0.38888,1189,2825,0.37090,0.40686
1994,Tenant,West,4 rooms,0.14205,479,2825,0.12918,0.15493
1994,Tenant,West,5 rooms,0.03847,134,2825,0.03138,0.04557
1994,Tenant,West,6 rooms,0.01810,54,2825,0.01319,0.02302
1994,Tenant,East,1 room,0.08615,71,1293,0.07085,0.10145
1994,Tenant,East,2 rooms,0.33690,339,1293,0.31113,0.36268
1994,Tenant,East,3 rooms,0.42134,611,1293,0.39442,0.44827
1994,Tenant,East,4 rooms,0.13152,239,1293,0.11309,0.14995
1994,Tenant,East,5 rooms,0.01684,33,1293,0.00982,0.02385
1995,Owner,West,2 rooms,0.06705,101,1760,0.05536,0.07874
1995,Owner,West,3 rooms,0.19881,340,1760,0.18016,0.21746
1995,Owner,West,4 rooms,0.25850,461,1760,0.23804,0.27896
1995,Owner,West,5 rooms,0.21178,392,1760,0.19269,0.23088
1995,Owner,West,6 rooms,0.14041,268,1760,0.12418,0.15665
1995,Owner,West,7 rooms,0.06677,128,1760,0.05511,0.07844
1995,Owner,West,8 rooms,0.03356,70,1760,0.02514,0.04197
1995,Owner,East,2 rooms,0.08100,36,523,0.05759,0.10440
1995,Owner,East,3 rooms,0.27607,136,523,0.23772,0.31442
1995,Owner,East,4 rooms,0.28181,148,523,0.24322,0.32041
1995,Owner,East,5 rooms,0.21157,137,523,0.17653,0.24660
1995,Owner,East,6 rooms,0.09699,66,523,0.07161,0.12238
1995,Tenant,West,1 room,0.08917,201,3026,0.07901,0.09932
1995,Tenant,West,2 rooms,0.32623,842,3026,0.30952,0.34294
1995,Tenant,West,3 rooms,0.38351,1265,3026,0.36618,0.40084
1995,Tenant,West,4 rooms,0.13541,513,3026,0.12322,0.14761
1995,Tenant,West,5 rooms,0.03469,139,3026,0.02817,0.04121
1995,Tenant,West,6 rooms,0.02000,66,3026,0.01501,0.02499
1995,Tenant,East,1 room,0.09053,73,1257,0.07466,0.10640
1995,Tenant,East,2 rooms,0.33631,333,1257,0.31018,0.36244
1995,Tenant,East,3 rooms,0.41368,585,1257,0.38644,0.44092
1995,Tenant,East,4 rooms,0.13546,233,1257,0.11654,0.15439
1995,Tenant,East,5 rooms,0.01784,33,1257,0.01052,0.02517
1996,Owner,West,2 rooms,0.06588,99,1764,0.05430,0.07746
1996,Owner,West,3 rooms,0.19827,330,1764,0.17966,0.21688
1996,Owner,West,4 rooms,0.25400,458,1764,0.23368,0.27431
1996,Owner,West,5 rooms,0.21565,399,1764,0.19645,0.23485
1996,Owner,West,6 rooms,0.14299,276,1764,0.12665,0.15933
1996,Owner,West,7 rooms,0.06977,139,1764,0.05788,0.08166
1996,Owner,West,8 rooms,0.03025,63,1764,0.02226,0.03825
1996,Owner,East,2 rooms,0.07809,39,545,0.05554,0.10064
1996,Owner,East,3 rooms,0.27303,136,545,0.23559,0.31047
1996,Owner,East,4 rooms,0.25843,152,545,0.22164,0.29521
1996,Owner,East,5 rooms,0.22194,147,545,0.18702,0.25686
1996,Owner,East,6 rooms,0.10548,71,545,0.07966,0.13129
1996,Tenant,West,1 room,0.08146,177,2947,0.07158,0.09134
1996,Tenant,West,2 rooms,0.33574,822,2947,0.31868,0.35279
1996,Tenant,West,3 rooms,0.36861,1208,2947,0.35119,0.38603
1996,Tenant,West,4 rooms,0.14772,531,2947,0.13491,0.16053
1996,Tenant,West,5 rooms,0.03928,145,2947,0.03227,0.04630
1996,Tenant,West,6 rooms,0.01835,64,2947,0.01350,0.02320
1996,Tenant,East,1 room,0.09234,82,1242,0.07623,0.10844
1996,Tenant,East,2 rooms,0.32394,329,1242,0.29790,0.34998
1996,Tenant,East,3 rooms,0.41153,568,1242,0.38415,0.43891
1996,Tenant,East,4 rooms,0.14324,229,1242,0.12375,0.16273
1996,Tenant,East,5 rooms,0.02066,34,1242,0.01274,0.02857
1997,Owner,West,2 rooms,0.06364,91,1794,0.05234,0.07494
1997,Owner,West,3 rooms,0.19635,334,1794,0.17797,0.21474
1997,Owner,West,4 rooms,0.25485,481,1794,0.23468,0.27502
1997,Owner,West,5 rooms,0.21686,410,1794,0.19778,0.23593
1997,Owner,West,6 rooms,0.14377,275,1794,0.12753,0.16001
1997,Owner,West,7 rooms,0.07157,137,1794,0.05964,0.08350
1997,Owner,West,8 rooms,0.02992,66,1794,0.02204,0.03781
1997,Owner,East,2 rooms,0.07567,37,561,0.05377,0.09758
1997,Owner,East,3 rooms,0.29958,146,561,0.26164,0.33752
1997,Owner,East,4 rooms,0.25303,159,561,0.21703,0.28904
1997,Owner,East,5 rooms,0.20939,146,561,0.17569,0.24309
1997,Owner,East,6 rooms,0.10355,73,561,0.07831,0.12878
1997,Tenant,West,1 room,0.08031,158,2849,0.07033,0.09029
1997,Tenant,West,2 rooms,0.32813,784,2849,0.31089,0.34538
1997,Tenant,West,3 rooms,0.38527,1197,2849,0.36739,0.40314
1997,Tenant,West,4 rooms,0.13627,499,2849,0.12367,0.14887
1997,Tenant,West,5 rooms,0.04180,145,2849,0.03445,0.04915
1997,Tenant,West,6 rooms,0.02072,66,2849,0.01549,0.02595
1997,Tenant,East,1 room,0.08964,79,1207,0.07352,0.10577
1997,Tenant,East,2 rooms,0.33320,330,1207,0.30660,0.35980
1997,Tenant,East,3 rooms,0.42399,560,1207,0.39609,0.45188
1997,Tenant,East,4 rooms,0.12689,206,1207,0.10810,0.14567
1997,Tenant,East,5 rooms,0.01759,32,1207,0.01017,0.02501
1998,Owner,West,2 rooms,0.06390,107,2180,0.05363,0.07417
1998,Owner,West,3 rooms,0.18150,367,2180,0.16532,0.19768
1998,Owner,West,4 rooms,0.27953,626,2180,0.26069,0.29838
1998,Owner,West,5 rooms,0.19970,463,2180,0.18291,0.21649
1998,Owner,West,6 rooms,0.14217,347,2180,0.12751,0.15684
1998,Owner,West,7 rooms,0.07059,160,2180,0.05983,0.08134
1998,Owner,West,8 rooms,0.02887,77,2180,0.02184,0.03590
1998,Owner,West,9 rooms,0.01452,33,2180,0.00950,0.01954
1998,Owner,East,2 rooms,0.06993,38,628,0.04997,0.08990
1998,Owner,East,3 rooms,0.25202,149,628,0.21804,0.28601
1998,Owner,East,4 rooms,0.27987,194,628,0.24472,0.31501
1998,Owner,East,5 rooms,0.21919,162,628,0.18681,0.25157
1998,Owner,East,6 rooms,0.10857,85,628,0.08422,0.13293
1998,Tenant,West,1 room,0.06926,172,3208,0.06047,0.07804
1998,Tenant,West,2 rooms,0.32955,904,3208,0.31328,0.34582
1998,Tenant,West,3 rooms,0.38688,1337,3208,0.37003,0.40374
1998,Tenant,West,4 rooms,0.14693,570,3208,0.13468,0.15919
1998,Tenant,West,5 rooms,0.04234,157,3208,0.03537,0.04931
1998,Tenant,West,6 rooms,0.01873,68,3208,0.01404,0.02343
1998,Tenant,East,1 room,0.08158,83,1263,0.06648,0.09668
1998,Tenant,East,2 rooms,0.33902,349,1263,0.31290,0.36514
1998,Tenant,East,3 rooms,0.41761,583,1263,0.39040,0.44482
1998,Tenant,East,4 rooms,0.13158,210,1263,0.11293,0.15023
1998,Tenant,East,5 rooms,0.02252,38,1263,0.01433,0.03070
1999,Owner,West,2 rooms,0.06245,101,2138,0.05219,0.07271
1999,Owner,West,3 rooms,0.18064,359,2138,0.16433,0.19695
1999,Owner,West,4 rooms,0.27529,600,2138,0.25635,0.29423
1999,Owner,West,5 rooms,0.19657,454,2138,0.17972,0.21342
1999,Owner,West,6 rooms,0.14702,351,2138,0.13201,0.16204
1999,Owner,West,7 rooms,0.06940,159,2138,0.05862,0.08017
1999,Owner,West,8 rooms,0.03201,76,2138,0.02454,0.03947
1999,Owner,West,9 rooms,0.01699,38,2138,0.01151,0.02246
1999,Owner,East,2 rooms,0.07189,35,624,0.05161,0.09218
1999,Owner,East,3 rooms,0.24906,147,624,0.21510,0.28302
1999,Owner,East,4 rooms,0.27586,191,624,0.24077,0.31096
1999,Owner,East,5 rooms,0.23111,172,624,0.19801,0.26422
1999,Owner,East,6 rooms,0.09467,79,624,0.07168,0.11766
1999,Tenant,West,1 room,0.06740,154,3003,0.05843,0.07637
1999,Tenant,West,2 rooms,0.33443,863,3003,0.31755,0.35130
1999,Tenant,West,3 rooms,0.38303,1223,3003,0.36564,0.40042
1999,Tenant,West,4 rooms,0.14778,543,3003,0.13508,0.16047
1999,Tenant,West,5 rooms,0.04347,155,3003,0.03617,0.05076
1999,Tenant,West,6 rooms,0.01771,65,3003,0.01299,0.02243
1999,Tenant,East,1 room,0.07772,75,1232,0.06276,0.09267
1999,Tenant,East,2 rooms,0.33781,329,1232,0.31139,0.36424
1999,Tenant,East,3 rooms,0.41626,574,1232,0.38873,0.44380
1999,Tenant,East,4 rooms,0.13826,219,1232,0.11898,0.15754
1999,Tenant,East,5 rooms,0.02127,35,1232,0.01321,0.02933
2000,Owner,West,2 rooms,0.05673,197,4649,0.05008,0.06339
2000,Owner,West,3 rooms,0.18312,768,4649,0.17200,0.19424
2000,Owner,West,4 rooms,0.25298,1175,4649,0.24048,0.26548
2000,Owner,West,5 rooms,0.21086,1040,4649,0.19914,0.22259
2000,Owner,West,6 rooms,0.15307,759,4649,0.14272,0.16342
2000,Owner,West,7 rooms,0.07205,374,4649,0.06461,0.07948
2000,Owner,West,8 rooms,0.03794,197,4649,0.03245,0.04344
2000,Owner,West,9 rooms,0.01400,72,4649,0.01062,0.01737
2000,Owner,West,10 or more rooms,0.01360,67,4649,0.01027,0.01693
2000,Owner,East,2 rooms,0.06331,59,1104,0.04894,0.07768
2000,Owner,East,3 rooms,0.24680,256,1104,0.22136,0.27224
2000,Owner,East,4 rooms,0.28142,324,1104,0.25489,0.30796
2000,Owner,East,5 rooms,0.21916,274,1104,0.19475,0.24358
2000,Owner,East,6 rooms,0.10204,134,1104,0.08418,0.11990
2000,Owner,East,7 rooms,0.04327,57,1104,0.03127,0.05528
2000,Tenant,West,1 room,0.06432,258,5189,0.05765,0.07100
2000,Tenant,West,2 rooms,0.32023,1439,5189,0.30753,0.33293
2000,Tenant,West,3 rooms,0.38330,2091,5189,0.37007,0.39653
2000,Tenant,West,4 rooms,0.15360,928,5189,0.14379,0.16341
2000,Tenant,West,5 rooms,0.05069,311,5189,0.04472,0.05666
2000,Tenant,West,6 rooms,0.01903,116,5189,0.01532,0.02275
2000,Tenant,West,7 rooms,0.00656,46,5189,0.00436,0.00875
2000,Tenant,East,1 room,0.08317,127,1900,0.07075,0.09559
2000,Tenant,East,2 rooms,0.33761,536,1900,0.31634,0.35888
2000,Tenant,East,3 rooms,0.42278,880,1900,0.40056,0.44499
2000,Tenant,East,4 rooms,0.12645,302,1900,0.11150,0.14140
2000,Tenant,East,5 rooms,0.02382,55,1900,0.01696,0.03068
2001,Owner,West,2 rooms,0.05798,173,4145,0.05087,0.06510
2001,Owner,West,3 rooms,0.17976,668,4145,0.16807,0.19145
2001,Owner,West,4 rooms,0.25391,1048,4145,0.24066,0.26717
2001,Owner,West,5 rooms,0.20939,925,4145,0.19701,0.22178
2001,Owner,West,6 rooms,0.15256,682,4145,0.14161,0.16350
2001,Owner,West,7 rooms,0.07142,333,4145,0.06358,0.07927
2001,Owner,West,8 rooms,0.04004,181,4145,0.03407,0.04601
2001,Owner,West,9 rooms,0.01380,66,4145,0.01025,0.01736
2001,Owner,West,10 or more rooms,0.01523,69,4145,0.01150,0.01896
2001,Owner,East,2 rooms,0.07662,63,1052,0.06054,0.09271
2001,Owner,East,3 rooms,0.24620,239,1052,0.22016,0.27225
2001,Owner,East,4 rooms,0.29007,317,1052,0.26264,0.31751
2001,Owner,East,5 rooms,0.20537,254,1052,0.18095,0.22979
2001,Owner,East,6 rooms,0.09844,123,1052,0.08043,0.11646
2001,Owner,East,7 rooms,0.04005,56,1052,0.02819,0.05190
2001,Tenant,West,1 room,0.05934,209,4649,0.05255,0.06613
2001,Tenant,West,2 rooms,0.30994,1257,4649,0.29665,0.32324
2001,Tenant,West,3 rooms,0.39135,1886,4649,0.37732,0.40538
2001,Tenant,West,4 rooms,0.15600,853,4649,0.14556,0.16643
2001,Tenant,West,5 rooms,0.05117,280,4649,0.04483,0.05750
2001,Tenant,West,6 rooms,0.02058,112,4649,0.01650,0.02466
2001,Tenant,West,7 rooms,0.00775,52,4649,0.00522,0.01027
2001,Tenant,East,1 room,0.07443,99,1719,0.06202,0.08684
2001,Tenant,East,2 rooms,0.33951,495,1719,0.31712,0.36190
2001,Tenant,East,3 rooms,0.42965,802,1719,0.40624,0.45305
2001,Tenant,East,4 rooms,0.12581,271,1719,0.11013,0.14149
2001,Tenant,East,5 rooms,0.02279,52,1719,0.01573,0.02984
2002,Owner,West,2 rooms,0.05784,171,4722,0.05118,0.06450
2002,Owner,West,3 rooms,0.18273,683,4722,0.17171,0.19375
2002,Owner,West,4 rooms,0.25488,1119,4722,0.24245,0.26731
2002,Owner,West,5 rooms,0.22650,1145,4722,0.21456,0.23844
2002,Owner,West,6 rooms,0.14140,768,4722,0.13147,0.15134
2002,Owner,West,7 rooms,0.07212,439,4722,0.06474,0.07950
2002,Owner,West,8 rooms,0.03315,222,4722,0.02804,0.03825
2002,Owner,West,9 rooms,0.01330,95,4722,0.01004,0.01657
2002,Owner,West,10 or more rooms,0.01330,80,4722,0.01003,0.01657
2002,Owner,East,2 rooms,0.07548,57,1066,0.05962,0.09135
2002,Owner,East,3 rooms,0.24868,228,1066,0.22272,0.27464
2002,Owner,East,4 rooms,0.28535,314,1066,0.25823,0.31248
2002,Owner,East,5 rooms,0.22464,273,1066,0.19957,0.24971
2002,Owner,East,6 rooms,0.10318,146,1066,0.08491,0.12145
2002,Owner,East,7 rooms,0.03647,48,1066,0.02521,0.04773
2002,Tenant,West,1 room,0.05843,200,4608,0.05165,0.06520
2002,Tenant,West,2 rooms,0.31429,1246,4608,0.30088,0.32769
2002,Tenant,West,3 rooms,0.38566,1799,4608,0.37160,0.39971
2002,Tenant,West,4 rooms,0.15494,860,4608,0.14449,0.16539
2002,Tenant,West,5 rooms,0.05828,323,4608,0.05151,0.06504
2002,Tenant,West,6 rooms,0.01999,139,4608,0.01595,0.02403
2002,Tenant,West,7 rooms,0.00576,41,4608,0.00358,0.00795
2002,Tenant,East,1 room,0.07118,97,1715,0.05901,0.08335
2002,Tenant,East,2 rooms,0.34898,488,1715,0.32641,0.37155
2002,Tenant,East,3 rooms,0.42471,796,1715,0.40130,0.44811
2002,Tenant,East,4 rooms,0.12399,276,1715,0.10838,0.13959
2002,Tenant,East,5 rooms,0.02450,58,1715,0.01718,0.03182
2003,Owner,West,2 rooms,0.05737,171,4536,0.05060,0.06413
2003,Owner,West,3 rooms,0.18588,683,4536,0.17456,0.19720
2003,Owner,West,4 rooms,0.24354,1065,4536,0.23105,0.25603
