,Unnamed: 0,year,bula_h,regtyp,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
65,65,1986,"Rhineland-Palatinate, Saarland",Urban regions,2 rooms,0.2488,52,4063,0.20579,0.28751
66,66,1986,"Rhineland-Palatinate, Saarland",Urban regions,3 rooms,0.37608,88,4063,0.33984,0.41681
67,67,1986,"Rhineland-Palatinate, Saarland",Urban regions,4 rooms,0.21213,52,4063,0.18576,0.24153
68,68,1986,"Rhineland-Palatinate, Saarland",Urban regions,5 rooms,0.163,42,4063,0.14568,0.18045
69,69,1986,Baden-Wuerttemberg,Urban regions,1 room,0.04662,32,4063,0.03395,0.0585
70,70,1986,Baden-Wuerttemberg,Urban regions,2 rooms,0.19512,126,4063,0.16847,0.21971
71,71,1986,Baden-Wuerttemberg,Urban regions,3 rooms,0.34966,280,4063,0.3133,0.38603
72,72,1986,Baden-Wuerttemberg,Urban regions,4 rooms,0.21155,165,4063,0.18953,0.22904
73,73,1986,Baden-Wuerttemberg,Urban regions,5 rooms,0.13139,90,4063,0.11891,0.14209
74,74,1986,Baden-Wuerttemberg,Urban regions,6 rooms,0.06566,44,4063,0.05927,0.07303
75,75,1986,Baden-Wuerttemberg,Rural regions,3 rooms,1.0,40,4063,0.72799,1.23073
76,76,1986,Bavaria,Urban regions,1 room,0.112,36,4063,0.09552,0.12794
77,77,1986,Bavaria,Urban regions,2 rooms,0.2036,83,4063,0.1757,0.23266
78,78,1986,Bavaria,Urban regions,3 rooms,0.3497,149,4063,0.32008,0.38076
79,79,1986,Bavaria,Urban regions,4 rooms,0.23444,106,4063,0.21356,0.2512
80,80,1986,Bavaria,Urban regions,5 rooms,0.10026,44,4063,0.09011,0.11003
81,81,1986,Bavaria,Rural regions,2 rooms,0.13966,35,4063,0.11771,0.16053
82,82,1986,Bavaria,Rural regions,3 rooms,0.41248,131,4063,0.37434,0.449
83,83,1986,Bavaria,Rural regions,4 rooms,0.25682,87,4063,0.235,0.28445
84,84,1986,Bavaria,Rural regions,5 rooms,0.19104,66,4063,0.17824,0.20623
85,85,1986,Berlin,Urban regions,2 rooms,0.46794,66,4063,0.39674,0.52675
86,86,1986,Berlin,Urban regions,3 rooms,0.38178,66,4063,0.34315,0.43405
87,87,1986,Berlin,Urban regions,4 rooms,0.15028,33,4063,0.13099,0.17281
88,88,1987,Hamburg,Urban regions,2 rooms,0.41826,37,3985,0.33241,0.49672
89,89,1987,Hamburg,Urban regions,3 rooms,0.58174,64,3985,0.49857,0.65382
90,90,1987,Lower Saxony,Urban regions,2 rooms,0.30051,42,3985,0.26059,0.34403
91,91,1987,Lower Saxony,Urban regions,3 rooms,0.50252,100,3985,0.45008,0.56348
92,92,1987,Lower Saxony,Urban regions,4 rooms,0.19698,45,3985,0.16701,0.22756
93,93,1987,Lower Saxony,Rural regions,3 rooms,0.42732,68,3985,0.36149,0.47414
94,94,1987,Lower Saxony,Rural regions,4 rooms,0.35906,64,3985,0.33219,0.38811
95,95,1987,Lower Saxony,Rural regions,5 rooms,0.21362,39,3985,0.19298,0.23673
96,96,1987,North Rhine-Westphalia,Urban regions,1 room,0.05998,59,3985,0.05094,0.0682
97,97,1987,North Rhine-Westphalia,Urban regions,2 rooms,0.26104,271,3985,0.24306,0.27932
98,98,1987,North Rhine-Westphalia,Urban regions,3 rooms,0.34491,466,3985,0.32321,0.36488
99,99,1987,North Rhine-Westphalia,Urban regions,4 rooms,0.18878,264,3985,0.1757,0.19914
100,100,1987,North Rhine-Westphalia,Urban regions,5 rooms,0.09861,148,3985,0.09089,0.10639
101,101,1987,North Rhine-Westphalia,Urban regions,6 rooms,0.04667,62,3985,0.04281,0.05149
102,102,1987,Hesse,Urban regions,2 rooms,0.23925,82,3985,0.19259,0.28927
103,103,1987,Hesse,Urban regions,3 rooms,0.39563,152,3985,0.34257,0.44198
104,104,1987,Hesse,Urban regions,4 rooms,0.25513,89,3985,0.22612,0.29185
105,105,1987,Hesse,Urban regions,5 rooms,0.10999,38,3985,0.0924,0.13197
106,106,1987,"Rhineland-Palatinate, Saarland",Urban regions,2 rooms,0.2016,49,3985,0.16685,0.24171
107,107,1987,"Rhineland-Palatinate, Saarland",Urban regions,3 rooms,0.33545,86,3985,0.28985,0.37248
108,108,1987,"Rhineland-Palatinate, Saarland",Urban regions,4 rooms,0.18679,50,3985,0.1675,0.21007
109,109,1987,"Rhineland-Palatinate, Saarland",Urban regions,5 rooms,0.15166,44,3985,0.13583,0.1668
110,110,1987,"Rhineland-Palatinate, Saarland",Urban regions,6 rooms,0.1245,31,3985,0.11522,0.13581
111,111,1987,Baden-Wuerttemberg,Urban regions,2 rooms,0.1952,119,3985,0.16676,0.22169
112,112,1987,Baden-Wuerttemberg,Urban regions,3 rooms,0.37704,290,3985,0.34237,0.41771
113,113,1987,Baden-Wuerttemberg,Urban regions,4 rooms,0.23013,163,3985,0.20907,0.24985
114,114,1987,Baden-Wuerttemberg,Urban regions,5 rooms,0.1282,82,3985,0.11472,0.13823
115,115,1987,Baden-Wuerttemberg,Urban regions,6 rooms,0.06944,45,3985,0.06306,0.07661
116,116,1987,Baden-Wuerttemberg,Rural regions,3 rooms,1.0,41,3985,0.75098,1.27555
117,117,1987,Bavaria,Urban regions,1 room,0.13537,45,3985,0.11879,0.15205
118,118,1987,Bavaria,Urban regions,2 rooms,0.22066,90,3985,0.19693,0.25258
119,119,1987,Bavaria,Urban regions,3 rooms,0.3179,138,3985,0.28944,0.34958
120,120,1987,Bavaria,Urban regions,4 rooms,0.22333,102,3985,0.20437,0.24476
121,121,1987,Bavaria,Urban regions,5 rooms,0.10274,45,3985,0.09275,0.11253
122,122,1987,Bavaria,Rural regions,2 rooms,0.12588,35,3985,0.10246,0.15192
123,123,1987,Bavaria,Rural regions,3 rooms,0.41594,126,3985,0.37965,0.45454
124,124,1987,Bavaria,Rural regions,4 rooms,0.25342,84,3985,0.22955,0.28155
125,125,1987,Bavaria,Rural regions,5 rooms,0.20477,67,3985,0.18547,0.22469
126,126,1987,Berlin,Urban regions,2 rooms,0.46854,62,3985,0.39542,0.52563
127,127,1987,Berlin,Urban regions,3 rooms,0.37721,67,3985,0.33038,0.42761
128,128,1987,Berlin,Urban regions,4 rooms,0.15425,34,3985,0.12735,0.17598
129,129,1988,Hamburg,Urban regions,2 rooms,0.42378,34,3772,0.33935,0.49678
130,130,1988,Hamburg,Urban regions,3 rooms,0.57622,51,3772,0.49608,0.64765
131,131,1988,Lower Saxony,Urban regions,2 rooms,0.31387,44,3772,0.26312,0.34497
132,132,1988,Lower Saxony,Urban regions,3 rooms,0.49834,98,3772,0.4324,0.57089
133,133,1988,Lower Saxony,Urban regions,4 rooms,0.18779,42,3772,0.16342,0.21455
134,134,1988,Lower Saxony,Rural regions,3 rooms,0.44664,65,3772,0.39178,0.4978
135,135,1988,Lower Saxony,Rural regions,4 rooms,0.34257,57,3772,0.30932,0.37701
136,136,1988,Lower Saxony,Rural regions,5 rooms,0.2108,36,3772,0.19286,0.23587
137,137,1988,North Rhine-Westphalia,Urban regions,1 room,0.05863,52,3772,0.04883,0.06798
138,138,1988,North Rhine-Westphalia,Urban regions,2 rooms,0.25718,257,3772,0.23922,0.27619
139,139,1988,North Rhine-Westphalia,Urban regions,3 rooms,0.35418,453,3772,0.33121,0.37876
140,140,1988,North Rhine-Westphalia,Urban regions,4 rooms,0.18476,246,3772,0.17184,0.19785
141,141,1988,North Rhine-Westphalia,Urban regions,5 rooms,0.09354,129,3772,0.08585,0.10156
142,142,1988,North Rhine-Westphalia,Urban regions,6 rooms,0.05172,65,3772,0.04716,0.05596
143,143,1988,Hesse,Urban regions,2 rooms,0.25416,77,3772,0.2074,0.30065
144,144,1988,Hesse,Urban regions,3 rooms,0.39285,144,3772,0.33876,0.44238
145,145,1988,Hesse,Urban regions,4 rooms,0.24964,87,3772,0.21705,0.28106
146,146,1988,Hesse,Urban regions,5 rooms,0.10335,35,3772,0.08227,0.12219
147,147,1988,"Rhineland-Palatinate, Saarland",Urban regions,2 rooms,0.18701,42,3772,0.15344,0.21637
148,148,1988,"Rhineland-Palatinate, Saarland",Urban regions,3 rooms,0.3323,84,3772,0.29665,0.37767
149,149,1988,"Rhineland-Palatinate, Saarland",Urban regions,4 rooms,0.20859,56,3772,0.1827,0.23928
150,150,1988,"Rhineland-Palatinate, Saarland",Urban regions,5 rooms,0.14108,39,3772,0.12374,0.15526
151,151,1988,"Rhineland-Palatinate, Saarland",Urban regions,6 rooms,0.13102,32,3772,0.119,0.14354
152,152,1988,Baden-Wuerttemberg,Urban regions,2 rooms,0.18494,117,3772,0.15721,0.213
153,153,1988,Baden-Wuerttemberg,Urban regions,3 rooms,0.37772,278,3772,0.336,0.423
154,154,1988,Baden-Wuerttemberg,Urban regions,4 rooms,0.22699,156,3772,0.20645,0.24926
155,155,1988,Baden-Wuerttemberg,Urban regions,5 rooms,0.13718,85,3772,0.12424,0.15128
156,156,1988,Baden-Wuerttemberg,Urban regions,6 rooms,0.07318,46,3772,0.06585,0.08095
157,157,1988,Baden-Wuerttemberg,Rural regions,3 rooms,1.0,40,3772,0.78388,1.23985
158,158,1988,Bavaria,Urban regions,1 room,0.12838,42,3772,0.11193,0.14939
159,159,1988,Bavaria,Urban regions,2 rooms,0.21962,84,3772,0.18986,0.2505
160,160,1988,Bavaria,Urban regions,3 rooms,0.34447,146,3772,0.31373,0.38383
161,161,1988,Bavaria,Urban regions,4 rooms,0.21331,92,3772,0.19302,0.23136
162,162,1988,Bavaria,Urban regions,5 rooms,0.09422,41,3772,0.08317,0.10368
163,163,1988,Bavaria,Rural regions,3 rooms,0.47069,120,3772,0.42259,0.51702
164,164,1988,Bavaria,Rural regions,4 rooms,0.28884,81,3772,0.25677,0.32463
165,165,1988,Bavaria,Rural regions,5 rooms,0.24047,64,3772,0.21743,0.26385
166,166,1988,Berlin,Urban regions,2 rooms,0.50844,63,3772,0.44327,0.57671
167,167,1988,Berlin,Urban regions,3 rooms,0.3393,60,3772,0.29523,0.3888
168,168,1988,Berlin,Urban regions,4 rooms,0.15226,32,3772,0.1252,0.17959
169,169,1989,Hamburg,Urban regions,2 rooms,0.44987,36,3708,0.35553,0.53168
170,170,1989,Hamburg,Urban regions,3 rooms,0.55013,47,3708,0.48185,0.63601
171,171,1989,Lower Saxony,Urban regions,2 rooms,0.32309,45,3708,0.28092,0.36488
172,172,1989,Lower Saxony,Urban regions,3 rooms,0.46659,98,3708,0.40192,0.53612
173,173,1989,Lower Saxony,Urban regions,4 rooms,0.21032,44,3708,0.17587,0.24191
174,174,1989,Lower Saxony,Rural regions,3 rooms,0.33479,57,3708,0.29118,0.3796
175,175,1989,Lower Saxony,Rural regions,4 rooms,0.32072,60,3708,0.29268,0.35093
176,176,1989,Lower Saxony,Rural regions,5 rooms,0.18567,36,3708,0.1664,0.20412
177,177,1989,Lower Saxony,Rural regions,6 rooms,0.15882,31,3708,0.13457,0.18086
178,178,1989,North Rhine-Westphalia,Urban regions,1 room,0.0556,48,3708,0.04681,0.06528
179,179,1989,North Rhine-Westphalia,Urban regions,2 rooms,0.26058,253,3708,0.24384,0.27937
180,180,1989,North Rhine-Westphalia,Urban regions,3 rooms,0.34593,429,3708,0.32473,0.3688
181,181,1989,North Rhine-Westphalia,Urban regions,4 rooms,0.18707,240,3708,0.17456,0.2003
182,182,1989,North Rhine-Westphalia,Urban regions,5 rooms,0.09518,126,3708,0.08732,0.10252
183,183,1989,North Rhine-Westphalia,Urban regions,6 rooms,0.05565,70,3708,0.04982,0.06095
184,184,1989,Hesse,Urban regions,2 rooms,0.25749,84,3708,0.21609,0.31203
185,185,1989,Hesse,Urban regions,3 rooms,0.40127,150,3708,0.3526,0.45695
186,186,1989,Hesse,Urban regions,4 rooms,0.24843,89,3708,0.21733,0.28201
187,187,1989,Hesse,Urban regions,5 rooms,0.09281,32,3708,0.07663,0.11219
188,188,1989,"Rhineland-Palatinate, Saarland",Urban regions,2 rooms,0.18274,40,3708,0.14336,0.22526
189,189,1989,"Rhineland-Palatinate, Saarland",Urban regions,3 rooms,0.31328,78,3708,0.27481,0.35354
190,190,1989,"Rhineland-Palatinate, Saarland",Urban regions,4 rooms,0.20978,56,3708,0.18223,0.23658
191,191,1989,"Rhineland-Palatinate, Saarland",Urban regions,5 rooms,0.16457,42,3708,0.14807,0.18334
192,192,1989,"Rhineland-Palatinate, Saarland",Urban regions,6 rooms,0.12962,34,3708,0.11444,0.14515
193,193,1989,Baden-Wuerttemberg,Urban regions,1 room,0.0556,31,3708,0.04036,0.07126
194,194,1989,Baden-Wuerttemberg,Urban regions,2 rooms,0.16136,106,3708,0.13007,0.18524
195,195,1989,Baden-Wuerttemberg,Urban regions,3 rooms,0.35185,259,3708,0.30994,0.39209
196,196,1989,Baden-Wuerttemberg,Urban regions,4 rooms,0.23367,155,3708,0.2108,0.25596
197,197,1989,Baden-Wuerttemberg,Urban regions,5 rooms,0.13039,79,3708,0.11671,0.14542
198,198,1989,Baden-Wuerttemberg,Urban regions,6 rooms,0.06712,43,3708,0.05967,0.07485
199,199,1989,Baden-Wuerttemberg,Rural regions,3 rooms,1.0,36,3708,0.75851,1.25246
200,200,1989,Bavaria,Urban regions,1 room,0.11154,36,3708,0.09467,0.13003
201,201,1989,Bavaria,Urban regions,2 rooms,0.24551,87,3708,0.21787,0.27684
202,202,1989,Bavaria,Urban regions,3 rooms,0.34221,137,3708,0.3038,0.37895
203,203,1989,Bavaria,Urban regions,4 rooms,0.21431,89,3708,0.19407,0.23304
204,204,1989,Bavaria,Urban regions,5 rooms,0.08643,38,3708,0.07618,0.09675
205,205,1989,Bavaria,Rural regions,3 rooms,0.47689,121,3708,0.43227,0.52322
206,206,1989,Bavaria,Rural regions,4 rooms,0.28625,78,3708,0.25265,0.3298
207,207,1989,Bavaria,Rural regions,5 rooms,0.23685,61,3708,0.21603,0.25702
208,208,1989,Berlin,Urban regions,2 rooms,0.57779,65,3708,0.50398,0.641
209,209,1989,Berlin,Urban regions,3 rooms,0.42221,62,3708,0.36816,0.47591
210,210,1990,Hamburg,Urban regions,2 rooms,0.46274,33,5345,0.37683,0.53739
211,211,1990,Hamburg,Urban regions,3 rooms,0.53726,45,5345,0.44214,0.62939
212,212,1990,Lower Saxony,Urban regions,2 rooms,0.28444,41,5345,0.24427,0.32546
213,213,1990,Lower Saxony,Urban regions,3 rooms,0.49757,103,5345,0.43792,0.5587
214,214,1990,Lower Saxony,Urban regions,4 rooms,0.21798,42,5345,0.18915,0.25253
215,215,1990,Lower Saxony,Rural regions,3 rooms,0.42091,62,5345,0.37237,0.48347
216,216,1990,Lower Saxony,Rural regions,4 rooms,0.32503,53,5345,0.29289,0.35565
217,217,1990,Lower Saxony,Rural regions,5 rooms,0.25406,40,5345,0.22185,0.29221
218,218,1990,North Rhine-Westphalia,Urban regions,1 room,0.04849,41,5345,0.03875,0.05765
219,219,1990,North Rhine-Westphalia,Urban regions,2 rooms,0.2652,246,5345,0.24667,0.284
220,220,1990,North Rhine-Westphalia,Urban regions,3 rooms,0.35448,430,5345,0.33245,0.37714
221,221,1990,North Rhine-Westphalia,Urban regions,4 rooms,0.17519,231,5345,0.16126,0.18777
222,222,1990,North Rhine-Westphalia,Urban regions,5 rooms,0.09775,122,5345,0.0897,0.10624
223,223,1990,North Rhine-Westphalia,Urban regions,6 rooms,0.05889,69,5345,0.05412,0.0654
224,224,1990,Hesse,Urban regions,2 rooms,0.27308,76,5345,0.21954,0.32463
225,225,1990,Hesse,Urban regions,3 rooms,0.45318,151,5345,0.39695,0.50402
226,226,1990,Hesse,Urban regions,4 rooms,0.27374,87,5345,0.24389,0.31384
227,227,1990,"Rhineland-Palatinate, Saarland",Urban regions,2 rooms,0.1603,35,5345,0.12635,0.1959
228,228,1990,"Rhineland-Palatinate, Saarland",Urban regions,3 rooms,0.30102,74,5345,0.26634,0.3398
229,229,1990,"Rhineland-Palatinate, Saarland",Urban regions,4 rooms,0.23367,58,5345,0.20501,0.26875
230,230,1990,"Rhineland-Palatinate, Saarland",Urban regions,5 rooms,0.18086,44,5345,0.16011,0.20514
231,231,1990,"Rhineland-Palatinate, Saarland",Urban regions,6 rooms,0.12415,33,5345,0.10875,0.14012
232,232,1990,Baden-Wuerttemberg,Urban regions,1 room,0.06434,36,5345,0.05031,0.08031
233,233,1990,Baden-Wuerttemberg,Urban regions,2 rooms,0.14135,97,5345,0.11892,0.16847
234,234,1990,Baden-Wuerttemberg,Urban regions,3 rooms,0.35901,258,5345,0.32542,0.40032
235,235,1990,Baden-Wuerttemberg,Urban regions,4 rooms,0.23994,163,5345,0.21756,0.26396
236,236,1990,Baden-Wuerttemberg,Urban regions,5 rooms,0.11884,74,5345,0.10578,0.13183
237,237,1990,Baden-Wuerttemberg,Urban regions,6 rooms,0.07652,44,5345,0.06775,0.08588
238,238,1990,Baden-Wuerttemberg,Rural regions,3 rooms,1.0,37,5345,0.75337,1.28891
239,239,1990,Bavaria,Urban regions,1 room,0.12666,38,5345,0.10866,0.14604
240,240,1990,Bavaria,Urban regions,2 rooms,0.24952,89,5345,0.217,0.2859
241,241,1990,Bavaria,Urban regions,3 rooms,0.33792,136,5345,0.30209,0.37295
242,242,1990,Bavaria,Urban regions,4 rooms,0.20268,83,5345,0.18085,0.22034
243,243,1990,Bavaria,Urban regions,5 rooms,0.08322,36,5345,0.07238,0.09379
244,244,1990,Bavaria,Rural regions,2 rooms,0.13891,38,5345,0.1112,0.16569
245,245,1990,Bavaria,Rural regions,3 rooms,0.39804,121,5345,0.34822,0.43382
246,246,1990,Bavaria,Rural regions,4 rooms,0.23564,76,5345,0.20171,0.26482
247,247,1990,Bavaria,Rural regions,5 rooms,0.22741,66,5345,0.20606,0.24852
248,248,1990,Berlin,Urban regions,1 room,0.14854,31,5345,0.13355,0.16783
249,249,1990,Berlin,Urban regions,2 rooms,0.40872,105,5345,0.35132,0.46436
250,250,1990,Berlin,Urban regions,3 rooms,0.30435,121,5345,0.26608,0.33898
251,251,1990,Berlin,Urban regions,4 rooms,0.13838,65,5345,0.11778,0.15911
252,252,1990,Brandenburg,Rural regions,2 rooms,0.22251,44,5345,0.19466,0.2547
253,253,1990,Brandenburg,Rural regions,3 rooms,0.49842,151,5345,0.46059,0.53813
254,254,1990,Brandenburg,Rural regions,4 rooms,0.17928,58,5345,0.15947,0.20087
255,255,1990,Brandenburg,Rural regions,5 rooms,0.09979,33,5345,0.08525,0.12185
256,256,1990,Mecklenburg-Western Pomerania,Rural regions,2 rooms,0.32981,39,5345,0.2763,0.39302
257,257,1990,Mecklenburg-Western Pomerania,Rural regions,3 rooms,0.43874,71,5345,0.40392,0.47905
258,258,1990,Mecklenburg-Western Pomerania,Rural regions,4 rooms,0.23145,40,5345,0.20161,0.26458
259,259,1990,Saxony,Urban regions,2 rooms,0.37513,93,5345,0.34287,0.4145
260,260,1990,Saxony,Urban regions,3 rooms,0.42398,135,5345,0.39303,0.45984
261,261,1990,Saxony,Urban regions,4 rooms,0.2009,80,5345,0.18658,0.21636
262,262,1990,Saxony,Rural regions,2 rooms,0.39856,75,5345,0.35741,0.43966
263,263,1990,Saxony,Rural regions,3 rooms,0.44109,120,5345,0.40713,0.4763
264,264,1990,Saxony,Rural regions,4 rooms,0.16035,56,5345,0.14414,0.17794
265,265,1990,Saxony-Anhalt,Urban regions,3 rooms,1.0,39,5345,0.88072,1.11477
266,266,1990,Saxony-Anhalt,Rural regions,2 rooms,0.30321,55,5345,0.26392,0.33913
267,267,1990,Saxony-Anhalt,Rural regions,3 rooms,0.45837,130,5345,0.42024,0.50248
268,268,1990,Saxony-Anhalt,Rural regions,4 rooms,0.23841,70,5345,0.21109,0.27239
269,269,1990,Thuringa,Urban regions,3 rooms,1.0,44,5345,0.89361,1.12222
270,270,1990,Thuringa,Rural regions,2 rooms,0.34728,48,5345,0.30153,0.39342
271,271,1990,Thuringa,Rural regions,3 rooms,0.42004,82,5345,0.37506,0.47135
272,272,1990,Thuringa,Rural regions,4 rooms,0.23268,52,5345,0.19957,0.27117
273,273,1991,Hamburg,Urban regions,2 rooms,0.4802,33,5229,0.40457,0.55428
274,274,1991,Hamburg,Urban regions,3 rooms,0.5198,45,5229,0.4375,0.60165
275,275,1991,Lower Saxony,Urban regions,2 rooms,0.29697,44,5229,0.24547,0.34394
276,276,1991,Lower Saxony,Urban regions,3 rooms,0.46898,96,5229,0.411,0.53173
277,277,1991,Lower Saxony,Urban regions,4 rooms,0.23405,45,5229,0.20236,0.26853
278,278,1991,Lower Saxony,Rural regions,3 rooms,0.39099,60,5229,0.33258,0.44194
279,279,1991,Lower Saxony,Rural regions,4 rooms,0.34293,56,5229,0.30939,0.38101
280,280,1991,Lower Saxony,Rural regions,5 rooms,0.26608,41,5229,0.23779,0.30151
281,281,1991,North Rhine-Westphalia,Urban regions,1 room,0.04983,47,5229,0.04119,0.05988
282,282,1991,North Rhine-Westphalia,Urban regions,2 rooms,0.27731,255,5229,0.25935,0.29581
283,283,1991,North Rhine-Westphalia,Urban regions,3 rooms,0.34635,441,5229,0.32295,0.37162
284,284,1991,North Rhine-Westphalia,Urban regions,4 rooms,0.1723,229,5229,0.15883,0.18494
285,285,1991,North Rhine-Westphalia,Urban regions,5 rooms,0.09361,120,5229,0.08513,0.10283
286,286,1991,North Rhine-Westphalia,Urban regions,6 rooms,0.0606,73,5229,0.05503,0.06631
287,287,1991,Hesse,Urban regions,2 rooms,0.23238,72,5229,0.18777,0.27903
