,Unnamed: 0,year,hhtyp,sampreg,hgroom,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
111,111,1989,Couple without children,West,2 rooms,0.21653,275,4292,0.19965,0.23165
112,112,1989,Couple without children,West,3 rooms,0.41362,446,4292,0.39561,0.43277
113,113,1989,Couple without children,West,4 rooms,0.21932,228,4292,0.20831,0.23003
114,114,1989,Couple without children,West,5 rooms,0.09279,96,4292,0.086,0.10107
115,115,1989,Couple without children,West,6 rooms,0.05774,55,4292,0.05204,0.06263
116,116,1989,Single parent,West,2 rooms,0.1437,31,4292,0.10163,0.17961
117,117,1989,Single parent,West,3 rooms,0.54038,96,4292,0.46791,0.6031
118,118,1989,Single parent,West,4 rooms,0.31592,53,4292,0.28156,0.36296
119,119,1989,Couple with children,West,2 rooms,0.03366,116,4292,0.02859,0.03915
120,120,1989,Couple with children,West,3 rooms,0.27399,673,4292,0.26034,0.28768
121,121,1989,Couple with children,West,4 rooms,0.29916,545,4292,0.28476,0.31236
122,122,1989,Couple with children,West,5 rooms,0.194,312,4292,0.18536,0.20308
123,123,1989,Couple with children,West,6 rooms,0.11837,186,4292,0.11136,0.12505
124,124,1989,Couple with children,West,7 rooms,0.05114,81,4292,0.0466,0.05563
125,125,1989,Couple with children,West,8 rooms,0.02968,48,4292,0.02677,0.03201
126,126,1989,Other Combinations,West,3 rooms,1.0,39,4292,0.83174,1.20187
127,127,1990,Single-person household,West,1 room,0.14938,163,6159,0.13686,0.16128
128,128,1990,Single-person household,West,2 rooms,0.39568,381,6159,0.38109,0.41008
129,129,1990,Single-person household,West,3 rooms,0.32664,303,6159,0.31631,0.33713
130,130,1990,Single-person household,West,4 rooms,0.08907,87,6159,0.08379,0.09425
131,131,1990,Single-person household,West,5 rooms,0.03923,42,6159,0.0348,0.04396
132,132,1990,Single-person household,East,1 room,0.21681,57,6159,0.20167,0.23176
133,133,1990,Single-person household,East,2 rooms,0.60167,182,6159,0.57303,0.63356
134,134,1990,Single-person household,East,3 rooms,0.18152,60,6159,0.16451,0.1965
135,135,1990,Couple without children,West,2 rooms,0.22924,287,6159,0.21351,0.24441
136,136,1990,Couple without children,West,3 rooms,0.3974,444,6159,0.38201,0.41118
137,137,1990,Couple without children,West,4 rooms,0.22105,232,6159,0.20809,0.232
138,138,1990,Couple without children,West,5 rooms,0.09371,100,6159,0.0873,0.10035
139,139,1990,Couple without children,West,6 rooms,0.05861,59,6159,0.05317,0.06426
140,140,1990,Couple without children,East,2 rooms,0.30436,124,6159,0.28561,0.32219
141,141,1990,Couple without children,East,3 rooms,0.53934,231,6159,0.5199,0.561
142,142,1990,Couple without children,East,4 rooms,0.1563,70,6159,0.14503,0.1711
143,143,1990,Single parent,West,2 rooms,0.139,33,6159,0.10226,0.18032
144,144,1990,Single parent,West,3 rooms,0.41949,87,6159,0.36795,0.46978
145,145,1990,Single parent,West,4 rooms,0.2757,56,6159,0.24204,0.31122
146,146,1990,Single parent,West,5 rooms,0.16582,32,6159,0.14636,0.18591
147,147,1990,Single parent,East,2 rooms,0.37315,33,6159,0.32658,0.43307
148,148,1990,Single parent,East,3 rooms,0.62685,63,6159,0.56207,0.70457
149,149,1990,Couple with children,West,2 rooms,0.03358,109,6159,0.02824,0.03897
150,150,1990,Couple with children,West,3 rooms,0.29748,684,6159,0.28122,0.31585
151,151,1990,Couple with children,West,4 rooms,0.28271,519,6159,0.2695,0.29552
152,152,1990,Couple with children,West,5 rooms,0.19252,297,6159,0.18356,0.20122
153,153,1990,Couple with children,West,6 rooms,0.11615,176,6159,0.11041,0.12274
154,154,1990,Couple with children,West,7 rooms,0.0516,84,6159,0.04678,0.05618
155,155,1990,Couple with children,West,8 rooms,0.02596,43,6159,0.02405,0.02756
156,156,1990,Couple with children,East,2 rooms,0.12109,116,6159,0.11422,0.1284
157,157,1990,Couple with children,East,3 rooms,0.46477,495,6159,0.45199,0.47926
158,158,1990,Couple with children,East,4 rooms,0.26794,309,6159,0.25839,0.2781
159,159,1990,Couple with children,East,5 rooms,0.10699,121,6159,0.10051,0.11452
160,160,1990,Couple with children,East,6 rooms,0.03922,49,6159,0.03535,0.04244
161,161,1990,Other Combinations,West,3 rooms,1.0,31,6159,0.80365,1.21826
162,162,1991,Single-person household,West,1 room,0.13421,149,6047,0.12301,0.14451
163,163,1991,Single-person household,West,2 rooms,0.40806,394,6047,0.39091,0.42361
164,164,1991,Single-person household,West,3 rooms,0.32633,303,6047,0.3133,0.33852
165,165,1991,Single-person household,West,4 rooms,0.09666,96,6047,0.08993,0.10341
166,166,1991,Single-person household,West,5 rooms,0.03473,38,6047,0.0306,0.03863
167,167,1991,Single-person household,East,1 room,0.19543,46,6047,0.17985,0.21134
168,168,1991,Single-person household,East,2 rooms,0.59764,154,6047,0.5694,0.6229
169,169,1991,Single-person household,East,3 rooms,0.20693,61,6047,0.18814,0.22656
170,170,1991,Couple without children,West,1 room,0.01783,31,6047,0.01276,0.02381
171,171,1991,Couple without children,West,2 rooms,0.22179,284,6047,0.20557,0.23739
172,172,1991,Couple without children,West,3 rooms,0.38418,449,6047,0.36761,0.40463
173,173,1991,Couple without children,West,4 rooms,0.21731,235,6047,0.20489,0.22868
174,174,1991,Couple without children,West,5 rooms,0.10045,106,6047,0.09353,0.10741
175,175,1991,Couple without children,West,6 rooms,0.05843,59,6047,0.05324,0.06305
176,176,1991,Couple without children,East,2 rooms,0.29494,113,6047,0.27937,0.31379
177,177,1991,Couple without children,East,3 rooms,0.54663,218,6047,0.52489,0.56851
178,178,1991,Couple without children,East,4 rooms,0.15843,68,6047,0.14895,0.16799
179,179,1991,Single parent,West,2 rooms,0.13387,32,6047,0.09909,0.16704
180,180,1991,Single parent,West,3 rooms,0.38619,87,6047,0.33685,0.43216
181,181,1991,Single parent,West,4 rooms,0.2926,62,6047,0.26052,0.3203
182,182,1991,Single parent,West,5 rooms,0.18734,39,6047,0.16488,0.21126
183,183,1991,Single parent,East,2 rooms,0.43482,31,6047,0.38547,0.48731
184,184,1991,Single parent,East,3 rooms,0.56518,50,6047,0.49713,0.64458
185,185,1991,Couple with children,West,2 rooms,0.04545,135,6047,0.03787,0.05448
186,186,1991,Couple with children,West,3 rooms,0.28199,668,6047,0.26483,0.29814
187,187,1991,Couple with children,West,4 rooms,0.27109,503,6047,0.25764,0.2844
188,188,1991,Couple with children,West,5 rooms,0.19741,303,6047,0.1881,0.20787
189,189,1991,Couple with children,West,6 rooms,0.1237,184,6047,0.1163,0.13121
190,190,1991,Couple with children,West,7 rooms,0.05084,81,6047,0.04678,0.05539
191,191,1991,Couple with children,West,8 rooms,0.02952,47,6047,0.02626,0.03385
192,192,1991,Couple with children,East,2 rooms,0.10502,92,6047,0.09788,0.11334
193,193,1991,Couple with children,East,3 rooms,0.46617,459,6047,0.45139,0.48108
194,194,1991,Couple with children,East,4 rooms,0.27539,299,6047,0.26294,0.28499
195,195,1991,Couple with children,East,5 rooms,0.11121,121,6047,0.10417,0.11818
196,196,1991,Couple with children,East,6 rooms,0.04221,50,6047,0.03878,0.04591
197,197,1992,Single-person household,West,1 room,0.1262,146,6070,0.11364,0.13862
198,198,1992,Single-person household,West,2 rooms,0.40259,393,6070,0.38329,0.41992
199,199,1992,Single-person household,West,3 rooms,0.33267,302,6070,0.31937,0.34666
200,200,1992,Single-person household,West,4 rooms,0.09935,93,6070,0.09203,0.10561
201,201,1992,Single-person household,West,5 rooms,0.03919,42,6070,0.03476,0.04464
202,202,1992,Single-person household,East,1 room,0.21531,56,6070,0.19817,0.23468
203,203,1992,Single-person household,East,2 rooms,0.58752,154,6070,0.56628,0.61181
204,204,1992,Single-person household,East,3 rooms,0.19717,61,6070,0.1787,0.21502
205,205,1992,Couple without children,West,1 room,0.01797,34,6070,0.0116,0.02372
206,206,1992,Couple without children,West,2 rooms,0.2296,300,6070,0.21508,0.24341
207,207,1992,Couple without children,West,3 rooms,0.37453,444,6070,0.35565,0.39454
208,208,1992,Couple without children,West,4 rooms,0.21845,244,6070,0.20582,0.22966
209,209,1992,Couple without children,West,5 rooms,0.09964,106,6070,0.09247,0.10645
210,210,1992,Couple without children,West,6 rooms,0.05981,59,6070,0.05543,0.06463
211,211,1992,Couple without children,East,2 rooms,0.29826,121,6070,0.27765,0.32547
212,212,1992,Couple without children,East,3 rooms,0.52885,218,6070,0.5006,0.55485
213,213,1992,Couple without children,East,4 rooms,0.17289,77,6070,0.15952,0.18956
214,214,1992,Single parent,West,2 rooms,0.18373,44,6070,0.14307,0.23092
215,215,1992,Single parent,West,3 rooms,0.39123,87,6070,0.35086,0.45169
216,216,1992,Single parent,West,4 rooms,0.26429,56,6070,0.23026,0.30389
217,217,1992,Single parent,West,5 rooms,0.16076,35,6070,0.13234,0.19335
218,218,1992,Single parent,East,2 rooms,0.4283,32,6070,0.3836,0.47874
219,219,1992,Single parent,East,3 rooms,0.5717,56,6070,0.5109,0.65163
220,220,1992,Couple with children,West,2 rooms,0.04252,128,6070,0.03535,0.04967
221,221,1992,Couple with children,West,3 rooms,0.28048,663,6070,0.26376,0.3031
222,222,1992,Couple with children,West,4 rooms,0.26988,494,6070,0.25333,0.28676
223,223,1992,Couple with children,West,5 rooms,0.19918,306,6070,0.18962,0.21103
224,224,1992,Couple with children,West,6 rooms,0.12598,189,6070,0.119,0.13346
225,225,1992,Couple with children,West,7 rooms,0.05096,83,6070,0.04628,0.05637
226,226,1992,Couple with children,West,8 rooms,0.03101,49,6070,0.02682,0.03484
227,227,1992,Couple with children,East,2 rooms,0.09891,76,6070,0.09122,0.10976
228,228,1992,Couple with children,East,3 rooms,0.46011,418,6070,0.44279,0.47748
229,229,1992,Couple with children,East,4 rooms,0.28362,281,6070,0.27198,0.29514
230,230,1992,Couple with children,East,5 rooms,0.11231,111,6070,0.10435,0.12023
231,231,1992,Couple with children,East,6 rooms,0.04505,48,6070,0.0405,0.04955
232,232,1992,Other Combinations,West,3 rooms,1.0,33,6070,0.77479,1.22783
233,233,1992,Other Combinations,East,3 rooms,1.0,31,6070,0.82411,1.17457
234,234,1993,Single-person household,West,1 room,0.13656,158,5928,0.12272,0.14932
235,235,1993,Single-person household,West,2 rooms,0.37426,384,5928,0.35601,0.39387
236,236,1993,Single-person household,West,3 rooms,0.33963,333,5928,0.32328,0.35589
237,237,1993,Single-person household,West,4 rooms,0.10806,107,5928,0.10092,0.11504
238,238,1993,Single-person household,West,5 rooms,0.04148,45,5928,0.0363,0.04734
239,239,1993,Single-person household,East,1 room,0.19482,51,5928,0.17054,0.22136
240,240,1993,Single-person household,East,2 rooms,0.59404,157,5928,0.56521,0.62784
241,241,1993,Single-person household,East,3 rooms,0.21114,64,5928,0.18658,0.23437
242,242,1993,Couple without children,West,2 rooms,0.21114,286,5928,0.19211,0.22599
243,243,1993,Couple without children,West,3 rooms,0.38797,455,5928,0.36826,0.4076
244,244,1993,Couple without children,West,4 rooms,0.23206,258,5928,0.21542,0.24466
245,245,1993,Couple without children,West,5 rooms,0.10283,111,5928,0.0946,0.11107
246,246,1993,Couple without children,West,6 rooms,0.066,66,5928,0.05936,0.07293
247,247,1993,Couple without children,East,2 rooms,0.29313,128,5928,0.27449,0.31344
248,248,1993,Couple without children,East,3 rooms,0.53815,222,5928,0.51248,0.56592
249,249,1993,Couple without children,East,4 rooms,0.16872,75,5928,0.15445,0.18347
250,250,1993,Single parent,West,2 rooms,0.23195,49,5928,0.18018,0.27895
251,251,1993,Single parent,West,3 rooms,0.47779,82,5928,0.42277,0.54454
252,252,1993,Single parent,West,4 rooms,0.29026,54,5928,0.25169,0.3326
253,253,1993,Single parent,East,3 rooms,1.0,57,5928,0.8727,1.13045
254,254,1993,Couple with children,West,2 rooms,0.0385,128,5928,0.03308,0.04647
255,255,1993,Couple with children,West,3 rooms,0.27852,642,5928,0.26378,0.29984
256,256,1993,Couple with children,West,4 rooms,0.27034,488,5928,0.25555,0.28743
257,257,1993,Couple with children,West,5 rooms,0.20918,310,5928,0.19394,0.22149
258,258,1993,Couple with children,West,6 rooms,0.11172,161,5928,0.10337,0.11964
259,259,1993,Couple with children,West,7 rooms,0.06286,88,5928,0.05764,0.06908
260,260,1993,Couple with children,West,8 rooms,0.02888,51,5928,0.02525,0.03238
261,261,1993,Couple with children,East,2 rooms,0.10249,65,5928,0.09009,0.11749
262,262,1993,Couple with children,East,3 rooms,0.4619,399,5928,0.44411,0.48046
263,263,1993,Couple with children,East,4 rooms,0.26342,250,5928,0.25283,0.27534
264,264,1993,Couple with children,East,5 rooms,0.12436,115,5928,0.11435,0.13502
265,265,1993,Couple with children,East,6 rooms,0.04783,44,5928,0.0435,0.05417
266,266,1993,Other Combinations,West,3 rooms,1.0,45,5928,0.80549,1.233
267,267,1994,Single-person household,West,1 room,0.12566,145,5860,0.11459,0.13711
268,268,1994,Single-person household,West,2 rooms,0.38938,394,5860,0.37243,0.4083
269,269,1994,Single-person household,West,3 rooms,0.32666,320,5860,0.31069,0.34448
270,270,1994,Single-person household,West,4 rooms,0.1082,101,5860,0.09981,0.11654
271,271,1994,Single-person household,West,5 rooms,0.0501,52,5860,0.04384,0.05688
272,272,1994,Single-person household,East,1 room,0.2108,58,5860,0.1852,0.23434
273,273,1994,Single-person household,East,2 rooms,0.56366,158,5860,0.53115,0.59163
274,274,1994,Single-person household,East,3 rooms,0.22554,70,5860,0.20118,0.25149
275,275,1994,Couple without children,West,2 rooms,0.21304,300,5860,0.19773,0.23131
276,276,1994,Couple without children,West,3 rooms,0.36869,444,5860,0.3497,0.39062
277,277,1994,Couple without children,West,4 rooms,0.24412,282,5860,0.23032,0.26219
278,278,1994,Couple without children,West,5 rooms,0.10857,116,5860,0.09987,0.11896
279,279,1994,Couple without children,West,6 rooms,0.06558,67,5860,0.0571,0.07269
280,280,1994,Couple without children,East,2 rooms,0.27691,124,5860,0.25257,0.29887
281,281,1994,Couple without children,East,3 rooms,0.54942,230,5860,0.52347,0.57751
282,282,1994,Couple without children,East,4 rooms,0.17367,82,5860,0.15947,0.1972
283,283,1994,Single parent,West,2 rooms,0.28871,53,5860,0.22817,0.35967
284,284,1994,Single parent,West,3 rooms,0.40244,76,5860,0.34951,0.4496
285,285,1994,Single parent,West,4 rooms,0.30885,56,5860,0.2636,0.36121
286,286,1994,Single parent,East,3 rooms,1.0,54,5860,0.89966,1.13471
287,287,1994,Couple with children,West,2 rooms,0.0397,119,5860,0.03313,0.04677
288,288,1994,Couple with children,West,3 rooms,0.27874,630,5860,0.25885,0.29706
289,289,1994,Couple with children,West,4 rooms,0.25909,461,5860,0.24436,0.2767
290,290,1994,Couple with children,West,5 rooms,0.20142,293,5860,0.18975,0.21438
291,291,1994,Couple with children,West,6 rooms,0.11528,165,5860,0.10729,0.12273
292,292,1994,Couple with children,West,7 rooms,0.07176,95,5860,0.06442,0.08347
293,293,1994,Couple with children,West,8 rooms,0.03402,51,5860,0.02905,0.03899
294,294,1994,Couple with children,East,2 rooms,0.09425,62,5860,0.07783,0.10952
295,295,1994,Couple with children,East,3 rooms,0.44807,358,5860,0.42805,0.4699
296,296,1994,Couple with children,East,4 rooms,0.28496,251,5860,0.27103,0.30203
297,297,1994,Couple with children,East,5 rooms,0.12004,107,5860,0.1112,0.1304
298,298,1994,Couple with children,East,6 rooms,0.05267,48,5860,0.04633,0.05937
299,299,1994,Other Combinations,West,3 rooms,1.0,38,5860,0.78709,1.20863
300,300,1995,Single-person household,West,1 room,0.13224,160,6065,0.12003,0.14607
301,301,1995,Single-person household,West,2 rooms,0.39813,426,6065,0.37743,0.42091
302,302,1995,Single-person household,West,3 rooms,0.30907,304,6065,0.29543,0.32757
303,303,1995,Single-person household,West,4 rooms,0.1137,106,6065,0.10473,0.12273
304,304,1995,Single-person household,West,5 rooms,0.04685,47,6065,0.04051,0.05411
305,305,1995,Single-person household,East,1 room,0.22722,66,6065,0.19668,0.25526
306,306,1995,Single-person household,East,2 rooms,0.52718,152,6065,0.49757,0.55925
307,307,1995,Single-person household,East,3 rooms,0.2456,78,6065,0.22129,0.26843
308,308,1995,Couple without children,West,2 rooms,0.21202,320,6065,0.19644,0.23088
309,309,1995,Couple without children,West,3 rooms,0.36108,454,6065,0.34248,0.37968
310,310,1995,Couple without children,West,4 rooms,0.23471,282,6065,0.21805,0.25184
311,311,1995,Couple without children,West,5 rooms,0.11534,125,6065,0.10698,0.12681
312,312,1995,Couple without children,West,6 rooms,0.07686,80,6065,0.06793,0.08759
313,313,1995,Couple without children,East,2 rooms,0.265,127,6065,0.24189,0.29143
314,314,1995,Couple without children,East,3 rooms,0.47866,230,6065,0.45558,0.50669
315,315,1995,Couple without children,East,4 rooms,0.18924,86,6065,0.16962,0.20671
316,316,1995,Couple without children,East,5 rooms,0.0671,31,6065,0.05661,0.07649
317,317,1995,Single parent,West,2 rooms,0.25777,52,6065,0.19491,0.31737
318,318,1995,Single parent,West,3 rooms,0.43403,86,6065,0.38104,0.49507
319,319,1995,Single parent,West,4 rooms,0.3082,53,6065,0.26439,0.36613
320,320,1995,Single parent,East,3 rooms,1.0,55,6065,0.8932,1.12812
321,321,1995,Couple with children,West,2 rooms,0.04171,127,6065,0.03568,0.0489
322,322,1995,Couple with children,West,3 rooms,0.29307,703,6065,0.27628,0.3151
323,323,1995,Couple with children,West,4 rooms,0.25372,488,6065,0.23932,0.26914
324,324,1995,Couple with children,West,5 rooms,0.18885,287,6065,0.17519,0.20202
325,325,1995,Couple with children,West,6 rooms,0.12182,180,6065,0.11344,0.13064
326,326,1995,Couple with children,West,7 rooms,0.06628,94,6065,0.05757,0.07589
327,327,1995,Couple with children,West,8 rooms,0.03454,55,6065,0.02908,0.04137
328,328,1995,Couple with children,East,2 rooms,0.08567,55,6065,0.07247,0.09978
329,329,1995,Couple with children,East,3 rooms,0.44233,327,6065,0.4182,0.46611
330,330,1995,Couple with children,East,4 rooms,0.28477,236,6065,0.26841,0.30139
331,331,1995,Couple with children,East,5 rooms,0.13152,111,6065,0.1212,0.14555
332,332,1995,Couple with children,East,6 rooms,0.0557,49,6065,0.04918,0.06095
333,333,1995,Other Combinations,West,3 rooms,1.0,33,6065,0.73137,1.32095
334,334,1996,Single-person household,West,1 room,0.12184,150,6036,0.10915,0.13442
335,335,1996,Single-person household,West,2 rooms,0.41132,441,6036,0.38668,0.43434
336,336,1996,Single-person household,West,3 rooms,0.30406,299,6036,0.28396,0.32288
337,337,1996,Single-person household,West,4 rooms,0.11765,118,6036,0.10787,0.12771
338,338,1996,Single-person household,West,5 rooms,0.04514,45,6036,0.03798,0.05186
339,339,1996,Single-person household,East,1 room,0.22106,69,6036,0.1986,0.24316
340,340,1996,Single-person household,East,2 rooms,0.53157,157,6036,0.49994,0.55917
