year,migback,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Indirect migration background,Permanent job,0.10236,195,289,0.06735,0.13737
1996,Indirect migration background,Temporary job,0.05945,94,289,0.03214,0.08675
1997,No migration background,Permanent job,0.34467,4457,5166,0.33171,0.35763
1997,No migration background,Temporary job,0.04992,709,5166,0.04398,0.05586
1997,Direct migration background,Permanent job,0.39209,1117,1242,0.36493,0.41925
1997,Direct migration background,Temporary job,0.05450,125,1242,0.04187,0.06713
1997,Indirect migration background,Permanent job,0.11350,208,330,0.07922,0.14777
1997,Indirect migration background,Temporary job,0.08864,122,330,0.05793,0.11935
1998,No migration background,Permanent job,0.34781,5094,5864,0.33562,0.36001
1998,No migration background,Temporary job,0.04884,770,5864,0.04332,0.05436
1998,Direct migration background,Permanent job,0.40194,1063,1201,0.37420,0.42969
1998,Direct migration background,Temporary job,0.06075,138,1201,0.04723,0.07426
1998,Indirect migration background,Permanent job,0.11679,212,332,0.08219,0.15139
1998,Indirect migration background,Temporary job,0.08132,120,332,0.05187,0.11076
1999,No migration background,Permanent job,0.35495,5000,5846,0.34268,0.36721
1999,No migration background,Temporary job,0.05384,846,5846,0.04805,0.05963
1999,Direct migration background,Permanent job,0.41098,982,1110,0.38202,0.43993
1999,Direct migration background,Temporary job,0.06188,128,1110,0.04770,0.07606
1999,Indirect migration background,Permanent job,0.13828,235,358,0.10247,0.17409
1999,Indirect migration background,Temporary job,0.08376,123,358,0.05502,0.11250
2000,No migration background,Permanent job,0.33604,8344,9676,0.32663,0.34545
2000,No migration background,Temporary job,0.05089,1332,9676,0.04652,0.05527
2000,Direct migration background,Permanent job,0.37264,1370,1573,0.34874,0.39654
2000,Direct migration background,Temporary job,0.06410,203,1573,0.05199,0.07621
2000,Indirect migration background,Permanent job,0.14499,300,431,0.11171,0.17827
2000,Indirect migration background,Temporary job,0.06153,131,431,0.03881,0.08424
2001,No migration background,Permanent job,0.33754,7597,8792,0.32765,0.34742
2001,No migration background,Temporary job,0.04876,1195,8792,0.04426,0.05326
2001,Direct migration background,Permanent job,0.37060,1237,1416,0.34544,0.39577
2001,Direct migration background,Temporary job,0.06775,179,1416,0.05466,0.08085
2001,Indirect migration background,Permanent job,0.14468,287,418,0.11092,0.17844
2001,Indirect migration background,Temporary job,0.06734,131,418,0.04328,0.09139
2002,No migration background,Permanent job,0.33095,8223,9441,0.32146,0.34044
2002,No migration background,Temporary job,0.04769,1218,9441,0.04339,0.05198
2002,Direct migration background,Permanent job,0.35858,1140,1309,0.33259,0.38457
2002,Direct migration background,Temporary job,0.07090,169,1309,0.05699,0.08481
2002,Indirect migration background,Permanent job,0.12706,279,405,0.09458,0.15954
2002,Indirect migration background,Temporary job,0.07130,126,405,0.04620,0.09639
2003,No migration background,Permanent job,0.32449,7682,8844,0.31473,0.33425
2003,No migration background,Temporary job,0.04746,1162,8844,0.04303,0.05189
2003,Direct migration background,Permanent job,0.34996,1041,1200,0.32296,0.37695
2003,Direct migration background,Temporary job,0.06486,159,1200,0.05092,0.07880
2003,Indirect migration background,Permanent job,0.14287,290,409,0.10891,0.17683
2003,Indirect migration background,Temporary job,0.06621,119,409,0.04208,0.09034
2004,No migration background,Permanent job,0.31970,7354,8553,0.30981,0.32958
2004,No migration background,Temporary job,0.05087,1199,8553,0.04622,0.05553
2004,Direct migration background,Permanent job,0.34951,996,1114,0.32150,0.37752
2004,Direct migration background,Temporary job,0.05420,118,1114,0.04090,0.06750
2004,Indirect migration background,Permanent job,0.14189,288,407,0.10794,0.17583
2004,Indirect migration background,Temporary job,0.07676,119,407,0.05086,0.10265
2005,No migration background,Permanent job,0.33339,7217,8272,0.32323,0.34355
2005,No migration background,Temporary job,0.05116,1055,8272,0.04641,0.05591
2005,Direct migration background,Permanent job,0.36078,938,1043,0.33162,0.38994
2005,Direct migration background,Temporary job,0.05619,105,1043,0.04221,0.07018
2005,Indirect migration background,Permanent job,0.16120,295,412,0.12565,0.19675
2005,Indirect migration background,Temporary job,0.07297,117,412,0.04783,0.09812
2006,No migration background,Permanent job,0.32798,7573,8718,0.31812,0.33783
2006,No migration background,Temporary job,0.05361,1145,8718,0.04888,0.05834
2006,Direct migration background,Permanent job,0.35588,928,1056,0.32699,0.38477
2006,Direct migration background,Temporary job,0.05888,128,1056,0.04468,0.07309
2006,Indirect migration background,Permanent job,0.15522,285,418,0.12046,0.18998
2006,Indirect migration background,Temporary job,0.08054,133,418,0.05442,0.10666
2007,No migration background,Permanent job,0.33708,7222,8357,0.32695,0.34722
2007,No migration background,Temporary job,0.05698,1135,8357,0.05201,0.06195
2007,Direct migration background,Permanent job,0.35260,816,945,0.32212,0.38308
2007,Direct migration background,Temporary job,0.06293,129,945,0.04744,0.07842
2007,Indirect migration background,Permanent job,0.18461,306,442,0.14840,0.22082
2007,Indirect migration background,Temporary job,0.08194,136,442,0.05634,0.10754
2008,No migration background,Permanent job,0.34698,6930,8045,0.33658,0.35738
2008,No migration background,Temporary job,0.06108,1115,8045,0.05585,0.06631
2008,Direct migration background,Permanent job,0.38503,762,882,0.35290,0.41717
2008,Direct migration background,Temporary job,0.06755,120,882,0.05097,0.08412
2008,Indirect migration background,Permanent job,0.21905,318,444,0.18054,0.25757
2008,Indirect migration background,Temporary job,0.08160,126,444,0.05611,0.10710
2009,No migration background,Permanent job,0.34848,6487,7558,0.33773,0.35922
2009,No migration background,Temporary job,0.06109,1071,7558,0.05569,0.06649
2009,Direct migration background,Permanent job,0.37550,650,746,0.34073,0.41028
2009,Direct migration background,Temporary job,0.06153,96,746,0.04427,0.07878
2009,Indirect migration background,Permanent job,0.24716,302,420,0.20585,0.28846
2009,Indirect migration background,Temporary job,0.09456,118,420,0.06654,0.12257
2010,No migration background,Permanent job,0.35995,8629,10107,0.35059,0.36931
2010,No migration background,Temporary job,0.06430,1478,10107,0.05951,0.06908
2010,Direct migration background,Permanent job,0.36419,1087,1305,0.33807,0.39031
2010,Direct migration background,Temporary job,0.07086,218,1305,0.05694,0.08479
2010,Indirect migration background,Permanent job,0.20030,437,585,0.16784,0.23276
2010,Indirect migration background,Temporary job,0.07836,148,585,0.05657,0.10016
2011,No migration background,Permanent job,0.35720,10569,12303,0.34874,0.36567
2011,No migration background,Temporary job,0.06391,1734,12303,0.05959,0.06823
2011,Direct migration background,Permanent job,0.36967,1290,1552,0.34564,0.39369
2011,Direct migration background,Temporary job,0.07100,262,1552,0.05822,0.08379
2011,Indirect migration background,Permanent job,0.20195,552,726,0.17273,0.23117
2011,Indirect migration background,Temporary job,0.08602,174,726,0.06561,0.10643
2012,No migration background,Permanent job,0.35852,10303,12080,0.34997,0.36708
2012,No migration background,Temporary job,0.06317,1777,12080,0.05884,0.06751
2012,Direct migration background,Permanent job,0.40584,1336,1627,0.38197,0.42971
2012,Direct migration background,Temporary job,0.08025,291,1627,0.06704,0.09345
2012,Indirect migration background,Permanent job,0.20012,541,726,0.17099,0.22924
2012,Indirect migration background,Temporary job,0.08621,185,726,0.06578,0.10664
2013,No migration background,Permanent job,0.35291,9786,11543,0.34419,0.36163
2013,No migration background,Temporary job,0.06366,1757,11543,0.05920,0.06811
2013,Direct migration background,Permanent job,0.41326,2844,3608,0.39719,0.42933
2013,Direct migration background,Temporary job,0.09167,764,3608,0.08225,0.10108
2013,Indirect migration background,Permanent job,0.19830,813,1174,0.17549,0.22112
2013,Indirect migration background,Temporary job,0.08436,361,1174,0.06845,0.10026
2014,No migration background,Permanent job,0.35625,8895,10480,0.34708,0.36542
2014,No migration background,Temporary job,0.06657,1585,10480,0.06180,0.07134
2014,Direct migration background,Permanent job,0.40253,2344,2918,0.38473,0.42033
2014,Direct migration background,Temporary job,0.09421,574,2918,0.08361,0.10481
2014,Indirect migration background,Permanent job,0.20750,716,1032,0.18275,0.23225
2014,Indirect migration background,Temporary job,0.09465,316,1032,0.07678,0.11251
2015,No migration background,Permanent job,0.36359,8502,10032,0.35418,0.37300
2015,No migration background,Temporary job,0.06548,1530,10032,0.06064,0.07032
2015,Direct migration background,Permanent job,0.42370,2674,3420,0.40714,0.44027
2015,Direct migration background,Temporary job,0.09916,746,3420,0.08914,0.10918
2015,Indirect migration background,Permanent job,0.20964,660,945,0.18367,0.23561
2015,Indirect migration background,Temporary job,0.09483,285,945,0.07614,0.11352
2016,No migration background,Permanent job,0.36414,7904,9335,0.35438,0.37391
2016,No migration background,Temporary job,0.06792,1431,9335,0.06282,0.07303
2016,Direct migration background,Permanent job,0.40396,2336,3153,0.38683,0.42109
2016,Direct migration background,Temporary job,0.09987,817,3153,0.08940,0.11034
2016,Indirect migration background,Permanent job,0.22415,646,918,0.19715,0.25114
2016,Indirect migration background,Temporary job,0.09414,272,918,0.07524,0.11304
2017,No migration background,Permanent job,0.37515,9429,11072,0.36613,0.38417
2017,No migration background,Temporary job,0.06730,1643,11072,0.06263,0.07197
2017,Direct migration background,Permanent job,0.40576,2382,3254,0.38889,0.42264
2017,Direct migration background,Temporary job,0.09392,872,3254,0.08389,0.10394
2017,Indirect migration background,Permanent job,0.22567,706,999,0.19973,0.25160
2017,Indirect migration background,Temporary job,0.09227,293,999,0.07431,0.11023
2018,No migration background,Permanent job,0.38501,9101,10612,0.37575,0.39427
2018,No migration background,Temporary job,0.06323,1511,10612,0.05860,0.06786
2018,Direct migration background,Permanent job,0.41368,2382,3442,0.39722,0.43013
2018,Direct migration background,Temporary job,0.10494,1060,3442,0.09470,0.11518
2018,Indirect migration background,Permanent job,0.24455,707,1016,0.21811,0.27099
2018,Indirect migration background,Temporary job,0.10447,309,1016,0.08565,0.12329
2019,No migration background,Permanent job,0.39108,8908,10336,0.38167,0.40049
2019,No migration background,Temporary job,0.06148,1428,10336,0.05685,0.06611
2019,Direct migration background,Permanent job,0.41900,2204,3281,0.40212,0.43589
2019,Direct migration background,Temporary job,0.10423,1077,3281,0.09377,0.11468
2019,Indirect migration background,Permanent job,0.24226,682,959,0.21513,0.26940
2019,Indirect migration background,Temporary job,0.09461,277,959,0.07607,0.11314
2020,No migration background,Permanent job,0.39324,8357,9641,0.38349,0.40300
2020,No migration background,Temporary job,0.05824,1284,9641,0.05357,0.06292
2020,Direct migration background,Permanent job,0.42186,3307,4952,0.40811,0.43562
2020,Direct migration background,Temporary job,0.10196,1645,4952,0.09353,0.11039
2020,Indirect migration background,Permanent job,0.23604,690,948,0.20900,0.26309
2020,Indirect migration background,Temporary job,0.08209,258,948,0.06461,0.09958
2021,No migration background,Permanent job,0.39773,6070,6904,0.38618,0.40928
2021,No migration background,Temporary job,0.05314,834,6904,0.04785,0.05843
2021,Direct migration background,Permanent job,0.42783,1992,2707,0.40919,0.44647
2021,Direct migration background,Temporary job,0.10427,715,2707,0.09276,0.11579
2021,Indirect migration background,Permanent job,0.25169,438,591,0.21667,0.28671
2021,Indirect migration background,Temporary job,0.06295,153,591,0.04336,0.08255
