year,regtyp,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Rural regions,No,0.92222,2030,2197,0.91102,0.93343
1998,Urban regions,Yes,0.05270,278,4913,0.04646,0.05895
1998,Urban regions,No,0.94455,4635,4913,0.93815,0.95095
1998,Rural regions,Yes,0.06821,181,2490,0.05830,0.07811
1998,Rural regions,No,0.92980,2309,2490,0.91976,0.93983
1999,Urban regions,Yes,0.04967,250,4694,0.04345,0.05589
1999,Urban regions,No,0.94378,4444,4694,0.93719,0.95037
1999,Rural regions,Yes,0.07387,195,2415,0.06344,0.08430
1999,Rural regions,No,0.91931,2220,2415,0.90844,0.93017
2000,Urban regions,Yes,0.04367,388,8585,0.03935,0.04799
2000,Urban regions,No,0.95464,8197,8585,0.95024,0.95904
2000,Rural regions,Yes,0.06338,289,4342,0.05613,0.07063
2000,Rural regions,No,0.93411,4053,4342,0.92673,0.94149
2001,Urban regions,Yes,0.05140,414,7758,0.04648,0.05631
2001,Urban regions,No,0.94502,7344,7758,0.93995,0.95009
2001,Rural regions,Yes,0.06677,278,3890,0.05892,0.07462
2001,Rural regions,No,0.93116,3612,3890,0.92320,0.93912
2002,Urban regions,Yes,0.04960,378,8232,0.04491,0.05429
2002,Urban regions,No,0.94664,7854,8232,0.94178,0.95150
2002,Rural regions,Yes,0.06619,251,3956,0.05844,0.07393
2002,Rural regions,No,0.93279,3705,3956,0.92499,0.94060
2003,Urban regions,Yes,0.05550,395,7961,0.05047,0.06053
2003,Urban regions,No,0.94097,7566,7961,0.93580,0.94615
2003,Rural regions,Yes,0.06901,262,3820,0.06097,0.07705
2003,Rural regions,No,0.92991,3558,3820,0.92181,0.93800
2004,Urban regions,Yes,0.06205,413,7766,0.05669,0.06742
2004,Urban regions,No,0.93536,7353,7766,0.92989,0.94083
2004,Rural regions,Yes,0.07729,293,3754,0.06875,0.08584
2004,Rural regions,No,0.92091,3461,3754,0.91228,0.92955
2005,Urban regions,Yes,0.06565,401,7538,0.06006,0.07124
2005,Urban regions,No,0.93132,7137,7538,0.92561,0.93703
2005,Rural regions,Yes,0.08072,281,3640,0.07187,0.08958
2005,Rural regions,No,0.91710,3359,3640,0.90814,0.92606
2006,Urban regions,Yes,0.04664,332,8151,0.04207,0.05122
2006,Urban regions,No,0.95015,7819,8151,0.94542,0.95487
2006,Rural regions,Yes,0.05747,228,4087,0.05034,0.06461
2006,Rural regions,No,0.93850,3859,4087,0.93113,0.94586
2007,Urban regions,Yes,0.04253,270,7591,0.03799,0.04707
2007,Urban regions,No,0.95373,7321,7591,0.94900,0.95846
2007,Rural regions,Yes,0.05420,202,3835,0.04703,0.06136
2007,Rural regions,No,0.94344,3633,3835,0.93613,0.95075
2008,Urban regions,Yes,0.03906,241,7189,0.03458,0.04354
2008,Urban regions,No,0.96054,6948,7189,0.95604,0.96504
2008,Rural regions,Yes,0.04514,162,3631,0.03839,0.05190
2008,Rural regions,No,0.95470,3469,3631,0.94794,0.96147
2009,Urban regions,Yes,0.03687,223,6647,0.03234,0.04140
2009,Urban regions,No,0.95150,6424,6647,0.94633,0.95666
2009,Rural regions,Yes,0.04039,151,3451,0.03382,0.04695
2009,Rural regions,No,0.94708,3300,3451,0.93961,0.95455
2010,Urban regions,Yes,0.03511,465,9085,0.03132,0.03889
2010,Urban regions,No,0.96464,8620,9085,0.96084,0.96844
2010,Rural regions,Yes,0.04118,291,4708,0.03551,0.04686
2010,Rural regions,No,0.95634,4417,4708,0.95050,0.96217
2011,Urban regions,Yes,0.03370,611,10570,0.03026,0.03714
2011,Urban regions,No,0.94324,9959,10570,0.93883,0.94765
2011,Rural regions,Yes,0.03589,398,5747,0.03108,0.04070
2011,Rural regions,No,0.94072,5349,5747,0.93461,0.94682
2012,Urban regions,Yes,0.03028,533,10251,0.02696,0.03360
2012,Urban regions,No,0.94609,9718,10251,0.94171,0.95046
2012,Rural regions,Yes,0.03619,383,5727,0.03136,0.04103
2012,Rural regions,No,0.93613,5344,5727,0.92979,0.94246
2013,Urban regions,Yes,0.02548,510,11644,0.02261,0.02834
2013,Urban regions,No,0.95155,11134,11644,0.94765,0.95545
2013,Rural regions,Yes,0.03621,362,5898,0.03145,0.04098
2013,Rural regions,No,0.93722,5536,5898,0.93102,0.94341
2014,Urban regions,Yes,0.02645,426,10327,0.02336,0.02955
2014,Urban regions,No,0.96362,9901,10327,0.96001,0.96723
2014,Rural regions,Yes,0.03111,273,5373,0.02647,0.03575
2014,Rural regions,No,0.95395,5100,5373,0.94835,0.95956
2015,Urban regions,Yes,0.02231,339,10158,0.01943,0.02518
2015,Urban regions,No,0.95043,9819,10158,0.94621,0.95465
2015,Rural regions,Yes,0.02536,220,5218,0.02109,0.02962
2015,Rural regions,No,0.92839,4998,5218,0.92139,0.93538
2016,Urban regions,Yes,0.02131,290,9296,0.01837,0.02424
2016,Urban regions,No,0.96302,9006,9296,0.95918,0.96685
2016,Rural regions,Yes,0.02429,180,4855,0.01996,0.02862
2016,Rural regions,No,0.94708,4675,4855,0.94078,0.95338
2017,Urban regions,Yes,0.02040,365,11423,0.01781,0.02299
2017,Urban regions,No,0.96693,11058,11423,0.96365,0.97021
2017,Rural regions,Yes,0.02421,235,5920,0.02030,0.02813
2017,Rural regions,No,0.96179,5685,5920,0.95690,0.96667
2018,Urban regions,Yes,0.02158,574,11848,0.01896,0.02419
2018,Urban regions,No,0.97200,11274,11848,0.96903,0.97497
2018,Rural regions,Yes,0.02569,302,5888,0.02165,0.02974
2018,Rural regions,No,0.95865,5586,5888,0.95357,0.96374
2019,Urban regions,Yes,0.02292,379,11911,0.02023,0.02561
2019,Urban regions,No,0.96713,11532,11911,0.96393,0.97034
2019,Rural regions,Yes,0.02866,232,5939,0.02442,0.03291
2019,Rural regions,No,0.96322,5707,5939,0.95844,0.96801
2020,Urban regions,Yes,0.02056,414,13217,0.01814,0.02298
2020,Urban regions,No,0.95862,12803,13217,0.95522,0.96202
2020,Rural regions,Yes,0.02164,178,5864,0.01792,0.02537
2020,Rural regions,No,0.96262,5686,5864,0.95776,0.96747
2021,Urban regions,Yes,0.02015,328,8558,0.01717,0.02313
2021,Urban regions,No,0.96989,8230,8558,0.96627,0.97351
2021,Rural regions,Yes,0.01836,113,3914,0.01416,0.02257
2021,Rural regions,No,0.97289,3801,3914,0.96780,0.97798
2022,Urban regions,Yes,0.01795,344,13951,0.01575,0.02015
2022,Urban regions,No,0.96488,13607,13951,0.96182,0.96793
2022,Rural regions,Yes,0.02133,155,6221,0.01774,0.02492
2022,Rural regions,No,0.95976,6066,6221,0.95487,0.96464
