year,rentown,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Tenant,Yes,0.05910,910,8756,0.05416,0.06404
2011,Tenant,No,0.92071,7846,8756,0.91505,0.92637
2012,Owner,Yes,0.00536,100,7440,0.00370,0.00702
2012,Owner,No,0.97105,7340,7440,0.96724,0.97486
2012,Tenant,Yes,0.05459,816,8538,0.04977,0.05941
2012,Tenant,No,0.91936,7722,8538,0.91359,0.92514
2013,Owner,Yes,0.00377,81,7548,0.00239,0.00516
2013,Owner,No,0.97151,7467,7548,0.96775,0.97526
2013,Tenant,Yes,0.04991,791,9994,0.04564,0.05418
2013,Tenant,No,0.92646,9203,9994,0.92134,0.93157
2014,Owner,Yes,0.00338,62,6982,0.00202,0.00475
2014,Owner,No,0.98290,6920,6982,0.97986,0.98594
2014,Tenant,Yes,0.04836,637,8718,0.04386,0.05286
2014,Tenant,No,0.94192,8081,8718,0.93702,0.94683
2015,Owner,Yes,0.00220,42,6543,0.00107,0.00334
2015,Owner,No,0.96424,6501,6543,0.95974,0.96874
2015,Tenant,Yes,0.04099,517,8833,0.03685,0.04512
2015,Tenant,No,0.92589,8316,8833,0.92042,0.93135
2016,Owner,Yes,0.00181,34,6208,0.00075,0.00287
2016,Owner,No,0.98074,6174,6208,0.97732,0.98416
2016,Tenant,Yes,0.04003,436,7942,0.03572,0.04434
2016,Tenant,No,0.94791,7506,7942,0.94302,0.95280
2017,Owner,Yes,0.00228,40,6994,0.00116,0.00340
2017,Owner,No,0.98614,6954,6994,0.98340,0.98888
2017,Tenant,Yes,0.03829,560,10349,0.03459,0.04198
2017,Tenant,No,0.95035,9789,10349,0.94616,0.95453
2018,Owner,Yes,0.00220,40,6702,0.00108,0.00332
2018,Owner,No,0.98763,6662,6702,0.98498,0.99027
2018,Tenant,Yes,0.04077,836,11034,0.03708,0.04446
2018,Tenant,No,0.95073,10198,11034,0.94669,0.95476
2019,Owner,Yes,0.00362,33,7824,0.00229,0.00495
2019,Owner,No,0.98642,7791,7824,0.98386,0.98899
2019,Tenant,Yes,0.04336,589,10492,0.03946,0.04725
2019,Tenant,No,0.94810,9903,10492,0.94385,0.95234
2020,Owner,No,0.97699,6835,6835,0.97343,0.98054
2020,Tenant,Yes,0.03666,563,12217,0.03332,0.03999
2020,Tenant,No,0.94500,11654,12217,0.94096,0.94904
2021,Owner,No,0.98635,5042,5042,0.98314,0.98955
2021,Tenant,Yes,0.03505,425,7411,0.03086,0.03923
2021,Tenant,No,0.95750,6986,7411,0.95290,0.96209
2022,Owner,No,0.98256,7743,7743,0.97965,0.98548
2022,Tenant,Yes,0.03390,475,12396,0.03072,0.03709
2022,Tenant,No,0.94684,11921,12396,0.94289,0.95079
