year,bula_h,regtyp,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Schleswig-Holstein,Urban regions,No,0.91523,71,71,0.84997,0.98048
1987,Schleswig-Holstein,Rural regions,No,0.93631,77,77,0.88140,0.99121
1987,Hamburg,Urban regions,No,0.90459,118,118,0.85136,0.95783
1987,Lower Saxony,Urban regions,No,0.91995,239,239,0.88548,0.95443
1987,Lower Saxony,Rural regions,Yes,0.14747,36,258,0.10412,0.19082
1987,Lower Saxony,Rural regions,No,0.85253,222,258,0.80918,0.89588
1987,Bremen,Urban regions,No,0.77842,48,48,0.65968,0.89715
1987,North Rhine-Westphalia,Urban regions,Yes,0.08936,110,1319,0.07396,0.10476
1987,North Rhine-Westphalia,Urban regions,No,0.90915,1209,1319,0.89363,0.92467
1987,Hesse,Urban regions,Yes,0.08443,33,426,0.05799,0.11086
1987,Hesse,Urban regions,No,0.90628,393,426,0.87857,0.93399
1987,Hesse,Rural regions,No,0.92942,61,61,0.86461,0.99422
1987,"Rhineland-Palatinate, Saarland",Urban regions,No,0.93792,274,274,0.90930,0.96655
1987,"Rhineland-Palatinate, Saarland",Rural regions,No,0.95924,61,61,0.90921,1.00927
1987,Baden-Wuerttemberg,Urban regions,No,0.96430,731,731,0.95084,0.97776
1987,Baden-Wuerttemberg,Rural regions,No,0.93829,126,126,0.89611,0.98048
1987,Bavaria,Urban regions,No,0.96415,448,448,0.94692,0.98139
1987,Bavaria,Rural regions,No,0.94914,350,350,0.92609,0.97219
1987,Berlin,Urban regions,No,0.97181,190,190,0.94821,0.99541
1988,Schleswig-Holstein,Urban regions,No,0.90622,67,67,0.83589,0.97655
1988,Schleswig-Holstein,Rural regions,No,0.90244,77,77,0.83572,0.96915
1988,Hamburg,Urban regions,No,0.90783,106,106,0.85250,0.96316
1988,Lower Saxony,Urban regions,No,0.92038,232,232,0.88547,0.95529
1988,Lower Saxony,Rural regions,Yes,0.13659,32,241,0.09314,0.18004
1988,Lower Saxony,Rural regions,No,0.86341,209,241,0.81996,0.90686
1988,Bremen,Urban regions,No,0.74886,47,47,0.62354,0.87419
1988,North Rhine-Westphalia,Urban regions,Yes,0.09777,119,1255,0.08133,0.11421
1988,North Rhine-Westphalia,Urban regions,No,0.89945,1136,1255,0.88280,0.91609
1988,Hesse,Urban regions,No,0.93680,378,378,0.91224,0.96136
1988,Hesse,Rural regions,No,0.94800,62,62,0.89228,1.00372
1988,"Rhineland-Palatinate, Saarland",Urban regions,No,0.92059,264,264,0.88792,0.95327
1988,"Rhineland-Palatinate, Saarland",Rural regions,No,0.97418,53,53,0.93107,1.01729
1988,Baden-Wuerttemberg,Urban regions,No,0.95438,713,713,0.93905,0.96971
1988,Baden-Wuerttemberg,Rural regions,No,0.94822,116,116,0.90772,0.98872
1988,Bavaria,Urban regions,No,0.97639,443,443,0.96224,0.99055
1988,Bavaria,Rural regions,No,0.92718,324,324,0.89884,0.95552
1988,Berlin,Urban regions,No,0.95821,176,176,0.92857,0.98786
1989,Schleswig-Holstein,Urban regions,No,0.91968,72,72,0.85646,0.98290
1989,Schleswig-Holstein,Rural regions,No,0.86531,66,66,0.78231,0.94830
1989,Hamburg,Urban regions,No,0.92482,104,104,0.87389,0.97574
1989,Lower Saxony,Urban regions,No,0.94136,239,239,0.91151,0.97121
1989,Lower Saxony,Rural regions,Yes,0.14357,31,231,0.09826,0.18889
1989,Lower Saxony,Rural regions,No,0.84839,200,231,0.80204,0.89474
1989,Bremen,Urban regions,No,0.82957,53,53,0.72737,0.93177
1989,North Rhine-Westphalia,Urban regions,Yes,0.07962,95,1210,0.06436,0.09487
1989,North Rhine-Westphalia,Urban regions,No,0.91494,1115,1210,0.89921,0.93066
1989,Hesse,Urban regions,No,0.95550,391,391,0.93503,0.97596
1989,Hesse,Rural regions,No,0.95034,59,59,0.89443,1.00625
1989,"Rhineland-Palatinate, Saarland",Urban regions,No,0.93121,258,258,0.90026,0.96215
1989,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96737,45,45,0.91488,1.01987
1989,Baden-Wuerttemberg,Urban regions,Yes,0.05018,32,711,0.03412,0.06624
1989,Baden-Wuerttemberg,Urban regions,No,0.94863,679,711,0.93239,0.96487
1989,Baden-Wuerttemberg,Rural regions,No,0.95470,111,111,0.91583,0.99356
1989,Bavaria,Urban regions,No,0.96047,425,425,0.94192,0.97902
1989,Bavaria,Rural regions,No,0.94407,328,328,0.91916,0.96898
1989,Berlin,Urban regions,No,0.94691,173,173,0.91340,0.98042
1990,Schleswig-Holstein,Urban regions,No,0.87212,67,67,0.79155,0.95269
1990,Schleswig-Holstein,Rural regions,No,0.85133,62,62,0.76205,0.94061
1990,Hamburg,Urban regions,No,0.90925,94,94,0.85087,0.96763
1990,Lower Saxony,Urban regions,No,0.93901,236,236,0.90841,0.96961
1990,Lower Saxony,Rural regions,No,0.86883,205,205,0.82250,0.91515
1990,Bremen,Urban regions,No,0.84374,51,51,0.74309,0.94438
1990,North Rhine-Westphalia,Urban regions,Yes,0.07766,91,1188,0.06243,0.09288
1990,North Rhine-Westphalia,Urban regions,No,0.91910,1097,1188,0.90358,0.93461
1990,Hesse,Urban regions,No,0.94236,382,382,0.91896,0.96576
1990,Hesse,Rural regions,No,0.97109,60,60,0.92833,1.01384
1990,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94068,255,255,0.91163,0.96973
1990,"Rhineland-Palatinate, Saarland",Rural regions,No,0.92126,44,44,0.84075,1.00176
1990,Baden-Wuerttemberg,Urban regions,No,0.95196,680,680,0.93587,0.96804
1990,Baden-Wuerttemberg,Rural regions,No,0.98977,113,113,0.97113,1.00841
1990,Bavaria,Urban regions,No,0.96766,418,418,0.95069,0.98464
1990,Bavaria,Rural regions,No,0.94798,344,344,0.92448,0.97148
1990,Berlin,Urban regions,No,0.61644,165,165,0.54202,0.69086
1991,Schleswig-Holstein,Urban regions,No,0.86906,67,67,0.78767,0.95044
1991,Schleswig-Holstein,Rural regions,No,0.86448,66,66,0.78126,0.94769
1991,Hamburg,Urban regions,No,0.93584,92,92,0.88549,0.98619
1991,Lower Saxony,Urban regions,No,0.90763,227,227,0.86988,0.94538
1991,Lower Saxony,Rural regions,Yes,0.15399,32,230,0.10724,0.20074
1991,Lower Saxony,Rural regions,No,0.84107,198,230,0.79372,0.88843
1991,Bremen,Urban regions,No,0.91097,53,53,0.83356,0.98837
1991,North Rhine-Westphalia,Urban regions,Yes,0.07194,86,1210,0.05738,0.08651
1991,North Rhine-Westphalia,Urban regions,No,0.92197,1124,1210,0.90686,0.93709
1991,Hesse,Urban regions,No,0.94273,371,371,0.91905,0.96640
1991,Hesse,Rural regions,No,0.97093,61,61,0.92841,1.01344
1991,"Rhineland-Palatinate, Saarland",Urban regions,No,0.92485,258,258,0.89262,0.95708
1991,"Rhineland-Palatinate, Saarland",Rural regions,No,0.90633,49,49,0.82390,0.98876
1991,Baden-Wuerttemberg,Urban regions,Yes,0.06223,35,718,0.04455,0.07991
1991,Baden-Wuerttemberg,Urban regions,No,0.92882,683,718,0.91000,0.94764
1991,Baden-Wuerttemberg,Rural regions,No,0.95963,105,105,0.92180,0.99746
1991,Bavaria,Urban regions,No,0.96347,416,416,0.94542,0.98152
1991,Bavaria,Rural regions,No,0.93954,352,352,0.91461,0.96448
1991,Berlin,Urban regions,No,0.63186,160,160,0.55690,0.70683
1992,Schleswig-Holstein,Urban regions,No,0.84131,63,63,0.75035,0.93226
1992,Schleswig-Holstein,Rural regions,No,0.83630,59,59,0.74108,0.93153
1992,Hamburg,Urban regions,No,0.90544,84,84,0.84249,0.96839
1992,Lower Saxony,Urban regions,No,0.89882,229,229,0.85968,0.93797
1992,Lower Saxony,Rural regions,No,0.86576,202,202,0.81863,0.91289
1992,Bremen,Urban regions,No,0.90394,53,53,0.82385,0.98403
1992,North Rhine-Westphalia,Urban regions,Yes,0.05241,70,1215,0.03988,0.06495
1992,North Rhine-Westphalia,Urban regions,No,0.94379,1145,1215,0.93083,0.95674
1992,North Rhine-Westphalia,Rural regions,No,0.93296,31,31,0.84347,1.02246
1992,Hesse,Urban regions,No,0.94637,373,373,0.92348,0.96927
1992,Hesse,Rural regions,No,0.92531,61,61,0.85879,0.99183
1992,"Rhineland-Palatinate, Saarland",Urban regions,No,0.93668,264,264,0.90725,0.96611
1992,"Rhineland-Palatinate, Saarland",Rural regions,No,0.94579,49,49,0.88174,1.00985
1992,Baden-Wuerttemberg,Urban regions,No,0.95440,691,691,0.93883,0.96996
1992,Baden-Wuerttemberg,Rural regions,No,0.96718,106,106,0.93310,1.00126
1992,Bavaria,Urban regions,No,0.97394,432,432,0.95889,0.98898
1992,Bavaria,Rural regions,No,0.94909,358,358,0.92629,0.97190
1992,Berlin,Urban regions,Yes,0.16265,59,321,0.12221,0.20308
1992,Berlin,Urban regions,No,0.83581,262,321,0.79522,0.87640
1992,Brandenburg,Rural regions,Yes,0.28164,70,279,0.22876,0.33451
1992,Brandenburg,Rural regions,No,0.71683,209,279,0.66387,0.76979
1992,Mecklenburg-Western Pomerania,Rural regions,Yes,0.29969,46,169,0.23041,0.36896
1992,Mecklenburg-Western Pomerania,Rural regions,No,0.70031,123,169,0.63104,0.76959
1992,Saxony,Urban regions,Yes,0.29485,79,299,0.24308,0.34662
1992,Saxony,Urban regions,No,0.70515,220,299,0.65338,0.75692
1992,Saxony,Rural regions,Yes,0.29710,68,266,0.24208,0.35212
1992,Saxony,Rural regions,No,0.70290,198,266,0.64788,0.75792
1992,Saxony-Anhalt,Urban regions,No,0.64002,61,61,0.51856,0.76147
1992,Saxony-Anhalt,Rural regions,Yes,0.23240,62,274,0.18230,0.28250
1992,Saxony-Anhalt,Rural regions,No,0.76464,212,274,0.71432,0.81496
1992,Thuringa,Urban regions,No,0.67164,67,67,0.55834,0.78494
1992,Thuringa,Rural regions,Yes,0.30117,56,221,0.24055,0.36180
1992,Thuringa,Rural regions,No,0.68683,165,221,0.62554,0.74811
1993,Schleswig-Holstein,Urban regions,No,0.91724,72,72,0.85316,0.98133
1993,Schleswig-Holstein,Rural regions,No,0.91788,70,70,0.85310,0.98266
1993,Hamburg,Urban regions,No,0.88782,80,80,0.81823,0.95741
1993,Lower Saxony,Urban regions,No,0.93207,240,240,0.90017,0.96397
1993,Lower Saxony,Rural regions,No,0.87690,221,221,0.83349,0.92032
1993,Bremen,Urban regions,No,0.86850,52,52,0.77574,0.96125
1993,North Rhine-Westphalia,Urban regions,Yes,0.05898,73,1221,0.04576,0.07220
1993,North Rhine-Westphalia,Urban regions,No,0.93518,1148,1221,0.92137,0.94900
1993,Hesse,Urban regions,No,0.94889,380,380,0.92672,0.97106
1993,Hesse,Rural regions,No,0.83435,59,59,0.73868,0.93003
1993,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94454,251,251,0.91617,0.97292
1993,"Rhineland-Palatinate, Saarland",Rural regions,No,0.95912,51,51,0.90424,1.01401
1993,Baden-Wuerttemberg,Urban regions,No,0.95824,704,704,0.94345,0.97303
1993,Baden-Wuerttemberg,Rural regions,No,0.98665,109,109,0.96500,1.00829
1993,Bavaria,Urban regions,No,0.97802,440,440,0.96431,0.99174
1993,Bavaria,Rural regions,No,0.95102,364,364,0.92882,0.97322
1993,Berlin,Urban regions,Yes,0.14333,55,319,0.10482,0.18185
1993,Berlin,Urban regions,No,0.84515,264,319,0.80538,0.88491
1993,Brandenburg,Rural regions,Yes,0.28228,72,277,0.22918,0.33539
1993,Brandenburg,Rural regions,No,0.71772,205,277,0.66461,0.77082
1993,Mecklenburg-Western Pomerania,Rural regions,Yes,0.38449,63,175,0.31221,0.45678
1993,Mecklenburg-Western Pomerania,Rural regions,No,0.61551,112,175,0.54322,0.68779
1993,Saxony,Urban regions,Yes,0.28877,77,287,0.23625,0.34130
1993,Saxony,Urban regions,No,0.70721,210,287,0.65447,0.75994
1993,Saxony,Rural regions,Yes,0.30367,70,267,0.24841,0.35893
1993,Saxony,Rural regions,No,0.69633,197,267,0.64107,0.75159
1993,Saxony-Anhalt,Urban regions,No,0.61748,55,55,0.48786,0.74711
1993,Saxony-Anhalt,Rural regions,Yes,0.31135,76,271,0.25612,0.36659
1993,Saxony-Anhalt,Rural regions,No,0.68133,195,271,0.62575,0.73691
1993,Thuringa,Urban regions,No,0.66426,60,60,0.54375,0.78476
1993,Thuringa,Rural regions,Yes,0.29125,63,230,0.23241,0.35010
1993,Thuringa,Rural regions,No,0.70184,167,230,0.64260,0.76109
1994,Schleswig-Holstein,Urban regions,No,0.85496,63,63,0.76731,0.94262
1994,Schleswig-Holstein,Rural regions,No,0.91774,68,68,0.85194,0.98353
1994,Hamburg,Urban regions,No,0.85841,77,77,0.78003,0.93679
1994,Lower Saxony,Urban regions,No,0.95153,251,251,0.92491,0.97816
1994,Lower Saxony,Rural regions,No,0.90494,220,220,0.86609,0.94378
1994,Bremen,Urban regions,No,0.90143,48,48,0.81622,0.98665
1994,North Rhine-Westphalia,Urban regions,Yes,0.05756,71,1197,0.04436,0.07076
1994,North Rhine-Westphalia,Urban regions,No,0.93931,1126,1197,0.92577,0.95284
1994,Hesse,Urban regions,No,0.95196,377,377,0.93035,0.97358
1994,Hesse,Rural regions,No,0.91615,59,59,0.84482,0.98748
1994,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94713,255,255,0.91961,0.97465
1994,"Rhineland-Palatinate, Saarland",Rural regions,No,0.93616,51,51,0.86839,1.00392
1994,Baden-Wuerttemberg,Urban regions,No,0.96356,685,685,0.94952,0.97760
1994,Baden-Wuerttemberg,Rural regions,No,0.96322,106,106,0.92722,0.99922
1994,Bavaria,Urban regions,No,0.97738,427,427,0.96325,0.99150
1994,Bavaria,Rural regions,No,0.95572,384,384,0.93512,0.97632
1994,Berlin,Urban regions,Yes,0.11492,42,311,0.07941,0.15042
1994,Berlin,Urban regions,No,0.88392,269,311,0.84826,0.91958
1994,Brandenburg,Rural regions,Yes,0.22115,54,269,0.17146,0.27084
1994,Brandenburg,Rural regions,No,0.77728,215,269,0.72747,0.82710
1994,Mecklenburg-Western Pomerania,Rural regions,Yes,0.26502,42,170,0.19847,0.33156
1994,Mecklenburg-Western Pomerania,Rural regions,No,0.73498,128,170,0.66844,0.80153
1994,Saxony,Urban regions,Yes,0.20299,56,290,0.15662,0.24936
1994,Saxony,Urban regions,No,0.78767,234,290,0.74051,0.83482
1994,Saxony,Rural regions,Yes,0.24159,55,264,0.18986,0.29332
1994,Saxony,Rural regions,No,0.75841,209,264,0.70668,0.81014
1994,Saxony-Anhalt,Urban regions,No,0.77250,61,61,0.66642,0.87858
1994,Saxony-Anhalt,Rural regions,Yes,0.17113,42,262,0.12544,0.21683
1994,Saxony-Anhalt,Rural regions,No,0.82250,220,262,0.77615,0.86886
1994,Thuringa,Urban regions,No,0.77488,76,76,0.68035,0.86940
1994,Thuringa,Rural regions,Yes,0.24831,48,232,0.19259,0.30402
1994,Thuringa,Rural regions,No,0.75169,184,232,0.69598,0.80741
1995,Schleswig-Holstein,Urban regions,No,0.89264,64,64,0.81620,0.96909
1995,Schleswig-Holstein,Rural regions,No,0.91156,71,71,0.84505,0.97808
1995,Hamburg,Urban regions,No,0.89063,74,74,0.81904,0.96223
1995,Lower Saxony,Urban regions,No,0.92626,255,255,0.89412,0.95840
1995,Lower Saxony,Rural regions,No,0.89478,229,229,0.85495,0.93461
1995,Bremen,Urban regions,No,0.93221,51,51,0.86253,1.00189
1995,North Rhine-Westphalia,Urban regions,Yes,0.04771,79,1265,0.03596,0.05946
1995,North Rhine-Westphalia,Urban regions,No,0.95011,1186,1265,0.93811,0.96212
1995,North Rhine-Westphalia,Rural regions,No,0.96903,34,34,0.90992,1.02814
1995,Hesse,Urban regions,No,0.96278,395,395,0.94408,0.98147
1995,Hesse,Rural regions,No,0.87993,65,65,0.80029,0.95956
1995,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94458,273,273,0.91739,0.97177
1995,"Rhineland-Palatinate, Saarland",Rural regions,No,0.93635,56,56,0.87184,1.00087
1995,Baden-Wuerttemberg,Urban regions,Yes,0.04016,39,750,0.02610,0.05422
1995,Baden-Wuerttemberg,Urban regions,No,0.95140,711,750,0.93600,0.96680
1995,Baden-Wuerttemberg,Rural regions,No,0.99407,107,107,0.97946,1.00869
1995,Bavaria,Urban regions,No,0.97420,441,441,0.95939,0.98902
1995,Bavaria,Rural regions,No,0.97436,404,404,0.95893,0.98979
1995,Berlin,Urban regions,Yes,0.10319,33,320,0.06981,0.13658
1995,Berlin,Urban regions,No,0.89305,287,320,0.85913,0.92696
1995,Brandenburg,Rural regions,Yes,0.12989,34,273,0.08994,0.16984
1995,Brandenburg,Rural regions,No,0.86838,239,273,0.82820,0.90856
1995,Mecklenburg-Western Pomerania,Rural regions,Yes,0.20853,31,177,0.14851,0.26855
1995,Mecklenburg-Western Pomerania,Rural regions,No,0.77709,146,177,0.71560,0.83858
1995,Saxony,Urban regions,Yes,0.16571,44,286,0.12255,0.20888
1995,Saxony,Urban regions,No,0.82664,242,286,0.78269,0.87059
1995,Saxony,Rural regions,Yes,0.15622,38,254,0.11148,0.20096
1995,Saxony,Rural regions,No,0.84180,216,254,0.79684,0.88677
1995,Saxony-Anhalt,Urban regions,No,0.85698,56,56,0.76445,0.94950
1995,Saxony-Anhalt,Rural regions,Yes,0.14389,37,271,0.10203,0.18576
1995,Saxony-Anhalt,Rural regions,No,0.85611,234,271,0.81424,0.89797
1995,Thuringa,Urban regions,No,0.85657,81,81,0.77976,0.93338
1995,Thuringa,Rural regions,Yes,0.19570,38,227,0.14397,0.24742
1995,Thuringa,Rural regions,No,0.80430,189,227,0.75258,0.85603
1996,Schleswig-Holstein,Urban regions,No,0.92957,64,64,0.86639,0.99276
1996,Schleswig-Holstein,Rural regions,No,0.93774,73,73,0.88193,0.99355
1996,Hamburg,Urban regions,No,0.86942,71,71,0.79049,0.94835
1996,Lower Saxony,Urban regions,No,0.92711,257,257,0.89526,0.95895
1996,Lower Saxony,Rural regions,No,0.92627,235,235,0.89279,0.95975
1996,Bremen,Urban regions,No,0.94396,49,49,0.87889,1.00902
1996,North Rhine-Westphalia,Urban regions,Yes,0.04365,73,1254,0.03234,0.05496
1996,North Rhine-Westphalia,Urban regions,No,0.95129,1181,1254,0.93937,0.96321
1996,Hesse,Urban regions,No,0.96417,375,375,0.94533,0.98300
1996,Hesse,Rural regions,No,0.90367,68,68,0.83302,0.97432
1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94041,271,271,0.91217,0.96864
1996,"Rhineland-Palatinate, Saarland",Rural regions,No,0.92185,54,54,0.84959,0.99411
1996,Baden-Wuerttemberg,Urban regions,Yes,0.03949,38,732,0.02537,0.05361
1996,Baden-Wuerttemberg,Urban regions,No,0.95878,694,732,0.94437,0.97319
1996,Baden-Wuerttemberg,Rural regions,No,0.95786,101,101,0.91849,0.99724
1996,Bavaria,Urban regions,No,0.98354,431,431,0.97151,0.99557
1996,Bavaria,Rural regions,No,0.95793,405,405,0.93836,0.97751
1996,Berlin,Urban regions,No,0.91136,282,282,0.87813,0.94460
1996,Brandenburg,Rural regions,No,0.88950,252,252,0.85071,0.92828
1996,Mecklenburg-Western Pomerania,Rural regions,No,0.86315,150,150,0.80797,0.91834
1996,Saxony,Urban regions,No,0.89153,263,263,0.85388,0.92919
1996,Saxony,Rural regions,No,0.89060,233,233,0.85043,0.93076
1996,Saxony-Anhalt,Urban regions,No,0.90205,67,67,0.83034,0.97376
1996,Saxony-Anhalt,Rural regions,No,0.93027,231,231,0.89736,0.96319
1996,Thuringa,Urban regions,No,0.93651,85,85,0.88436,0.98865
1996,Thuringa,Rural regions,Yes,0.19893,36,232,0.14745,0.25041
1996,Thuringa,Rural regions,No,0.80107,196,232,0.74959,0.85255
1997,Schleswig-Holstein,Urban regions,No,0.95771,62,62,0.90721,1.00821
1997,Schleswig-Holstein,Rural regions,No,0.93992,69,69,0.88344,0.99640
1997,Hamburg,Urban regions,No,0.90599,71,71,0.83762,0.97436
1997,Lower Saxony,Urban regions,No,0.92522,249,249,0.89248,0.95796
1997,Lower Saxony,Rural regions,No,0.91139,238,238,0.87521,0.94757
1997,Bremen,Urban regions,No,0.95063,51,51,0.89058,1.01068
1997,North Rhine-Westphalia,Urban regions,Yes,0.04238,73,1242,0.03117,0.05359
1997,North Rhine-Westphalia,Urban regions,No,0.95495,1169,1242,0.94342,0.96649
1997,North Rhine-Westphalia,Rural regions,No,0.95292,33,33,0.87954,1.02631
1997,Hesse,Urban regions,No,0.96139,354,354,0.94129,0.98149
1997,Hesse,Rural regions,No,0.88981,62,62,0.81123,0.96839
1997,"Rhineland-Palatinate, Saarland",Urban regions,No,0.91574,274,274,0.88279,0.94869
1997,"Rhineland-Palatinate, Saarland",Rural regions,No,0.99263,59,59,0.97062,1.01464
1997,Baden-Wuerttemberg,Urban regions,Yes,0.03313,37,733,0.02017,0.04610
1997,Baden-Wuerttemberg,Urban regions,No,0.96641,696,733,0.95336,0.97946
1997,Baden-Wuerttemberg,Rural regions,No,0.99344,99,99,0.97745,1.00942
1997,Bavaria,Urban regions,No,0.98204,423,423,0.96937,0.99471
1997,Bavaria,Rural regions,No,0.95021,396,396,0.92876,0.97166
1997,Berlin,Urban regions,No,0.93505,277,277,0.90598,0.96413
1997,Brandenburg,Rural regions,No,0.89112,262,262,0.85333,0.92891
1997,Mecklenburg-Western Pomerania,Rural regions,No,0.83280,141,141,0.77098,0.89461
1997,Saxony,Urban regions,No,0.90220,260,260,0.86602,0.93838
1997,Saxony,Rural regions,No,0.94321,240,240,0.91387,0.97255
1997,Saxony-Anhalt,Urban regions,No,0.94080,68,68,0.88429,0.99731
1997,Saxony-Anhalt,Rural regions,No,0.92079,231,231,0.88589,0.95570
1997,Thuringa,Urban regions,No,0.88788,84,84,0.82000,0.95576
1997,Thuringa,Rural regions,No,0.83326,200,200,0.78147,0.88505
1998,Schleswig-Holstein,Urban regions,No,0.93545,93,93,0.88524,0.98567
1998,Schleswig-Holstein,Rural regions,No,0.90994,79,79,0.84640,0.97347
1998,Hamburg,Urban regions,No,0.91606,90,90,0.85845,0.97367
1998,Lower Saxony,Urban regions,No,0.91010,281,281,0.87659,0.94360
1998,Lower Saxony,Rural regions,No,0.92727,285,285,0.89707,0.95747
1998,Bremen,Urban regions,No,0.98072,58,58,0.94501,1.01642
1998,North Rhine-Westphalia,Urban regions,Yes,0.04944,79,1457,0.03831,0.06058
1998,North Rhine-Westphalia,Urban regions,No,0.94538,1378,1457,0.93371,0.95706
1998,Hesse,Urban regions,No,0.97166,403,403,0.95544,0.98788
1998,Hesse,Rural regions,No,0.92075,71,71,0.85747,0.98403
1998,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94063,314,314,0.91446,0.96681
1998,"Rhineland-Palatinate, Saarland",Rural regions,No,0.95962,81,81,0.91648,1.00275
1998,Baden-Wuerttemberg,Urban regions,Yes,0.04339,45,816,0.02941,0.05738
1998,Baden-Wuerttemberg,Urban regions,No,0.95284,771,816,0.93829,0.96740
1998,Baden-Wuerttemberg,Rural regions,No,0.98545,102,102,0.96209,1.00880
1998,Bavaria,Urban regions,No,0.98184,484,484,0.96993,0.99375
1998,Bavaria,Rural regions,No,0.96440,470,470,0.94763,0.98117
1998,Berlin,Urban regions,No,0.94921,303,303,0.92445,0.97398
1998,Brandenburg,Rural regions,No,0.90767,277,277,0.87352,0.94182
1998,Mecklenburg-Western Pomerania,Rural regions,No,0.85929,160,160,0.80525,0.91334
1998,Saxony,Urban regions,Yes,0.13315,31,294,0.09424,0.17205
1998,Saxony,Urban regions,No,0.86411,263,294,0.82487,0.90335
1998,Saxony,Rural regions,No,0.92582,269,269,0.89444,0.95720
1998,Saxony-Anhalt,Urban regions,No,0.87968,65,65,0.79997,0.95939
1998,Saxony-Anhalt,Rural regions,No,0.92441,258,258,0.89209,0.95673
1998,Thuringa,Urban regions,No,0.85729,94,94,0.78620,0.92838
1998,Thuringa,Rural regions,No,0.88068,227,227,0.83842,0.92294
1999,Schleswig-Holstein,Urban regions,No,0.90399,78,78,0.83819,0.96980
1999,Schleswig-Holstein,Rural regions,No,0.95670,88,88,0.91393,0.99947
1999,Hamburg,Urban regions,No,0.88813,78,78,0.81772,0.95853
1999,Lower Saxony,Urban regions,No,0.92924,282,282,0.89926,0.95922
1999,Lower Saxony,Rural regions,No,0.91997,275,275,0.88784,0.95210
1999,Bremen,Urban regions,No,0.96956,53,53,0.92287,1.01625
1999,North Rhine-Westphalia,Urban regions,Yes,0.04112,69,1381,0.03065,0.05160
1999,North Rhine-Westphalia,Urban regions,No,0.95193,1312,1381,0.94065,0.96322
1999,Hesse,Urban regions,No,0.96335,379,379,0.94441,0.98229
1999,Hesse,Rural regions,No,0.91093,64,64,0.84059,0.98127
1999,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94874,304,304,0.92390,0.97357
1999,"Rhineland-Palatinate, Saarland",Rural regions,No,0.97648,82,82,0.94348,1.00948
