"year","quintil","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1990","3","Laendlicher Raum","","","","",""
"1990","3","Staedtischer Raum","","","","",""
"1990","4","Laendlicher Raum","","","","",""
"1990","4","Staedtischer Raum","","","","",""
"1990","5","Laendlicher Raum","","","","",""
"1990","5","Staedtischer Raum","","","","",""
"1991","1","Laendlicher Raum","2.61","2.5","4708","2.58","2.64"
"1991","1","Staedtischer Raum","2.44","1.5","8510","2.42","2.46"
"1991","2","Laendlicher Raum","4.89","4.5","1672","4.82","4.96"
"1991","2","Staedtischer Raum","4.91","4.5","3119","4.86","4.96"
"1991","3","Laendlicher Raum","","","","",""
"1991","3","Staedtischer Raum","","","","",""
"1991","4","Laendlicher Raum","","","","",""
"1991","4","Staedtischer Raum","","","","",""
"1991","5","Laendlicher Raum","","","","",""
"1991","5","Staedtischer Raum","","","","",""
"1992","1","Laendlicher Raum","2.6","2.5","4568","2.57","2.63"
"1992","1","Staedtischer Raum","2.44","1.5","8534","2.42","2.46"
"1992","2","Laendlicher Raum","5.04","4.5","1573","4.98","5.1"
"1992","2","Staedtischer Raum","4.88","4.5","2988","4.84","4.92"
"1992","3","Laendlicher Raum","","","","",""
"1992","3","Staedtischer Raum","","","","",""
"1992","4","Laendlicher Raum","","","","",""
"1992","4","Staedtischer Raum","","","","",""
"1992","5","Laendlicher Raum","","","","",""
"1992","5","Staedtischer Raum","","","","",""
"1993","1","Laendlicher Raum","2.57","2.5","4578","2.54","2.6"
"1993","1","Staedtischer Raum","2.44","1.5","8455","2.42","2.46"
"1993","2","Laendlicher Raum","4.94","4.5","1541","4.88","5"
"1993","2","Staedtischer Raum","4.87","4.5","2954","4.83","4.91"
"1993","3","Laendlicher Raum","","","","",""
"1993","3","Staedtischer Raum","","","","",""
"1993","4","Laendlicher Raum","","","","",""
"1993","4","Staedtischer Raum","","","","",""
"1993","5","Laendlicher Raum","","","","",""
"1993","5","Staedtischer Raum","","","","",""
"1994","1","Laendlicher Raum","2.56","2.5","4461","2.53","2.59"
"1994","1","Staedtischer Raum","2.43","1.5","8376","2.41","2.45"
"1994","2","Laendlicher Raum","4.89","4.5","1536","4.84","4.94"
"1994","2","Staedtischer Raum","4.92","4.5","2765","4.87","4.97"
"1994","3","Laendlicher Raum","","","","",""
"1994","3","Staedtischer Raum","","","","",""
"1994","4","Laendlicher Raum","","","","",""
"1994","4","Staedtischer Raum","","","","",""
"1994","5","Laendlicher Raum","","","","",""
"1994","5","Staedtischer Raum","","","","",""
"1995","1","Laendlicher Raum","","","","",""
"1995","1","Staedtischer Raum","","","","",""
"1995","2","Laendlicher Raum","3.33","2.5","2654","3.27","3.39"
"1995","2","Staedtischer Raum","3.16","2.5","4000","3.11","3.21"
"1995","3","Laendlicher Raum","2.92","2.5","2254","2.87","2.97"
"1995","3","Staedtischer Raum","2.88","2.5","4051","2.84","2.92"
"1995","4","Laendlicher Raum","2.81","2.5","1003","2.74","2.88"
"1995","4","Staedtischer Raum","2.62","1.5","2370","2.57","2.67"
"1995","5","Laendlicher Raum","2.46","1.5","293","2.34","2.58"
"1995","5","Staedtischer Raum","2.41","1.5","1087","2.34","2.48"
"1996","1","Laendlicher Raum","","","","",""
"1996","1","Staedtischer Raum","","","","",""
"1996","2","Laendlicher Raum","3.15","2.5","2275","3.09","3.21"
"1996","2","Staedtischer Raum","3.12","2.5","3630","3.07","3.17"
"1996","3","Laendlicher Raum","3.07","2.5","2408","3.02","3.12"
"1996","3","Staedtischer Raum","2.91","2.5","3970","2.87","2.95"
"1996","4","Laendlicher Raum","2.88","2.5","1045","2.81","2.95"
"1996","4","Staedtischer Raum","2.67","1.5","2524","2.62","2.72"
"1996","5","Laendlicher Raum","2.48","1.5","346","2.37","2.59"
"1996","5","Staedtischer Raum","2.36","1.5","1141","2.3","2.42"
"1997","1","Laendlicher Raum","","","","",""
"1997","1","Staedtischer Raum","","","","",""
"1997","2","Laendlicher Raum","3.23","2.5","2136","3.17","3.29"
"1997","2","Staedtischer Raum","3.13","2.5","3381","3.07","3.19"
"1997","3","Laendlicher Raum","3.01","2.5","2388","2.96","3.06"
"1997","3","Staedtischer Raum","2.9","2.5","3858","2.86","2.94"
"1997","4","Laendlicher Raum","2.71","1.5","1104","2.65","2.77"
"1997","4","Staedtischer Raum","2.63","1.5","2595","2.58","2.68"
"1997","5","Laendlicher Raum","2.66","1.5","345","2.54","2.78"
"1997","5","Staedtischer Raum","2.41","1.5","1199","2.35","2.47"
"1998","1","Laendlicher Raum","","","","",""
"1998","1","Staedtischer Raum","","","","",""
"1998","2","Laendlicher Raum","3.29","2.5","2394","3.23","3.35"
"1998","2","Staedtischer Raum","3.12","2.5","3553","3.07","3.17"
"1998","3","Laendlicher Raum","3","2.5","2490","2.95","3.05"
"1998","3","Staedtischer Raum","2.88","2.5","4295","2.84","2.92"
"1998","4","Laendlicher Raum","2.73","1.5","1290","2.67","2.79"
"1998","4","Staedtischer Raum","2.62","1.5","2889","2.58","2.66"
"1998","5","Laendlicher Raum","2.62","1.5","445","2.52","2.72"
"1998","5","Staedtischer Raum","2.35","1.5","1400","2.29","2.41"
"1999","1","Laendlicher Raum","","","","",""
"1999","1","Staedtischer Raum","","","","",""
"1999","2","Laendlicher Raum","3.19","2.5","1957","3.12","3.26"
"1999","2","Staedtischer Raum","3.08","2.5","2882","3.02","3.14"
"1999","3","Laendlicher Raum","3.01","2.5","2552","2.96","3.06"
"1999","3","Staedtischer Raum","2.92","2.5","4275","2.88","2.96"
"1999","4","Laendlicher Raum","2.71","1.5","1366","2.65","2.77"
"1999","4","Staedtischer Raum","2.64","1.5","2887","2.59","2.69"
"1999","5","Laendlicher Raum","2.68","1.5","496","2.57","2.79"
"1999","5","Staedtischer Raum","2.41","1.5","1573","2.36","2.46"
"2000","1","Laendlicher Raum","","","","",""
"2000","1","Staedtischer Raum","","","","",""
"2000","2","Laendlicher Raum","3.19","2.5","3244","3.14","3.24"
"2000","2","Staedtischer Raum","3.1","2.5","4719","3.05","3.15"
"2000","3","Laendlicher Raum","2.97","2.5","4438","2.93","3.01"
"2000","3","Staedtischer Raum","2.96","2.5","7066","2.93","2.99"
"2000","4","Laendlicher Raum","2.73","2.5","2453","2.68","2.78"
"2000","4","Staedtischer Raum","2.61","1.5","5487","2.58","2.64"
"2000","5","Laendlicher Raum","2.51","1.5","1014","2.44","2.58"
"2000","5","Staedtischer Raum","2.38","1.5","3386","2.34","2.42"
"2001","1","Laendlicher Raum","","","","",""
"2001","1","Staedtischer Raum","","","","",""
"2001","2","Laendlicher Raum","3.24","2.5","2656","3.18","3.3"
"2001","2","Staedtischer Raum","3.06","2.5","3976","3.01","3.11"
"2001","3","Laendlicher Raum","2.97","2.5","3904","2.93","3.01"
"2001","3","Staedtischer Raum","2.98","2.5","6262","2.95","3.01"
"2001","4","Laendlicher Raum","2.68","1.5","2418","2.63","2.73"
"2001","4","Staedtischer Raum","2.61","1.5","5166","2.58","2.64"
"2001","5","Laendlicher Raum","2.47","1.5","998","2.41","2.53"
"2001","5","Staedtischer Raum","2.36","1.5","3348","2.32","2.4"
"2002","1","Laendlicher Raum","","","","",""
"2002","1","Staedtischer Raum","","","","",""
"2002","2","Laendlicher Raum","3.29","2.5","2282","3.23","3.35"
"2002","2","Staedtischer Raum","2.98","2.5","3345","2.93","3.03"
"2002","3","Laendlicher Raum","2.95","2.5","3398","2.91","2.99"
"2002","3","Staedtischer Raum","3.03","2.5","5709","2.99","3.07"
"2002","4","Laendlicher Raum","2.72","2.5","2623","2.67","2.77"
"2002","4","Staedtischer Raum","2.54","1.5","4958","2.51","2.57"
"2002","5","Laendlicher Raum","2.42","1.5","1820","2.37","2.47"
"2002","5","Staedtischer Raum","2.33","1.5","5981","2.3","2.36"
"2003","1","Laendlicher Raum","","","","",""
"2003","1","Staedtischer Raum","","","","",""
"2003","2","Laendlicher Raum","3.2","2.5","2085","3.13","3.27"
"2003","2","Staedtischer Raum","3.01","2.5","3112","2.96","3.06"
"2003","3","Laendlicher Raum","2.95","2.5","3283","2.9","3"
"2003","3","Staedtischer Raum","2.96","2.5","5390","2.92","3"
"2003","4","Laendlicher Raum","2.69","1.5","2528","2.64","2.74"
"2003","4","Staedtischer Raum","2.62","1.5","5120","2.58","2.66"
"2003","5","Laendlicher Raum","2.46","1.5","1744","2.4","2.52"
"2003","5","Staedtischer Raum","2.35","1.5","5530","2.32","2.38"
"2004","1","Laendlicher Raum","","","","",""
"2004","1","Staedtischer Raum","","","","",""
"2004","2","Laendlicher Raum","3.18","2.5","2027","3.11","3.25"
"2004","2","Staedtischer Raum","2.96","2.5","3002","2.9","3.02"
"2004","3","Laendlicher Raum","2.94","2.5","3090","2.89","2.99"
"2004","3","Staedtischer Raum","2.99","2.5","5346","2.95","3.03"
"2004","4","Laendlicher Raum","2.69","1.5","2475","2.65","2.73"
"2004","4","Staedtischer Raum","2.56","1.5","4741","2.52","2.6"
"2004","5","Laendlicher Raum","2.41","1.5","1774","2.35","2.47"
"2004","5","Staedtischer Raum","2.34","1.5","5476","2.31","2.37"
"2005","1","Laendlicher Raum","","","","",""
"2005","1","Staedtischer Raum","","","","",""
"2005","2","Laendlicher Raum","3.09","2.5","1982","3.02","3.16"
"2005","2","Staedtischer Raum","2.96","2.5","2900","2.9","3.02"
"2005","3","Laendlicher Raum","2.96","2.5","2908","2.91","3.01"
"2005","3","Staedtischer Raum","2.94","2.5","4831","2.9","2.98"
"2005","4","Laendlicher Raum","2.74","1.5","2420","2.69","2.79"
"2005","4","Staedtischer Raum","2.64","1.5","4672","2.6","2.68"
"2005","5","Laendlicher Raum","2.35","1.5","1644","2.29","2.41"
"2005","5","Staedtischer Raum","2.32","1.5","5349","2.29","2.35"
"2006","1","Laendlicher Raum","","","","",""
"2006","1","Staedtischer Raum","","","","",""
"2006","2","Laendlicher Raum","3.01","2.5","2173","2.94","3.08"
"2006","2","Staedtischer Raum","2.86","2.5","2904","2.8","2.92"
"2006","3","Laendlicher Raum","2.87","2.5","3206","2.82","2.92"
"2006","3","Staedtischer Raum","2.95","2.5","5199","2.91","2.99"
"2006","4","Laendlicher Raum","2.71","1.5","2661","2.66","2.76"
"2006","4","Staedtischer Raum","2.61","1.5","5012","2.57","2.65"
"2006","5","Laendlicher Raum","2.39","1.5","1813","2.34","2.44"
"2006","5","Staedtischer Raum","2.37","1.5","5700","2.34","2.4"
"2007","1","Laendlicher Raum","","","","",""
"2007","1","Staedtischer Raum","","","","",""
"2007","2","Laendlicher Raum","2.96","2.5","1818","2.88","3.04"
"2007","2","Staedtischer Raum","2.81","2.5","2534","2.75","2.87"
"2007","3","Laendlicher Raum","2.86","2.5","3059","2.82","2.9"
"2007","3","Staedtischer Raum","2.93","2.5","4623","2.89","2.97"
"2007","4","Laendlicher Raum","2.65","1.5","2470","2.6","2.7"
"2007","4","Staedtischer Raum","2.66","1.5","4710","2.62","2.7"
"2007","5","Laendlicher Raum","2.43","1.5","1814","2.37","2.49"
"2007","5","Staedtischer Raum","2.4","1.5","5587","2.37","2.43"
"2008","1","Laendlicher Raum","","","","",""
"2008","1","Staedtischer Raum","","","","",""
"2008","2","Laendlicher Raum","2.93","2.5","1628","2.84","3.02"
"2008","2","Staedtischer Raum","2.71","1.5","2253","2.65","2.77"
"2008","3","Laendlicher Raum","2.79","2.5","2623","2.74","2.84"
"2008","3","Staedtischer Raum","2.88","2.5","4122","2.84","2.92"
"2008","4","Laendlicher Raum","2.69","1.5","2450","2.64","2.74"
"2008","4","Staedtischer Raum","2.7","1.5","4475","2.66","2.74"
"2008","5","Laendlicher Raum","2.52","1.5","1862","2.47","2.57"
"2008","5","Staedtischer Raum","2.38","1.5","5464","2.35","2.41"
"2009","1","Laendlicher Raum","","","","",""
"2009","1","Staedtischer Raum","","","","",""
"2009","2","Laendlicher Raum","2.77","2.5","1403","2.68","2.86"
"2009","2","Staedtischer Raum","2.79","1.5","2038","2.72","2.86"
"2009","3","Laendlicher Raum","2.78","2.5","2461","2.73","2.83"
"2009","3","Staedtischer Raum","2.89","2.5","3735","2.84","2.94"
"2009","4","Laendlicher Raum","2.76","1.5","2452","2.71","2.81"
"2009","4","Staedtischer Raum","2.6","1.5","4014","2.56","2.64"
"2009","5","Laendlicher Raum","2.52","1.5","1866","2.47","2.57"
"2009","5","Staedtischer Raum","2.42","1.5","5252","2.39","2.45"
"2010","1","Laendlicher Raum","","","","",""
"2010","1","Staedtischer Raum","","","","",""
"2010","2","Laendlicher Raum","2.85","2.5","3002","2.78","2.92"
"2010","2","Staedtischer Raum","2.76","1.5","4339","2.71","2.81"
"2010","3","Laendlicher Raum","2.78","1.5","4474","2.74","2.82"
"2010","3","Staedtischer Raum","2.81","2.5","7003","2.78","2.84"
"2010","4","Laendlicher Raum","2.69","1.5","3317","2.65","2.73"
"2010","4","Staedtischer Raum","2.71","1.5","5792","2.67","2.75"
"2010","5","Laendlicher Raum","2.49","1.5","2349","2.44","2.54"
"2010","5","Staedtischer Raum","2.43","1.5","7192","2.4","2.46"
"2011","1","Laendlicher Raum","","","","",""
"2011","1","Staedtischer Raum","","","","",""
"2011","2","Laendlicher Raum","2.69","1.5","3225","2.63","2.75"
"2011","2","Staedtischer Raum","2.82","2.5","4526","2.77","2.87"
"2011","3","Laendlicher Raum","2.8","2.5","5173","2.76","2.84"
"2011","3","Staedtischer Raum","2.8","2.5","7697","2.77","2.83"
"2011","4","Laendlicher Raum","2.7","1.5","4255","2.66","2.74"
"2011","4","Staedtischer Raum","2.72","1.5","7192","2.69","2.75"
"2011","5","Laendlicher Raum","2.54","1.5","3168","2.5","2.58"
"2011","5","Staedtischer Raum","2.44","1.5","8765","2.41","2.47"
"2012","1","Laendlicher Raum","","","","",""
"2012","1","Staedtischer Raum","","","","",""
"2012","2","Laendlicher Raum","2.58","1.5","2638","2.51","2.65"
"2012","2","Staedtischer Raum","2.8","1.5","3725","2.74","2.86"
"2012","3","Laendlicher Raum","2.84","2.5","4911","2.79","2.89"
"2012","3","Staedtischer Raum","2.83","2.5","7128","2.79","2.87"
"2012","4","Laendlicher Raum","2.69","1.5","4403","2.65","2.73"
"2012","4","Staedtischer Raum","2.7","1.5","7120","2.67","2.73"
"2012","5","Laendlicher Raum","2.54","1.5","3502","2.5","2.58"
"2012","5","Staedtischer Raum","2.46","1.5","8978","2.43","2.49"
"2013","1","Laendlicher Raum","","","","",""
"2013","1","Staedtischer Raum","","","","",""
"2013","2","Laendlicher Raum","2.64","1.5","2826","2.57","2.71"
"2013","2","Staedtischer Raum","2.94","2.5","5072","2.89","2.99"
"2013","3","Laendlicher Raum","2.86","2.5","4898","2.82","2.9"
"2013","3","Staedtischer Raum","2.89","2.5","8497","2.86","2.92"
"2013","4","Laendlicher Raum","2.65","1.5","4741","2.61","2.69"
"2013","4","Staedtischer Raum","2.68","1.5","8000","2.65","2.71"
"2013","5","Laendlicher Raum","2.44","1.5","3686","2.4","2.48"
"2013","5","Staedtischer Raum","2.44","1.5","9944","2.41","2.47"
"2014","1","Laendlicher Raum","","","","",""
"2014","1","Staedtischer Raum","","","","",""
"2014","2","Laendlicher Raum","2.76","1.5","2217","2.67","2.85"
"2014","2","Staedtischer Raum","2.91","1.5","3698","2.84","2.98"
"2014","3","Laendlicher Raum","2.74","1.5","4202","2.69","2.79"
"2014","3","Staedtischer Raum","2.9","2.5","6739","2.86","2.94"
"2014","4","Laendlicher Raum","2.59","1.5","4216","2.55","2.63"
"2014","4","Staedtischer Raum","2.7","1.5","7245","2.67","2.73"
"2014","5","Laendlicher Raum","2.49","1.5","3729","2.45","2.53"
"2014","5","Staedtischer Raum","2.48","1.5","9461","2.45","2.51"
"2015","1","Laendlicher Raum","","","","",""
"2015","1","Staedtischer Raum","","","","",""
"2015","2","Laendlicher Raum","2.67","1.5","2132","2.59","2.75"
"2015","2","Staedtischer Raum","2.87","1.5","3717","2.81","2.93"
"2015","3","Laendlicher Raum","2.77","1.5","3843","2.72","2.82"
"2015","3","Staedtischer Raum","2.89","2.5","6318","2.85","2.93"
"2015","4","Laendlicher Raum","2.6","1.5","4214","2.56","2.64"
"2015","4","Staedtischer Raum","2.65","1.5","7070","2.62","2.68"
"2015","5","Laendlicher Raum","2.5","1.5","3935","2.46","2.54"
"2015","5","Staedtischer Raum","2.5","1.5","9823","2.47","2.53"
"2016","1","Laendlicher Raum","","","","",""
"2016","1","Staedtischer Raum","","","","",""
"2016","2","Laendlicher Raum","2.65","1.5","4123","2.59","2.71"
"2016","2","Staedtischer Raum","3.08","2.5","8181","3.03","3.13"
"2016","3","Laendlicher Raum","2.89","2.5","3376","2.83","2.95"
"2016","3","Staedtischer Raum","2.87","2.5","5638","2.82","2.92"
"2016","4","Laendlicher Raum","2.57","1.5","3839","2.52","2.62"
"2016","4","Staedtischer Raum","2.71","1.5","6270","2.67","2.75"
"2016","5","Laendlicher Raum","2.51","1.5","4023","2.47","2.55"
"2016","5","Staedtischer Raum","2.51","1.5","9638","2.48","2.54"
"2017","1","Laendlicher Raum","","","","",""
"2017","1","Staedtischer Raum","","","","",""
"2017","2","Laendlicher Raum","2.76","1.5","4601","2.7","2.82"
"2017","2","Staedtischer Raum","3.21","2.5","8920","3.16","3.26"
"2017","3","Laendlicher Raum","2.76","2.5","3450","2.71","2.81"
"2017","3","Staedtischer Raum","2.98","2.5","5867","2.93","3.03"
"2017","4","Laendlicher Raum","2.65","1.5","4157","2.61","2.69"
"2017","4","Staedtischer Raum","2.67","1.5","6802","2.63","2.71"
"2017","5","Laendlicher Raum","2.5","1.5","4954","2.47","2.53"
"2017","5","Staedtischer Raum","2.49","1.5","11402","2.47","2.51"
"2018","1","Laendlicher Raum","","","","",""
"2018","1","Staedtischer Raum","","","","",""
"2018","2","Laendlicher Raum","2.51","1.5","3582","2.43","2.59"
"2018","2","Staedtischer Raum","3.07","2.5","7883","3.02","3.12"
"2018","3","Laendlicher Raum","2.79","1.5","3207","2.73","2.85"
"2018","3","Staedtischer Raum","2.95","2.5","5881","2.9","3"
"2018","4","Laendlicher Raum","2.7","1.5","4083","2.66","2.74"
"2018","4","Staedtischer Raum","2.75","1.5","6739","2.71","2.79"
"2018","5","Laendlicher Raum","2.46","1.5","5102","2.43","2.49"
"2018","5","Staedtischer Raum","2.52","1.5","11666","2.5","2.54"
"2019","1","Laendlicher Raum","","","","",""
"2019","1","Staedtischer Raum","","","","",""
"2019","2","Laendlicher Raum","2.7","1.5","2873","2.61","2.79"
"2019","2","Staedtischer Raum","3.06","2.5","6525","3.01","3.11"
"2019","3","Laendlicher Raum","2.71","1.5","2847","2.64","2.78"
"2019","3","Staedtischer Raum","2.86","1.5","5286","2.81","2.91"
"2019","4","Laendlicher Raum","2.69","1.5","3889","2.64","2.74"
"2019","4","Staedtischer Raum","2.78","1.5","5875","2.74","2.82"
"2019","5","Laendlicher Raum","2.52","1.5","6346","2.49","2.55"
"2019","5","Staedtischer Raum","2.56","1.5","14221","2.54","2.58"
"2020","1","Laendlicher Raum","","","","",""
"2020","1","Staedtischer Raum","","","","",""
"2020","2","Laendlicher Raum","2.79","1.5","2515","2.7","2.88"
"2020","2","Staedtischer Raum","2.99","1.5","6350","2.94","3.04"
"2020","3","Laendlicher Raum","2.87","1.5","3090","2.8","2.94"
"2020","3","Staedtischer Raum","2.83","1.5","7096","2.78","2.88"
"2020","4","Laendlicher Raum","2.76","1.5","3651","2.71","2.81"
"2020","4","Staedtischer Raum","2.77","1.5","6448","2.73","2.81"
"2020","5","Laendlicher Raum","2.56","1.5","6407","2.53","2.59"
"2020","5","Staedtischer Raum","2.58","1.5","14374","2.56","2.6"
