year,bula_h,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1987,North Rhine-Westphalia,Owner,415,2.73602,2.61403,2.85800,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1987,North Rhine-Westphalia,Tenant,936,2.05902,1.98075,2.13730,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1987,Hesse,Owner,156,2.58060,2.37028,2.79092,2.00000,2.00000,3.02135,1,4.55338,2,2.00000,3.00000
1987,Hesse,Tenant,335,2.11478,1.97787,2.25169,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1987,"Rhineland-Palatinate, Saarland",Owner,185,2.58583,2.41441,2.75726,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1987,"Rhineland-Palatinate, Saarland",Tenant,167,1.99103,1.80516,2.17689,1.00000,2.00000,2.36802,1,4.42006,2,1.00000,2.00000
1987,Baden-Wuerttemberg,Owner,344,2.67890,2.53194,2.82585,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1987,Baden-Wuerttemberg,Tenant,545,2.20320,2.09475,2.31165,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1987,Bavaria,Owner,360,2.75211,2.61183,2.89239,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1987,Bavaria,Tenant,467,1.99631,1.89107,2.10155,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1987,Berlin,Owner,,,,,,,,,,,,
1987,Berlin,Tenant,182,1.78447,1.62215,1.94679,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1988,Schleswig-Holstein,Owner,83,2.62134,2.35088,2.89179,2.00000,2.00000,4.00000,1,6,2,2.00000,3.00000
1988,Schleswig-Holstein,Tenant,79,2.14148,1.88346,2.39949,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1988,Hamburg,Owner,,,,,,,,,,,,
1988,Hamburg,Tenant,95,1.64849,1.44416,1.85282,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1988,Lower Saxony,Owner,214,2.70077,2.54083,2.86072,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1988,Lower Saxony,Tenant,276,2.02001,1.87148,2.16854,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1988,Bremen,Owner,,,,,,,,,,,,
1988,Bremen,Tenant,45,1.50626,1.25469,1.75782,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.00000
1988,North Rhine-Westphalia,Owner,408,2.68176,2.55804,2.80548,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1988,North Rhine-Westphalia,Tenant,879,2.07164,1.99166,2.15162,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1988,Hesse,Owner,150,2.60389,2.39823,2.80955,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1988,Hesse,Tenant,318,2.07400,1.93588,2.21212,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1988,"Rhineland-Palatinate, Saarland",Owner,168,2.59161,2.40975,2.77348,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1988,"Rhineland-Palatinate, Saarland",Tenant,169,2.03390,1.84298,2.22482,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1988,Baden-Wuerttemberg,Owner,339,2.64329,2.49466,2.79193,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1988,Baden-Wuerttemberg,Tenant,525,2.15799,2.05115,2.26482,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1988,Bavaria,Owner,336,2.69829,2.55263,2.84395,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1988,Bavaria,Tenant,460,1.95668,1.85052,2.06284,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1988,Berlin,Owner,,,,,,,,,,,,
1988,Berlin,Tenant,175,1.74313,1.58286,1.90341,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1989,Schleswig-Holstein,Owner,77,2.61647,2.31609,2.91686,2.00000,2.00000,4.00000,1,6,2,2.00000,3.00000
1989,Schleswig-Holstein,Tenant,78,2.18052,1.90433,2.45671,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1989,Hamburg,Owner,,,,,,,,,,,,
1989,Hamburg,Tenant,95,1.54995,1.34589,1.75400,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.00000
1989,Lower Saxony,Owner,208,2.64933,2.49041,2.80824,2.00000,2.00000,4.00000,1,6,2,2.00000,3.00000
1989,Lower Saxony,Tenant,276,1.88876,1.75234,2.02518,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1989,Bremen,Owner,,,,,,,,,,,,
1989,Bremen,Tenant,49,1.66977,1.37626,1.96329,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1989,North Rhine-Westphalia,Owner,402,2.69307,2.57065,2.81550,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1989,North Rhine-Westphalia,Tenant,843,2.06240,1.98074,2.14406,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1989,Hesse,Owner,149,2.57988,2.37374,2.78603,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1989,Hesse,Tenant,325,2.06090,1.93204,2.18977,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1989,"Rhineland-Palatinate, Saarland",Owner,172,2.53252,2.35817,2.70688,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1989,"Rhineland-Palatinate, Saarland",Tenant,149,2.00125,1.80579,2.19671,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1989,Baden-Wuerttemberg,Owner,335,2.60908,2.46427,2.75389,1.82239,2.00000,4.00000,1,7,2,2.00000,3.00000
