"year","quintil","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2002","2","Ost","2.91","2.5","1704","2.84","2.98"
"2002","2","West","3.16","2.5","3923","3.11","3.21"
"2002","3","Ost","2.59","1.5","2415","2.54","2.64"
"2002","3","West","3.11","2.5","6692","3.07","3.15"
"2002","4","Ost","2.5","1.5","1670","2.45","2.55"
"2002","4","West","2.62","1.5","5911","2.59","2.65"
"2002","5","Ost","2.55","1.5","915","2.47","2.63"
"2002","5","West","2.33","1.5","6886","2.3","2.36"
"2003","1","Ost","","","","",""
"2003","1","West","","","","",""
"2003","2","Ost","2.96","2.5","1703","2.89","3.03"
"2003","2","West","3.12","2.5","3494","3.07","3.17"
"2003","3","Ost","2.62","1.5","2307","2.57","2.67"
"2003","3","West","3.05","2.5","6366","3.01","3.09"
"2003","4","Ost","2.41","1.5","1674","2.36","2.46"
"2003","4","West","2.69","1.5","5974","2.66","2.72"
"2003","5","Ost","2.43","1.5","863","2.35","2.51"
"2003","5","West","2.37","1.5","6411","2.34","2.4"
"2004","1","Ost","","","","",""
"2004","1","West","","","","",""
"2004","2","Ost","2.93","2.5","1616","2.85","3.01"
"2004","2","West","3.08","2.5","3413","3.02","3.14"
"2004","3","Ost","2.56","1.5","2216","2.51","2.61"
"2004","3","West","3.07","2.5","6220","3.03","3.11"
"2004","4","Ost","2.36","1.5","1647","2.31","2.41"
"2004","4","West","2.65","1.5","5569","2.62","2.68"
"2004","5","Ost","2.44","1.5","899","2.36","2.52"
"2004","5","West","2.35","1.5","6351","2.32","2.38"
"2005","1","Ost","","","","",""
"2005","1","West","","","","",""
"2005","2","Ost","2.92","2.5","1648","2.84","3"
"2005","2","West","3.04","2.5","3234","2.99","3.09"
"2005","3","Ost","2.57","1.5","2048","2.52","2.62"
"2005","3","West","3.04","2.5","5691","3","3.08"
"2005","4","Ost","2.36","1.5","1595","2.31","2.41"
"2005","4","West","2.73","2.5","5497","2.7","2.76"
"2005","5","Ost","2.4","1.5","860","2.32","2.48"
"2005","5","West","2.32","1.5","6133","2.29","2.35"
"2006","1","Ost","","","","",""
"2006","1","West","","","","",""
"2006","2","Ost","2.84","2.5","1708","2.76","2.92"
"2006","2","West","2.95","2.5","3369","2.89","3.01"
"2006","3","Ost","2.51","1.5","2156","2.46","2.56"
"2006","3","West","3.02","2.5","6249","2.98","3.06"
"2006","4","Ost","2.37","1.5","1821","2.32","2.42"
"2006","4","West","2.7","1.5","5852","2.67","2.73"
"2006","5","Ost","2.31","1.5","855","2.23","2.39"
"2006","5","West","2.38","1.5","6658","2.35","2.41"
"2007","1","Ost","","","","",""
"2007","1","West","","","","",""
"2007","2","Ost","2.66","1.5","1444","2.57","2.75"
"2007","2","West","2.94","2.5","2908","2.88","3"
"2007","3","Ost","2.63","1.5","2125","2.58","2.68"
"2007","3","West","2.98","2.5","5557","2.94","3.02"
"2007","4","Ost","2.31","1.5","1665","2.26","2.36"
"2007","4","West","2.73","2.5","5515","2.7","2.76"
"2007","5","Ost","2.41","1.5","889","2.33","2.49"
"2007","5","West","2.41","1.5","6512","2.38","2.44"
"2008","1","Ost","","","","",""
"2008","1","West","","","","",""
"2008","2","Ost","2.69","1.5","1281","2.59","2.79"
"2008","2","West","2.83","2.5","2600","2.77","2.89"
"2008","3","Ost","2.59","1.5","1944","2.54","2.64"
"2008","3","West","2.92","2.5","4801","2.88","2.96"
"2008","4","Ost","2.32","1.5","1603","2.27","2.37"
"2008","4","West","2.77","2.5","5322","2.74","2.8"
"2008","5","Ost","2.39","1.5","993","2.31","2.47"
"2008","5","West","2.42","1.5","6333","2.39","2.45"
"2009","1","Ost","","","","",""
"2009","1","West","","","","",""
"2009","2","Ost","2.71","1.5","1125","2.6","2.82"
"2009","2","West","2.81","2.5","2316","2.75","2.87"
"2009","3","Ost","2.55","1.5","1856","2.5","2.6"
"2009","3","West","2.93","2.5","4340","2.89","2.97"
"2009","4","Ost","2.41","1.5","1648","2.36","2.46"
"2009","4","West","2.71","1.5","4818","2.68","2.74"
"2009","5","Ost","2.43","1.5","953","2.35","2.51"
"2009","5","West","2.44","1.5","6165","2.41","2.47"
"2010","1","Ost","","","","",""
"2010","1","West","","","","",""
"2010","2","Ost","2.63","1.5","2065","2.55","2.71"
"2010","2","West","2.85","2.5","5276","2.8","2.9"
"2010","3","Ost","2.46","1.5","2687","2.41","2.51"
"2010","3","West","2.89","2.5","8790","2.86","2.92"
"2010","4","Ost","2.39","1.5","1951","2.34","2.44"
"2010","4","West","2.77","2.5","7158","2.74","2.8"
"2010","5","Ost","2.37","1.5","1227","2.31","2.43"
"2010","5","West","2.45","1.5","8314","2.42","2.48"
"2011","1","Ost","","","","",""
"2011","1","West","","","","",""
"2011","2","Ost","2.5","1.5","2241","2.43","2.57"
"2011","2","West","2.86","2.5","5510","2.81","2.91"
"2011","3","Ost","2.46","1.5","2933","2.41","2.51"
"2011","3","West","2.88","2.5","9937","2.85","2.91"
"2011","4","Ost","2.41","1.5","2386","2.36","2.46"
"2011","4","West","2.79","2.5","9061","2.76","2.82"
"2011","5","Ost","2.43","1.5","1586","2.37","2.49"
"2011","5","West","2.47","1.5","10347","2.44","2.5"
"2012","1","Ost","","","","",""
"2012","1","West","","","","",""
"2012","2","Ost","2.44","1.5","1896","2.36","2.52"
"2012","2","West","2.81","1.5","4467","2.76","2.86"
"2012","3","Ost","2.41","1.5","2801","2.36","2.46"
"2012","3","West","2.93","2.5","9238","2.9","2.96"
"2012","4","Ost","2.37","1.5","2425","2.32","2.42"
"2012","4","West","2.76","2.5","9098","2.73","2.79"
"2012","5","Ost","2.45","1.5","1748","2.39","2.51"
"2012","5","West","2.48","1.5","10732","2.45","2.51"
"2013","1","Ost","","","","",""
"2013","1","West","","","","",""
"2013","2","Ost","2.42","1.5","1893","2.33","2.51"
"2013","2","West","2.96","2.5","6005","2.91","3.01"
"2013","3","Ost","2.47","1.5","2672","2.41","2.53"
"2013","3","West","2.97","2.5","10723","2.94","3"
"2013","4","Ost","2.37","1.5","2474","2.32","2.42"
"2013","4","West","2.73","1.5","10267","2.7","2.76"
"2013","5","Ost","2.4","1.5","1797","2.34","2.46"
"2013","5","West","2.45","1.5","11833","2.43","2.47"
"2014","1","Ost","","","","",""
"2014","1","West","","","","",""
"2014","2","Ost","2.43","1.5","1380","2.33","2.53"
"2014","2","West","2.97","2.5","4535","2.91","3.03"
"2014","3","Ost","2.46","1.5","2465","2.4","2.52"
"2014","3","West","2.94","2.5","8476","2.91","2.97"
"2014","4","Ost","2.38","1.5","2345","2.33","2.43"
"2014","4","West","2.73","1.5","9116","2.7","2.76"
"2014","5","Ost","2.43","1.5","1832","2.37","2.49"
"2014","5","West","2.49","1.5","11358","2.47","2.51"
"2015","1","Ost","","","","",""
"2015","1","West","","","","",""
"2015","2","Ost","2.36","1.5","1265","2.26","2.46"
"2015","2","West","2.92","2.5","4584","2.86","2.98"
"2015","3","Ost","2.45","1.5","2143","2.38","2.52"
"2015","3","West","2.95","2.5","8018","2.91","2.99"
"2015","4","Ost","2.41","1.5","2376","2.36","2.46"
"2015","4","West","2.69","1.5","8908","2.66","2.72"
"2015","5","Ost","2.44","1.5","1939","2.39","2.49"
"2015","5","West","2.51","1.5","11819","2.49","2.53"
"2016","1","Ost","","","","",""
"2016","1","West","","","","",""
"2016","2","Ost","2.41","1.5","2488","2.33","2.49"
"2016","2","West","3.09","2.5","9816","3.05","3.13"
"2016","3","Ost","2.59","1.5","1925","2.51","2.67"
"2016","3","West","2.95","2.5","7089","2.91","2.99"
"2016","4","Ost","2.39","1.5","2270","2.34","2.44"
"2016","4","West","2.72","1.5","7839","2.69","2.75"
"2016","5","Ost","2.43","1.5","1967","2.38","2.48"
"2016","5","West","2.52","1.5","11694","2.5","2.54"
"2017","1","Ost","","","","",""
"2017","1","West","","","","",""
"2017","2","Ost","2.58","1.5","2429","2.5","2.66"
"2017","2","West","3.19","2.5","11092","3.15","3.23"
"2017","3","Ost","2.54","1.5","2061","2.47","2.61"
"2017","3","West","3","2.5","7256","2.96","3.04"
"2017","4","Ost","2.36","1.5","2405","2.31","2.41"
"2017","4","West","2.74","1.5","8554","2.71","2.77"
"2017","5","Ost","2.45","1.5","2483","2.4","2.5"
"2017","5","West","2.5","1.5","13873","2.48","2.52"
"2018","1","Ost","","","","",""
"2018","1","West","","","","",""
"2018","2","Ost","2.38","1.5","2179","2.29","2.47"
"2018","2","West","3.03","2.5","9286","2.98","3.08"
"2018","3","Ost","2.6","1.5","1876","2.52","2.68"
"2018","3","West","2.97","2.5","7212","2.93","3.01"
"2018","4","Ost","2.48","1.5","2478","2.43","2.53"
"2018","4","West","2.79","1.5","8344","2.76","2.82"
"2018","5","Ost","2.39","1.5","2637","2.35","2.43"
"2018","5","West","2.52","1.5","14131","2.5","2.54"
"2019","1","Ost","","","","",""
"2019","1","West","","","","",""
"2019","2","Ost","2.54","1.5","1793","2.44","2.64"
"2019","2","West","3.05","2.5","7656","3","3.1"
"2019","3","Ost","2.37","1.5","1586","2.27","2.47"
"2019","3","West","2.91","2.5","6634","2.86","2.96"
"2019","4","Ost","2.48","1.5","2341","2.43","2.53"
"2019","4","West","2.82","2.5","7596","2.79","2.85"
"2019","5","Ost","2.47","1.5","3748","2.43","2.51"
"2019","5","West","2.55","1.5","17214","2.53","2.57"
"2020","1","Ost","","","","",""
"2020","1","West","","","","",""
"2020","2","Ost","2.57","1.5","1755","2.46","2.68"
"2020","2","West","3.03","1.5","7110","2.98","3.08"
"2020","3","Ost","2.59","1.5","1646","2.51","2.67"
"2020","3","West","2.91","2.5","8540","2.87","2.95"
"2020","4","Ost","2.44","1.5","2044","2.38","2.5"
"2020","4","West","2.84","2.5","8055","2.81","2.87"
"2020","5","Ost","2.43","1.5","3695","2.39","2.47"
"2020","5","West","2.6","1.5","17086","2.58","2.62"
