"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2007","2","2.9","2.5","5413","1","2","4","5","6","2.86","2.94","1","8","3","3"
"2007","3","2.81","2.5","5605","1","2","4","4","6","2.78","2.84","1","7","3","3"
"2007","4","2.48","1.5","5736","1","2","3","4","5","2.45","2.51","1","6","3","3"
"2007","5 Einkommensstärkstes Quintil","2.38","1.5","4965","1","2","3","4","5","2.35","2.41","1","10","2","2"
"2008","1 Einkommensschwächstes Quintil","2.82","2.5","4284","1","2","4","5","8","2.77","2.87","1","13","3","3"
"2008","2","2.86","2.5","4676","1","2","4","5","6","2.82","2.9","1","10","3","3"
"2008","3","2.82","2.5","5399","1","2","4","4","6","2.79","2.85","1","8","3","3"
"2008","4","2.51","1.5","5548","1","2","3","4","5","2.48","2.54","1","8","3","3"
"2008","5 Einkommensstärkstes Quintil","2.4","1.5","4970","1","2","3","4","5","2.37","2.43","1","10","2","2"
"2009","1 Einkommensschwächstes Quintil","2.79","1.5","3778","1","2","4","5","6","2.74","2.84","1","14","3","3"
"2009","2","2.87","2.5","4308","1","2","4","5","6","2.83","2.91","1","10","3","3"
"2009","3","2.79","2.5","4874","1","2","4","4","6","2.75","2.83","1","7","3","3"
"2009","4","2.51","1.5","5353","1","2","3","4","5","2.48","2.54","1","8","3","3"
"2009","5 Einkommensstärkstes Quintil","2.42","1.5","4908","1","2","3","4","5","2.39","2.45","1","10","2","2"
"2010","1 Einkommensschwächstes Quintil","2.83","2.5","8133","1","2","4","5","7","2.79","2.87","1","15","4","4"
"2010","2","2.8","2.5","8359","1","2","4","5","6","2.77","2.83","1","9","4","4"
"2010","3","2.8","2.5","7221","1","2","4","5","6","2.77","2.83","1","9","3","4"
"2010","4","2.53","1.5","7305","1","2","3","4","5","2.5","2.56","1","7","3","3"
"2010","5 Einkommensstärkstes Quintil","2.42","1.5","6450","1","2","3","4","5","2.39","2.45","1","7","3","3"
"2011","1 Einkommensschwächstes Quintil","2.78","1.5","8577","1","2","4","5","7","2.74","2.82","1","13","3","4"
"2011","2","2.85","2.5","9269","1","2","4","5","7","2.82","2.88","1","12","4","4"
"2011","3","2.71","1.5","8745","1","2","4","4","6","2.68","2.74","1","9","3","4"
"2011","4","2.6","1.5","9296","1","2","4","4","5","2.57","2.63","1","7","3","3"
"2011","5 Einkommensstärkstes Quintil","2.44","1.5","8114","1","2","3","4","5","2.41","2.47","1","8","3","3"
"2012","1 Einkommensschwächstes Quintil","2.75","1.5","7137","1","1","4","5","8","2.71","2.79","1","12","3","3"
"2012","2","2.84","2.5","8571","1","2","4","5","7","2.81","2.87","1","12","4","4"
"2012","3","2.75","1.5","8842","1","2","4","4","6","2.72","2.78","1","9","3","4"
"2012","4","2.6","1.5","9321","1","2","4","4","6","2.57","2.63","1","8","3","3"
"2012","5 Einkommensstärkstes Quintil","2.45","1.5","8534","1","2","3","4","5","2.42","2.48","1","8","3","3"
"2013","1 Einkommensschwächstes Quintil","2.84","1.5","8781","1","1","4","5","8","2.8","2.88","1","13","4","4"
"2013","2","2.91","2.5","9619","1","2","4","5","7","2.88","2.94","1","10","4","4"
"2013","3","2.72","1.5","9346","1","2","4","4","6","2.69","2.75","1","11","4","4"
"2013","4","","","","","","","","","","","","","",""
"2013","5 Einkommensstärkstes Quintil","2.42","1.5","9360","1","2","3","4","5","2.39","2.45","1","8","3","3"
"2014","1 Einkommensschwächstes Quintil","2.87","1.5","6541","1","1","4","5","9","2.82","2.92","1","12","4","4"
"2014","2","2.89","2.5","7845","1","2","4","5","7","2.85","2.93","1","12","4","4"
"2014","3","2.73","1.5","8242","1","2","4","4","7","2.7","2.76","1","10","4","4"
"2014","4","2.56","1.5","9637","1","2","3","4","5","2.53","2.59","1","9","3","3"
"2014","5 Einkommensstärkstes Quintil","2.46","1.5","9242","1","2","3","4","5","2.43","2.49","1","10","3","3"
"2015","1 Einkommensschwächstes Quintil","2.84","1.5","6567","1","1","4","5","9","2.79","2.89","1","12","4","4"
"2015","2","2.84","2.5","7217","1","2","4","5","8","2.8","2.88","1","12","4","4"
"2015","3","2.73","1.5","7978","1","2","4","5","6","2.7","2.76","1","10","3","4"
"2015","4","2.55","1.5","9548","1","2","3","4","5","2.52","2.58","1","8","3","3"
"2015","5 Einkommensstärkstes Quintil","2.48","1.5","9740","1","2","3","4","5","2.45","2.51","1","8","3","3"
"2016","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2016","2","2.9","2.5","6457","1","2","4","5","7","2.86","2.94","1","13","4","4"
"2016","3","2.74","1.5","6876","1","2","4","4","7","2.7","2.78","1","9","3","4"
"2016","4","2.57","1.5","9275","1","2","3","4","6","2.54","2.6","1","9","3","3"
"2016","5 Einkommensstärkstes Quintil","2.5","1.5","9548","1","2","3","4","5","2.47","2.53","1","9","3","3"
"2017","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2017","2","2.91","2.5","6551","1","2","4","5","7","2.87","2.95","1","11","4","4"
"2017","3","2.74","1.5","7364","1","2","4","4","7","2.7","2.78","1","13","3","4"
"2017","4","","","","","","","","","","","","","",""
"2017","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2018","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2018","2","2.86","1.5","6324","1","1","4","5","8","2.81","2.91","1","11","4","4"
"2018","3","2.82","1.5","7085","1","2","4","5","7","2.78","2.86","1","10","4","4"
"2018","4","","","","","","","","","","","","","",""
"2018","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2019","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2019","2","2.87","1.5","5947","1","2","4","5","7","2.82","2.92","1","13","4","4"
"2019","3","2.79","1.5","6293","1","2","4","5","7","2.75","2.83","1","10","3","4"
"2019","4","","","","","","","","","","","","","",""
"2019","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2020","1 Einkommensschwächstes Quintil","2.99","1.5","9756","1","1","4","6","9","2.95","3.03","1","12","4","5"
"2020","2","2.85","1.5","7350","1","1","4","5","7","2.8","2.9","1","13","4","4"
"2020","3","2.78","1.5","6491","1","2","4","5","7","2.74","2.82","1","11","3","4"
"2020","4","","","","","","","","","","","","","",""
"2020","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
