syear,age_gr,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2008,17-29 J.,173.88181066469903,173.71798053078896,174.0456407986091,167.0,174.0,180.0,147.5,199.5,174.0,174.0,175.0,3143.0
2008,30-45 J.,173.52465681523844,173.39648727895437,173.65282635152252,167.0,173.0,180.0,147.5,199.5,173.0,172.0,173.0,5166.0
2008,46-65 J.,170.9730413028359,170.8666889236322,171.07939368203958,164.0,170.0,178.0,143.0,199.0,170.0,169.0,170.0,6673.0
2008,66 und älter,167.64192056136716,167.51626073551793,167.76758038721638,162.0,168.0,174.0,144.0,192.0,168.0,168.0,169.0,4279.0
2009,17-29 J.,,,,,,,,,,,,
2009,30-45 J.,,,,,,,,,,,,
2009,46-65 J.,,,,,,,,,,,,
2009,66 und älter,,,,,,,,,,,,
2010,17-29 J.,174.9051776419427,174.72141895123255,175.08893633265282,168.0,175.0,182.0,147.0,203.0,175.0,175.0,176.0,2502.0
2010,30-45 J.,173.79047671201195,173.65111670050015,173.92983672352375,167.0,174.0,180.0,147.5,199.5,174.0,174.0,175.0,4092.0
2010,46-65 J.,171.21331257843931,171.0989200235907,171.32770513328794,165.0,170.0,178.0,145.5,197.5,170.0,169.0,170.0,5996.0
2010,66 und älter,167.64740519113207,167.51608344458177,167.77872693768236,161.0,168.0,174.0,141.5,193.5,168.0,168.0,169.0,3989.0
2011,17-29 J.,,,,,,,,,,,,
2011,30-45 J.,,,,,,,,,,,,
2011,46-65 J.,,,,,,,,,,,,
2011,66 und älter,,,,,,,,,,,,
2012,17-29 J.,174.19388367430793,174.0230074446787,174.36475990393714,168.0,174.0,180.0,150.0,198.0,174.0,173.0,175.0,2873.0
2012,30-45 J.,174.13011991064937,173.99462377913483,174.2656160421639,167.0,174.0,180.0,147.5,199.5,174.0,173.0,175.0,4571.0
2012,46-65 J.,171.50359764484273,171.40389080466346,171.603304485022,165.0,171.0,178.0,145.5,197.5,171.0,170.0,172.0,7813.0
2012,66 und älter,167.7458004050443,167.6304517529442,167.8611490571444,161.0,168.0,174.0,141.5,193.5,168.0,168.0,169.0,5167.0
2013,17-29 J.,,,,,,,,,,,,
2013,30-45 J.,,,,,,,,,,,,
2013,46-65 J.,,,,,,,,,,,,
2013,66 und älter,,,,,,,,,,,,
2014,17-29 J.,174.1427614552182,173.99684999469184,174.28867291574454,167.0,174.0,180.23171407609112,147.15242888586332,200.0792851902278,174.0,173.0,175.0,4276.0
2014,30-45 J.,173.7145865615495,173.61440546491588,173.81476765818314,167.0,173.0,180.0,147.5,199.5,173.0,172.0,173.0,8496.0
2014,46-65 J.,171.8496567089022,171.75670125348447,171.9426121643199,165.0,172.0,178.0,145.5,197.5,172.0,172.0,173.0,9290.0
2014,66 und älter,167.87290797297533,167.7533651781249,167.99245076782574,161.0,168.0,175.0,140.0,196.0,168.0,168.0,169.0,4934.0
2015,17-29 J.,,,,,,,,,,,,
2015,30-45 J.,,,,,,,,,,,,
2015,46-65 J.,,,,,,,,,,,,
2015,66 und älter,,,,,,,,,,,,
2016,17-29 J.,174.36026050413417,174.20634414207913,174.51417686618922,168.0,174.0,181.0,148.5,200.5,174.0,173.0,175.0,3782.0
2016,30-45 J.,173.85959784621045,173.75011537854328,173.9690803138776,167.0,174.0,180.0,147.5,199.5,174.0,173.0,175.0,7025.0
2016,46-65 J.,172.01115813449175,171.91529464495693,172.10702162402657,165.0,172.0,178.0,145.5,197.5,172.0,172.0,173.0,8562.0
2016,66 und älter,167.9862558376135,167.86263229667244,168.10987937855455,162.0,168.0,175.0,142.5,194.5,168.0,168.0,168.025,4689.0
2017,17-29 J.,,,,,,,,,,,,
2017,30-45 J.,,,,,,,,,,,,
2017,46-65 J.,,,,,,,,,,,,
2017,66 und älter,,,,,,,,,,,,
2018,17-29 J.,174.29280235567037,174.16036661098622,174.42523810035453,166.0,174.0,182.0,142.0,206.0,174.0,173.0,175.0,5283.0
2018,30-45 J.,173.6691072637115,173.56773565508507,173.77047887233795,167.0,174.0,180.0,147.5,199.5,174.0,174.0,175.0,8264.0
2018,46-65 J.,172.36976616627743,172.2797671822871,172.45976515026777,165.0,172.0,179.0,144.0,200.0,172.0,172.0,172.0,10134.0
2018,66 und älter,168.08132099099217,167.95939646771066,168.20324551427368,162.0,168.0,175.0,142.5,194.5,168.0,168.0,168.0,4981.0
2019,17-29 J.,,,,,,,,,,,,
2019,30-45 J.,,,,,,,,,,,,
2019,46-65 J.,,,,,,,,,,,,
2019,66 und älter,,,,,,,,,,,,
2020,17-29 J.,174.39066738887942,174.2425080225824,174.53882675517644,166.0,175.0,182.0,142.0,206.0,175.0,175.0,177.0,4317.0
2020,30-45 J.,173.62679866281874,173.51379621995616,173.73980110568132,167.0,174.0,180.0,147.5,199.5,174.0,174.0,175.0,6614.0
2020,46-65 J.,172.86966665632073,172.77775120116908,172.96158211147238,166.0,172.0,180.0,145.0,201.0,172.0,171.0,172.0,9770.0
2020,66 und älter,168.29669537224294,168.17140132875892,168.42198941572696,162.0,168.0,175.0,142.5,194.5,168.0,168.0,168.0,4860.0
2021,17-29 J.,,,,,,,,,,,,
2021,30-45 J.,,,,,,,,,,,,
2021,46-65 J.,,,,,,,,,,,,
2021,66 und älter,,,,,,,,,,,,
