year,bula_h,ple0011,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2013,Saxony-Anhalt,No,0.9143610013175231,44486,0.911760608066267,0.9169613945687791
2013,Saxony-Anhalt,Yes,0.08563899868247694,44486,0.08303860543122094,0.08823939193373295
2013,Thuringa,No,0.9198998748435544,44486,0.9173773742922819,0.9224223753948269
2013,Thuringa,Yes,0.08010012515644556,44486,0.0775776246051731,0.08262262570771801
2015,Schleswig-Holstein,No,0.9130434782608695,38036,0.9102117246616882,0.9158752318600508
2015,Schleswig-Holstein,Yes,0.08695652173913043,38036,0.08412476813994914,0.08978827533831173
2015,Hamburg,No,0.92018779342723,38036,0.917464267306051,0.922911319548409
2015,Hamburg,Yes,0.07981220657276995,38036,0.07708868045159092,0.08253573269394898
2015,Lower Saxony,No,0.922759190417183,38036,0.9200761559598495,0.9254422248745166
2015,Lower Saxony,Yes,0.07724080958281702,38036,0.07455777512548352,0.07992384404015053
2015,Bremen,No,0.8662790697674418,38036,0.862858588177208,0.8696995513576757
2015,Bremen,Yes,0.13372093023255813,38036,0.13030044864232426,0.137141411822792
2015,North Rhine-Westphalia,No,0.9028073572120039,38036,0.8998303979443564,0.9057843164796514
2015,North Rhine-Westphalia,Yes,0.09719264278799612,38036,0.09421568352034866,0.10016960205564358
2015,Hesse,No,0.910850439882698,38036,0.9079866457794938,0.9137142339859021
2015,Hesse,Yes,0.08914956011730206,38036,0.0862857660140979,0.09201335422050622
2015,"Rhineland-Palatinate, Saarland",No,0.9224598930481284,38036,0.9197721014236806,0.9251476846725761
2015,"Rhineland-Palatinate, Saarland",Yes,0.07754010695187166,38036,0.07485231532742385,0.08022789857631947
2015,Baden-Wuerttemberg,No,0.9179229480737019,38036,0.915164450285187,0.9206814458622168
2015,Baden-Wuerttemberg,Yes,0.08207705192629816,38036,0.07931855413778323,0.0848355497148131
2015,Bavaria,No,0.9158182269679662,38036,0.9130277892879936,0.9186086646479389
2015,Bavaria,Yes,0.08418177303203377,38036,0.08139133535206114,0.08697221071200639
2015,Berlin,No,0.9057017543859649,38036,0.9027647603613108,0.908638748410619
2015,Berlin,Yes,0.09429824561403509,38036,0.09136125158938099,0.09723523963868919
2015,Brandenburg,No,0.9227642276422764,38036,0.9200812733498964,0.9254471819346564
2015,Brandenburg,Yes,0.07723577235772358,38036,0.07455281806534356,0.0799187266501036
2015,Mecklenburg-Western Pomerania,No,0.8904847396768402,38036,0.8873463330469521,0.8936231463067282
2015,Mecklenburg-Western Pomerania,Yes,0.10951526032315978,38036,0.10637685369327171,0.11265366695304785
2015,Saxony,No,0.9258769027134348,38036,0.9232441379533443,0.9285096674735254
2015,Saxony,Yes,0.07412309728656519,38036,0.07149033252647463,0.07675586204665574
2015,Saxony-Anhalt,No,0.8971751412429378,38036,0.8941227069174824,0.9002275755683933
2015,Saxony-Anhalt,Yes,0.10282485875706214,38036,0.0997724244316067,0.10587729308251759
2015,Thuringa,No,0.908695652173913,38036,0.905800885218428,0.911590419129398
2015,Thuringa,Yes,0.09130434782608696,38036,0.088409580870602,0.09419911478157192
2017,Schleswig-Holstein,No,0.9137749737118822,45410,0.9111932092531934,0.9163567381705711
2017,Schleswig-Holstein,Yes,0.08622502628811778,45410,0.08364326182942887,0.08880679074680668
2017,Hamburg,No,0.9120171673819742,45410,0.9094117290573371,0.9146226057066114
2017,Hamburg,Yes,0.08798283261802575,45410,0.08537739429338864,0.09058827094266286
2017,Lower Saxony,No,0.918057100482017,45410,0.9155343701383571,0.920579830825677
2017,Lower Saxony,Yes,0.08194289951798295,45410,0.07942016917432305,0.08446562986164284
2017,Bremen,No,0.9045454545454545,45410,0.901842779540701,0.9072481295502081
2017,Bremen,Yes,0.09545454545454546,45410,0.09275187044979193,0.09815722045929899
