year,bula_h,quintil_oecd,region_secnat,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2001,North Rhine-Westphalia,1st Quintile,Eastern Europe,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,North Rhine-Westphalia,1st Quintile,Western Europe,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,North Rhine-Westphalia,1st Quintile,Western Asia,0.16666666666666666,27798,0.16228556786059906,0.17104776547273426
2001,North Rhine-Westphalia,1st Quintile,Sub-Saharan Africa,0.08333333333333333,27798,0.0800842234995958,0.08658244316707085
2001,North Rhine-Westphalia,1st Quintile,Northern Europe,0.08333333333333333,27798,0.0800842234995958,0.08658244316707085
2001,North Rhine-Westphalia,2nd Quintile,Northern Europe,0.25,27798,0.24490962318580328,0.2550903768141967
2001,North Rhine-Westphalia,2nd Quintile,Eastern Europe,0.25,27798,0.24490962318580328,0.2550903768141967
2001,North Rhine-Westphalia,2nd Quintile,Western Asia,0.125,27798,0.12111216048884924,0.12888783951115076
2001,North Rhine-Westphalia,2nd Quintile,Central Asia,0.125,27798,0.12111216048884924,0.12888783951115076
2001,North Rhine-Westphalia,2nd Quintile,Southern Asia,0.125,27798,0.12111216048884924,0.12888783951115076
2001,North Rhine-Westphalia,2nd Quintile,Southern Europe,0.125,27798,0.12111216048884924,0.12888783951115076
2001,North Rhine-Westphalia,3rd Quintile,Western Europe,0.25,27798,0.24490962318580328,0.2550903768141967
2001,North Rhine-Westphalia,3rd Quintile,Eastern Europe,0.25,27798,0.24490962318580328,0.2550903768141967
2001,North Rhine-Westphalia,3rd Quintile,Southern Europe,0.25,27798,0.24490962318580328,0.2550903768141967
2001,North Rhine-Westphalia,3rd Quintile,Northern America,0.125,27798,0.12111216048884924,0.12888783951115076
2001,North Rhine-Westphalia,3rd Quintile,Western Asia,0.125,27798,0.12111216048884924,0.12888783951115076
2001,North Rhine-Westphalia,4th Quintile,Eastern Europe,0.5384615384615384,27798,0.532601093535907,0.5443219833871699
2001,North Rhine-Westphalia,4th Quintile,Western Europe,0.23076923076923078,27798,0.22581625080573128,0.23572221073273028
2001,North Rhine-Westphalia,4th Quintile,Southern Europe,0.23076923076923078,27798,0.22581625080573128,0.23572221073273028
2001,North Rhine-Westphalia,5th Quintile,Southern Europe,0.375,27798,0.36930878570618364,0.38069121429381636
2001,North Rhine-Westphalia,5th Quintile,Northern America,0.25,27798,0.24490962318580328,0.2550903768141967
2001,North Rhine-Westphalia,5th Quintile,Northern Europe,0.125,27798,0.12111216048884924,0.12888783951115076
2001,North Rhine-Westphalia,5th Quintile,Eastern Europe,0.125,27798,0.12111216048884924,0.12888783951115076
2001,North Rhine-Westphalia,5th Quintile,Western Asia,0.125,27798,0.12111216048884924,0.12888783951115076
2001,Hesse,1st Quintile,Latin America and the Caribbean,0.375,27798,0.36930878570618364,0.38069121429381636
2001,Hesse,1st Quintile,Central Asia,0.25,27798,0.24490962318580328,0.2550903768141967
2001,Hesse,1st Quintile,Eastern Europe,0.25,27798,0.24490962318580328,0.2550903768141967
2001,Hesse,1st Quintile,Western Europe,0.125,27798,0.12111216048884924,0.12888783951115076
2001,Hesse,2nd Quintile,Eastern Europe,0.75,27798,0.7449096231858032,0.7550903768141968
2001,Hesse,2nd Quintile,Southern Asia,0.25,27798,0.24490962318580328,0.2550903768141967
2001,Hesse,3rd Quintile,Eastern Europe,0.7142857142857143,27798,0.7089750205574537,0.719596408013975
2001,Hesse,3rd Quintile,Sub-Saharan Africa,0.14285714285714285,27798,0.13874349718387052,0.14697078853041518
2001,Hesse,3rd Quintile,Northern America,0.14285714285714285,27798,0.13874349718387052,0.14697078853041518
2001,Hesse,4th Quintile,Latin America and the Caribbean,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Hesse,4th Quintile,Northern America,0.16666666666666666,27798,0.16228556786059906,0.17104776547273426
2001,Hesse,4th Quintile,Eastern Asia,0.16666666666666666,27798,0.16228556786059906,0.17104776547273426
2001,Hesse,4th Quintile,Eastern Europe,0.16666666666666666,27798,0.16228556786059906,0.17104776547273426
2001,Hesse,4th Quintile,Western Europe,0.16666666666666666,27798,0.16228556786059906,0.17104776547273426
2001,Hesse,5th Quintile,Southern Europe,0.5,27798,0.4941221391520938,0.5058778608479062
2001,Hesse,5th Quintile,Southern Asia,0.16666666666666666,27798,0.16228556786059906,0.17104776547273426
2001,Hesse,5th Quintile,Australia and New Zealand,0.16666666666666666,27798,0.16228556786059906,0.17104776547273426
2001,Hesse,5th Quintile,Eastern Europe,0.16666666666666666,27798,0.16228556786059906,0.17104776547273426
2001,"Rhineland-Palatinate, Saarland",1st Quintile,Eastern Europe,0.5714285714285714,27798,0.5656109979266323,0.5772461449305105
2001,"Rhineland-Palatinate, Saarland",1st Quintile,Central Asia,0.2857142857142857,27798,0.2804035919860251,0.2910249794425463
2001,"Rhineland-Palatinate, Saarland",1st Quintile,Southern Europe,0.14285714285714285,27798,0.13874349718387052,0.14697078853041518
2001,"Rhineland-Palatinate, Saarland",2nd Quintile,Eastern Europe,0.4444444444444444,27798,0.4386029793696876,0.4502859095192012
2001,"Rhineland-Palatinate, Saarland",2nd Quintile,Central Asia,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,"Rhineland-Palatinate, Saarland",2nd Quintile,Northern America,0.1111111111111111,27798,0.10741664420939964,0.11480557801282257
2001,"Rhineland-Palatinate, Saarland",2nd Quintile,Western Europe,0.1111111111111111,27798,0.10741664420939964,0.11480557801282257
2001,"Rhineland-Palatinate, Saarland",4th Quintile,Eastern Europe,0.8,27798,0.795297711321675,0.804702288678325
2001,"Rhineland-Palatinate, Saarland",4th Quintile,Southern Europe,0.2,27798,0.19529771132167503,0.204702288678325
2001,"Rhineland-Palatinate, Saarland",5th Quintile,Western Europe,1.0,27798,1.0,1.0
2001,Baden-Wuerttemberg,1st Quintile,Central Asia,0.35714285714285715,27798,0.35151001582077024,0.36277569846494406
2001,Baden-Wuerttemberg,1st Quintile,Eastern Europe,0.21428571428571427,27798,0.2094620371616528,0.21910939140977576
2001,Baden-Wuerttemberg,1st Quintile,Western Asia,0.14285714285714285,27798,0.13874349718387052,0.14697078853041518
2001,Baden-Wuerttemberg,1st Quintile,Southern Europe,0.07142857142857142,27798,0.06840101018897599,0.07445613266816686
2001,Baden-Wuerttemberg,1st Quintile,Sub-Saharan Africa,0.07142857142857142,27798,0.06840101018897599,0.07445613266816686
2001,Baden-Wuerttemberg,1st Quintile,Western Europe,0.07142857142857142,27798,0.06840101018897599,0.07445613266816686
2001,Baden-Wuerttemberg,1st Quintile,Latin America and the Caribbean,0.07142857142857142,27798,0.06840101018897599,0.07445613266816686
2001,Baden-Wuerttemberg,2nd Quintile,Eastern Europe,0.4,27798,0.3942408960574188,0.40575910394258125
2001,Baden-Wuerttemberg,2nd Quintile,Western Europe,0.3,27798,0.2946128515480105,0.3053871484519895
