year,bula_h,regtyp,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Lower Saxony,Rural regions,Eastern Europe,0.66462,33,33,0.50104,0.82821
2017,North Rhine-Westphalia,Urban regions,Southern Europe,0.15428,44,172,0.10014,0.20842
2017,North Rhine-Westphalia,Urban regions,Western Asia,0.10263,32,172,0.05714,0.14811
2017,North Rhine-Westphalia,Urban regions,Eastern Europe,0.40607,96,172,0.33246,0.47968
2017,"Rhineland-Palatinate, Saarland",Urban regions,Eastern Europe,0.34969,31,31,0.17905,0.52034
2017,Baden-Wuerttemberg,Urban regions,Southern Europe,0.26454,33,85,0.17021,0.35887
2017,Baden-Wuerttemberg,Urban regions,Eastern Europe,0.33679,52,85,0.23572,0.43786
2017,Bavaria,Urban regions,Eastern Europe,0.42618,32,32,0.25209,0.60026
2017,Bavaria,Rural regions,Eastern Europe,0.63181,44,44,0.48765,0.77597
2018,Lower Saxony,Rural regions,Eastern Europe,0.70225,32,32,0.54128,0.86322
2018,North Rhine-Westphalia,Urban regions,Southern Europe,0.10552,39,187,0.06137,0.14967
2018,North Rhine-Westphalia,Urban regions,Western Asia,0.10670,36,187,0.06233,0.15107
2018,North Rhine-Westphalia,Urban regions,Eastern Europe,0.43131,112,187,0.36014,0.50249
2018,Baden-Wuerttemberg,Urban regions,Southern Europe,0.25342,35,80,0.15751,0.34934
2018,Baden-Wuerttemberg,Urban regions,Eastern Europe,0.27252,45,80,0.17433,0.37071
2018,Bavaria,Urban regions,Eastern Europe,0.52783,46,46,0.38196,0.67369
2018,Bavaria,Rural regions,Eastern Europe,0.51715,44,44,0.36779,0.66651
2019,Lower Saxony,Rural regions,Eastern Europe,0.71029,36,36,0.56000,0.86057
2019,North Rhine-Westphalia,Urban regions,Southern Europe,0.15731,54,161,0.10089,0.21373
2019,North Rhine-Westphalia,Urban regions,Eastern Europe,0.42226,107,161,0.34573,0.49880
2019,Baden-Wuerttemberg,Urban regions,Southern Europe,0.26530,34,80,0.16794,0.36265
2019,Baden-Wuerttemberg,Urban regions,Eastern Europe,0.25533,46,80,0.15918,0.35149
2019,Bavaria,Urban regions,Eastern Europe,0.38087,35,35,0.21764,0.54410
2019,Bavaria,Rural regions,Eastern Europe,0.51452,39,39,0.35561,0.67343
2020,Lower Saxony,Rural regions,Eastern Europe,0.56516,42,42,0.41341,0.71690
2020,North Rhine-Westphalia,Urban regions,Southern Europe,0.17502,56,214,0.12399,0.22605
2020,North Rhine-Westphalia,Urban regions,Western Asia,0.11743,39,214,0.07420,0.16067
2020,North Rhine-Westphalia,Urban regions,Eastern Europe,0.37109,119,214,0.30621,0.43597
2020,Baden-Wuerttemberg,Urban regions,Southern Europe,0.23600,36,89,0.14728,0.32472
2020,Baden-Wuerttemberg,Urban regions,Eastern Europe,0.28230,53,89,0.18825,0.37635
2020,Bavaria,Urban regions,Eastern Europe,0.18430,39,39,0.06102,0.30758
2020,Bavaria,Rural regions,Eastern Europe,0.42916,41,41,0.27577,0.58255
2021,North Rhine-Westphalia,Urban regions,Southern Europe,0.23264,43,125,0.15827,0.30701
2021,North Rhine-Westphalia,Urban regions,Eastern Europe,0.46427,82,125,0.37649,0.55205
2021,Bavaria,Urban regions,Eastern Europe,0.45454,36,36,0.28958,0.61951
2022,North Rhine-Westphalia,Urban regions,Southern Europe,0.21002,63,223,0.15644,0.26361
2022,North Rhine-Westphalia,Urban regions,Western Asia,0.10207,55,223,0.06224,0.14189
2022,North Rhine-Westphalia,Urban regions,Eastern Europe,0.35373,105,223,0.29084,0.41663
2022,Baden-Wuerttemberg,Urban regions,Eastern Europe,0.26804,39,39,0.12720,0.40887
2022,Bavaria,Urban regions,Eastern Europe,0.24532,42,42,0.11361,0.37703
