"pgisced97","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"middle vocational","1984","(Fach-)Abitur","Nordrhein-Westfalen","132","0.47502353241567","0.414439898723437","0.535607166107903"
"middle vocational","1984","(Fach-)Abitur","Hessen","59","0.577896535640129","0.483874497305159","0.6719185739751"
"middle vocational","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"middle vocational","1984","(Fach-)Abitur","Baden-Wuerttemberg","58","0.434894447542209","0.35157711533591","0.518211779748508"
"middle vocational","1984","(Fach-)Abitur","Bayern","58","0.415194772305757","0.333278109304994","0.497111435306521"
"middle vocational","1984","(Fach-)Abitur","Saarland","","","",""
"middle vocational","1984","(Fach-)Abitur","Berlin","","","",""
"middle vocational","1984","(Fach-)Abitur","Brandenburg","","","",""
"middle vocational","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"middle vocational","1984","(Fach-)Abitur","Sachsen","","","",""
"middle vocational","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"middle vocational","1984","(Fach-)Abitur","Thueringen","","","",""
"middle vocational","1984","AkademikerInnen","Schleswig-Holstein","","","",""
"middle vocational","1984","AkademikerInnen","Hamburg","","","",""
"middle vocational","1984","AkademikerInnen","Niedersachsen","","","",""
"middle vocational","1984","AkademikerInnen","Bremen","","","",""
"middle vocational","1984","AkademikerInnen","Nordrhein-Westfalen","","","",""
"middle vocational","1984","AkademikerInnen","Hessen","","","",""
"middle vocational","1984","AkademikerInnen","Rheinland-Pfalz,Saarland","","","",""
"middle vocational","1984","AkademikerInnen","Baden-Wuerttemberg","","","",""
"middle vocational","1984","AkademikerInnen","Bayern","","","",""
"middle vocational","1984","AkademikerInnen","Saarland","","","",""
"middle vocational","1984","AkademikerInnen","Berlin","","","",""
"middle vocational","1984","AkademikerInnen","Brandenburg","","","",""
"middle vocational","1984","AkademikerInnen","Mecklenburg-Vorpommern","","","",""
"middle vocational","1984","AkademikerInnen","Sachsen","","","",""
"middle vocational","1984","AkademikerInnen","Sachsen-Anhalt","","","",""
"middle vocational","1984","AkademikerInnen","Thueringen","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Hamburg","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Bremen","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Hessen","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Bayern","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Saarland","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Berlin","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Brandenburg","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Sachsen","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","Thueringen","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Schleswig-Holstein","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Hamburg","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Niedersachsen","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Bremen","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Nordrhein-Westfalen","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Hessen","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Baden-Wuerttemberg","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Bayern","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Saarland","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Berlin","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Brandenburg","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Sachsen","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"vocational + Abi","1984","Hauptschulabschluss","Thueringen","","","",""
"vocational + Abi","1984","Realschulabschluss","Schleswig-Holstein","","","",""
"vocational + Abi","1984","Realschulabschluss","Hamburg","","","",""
"vocational + Abi","1984","Realschulabschluss","Niedersachsen","","","",""
"vocational + Abi","1984","Realschulabschluss","Bremen","","","",""
"vocational + Abi","1984","Realschulabschluss","Nordrhein-Westfalen","","","",""
"vocational + Abi","1984","Realschulabschluss","Hessen","","","",""
"vocational + Abi","1984","Realschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"vocational + Abi","1984","Realschulabschluss","Baden-Wuerttemberg","","","",""
"vocational + Abi","1984","Realschulabschluss","Bayern","","","",""
"vocational + Abi","1984","Realschulabschluss","Saarland","","","",""
"vocational + Abi","1984","Realschulabschluss","Berlin","","","",""
"vocational + Abi","1984","Realschulabschluss","Brandenburg","","","",""
"vocational + Abi","1984","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"vocational + Abi","1984","Realschulabschluss","Sachsen","","","",""
"vocational + Abi","1984","Realschulabschluss","Sachsen-Anhalt","","","",""
"vocational + Abi","1984","Realschulabschluss","Thueringen","","","",""
"vocational + Abi","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"vocational + Abi","1984","(Fach-)Abitur","Hamburg","","","",""
"vocational + Abi","1984","(Fach-)Abitur","Niedersachsen","","","",""
"vocational + Abi","1984","(Fach-)Abitur","Bremen","","","",""
"vocational + Abi","1984","(Fach-)Abitur","Nordrhein-Westfalen","89","0.335574340337669","0.278288748005812","0.392859932669526"
"vocational + Abi","1984","(Fach-)Abitur","Hessen","37","0.294045715977703","0.207311416412068","0.380780015543337"
"vocational + Abi","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"vocational + Abi","1984","(Fach-)Abitur","Baden-Wuerttemberg","52","0.290013593927356","0.213750779040566","0.366276408814147"
"vocational + Abi","1984","(Fach-)Abitur","Bayern","55","0.340600103922612","0.261816196580267","0.419384011264957"
"vocational + Abi","1984","(Fach-)Abitur","Saarland","","","",""
