"pgisced97","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"vocational + Abi","1986","16-34 Jahre alt","maennlich","84","0.042029336252427","0.0333538355653436","0.0507048369395103"
"vocational + Abi","1986","16-34 Jahre alt","weiblich","71","0.0366714791548844","0.0283843130461465","0.0449586452636223"
"vocational + Abi","1986","35-65 Jahre alt","maennlich","67","0.0186214744468589","0.0135551297583197","0.0236878191353981"
"vocational + Abi","1986","35-65 Jahre alt","weiblich","36","0.0112131163452464","0.00725527847399883","0.0151709542164939"
"vocational + Abi","1986","66 und älter","maennlich","","","",""
"vocational + Abi","1986","66 und älter","weiblich","","","",""
"higher vocational","1986","16-34 Jahre alt","maennlich","82","0.0474565575758608","0.0382640776597266","0.056649037491995"
"higher vocational","1986","16-34 Jahre alt","weiblich","108","0.0655012405218268","0.0545926472820057","0.0764098337616478"
"higher vocational","1986","35-65 Jahre alt","maennlich","204","0.0944185919470064","0.0834598188646074","0.105377365029405"
"higher vocational","1986","35-65 Jahre alt","weiblich","115","0.0527416514456783","0.0443401951959714","0.0611431076953851"
"higher vocational","1986","66 und älter","maennlich","47","0.103179858486985","0.0742594936980431","0.132100223275927"
"higher vocational","1986","66 und älter","weiblich","","","",""
"higher education","1986","16-34 Jahre alt","maennlich","132","0.0754198064966831","0.0640026704101298","0.0868369425832364"
"higher education","1986","16-34 Jahre alt","weiblich","97","0.0549718450231184","0.0449222826180879","0.065021407428149"
"higher education","1986","35-65 Jahre alt","maennlich","336","0.140032720394494","0.12702727732624","0.153038163462749"
"higher education","1986","35-65 Jahre alt","weiblich","133","0.0534473044754326","0.0449929823914465","0.0619016265594188"
"higher education","1986","66 und älter","maennlich","38","0.0842086064132347","0.0578070126118196","0.11061020021465"
"higher education","1986","66 und älter","weiblich","","","",""
"in school","1987","16-34 Jahre alt","maennlich","101","0.0415025248678476","0.0328369250326654","0.0501681247030298"
"in school","1987","16-34 Jahre alt","weiblich","91","0.0419859848935109","0.0330337250333962","0.0509382447536256"
"in school","1987","35-65 Jahre alt","maennlich","","","",""
"in school","1987","35-65 Jahre alt","weiblich","","","",""
"in school","1987","66 und älter","maennlich","","","",""
"in school","1987","66 und älter","weiblich","","","",""
"inadequately","1987","16-34 Jahre alt","maennlich","84","0.0291889343866738","0.0218751464578829","0.0365027223154648"
"inadequately","1987","16-34 Jahre alt","weiblich","124","0.0307611211418951","0.0230536648683873","0.0384685774154028"
"inadequately","1987","35-65 Jahre alt","maennlich","223","0.0216999071958001","0.0161826056622013","0.0272172087293988"
"inadequately","1987","35-65 Jahre alt","weiblich","314","0.0301108544941938","0.0236202507287052","0.0366014582596825"
"inadequately","1987","66 und älter","maennlich","","","",""
"inadequately","1987","66 und älter","weiblich","","","",""
"general elemantary","1987","16-34 Jahre alt","maennlich","536","0.198164091507746","0.180845159183113","0.215483023832379"
"general elemantary","1987","16-34 Jahre alt","weiblich","560","0.242141258088403","0.223019707544657","0.261262808632149"
"general elemantary","1987","35-65 Jahre alt","maennlich","413","0.11353178998425","0.101518773868254","0.125544806100245"
"general elemantary","1987","35-65 Jahre alt","weiblich","935","0.371403198960987","0.353051705592638","0.389754692329335"
"general elemantary","1987","66 und älter","maennlich","57","0.127431330762453","0.0958771171204534","0.158985544404452"
"general elemantary","1987","66 und älter","weiblich","356","0.516919861088311","0.478679906130108","0.555159816046515"
"middle vocational","1987","16-34 Jahre alt","maennlich","1031","0.566471946712642","0.54494097201115","0.588002921414134"
"middle vocational","1987","16-34 Jahre alt","weiblich","878","0.519680593056082","0.49737941049992","0.541981775612243"
"middle vocational","1987","35-65 Jahre alt","maennlich","1449","0.610905452088778","0.592443555779035","0.629367348398521"
"middle vocational","1987","35-65 Jahre alt","weiblich","1122","0.474176669260096","0.455211683341659","0.493141655178533"
"middle vocational","1987","66 und älter","maennlich","264","0.639162666643917","0.593718213965696","0.684607119322138"
"middle vocational","1987","66 und älter","weiblich","244","0.398695581408652","0.361227273527486","0.436163889289818"
"vocational + Abi","1987","16-34 Jahre alt","maennlich","84","0.0475325314368279","0.0382879674679964","0.0567770954056593"
"vocational + Abi","1987","16-34 Jahre alt","weiblich","72","0.0419355265442455","0.0329884120590499","0.0508826410294411"
"vocational + Abi","1987","35-65 Jahre alt","maennlich","63","0.0166228338452591","0.0117813963862676","0.0214642713042505"
"vocational + Abi","1987","35-65 Jahre alt","weiblich","40","0.0135071355263197","0.00912292792553011","0.0178913431271094"
"vocational + Abi","1987","66 und älter","maennlich","","","",""
"vocational + Abi","1987","66 und älter","weiblich","","","",""
"higher vocational","1987","16-34 Jahre alt","maennlich","74","0.0443824910072867","0.0354347424724314","0.053330239542142"
"higher vocational","1987","16-34 Jahre alt","weiblich","109","0.0639652712619076","0.0530430069914408","0.0748875355323743"
"higher vocational","1987","35-65 Jahre alt","maennlich","202","0.0956157594158866","0.0844804326344027","0.10675108619737"
"higher vocational","1987","35-65 Jahre alt","weiblich","114","0.0532033389014798","0.0446790077879529","0.0617276700150067"
"higher vocational","1987","66 und älter","maennlich","44","0.0963681304124978","0.0684438538007822","0.124292407024213"
"higher vocational","1987","66 und älter","weiblich","","","",""
"higher education","1987","16-34 Jahre alt","maennlich","125","0.0727574800809759","0.0614724848974343","0.0840424752645175"
"higher education","1987","16-34 Jahre alt","weiblich","94","0.0595302450139567","0.0489684963618301","0.0700919936660833"
"higher education","1987","35-65 Jahre alt","maennlich","329","0.141624257470027","0.128421359254694","0.154827155685359"
"higher education","1987","35-65 Jahre alt","weiblich","138","0.0575988028569244","0.0487499463854119","0.0664476593284368"
"higher education","1987","66 und älter","maennlich","42","0.0948933592871245","0.0671609736202755","0.122625744953973"
"higher education","1987","66 und älter","weiblich","","","",""
"in school","1988","16-34 Jahre alt","maennlich","91","0.0474281483028159","0.0379206899145843","0.0569356066910474"
"in school","1988","16-34 Jahre alt","weiblich","73","0.0397030295469308","0.0307641834203863","0.0486418756734754"
"in school","1988","35-65 Jahre alt","maennlich","","","",""
"in school","1988","35-65 Jahre alt","weiblich","","","",""
"in school","1988","66 und älter","maennlich","","","",""
"in school","1988","66 und älter","weiblich","","","",""
"inadequately","1988","16-34 Jahre alt","maennlich","74","0.0278757108331884","0.0205124302611725","0.0352389914052042"
"inadequately","1988","16-34 Jahre alt","weiblich","117","0.0290457380367528","0.0213578428662806","0.0367336332072251"
"inadequately","1988","35-65 Jahre alt","maennlich","199","0.0188877769090022","0.0135948545442693","0.0241806992737351"
"inadequately","1988","35-65 Jahre alt","weiblich","295","0.0284878057216483","0.0220027578883706","0.0349728535549259"
"inadequately","1988","66 und älter","maennlich","","","",""
"inadequately","1988","66 und älter","weiblich","","","",""
"general elemantary","1988","16-34 Jahre alt","maennlich","524","0.19164622438964","0.174040725101914","0.209251723677366"
"general elemantary","1988","16-34 Jahre alt","weiblich","553","0.242053254222871","0.222444876343172","0.261661632102571"
"general elemantary","1988","35-65 Jahre alt","maennlich","400","0.111301072309083","0.0990725843344133","0.123529560283754"
"general elemantary","1988","35-65 Jahre alt","weiblich","874","0.365026949168721","0.34625974116967","0.383794157167773"
"general elemantary","1988","66 und älter","maennlich","55","0.127705864455535","0.0957860511335191","0.159625677777552"
"general elemantary","1988","66 und älter","weiblich","334","0.506841739921228","0.467955981769415","0.545727498073041"
"middle vocational","1988","16-34 Jahre alt","maennlich","959","0.568094160212288","0.545937608173714","0.590250712250863"
"middle vocational","1988","16-34 Jahre alt","weiblich","843","0.5230249152862","0.50015966843503","0.545890162137371"
"middle vocational","1988","35-65 Jahre alt","maennlich","1378","0.615373938571209","0.596457705247466","0.634290171894952"
"middle vocational","1988","35-65 Jahre alt","weiblich","1072","0.476165840574941","0.456697202022135","0.495634479127747"
"middle vocational","1988","66 und älter","maennlich","258","0.634717451859403","0.588667611657723","0.680767292061084"
"middle vocational","1988","66 und älter","weiblich","247","0.415321405957657","0.376993774390514","0.4536490375248"
"vocational + Abi","1988","16-34 Jahre alt","maennlich","78","0.0464458240065792","0.0370324893439004","0.0558591586692579"
"vocational + Abi","1988","16-34 Jahre alt","weiblich","75","0.0504658719985277","0.0404446417922864","0.0604871022047691"
"vocational + Abi","1988","35-65 Jahre alt","maennlich","62","0.0168081270221433","0.0118098012403416","0.0218064528039451"
"vocational + Abi","1988","35-65 Jahre alt","weiblich","37","0.0136802144628192","0.00915212622049814","0.0182083027051403"
"vocational + Abi","1988","66 und älter","maennlich","","","",""
"vocational + Abi","1988","66 und älter","weiblich","","","",""
"higher vocational","1988","16-34 Jahre alt","maennlich","73","0.0429108051855958","0.0338460304696956","0.0519755799014959"
"higher vocational","1988","16-34 Jahre alt","weiblich","89","0.0570852795128057","0.0464642862731472","0.0677062727524641"
"higher vocational","1988","35-65 Jahre alt","maennlich","193","0.0966499613114533","0.0851611622292024","0.108138760393704"
"higher vocational","1988","35-65 Jahre alt","weiblich","117","0.0569614729923564","0.0479267492025533","0.0659961967821595"
"higher vocational","1988","66 und älter","maennlich","45","0.100155433071006","0.071444688738701","0.128866177403311"
"higher vocational","1988","66 und älter","weiblich","","","",""
"higher education","1988","16-34 Jahre alt","maennlich","121","0.0755991270698927","0.063774538448309","0.0874237156914763"
"higher education","1988","16-34 Jahre alt","weiblich","83","0.0586219113959111","0.0478676920888079","0.0693761307030142"
"higher education","1988","35-65 Jahre alt","maennlich","309","0.140979123877109","0.127448275693322","0.154509972060895"
"higher education","1988","35-65 Jahre alt","weiblich","133","0.0596777170795137","0.0504434162060066","0.0689120179530209"
"higher education","1988","66 und älter","maennlich","42","0.0945488546627689","0.0665665105398143","0.122531198785723"
"higher education","1988","66 und älter","weiblich","","","",""
"in school","1989","16-34 Jahre alt","maennlich","90","0.0574688405849808","0.0469484166075574","0.0679892645624043"
"in school","1989","16-34 Jahre alt","weiblich","85","0.0452754090850218","0.0356546992211278","0.0548961189489158"
"in school","1989","35-65 Jahre alt","maennlich","","","",""
"in school","1989","35-65 Jahre alt","weiblich","","","",""
"in school","1989","66 und älter","maennlich","","","",""
"in school","1989","66 und älter","weiblich","","","",""
"inadequately","1989","16-34 Jahre alt","maennlich","72","0.0264650054980288","0.0192092783237543","0.0337207326723032"
"inadequately","1989","16-34 Jahre alt","weiblich","100","0.0273077642587928","0.0197660917634177","0.034849436754168"
"inadequately","1989","35-65 Jahre alt","maennlich","185","0.0200014043259516","0.0144371204697659","0.0255656881821372"
"inadequately","1989","35-65 Jahre alt","weiblich","290","0.0313007967306878","0.0243831246467176","0.0382184688146579"
"inadequately","1989","66 und älter","maennlich","","","",""
"inadequately","1989","66 und älter","weiblich","","","",""
"general elemantary","1989","16-34 Jahre alt","maennlich","470","0.182769494728609","0.165299478568273","0.200239510888945"
"general elemantary","1989","16-34 Jahre alt","weiblich","537","0.23987390880069","0.220114625061074","0.259633192540307"
"general elemantary","1989","35-65 Jahre alt","maennlich","386","0.109621069415555","0.0972045246034453","0.122037614227664"
"general elemantary","1989","35-65 Jahre alt","weiblich","810","0.34964396412529","0.330699758046227","0.368588170204353"
"general elemantary","1989","66 und älter","maennlich","54","0.13557796339381","0.102029273663043","0.169126653124578"
"general elemantary","1989","66 und älter","weiblich","333","0.505641587558467","0.466538538149307","0.544744636967628"
"middle vocational","1989","16-34 Jahre alt","maennlich","965","0.5563765183931","0.53391904852777","0.57883398825843"
"middle vocational","1989","16-34 Jahre alt","weiblich","826","0.51789220256724","0.494770030132254","0.541014375002226"
"middle vocational","1989","35-65 Jahre alt","maennlich","1324","0.615366271587694","0.596030708126176","0.634701835049212"
"middle vocational","1989","35-65 Jahre alt","weiblich","1043","0.480023898313537","0.46017616454894","0.499871632078133"
"middle vocational","1989","66 und älter","maennlich","239","0.613237634267552","0.565511682373024","0.660963586162079"
"middle vocational","1989","66 und älter","weiblich","241","0.414428926159694","0.375900336936513","0.452957515382876"
"vocational + Abi","1989","16-34 Jahre alt","maennlich","78","0.0475748679444047","0.0379526899687727","0.0571970459200366"
"vocational + Abi","1989","16-34 Jahre alt","weiblich","88","0.059178869471947","0.0482600990325789","0.0700976399113152"
"vocational + Abi","1989","35-65 Jahre alt","maennlich","61","0.0171906513747417","0.0120247380920036","0.0223565646574799"
"vocational + Abi","1989","35-65 Jahre alt","weiblich","39","0.0157572716213157","0.010809844309641","0.0207046989329905"
"vocational + Abi","1989","66 und älter","maennlich","","","",""
"vocational + Abi","1989","66 und älter","weiblich","","","",""
"higher vocational","1989","16-34 Jahre alt","maennlich","75","0.0449066113368729","0.0355450728314082","0.0542681498423376"
"higher vocational","1989","16-34 Jahre alt","weiblich","82","0.053988566457119","0.043530871676852","0.0644462612373859"
"higher vocational","1989","35-65 Jahre alt","maennlich","176","0.0924226664284216","0.0809120820398318","0.103933250817011"
"higher vocational","1989","35-65 Jahre alt","weiblich","115","0.0580389994867412","0.048750100848512","0.0673278981249703"
"higher vocational","1989","66 und älter","maennlich","43","0.100098686029846","0.0706863359406983","0.129511036118993"
"higher vocational","1989","66 und älter","weiblich","","","",""
"higher education","1989","16-34 Jahre alt","maennlich","130","0.0844386615140041","0.0718701583356924","0.0970071646923159"
"higher education","1989","16-34 Jahre alt","weiblich","76","0.0564832793591891","0.045800810785047","0.0671657479333312"
"higher education","1989","35-65 Jahre alt","maennlich","300","0.145397936867637","0.131388283296375","0.159407590438898"
"higher education","1989","35-65 Jahre alt","weiblich","137","0.0652350697224287","0.0554248310192038","0.0750453084256537"
"higher education","1989","66 und älter","maennlich","42","0.100131585866004","0.0707149403784259","0.129548231353582"
"higher education","1989","66 und älter","weiblich","","","",""
"in school","1990","16-34 Jahre alt","maennlich","112","0.0451092323159488","0.0371983134412247","0.053020151190673"
"in school","1990","16-34 Jahre alt","weiblich","83","0.0346528946626649","0.0276280114332854","0.0416777778920444"
"in school","1990","35-65 Jahre alt","maennlich","","","",""
"in school","1990","35-65 Jahre alt","weiblich","","","",""
"in school","1990","66 und älter","maennlich","","","",""
"in school","1990","66 und älter","weiblich","","","",""
"inadequately","1990","16-34 Jahre alt","maennlich","77","0.0259585032706972","0.0198974804482326","0.0320195260931618"
"inadequately","1990","16-34 Jahre alt","weiblich","87","0.0209448773635169","0.0154447837167641","0.0264449710102697"
"inadequately","1990","35-65 Jahre alt","maennlich","180","0.017211808465454","0.0129146469786491","0.0215089699522589"
"inadequately","1990","35-65 Jahre alt","weiblich","286","0.0275145509010802","0.022127555772638","0.0329015460295225"
"inadequately","1990","66 und älter","maennlich","","","",""
"inadequately","1990","66 und älter","weiblich","","","",""
"general elemantary","1990","16-34 Jahre alt","maennlich","534","0.166918116577169","0.152704226629112","0.181132006525226"
"general elemantary","1990","16-34 Jahre alt","weiblich","598","0.211505643078262","0.195820522004752","0.227190764151772"
"general elemantary","1990","35-65 Jahre alt","maennlich","420","0.0980386975769462","0.0882137288499661","0.107863666303926"
"general elemantary","1990","35-65 Jahre alt","weiblich","929","0.296490820500538","0.281450249544811","0.311531391456265"
"general elemantary","1990","66 und älter","maennlich","55","0.09984079495656","0.0750113074179363","0.124670282495184"
"general elemantary","1990","66 und älter","weiblich","474","0.491271343890386","0.459261606401363","0.52328108137941"
"middle vocational","1990","16-34 Jahre alt","maennlich","1481","0.579184823510109","0.560366902147185","0.598002744873034"
"middle vocational","1990","16-34 Jahre alt","weiblich","1316","0.529850461423601","0.510680454637465","0.549020468209737"
"middle vocational","1990","35-65 Jahre alt","maennlich","1883","0.590729480488691","0.574483796111409","0.606975164865973"
"middle vocational","1990","35-65 Jahre alt","weiblich","1712","0.50918275249932","0.492719313357935","0.525646191640706"
"middle vocational","1990","66 und älter","maennlich","331","0.626197895753887","0.586126843190523","0.66626894831725"
"middle vocational","1990","66 und älter","weiblich","382","0.425423402532892","0.393766898615088","0.457079906450695"
"vocational + Abi","1990","16-34 Jahre alt","maennlich","118","0.0529048669933567","0.0443726482422035","0.06143708574451"
"vocational + Abi","1990","16-34 Jahre alt","weiblich","104","0.0498334865195364","0.0414757611212539","0.0581912119178188"
"vocational + Abi","1990","35-65 Jahre alt","maennlich","77","0.018253036401535","0.0138301498377637","0.0226759229653063"
"vocational + Abi","1990","35-65 Jahre alt","weiblich","52","0.0140587651930539","0.0101815231218706","0.0179360072642372"
"vocational + Abi","1990","66 und älter","maennlich","","","",""
"vocational + Abi","1990","66 und älter","weiblich","","","",""
"higher vocational","1990","16-34 Jahre alt","maennlich","115","0.0452366918773213","0.0373151331762716","0.0531582505783709"
"higher vocational","1990","16-34 Jahre alt","weiblich","102","0.0527552277827042","0.0441692163802559","0.0613412391851525"
"higher vocational","1990","35-65 Jahre alt","maennlich","313","0.0966411177209737","0.086878875273135","0.106403360168812"
"higher vocational","1990","35-65 Jahre alt","weiblich","141","0.0525598047900023","0.0452108328821527","0.0599087766978519"
"higher vocational","1990","66 und älter","maennlich","74","0.12250573651119","0.0953504472476628","0.149661025774717"
"higher vocational","1990","66 und älter","weiblich","","","",""
"higher education","1990","16-34 Jahre alt","maennlich","207","0.0846877654553975","0.0740753966036763","0.0953001343071186"
"higher education","1990","16-34 Jahre alt","weiblich","314","0.100457409169715","0.0889114649996247","0.112003353339805"
"higher education","1990","35-65 Jahre alt","maennlich","646","0.1791258593464","0.166456464001773","0.191795254691027"
"higher education","1990","35-65 Jahre alt","weiblich","422","0.100193306116005","0.0903050939529667","0.110081518279044"
"higher education","1990","66 und älter","maennlich","75","0.115083400303735","0.0886525222422228","0.141514278365248"
"higher education","1990","66 und älter","weiblich","34","0.0310134584168104","0.0199137321817672","0.0421131846518537"
"in school","1991","16-34 Jahre alt","maennlich","91","0.0373069877739474","0.0299427374982444","0.0446712380496503"
"in school","1991","16-34 Jahre alt","weiblich","71","0.0343222821921932","0.0271858314781692","0.0414587329062173"
"in school","1991","35-65 Jahre alt","maennlich","","","",""
