"pgisced97","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"inadequately","1999","66 und älter","58","0.0153783878992157","0.00973283157889676","0.0210239442195346"
"general elemantary","1999","16-34 Jahre alt","886","0.176363845006896","0.16512790434783","0.187599785665963"
"general elemantary","1999","35-65 Jahre alt","1010","0.130759614582296","0.122992753000426","0.138526476164166"
"general elemantary","1999","66 und älter","565","0.319461476644981","0.298069433727606","0.340853519562356"
"middle vocational","1999","16-34 Jahre alt","2226","0.510501816917652","0.495764746982924","0.525238886852381"
"middle vocational","1999","35-65 Jahre alt","3857","0.559090018938073","0.547651899259022","0.570528138617124"
"middle vocational","1999","66 und älter","885","0.493528261975698","0.470590540315016","0.51646598363638"
"vocational + Abi","1999","16-34 Jahre alt","264","0.0750981202589187","0.0673285084524346","0.0828677320654027"
"vocational + Abi","1999","35-65 Jahre alt","214","0.0307717212411502","0.0267931445418299","0.0347502979404704"
"vocational + Abi","1999","66 und älter","32","0.0205408245634569","0.0140332558458674","0.0270483932810464"
"higher vocational","1999","16-34 Jahre alt","224","0.0520538809559772","0.045505177269655","0.0586025846422995"
"higher vocational","1999","35-65 Jahre alt","514","0.0764421859369561","0.0703209743167519","0.0825633975571604"
"higher vocational","1999","66 und älter","85","0.0505922325326714","0.0405371655259536","0.0606472995393892"
"higher education","1999","16-34 Jahre alt","417","0.0972877397889889","0.0885511753659566","0.106024304212021"
"higher education","1999","35-65 Jahre alt","1354","0.17771249475475","0.168905867215471","0.186519122294029"
"higher education","1999","66 und älter","200","0.100498816383977","0.0867045693377864","0.114293063430168"
"in school","2000","16-34 Jahre alt","490","0.0632315696137799","0.0575863337802862","0.0688768054472735"
"in school","2000","35-65 Jahre alt","","","",""
"in school","2000","66 und älter","","","",""
"inadequately","2000","16-34 Jahre alt","101","0.0136917255113595","0.0109962560525939","0.0163871949701251"
"inadequately","2000","35-65 Jahre alt","242","0.0159899180525623","0.0138703602124543","0.0181094758926703"
"inadequately","2000","66 und älter","63","0.0147555051434605","0.010834797661589","0.018676212625332"
"general elemantary","2000","16-34 Jahre alt","1268","0.163907558873242","0.155320872022783","0.172494245723701"
"general elemantary","2000","35-65 Jahre alt","1388","0.101112361514703","0.096018147219966","0.106206575809439"
"general elemantary","2000","66 und älter","926","0.259123745271957","0.244876141263001","0.273371349280914"
"middle vocational","2000","16-34 Jahre alt","3576","0.502136171188407","0.490538653972919","0.513733688403894"
"middle vocational","2000","35-65 Jahre alt","7424","0.557857032120079","0.549465037507165","0.566249026732992"
"middle vocational","2000","66 und älter","1878","0.516514120392829","0.500264306595359","0.532763934190298"
"vocational + Abi","2000","16-34 Jahre alt","521","0.0830186500298528","0.0766188401861268","0.0894184598735788"
"vocational + Abi","2000","35-65 Jahre alt","509","0.0409251981866795","0.0375775175883702","0.0442728787849889"
"vocational + Abi","2000","66 und älter","100","0.0284732352051054","0.023064930091196","0.0338815403190149"
"higher vocational","2000","16-34 Jahre alt","423","0.0613642483201715","0.055797453166253","0.06693104347409"
"higher vocational","2000","35-65 Jahre alt","1227","0.0917851326071799","0.0869064467693654","0.0966638184449943"
"higher vocational","2000","66 und älter","244","0.0698318495607734","0.0615443618582172","0.0781193372633296"
"higher education","2000","16-34 Jahre alt","761","0.112650076463188","0.105316561395063","0.119983591531313"
"higher education","2000","35-65 Jahre alt","2657","0.191989499754886","0.185334169362726","0.198644830147046"
"higher education","2000","66 und älter","420","0.111079454618169","0.100861505552212","0.121297403684125"
"in school","2001","16-34 Jahre alt","550","0.0773983492871073","0.0707627976900776","0.084033900884137"
"in school","2001","35-65 Jahre alt","","","",""
"in school","2001","66 und älter","","","",""
"inadequately","2001","16-34 Jahre alt","73","0.0115877589813813","0.0089302615580195","0.0142452564047431"
"inadequately","2001","35-65 Jahre alt","183","0.0122498407289127","0.0103061312426067","0.0141935502152187"
"inadequately","2001","66 und älter","56","0.0142864063102117","0.0103179501046016","0.0182548625158218"
"general elemantary","2001","16-34 Jahre alt","1141","0.170901300201553","0.161554136083301","0.180248464319806"
"general elemantary","2001","35-65 Jahre alt","1161","0.094543560426551","0.0893735390758547","0.0997135817772472"
"general elemantary","2001","66 und älter","820","0.245938742955127","0.231537449216302","0.260340036693951"
"middle vocational","2001","16-34 Jahre alt","3052","0.490395175868073","0.477981685042233","0.502808666693914"
"middle vocational","2001","35-65 Jahre alt","6804","0.559425495263546","0.550652995051671","0.56819799547542"
"middle vocational","2001","66 und älter","1798","0.520338171689921","0.503631299781167","0.537045043598674"
"vocational + Abi","2001","16-34 Jahre alt","454","0.0809486116836822","0.0741756492346101","0.0877215741327542"
"vocational + Abi","2001","35-65 Jahre alt","522","0.0459266358322262","0.0422277938202361","0.0496254778442163"
"vocational + Abi","2001","66 und älter","103","0.0346387673878726","0.0285235646174712","0.0407539701582741"
"higher vocational","2001","16-34 Jahre alt","326","0.0534568747761142","0.0478711947576301","0.0590425547945982"
"higher vocational","2001","35-65 Jahre alt","1123","0.0906416835491808","0.0855685758506914","0.0957147912476703"
"higher vocational","2001","66 und älter","233","0.0682976702710612","0.0598618706383718","0.0767334699037506"
"higher education","2001","16-34 Jahre alt","634","0.115311929202089","0.10738077721725","0.123243081186927"
"higher education","2001","35-65 Jahre alt","2509","0.197186389243204","0.190155853675368","0.204216924811039"
"higher education","2001","66 und älter","425","0.116500241385807","0.105771436419866","0.127229046351748"
"in school","2002","16-34 Jahre alt","617","0.0821886076159248","0.0752621344626863","0.0891150807691634"
"in school","2002","35-65 Jahre alt","","","",""
"in school","2002","66 und älter","","","",""
"inadequately","2002","16-34 Jahre alt","64","0.0125081422567848","0.00970533786488721","0.0153109466486823"
"inadequately","2002","35-65 Jahre alt","164","0.0123282367151728","0.0104537462407562","0.0142027271895893"
"inadequately","2002","66 und älter","57","0.0151229800773857","0.0111539456754179","0.0190920144793535"
"general elemantary","2002","16-34 Jahre alt","1045","0.17562625224579","0.166030336740464","0.185222167751117"
"general elemantary","2002","35-65 Jahre alt","1075","0.0929319808774319","0.0879999139497885","0.0978640478050752"
"general elemantary","2002","66 und älter","804","0.241315033518458","0.227399556461015","0.255230510575902"
"middle vocational","2002","16-34 Jahre alt","2915","0.484924406253115","0.472320588088329","0.497528224417901"
"middle vocational","2002","35-65 Jahre alt","6860","0.565915762878934","0.557496203972592","0.574335321785275"
"middle vocational","2002","66 und älter","1879","0.527783795521723","0.5115479974905","0.544019593552946"
"vocational + Abi","2002","16-34 Jahre alt","461","0.0852318989731428","0.0781900580508504","0.0922737398954352"
"vocational + Abi","2002","35-65 Jahre alt","618","0.0483496800973839","0.0447058179553219","0.0519935422394458"
"vocational + Abi","2002","66 und älter","101","0.0297924196743585","0.0242632439654957","0.0353215953832213"
"higher vocational","2002","16-34 Jahre alt","309","0.0512304558688936","0.045670464728793","0.0567904470089941"
"higher vocational","2002","35-65 Jahre alt","1197","0.0910367654756591","0.086150151815678","0.0959233791356403"
"higher vocational","2002","66 und älter","244","0.067438847792769","0.0592830039489094","0.0755946916366286"
"higher education","2002","16-34 Jahre alt","629","0.108290236786349","0.100453486034603","0.116126987538094"
"higher education","2002","35-65 Jahre alt","3398","0.189437573955419","0.182780969794003","0.196094178116834"
"higher education","2002","66 und älter","547","0.118546923415306","0.108034086826807","0.129059760003805"
"in school","2003","16-34 Jahre alt","619","0.0860937356707795","0.0787996258170091","0.0933878455245499"
"in school","2003","35-65 Jahre alt","","","",""
"in school","2003","66 und älter","","","",""
"inadequately","2003","16-34 Jahre alt","64","0.0136449985018838","0.0106282502614993","0.0166617467422682"
"inadequately","2003","35-65 Jahre alt","153","0.01279256766314","0.010836632702961","0.014748502623319"
"inadequately","2003","66 und älter","54","0.0154793300779032","0.0115010585168401","0.0194576016389663"
"general elemantary","2003","16-34 Jahre alt","984","0.178481466034578","0.168524180947906","0.18843875112125"
"general elemantary","2003","35-65 Jahre alt","985","0.0902152220573687","0.0852288970298662","0.0952015470848712"
"general elemantary","2003","66 und älter","798","0.23484818763231","0.221187475568818","0.248508899695802"
"middle vocational","2003","16-34 Jahre alt","2726","0.478594667809946","0.465604721432109","0.491584614187784"
"middle vocational","2003","35-65 Jahre alt","6534","0.558285610690205","0.549642494913715","0.566928726466696"
"middle vocational","2003","66 und älter","1917","0.522379513916476","0.506282679857678","0.538476347975274"
"vocational + Abi","2003","16-34 Jahre alt","448","0.0846573548379101","0.0774186662771134","0.0918960433987068"
"vocational + Abi","2003","35-65 Jahre alt","615","0.0513725182769516","0.0475302771316285","0.0552147594222748"
"vocational + Abi","2003","66 und älter","101","0.0318025923161512","0.0261477676450362","0.0374574169872662"
"higher vocational","2003","16-34 Jahre alt","274","0.0461162476144927","0.0406623070186135","0.051570188210372"
"higher vocational","2003","35-65 Jahre alt","1170","0.0941202022618872","0.0890380455480081","0.0992023589757662"
"higher vocational","2003","66 und älter","250","0.069570926472279","0.0613719157368232","0.0777699372077347"
"higher education","2003","16-34 Jahre alt","566","0.112411529530409","0.104197676060448","0.120625383000371"
"higher education","2003","35-65 Jahre alt","3224","0.193213879050447","0.186342091744649","0.200085666356245"
"higher education","2003","66 und älter","579","0.12591944958488","0.115228209998767","0.136610689170994"
"in school","2004","16-34 Jahre alt","640","0.0942840954790176","0.0864964743126136","0.102071716645422"
"in school","2004","35-65 Jahre alt","","","",""
"in school","2004","66 und älter","","","",""
"inadequately","2004","16-34 Jahre alt","59","0.0129637876341233","0.00994924036949089","0.0159783348987556"
"inadequately","2004","35-65 Jahre alt","143","0.0127723015739482","0.0107838121076171","0.0147607910402792"
"inadequately","2004","66 und älter","54","0.0160024185309805","0.0120184266512513","0.0199864104107096"
"general elemantary","2004","16-34 Jahre alt","910","0.186797267401521","0.176410646652101","0.197183888150942"
"general elemantary","2004","35-65 Jahre alt","910","0.0895433038460817","0.084487080483087","0.0945995272090763"
"general elemantary","2004","66 und älter","782","0.224819388633088","0.211565389168104","0.238073388098073"
"middle vocational","2004","16-34 Jahre alt","2550","0.464523079829124","0.451231897151131","0.477814262507117"
"middle vocational","2004","35-65 Jahre alt","6308","0.555125720282795","0.546325483240057","0.563925957325533"
"middle vocational","2004","66 und älter","1988","0.525080020615784","0.50922555590794","0.540934485323629"
"vocational + Abi","2004","16-34 Jahre alt","450","0.0870199384784089","0.0795083872610291","0.0945314896957887"
"vocational + Abi","2004","35-65 Jahre alt","617","0.0540707863073863","0.05006589523462","0.0580756773801526"
"vocational + Abi","2004","66 und älter","100","0.0313601922751626","0.0258267022482401","0.0368936823020851"
"higher vocational","2004","16-34 Jahre alt","255","0.0455987680776498","0.0400393203551522","0.0511582158001475"
"higher vocational","2004","35-65 Jahre alt","1135","0.0955769795331049","0.090370519948763","0.100783439117447"
"higher vocational","2004","66 und älter","258","0.0688338593538747","0.0607959470330066","0.0768717716747428"
"higher education","2004","16-34 Jahre alt","545","0.108813063100156","0.100514277891116","0.117111848309195"
"higher education","2004","35-65 Jahre alt","3137","0.192910908456684","0.185923450970335","0.199898365943032"
"higher education","2004","66 und älter","629","0.13390412059111","0.123092057440567","0.144716183741652"
"in school","2005","16-34 Jahre alt","652","0.102375239249909","0.0940284871374179","0.110721991362399"
"in school","2005","35-65 Jahre alt","","","",""
"in school","2005","66 und älter","","","",""
"inadequately","2005","16-34 Jahre alt","63","0.0162837337234195","0.0127988799362478","0.0197685875105911"
"inadequately","2005","35-65 Jahre alt","132","0.014060271024446","0.0119203441376612","0.0162001979112309"
"inadequately","2005","66 und älter","51","0.014145467250626","0.0103962234312955","0.0178947110699564"
"general elemantary","2005","16-34 Jahre alt","837","0.187310372332792","0.176567611405932","0.198053133259653"
"general elemantary","2005","35-65 Jahre alt","831","0.0844516588970651","0.0793978171537037","0.0895055006404265"
"general elemantary","2005","66 und älter","748","0.216383950408019","0.203310422435927","0.229457478380112"
"middle vocational","2005","16-34 Jahre alt","2344","0.45943650851142","0.445714782420443","0.473158234602396"
"middle vocational","2005","35-65 Jahre alt","5979","0.554142010464331","0.545107893262773","0.563176127665888"
"middle vocational","2005","66 und älter","1985","0.526192305492767","0.510339653792167","0.542044957193367"
"vocational + Abi","2005","16-34 Jahre alt","439","0.0910839609697294","0.0831615844892483","0.0990063374502105"
"vocational + Abi","2005","35-65 Jahre alt","596","0.0538614631416834","0.0497585403443656","0.0579643859390013"
"vocational + Abi","2005","66 und älter","102","0.0322741080685242","0.0266632159110923","0.037885000225956"
"higher vocational","2005","16-34 Jahre alt","209","0.0368592115961382","0.0316713241252477","0.0420470990670287"
"higher vocational","2005","35-65 Jahre alt","1103","0.0982018955811173","0.0927932129312573","0.103610578230977"
"higher vocational","2005","66 und älter","256","0.0702640243331934","0.0621492780669974","0.0783787705993894"
"higher education","2005","16-34 Jahre alt","523","0.106650973616592","0.0981520165506432","0.115149930682541"
"higher education","2005","35-65 Jahre alt","2988","0.195282700891357","0.188077759356652","0.202487642426062"
"higher education","2005","66 und älter","669","0.14074014444687","0.129699361453501","0.151780927440239"
"in school","2006","16-34 Jahre alt","631","0.0952186971314116","0.0872085526768203","0.103228841586003"
"in school","2006","35-65 Jahre alt","","","",""
"in school","2006","66 und älter","","","",""
"inadequately","2006","16-34 Jahre alt","59","0.0171156920348925","0.0135760784385633","0.0206553056312218"
"inadequately","2006","35-65 Jahre alt","127","0.0138321063972127","0.0117777450788584","0.015886467715567"
"inadequately","2006","66 und älter","57","0.0137354464113369","0.0103268493782684","0.0171440434444053"
"general elemantary","2006","16-34 Jahre alt","853","0.187536889607034","0.176884363627353","0.198189415586714"
"general elemantary","2006","35-65 Jahre alt","860","0.0815790351968868","0.0767643553285107","0.0863937150652629"
"general elemantary","2006","66 und älter","845","0.212613849889651","0.200631355860482","0.224596343918819"
"middle vocational","2006","16-34 Jahre alt","2399","0.467421423844824","0.45380529741701","0.481037550272638"
"middle vocational","2006","35-65 Jahre alt","6404","0.546817991311627","0.538061805546187","0.555574177077067"
"middle vocational","2006","66 und älter","2341","0.525456346591322","0.510832421105894","0.54008027207675"
"vocational + Abi","2006","16-34 Jahre alt","453","0.0898537184144641","0.0820494706477105","0.0976579661812177"
"vocational + Abi","2006","35-65 Jahre alt","655","0.0555847978344137","0.0515546893308175","0.0596149063380099"
"vocational + Abi","2006","66 und älter","112","0.0292877525470782","0.0243498122169471","0.0342256928772093"
"higher vocational","2006","16-34 Jahre alt","189","0.0324939137914639","0.0276551403650829","0.0373326872178449"
"higher vocational","2006","35-65 Jahre alt","1156","0.0938553678354704","0.0887257435335708","0.09898499213737"
"higher vocational","2006","66 und älter","314","0.0704586007618497","0.0629638199653373","0.077953381558362"
"higher education","2006","16-34 Jahre alt","574","0.11035966517591","0.10180860738301","0.118910722968811"
"higher education","2006","35-65 Jahre alt","3210","0.207931172153362","0.20079281125825","0.215069533048473"
"higher education","2006","66 und älter","806","0.147456377837187","0.137072785112262","0.157839970562112"
"in school","2007","16-34 Jahre alt","629","0.109424112644167","0.100559613600697","0.118288611687637"
"in school","2007","35-65 Jahre alt","","","",""
"in school","2007","66 und älter","","","",""
"inadequately","2007","16-34 Jahre alt","55","0.0164901466410371","0.0128738518059687","0.0201064414761055"
"inadequately","2007","35-65 Jahre alt","110","0.0132249509453703","0.0111341611891193","0.0153157407016213"
"inadequately","2007","66 und älter","54","0.0131805081784006","0.00980915550315906","0.0165518608536421"
"general elemantary","2007","16-34 Jahre alt","745","0.172434077368702","0.161707156844163","0.183160997893242"
"general elemantary","2007","35-65 Jahre alt","752","0.0824815458974297","0.0774466551765114","0.087516436618348"
"general elemantary","2007","66 und älter","782","0.20344453197023","0.191544441267409","0.215344622673051"
"middle vocational","2007","16-34 Jahre alt","2197","0.466532296344767","0.452365973414438","0.480698619275096"
"middle vocational","2007","35-65 Jahre alt","5884","0.540764544221844","0.531643888582241","0.549885199861447"
"middle vocational","2007","66 und älter","2304","0.525082867961081","0.510320973647182","0.539844762274981"
"vocational + Abi","2007","16-34 Jahre alt","428","0.0854991404003223","0.0775588726408382","0.0934394081598065"
"vocational + Abi","2007","35-65 Jahre alt","628","0.0585753834446483","0.0542775003909323","0.0628732664983644"
"vocational + Abi","2007","66 und älter","119","0.0341022860607005","0.0287372015818075","0.0394673705395935"
"higher vocational","2007","16-34 Jahre alt","153","0.0285982920248212","0.0238653444468681","0.0333312396027743"
"higher vocational","2007","35-65 Jahre alt","1073","0.0934097021764713","0.088083645592331","0.0987357587606115"
"higher vocational","2007","66 und älter","313","0.0746007169023203","0.0668336807073495","0.0823677530972911"
"higher education","2007","16-34 Jahre alt","557","0.121021934576183","0.111760393037981","0.130283476114385"
"higher education","2007","35-65 Jahre alt","3021","0.211543873314236","0.204069182364343","0.219018564264129"
"higher education","2007","66 und älter","824","0.149589088927267","0.13904561764289","0.160132560211644"
"in school","2008","16-34 Jahre alt","554","0.105156603242821","0.0960028370786166","0.114310369407026"
"in school","2008","35-65 Jahre alt","","","",""
"in school","2008","66 und älter","","","",""
"inadequately","2008","16-34 Jahre alt","49","0.0166099338029312","0.012796160450671","0.0204237071551915"
"inadequately","2008","35-65 Jahre alt","95","0.0118550081797727","0.00980241255235347","0.0139076038071919"
"inadequately","2008","66 und älter","43","0.0112418735240294","0.00811025928465081","0.0143734877634081"
"general elemantary","2008","16-34 Jahre alt","677","0.168635631461937","0.157462410285665","0.17980885263821"
"general elemantary","2008","35-65 Jahre alt","674","0.0826377656719384","0.0774161867650545","0.0878593445788222"
"general elemantary","2008","66 und älter","740","0.194610499594447","0.182850968786596","0.206370030402298"
"middle vocational","2008","16-34 Jahre alt","2000","0.474197314720752","0.459296879090514","0.48909775035099"
"middle vocational","2008","35-65 Jahre alt","5522","0.544326405074716","0.534881474582404","0.553771335567027"
"middle vocational","2008","66 und älter","2265","0.524515380738366","0.509681621386593","0.539349140090138"
"vocational + Abi","2008","16-34 Jahre alt","377","0.0839224510905018","0.075648494838129","0.0921964073428746"
"vocational + Abi","2008","35-65 Jahre alt","613","0.0612830981202021","0.0567344765285756","0.0658317197118286"
"vocational + Abi","2008","66 und älter","110","0.0338410113597403","0.0284700769982523","0.0392119457212282"
"higher vocational","2008","16-34 Jahre alt","126","0.0295497823549552","0.0244965206019202","0.0346030441079902"
"higher vocational","2008","35-65 Jahre alt","979","0.0896727437762885","0.0842543428634746","0.0950911446891024"
"higher vocational","2008","66 und älter","317","0.0736900060622006","0.0659295659885264","0.0814504461358748"
"higher education","2008","16-34 Jahre alt","531","0.121928283326101","0.112164340122514","0.131692226529688"
"higher education","2008","35-65 Jahre alt","2798","0.210224979177082","0.202497532989883","0.217952425364282"
"higher education","2008","66 und älter","879","0.162101228721217","0.151154286928669","0.173048170513764"
"in school","2009","16-34 Jahre alt","507","0.105765220323928","0.0961502259703401","0.115380214677516"
"in school","2009","35-65 Jahre alt","","","",""
"in school","2009","66 und älter","","","",""
"inadequately","2009","16-34 Jahre alt","41","0.014851976756949","0.0110702104225604","0.0186337430913376"
"inadequately","2009","35-65 Jahre alt","85","0.0117038821595042","0.00958393840348074","0.0138238259155276"
"inadequately","2009","66 und älter","43","0.0126281172935604","0.00925711550509345","0.0159991190820273"
"general elemantary","2009","16-34 Jahre alt","595","0.157132813132056","0.145754841879651","0.168510784384462"
"general elemantary","2009","35-65 Jahre alt","590","0.0763772790696628","0.0711419351181303","0.0816126230211952"
"general elemantary","2009","66 und älter","669","0.181849622514137","0.170205089647113","0.193494155381162"
"middle vocational","2009","16-34 Jahre alt","1800","0.467610145014907","0.45201071737869","0.483209572651125"
"middle vocational","2009","35-65 Jahre alt","5116","0.540370114818976","0.530546629181539","0.550193600456412"
"middle vocational","2009","66 und älter","2196","0.524530109225058","0.509453765752251","0.539606452697864"
"vocational + Abi","2009","16-34 Jahre alt","338","0.0848623743656966","0.076149677363752","0.0935750713676412"
"vocational + Abi","2009","35-65 Jahre alt","568","0.0602623887780237","0.055571638641018","0.0649531389150294"
"vocational + Abi","2009","66 und älter","97","0.0317101784089916","0.0264202313266081","0.037000125491375"
"higher vocational","2009","16-34 Jahre alt","109","0.0295218895533836","0.0242299269870468","0.0348138521197203"
"higher vocational","2009","35-65 Jahre alt","909","0.0934560230372076","0.0877186391379381","0.0991934069364772"
"higher vocational","2009","66 und älter","320","0.0794201994220762","0.0712572800127629","0.0875831188313896"
"higher education","2009","16-34 Jahre alt","540","0.140255580853079","0.129398912430864","0.151112249275294"
"higher education","2009","35-65 Jahre alt","2619","0.217830312136626","0.20969403989971","0.225966584373542"
"higher education","2009","66 und älter","890","0.169861773136177","0.158525446921721","0.181198099350633"
"in school","2010","16-34 Jahre alt","709","0.0980057420864558","0.0908640052537217","0.10514747891919"
"in school","2010","35-65 Jahre alt","","","",""
"in school","2010","66 und älter","","","",""
"inadequately","2010","16-34 Jahre alt","152","0.0165686475966477","0.0135025092199226","0.0196347859733729"
"inadequately","2010","35-65 Jahre alt","157","0.0116168646730537","0.00980150679022693","0.0134322225558805"
"inadequately","2010","66 und älter","37","0.0109545410273041","0.007756705624843","0.0141523764297652"
"general elemantary","2010","16-34 Jahre alt","1045","0.169858686141339","0.160838903129599","0.178878469153078"
"general elemantary","2010","35-65 Jahre alt","869","0.0794097238279963","0.0748290943720648","0.0839903532839279"
"general elemantary","2010","66 und älter","622","0.178972707128621","0.16719602135867","0.190749392898573"
"middle vocational","2010","16-34 Jahre alt","3032","0.456164780132121","0.444200936282225","0.468128623982017"
"middle vocational","2010","35-65 Jahre alt","6677","0.532903684230202","0.524451232305091","0.541356136155312"
"middle vocational","2010","66 und älter","2092","0.52845041204217","0.513114249892913","0.543786574191427"
"vocational + Abi","2010","16-34 Jahre alt","606","0.0825273963222884","0.0759178474248661","0.0891369452197107"
"vocational + Abi","2010","35-65 Jahre alt","1013","0.0658987263494944","0.0616954241058318","0.070102028593157"
"vocational + Abi","2010","66 und älter","96","0.0313275394981147","0.025975707079588","0.0366793719166415"
"higher vocational","2010","16-34 Jahre alt","193","0.0295499680539844","0.0254823394488797","0.033617596659089"
"higher vocational","2010","35-65 Jahre alt","1106","0.0885204666554786","0.0837081916809068","0.0933327416300503"
"higher vocational","2010","66 und älter","320","0.0780500931539504","0.0698088778250693","0.0862913084828315"
"higher education","2010","16-34 Jahre alt","921","0.147324779667164","0.138811323256013","0.155838236078315"
"higher education","2010","35-65 Jahre alt","3562","0.221650534263776","0.214613707911218","0.228687360616333"
"higher education","2010","66 und älter","903","0.17224470714984","0.160644257795506","0.183845156504174"
"in school","2011","16-34 Jahre alt","896","0.100255395281049","0.0931821234316832","0.107328667130414"
"in school","2011","35-65 Jahre alt","","","",""
"in school","2011","66 und älter","","","",""
"inadequately","2011","16-34 Jahre alt","153","0.0179748150858751","0.0148458524581479","0.0211037777136024"
"inadequately","2011","35-65 Jahre alt","197","0.0132723671910546","0.011516516972244","0.0150282174098653"
"inadequately","2011","66 und älter","61","0.0148106254783158","0.0115258788565883","0.0180953721000434"
"general elemantary","2011","16-34 Jahre alt","1099","0.150258545118576","0.141843240522105","0.158673849715048"
"general elemantary","2011","35-65 Jahre alt","1131","0.0776993982757909","0.0735920673007966","0.0818067292507852"
"general elemantary","2011","66 und älter","844","0.182941183748859","0.17242791617571","0.193454451322009"
"middle vocational","2011","16-34 Jahre alt","3054","0.45705335856749","0.445321444446683","0.468785272688297"
"middle vocational","2011","35-65 Jahre alt","8229","0.532205399468827","0.52454975304817","0.539861045889485"
"middle vocational","2011","66 und älter","2679","0.528776839017275","0.515202932892407","0.542350745142143"
"vocational + Abi","2011","16-34 Jahre alt","612","0.0909081809486629","0.084137814026486","0.0976785478708398"
"vocational + Abi","2011","35-65 Jahre alt","1270","0.0714357981769708","0.0674841475049127","0.0753874488490289"
"vocational + Abi","2011","66 und älter","128","0.0303573933937628","0.0256919448963686","0.0350228418911571"
"higher vocational","2011","16-34 Jahre alt","189","0.0303393404625353","0.0262999130980082","0.0343787678270624"
"higher vocational","2011","35-65 Jahre alt","1287","0.082320010584311","0.0781029196464655","0.0865371015221565"
"higher vocational","2011","66 und älter","385","0.0735922539180465","0.0664920232820236","0.0806924845540694"
"higher education","2011","16-34 Jahre alt","923","0.153210364535812","0.14472757509294","0.161693153978684"
"higher education","2011","35-65 Jahre alt","4204","0.223067026303046","0.21667962662108","0.229454425985011"
"higher education","2011","66 und älter","1098","0.169521704443741","0.159318605138888","0.179724803748593"
"in school","2012","16-34 Jahre alt","912","0.0953843154045694","0.0882536814848705","0.102514949324268"
"in school","2012","35-65 Jahre alt","","","",""
"in school","2012","66 und älter","","","",""
"inadequately","2012","16-34 Jahre alt","143","0.0166742588498991","0.0135659112852891","0.0197826064145091"
"inadequately","2012","35-65 Jahre alt","188","0.0125906366664643","0.0108681808701962","0.0143130924627324"
"inadequately","2012","66 und älter","57","0.015408539748659","0.0120729385762348","0.0187441409210832"
"general elemantary","2012","16-34 Jahre alt","1065","0.153152771870193","0.144410535062734","0.161895008677652"
"general elemantary","2012","35-65 Jahre alt","1117","0.0793911577628039","0.0752147849726561","0.0835675305529517"
"general elemantary","2012","66 und älter","820","0.176418439772012","0.166095803149266","0.186741076394758"
"middle vocational","2012","16-34 Jahre alt","2815","0.44984618582581","0.437769947205402","0.461922424446218"
"middle vocational","2012","35-65 Jahre alt","8079","0.527030705310532","0.519317941150979","0.534743469470085"
"middle vocational","2012","66 und älter","2710","0.530787093989619","0.517272266832723","0.544301921146516"
"vocational + Abi","2012","16-34 Jahre alt","536","0.0869401908097359","0.0801007986171265","0.0937795830023453"
"vocational + Abi","2012","35-65 Jahre alt","1313","0.0732370220130392","0.0692123981724791","0.0772616458535993"
"vocational + Abi","2012","66 und älter","122","0.0296949383966531","0.0250980844354064","0.0342917923578999"
"higher vocational","2012","16-34 Jahre alt","168","0.0322794136536549","0.0279890371148443","0.0365697901924655"
"higher vocational","2012","35-65 Jahre alt","1271","0.0823126498189676","0.0780668815890405","0.0865584180488948"
"higher vocational","2012","66 und älter","376","0.0699226873700902","0.0630165704755125","0.076828804264668"
"higher education","2012","16-34 Jahre alt","880","0.165722863586138","0.156696683670498","0.174749043501778"
"higher education","2012","35-65 Jahre alt","4129","0.225437828428193","0.218982517631205","0.231893139225181"
"higher education","2012","66 und älter","1153","0.177768300722966","0.167414742919271","0.188121858526662"
"in school","2013","16-34 Jahre alt","1076","0.0983782029154971","0.0918556052919646","0.10490080053903"
"in school","2013","35-65 Jahre alt","","","",""
"in school","2013","66 und älter","","","",""
"inadequately","2013","16-34 Jahre alt","209","0.0192934731672696","0.0162809271837715","0.0223060191507678"
"inadequately","2013","35-65 Jahre alt","363","0.0156250517915314","0.0137958216714127","0.0174542819116502"
"inadequately","2013","66 und älter","63","0.0133772772023278","0.0102208826469231","0.0165336717577326"
"general elemantary","2013","16-34 Jahre alt","1559","0.15801507301553","0.150026662756513","0.166003483274547"
"general elemantary","2013","35-65 Jahre alt","1504","0.0799683948644778","0.0759676772575971","0.0839691124713584"
"general elemantary","2013","66 und älter","763","0.170141424719806","0.159817639963973","0.180465209475639"
"middle vocational","2013","16-34 Jahre alt","3273","0.437717610646396","0.426852523977606","0.448582697315186"
"middle vocational","2013","35-65 Jahre alt","8356","0.521299808037403","0.513931752035776","0.52866786403903"
"middle vocational","2013","66 und älter","2601","0.52990968680676","0.516196971932698","0.543622401680822"
"vocational + Abi","2013","16-34 Jahre alt","612","0.0853295387320841","0.0792110950033885","0.0914479824607796"
"vocational + Abi","2013","35-65 Jahre alt","1633","0.0793857624102649","0.0753983836757629","0.083373141144767"
"vocational + Abi","2013","66 und älter","129","0.0297740685926758","0.0251043856228206","0.034443751562531"
"higher vocational","2013","16-34 Jahre alt","158","0.0264809766525773","0.0229645775172362","0.0299973757879185"
"higher vocational","2013","35-65 Jahre alt","1222","0.0766352353006188","0.0727116939741305","0.080558776627107"
"higher vocational","2013","66 und älter","355","0.0714735141409238","0.0643956604397845","0.0785513678420631"
